Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934),C2H3F(191),S(5865),S(2726),S(9381),S(2727),S(5643),S(5886),S(2074),S(5582),S(10105),S(5887),S(9869),S(6278),S(6219),S(9870),S(5889),C2H3O(606),S(3142)
0.0,0.7112514474229024,3.76,0.0,0.8692297637592269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.997967994642562e-21,0.7112514474229024,3.76,0.0,0.8692297637592264,1.0,9.812985863494213e-47,5.810705074902671e-18,2.708939979509502e-34,3.6737653646838697e-16,3.6737653646838697e-16,5.065548557513442e-35,1.1868143641994285e-21,1.982867565651575e-33,3.7765460109072056e-46,3.0739167331211078e-46,1.9991961600869763e-19,1.5610230653468905e-35,8.571153325136227e-20,4.541187484886759e-24,4.899696230161281e-31,1.142126239438763e-19,8.018632810394282e-35,7.718806028399626e-35,5.822675560961937e-47,4.161330670150157e-25,8.947704921610041e-39,7.829744332011452e-52,4.084477572816594e-35,6.552546335419435e-50,8.28392579562683e-69,1.0466345701561598e-35,5.0858368585932645e-39,1.3007480840125445e-52,6.148182614497166e-58,8.246135718850281e-68,8.277335495001495e-19,1.828575475537889e-34,8.277335495001408e-19,1.224539357292903e-37,2.715240050605288e-66,3.1205554027324163e-37,2.5792970879711073e-20,1.324147038898817e-50,3.2301073149290553e-69,1.598059577901513e-35,7.791074726998727e-50,2.840702652760134e-51,2.154821421459918e-53,8.717252248956099e-66,5.346102522383457e-61,3.574407967729735e-46,1.1651884848035686e-51,3.661817316192219e-52,3.0534599271573185e-54,5.448925725285164e-72,7.319691965479903e-72,2.694257091877465e-77,1.3041774302721792e-20,3.041986862735635e-50,1.3375666077431222e-69,6.61107630608555e-55,5.223633447670437e-59,9.430567012539637e-35,2.5792970879694522e-20,2.404622355734792e-51,5.810705074902662e-18,7.196051056403097e-36,1.5374216154572933e-32,2.007028887382567e-51,4.421776739300065e-50,8.61610830663357e-45,1.3041774302712764e-20,2.900981420188006e-68,1.398493703155102e-38,4.396456563019088e-69,1.3290869115310662e-69,1.7863154846509114e-51,1.2350084729095073e-72,6.778976300493039e-68,2.942708175244494e-35,3.182084122030178e-57,8.095959985379166e-52,1.6743681647900052e-77,4.0393827322559966e-67,1.6799699395960333e-66,3.919196061618792e-83,2.627215978674755e-62,1.1868143641895601e-21,3.332409745113828e-74,6.33344457487093e-73,2.718242733961825e-66,1.801450648582316e-37,1.9013681153252162e-69,1.4163423219023109e-68,1.4891697656861125e-70,3.291982044017874e-68,1.1339374138231466e-69,8.064867569376738e-70,3.868089125550316e-70,3.5430919237622507e-66,1.689306414970046e-67,1.1090592853924632e-65,7.077704948803957e-84,1.2668263723561201e-79,5.01543498041258e-80,3.141738203129578e-84,5.172579328273689e-70,7.953196795706773e-72,1.5651649596339599e-65
1.6794310384999175e-20,0.7112514474229025,3.76,0.0,0.8692297637592259,1.0,1.164997681763126e-45,1.6269974209727507e-17,1.6361997476530163e-33,1.0286543021114831e-15,1.0286543021114831e-15,3.059591328682393e-34,3.3230802197648253e-21,1.1976520096534116e-32,4.483515465195178e-45,3.649353945790764e-45,5.597749248243561e-19,9.428579314695259e-35,2.399922931030773e-19,1.2715326526813108e-23,2.9594165230105292e-30,3.1979534704210403e-19,4.843254217479983e-34,4.662158841163327e-34,6.912680425973349e-46,1.1651725876945729e-24,5.404413772625732e-38,9.295472470921754e-51,2.4670244539695275e-34,7.779183009391757e-49,1.8530810647633745e-67,6.32167280372699e-35,3.07184546262589e-38,1.5442481253560156e-51,7.299122399913962e-57,1.8446275757769478e-66,2.317653938600414e-18,1.1044595872248825e-33,2.3176539386003616e-18,7.396217718084506e-37,6.073883383510967e-65,1.8848154632360677e-36,7.222031846319476e-20,2.001048741132431e-49,7.22562086039686e-68,9.652279850517763e-35,9.302696100426933e-49,4.292868535993922e-50,3.2563661321815627e-52,1.0349483435515584e-64,6.346892914722837e-60,4.2435371405080214e-45,1.7608328382351885e-50,5.533738328229062e-51,3.625067625535015e-53,1.218902889047708e-70,1.6373858139135777e-70,6.026945347562367e-76,3.651696804761127e-20,3.75570875487925e-49,2.9920830614227985e-68,9.990658514196794e-54,6.201497631291956e-58,5.696062475572669e-34,7.222031846309485e-20,3.6338650854638058e-50,1.626997420972745e-17,4.346414838067748e-35,9.286026557350888e-32,2.382744695124198e-50,5.249533344808904e-49,1.0229043781501719e-43,3.651696804755676e-20,9.12114974214688e-67,8.446901967053909e-38,1.3823162866997623e-67,4.178861904300068e-68,2.6994799603923817e-50,3.883064248973653e-71,2.1314186124915372e-66,1.777395737846824e-34,3.7777702699088444e-56,1.223461472969551e-50,1.0185839951089367e-75,1.2700465611466822e-65,5.282094285279128e-65,2.259398714476414e-81,5.87697705556187e-61,3.3230802197052208e-21,1.0477629434899662e-72,1.991336310186609e-71,7.665871062742371e-65,1.0880761917343185e-36,5.978205573475924e-68,4.4532068748271653e-67,4.682188010407575e-69,1.0350518263514865e-66,3.5652806590438633e-68,2.5357234016653707e-68,1.2161891105017048e-68,1.114004790303011e-64,5.311449657652723e-66,3.48705984276206e-64,4.076395671962612e-82,7.706722022487419e-78,3.051133650494529e-78,1.809480347940671e-82,1.6263417021896883e-68,1.7804702239162244e-70,4.9211290594823025e-64
3.83869951657124e-20,0.7112514474229026,3.76,0.0,0.8692297637592246,1.0,1.1438016323330614e-44,3.7188512479377274e-17,7.877597460852783e-33,2.3512098333976734e-15,2.3512098333976742e-15,1.4730615204413191e-33,7.595611930921322e-21,5.766178880912684e-32,4.4019420885977743e-44,3.5829573444453375e-44,1.2794855424556834e-18,4.539455074028813e-34,5.485538128035592e-19,2.9063610887186534e-23,1.4248316637205742e-29,7.309607932355609e-19,2.3318184212654053e-33,2.2446287930735395e-33,6.786910633855172e-45,2.663251629263804e-24,2.601992591163865e-37,9.126349993260866e-50,1.1877660781575231e-33,7.637648008508479e-48,3.66137591303978e-66,3.043613329989791e-34,1.4789613585306934e-37,1.516151966774181e-50,7.1663216554049545e-56,3.6446732434561814e-65,5.297494716800921e-18,5.317497482864144e-33,5.2974947168006675e-18,3.5609604510598053e-36,1.2000970028534539e-63,9.074575110931191e-36,1.6507501363017707e-19,2.152636143243668e-48,1.427660920368068e-66,4.6471572525265325e-34,9.156724403767215e-48,4.618071624599245e-49,3.5030500887104295e-51,1.0161949580725062e-63,6.231417100533788e-59,4.166329930965543e-44,1.8942236159755863e-49,5.952943174585225e-50,3.559112891135477e-52,2.408346706071506e-69,3.2351984451974833e-69,1.1908228392944074e-74,8.346735553735125e-20,3.750591858236515e-48,5.91185198181577e-67,1.0747494530727361e-52,6.088667153475109e-57,2.742408887244618e-33,1.6507501362969604e-19,3.909146161012421e-49,3.7188512479376985e-17,2.0926116472024263e-34,4.470822057733057e-31,2.3393928712063214e-49,5.154022967054939e-48,1.004293584179774e-42,8.34673555370888e-20,2.034878332121818e-65,4.066819688770634e-37,3.083871594421335e-66,9.322811034199516e-67,2.9039773570456933e-49,8.662902773929993e-70,4.755077675273987e-65,8.557395373598224e-34,3.7090372533621644e-55,1.3161440228309593e-49,4.598366568210948e-74,2.833404012760984e-64,1.1784061782845127e-63,1.0133301318604437e-79,1.1611916306046698e-59,7.59561193063435e-21,2.337501494749522e-71,4.442561768237693e-70,1.6674937599085963e-63,5.2386184859363694e-36,1.3337047773762705e-66,9.934859567146081e-66,1.0445703884052764e-67,2.3091436864661083e-65,7.953945024495579e-67,5.657059419024777e-67,2.713251003070702e-67,2.485283405853507e-63,1.1849552003582255e-64,7.779438686315915e-63,1.8280269162582262e-80,3.4791826558992836e-76,1.3774275663055314e-76,8.114469365811155e-81,3.628278873178652e-67,3.519122130254821e-69,1.0978768220771652e-62
8.157236472713885e-20,0.711251447422903,3.76,0.0,0.8692297637592219,1.0,1.0116795906967382e-43,7.902558901867718e-17,3.440353774430853e-32,4.996320895970047e-15,4.996320895970048e-15,6.433246667178308e-33,1.614067535333712e-20,2.518241808375333e-31,3.893467934097286e-43,3.169085195487355e-43,2.71890677771838e-18,1.982499292990607e-33,1.16567685219273e-18,6.176020471401629e-23,6.22261421219812e-29,1.55329168561048e-18,1.0183663669229089e-32,9.80288365622177e-33,6.002945596324978e-44,5.659409713242731e-24,1.1363585250026849e-36,8.072153216253248e-49,5.187286517295798e-33,6.755413169845543e-47,6.5152228104541215e-65,1.3292259040731904e-33,6.459012810941124e-37,1.3410192447953664e-49,6.338530348130808e-55,6.485501302772392e-64,1.1257176273201846e-17,2.3222908539330768e-32,1.125717627320074e-17,1.5551649838152917e-35,2.1355084955001377e-62,3.9631053612483366e-35,3.507844039642016e-19,1.9786431996912679e-47,2.5404463298652145e-65,2.0295356639234844e-33,8.108265424246306e-47,4.244803283540148e-48,3.2199065542756665e-50,8.989490733395222e-63,5.511617857392789e-58,3.6850716463481516e-43,1.7411178490725407e-48,5.471780379235018e-49,3.147995046586004e-51,4.285524286044362e-68,5.756862777281454e-68,2.1190056218307482e-73,1.7736813051667526e-19,3.342461366527422e-47,1.0519824804792325e-65,9.878799105788807e-52,5.385357153634894e-56,1.1976820105905613e-32,3.5078440396210096e-19,3.593178781371792e-48,7.902558901867592e-17,9.138984841636095e-34,1.952525451613453e-30,2.069166501889653e-48,4.558674946575037e-47,8.882863018936812e-42,1.7736813051552914e-19,3.8111019118042796e-64,1.7760870030024118e-36,5.775750197319681e-65,1.7460593308542018e-65,2.6692555023130252e-48,1.6224658309804804e-68,8.905734231069095e-64,3.737239382547314e-33,3.280601447964663e-54,1.2097631085371457e-48,1.7362540063581016e-72,5.306652137028328e-63,2.2070243551841053e-62,3.8126474686437502e-78,2.0662784642842784e-58,1.614067535208384e-20,4.3778816228488655e-70,8.320426537122491e-69,3.0912519325093034e-62,2.2878423235538344e-35,2.4978814440460234e-65,1.8606892456959382e-64,1.95636473250167e-66,4.324770566858235e-64,1.4896858750669023e-65,1.059504621240707e-65,5.081618847486358e-66,4.654660767540576e-62,2.2192899486617863e-63,1.457002769233916e-61,6.877494137195854e-79,1.3136731605035026e-74,5.200904381372077e-75,3.0528661798003397e-79,6.795364782038268e-66,6.263081008187074e-68,2.0562017833679157e-61
1.6794310384999175e-19,0.7112514474229037,3.76,0.0,0.8692297637592165,1.0,8.503776543061682e-43,1.6269974209727855e-16,1.436279977544343e-31,1.0286543021114759e-14,1.0286543021114763e-14,2.68575384441624e-32,3.323080219857995e-20,1.0513163833065143e-30,3.272694400478207e-42,2.663807058506732e-42,5.597749248243941e-18,8.276544292469708e-33,2.3999229309239015e-18,1.271534927920074e-22,2.5978189411354763e-28,3.1979534703123394e-18,4.251479116096548e-32,4.0925109563963e-32,5.0458374783127626e-43,1.1651725884562446e-23,4.744073149061058e-36,6.78513116170809e-48,2.1655900089442097e-32,5.678331813318163e-46,1.09888755540207e-63,5.549256490741767e-33,2.6965107028979295e-36,1.1272074778193338e-48,5.327916682599675e-54,1.0938745888550613e-62,2.317653938600334e-17,9.6951071713015e-32,2.3176539385998726e-17,6.492507672844686e-35,3.6018472096695715e-61,1.654518474329077e-34,7.222031846324901e-19,1.6927708071525736e-46,4.284834060493472e-64,8.472911881930883e-33,6.819151707382507e-46,3.6315185162059123e-47,2.754697848495477e-49,7.558498850152912e-62,4.6328469099075513e-57,3.097524768708006e-42,1.4895629767115542e-47,4.681223315203665e-48,2.646079517666132e-50,7.228163094016302e-67,9.70979051477828e-67,3.574012717527491e-72,3.651696804746994e-19,2.8194940836597445e-46,1.774322227467205e-64,8.451520622541446e-51,4.5267171937836835e-55,5.00008663003076e-32,7.222031846237205e-19,3.074040086634106e-47,1.6269974209727328e-16,3.8153462701086504e-33,8.151409404998784e-30,1.7392591216224305e-47,3.831840972808647e-46,7.466581599217074e-41,3.6516968046991458e-19,6.582730798835277e-63,7.414813614087162e-36,9.976172137025954e-64,3.0158832856046833e-64,2.2836042796233645e-47,2.8024062982793927e-67,1.538244118421259e-62,1.560223874502756e-32,2.7575431895535166e-53,1.034977809086526e-47,6.023868491362822e-71,9.165921895614415e-62,3.812085725370213e-61,1.3202452747070287e-76,3.48508064313235e-57,3.323080219334775e-20,7.561701868546503e-69,1.4371467744042273e-67,5.3130718915461286e-61,9.551291337472069e-35,4.314469015301773e-64,3.2138779511705866e-63,3.3791335613743616e-65,7.46996565972916e-63,2.5730618904431477e-64,1.830030752818568e-64,8.777232849815344e-65,8.039768943613084e-61,3.8332714876161816e-62,2.5166099528621825e-60,2.381457865093585e-77,4.557742435873148e-73,1.804435332110717e-73,1.0571106319307624e-77,1.173730277993106e-64,1.0564408248008065e-66,3.5515772394950356e-60
3.4068458209569756e-19,0.711251447422905,3.76,0.0,0.8692297637592057,1.0,6.971909787446423e-42,3.300480482544875e-16,5.867672356674591e-31,2.0866987271404057e-14,2.0866987271404076e-14,1.0972180790934535e-31,6.741105589071051e-20,4.294970461887419e-30,2.6831525984990625e-41,2.183949966974559e-41,1.1355434189295734e-17,3.381238400464394e-32,4.8684150881975595e-18,2.579404706453161e-22,1.0612938021565446e-27,6.487277039524145e-18,1.7368679412842267e-31,1.6719242610930045e-31,4.136882421373674e-42,2.3636358240649325e-23,1.938108676521383e-35,5.562860466282404e-47,8.847141800442333e-32,4.6554394907270006e-45,1.8049261092391942e-62,2.267052344149538e-32,1.1016126073168835e-35,9.241527934839378e-48,4.368147995385146e-53,1.7966922970997127e-61,4.701526561160492e-17,3.960767623033761e-31,4.701526561158606e-17,2.652401229874348e-34,5.916044855991861e-60,6.759247822844153e-34,1.4650407459700255e-18,1.399615596189846e-45,7.037852829746804e-63,3.461460968030636e-32,5.592211437273335e-45,3.0026097133900073e-46,2.277637452813274e-48,6.200669791469894e-61,3.7982878030058544e-56,2.539537962625582e-41,1.2315994744691954e-46,3.870525962985647e-47,2.1694158581043324e-49,1.1872279587407732e-65,1.594836007765757e-65,5.87032667297659e-71,7.407727803882524e-19,2.315552655829848e-45,2.914329620937455e-63,6.9878806921927835e-50,3.711276271226209e-54,2.0426985371691023e-31,1.4650407459341986e-18,2.5416757859352834e-46,3.3004804825446594e-16,1.558693443024287e-32,3.3301167158132174e-29,1.4259497097616043e-46,3.141574738672658e-45,6.121554705507999e-40,7.40772780368705e-19,1.0937305676343425e-61,3.029193300747173e-35,1.657555920792529e-62,5.010935204785835e-63,1.888128178819691e-46,4.656240157648136e-66,2.5558156090548552e-61,6.374023615806041e-32,2.2608005129542048e-52,8.557396668013373e-47,2.006199161336487e-69,1.5229316317799272e-60,6.333837447216928e-60,4.3926189929203907e-75,5.724255419768655e-56,6.741105586933528e-20,1.2563880973220817e-67,2.3878408750133805e-66,8.806026733931119e-60,3.902014161744945e-34,7.168554797123684e-63,5.339906283370775e-62,5.6144809498691505e-64,1.241145966631228e-61,4.2751808142967304e-63,3.0406234656232004e-63,1.458350365505997e-63,1.3358196344960756e-59,6.369037907220829e-61,4.181385075799212e-59,7.923260318332583e-76,1.517918521063803e-71,6.009523030850223e-72,3.517073655341089e-76,1.9501704137780748e-63,1.735272466499879e-65,5.900998701743092e-59
6.861675385871092e-19,0.7112514474229077,3.76,0.0,0.8692297637591841,1.0,5.646033306296004e-41,6.647446605689299e-16,2.3718069840239275e-30,4.2027875771982124e-14,4.202787577198222e-14,4.43513090301965e-31,1.3577156328155125e-19,1.7360957313575172e-29,2.1728865401310865e-40,1.7686193059215272e-40,2.2870804071402e-17,1.3667506228186802e-31,9.805399401990138e-18,5.1951603314123915e-22,4.28991923425641e-27,1.3065924177180104e-17,7.020697920052611e-31,6.758185181520027e-31,3.350154640736904e-41,4.760562300661288e-23,7.834145146080689e-35,4.504948631773682e-46,3.5761561687881733e-31,3.7700955997039634e-44,2.92586300177518e-61,9.163788044735522e-32,4.4528942931374487e-35,7.484028927021751e-47,3.5374394982599415e-52,2.912515638991876e-60,9.46927180628024e-17,1.6010056004559766e-30,9.469271806272622e-17,1.0721429855307629e-33,9.590163646183063e-59,2.7321960403610936e-33,2.9507158686489288e-18,1.1381441419223676e-44,1.1408662779750521e-61,1.3991778672408196e-31,4.529299775087932e-44,2.4416723463485594e-45,1.8521369522803834e-47,5.027546341053209e-60,3.0759519424726528e-55,2.056583704631432e-40,1.0015162387526089e-45,3.1474474330189223e-46,1.756849208009265e-48,1.9245476824621055e-64,2.5852978948859158e-64,9.516052676162788e-70,1.4919789802053769e-18,1.8767747011971613e-44,4.724254006925728e-62,5.682428535386329e-49,3.005487783074063e-53,8.256914086571388e-31,2.9507158685041104e-18,2.066848536864956e-45,6.647446605688429e-16,6.300488110357508e-32,1.3460864204619054e-28,1.1547710456053459e-45,2.544128672718627e-44,4.9573937102934186e-39,1.4919789801263635e-18,1.7830568689159403e-60,1.2244483647813183e-34,2.7022344950952066e-61,8.169089141800325e-62,1.5353944775333123e-45,7.590847216663284e-65,4.166624497022672e-60,2.57648225733626e-31,1.8308548745151284e-51,6.9587328485552176e-46,6.548567289934574e-68,2.482762927989447e-59,1.0325753616830358e-58,1.4331074294925643e-73,9.279264705110067e-55,1.3577156319514922e-19,2.048229767593611e-66,3.892783335075865e-65,1.4338331497565095e-58,1.5772565115516417e-33,1.1686553568659054e-61,8.705394964294199e-61,9.153020964987568e-63,2.0233811746393218e-60,6.969623726999037e-62,4.956983660715318e-62,2.3774791645556256e-62,2.17772314777197e-58,1.0383139248075478e-59,6.816713000763148e-58,2.5849678638692144e-74,4.9547388613671647e-70,1.961608406549484e-70,1.147447136807588e-74,3.179269979462558e-62,2.8130039523894115e-64,9.62011721898535e-58
1.3771334515699324e-18,0.7112514474229132,3.76,0.0,0.8692297637591411,1.0,4.544418801038759e-40,1.3341378851979132e-15,9.536931578533151e-30,8.434965277313618e-14,8.434965277313656e-14,1.7833466274753765e-30,2.724925780895513e-19,6.980764579468778e-29,1.7489281245145886e-39,1.4235386837063769e-39,4.590154383562524e-17,5.495644142479102e-31,1.9679368026556346e-17,1.0426735852903058e-21,1.7249576560706958e-26,2.6223218449421396e-17,2.822991755574526e-30,2.717436538306377e-30,2.6964959117136394e-40,9.554415275369912e-23,3.150075306342898e-34,3.625974579367343e-45,1.4379566664987473e-30,3.034500929052874e-43,4.712012162297828e-60,3.684718868339797e-31,1.7904892120652708e-34,6.023797580448766e-46,2.847239058017657e-51,4.690516650887484e-59,1.900476229651748e-16,6.437573104647959e-30,1.9004762296486845e-16,4.3110397916128454e-33,1.5444662887609613e-57,1.098604010625734e-32,5.922066114022065e-18,9.179544759280767e-44,1.8373299893994072e-60,5.626032665803867e-31,3.645806962103675e-43,1.9692972042483756e-44,1.4938155530225342e-46,4.056399280088225e-59,2.4757937288351795e-54,1.6553175172736757e-39,8.07759128972508e-45,2.5385303788232232e-45,1.4140650853738572e-47,3.099424712806317e-63,4.163542559898677e-63,1.5325310018052227e-68,2.9943913797997007e-18,1.5112227298860565e-43,7.608265768166982e-61,4.583084487257536e-48,2.4190780993905388e-52,3.320068838932322e-30,5.922066113439755e-18,1.6669882217728784e-44,1.3341378851975633e-15,2.5333985586319246e-31,5.412554293201983e-28,9.294602009536577e-45,2.0477360876073777e-43,3.990141737926917e-38,2.994391379481992e-18,2.8796416071516515e-59,4.923453021472618e-34,4.3641159233818124e-60,1.3193100989057998e-60,1.2383512692224422e-44,1.225924042182164e-63,6.729109691375089e-59,1.0359921838604405e-30,1.473631290083462e-50,5.612470132952833e-45,2.1163836422728274e-66,4.009668760792729e-58,1.667611967214022e-57,4.630393617917417e-72,1.4943969726888572e-53,2.724925777421324e-19,3.307896781476443e-65,6.286855642199534e-64,2.31421246650188e-57,6.342079058952041e-33,1.8873815228253892e-60,1.4059236119470471e-59,1.478215329086379e-61,3.2677660016477797e-59,1.1255960935174013e-60,8.00554184640791e-61,3.839635201822368e-61,3.517028700890159e-57,1.6768797611169344e-58,1.1009009704946714e-56,8.35203505670983e-73,1.6012859825005214e-68,6.339579406242176e-69,3.707403419032761e-73,5.134529533014982e-61,4.5302982817880717e-63,1.553651500520946e-56
2.7590652775355788e-18,0.7112514474229241,3.76,0.0,0.8692297637590548,1.0,3.64660989408002e-39,2.672924334456274e-15,3.824736122013367e-29,1.68993206775436e-13,1.6899320677543758e-13,7.152017579688147e-30,5.459346078108255e-19,2.7995988186492824e-28,1.403404676317977e-38,1.1423001421755432e-38,9.19630233641146e-17,2.203999099827103e-30,3.9427305263612945e-17,2.0890143982173058e-21,6.917851704817396e-26,5.2537806981621497e-17,1.1321459554358544e-29,1.0898135924977878e-29,2.1637681497403505e-39,1.9142121310850825e-22,1.26332108754362e-33,2.9096162421820764e-44,5.766849370770504e-30,2.43499588858e-42,7.563823065001867e-59,1.477737068766801e-30,7.180662566964852e-34,4.833718199498057e-45,2.284730030463583e-50,7.529318024304287e-58,3.80757432769829e-16,2.5817547424573197e-29,3.807574327686004e-16,1.7289197734910866e-32,2.479210435916654e-56,4.4058934407007257e-32,1.1864766604829658e-17,7.373509529188758e-43,2.9493216033429275e-59,2.256290729213252e-30,2.925623401167332e-42,1.581846616101241e-43,1.19991389376341e-45,3.2707208656366775e-58,1.9866685533851342e-53,1.3282881123936147e-38,6.488360602184206e-44,2.0390856514424965e-44,1.134698176851691e-46,4.975263085334108e-62,6.683407895758425e-62,2.460051837815926e-67,5.999216178828648e-18,1.2129133603597355e-42,1.2212952591654397e-59,3.681382720450849e-47,1.941157922908113e-51,1.3314960980794644e-29,1.1864766602494336e-17,1.339015595307354e-43,2.6729243344548715e-15,1.016006131039822e-30,2.17067635362558e-27,7.458332769336167e-44,1.6431792445569178e-42,3.201837448523013e-37,5.9992161775544925e-18,4.628939783758023e-58,1.974524868334728e-33,7.015188874328857e-59,2.12075251774156e-59,9.94711083239132e-44,1.9706377011794835e-62,1.0816847294678126e-57,4.154792015838274e-30,1.1824963143447882e-49,4.508241219055733e-44,6.80597238256602e-65,6.445425427041758e-57,2.680637532647706e-56,1.4888780963224284e-70,2.398838094746392e-52,5.459346064175203e-19,5.317348223191218e-64,1.0105937337801567e-62,3.7188772924230165e-56,2.543457356062291e-32,3.033910674364355e-59,2.259981144256796e-58,2.37618796324775e-60,5.252838408489345e-58,1.8093628457944888e-59,1.28686746866186e-59,6.172101447668723e-60,5.653520918697484e-56,2.6955352378679905e-57,1.7696661571343165e-55,2.6855456231522226e-71,5.1494957436795485e-67,2.0387137287319787e-67,1.1920928162939055e-71,8.253606341531957e-60,7.272165811447031e-62,2.497449410923165e-55
