Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66),C2H2F3(67),S(4446),CF2O(49),S(6032),S(2070),CFO2(332),C3H3(4381),S(4999),C3H3(8252),S(5941),S(7087),S(2403),S(5038),S(8410),S(2402),S(10418),CHO2(146),CFO(51),S(10885),S(4379),S(10215),S(4983),S(7380),S(7383),S(1043),S(5962),S(5940)
0.0,0.7364972750654054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8192621735420724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5804715584046654e-22,0.7364972750654054,2.9989934154696086e-26,6.420265969910637e-28,7.418972822889542e-38,1.552181910574475e-37,0.0,0.0,1.8496498052364986e-21,2.6104764001778834e-39,1.3945147836503967e-51,4.387235506266694e-50,1.2246061239839206e-51,2.6415252701238648e-64,3.0688499336477354e-43,1.7263926579238525e-36,5.222863847361013e-21,1.177680384296603e-38,1.6150112125617085e-77,9.821929632666086e-75,1.4809387440957009e-52,1.550902025724856e-37,7.022690000123392e-23,1.3461744230421603e-55,1.888015765916292e-39,2.1762261286201642e-55,3.131431406584519e-39,4.7701626842640955e-18,4.6253780689457854e-39,3.2878199894215227e-23,2.0069302871489833e-55,2.6114226728488734e-60,2.67631642129503e-54,8.475799744501511e-41,3.76,0.0,0.8192621735420724,0.9999999999999993,6.230706579646791e-52,2.0471500095998064e-20,4.7701626842640955e-18,8.387226851888654e-22,7.542734962747469e-35,1.0109571099816294e-21,2.3975729959543006e-58,5.5130506325945e-57,3.025350921248612e-60,8.822088025850202e-64,7.141161138239398e-72,5.222863847361014e-21,6.752401077992097e-38,7.290732298004205e-42,7.480545619954351e-57,1.9963310088839247e-55,4.507289115910761e-39,2.3190778764095015e-38,7.022690000123579e-23,1.4678173613436723e-41,1.4342436276474328e-73,6.02233257849339e-74,1.992676798921788e-88,6.160968524143763e-94,5.876338281312576e-57,5.744189399429365e-78,9.078536530897424e-56,2.865386813786791e-69,4.850118280549157e-59,4.857422101058093e-54,2.821565341824885e-56,1.8913697175260115e-73,4.649031535490027e-59,3.2270174115526966e-99,1.4812565548014479e-92,3.453245965407215e-39,3.2878199894214204e-23,1.1821725453440316e-58,3.301799070703393e-39,5.314644768916079e-16,1.3819173670581446e-76,9.296428986500839e-39,3.0287567491313826e-77,5.349736982006365e-89,2.047150009599805e-20,1.9657844535203494e-56,2.256497596346804e-77,3.5400243360554547e-40,2.522880301639572e-75,5.498352461795639e-78,8.00139096473299e-91,9.96006469210252e-89,5.208681386161596e-74,1.7719793188809352e-41,2.1262434998938925e-40,1.010369743624045e-35,1.5226387154874336e-74,6.659316124234639e-97,3.4432652451191728e-93,4.975357538631987e-74,9.204865999295364e-89,2.6166226321432792e-76,5.290794448385274e-78,2.9828912896947166e-93,1.6372218156522203e-76,4.927919855743887e-79,2.1790954065346785e-58,2.147514983518955e-58,2.390337004879855e-77,1.1069444993389191e-74,1.5036462709507462e-75,3.530425721937069e-78,6.053102765224552e-90,3.233526163894119e-87,2.0454800992448467e-61,2.704817459390866e-90,8.429755275754861e-93
7.225320363533063e-22,0.7364972750654054,8.39718159092965e-26,1.797674471609258e-27,4.4810595850266626e-37,9.37517873989103e-37,0.0,0.0,5.179019454662194e-21,1.5767277457074407e-38,1.6555679511589063e-50,5.208525993041767e-49,1.4538523932469756e-50,3.136018800690952e-63,1.8535853599231924e-42,1.042741165385956e-35,1.462401877261083e-20,7.113189521151912e-38,3.6127154821795324e-76,3.086976614452262e-73,1.758170476990409e-51,9.367448235378085e-37,1.966353200034494e-22,1.5981782750356224e-54,1.1403615226134167e-38,2.583615659897796e-54,1.8913845695770834e-38,1.3356455515939467e-17,2.7937283536432427e-38,9.205895970380217e-23,2.3826276369034036e-54,3.100280997206196e-59,3.4937118194222973e-53,5.119383045678915e-40,3.76,0.0,0.8192621735420724,0.9999999999999984,7.397094851460633e-51,5.732020026879457e-20,1.3356455515939467e-17,2.3484235185287044e-21,4.555811917499293e-34,2.830679907948441e-21,2.8493095648293927e-57,7.893918543996726e-56,3.591696613716528e-59,1.0473584144096104e-62,1.9329204482733283e-70,1.4624018772610834e-20,4.078450251107224e-37,4.403602307995323e-41,8.880903760017877e-56,2.3700441737466126e-54,2.722402626031412e-38,1.4007230373512076e-37,1.9663532000346069e-22,8.865616862509873e-41,3.3463805306259614e-72,1.6163924884532536e-72,9.907820928269336e-87,3.0380976692150533e-92,8.880311164996053e-56,1.2861760190288268e-76,1.0825486775064034e-54,6.4369439159777695e-68,7.329498745567296e-58,5.766731518371265e-53,3.4674184283287096e-55,5.333965222578132e-72,7.0256164564325e-58,1.591305306320829e-97,7.364979961494986e-91,2.0857605631058685e-38,9.205895970379597e-23,1.7864991505247967e-57,1.994286638703389e-38,1.4881005352953418e-15,4.3449693088108804e-75,5.61504310784644e-38,9.522895820344373e-76,2.562177892811505e-87,5.732020026879453e-20,2.970662070013543e-55,6.363676488325825e-76,2.1381746989774938e-39,7.114926111472823e-74,1.5506233678665305e-76,3.409911484042626e-89,4.130740897149222e-87,1.4689312655214213e-72,1.0702755086047353e-40,1.2842510739346382e-39,6.102633251489202e-35,4.787419743686912e-73,3.4470532980759214e-95,1.9835081489719125e-91,1.5643320158665528e-72,5.599533859248653e-87,8.227080215079468e-75,1.6635104272835386e-76,1.717992658829415e-91,5.147687343900962e-75,1.5494168493626188e-77,2.587022066656236e-57,2.549529788433701e-57,5.347088266432447e-76,3.480410617041769e-73,4.727704459270419e-74,1.1100223337885623e-76,3.6823568202162734e-88,1.9671052056592804e-85,3.09112952599651e-60,1.6331592112464408e-88,5.055076845826279e-91
1.6515017973789858e-21,0.7364972750654054,1.9193558052308716e-25,4.108970220982761e-27,2.157437296898349e-36,4.513744995982372e-36,0.0,0.0,1.1837758753513579e-20,7.591265371717277e-38,1.6254464318357807e-49,5.1137617061104996e-48,1.4274009021672768e-49,3.0789618548560626e-62,8.924215607047014e-42,5.020349849241799e-35,3.3426328623110445e-20,3.4246945575351663e-37,7.138116998672199e-75,6.886123157813724e-72,1.7261822001179272e-50,4.510023090807815e-36,4.49452160007858e-22,1.569100907497848e-53,5.490349847284222e-38,2.5366091755194675e-53,9.106202530348278e-38,3.052904117929021e-17,1.3450599424494169e-37,2.1042047932297421e-22,2.3392779427009326e-53,3.0438742674726782e-58,3.5687867496258916e-52,2.4647625657010405e-39,3.76,0.0,0.8192621735420724,0.9999999999999966,7.262511589385935e-50,1.3101760061438764e-19,3.052904117929021e-17,5.367825185207908e-21,2.1934273271666982e-33,6.470125503881583e-21,2.7987445678103926e-56,8.341343080184553e-55,3.5263490338378794e-58,1.0283029508393089e-61,4.139313701023558e-69,3.3426328623110476e-20,1.9635982334800967e-36,2.1201449522607747e-40,8.719323974643807e-55,2.3269234239539166e-53,1.310719674938818e-37,6.743878464596856e-37,4.494521600079122e-22,4.268412886778539e-40,6.744972925073766e-71,3.452192305139742e-71,4.2572159654450904e-85,1.3017816321279392e-90,9.553029648236789e-55,2.542349143824359e-75,1.0649318632340193e-53,1.2744530494522373e-66,7.884740286328531e-57,5.661811200978112e-52,3.4558881598410716e-54,1.16025394428533e-70,7.557837586615319e-57,6.818514467829432e-96,3.164602035527741e-89,1.0042039267402837e-37,2.1042047932294433e-22,1.9218342635182588e-56,9.601631697583557e-38,3.4013726520981675e-15,9.693387511535343e-74,2.703401549274343e-37,2.12450567213979e-74,1.3313579966259573e-85,1.3101760061438735e-19,3.195691887871059e-54,1.3842380418292481e-74,1.0294390769249245e-38,1.547651838672497e-72,3.3729445236254497e-75,1.354996257777481e-87,1.6376518832888853e-85,3.1952450367853266e-71,5.152915859315512e-40,6.18311609767234e-39,2.9381552144586776e-34,1.0680470092572743e-71,1.5051177617243322e-93,8.89508831452425e-90,3.489938673614413e-71,2.5278846734119223e-85,1.8354163388791067e-73,3.711200253688872e-75,7.704200168710688e-90,1.148420729035723e-73,3.456663757621385e-76,2.539953605913444e-56,2.5031434647896866e-56,1.0564945353017612e-74,7.764604629500984e-72,1.0547248577962954e-72,2.4763987644389276e-75,1.6623896991502433e-86,8.880449691300582e-84,3.3252960877987498e-59,7.366282108728532e-87,2.2781945115476733e-89
3.509441319430345e-21,0.7364972750654054,4.0786311416902794e-25,8.731561720278235e-27,9.42209548509111e-36,1.9712710264624422e-35,0.0,0.0,2.515523735121632e-20,3.3153050282259048e-37,1.4376889613649363e-48,4.523064317553397e-47,1.2625199336625804e-48,2.7233068924862386e-61,3.897439415732005e-41,2.1925186755625037e-34,7.103094832410962e-20,1.4956540880573527e-36,1.270189781282756e-73,1.2896402450917127e-70,1.526788607612859e-49,1.9696455726704992e-35,9.550858400165857e-22,1.3878519831793484e-52,2.397780022713324e-37,2.243602089561833e-52,3.976917886362853e-37,6.487421250599171e-17,5.874230147560965e-37,4.471435185613108e-22,2.0690648488389762e-52,2.6922723188003325e-57,3.211611396299303e-51,1.0764265675516927e-38,3.76,0.0,0.8192621735420724,0.9999999999999928,6.423609255507396e-49,2.784124013055738e-19,6.487421250599171e-17,1.1406628518564418e-20,9.57927340268654e-33,1.3749016695745935e-20,2.4759644486753983e-55,7.612554191341923e-54,3.1190157858336696e-57,9.095227540936174e-61,7.625725568506181e-68,7.103094832410974e-20,8.575549369049909e-36,9.259230018477144e-40,7.712143312400678e-54,2.0581374169164818e-52,5.724257177537008e-37,2.945228903038028e-36,9.550858400168225e-22,1.8641280488973082e-39,1.2110321187391878e-69,6.352812550809294e-70,1.5746530645971299e-83,4.80950684489402e-89,8.780878685614964e-54,4.5248586757929935e-74,9.427458955873644e-53,2.2699483884077047e-65,7.247434744271222e-56,5.007807889274926e-51,3.0771691627625325e-53,2.1509152723118837e-69,6.946954842851788e-56,2.5191388644296903e-94,1.170518558117965e-87,4.385622376065776e-37,4.471435185611805e-22,1.7664967910643114e-55,4.193284819770671e-37,7.22791688568525e-15,1.8154642021148883e-72,1.1806464812855024e-36,3.9789640003112256e-73,5.309183082411848e-84,2.784124013055724e-19,2.937387496717018e-53,2.5661436023878295e-73,4.4958309067904037e-38,2.869085679407308e-71,6.252870696348843e-74,4.844877531862683e-86,5.850470911342673e-84,5.923444894195612e-70,2.2504137349888655e-39,2.700329244845505e-38,1.2831695744024897e-33,2.0003338452861437e-70,5.603175166915248e-92,3.34659633795782e-88,6.536268896684386e-70,9.54478610167473e-84,3.437531673258695e-72,6.950667348670203e-74,2.898512654489428e-88,2.150864927299252e-72,6.473948661617256e-75,2.2465602004398983e-55,2.214002047408685e-55,1.8799755772774884e-73,1.4542245145618003e-70,1.9753829299871057e-71,4.638020817432891e-74,6.276862766195914e-85,3.3530881238552794e-82,3.056520002825726e-58,2.780036986037574e-85,8.594121476571e-88
7.225320363533062e-21,0.7364972750654054,8.397181991343473e-25,1.797674472106305e-26,3.933539390715291e-35,8.229668490161594e-35,0.0,0.0,5.1790194546621686e-20,1.3840745873743073e-36,1.2084641992857662e-47,3.801908093985632e-46,1.0612240769728751e-47,2.289103534683819e-60,1.6271042348194724e-40,9.153333872305162e-34,1.4624018772610766e-19,6.244061397546593e-36,2.142360721587877e-72,2.2274907382572452e-69,1.2833578206133477e-48,8.222882540392574e-35,1.9663532000336825e-21,1.1665732162172101e-51,1.0010259590884884e-36,1.885882743443429e-51,1.6602849317715724e-36,1.3356455515939466e-16,2.4523754521548915e-36,9.205895970379546e-22,1.7391736759582035e-51,2.263017105528166e-56,2.7213833629403504e-50,4.493869024534709e-38,3.76,0.0,0.8192621735420723,0.9999999999999851,5.399430630761372e-48,5.732020026879464e-19,1.3356455515939466e-16,2.348423518526984e-20,3.9991580772462386e-32,2.830679907946692e-20,2.081398156151206e-54,6.49187783211481e-53,2.6217207028533e-56,7.645094156618752e-60,1.3070330057074316e-66,1.4624018772610824e-19,3.5801230515513594e-35,3.865546264412408e-39,6.482521145617843e-53,1.7299885109981512e-51,2.3897646895531916e-36,1.2295750900704823e-35,1.9663532000346725e-21,7.78236764976175e-39,2.0512224193179145e-68,1.0882933237460934e-68,5.409372924124642e-82,1.651316473157811e-87,7.512226049455686e-53,7.632555144963431e-73,7.927621170379445e-52,3.830301478053697e-64,6.20033300845766e-55,4.209364273965405e-50,2.594664225466359e-52,3.696873791876927e-68,5.943266126591559e-55,8.649317552332313e-93,4.021058058955511e-86,1.830911010857658e-36,9.205895970374103e-22,1.5112751959115802e-54,1.750613867266564e-36,1.4881005352785145e-14,3.135762935099264e-71,4.928966648641807e-36,6.872670812043253e-72,1.8863768931692996e-82,5.732020026879404e-19,2.5129953514648777e-52,4.410544863511296e-72,1.8769209029765796e-37,4.9312252283497916e-70,1.07470871117102e-72,1.6384375004211828e-84,1.9776755901623034e-82,1.0180887778256202e-68,9.395034348797408e-39,1.1273343036259767e-37,5.356980380694258e-33,3.455079269835634e-69,1.9303786921861789e-90,1.1588279541453105e-86,1.1289779063745556e-68,3.3115249120995154e-82,5.937481111799534e-71,1.2005549335933552e-72,1.0036629070448522e-86,3.71508427957686e-71,1.1182136355551132e-73,1.8883692139921767e-54,1.861002124477758e-54,3.170853594066778e-72,2.511811208811065e-69,3.4119827684982087e-70,8.011027567794561e-73,2.177734449623784e-83,1.1633419034444371e-80,2.614917213345393e-57,9.64273523619794e-84,2.980212004613931e-86
1.4657078451738497e-20,0.7364972750654054,1.703428439758737e-24,3.6467110731408135e-26,1.60697918934547e-34,3.3620881058311177e-34,0.0,0.0,1.0506010893743196e-19,5.654396301841247e-36,9.907719629055941e-47,3.117033957081635e-45,8.70055614838733e-47,1.8767453795429996e-59,6.647251710273621e-40,3.7394355527633664e-33,2.9665866653010265e-19,2.550902819606897e-35,3.5188339203285013e-71,3.700975949945492e-68,1.0521742785523883e-47,3.359315823800547e-34,3.988887920066445e-21,9.564272040395865e-51,4.089517669602535e-36,1.5461606133104365e-50,6.782805683922228e-36,2.7094524046620054e-16,1.001875391245794e-35,1.8674817539911232e-21,1.4258796559975313e-50,1.855358148846668e-55,2.2398417213040316e-49,1.835892127858012e-37,3.76,0.0,0.8192621735420722,0.9999999999999698,4.426779450971681e-47,1.1627812054526925e-18,2.7094524046620054e-16,4.763944851865034e-20,1.6337865638688617e-31,5.742236384687799e-20,1.70653588707631e-53,5.35946890517361e-52,2.1494450299920565e-55,6.2679221862194665e-59,2.1634844035886917e-65,2.9665866653010506e-19,1.462597083097358e-34,1.5792017786858412e-38,5.314762492692326e-52,1.4183491028156758e-50,9.762968519144531e-36,5.023215443402501e-35,3.9888879200704884e-21,3.179351117295084e-38,3.3760430512086754e-67,1.800956718584531e-67,1.7927522283421457e-80,5.471297550404576e-86,6.211253560585275e-52,1.2537076720554934e-71,6.50084560697351e-51,6.292641548023563e-63,5.126555234097606e-54,3.451091150823316e-49,2.1304930255046632e-51,6.12729719413989e-67,4.9140073649634923e-54,2.8657733975390974e-91,1.3326425995349722e-84,7.479868890900085e-36,1.867481753988901e-21,1.2495515571893756e-53,7.151828858933867e-36,3.018718228668785e-14,5.210117015995284e-70,2.0136437041912345e-35,1.1419045343596551e-70,6.352916633763752e-81,1.162781205452668e-18,2.07779256879184e-51,7.310154393361791e-71,7.66783431286936e-37,8.173144177068523e-69,1.7812508733761762e-71,5.389191135899984e-83,6.503660827995657e-81,1.6874074512860914e-67,3.8381780839456436e-38,4.605528470359752e-37,2.188501279479064e-32,5.740665881910991e-68,6.40622293247312e-89,3.8555071418297925e-85,1.8758136767346375e-67,1.10287523768025e-80,9.865213669792775e-70,1.9947399779834743e-71,3.339249710359968e-85,6.172668094299554e-70,1.8579286797536166e-72,1.5481991722830512e-53,1.5257619786593267e-53,5.208136549670262e-71,4.173411890759801e-68,5.669060400333758e-69,1.3310442118939236e-71,7.252763530304872e-82,3.874414024906306e-79,2.1620641197399754e-56,3.211004481325297e-82,9.922801797209932e-85
2.9520594628149366e-20,0.7364972750654055,3.4308492037825206e-24,7.34478427872001e-26,6.495666817269406e-34,1.3590097676456194e-33,0.0,0.0,2.115999377190507e-19,2.2855973912229005e-35,8.023528230576352e-46,2.5242549130402417e-44,7.045935946426204e-46,1.5198370662620284e-58,2.6869254217015243e-39,1.511539638854964e-32,5.974956241380883e-19,1.0311157051143031e-34,5.704181428229203e-70,6.033498440748788e-67,8.520780102319556e-47,1.3578891668189189e-33,8.033957360126239e-21,7.745395468805511e-50,1.6530484278141826e-35,1.2521209515786857e-49,2.7417185051754653e-35,5.457066110798123e-16,4.049740517508204e-35,3.7612660678969875e-21,1.154714313852272e-49,1.5025171323445796e-54,1.8173473602436523e-48,7.420969514698862e-37,3.76,0.0,0.819262173542072,0.9999999999999392,3.584920771425913e-46,2.341939610982189e-18,5.457066110798123e-16,9.594987518528988e-20,6.60402651114642e-31,1.1565349338157652e-19,1.3820288899155869e-52,4.355010782528173e-51,1.7406763135749128e-54,5.0759454896934184e-58,3.520444630633673e-64,5.974956241380978e-19,5.912051259033475e-34,6.383386082126437e-38,4.3040324612409834e-51,1.1486158766374706e-49,3.946347972928021e-35,2.0304639965218055e-34,8.03395736014259e-21,1.285144555032343e-37,5.47823021999467e-66,2.930168970873933e-66,5.837602102841016e-79,1.7813466919793566e-84,5.0508881587836574e-51,2.0323610014664005e-70,5.265073026645277e-50,1.020173016407763e-61,4.168829576727178e-53,2.7947830894344997e-48,1.7266171957378977e-50,9.976715082522512e-66,3.995989179418596e-53,9.330393424210476e-90,4.339382273990334e-83,3.023482598511671e-35,3.761266067888004e-21,1.0161145743002642e-52,2.89088357261431e-35,6.079953615330489e-14,8.493805701795566e-69,8.139469806266307e-35,1.8615925927971643e-69,2.0849452789733826e-79,2.341939610982089e-18,1.689626178686004e-50,1.190269118672415e-69,3.0994612273845167e-36,1.3307846543088798e-67,2.9003052881983545e-70,1.7483521416775113e-81,2.1096863153113856e-79,2.7475055786935573e-66,1.551452948750724e-37,1.861628243721368e-36,8.846272082902462e-32,9.358734256764954e-67,2.087374454213556e-87,1.2578634762996366e-83,3.058049724005892e-66,3.599967112547095e-79,1.6082788133119903e-68,3.2519296104894904e-70,1.0894319822887493e-83,1.0063006894685907e-68,3.028892664917442e-71,1.2537718297965175e-52,1.2356016083689178e-52,8.442613780655202e-70,6.803714696732255e-67,9.241999249365412e-68,2.1699380035992725e-70,2.3674225781780867e-80,1.264673229721259e-77,1.758154635854038e-55,1.04805466587295e-80,3.2385478714132802e-83
5.924762698097112e-20,0.7364972750654055,6.885691862930103e-24,1.4740930703919138e-25,2.6118790582983344e-33,5.464518505124418e-33,0.0,0.0,4.2467959528228097e-19,9.190286585881883e-35,6.458033551128738e-45,2.031739959281847e-43,5.67118223237953e-45,1.223297093761383e-57,1.0804008945372707e-38,6.077834407887095e-32,1.1991695393540423e-18,4.146070900165478e-34,9.186408361077474e-69,9.744095002414443e-66,6.858265117460263e-46,5.4600126176419164e-33,1.6124096240222907e-20,6.2341681074632615e-49,6.646835024520331e-35,1.0078158738896771e-48,1.1024329524163042e-34,1.0952293523070353e-15,1.6283828506837153e-34,7.54883469570682e-21,9.29414537661474e-49,1.2093565041473883e-53,1.464143526049249e-47,2.9839392032507786e-36,3.76,0.0,0.8192621735420714,0.999999999999878,2.88545611793487e-45,4.700256422041197e-18,1.0952293523070353e-15,1.9257072851808312e-19,2.655450014561144e-30,2.3211575245047937e-19,1.1123898201864333e-51,3.511192933200367e-50,1.4010477328420496e-53,4.085594073020716e-57,5.68024189285543e-63,1.1991695393540806e-18,2.3772098091111466e-33,2.56673146850112e-37,3.464259767387028e-50,9.245059848303313e-49,1.5868091640923216e-34,8.16440642691104e-34,1.612409624028866e-20,5.167509732839386e-37,8.82693411292206e-65,4.727536947455425e-65,1.8843195457442244e-77,5.7496391409827275e-83,4.0737242481119785e-50,3.2730923285598434e-69,4.237996418202824e-49,1.643044118147844e-60,3.362312079907765e-52,2.24948457087764e-47,1.3902465001660005e-49,1.6102458366272747e-64,3.2229100378495074e-52,3.011563947682193e-88,1.4007091766734552e-81,1.2157290550984276e-34,7.5488346956707e-21,8.195332154853816e-52,1.1624115699223125e-34,1.2202424388178556e-13,1.371751889678286e-67,3.2728450104082716e-34,3.0064770098287017e-68,6.756157508458475e-78,4.700256422040795e-18,1.3627446320715025e-49,1.921099139701701e-68,1.246279727605533e-35,2.1478917974010672e-66,4.681104428489926e-69,5.6331605224774384e-80,6.797018790677197e-78,4.43448506368301e-65,6.238324071805375e-37,7.48552529011285e-36,3.557047097215769e-31,1.5114380823099553e-65,6.740005596465956e-86,4.0641624127802574e-82,4.938758472740226e-65,1.1634469452438563e-77,2.597374579426014e-67,5.251875007288697e-69,3.519956376923665e-82,1.6251783014546185e-67,4.8916697442063343e-70,1.009144644799322e-51,9.945196693257171e-52,1.3596569221819737e-68,1.0988017408930244e-65,1.4925853473887696e-66,3.504455672008153e-69,7.651100306445401e-79,4.0872052850357264e-76,1.4180154078803163e-54,3.387016972256355e-79,1.0465746213365052e-81
1.1870169168661462e-19,0.7364972750654057,1.3795381705625332e-23,2.9533223610480307e-25,1.0474803215677043e-32,2.1915163277942915e-32,0.0,0.0,8.508389104087127e-19,3.685715966552461e-34,5.18216521200257e-44,1.630343362895198e-42,4.550766582948466e-44,9.816188771791068e-57,4.332890808192272e-38,2.437483435334404e-31,2.40251736978588e-18,1.6627598685333867e-33,1.474621996960608e-67,1.5663331272728516e-64,5.503325838308486e-45,2.189709264705978e-32,3.230437400032459e-20,5.0025272920325185e-48,2.665678131787627e-34,8.087087687669513e-48,4.421249214389172e-34,2.1942748347614804e-15,6.530543543268699e-34,1.5123971951318905e-20,7.457966339874684e-48,9.704324319663006e-53,1.1754362899050876e-46,1.196693080446357e-35,3.76,0.0,0.8192621735420703,0.9999999999997555,2.3153968150159847e-44,9.41689004415927e-18,2.1942748347614804e-15,3.858124351817267e-19,1.0649542237380987e-29,4.650402705863079e-19,8.926278655882859e-51,2.819870102526839e-49,1.1242525711191146e-52,3.2784825685727804e-56,9.12658556794909e-62,2.402517369786033e-18,9.533674567608293e-33,1.0293741187637887e-36,2.779850292219624e-49,7.418578294564972e-48,6.363814472548073e-34,3.2742921391518135e-33,3.230437400058828e-20,2.072402525202025e-36,1.4172713923881175e-63,7.595614943070523e-64,6.056009474948103e-76,1.8478156752249542e-81,3.272236841572223e-49,5.2540681885944924e-68,3.400808205980415e-48,2.6375192131608605e-59,2.70079191304419e-51,1.8050697003260873e-46,1.1157910252470633e-48,2.5876218312427824e-63,2.5888166117655893e-51,9.678546621087367e-87,4.5017354219426625e-80,4.8756172590259175e-34,1.5123971951174042e-20,6.582936468603308e-51,4.661790296204554e-34,2.4447365931973325e-13,2.2050510991934075e-66,1.3125572307423974e-33,4.832823985427407e-67,2.175553400803076e-76,9.416890044157665e-18,1.0946305610326756e-48,3.08715473092606e-67,4.998139119929597e-35,3.4516044567988822e-65,7.522409149546981e-68,1.8087876383149582e-78,2.1824415214136045e-76,7.126098437110765e-64,2.5018469688647312e-36,3.0020304392307805e-35,1.4265349788023728e-30,2.4295925740602626e-64,2.1665145684935534e-84,1.3068070718442866e-80,7.93891000296351e-64,3.741470664591943e-76,4.175203777176378e-66,8.442235687323986e-68,1.131820376160151e-80,2.612426654423473e-66,7.863216246405619e-69,8.097750245361351e-51,7.980394019727206e-51,2.1825504784814347e-67,1.766291706767969e-64,2.3992873531461678e-65,5.633310141182011e-68,2.4604791346242834e-77,1.3143839573214299e-74,1.139027091460243e-53,1.0891954452201487e-77,3.365517501092442e-80
