Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66),C2H2F3(67),S(4446),CF2O(49),S(6032),S(2070),CFO2(332),C3H3(4381),S(4999),C3H3(8252),S(5941),S(7087),S(2403),S(5038),S(8410),S(2402),S(10418),CHO2(146),CFO(51),S(10885),S(4379),S(10215),S(4983),S(7380),S(7383),S(1043),S(5962),S(5940),S(1903),C3H7(348),CHFO2(336),C2H3O(142),S(1082)
0.0,0.8083555341587837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8231494720729609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.453706445800581e-22,0.8083555341587837,9.587174078315469e-26,8.606026422747542e-27,2.5681813975222915e-37,8.803087349551848e-37,0.0,0.0,3.997642478069972e-21,6.269623481593638e-39,2.940048862374436e-51,1.6454241482817583e-36,3.574450590534945e-51,8.752085934259542e-63,6.298196615223151e-42,6.828409967149446e-36,1.8186336093160325e-20,3.602888872790218e-38,2.6614492293610478e-76,2.667366870905072e-73,5.484350362916866e-52,8.799680917457318e-37,5.372249499490264e-22,4.956649720412772e-55,7.44682297548849e-39,6.2183860476005574e-55,3.6410847849406265e-38,7.791656176629892e-18,3.937001316991252e-38,2.7093878279123306e-22,5.9899586817601454e-55,3.0796637895382866e-59,1.552408409506346e-53,4.965850151504777e-40,3.76,0.0,0.8231494720729609,0.9999999999999993,1.38833440177443e-51,1.267869962812211e-19,7.791656176629892e-18,1.7145875607875585e-21,2.1597405792587426e-34,2.283150789022728e-21,1.4113363691099844e-56,1.4266125191711496e-55,1.0788669606622095e-59,5.175558603766421e-63,8.243006654082084e-71,1.8186336093160328e-20,9.188178534708441e-38,5.379984399869386e-41,1.6566351415762477e-56,3.655149492213112e-55,7.196397750289953e-39,1.544490350976703e-38,5.372249499490338e-22,1.3748798013052242e-40,1.2393037360903104e-72,1.0706413194875495e-72,1.0063992790060882e-87,4.100656283663735e-92,1.1025919667445195e-55,6.645159204135224e-77,6.859849798394592e-55,2.4244130578864323e-57,4.754507634405165e-58,1.7246696374371326e-53,2.678337151697216e-55,1.5335526539001848e-57,8.251695377179603e-58,1.9884975379438698e-97,8.025936501893865e-92,4.4543822417250226e-39,2.7093878279122935e-22,3.411056345144018e-57,2.2411145309710324e-38,5.430272068244883e-16,5.593049399817695e-75,1.221551786086434e-38,7.55069237792944e-76,1.294702277292689e-87,1.2678699628122106e-19,2.223146785345135e-55,8.030268710565589e-76,3.330685254671251e-39,8.073287922690118e-75,3.568038930094717e-76,2.1559753478790648e-78,1.7674569740411056e-76,8.771579447203278e-58,4.432101134833528e-41,5.2822323582458e-40,4.431411840507513e-35,3.255866948751424e-73,6.459562819918861e-80,1.5963674509308575e-91,2.33912738429265e-72,6.623159401309465e-88,5.800513762088408e-75,2.526702473875574e-76,2.372933160709957e-92,2.700166999704328e-75,1.9913457872322912e-77,5.546276195521835e-39,1.4045587191329146e-37,6.484651147916377e-57,6.086571178170437e-73,3.039199460555636e-74,1.569886749495096e-76,5.9206451170129215e-89,3.418695557664563e-86,5.858523616763214e-60,5.4409359596777535e-89,1.1959528265536375e-76,6.563769302102967e-77,3.2084376311525917e-55,3.4256931095344547e-42,4.290517766326637e-76,2.170113718260792e-57
4.0703780482416266e-22,0.8083555341587837,2.684408750394872e-25,2.409687398377156e-26,1.5511815641037948e-36,5.317064759134495e-36,0.0,0.0,1.1193398938595917e-20,3.7868525828825567e-38,3.4904260096363397e-50,9.938361855622585e-36,4.2435877794274387e-50,1.0390476421152909e-61,3.8041107555947543e-41,4.124359620158159e-35,5.092174106084889e-20,2.1761448791653847e-37,5.953555468209571e-75,8.380749922195034e-72,6.511020750854891e-51,5.315007274144207e-36,1.504229859857252e-21,5.884534548073948e-54,4.4978810771949687e-38,7.382467915711269e-54,2.1992152101041622e-37,2.1816637294563698e-17,2.377948795462704e-37,7.586285918154481e-22,7.111278946989868e-54,3.656176850939797e-58,1.9857831466198465e-52,2.999373491508884e-39,3.76,0.0,0.8231494720729609,0.9999999999999984,1.6482306018232455e-50,3.5500358958741906e-19,2.1816637294563698e-17,4.800845170204832e-21,1.3044833098722143e-33,6.392822209263299e-21,2.0731119639911854e-55,2.1279925614371795e-54,1.280830855708657e-58,6.144423882913668e-62,2.3119753457703542e-69,5.092174106084891e-20,5.549659834963895e-37,3.2495105775214165e-40,1.9667572400798136e-55,4.339393477154975e-54,4.346624241221498e-38,9.328721719898307e-38,1.5042298598572964e-21,8.304273999880603e-40,2.888282912823532e-71,2.9935574842135567e-71,5.1815366852012775e-86,2.104817378122812e-90,1.6662348820812165e-54,1.4910684554152503e-75,8.191344004011937e-54,3.663773013100662e-56,7.185011937114475e-57,2.0475277935643626e-52,3.30798801926504e-54,2.3175047705739563e-56,1.2469962053993754e-56,1.020670844775719e-95,4.13222517992317e-90,2.690446874001757e-38,7.586285918154258e-22,5.154788348783307e-56,1.353633176705981e-37,1.5204761791079223e-15,1.758544220093254e-73,7.378172787961981e-38,2.3740584946983896e-74,6.200886256192676e-86,3.550035895874188e-19,3.359560707374873e-54,2.2646615102127708e-74,2.0117338938214354e-38,2.2767963668056917e-73,1.0062440669099102e-74,6.080195437112607e-77,4.984511459941584e-75,1.0413619119719769e-56,2.6769890854399995e-40,3.1904683443789057e-39,2.6765727516665274e-34,1.0236966625586217e-71,1.4449783645645423e-78,9.196035521838675e-90,7.354590756597692e-71,4.0269175871669356e-86,1.8237743350207617e-73,7.944356850260512e-75,1.3666880063906976e-90,8.489757073790091e-74,6.261109770382247e-76,3.3499508220948906e-38,8.483534663562797e-37,7.698577842803198e-56,1.913715363555692e-71,9.555729375898104e-73,4.935975122292443e-75,3.601347952847374e-87,2.079682282411802e-84,8.853400889660629e-59,3.215935216073752e-87,3.7602670391360074e-75,2.0637540888901169e-75,4.848590948197606e-54,2.069118643535451e-41,1.030548595087578e-74,3.279475851035406e-56
9.303721253123718e-22,0.8083555341587837,6.135791469387684e-25,5.507856910613331e-26,7.468271503999782e-36,2.5599378012574466e-35,0.0,0.0,2.558491185964778e-20,1.8232065084474279e-37,3.426920954303588e-49,4.7848934232044944e-35,4.1663796627764816e-49,1.0201431364972832e-60,1.8315155757068485e-40,1.9857016184468987e-34,1.1639255099622596e-19,1.0477200842075352e-36,1.1763222345692026e-73,1.869329427880492e-70,6.392558783015864e-50,2.5589472107965685e-35,3.438239679673615e-21,5.777470914112837e-53,2.165536121271936e-37,7.248150777082842e-53,1.0588274554607704e-36,4.9866599530431304e-17,1.1448799829810385e-36,1.7340082098638604e-21,6.981895839465371e-53,3.5896561130856445e-57,2.0122119557726652e-51,1.444069224057588e-38,3.76,0.0,0.8231494720729609,0.9999999999999964,1.6182425787606377e-49,8.11436776199815e-19,4.9866599530431304e-17,1.0973360389038041e-20,6.280525604483423e-33,1.4612165049743082e-20,2.2096079375836247e-54,2.2795913660675113e-53,1.2575273293794322e-57,6.032633226139877e-61,5.0160497042557985e-68,1.1639255099622608e-19,2.6719223178932077e-36,1.5644994634824688e-39,1.9309739210228005e-54,4.260442248122266e-53,2.092712465853867e-37,4.491377940638779e-37,3.4382396796738276e-21,3.998150462191165e-39,5.818613534261064e-70,6.489205159455235e-70,2.2565128108307265e-84,9.158026361432631e-89,1.7924587292476205e-53,2.95014323510516e-74,8.063049984175729e-53,3.9413198200318075e-55,7.729307971105119e-56,2.0102749293936162e-51,3.304007720951584e-53,2.4930658783924515e-55,1.3414616140773162e-55,4.4409213484091125e-94,1.7995470498863406e-88,1.2953343558933997e-37,1.734008209863754e-21,5.5452860791799154e-55,6.517161056055921e-37,3.4753741236722082e-15,3.923215417646379e-72,3.5522725939392276e-37,5.296393904893348e-73,3.2220501474649247e-84,8.114367761998137e-19,3.6140418912129346e-53,4.926131345158772e-73,9.685632720583992e-38,4.952529412340318e-72,2.1888006367288218e-73,1.3225753156740708e-75,1.0842401179035587e-73,1.0224153003660243e-55,1.288855010010411e-39,1.5360731697755425e-38,1.2886545632195684e-33,2.2838109406934868e-70,2.8550337486993573e-77,4.123988563079943e-88,1.6407687402497426e-69,1.817821612128317e-84,4.0687402157451484e-72,1.772342311447056e-73,6.1288026554124236e-89,1.8940181010740134e-72,1.3968191474545164e-74,1.6128571176573022e-37,4.0844567552384995e-36,7.558509378001635e-55,4.269393702757877e-70,2.131830657767755e-71,1.1011888970221836e-73,1.6257955329050892e-85,9.388638758097515e-83,9.524084673326168e-58,1.4468014951911017e-85,8.388948912307094e-74,4.604121845360462e-74,5.215892888211498e-53,9.961915643175792e-41,2.104431040059313e-73,3.527910469501172e-55
1.9770407662887903e-21,0.8083555341587837,1.303855704283795e-24,1.1704195935211174e-25,3.2615903748584336e-35,1.1179920934011132e-34,0.0,0.0,5.436793770175141e-20,7.962421821623896e-37,3.0310727754754745e-48,2.0896886683190127e-34,3.68511563565024e-48,9.023050514784009e-60,7.998709701332946e-40,8.672080658278136e-34,2.473341708669798e-19,4.575668868445023e-36,2.0932025659062025e-72,3.500779525704176e-69,5.6541458501527e-49,1.117559476517059e-34,7.306259319305983e-21,5.1101075957561424e-52,9.457465178869172e-37,6.41090727963349e-52,4.624177676874974e-36,1.0596652400216651e-16,4.999991672578709e-36,3.6847674459606146e-21,6.175407802552716e-52,3.1750101804620044e-56,1.8046233263442821e-50,6.30662969241106e-38,3.76,0.0,0.8231494720729607,0.9999999999999926,1.4313172349067635e-48,1.724303149424607e-18,1.0596652400216651e-16,2.3318390826699118e-20,2.7428705356575686e-32,3.105085073069719e-20,2.023561343112522e-53,2.0918554382730977e-52,1.1122686818297943e-56,5.33579828126353e-60,9.289532904516115e-67,2.4733417086698033e-19,1.1668986739079646e-35,6.832580187838742e-39,1.707924565562652e-53,3.76831292048922e-52,9.139425143586908e-37,1.9615027457388905e-36,7.306259319306918e-21,1.7460973476530617e-38,1.0444681284704747e-68,1.2013522193116946e-68,8.391682583747523e-83,3.4045140765697027e-87,1.6475781238367468e-52,5.252926184249145e-73,7.139913110551052e-52,3.622751944336613e-54,7.104565667951079e-55,1.7780654094056623e-50,2.944679068374285e-52,2.2915570596699727e-54,1.2330343368211572e-54,1.6509209730635736e-92,6.692285354940693e-87,5.657065446988328e-37,3.684767445960148e-21,5.097073275435733e-54,2.846215454325108e-36,7.385170012790456e-15,7.347748286592364e-71,1.551370768329645e-36,9.91955962058292e-72,1.284880147202246e-82,1.7243031494246008e-18,3.321919816472198e-52,9.13221575060309e-72,4.229970273432484e-37,9.181154868770365e-71,4.0576674966559487e-72,2.4518317385333575e-74,2.0099984490568981e-72,9.043147546888896e-55,5.628768441247067e-39,6.708435094948027e-38,5.6278930374443725e-33,4.277325137665129e-69,5.0803800119421706e-76,1.5515679854226116e-86,3.0729782630934105e-68,6.863502776707302e-83,7.62030012788657e-71,3.319401000416322e-72,2.305808736088862e-87,3.5472862882668886e-71,2.6160876742084477e-73,7.043770768308106e-37,1.783789573298784e-35,6.68541594743551e-54,7.996101902311168e-69,3.992682887724535e-70,2.0624049331860768e-72,6.138643848483925e-84,3.5449630252583325e-81,8.754274670114254e-57,5.452680816710839e-84,1.5711572889771362e-72,8.623010668325457e-73,4.794304183477283e-52,4.350630332446676e-40,3.8001002269961295e-72,3.242757526920482e-54
4.0703780482416274e-21,0.8083555341587837,2.6844088731597063e-24,2.409687398490884e-25,1.3616497769709305e-34,4.667396912804647e-34,0.0,0.0,1.1193398938595827e-19,3.324154369940924e-36,2.5477993036375336e-47,8.724038834200498e-34,3.097561739283619e-47,7.584417637253976e-59,3.339303845390903e-39,3.620422964581141e-33,5.092174106084867e-19,1.910251680354676e-35,3.5304920768124912e-71,6.046519118562627e-68,4.7526502748978167e-48,4.665590822435685e-34,1.5042298598569306e-20,4.295353341313079e-51,3.9483055416029084e-36,5.388753854672454e-51,1.9305031529758615e-35,2.1816637294563693e-16,2.0873980982686e-35,7.58628591815384e-21,5.190802354278219e-51,2.6687873653925383e-55,1.526745184247907e-49,2.6328937503278282e-37,3.76,0.0,0.8231494720729606,0.9999999999999848,1.2031083792759387e-47,3.550035895874192e-18,2.1816637294563693e-16,4.800845170199989e-20,1.1450944551220534e-31,6.392822209258362e-20,1.7283573412769192e-52,1.7882979884121785e-51,9.349288463566543e-56,4.485064178811575e-59,1.5959546936356838e-65,5.092174106084887e-19,4.871572259102351e-35,2.8524677288148923e-38,1.4356135075335232e-52,3.1674940675549075e-51,3.815530087850534e-36,8.188887840864776e-36,1.50422985985732e-20,7.289612706479142e-38,1.7689093448316982e-67,2.0635942214102142e-67,2.8897879325579765e-81,1.172187857033887e-85,1.4095376725443518e-51,8.862516711486449e-72,6.004792918672372e-51,3.099340560617809e-53,6.078105505754753e-54,1.4945711130769815e-49,2.4840304024356785e-51,1.9604753101141622e-53,1.054886834984122e-53,5.684186881870735e-91,2.3045778086720598e-85,2.3617134645603986e-36,7.586285918151895e-21,4.360653498982041e-53,1.1882389243135486e-35,1.5204761790985647e-14,1.2691407909147484e-69,6.476667569829141e-36,1.713357242425226e-70,4.565226241959667e-81,3.550035895874166e-18,2.841969546318019e-51,1.5695944393483434e-70,1.7659293220266923e-36,1.5780059424234975e-69,6.974093688247687e-71,4.214072313093746e-73,3.454673777324827e-71,7.601310403675573e-54,2.349900021696374e-38,2.8006395963201974e-37,2.3495345578369307e-32,7.388015479676636e-68,8.568803454092255e-75,5.372625882308056e-85,5.307805753770936e-67,2.3812217121171173e-81,1.3162173436115515e-69,5.733439751487944e-71,7.984283579270353e-86,6.127054915180372e-70,4.518640882123448e-72,2.9406356388615144e-36,7.446970328842553e-35,5.6194949303290245e-53,1.3811277546137697e-67,6.8963667784172e-69,3.5622916381934852e-71,2.129771172133673e-82,1.2299107862167328e-79,7.489466289492078e-56,1.8898752584385954e-82,2.7137834974786325e-71,1.4894106538230721e-71,4.101628166411294e-51,1.8163025616792936e-39,6.453724355114074e-71,2.774247336055815e-53
8.2570526121473e-21,0.8083555341587838,5.445515427654964e-24,4.888223008631209e-25,5.562783634328227e-34,1.906783932323507e-33,0.0,0.0,2.2706609275437055e-19,1.3580255246070889e-35,2.0888398006777005e-46,3.5640545221532064e-33,2.5395682617149864e-46,6.2181638102332955e-58,1.3642145796434465e-38,1.4790609125231733e-32,1.0329838900914969e-18,7.80400141402955e-35,5.798843839187121e-70,1.0046218533652387e-66,3.8965098383961956e-47,1.906046085444769e-33,3.0514377157090283e-20,3.5215901835255713e-50,1.613011643781786e-35,4.41802598485383e-50,7.886735287575685e-35,4.4256607083257773e-16,8.527702332654364e-35,1.5389322862539163e-20,4.2557333851045517e-50,2.1880331234892718e-54,1.2556378704833076e-48,1.0756230062165374e-36,3.76,0.0,0.8231494720729604,0.9999999999999691,9.863809380800714e-47,7.201501388773364e-18,4.4256607083257773e-16,9.7388573452516e-20,4.678084484289714e-31,1.2968296481626927e-19,1.4279281076771576e-51,1.4780799873620378e-50,7.665111543683467e-55,3.6771335045448885e-58,2.644669006218941e-64,1.0329838900915052e-18,1.990196223331932e-34,1.1653261409528095e-37,1.1770026895958797e-51,2.5969030085079597e-50,1.5587685388514292e-35,3.345427879817975e-35,3.051437715710619e-20,2.978044644784323e-37,2.911241363330913e-66,3.4193158025024727e-66,9.588240709614608e-80,3.8889578473903075e-84,1.1654329663951748e-50,1.4558884907469334e-70,4.924391597093589e-50,2.562594711224731e-52,5.025495171214537e-53,1.2253396966733611e-48,2.0400800589814748e-50,1.6209588982776918e-52,8.722008346760581e-53,1.88583788171669e-89,7.646528838530978e-84,9.648370110847362e-36,1.5389322862531222e-20,3.605472639752311e-52,4.854343718602751e-35,3.084394534721083e-14,2.1086964057141395e-68,2.6459300307337014e-35,2.846768683699902e-69,1.537469436840725e-79,7.201501388773256e-18,2.3497942863648427e-50,2.6014875812459963e-69,7.214397489028071e-36,2.6154291240952425e-68,1.1559048832512291e-69,6.984515814412771e-72,5.72586843285604e-70,6.232013520764353e-53,9.600108342159473e-38,1.1441526577070785e-36,9.5986153030116e-32,1.227529821659813e-66,1.407428540384754e-73,1.787513088874722e-83,8.818998644841595e-66,7.930383300771406e-80,2.186914802105417e-68,9.526195897938425e-70,2.6564214381565647e-84,1.0180193379423834e-68,7.50778940759441e-71,1.2013456090512871e-35,3.0423303679905203e-34,4.607201459434437e-52,2.294764420804506e-66,1.1458416546175903e-67,5.918800835434567e-70,7.093010866201823e-81,4.0961137421264206e-78,6.192435560322691e-55,6.290797216615311e-81,4.508991869106745e-70,2.4746780773495208e-70,3.391305485698288e-50,7.420188938010942e-39,1.0635661935742651e-69,2.2938013461305488e-52
1.6630401739958645e-20,0.8083555341587838,1.0967729403619207e-23,9.845294229715021e-25,2.248566086269962e-33,7.707525523228658e-33,0.0,0.0,4.57330299491189e-19,5.489356300062186e-35,1.691596627418948e-45,1.4406478221871889e-32,2.0566082215100195e-45,5.0356302703100506e-57,5.514373450062527e-38,5.978600689907356e-32,2.0805168490575013e-18,3.1545021468028005e-34,9.400175757714674e-69,1.6377741728079997e-65,3.1554946909727257e-46,7.704543027916635e-33,6.145853427410958e-20,2.8518750340086375e-49,6.520050962535406e-35,3.577831987591441e-49,3.1879445012875753e-34,8.91365466606459e-16,3.4470336290879307e-34,3.0995396751305285e-20,3.446403232594247e-49,1.771925951990191e-53,1.0184118193927449e-47,4.3478401684496775e-36,3.76,0.0,0.82314947207296,0.9999999999999378,7.987968573137574e-46,1.4504432374571715e-17,8.91365466606459e-16,1.961488169532063e-19,1.8909565446823396e-30,2.6119245026329185e-19,1.1607278929949468e-50,1.2017446570045285e-49,6.207406061187688e-54,2.977849247034932e-57,4.3057654857875053e-63,2.0805168490575348e-18,8.044691339706457e-34,4.71043458136561e-37,9.53167293898486e-51,2.1030393855397014e-49,6.300791661975516e-35,1.352275437807406e-34,6.145853427417387e-20,1.2037732602445247e-36,4.723886046881655e-65,5.566733225833561e-65,3.12389392071138e-78,1.2669870466672628e-82,9.47710717804901e-50,2.360232999925891e-69,3.988418405929693e-49,2.0838594612187005e-51,4.086649211953459e-52,9.923118554262031e-48,1.6535146455565634e-49,1.3181368558753238e-51,7.092592336135872e-52,6.143887987552259e-88,2.491275060417599e-82,3.900025462962471e-35,3.0995396751273194e-20,2.9319104725103964e-51,1.962203345311836e-34,6.212231245900035e-14,3.4377073488172614e-67,1.0695272232036164e-34,4.640951441700296e-68,5.045773522934862e-78,1.4504432374571278e-17,1.910813256997552e-49,4.235848060456217e-68,2.916174813356868e-35,4.258548322865206e-67,1.882091453613481e-68,1.1372473389146786e-70,9.323092410756622e-69,5.046846124977192e-52,3.880517284454412e-37,4.624847976646083e-36,3.8799137741316065e-31,2.001183421834798e-65,2.281502314175154e-72,5.831781810039784e-82,1.4377193591427179e-64,2.5885961428584884e-78,3.56522307622638e-67,1.5530103601329765e-68,8.666588977154074e-83,1.6596284556585134e-67,1.2239591602440558e-69,4.856031030407761e-35,1.2297585774192708e-33,3.7310311915615906e-51,3.741045174549372e-65,1.868011092510406e-66,9.64913918995058e-69,2.315274188813518e-79,1.337039305232386e-76,5.0355857564387864e-54,2.0528811368988726e-79,7.350794757368588e-69,4.034349842583382e-69,2.7577532995898947e-49,2.999359273034116e-38,1.7269164480613389e-68,1.8652811601786443e-51
3.337709999558134e-20,0.808355534158784,2.2012160823442618e-23,1.9759436675095294e-24,9.041385337493609e-33,3.09916211416731e-32,0.0,0.0,9.178587129648017e-19,2.207246025188836e-34,1.3615441313261432e-44,5.792781531051815e-32,1.655337217710115e-44,4.05311333147705e-56,2.2173053111734407e-37,2.4039690425663905e-31,4.1755827669894484e-18,1.2684114392286443e-33,1.513869328342899e-67,2.644999288518419e-64,2.5398166491283267e-45,3.097962865713478e-32,1.2334684850805748e-19,2.29543713488822e-48,2.62168381580647e-34,2.8797504479584785e-48,1.2818584628794174e-33,1.7889642581542207e-15,1.3860370616511248e-33,6.220754452881945e-20,2.7739651518927156e-48,1.4262001602339311e-52,8.203310525670652e-47,1.7482474092378407e-35,3.76,0.0,0.8231494720729591,0.9999999999998753,6.429412045275976e-45,2.9110294346168474e-17,1.7889642581542207e-15,3.9366930395321925e-19,7.603453098850897e-30,5.242114211559418e-19,9.359942524758577e-50,9.691688781579716e-49,4.996260432863726e-53,2.3968501686784742e-56,6.949215008835228e-62,4.175582766989584e-18,3.2347350058578804e-33,1.8940450279349387e-36,7.671919618232923e-50,1.692709057762196e-48,2.5335206172343476e-34,5.437440060150104e-34,1.2334684850831598e-19,4.840319335454618e-36,7.611381893521821e-64,8.984147512649499e-64,1.0086401992942334e-76,4.0907503059764025e-81,7.643630209434327e-49,3.801222941889754e-68,3.210433197250298e-48,1.68070814934813e-50,3.296030638529176e-51,7.986989104001744e-47,1.331453629300103e-48,1.0631251270504358e-50,5.720432665894856e-51,1.9836912774838847e-86,8.043807623421857e-81,1.5681830857157773e-34,6.220754452869042e-20,2.364692011892146e-50,7.889933350452797e-34,1.246790466799361e-13,5.551906550956208e-66,4.3005219249823365e-34,7.495148974802038e-67,1.635056404758205e-76,2.91102943461667e-17,1.5411399437736778e-48,6.83667578834975e-67,1.1725810666480025e-34,6.873314162366638e-66,3.037703194229804e-67,1.8355217909910627e-69,1.50475087464855e-67,4.062140827072232e-51,1.5603389329658222e-36,1.8596310305271363e-35,1.5600962640971674e-30,3.231916571692945e-64,3.674289142176436e-71,1.8842513524556914e-80,2.3219206053603596e-63,8.36587427025754e-77,5.757844791293068e-66,2.5081158799123932e-67,2.800176204894412e-81,2.680304388975124e-66,1.9766973131082175e-68,1.952588719714729e-34,4.9448051530552624e-33,3.003058495261696e-50,6.0417979497461305e-64,3.0168429040585943e-65,1.558338556590963e-67,7.482561735669427e-78,4.3210792802389446e-75,4.0613823394342666e-53,6.633681707349064e-78,1.1871553167916412e-67,6.515485772088317e-68,2.2242279425873778e-48,1.2060293856820801e-37,2.7834085578010605e-67,1.5044168301249741e-50
6.687049650682674e-20,0.8083555341587843,4.4101037534669147e-23,3.9587721578706446e-24,3.6259999062831586e-32,1.2429026213596125e-31,0.0,0.0,1.8389155399119303e-18,8.852043775920117e-34,1.0925534183318367e-43,2.3231644824624174e-31,1.3283038677820653e-43,3.252368192347183e-55,8.892386011835099e-37,9.640991062090507e-31,8.365714602853099e-18,5.086897182218534e-33,2.4300955488989366e-66,4.251750815796963e-63,2.0380429088594795e-44,1.2424216689264097e-31,2.471234769755905e-19,1.8419437391624408e-47,1.051412467810477e-33,2.3108183741330014e-47,5.140825761364509e-33,3.58416184124974e-15,5.5586285374446916e-33,1.2463184008377544e-19,2.2259323361642363e-47,1.1444358096363438e-51,6.585136805466753e-46,7.01125403380851e-35,3.76,0.0,0.8231494720729573,0.9999999999997502,5.159198256192929e-44,5.832201828936214e-17,3.584161841249741e-15,7.887102779477749e-19,3.049324765369511e-29,1.0502493629356618e-18,7.517717395546317e-49,7.784565486915405e-48,4.009184348211001e-52,1.9233502440545634e-55,1.1166958159613542e-60,8.365714602853643e-18,1.2972734144080705e-32,7.595967694457001e-36,6.156232333225007e-49,1.3582924157425185e-47,1.016055083467942e-33,2.1806566595395407e-33,2.4712347697662726e-19,1.941184541996777e-35,1.2220920165464322e-62,1.4436820637438808e-62,3.242110610390851e-75,1.3148915299984425e-79,6.139779438147543e-48,6.101917213577908e-67,2.576253228677371e-47,1.3500361878033314e-49,2.647551054788829e-50,6.4090557525212e-46,1.0686320045589146e-47,8.539599172715563e-50,4.594962607717957e-50,6.376186909058823e-85,2.585551722180458e-79,6.289115560697551e-34,1.2463184008325802e-19,1.8994492215187153e-49,3.164216159258975e-33,2.4979251511123423e-13,8.924527631110052e-65,1.724701637459566e-33,1.204823307226094e-65,5.265051967145725e-75,5.832201828935503e-17,1.2379273450295775e-47,1.098635440937897e-65,4.702574526958569e-34,1.1045231340110262e-64,4.881507484030283e-66,2.949634245253719e-68,2.4180942618906813e-66,3.259612189033334e-50,6.257657000012143e-36,7.457952172224489e-35,6.256683789134551e-30,5.195211497238096e-63,5.898047805474565e-70,6.058697466701661e-79,3.732419558824814e-62,2.690336383790973e-75,9.255567337663441e-65,4.031723024608781e-66,9.003794781002269e-80,4.3085110239607735e-65,3.177483199007769e-67,7.83075408261069e-34,1.9830880281906985e-32,2.4097653162934944e-49,9.712013746759991e-63,4.849486857809743e-64,2.504983716687391e-66,2.406279014020509e-76,1.3895942236070978e-73,3.2623231628728687e-52,2.1331516666568797e-76,1.908317499473976e-66,1.0473453086625104e-66,1.7866208421808826e-47,4.836718960130772e-37,4.469797031574031e-66,1.2084294116376962e-49
