Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452)
0.0,0.5127433610974833,3.76,0.0,0.8163475148831195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.294958319016342e-17,0.5127433610974833,3.76,0.0,0.8163475148831193,1.0,5.0511864835745326e-42,1.053291837422214e-32,3.5557302563406845e-32,2.2079399877391262e-16,2.2079399877391262e-16,2.652903964390956e-37,3.1188724764790484e-35,2.8735465932380876e-35,1.636635735870253e-44,2.2233665660846157e-46,1.1511811215335618e-19,3.988577159895327e-34,6.611288267613515e-20,4.9973053093254324e-26,7.272161193921407e-30,4.900527943485825e-20,5.653065650940694e-37,1.4571063240608606e-34,9.531414752184499e-46,4.552663314600595e-30,4.215352598461555e-52,1.8694138376279683e-52,8.74118413489526e-31,1.3686792864814232e-47,1.711181960144532e-65,8.746116696426737e-33,4.664253300856833e-51,6.359400135774696e-61,7.959351245810198e-72,2.161885818123598e-72,9.649881523283359e-21,2.6665353184908804e-32,9.649881523299349e-21,4.992341028636987e-49,1.4299829658179917e-64
3.6258832932457576e-17,0.5127433610974833,3.76,0.0,0.8163475148831189,1.0,5.996768593023817e-41,6.361882698023368e-32,2.1476610747218583e-31,6.182231965669551e-16,6.182231965669551e-16,1.602353933720297e-36,1.8838037238440689e-34,1.7356221417845802e-34,1.943013944914537e-43,2.639580804308475e-45,3.2233071404758444e-19,2.4091006046901756e-33,1.8511607147701212e-19,1.3992992189022083e-25,4.392385360829451e-29,1.3721478240738244e-19,3.414451652878669e-36,8.80092219732122e-34,1.1315695590625564e-44,1.2747457667446644e-29,5.0044666034978755e-51,2.2193681090535856e-51,5.2796752163404746e-30,1.6248960488061182e-46,3.8278455957526686e-64,5.282654484270318e-32,5.537401517754486e-50,1.4225723725452578e-59,2.502547415199292e-70,8.921082358685157e-71,2.7019668265106997e-20,1.6105873323641813e-31,2.7019668265203558e-20,7.544425761928905e-48,3.1988146416698973e-63
8.287733241704589e-17,0.5127433610974834,3.76,0.0,0.8163475148831181,1.0,5.887662964399155e-40,3.062972663213594e-31,1.0340063583819985e-30,1.4130815921530392e-15,1.4130815921530392e-15,7.71464381687136e-36,9.069752382361918e-34,8.356273485167995e-34,1.9076626115218092e-42,2.5915561222918253e-44,7.367559179087894e-19,1.1598782382676582e-32,4.231224490141006e-19,3.1986515240057917e-25,2.1147444747437272e-28,3.1363378831154828e-19,1.6439114908589422e-35,4.237265190359418e-33,1.1109817025325862e-43,2.913704791958117e-29,4.9134149844347855e-50,2.178988772305458e-50,2.5419363447231463e-29,1.5953325759984013e-45,7.563177842216627e-63,2.5433707347637463e-31,5.436653644307762e-49,2.8107632831228745e-58,5.58304591415452e-69,3.529091461822975e-69,6.175924174840867e-20,7.754284706106824e-31,6.175924174887355e-20,8.115948961628475e-47,6.320318454026653e-62
1.761143313862225e-16,0.5127433610974835,3.76,0.0,0.8163475148831165,1.0,5.207571215309707e-39,1.3376806335156677e-30,4.515777423879985e-30,3.0027983833252042e-15,3.0027983833252042e-15,3.3691870928132006e-35,3.961041639914567e-33,3.6494041651784e-33,1.6873059736096397e-41,2.292202105984016e-43,1.565606325922194e-18,5.065492994824733e-32,8.991352038296164e-19,6.798215850869178e-25,9.235644711644474e-28,6.664717999563497e-19,7.179393372202071e-35,1.8505250315474105e-32,9.826507332289323e-43,6.191623461107983e-29,4.34585990580836e-49,1.9272908966894668e-49,1.1101303833704896e-28,1.4110535965097624e-44,1.3458270843154875e-61,1.110756819870475e-30,4.8086585763919795e-48,5.001603079884235e-57,1.0456428205722948e-67,1.2595076736300413e-67,1.3123838871362952e-19,3.386499854416603e-30,1.3123838871565983e-19,7.45995534836941e-46,1.1246668167822645e-60
3.6258832932457576e-16,0.5127433610974838,3.76,0.0,0.8163475148831133,1.0,4.377277384422865e-38,5.5845533219176874e-30,1.8852481804064163e-29,6.182231965669523e-15,6.182231965669523e-15,1.4065688341533592e-34,1.6536924223366846e-32,1.5235543963242604e-32,1.4182823341049535e-40,1.9267340937138208e-42,3.2233071431129815e-18,2.1147436117584047e-31,1.851160712426003e-18,1.4000783371214507e-24,3.855699860844991e-27,1.3721478225918316e-18,2.9972554040847104e-34,7.725577730081748e-32,8.259771484191381e-42,1.2747463275467507e-28,3.652957099668917e-48,1.6200041331287932e-48,4.634575812470594e-28,1.1860755695604613e-43,2.269934078461215e-60,4.6371910672639715e-30,4.0419672703874147e-47,8.435934630594749e-56,1.806088317020111e-66,4.25559175448891e-66,2.701966826385414e-19,1.413797025803732e-29,2.7019668264701755e-19,6.382148855740416e-45,1.8969146918985048e-59
7.355363252012822e-16,0.5127433610974844,3.76,0.0,0.816347514883107,1.0,3.5887564608416113e-37,2.281472251449673e-29,7.701853951698327e-29,1.254109913035811e-14,1.254109913035811e-14,5.746288925275444e-34,6.75616333122169e-32,6.224216800074574e-32,1.1627935390867828e-39,1.5796531956661586e-41,6.53870878215047e-18,8.639417684813109e-31,3.7552117254801946e-18,2.841967387832876e-24,1.5751791997157412e-26,2.7834998652463113e-18,1.224476628832112e-33,3.1561505820934903e-31,6.771859664182719e-41,2.5859152817769307e-28,2.994914918141126e-47,1.328177275481759e-47,1.8933754349344456e-27,9.7241641050562e-43,3.728373508983216e-59,1.8944438565258262e-29,3.3138489630057525e-46,1.3856047918527026e-54,3.000844005352873e-65,1.3991454543054061e-64,5.481132704662455e-19,5.775822160754856e-29,5.481132705008736e-19,5.276884086235963e-44,3.11568715975267e-58
1.4814323169546952e-15,0.5127433610974855,3.76,0.0,0.8163475148830942,1.0,2.90626802213793e-36,9.222075616052593e-29,3.113212503994086e-28,2.5258833459735084e-14,2.5258833459735084e-14,2.3227388559402304e-33,2.7311838559009144e-31,2.515927921005366e-31,9.416603433896233e-39,1.279244400245846e-40,1.3169512078849098e-17,3.492190766209215e-30,7.563313735034256e-18,5.7312476757846785e-24,6.36712615995857e-26,5.606203940089334e-18,4.9495302963814675e-33,1.2757665277569018e-30,5.484027475035261e-40,5.2082571631452555e-28,2.425359725574178e-46,1.0755924102004393e-46,7.653326176545603e-27,7.87488019063789e-42,6.0438540238351495e-58,7.657644945236499e-29,2.6836407903540515e-45,2.246125063169313e-53,4.892137197227695e-64,4.538094693031524e-63,1.1039464460331761e-18,2.3346796646152526e-28,1.1039464461731477e-18,4.2910744923293376e-43,5.050660174510755e-57
2.9732243004615213e-15,0.512743361097488,3.76,0.0,0.8163475148830688,1.0,2.339217336340939e-35,3.708156044782377e-28,1.2518090511616794e-27,5.0694302118488244e-14,5.0694302118488244e-14,9.339606632687293e-33,1.098385693843846e-30,1.0116435304735429e-30,7.579301476067779e-38,1.0296476472671942e-39,2.6431118746740945e-17,1.404194552385947e-29,1.5179517687925087e-17,1.1531816997480181e-23,2.5601934133964085e-25,1.1251612047911636e-17,1.9901843518281348e-32,5.1298010976068464e-30,4.4140223256533283e-39,1.0452956877312653e-27,1.9521404707601487e-45,8.657303738328288e-46,3.077368749884883e-26,6.338388648159828e-41,9.733440259243997e-57,3.079105338173626e-28,2.1600275518216628e-44,3.617315124355716e-52,7.900827902978971e-63,1.4620076229807459e-61,2.2156127968131257e-18,9.387644246762946e-28,2.215612797375945e-18,3.4609070162581556e-42,8.133922923885102e-56
5.956808267475173e-15,0.5127433610974926,3.76,0.0,0.8163475148830179,1.0,1.8770745816482027e-34,1.4871364250736265e-27,5.0203141460444784e-27,1.0156523943599139e-13,1.0156523943599139e-13,3.7455806140370464e-32,4.4065312634925275e-30,4.057142856507551e-30,6.0819117962413225e-37,8.262281337646261e-39,5.295433238050304e-17,5.631448232575053e-29,3.041192532883759e-17,2.3220990621447494e-23,1.026752056688424e-24,2.2542428096101263e-17,7.981529290122852e-32,2.0572796758989154e-29,3.541974793121658e-38,2.0942420589761576e-27,1.5664697254326773e-44,6.946941476271346e-45,1.23416247116862e-25,5.086157666862342e-40,1.5624326206135803e-55,1.234858945120988e-27,1.7332860320541225e-43,5.806591742325085e-51,1.2700392974896087e-61,4.6941996590470234e-60,4.4389454969573786e-18,3.7648652142290896e-27,4.438945499214534e-18,2.7799887009003366e-41,1.3056716916276105e-54
