Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160)
0.0,0.30900847259072634,3.76,0.0,0.7949367837351113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8352389336519465e-21,0.30900847259072634,3.76,0.0,0.7949367837351111,1.0,2.567553985553764e-47,4.904749555522962e-33,2.0666720876004767e-34,2.236061578404215e-16,2.236061578404215e-16,4.4041247953292837e-35,1.5621001171653245e-33,1.5616715456952634e-33,2.09302358478698e-46,1.3521626418323184e-49,2.084857568235591e-19,1.369109787009632e-35,8.767245848455485e-20,3.38755630992924e-24,2.989513888600015e-31,1.208166858947211e-19,5.33631157039335e-35,3.9837706518867014e-35,3.3289598136790786e-47,8.648557180516808e-25,1.4843974795537e-52,1.169492510576866e-54,5.404511930481087e-35,3.764342454921007e-50,1.8440971932025452e-71,8.150087152146805e-36,6.462430252941327e-52,1.1082838858471494e-65,1.0663178185823966e-71,8.548180744554854e-81,5.032902972503312e-19,1.5816110281175736e-34,5.032902972503264e-19,1.1573517282251032e-50,1.211331827564361e-66,1.8437886365161333e-53
5.13866901422545e-21,0.3090084725907264,3.76,0.0,0.7949367837351107,1.0,3.0482000919022797e-46,2.962468731535837e-32,1.2482699409245758e-33,6.260972419531798e-16,6.260972419531798e-16,2.6600913763448545e-34,9.435084707898737e-33,9.43249613599861e-33,2.484837638844346e-45,1.605287688159103e-48,5.83760119105967e-19,8.269423113538175e-35,2.4548288375628055e-19,9.48515863465612e-24,1.8056663887118873e-30,3.382867205047389e-19,3.223132188518931e-34,2.4061974737395896e-34,3.952141090799546e-46,2.4215960105441314e-24,1.7622766877242972e-51,1.388421508564414e-53,3.264325205999872e-34,4.469027362475669e-49,4.125171657315677e-70,4.922652639888761e-35,7.6721971962824e-51,2.4792324759309177e-64,3.3526738324691393e-70,3.527494242049666e-79,1.4092128323009262e-18,9.552930609830131e-34,1.4092128323008971e-18,1.7489899316914552e-49,2.7097008449680832e-65,2.7863333874899745e-52
1.1745529175372458e-20,0.30900847259072645,3.76,0.0,0.7949367837351099,1.0,2.99274092597269e-45,1.4263011707460313e-31,6.009882430950506e-33,1.4310794101786962e-15,1.4310794101786962e-15,1.280719490430706e-33,4.5425871410470254e-32,4.5413408548806547e-32,2.4396283457862807e-44,1.5760810591613724e-47,1.3343088436707894e-18,3.981371260624011e-34,5.611037342978401e-19,2.1680367151526876e-23,8.693506388011029e-30,7.732267897228538e-19,1.5517994046724082e-33,1.1584805055686867e-33,3.880235558823542e-45,5.535076595526737e-24,1.730213702162006e-50,1.3631604703518253e-52,1.5716320693678456e-33,4.3877175654356213e-48,8.150644044018084e-69,2.370045343832428e-34,7.532608702798766e-50,4.898586040842864e-63,7.479630889884224e-69,1.3954534838179462e-77,3.2210579024021125e-18,4.599324869765883e-33,3.221057902401973e-18,1.8814835575333306e-48,5.3539122459234874e-64,2.997410310566011e-51
2.495924949766647e-20,0.3090084725907265,3.76,0.0,0.7949367837351082,1.0,2.64704545746585e-44,6.229031935513689e-31,2.6246735514678695e-32,3.041043746629725e-15,3.041043746629725e-15,5.5932384895406785e-33,1.9838671491412315e-31,1.9833228630317733e-31,2.1578236507194604e-43,1.394025883386682e-46,2.835406292800461e-18,1.738769429502234e-33,1.1923454353733923e-18,4.6070799654936385e-23,3.7966826384829466e-29,1.6431069281514017e-18,6.777115694420443e-33,5.059388727896465e-33,3.432024409508919e-44,1.1762037765482768e-23,1.5303544255085043e-49,1.2056999987535288e-51,6.86373015154509e-33,3.880886497282732e-47,1.4503635589233746e-67,1.035061068310388e-33,6.662507093510084e-49,8.716805186786705e-62,1.4008520869873244e-67,4.980293787073534e-76,6.84474804260447e-18,2.008646005709297e-32,6.8447480426038614e-18,1.729407540435669e-47,9.527000782873475e-63,2.7551364836735334e-50
5.13866901422545e-20,0.3090084725907267,3.76,0.0,0.794936783735105,1.0,2.2250012036658284e-43,2.6004982143378506e-30,1.0957495410395106e-31,6.260972419531769e-15,6.260972419531769e-15,2.3350669660088256e-32,8.282254824281972e-31,8.279982535265385e-31,1.8137807997463313e-42,1.1717627657285775e-45,5.83760119105991e-18,7.259020090725083e-33,2.454828837494228e-18,9.485172654042736e-23,1.5850402637005638e-28,3.382867204977768e-18,2.8293123946413536e-32,2.112195199630648e-32,2.884823311174252e-43,2.4215960105358095e-23,1.2863551053994463e-48,1.0134634978750105e-50,2.865472225391774e-32,3.2621189418779284e-46,2.4462501317672055e-66,4.321176207957931e-33,5.600238658201818e-48,1.470219292652084e-60,2.41962361292788e-66,1.6827318820901963e-74,1.4092128323009123e-17,8.385701671079184e-32,1.4092128323006583e-17,1.4795445611118186e-46,1.6068679314966087e-61,2.3570772672740105e-49
1.0424157143143056e-19,0.30900847259072706,3.76,0.0,0.7949367837350986,1.0,1.8241904160047265e-42,1.0623883727241377e-29,4.476494410266453e-31,1.2700829765335802e-14,1.2700829765335807e-14,9.5395104676554e-32,3.383571340385249e-30,3.38264303482854e-30,1.4870470847197868e-41,9.606819167415755e-45,1.1841990987579233e-17,2.9655465630543575e-32,4.979795641614827e-18,1.9241382782609706e-22,6.475406662965459e-28,6.862387758507585e-18,1.1558664314093976e-31,8.629006582815385e-32,2.365152444181168e-42,4.912380478496184e-23,1.0546316336889393e-47,8.308986065219839e-50,1.1706389020635214e-31,2.6744821974085002e-45,4.017973187216438e-65,1.765341477410217e-32,4.591414004062546e-47,2.4148417787272533e-59,4.020240821305999e-65,5.5324594096269014e-73,2.858688888381818e-17,3.425832751343629e-31,2.8586888883807806e-17,1.223316054686834e-45,2.639285402257749e-60,1.9488770658232473e-48
2.099513340097827e-19,0.30900847259072783,3.76,0.0,0.7949367837350857,1.0,1.4772766947363353e-41,4.294343663836076e-29,1.8094706143037163e-30,2.5580544456943662e-14,2.5580544456943678e-14,3.856022652994485e-31,1.3676936355229615e-29,1.367318398482805e-29,1.2042492839276113e-40,7.779851273289122e-44,2.3850770580619568e-17,1.1987213357967215e-31,1.0029729249371726e-17,3.875390204561877e-22,2.6174629058910713e-27,1.3821428865075555e-17,4.672196922965682e-31,3.4879824267203303e-31,1.9153617700116965e-41,9.893949414358167e-23,8.540680401013265e-47,6.728832341898899e-49,4.73190961066908e-31,2.165865023984681e-44,6.513307683213762e-64,7.135792505119624e-32,3.7182461007754115e-46,3.914564336898858e-58,6.554007194776289e-64,1.7944407765582418e-71,5.75764100054353e-17,1.384776372446155e-30,5.757641000539338e-17,9.94780299308685e-45,4.278395370461228e-59,1.5847944635294168e-47
4.2137085916648696e-19,0.3090084725907292,3.76,0.0,0.7949367837350598,1.0,1.1890408049343505e-40,1.726736700017696e-28,7.27580176222526e-30,5.133997384015851e-14,5.1339973840158565e-14,1.5504897480129346e-30,5.499435963835656e-29,5.497927143420427e-29,9.692845911878173e-40,6.26190117106074e-43,4.7868329766707034e-17,4.820005769558994e-31,2.012959646294835e-17,7.777933659513729e-22,1.0524703223385535e-26,2.7739511076244847e-17,1.8786698337094568e-30,1.4025023930811328e-30,1.5416497852064928e-40,1.9857087285847064e-22,6.874282608629672e-46,5.415949665992263e-48,1.9026800423302182e-30,1.7432765971239633e-43,1.0489481231393385e-62,2.8692707816387933e-31,2.9927679417443976e-45,6.304286590098145e-57,1.0584739125091629e-62,5.781031320868436e-70,1.1555545224866554e-16,5.568124888927988e-30,1.1555545224849702e-16,8.023263497130985e-44,6.890223844915826e-58,1.2781941475282658e-46
8.442099094798954e-19,0.30900847259073205,3.76,0.0,0.7949367837350081,1.0,9.541303641368584e-40,6.9249864689263305e-28,2.917921929266334e-29,1.0285883260658476e-13,1.0285883260658501e-13,6.2181573521734505e-30,2.205519796801005e-28,2.204914685288267e-28,7.77789841072869e-39,5.0247813739408583e-42,9.590344813890912e-17,1.9330378936202636e-30,4.032933088235289e-17,1.5583178978817532e-21,4.2208767206309944e-26,5.557567549071683e-17,7.534306289224365e-30,5.624661880789522e-30,1.237076862904917e-39,3.9783363027884595e-22,5.516178865413264e-45,4.3459585256503526e-47,7.630597960781225e-30,1.3988696811819063e-42,1.6837940451404863e-61,1.1507059144574047e-30,2.4015077948917155e-44,1.0119777290357024e-55,1.701465900081953e-61,1.8561681304653022e-68,2.315135367351101e-16,2.233067120932185e-29,2.3151353673443425e-16,6.444721563548316e-43,1.10603352138308e-56,1.026715049782911e-45
