Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39)
0.0,0.5721820083457746,3.76,0.0,1.0019034478579174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.469184856953926e-20,0.5721820083457747,3.76,0.0,1.0019034478579172,1.0,1.0126795486518687e-46,2.802332156012344e-33,2.3573490638758874e-34,2.263845519362069e-16,2.263845519362069e-16,4.8362505953580464e-36,2.4363430860848965e-34,2.432941264985183e-34,1.406735297041183e-46,1.4924121758008485e-49,9.001999347374172e-20,8.295437375076883e-36,4.176591005845245e-20,1.0651395252981644e-24,1.549533750369312e-31,4.8255148554507656e-20,3.2567386836005216e-36,2.2366092937434838e-35,1.6255304496296316e-47,1.2081762849908891e-26,1.7692052171754726e-53,3.6691567305698506e-55,1.2616361698632241e-34,2.5219675409050884e-50,1.7338585263921898e-71,1.1621192929697452e-35,1.076692256295352e-52,1.0081998910000295e-65,2.5360123604568605e-73,2.5438744922239322e-80,1.6898629508019887e-19,2.0170498526305883e-34,1.6898629508019651e-19,7.334728386356395e-51,2.8891267776918587e-67,2.814459222926948e-54,3.0686535321490803e-34
4.113717599470993e-20,0.5721820083457746,3.76,0.0,1.0019034478579167,1.0,1.2022531601833189e-45,1.6926086222314276e-32,1.4238388345950062e-33,6.338767454213791e-16,6.338767454213791e-16,2.9210953594367265e-35,1.4715512242806109e-33,1.469496524050548e-33,1.670076146385031e-45,1.7717917393736113e-48,2.5205598172648255e-19,5.01044417454653e-35,1.1694454816342298e-19,2.982391167170129e-24,9.35918385221532e-31,1.3511441595237294e-19,1.9670701648967202e-35,1.3509120134210566e-34,1.92982974979972e-46,3.3828935979787073e-26,2.1004004338282446e-52,4.356022870575107e-54,7.620282465938573e-34,2.994079864557779e-49,3.878572169209012e-70,7.019200529525107e-35,1.2782490466718663e-51,2.2553035347689658e-64,7.97362862324585e-72,1.0497372529789333e-78,4.7316162622455505e-19,1.218298110988871e-33,4.731616262245409e-19,1.1084241537442697e-49,6.462861036435123e-66,4.253210777653763e-53,1.8534667334180386e-33
9.402783084505127e-20,0.5721820083457747,3.76,0.0,1.0019034478579159,1.0,1.1803792819605904e-44,8.149181909683473e-32,6.855171077960632e-33,1.448861132391723e-15,1.448861132391723e-15,1.4063816728908181e-34,7.084885698614877e-33,7.074993198569371e-33,1.6396906646975582e-44,1.739555638525533e-47,5.761279582319865e-19,2.4123131886724914e-34,2.673018243723884e-19,6.816896436255135e-24,4.50604414605097e-30,3.0883295074710915e-19,9.470596091940376e-35,6.504059826205932e-34,1.8947182920865037e-45,7.732328223971212e-26,2.062185601131968e-51,4.27676908528419e-53,3.668837981909304e-33,2.9396053656642684e-48,7.663405011093289e-69,3.3794429039377844e-34,1.254992493931724e-50,4.4561003582931287e-63,1.7788726829742713e-70,4.1526567784649005e-77,1.0815122885132602e-18,5.865580971449683e-33,1.0815122885131928e-18,1.1923921243068882e-48,1.2769524321942147e-64,4.575410069409614e-52,8.923644471489434e-33
1.9980914054573395e-19,0.5721820083457748,3.76,0.0,1.0019034478579143,1.0,1.0440321075670674e-43,3.558961838135238e-31,2.993833311338911e-32,3.0788299063324085e-15,3.0788299063324085e-15,6.1420382536319315e-34,3.0941557237504826e-32,3.0898354065233883e-32,1.4502878243188144e-43,1.5386172639445305e-46,1.2242719112430845e-18,1.0535205466349019e-33,5.680163767864169e-19,1.448591491578945e-23,1.9679078629452693e-29,6.562700203326044e-19,4.136058128203717e-34,2.8404938030540983e-33,1.675856872346395e-44,1.64311974760237e-25,1.8239798106828546e-50,3.782753823225414e-52,1.6022779356715758e-32,2.600047655940632e-47,1.3636619763247603e-67,1.4758915020527327e-33,1.1100266485373555e-49,7.929393009518716e-62,3.331631663548777e-69,1.4820538057454937e-75,2.298213613090642e-18,2.561653312840776e-32,2.2982136130903477e-18,1.096013793302857e-47,2.2722686254884904e-63,4.2055901273740545e-51,3.897189985829235e-32
4.113717599470993e-19,0.5721820083457752,3.76,0.0,1.001903447857911,1.0,8.775718941330587e-43,1.4857965091173502e-30,1.249866473861876e-31,6.338767454213768e-15,6.338767454213768e-15,2.564180063433326e-33,1.291749108222609e-31,1.2899454586881287e-31,1.2190543028520632e-42,1.293300520623482e-45,2.52055981726564e-18,4.398240896266998e-33,1.1694454815988646e-18,2.982398364031528e-23,8.215627944244278e-29,1.3511441594876866e-18,1.726722850072942e-33,1.1858502475426815e-32,1.4086586791550036e-43,3.3828935980398566e-25,1.5331649338910347e-49,3.179632516706905e-51,6.689194972122341e-32,2.1854967194116707e-46,2.3000152401523085e-66,6.161556491155994e-33,9.330442822060374e-49,1.3374080710311236e-60,5.754565180470973e-68,5.0075250087419195e-74,4.731616262245293e-18,1.0694398318646731e-31,4.731616262244065e-18,9.376628752127152e-47,3.8325131576570646e-62,3.5979708965944925e-50,1.627000102745354e-31
8.344969987498299e-19,0.5721820083457759,3.76,0.0,1.0019034478579045,1.0,7.194864595835296e-42,6.069963543205634e-30,5.106112367967712e-31,1.2858642549976448e-14,1.2858642549976448e-14,1.0475512220726684e-32,5.277216611884021e-31,5.269848097549109e-31,9.994543696769562e-42,1.0603259070648869e-44,5.1131356293121894e-18,1.796824917192198e-32,2.37230369116132e-18,6.050024815119577e-23,3.3563520844689117e-28,2.740892437734216e-18,7.054226258462664e-33,4.8445851946191695e-32,1.154903492737895e-42,6.862441299022792e-25,1.2569812427013495e-48,2.60685484294395e-50,2.732754408953572e-31,1.7918022526745186e-45,3.7777819386473602e-65,2.517196873200593e-32,7.649660746930182e-48,2.1966968061970643e-59,9.561296114060773e-67,1.64636469054314e-72,9.59842156055414e-18,4.369010662791409e-31,9.598421560549123e-18,7.752777978258671e-46,6.294914366503779e-61,2.9748719148075485e-49,6.646826296775444e-31
1.6807474763552912e-18,0.5721820083457771,3.76,0.0,1.0019034478578914,1.0,5.826587890989196e-41,2.4535763145295444e-29,2.0639722595356496e-30,2.5898392741501626e-14,2.589839274150163e-14,4.2343695207649355e-32,2.133135344056995e-30,2.1301568586263874e-30,8.093840611754849e-41,8.586794139872928e-44,1.0298287253411041e-17,7.263053602882403e-32,4.778020110036479e-18,1.2185328542027205e-22,1.3566911759194362e-27,5.520388993972741e-18,2.8514310411436773e-32,1.9582587939177245e-31,9.352707913044798e-42,1.382153670142051e-24,1.0179359997365372e-47,2.1110986398086597e-49,1.104623024908417e-30,1.4510479197464937e-44,6.123947318818458e-64,1.0174912226029568e-31,6.194893603378273e-47,3.5609402117921035e-58,1.5587325812151261e-65,5.33994445097516e-71,1.9332032157170017e-17,1.7660239643705515e-30,1.9332032157149737e-17,6.304430296681692e-45,1.0204327443793776e-59,2.4191164349966064e-48,2.6867534627654464e-30
3.373248431566214e-18,0.5721820083457797,3.76,0.0,1.0019034478578652,1.0,4.689744839286726e-40,9.865722448505383e-29,8.299141684346384e-30,5.197789312455131e-14,5.197789312455132e-14,1.7026213545262735e-31,8.577243513137776e-30,8.565267040634622e-30,6.514627072436467e-40,6.911399016044835e-43,2.066859050163176e-17,2.9204419096522803e-31,9.58945294678778e-18,2.445613929476852e-22,5.4551955483173164e-27,1.1079382105431643e-17,1.1465478806741438e-31,7.874072482989234e-31,7.527872995460577e-41,2.773972750794337e-24,8.193234509500768e-47,1.6991958479025507e-48,4.4416405986682485e-30,1.1679296039993743e-43,9.862428368099534e-63,4.0912874547136395e-31,4.98618931502444e-46,5.734784454517407e-57,2.5173572821495795e-64,1.720334242041564e-69,3.8799253350394523e-17,7.101104688176404e-30,3.879925335031298e-17,5.084751427365188e-44,1.643375473225211e-58,1.9511050422029936e-47,1.080331750606713e-29
6.75825034198806e-18,0.5721820083457848,3.76,0.0,1.001903447857813,1.0,3.763224888412984e-39,3.9565959570629183e-28,3.328327008059673e-29,1.0413689389064793e-13,1.0413689389064796e-13,6.828273096814248e-31,3.4398583663060556e-29,3.4350551740657546e-29,5.227577948459036e-39,5.545962538648433e-42,4.1409196998165267e-17,1.1712278257302888e-30,1.921231861629432e-17,4.899857399595503e-22,2.187777403970982e-26,2.2197368324276866e-17,4.598169808214934e-31,3.157855242175467e-30,6.040643989723566e-40,5.557610912789911e-24,6.5745547008905726e-46,1.363497658176737e-47,1.7812965361719105e-29,9.371899533658894e-43,1.5831381735370968e-61,1.64078925625649e-30,4.001102905209989e-45,9.205599128117664e-56,4.046578308493113e-63,5.523632471393197e-68,7.77336957368145e-17,2.8478605846270417e-29,7.773369573648749e-17,4.084348866171773e-43,2.637981576349009e-57,1.5672336737211231e-46,4.332613510116071e-29
