Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78)
0.0,0.6958323628361928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8505847743224337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9255308203388386e-20,0.6958323628361929,9.110650096512469e-25,7.141557353080527e-27,4.1000153047172196e-38,2.295191054936557e-34,0.0,0.0,8.099429214092512e-20,8.30793689247759e-36,4.916892979138587e-59,1.980644604113769e-68,2.167498035503931e-46,5.481810961360503e-81,1.7679114361474434e-59,1.7933636207143184e-55,5.207794696118145e-55,1.5981971116196854e-49,8.747260665481398e-84,2.6427637586684977e-71,2.3159552664919743e-47,2.2916168519622828e-34,8.791598834430497e-61,9.304469955443026e-85,1.56580388335906e-70,5.545114526450442e-63,1.2983584099298646e-36,2.371708141288976e-16,2.079801314069148e-49,1.9221294996319814e-35,1.501841165676654e-69,5.3397660551534605e-67,7.947125079764199e-50,4.7180864539563343e-51,3.76,0.0,0.8505847743224335,1.0,2.2815497413560415e-50,1.767911438204302e-59,2.371708141288976e-16,3.818622157061726e-20,1.92472254378204e-31,4.280898163493261e-20,2.168569904738652e-53,1.388026551731773e-52,9.454135847613799e-66
8.191486296948748e-20,0.6958323628361929,2.550982641655994e-24,1.9996360588686353e-26,2.476409505568642e-37,1.3862953976157083e-33,0.0,0.0,2.2678401799459915e-19,5.017993883056624e-35,1.0998892927334073e-57,5.568197023894191e-67,2.5732536694261592e-45,1.5459587355757453e-79,2.6716683634184333e-58,2.7013071042029954e-54,7.861195404024113e-54,1.8973801823563373e-48,3.6251498269474e-82,5.911756817585747e-70,2.7495020923778686e-46,1.3841365785844525e-33,1.328586729513597e-59,3.918204904371746e-83,3.5762086704655596e-69,1.2404205498543521e-61,7.842084795974353e-36,6.64078279560913e-16,2.4691401200649202e-48,1.1609662177787586e-34,3.359559580549732e-68,1.1945036608023411e-65,9.434831757497509e-49,5.60865635638625e-50,3.76,0.0,0.8505847743224331,1.0,2.7086562789368073e-49,2.6716683686010636e-58,6.64078279560913e-16,1.0692142039741644e-19,1.1625324164416759e-30,1.198651485774996e-19,2.574526190900434e-52,1.647865122212415e-51,2.1148523725636625e-64
1.8723397250168566e-19,0.6958323628361929,5.830820364195501e-24,4.570596706014153e-26,1.1922848428909295e-36,6.674415594265923e-33,0.0,0.0,5.183634697019829e-19,2.4159480483327224e-34,2.173195896081603e-56,1.209863229947999e-65,2.526435712560091e-44,3.3627994475531436e-78,2.87406024718685e-57,2.902905293307166e-53,8.453677829842301e-53,1.8628593647518194e-47,1.4367765628900554e-80,1.1680635255299846e-68,2.6994774586186968e-45,6.664021805494827e-33,1.4292336765550961e-58,1.5659303996295288e-81,7.136917667014073e-68,2.4508625666319576e-60,3.7756262560730007e-35,1.5178932104249425e-15,2.4242164116852885e-47,5.5895525849454365e-34,6.63792452889636e-67,2.360156602493193e-64,9.263175898144746e-48,5.509830218656147e-49,3.76,0.0,0.8505847743224322,1.0,2.6593754235218657e-48,2.874060257987537e-57,1.5178932104249425e-15,2.4439181804976726e-19,5.597093157278029e-30,2.739774824613866e-19,2.5276850809469165e-51,1.617883748687559e-50,4.1785919050628534e-63
3.9787219156608206e-19,0.6958323628361932,1.2390505643394563e-23,9.71251800040259e-26,5.207023490542208e-36,2.914892646496858e-32,0.0,0.0,1.1015223731168919e-18,1.055107985344901e-33,3.867085984337375e-55,2.2418938701067973e-64,2.2346037770704093e-43,6.234069061116561e-77,2.6417589867370643e-56,2.667169076723745e-52,7.769285659052116e-52,1.6476781113599007e-46,5.132273556292035e-79,2.0785066342776267e-67,2.387657241533436e-44,2.910353401980226e-32,1.3137132732747808e-57,5.614754759127062e-80,1.2757325327378132e-66,4.361179466093713e-59,1.6489151806077778e-34,3.225523072152999e-15,2.144191962765937e-46,2.4411044645487735e-33,1.1811832792479057e-65,4.1997877138473913e-63,8.193175026020203e-47,4.874660499699507e-48,3.76,0.0,0.8505847743224305,1.0,2.352188461241354e-47,2.641759006411309e-56,3.225523072152999e-15,5.19332613349479e-19,2.4443976305617095e-29,5.82202150224173e-19,2.2357088289547617e-50,1.430999853750295e-49,7.435581033685956e-62
8.191486296948748e-19,0.6958323628361935,2.5509915538272872e-23,1.9996360589569087e-25,2.1738317627572756e-35,1.2169103033820505e-31,0.0,0.0,2.267840179947278e-18,4.4048681403938436e-33,6.522405738262489e-54,3.852483613945249e-63,1.8783191197100074e-42,1.0714791246845584e-75,2.2600846474190185e-55,2.281399238929507e-51,6.646367921518759e-51,1.3849727720845525e-45,1.7348273995616425e-77,3.505705239597696e-66,2.0069697786411205e-43,1.2150152548997182e-31,1.1239115707592388e-56,1.9012852630335398e-78,2.156314096288564e-65,7.355766995205291e-58,6.883896289419785e-34,6.640782795609099e-15,1.8023225419752642e-45,1.0191130607194192e-32,1.9922383063205718e-64,7.083567946109861e-62,6.886857620702412e-46,4.097952605976947e-47,3.76,0.0,0.8505847743224271,1.0,1.977157803478505e-46,2.2600846809664894e-55,6.640782795609099e-15,1.069214203928942e-18,1.0204878926759044e-28,1.1986514857297953e-18,1.879247982265238e-49,1.2028416012640262e-48,1.254119422046509e-60
1.6617015059524603e-18,0.6958323628361943,5.1748892673950217e-23,4.056404576946058e-25,8.880828038690895e-35,4.971475683897801e-31,0.0,0.0,4.60047579361032e-18,1.7995323626600992e-32,1.0713071010963413e-52,6.384613785710772e-62,1.5399594976266756e-41,1.7759044828760942e-74,1.868688664429683e-54,1.8861407805409834e-50,5.495182172180898e-50,1.135484370782163e-44,5.704953251281472e-76,5.758131382921291e-65,1.645435080522111e-42,4.9637337659339235e-31,9.292754712010974e-56,6.257714375764501e-77,3.545432080254813e-64,1.2081869683002747e-56,2.812296250220469e-33,1.3471302242521246e-14,1.4776529116738573e-44,4.163409381505986e-32,3.2722574487684026e-63,1.1634791299996762e-60,5.646262097343604e-45,3.3599507847751685e-46,3.76,0.0,0.8505847743224202,1.0,1.620996149712702e-45,1.8686887198223672e-54,1.3471302242521246e-14,2.168977385008027e-18,4.1690260184175635e-28,2.4315501566612384e-18,1.5407210351865286e-48,9.861622173079297e-48,2.05989491652469e-59
3.346807258467631e-18,0.6958323628361961,1.0422747632898773e-22,8.1699416135477625e-25,3.5897856079358655e-34,2.0095499799355593e-30,0.0,0.0,9.265747020945487e-18,7.273997530350461e-32,1.7366349766276725e-51,1.0395216975713968e-60,1.247099127311979e-40,2.891620959237625e-73,1.5195979272865516e-53,1.533713408687923e-49,4.468527353773755e-49,9.195446891494379e-44,1.8505851378618756e-74,9.334179106144006e-64,1.3325159889685303e-41,2.0064205514274596e-30,7.556773169121815e-55,2.030747617806932e-75,5.750239808081567e-63,1.958523164317662e-55,1.136775109077516e-32,2.7132341136345307e-14,1.1966416386465045e-43,1.6829166392450652e-31,5.304470374163073e-62,1.8860505805785735e-59,4.572489488857603e-44,2.721055699609885e-45,3.76,0.0,0.8505847743224065,1.0,1.312729121534865e-44,1.519598017313003e-53,2.713234113634531e-14,4.368503746846834e-18,1.6851869735032714e-27,4.8973474982049186e-18,1.2477158400948582e-47,7.9861973149831e-47,3.339178426352421e-58
6.717018763497973e-18,0.6958323628361994,2.0918716117379328e-22,1.6397015689244866e-24,1.4434473967342019e-33,8.080312258575406e-30,0.0,0.0,1.8596289475652152e-17,2.9248424147568716e-31,2.796797092280182e-50,1.6777547067155974e-59,1.0037738727906992e-39,4.66715529438215e-72,1.2256290716184324e-52,1.2369696089095789e-48,3.604005671842783e-48,7.401295669246527e-43,5.962223711781405e-73,1.5032407692778087e-62,1.0725247941549145e-40,8.067728791403722e-30,6.094907088760326e-54,6.544041100724316e-74,9.262936708140793e-62,3.154141197668317e-54,4.5709227163342254e-32,5.4454418923992555e-14,9.6316129630743e-43,6.766933789455896e-31,8.54268604051651e-61,3.0374269329547827e-58,3.680337359398985e-43,2.190174485697697e-44,3.76,0.0,0.8505847743223792,1.0,1.0566057025886308e-43,1.2256292167892337e-52,5.4454418923992555e-14,8.767556469246994e-18,6.776062702177486e-27,9.828942180015453e-18,1.0042702567889888e-46,6.427986381600742e-46,5.377643913757912e-57
1.3457441773558656e-17,0.6958323628362063,4.1911660100232e-22,3.2851163850614396e-24,5.788953013726352e-33,3.240566754827041e-29,0.0,0.0,3.7257374385210805e-17,1.1729926250968975e-30,4.489478729827616e-49,2.6960769393842163e-58,8.054653173678433e-39,7.500209911185957e-71,9.845213092978744e-52,9.935909909000022e-48,2.894926769037703e-47,5.939073667517968e-42,1.9143958749556273e-71,2.413034351994933e-61,8.606336019961113e-40,3.23552008309825e-29,4.895914676570229e-53,2.1014293250750629e-72,1.487094824464058e-60,5.063095174501462e-53,1.8331444487004208e-31,1.0909857449928351e-13,7.728762825952824e-42,2.7138431084151416e-30,1.3712903038464213e-59,4.8757434040519484e-57,2.9532389597034395e-42,1.7574899364845211e-43,3.76,0.0,0.8505847743223246,1.0,8.478709285433956e-43,9.845215424780396e-52,1.0909857449928355e-13,1.756566190893749e-17,2.7175042095318256e-26,1.969213153852921e-17,8.058636341101724e-46,5.1580542492492113e-45,8.632309447657914e-56
