Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64)
0.0,0.6750798174610441,3.76,0.0,0.5025134276586458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.946463369920516e-21,0.6750798174610441,3.76,0.0,0.5025134276586456,1.0,1.0610801086598017e-47,1.0304161166652472e-32,2.0454543910226976e-34,2.4237841758291953e-16,2.4237841758291953e-16,1.7909335175792865e-34,5.700143927762625e-33,5.6996544688893945e-33,3.7359500703929684e-46,9.060760959727346e-50,2.8172350276423582e-19,1.3309411824488532e-35,1.114306357433322e-19,7.67382179915535e-24,6.840065092948232e-31,1.7030054084134584e-19,6.234493629116627e-34,1.13355106425428e-34,1.0784046936037303e-46,1.1498129683992857e-23,9.024154606180759e-52,2.649761582277494e-54,1.0616608815729359e-35,8.161066852127807e-50,8.469944457279584e-72,6.380785762567978e-36,3.1041964323337646e-51,2.200672922320586e-65,5.5575121017262e-71,4.0609864314371064e-81,1.6255141965890044e-18,8.207130291070555e-35,1.6255141965889956e-18,2.4099028162647535e-50,4.914999520229744e-66,5.871609094263391e-53,1.3008922790223982e-33,4.1688321700474354e-68,1.7708519643586218e-67,3.178245629470477e-35,4.0378390013295453e-69,8.994680291432033e-81,7.476937680409415e-84
5.4500974357774454e-21,0.6750798174610442,3.76,0.0,0.5025134276586452,1.0,1.2597143053532568e-46,6.223713344658045e-32,1.2354544522020604e-33,6.786595692321743e-16,6.786595692321743e-16,1.0817238446113396e-33,3.4428869323940844e-32,3.442591299209052e-32,4.4353202604130774e-45,1.0756977037954342e-48,7.888258077398604e-19,8.03888474199106e-35,3.1200578008024964e-19,2.1486703255336856e-23,4.1313993161307924e-30,4.768415143546698e-19,3.76563415198702e-33,6.846648428096917e-34,1.2802820522462068e-45,3.2194763115278334e-23,1.0713476348437455e-50,3.1457969505001147e-53,6.412431724672711e-35,9.68881856682071e-49,1.894692695323214e-70,3.8539946005798806e-35,3.6853020044590413e-50,4.9238805531365694e-64,1.7473707249746727e-69,1.6761305927339583e-79,4.551439750449205e-18,4.957106695806603e-34,4.551439750449151e-18,3.641845135931465e-49,1.0994657326717556e-64,8.873175663223779e-52,7.85738936529527e-33,1.1756773732659697e-66,3.9613250101912926e-66,1.9196603601992876e-34,1.2695611874408543e-67,5.180909130129301e-79,4.306333284700097e-82
1.2457365567491305e-20,0.6750798174610443,3.76,0.0,0.5025134276586443,1.0,1.2367949751923865e-45,2.9964500672624692e-31,5.948181369459269e-33,1.5512218725306824e-15,1.5512218725306824e-15,5.2080346690223215e-33,1.657601854231561e-31,1.6574595195528223e-31,4.354623880366024e-44,1.0561282086031469e-47,1.803030417691109e-18,3.870376958561241e-34,7.131560687497623e-19,4.911247503850736e-23,1.9890909290144354e-29,1.0899234613769236e-18,1.812990747347982e-32,3.296366494853045e-33,1.2569885108640695e-44,7.35880299782426e-23,1.0518554608900941e-49,3.0885621003654514e-52,3.087309843572363e-34,9.512539522761357e-48,3.7435934829652243e-69,1.8555324997380005e-34,3.6182513615045914e-49,9.729698322793904e-63,3.8982879646908e-68,6.631264285737986e-78,1.040329085816958e-17,2.3866334886433008e-33,1.0403290858169318e-17,3.917730810319424e-48,2.1723590119134442e-63,9.545357472268891e-51,3.782994747397112e-32,2.557355086904384e-65,7.82691067977986e-65,9.242338290486936e-34,2.8323211707275e-66,2.3233615936622764e-77,1.931140592953443e-80
2.6471901830919022e-20,0.6750798174610446,3.76,0.0,0.5025134276586425,1.0,1.0939311494432601e-44,1.3086284681647921e-30,2.5977270769762646e-32,3.2963464791276917e-15,3.296346479127692e-15,2.2744855672241744e-32,7.239182788653159e-31,7.238561175487323e-31,3.851615566255859e-43,9.34134165001771e-47,3.8314396375936054e-18,1.690295301710016e-33,1.5154566460714991e-18,1.043640540880783e-22,8.686882667890175e-29,2.3160873554038536e-18,7.917806908987072e-32,1.4396098516045867e-32,1.1117921029167805e-43,1.5637456370574445e-22,9.303542432654835e-49,2.731798200996657e-51,1.3483093195545032e-33,8.413733481704173e-47,6.661524583621556e-68,8.103597918288066e-34,3.200302353829102e-48,1.7314246506554268e-61,7.301061925983301e-67,2.3667591100238137e-76,2.2106993073610213e-17,1.0423055469659431e-32,2.210699307360907e-17,3.601069580232208e-47,3.865596792917392e-62,8.773828037171665e-50,1.652133194358422e-31,4.7409053338655185e-64,1.3927569364429246e-63,4.0363719494138526e-33,5.3046240937526046e-65,8.741116854819153e-76,7.265433560566674e-79
5.450097435777446e-20,0.6750798174610451,3.76,0.0,0.5025134276586389,1.0,9.195150455703186e-44,5.463266250558493e-30,1.0844999184599284e-31,6.786595692321683e-15,6.7865956923216865e-15,9.4955295092917e-32,3.0222163108549052e-30,3.021956799403169e-30,3.237514983925565e-42,7.851963393238439e-46,7.888258077398595e-18,7.056650149343567e-33,3.120057800645818e-18,2.1486735412013997e-22,3.6266025121424806e-28,4.768415143387408e-18,3.3055285221656927e-31,6.01008774269105e-32,9.34528253000223e-43,3.219476311670412e-22,7.820187995000556e-48,2.2962409912555495e-50,5.628925993711577e-33,7.072249956684042e-46,1.1235634879575851e-66,3.383092611157604e-33,2.6900469610272783e-47,2.9203632638158076e-60,1.2610768831279315e-65,7.996920459231886e-75,4.5514397504491037e-17,4.351420480325452e-32,4.5514397504486223e-17,3.080790841376274e-46,6.519893998470469e-61,7.506194606419483e-49,6.897330863376542e-31,8.148404962229756e-63,2.349088142942402e-62,1.6851058327329575e-32,9.162418955235857e-64,3.0267806605730675e-74,2.515788970985283e-77
1.1055911941148532e-19,0.675079817461046,3.76,0.0,0.5025134276586319,1.0,7.538739893630315e-43,2.2319225253410455e-29,4.4305360320068794e-31,1.3767094118709567e-14,1.3767094118709578e-14,3.879233635643857e-31,1.2346739756297989e-29,1.234567956577635e-29,2.6543103954848274e-41,6.437515138560746e-45,1.6001894957008568e-17,2.8828718388313e-32,6.329260109517841e-18,4.358745219159424e-22,1.4815854592755506e-27,9.67307071907329e-18,1.350416258047999e-30,2.455316947229918e-31,7.661827236269728e-42,6.530937661148073e-22,6.411462593946201e-47,1.8825970978790244e-49,2.299599935593628e-32,5.798257801570235e-45,1.8454564029502862e-65,1.3821037191832479e-32,2.2054630243624628e-46,4.796755991617988e-59,2.09529810232233e-64,2.629241070386294e-73,9.232920636625085e-17,1.7776972495669147e-31,9.232920636623122e-17,2.547257444212435e-45,1.070894546955112e-59,6.206266855823329e-48,2.8177847120534955e-30,1.3505383648695266e-61,3.858384328646369e-61,6.884207163154177e-32,1.5223496130106015e-62,1.0070306067794919e-72,8.370188370936641e-76
2.226754095189071e-19,0.6750798174610476,3.76,0.0,0.5025134276586178,1.0,6.105067024756999e-42,9.021787701135745e-29,1.7908935035169446e-30,2.772809097148492e-14,2.7728090971484974e-14,1.5680482588131765e-30,4.990749618138237e-29,4.9903210709133203e-29,2.149529379592989e-40,5.213267135521125e-44,3.222916871622849e-17,1.1653028904105532e-31,1.2747664726155427e-17,8.778911284342637e-22,5.988805311034865e-27,1.948238186932016e-17,5.4585984280419124e-30,9.924783672160523e-31,6.20474634219302e-41,1.3153860361110295e-21,5.1921686366255435e-46,1.5245759398292435e-48,9.295350612691103e-32,4.695579497268768e-44,2.9915643557190004e-64,5.586684211758848e-32,1.786041137490308e-45,7.77578886162931e-58,3.4158647327376704e-63,8.527926459641439e-72,1.8595882408976334e-16,7.185736512085166e-31,1.8595882408968396e-16,2.0713874497046058e-44,1.7359662082841798e-58,5.04683313553805e-47,1.1389936331133552e-29,2.199001622819612e-60,6.25460726578226e-60,2.7827066043060254e-31,2.4818140905459353e-61,3.2854453406387e-71,2.7307783785136424e-74
4.469079897337506e-19,0.6750798174610513,3.76,0.0,0.5025134276585898,1.0,4.913889076528942e-41,3.6276211553610255e-28,7.201104020960342e-30,5.5650084677033976e-14,5.5650084677034204e-14,6.305053080817218e-30,2.0067584723508477e-28,2.006586154379152e-28,1.7301282509927884e-39,4.196091143390284e-43,6.46837162346682e-17,4.685631670457062e-31,2.5584473955004738e-17,1.7619334251777702e-21,2.408072275449447e-26,3.910100416531427e-17,2.1948784201505345e-29,3.990711863833679e-30,4.994119656890559e-40,2.6399705765062334e-21,4.1791090266630755e-45,1.227111352032563e-47,3.737619597820265e-31,3.779410884896625e-43,4.817822171452551e-63,2.2463811499742226e-31,1.4375612893122563e-44,1.2522700903495626e-56,5.516630667663151e-62,2.7473925049201594e-70,3.7321805953675946e-16,2.8893530474916793e-30,3.7321805953644027e-16,1.6706490191119054e-43,2.7957200605904515e-57,4.0704537570169605e-46,4.5798433039883165e-29,3.5491974844586427e-59,1.0072852182674478e-58,1.1189140867681741e-30,4.0081363859304507e-60,1.0615283173269251e-69,8.823149058030241e-73
8.953731501634375e-19,0.6750798174610586,3.76,0.0,0.5025134276585335,0.9999999999999999,3.943086527886093e-40,1.4548383326200275e-27,2.8879647974158027e-29,1.1149407208812549e-13,1.1149407208812641e-13,2.528608283711549e-29,8.047999026905498e-28,8.04730794660762e-28,1.3883189623281903e-38,3.367098997487394e-42,1.29592811271547e-16,1.8791478698512924e-30,5.1258092394999925e-17,3.530054353492213e-21,9.657446858033076e-26,7.833824873930401e-17,8.802444148354572e-29,1.6004539463818268e-29,4.0074665059230674e-39,5.289139658907682e-21,3.353471801911916e-44,9.846795801133871e-47,1.4989526269614394e-30,3.032739215039989e-42,7.733671576202016e-62,9.008993126359527e-31,1.1535523998928936e-43,2.010173447287014e-55,8.867822679052723e-61,8.82131301117607e-69,7.477365304306363e-16,1.1587598015173732e-29,7.477365304293563e-16,1.341956145558576e-42,4.487749852650591e-56,3.269609816992566e-45,1.8367220033970854e-28,5.703465075208188e-58,1.6169158553225006e-57,4.48734593421636e-30,6.4429621796665496e-59,3.413279871194229e-68,2.8370294453433264e-71
