Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47)
0.0,0.6737219468304695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9254059885706047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.74443063386915e-20,0.6737219468304695,6.5364198218102525e-25,2.3341947107535436e-27,4.657611777409162e-34,1.6643701924002034e-34,0.0,0.0,7.985912346935273e-20,1.2061819085912062e-35,4.607800544480272e-49,1.5755104641107733e-52,3.1840863420302396e-46,7.511816180346547e-61,1.509280565114286e-41,6.803431097164431e-40,1.082615035164299e-19,3.0656349526470767e-35,1.4993230771211365e-83,1.4750934576041645e-71,3.176788226869921e-47,1.6598454615023597e-34,3.232992422114771e-44,3.347677104567042e-50,3.4266098087232935e-36,1.0101421320891122e-62,1.0049241734171107e-36,2.47487340070046e-16,2.7191348780201627e-49,1.604702123180302e-35,5.235281272497101e-50,1.0140300179083942e-66,1.1918383072340872e-49,6.662648194085116e-51,3.76,0.0,0.9254059885706045,1.0,5.042815279166258e-46,3.25662649946866e-33,2.47487340070046e-16,3.876180034286232e-20,2.2016748012555292e-31,4.109797676803556e-20,1.9658469606512423e-53,1.3750378363342481e-52,1.7384352318705504e-65,2.1976958051510867e-73,4.705075527973833e-65,1.0826150351643275e-19,4.350674305010644e-34
1.608440577483362e-19,0.6737219468304697,1.830198243313277e-24,6.535745201289259e-27,2.813197513599257e-33,1.0052795970734433e-33,0.0,0.0,2.2360554571420767e-19,7.285338727891419e-35,5.4703808095178236e-48,1.8704460229872447e-51,3.780147306315171e-45,8.918028169258449e-60,9.116054613275314e-41,4.109272382674892e-39,3.03132209845993e-19,1.8516435113993252e-34,6.199826685894169e-82,3.2997250609664997e-70,3.771482982936139e-46,1.002546658746313e-33,1.9527274286962672e-43,3.974362258532471e-49,2.0696723244634524e-35,2.2596480585018616e-61,6.069742007436855e-36,6.929645521961286e-16,3.24252262029747e-48,9.692400824024967e-35,6.215325926684043e-49,2.268368413759414e-65,1.4149507568579433e-48,7.919149212570296e-50,3.76,0.0,0.9254059885706041,1.0,5.986830299535703e-45,1.9670024056790116e-32,6.929645521961286e-16,1.085330409596654e-19,1.32981157995485e-30,1.1507433495014589e-19,2.333853511679801e-52,1.6324449192916104e-51,3.8888232814679e-64,6.909907248011183e-72,1.0525066222079389e-63,3.0313220984601017e-19,2.6278072802264154e-33
3.6764356056762564e-19,0.6737219468304698,4.183313538403403e-24,1.493884622707804e-26,1.35443350493677e-32,4.839988532455599e-33,0.0,0.0,5.110983902039976e-19,3.50757699018403e-34,5.370852321493818e-47,1.8364149969518136e-50,3.711371041762321e-44,8.755772939660118e-59,4.38898788332988e-40,1.978437763036778e-38,6.928736225050762e-19,8.914866442305073e-34,2.454817300820308e-80,6.5197006694159e-69,3.702864357227703e-45,4.826830602032178e-33,9.401542049208883e-43,3.90205243305383e-48,9.964581323686092e-35,4.4646842742885765e-60,2.922319496293199e-35,1.5839189764482927e-15,3.189822898047272e-47,4.666473774232233e-34,6.102243851146559e-48,4.481936703921499e-64,1.3892071831943108e-47,7.779122387769658e-49,3.76,0.0,0.9254059885706032,1.0,5.877905489696176e-44,9.470269860453977e-32,1.5839189764482927e-15,2.4807552219187515e-19,6.402470321998732e-30,2.6302705131295174e-19,2.2913912173183594e-51,1.602744102017514e-50,7.683671156987267e-63,1.541562300294872e-70,2.07957576440796e-62,6.928736225051592e-19,1.2651760878970756e-32
7.812425662062046e-19,0.6737219468304699,8.88955521988615e-24,3.1745048457524984e-26,5.915166957993555e-32,2.1137501577359267e-32,0.0,0.0,1.0860840791838979e-18,1.531851023911661e-33,4.750458061134389e-46,1.6242882680466621e-49,3.2826656566639606e-43,7.74438200897126e-58,1.9167863176719298e-39,8.640357493206212e-38,1.4723564478230702e-18,3.8933563898694046e-33,8.764793049589724e-79,1.1601458995579105e-67,3.2751415903488723e-44,2.1080037360907565e-32,4.105900464461832e-42,3.451321187662461e-47,4.3517944569946305e-34,7.944667519904935e-59,1.2762537002358376e-34,3.3658278249526176e-15,2.8238622350179993e-46,2.0379716964636963e-33,5.397365580533823e-47,7.97538553641697e-63,1.2287380766905307e-46,6.882155967763759e-48,3.76,0.0,0.9254059885706014,1.0,5.19894084080269e-43,4.1359156543242825e-31,3.3658278249526176e-15,5.271604846507095e-19,2.796126997540428e-29,5.589324840329043e-19,2.026709582517767e-50,1.4176090077184025e-49,1.367269182746237e-61,2.887175597529879e-69,3.7004939953034384e-61,1.472356447823433e-18,5.525356367363311e-32
1.6084405774833623e-18,0.6737219468304704,1.830208294806162e-23,6.535745363389643e-26,2.469465764997864e-31,8.824490880594897e-32,0.0,0.0,2.2360554571449797e-18,6.395176479358038e-33,3.9930462462384616e-45,1.3653121599711322e-48,2.7592782799094857e-42,6.509619712251001e-57,8.00220555602702e-39,3.607179167543223e-37,3.0313220984583696e-18,1.625399651900335e-32,2.9620419518682927e-77,1.9567556303042104e-66,2.7529538487485926e-43,8.800500636730349e-32,1.7141326616667045e-41,2.901043415871678e-46,1.816788520509532e-33,1.33998433103368e-57,5.328107967422447e-34,6.9296455219612535e-15,2.3746175751298428e-45,8.508130657324375e-33,4.536810985955671e-46,1.34516683245159e-61,1.0328284124529645e-45,5.785505237369817e-47,3.76,0.0,0.9254059885705979,1.0,4.370023036926544e-42,1.7266633700174587e-30,6.9296455219612535e-15,1.0853304095460363e-18,1.1673279795769973e-28,1.1507433494501733e-18,1.7035715224849804e-49,1.1915857883096999e-48,2.3061000973979916e-60,4.986877913675797e-68,6.241424026089354e-60,3.0313220984598838e-18,2.3067275165164554e-31
3.2628366000376777e-18,0.6737219468304713,3.712731586525243e-23,1.3258226684854985e-25,1.008857341955079e-30,3.6050925135605745e-31,0.0,0.0,4.535998213072267e-18,2.612638261291214e-32,3.273740577442103e-44,1.1193653973779301e-47,2.2622230424158663e-41,5.336979534251626e-56,3.2691620750832584e-38,1.4736503892234253e-36,6.149253399726216e-18,6.64028793288971e-32,9.739551410679379e-76,3.2139769992346747e-65,2.2570378916301032e-42,3.5952916633012023e-31,7.002791578452799e-41,2.3784506658932554e-45,7.422173909447278e-33,2.200928313094699e-56,2.1767059565586875e-33,1.4057280915978473e-14,1.9472494012092412e-44,3.4758489870817727e-32,3.7195517486057255e-45,2.209441752650415e-60,8.467751421299518e-45,4.743560810346644e-46,3.76,0.0,0.9254059885705908,1.0,3.582808912237983e-41,7.053983262902116e-30,1.4057280915978473e-14,2.201670259247324e-18,4.768915686099333e-28,2.3343650801941658e-18,1.3966908595329223e-48,9.76934021791345e-48,3.7877769625689797e-59,8.285772433902628e-67,1.0251557726508422e-58,6.149253399732401e-18,9.423734571623652e-31
6.571628645146309e-18,0.6737219468304729,7.477849154299344e-23,2.670319047255001e-25,4.077962680773873e-30,1.4572360771303868e-30,0.0,0.0,9.135883724947344e-18,1.0560701577084105e-31,2.6511600214430223e-43,9.064911202190849e-47,1.8320068717641125e-40,4.322024396550937e-55,1.3214475800791768e-37,5.9567304890527364e-36,1.2385116002250895e-17,2.6841105515679825e-31,3.1591626666902362e-74,5.2099952176696645e-64,1.8278078022365742e-41,1.4532743740194068e-30,2.8306406022170967e-40,1.9261310145778277e-44,3.000161364281836e-32,3.5677996604240455e-55,8.798593501625586e-33,2.8312551704012686e-14,1.577090400927719e-43,1.4049937347011678e-31,3.0121894414988715e-44,3.581601243043166e-59,6.857404676993924e-44,3.841559882458445e-45,3.76,0.0,0.9254059885705765,1.0,2.9014515491723236e-40,2.851332818351045e-29,2.831255170401269e-14,4.434349958292437e-18,1.9276719685506142e-27,4.70160854131997e-18,1.131076469614291e-47,7.911464994971916e-47,6.140150187629827e-58,1.3507900924782002e-65,1.661821686070546e-57,1.2385116002275898e-17,3.809224186402142e-30
1.318921273536357e-17,0.6737219468304764,1.500836822719118e-22,5.359312262699866e-25,1.6397308601611058e-29,5.8594825177946656e-30,0.0,0.0,1.8335654748779488e-17,4.246411656513839e-31,2.1338842701815732e-42,7.296229163601122e-46,1.4745585112528427e-39,3.47874124064132e-54,5.313482599527228e-37,2.3951751305017984e-35,2.4856841207256195e-17,1.0792690476579365e-30,1.0177924709457975e-72,8.390536690065919e-63,1.47117873482111e-40,5.8435523401610226e-30,1.1381883626831739e-39,1.5503178098852966e-43,1.206351689173442e-31,5.745831380165988e-54,3.5378757492835663e-32,5.6823093280080246e-14,1.2694424113367227e-42,5.6494180139975995e-31,2.4244721164116174e-43,5.768059142955686e-58,5.5194358784745e-43,3.0920620871315875e-44,3.76,0.0,0.925405988570548,1.0,2.3353406296846032e-39,1.1465083856392827e-28,5.6823093280080246e-14,8.899709354952803e-18,7.751084202061972e-27,9.43609546212285e-18,9.10388744027432e-47,6.367835308654793e-46,9.888522990938286e-57,2.1815298130884047e-64,2.676312595256799e-56,2.485684120735673e-17,1.5316722917751485e-29
2.6424380915798094e-17,0.673721946830483,3.007054212234848e-22,1.0737300525214024e-24,6.576054150861785e-29,2.3499148366939058e-29,0.0,0.0,3.673519679677176e-17,1.703000999682428e-30,1.7123078024100214e-41,5.854764401123429e-45,1.1832403406009347e-38,2.7914707600134806e-53,2.130944173250789e-36,9.605723537611254e-35,4.980029161709058e-17,4.328351596144606e-30,3.2679601028098872e-71,1.346866963428501e-61,1.1805282829268405e-39,2.3435258473163863e-29,4.564646215404613e-39,1.2440324064135132e-42,4.8380098258394165e-31,9.2233318872569e-53,1.4188464107428288e-31,1.1384417643221182e-13,1.0186727121481924e-41,2.2656693005175904e-30,1.9454861844316732e-42,9.259012946585082e-57,4.4289996957476285e-42,2.4812012773323113e-43,3.76,0.0,0.925405988570491,1.0,1.873963784446761e-38,4.598011414803293e-28,1.1384417643221184e-13,1.7830428142554107e-17,3.10853143962858e-26,1.89050692979337e-17,7.305296325655237e-46,5.10978680101353e-45,1.5873269697967746e-55,3.5067461214746877e-63,4.296074428793067e-55,4.980029161749377e-17,6.142690947190087e-29
