Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57)
0.0,0.18841647777340773,3.76,0.0,0.6873636243728283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.499568170867125e-21,0.18841647777340773,3.76,0.0,0.6873636243728279,1.0,7.828523909830324e-46,5.510578047212414e-33,1.226124657422025e-33,2.5739061349201183e-16,2.5739061349201183e-16,2.4504676521505184e-35,1.0484160853877137e-33,1.0476237790790506e-33,1.1891255955272491e-45,2.232864910087199e-48,2.179675524886365e-19,3.66723120856908e-35,9.892614903111377e-20,1.5532141606731249e-24,4.708655189406438e-31,1.1904295667074652e-19,1.2445747658218234e-35,6.131776104827279e-35,1.3767616725610933e-46,8.535970414962007e-26,2.0860507344730026e-52,7.194837651194638e-54,1.2305684824724728e-33,2.2813253614334944e-49,1.692441616019989e-69,5.870521137057359e-35,1.1826600819808457e-51,2.0657522871339093e-64,3.504997460620692e-57,1.9568775634097845e-78,1.9066324898081947e-19,1.105782601795721e-33,1.9066324898081565e-19,3.9319521978032526e-50,1.1199208429747248e-65,2.6990257400264424e-53,6.152550158632247e-34,2.621950851514075e-68,1.1470582969731216e-69,9.786143455815689e-36,1.8565957448787327e-70,3.537602366754108e-82,6.788030727279611e-85,7.499396035718156e-66,4.6291471428894063e-60,1.7576671104479866e-61,8.501896302397329e-103,1.3405259381030052e-105,1.8603387877688716e-66
2.6598790878427952e-20,0.18841647777340775,3.76,0.0,0.6873636243728276,1.0,9.294023585954108e-45,3.3283891405162007e-32,7.405792930927611e-33,7.206937177776329e-16,7.206937177776329e-16,1.480082461746424e-34,6.332433157119675e-33,6.327647625633214e-33,1.4117299099457276e-44,2.6508572279632267e-47,6.103091469682069e-19,2.2150076499757874e-34,2.7699321728636656e-19,4.349001150534612e-24,2.84402773439557e-30,3.333202786773323e-19,7.517231585580183e-35,3.7035927673171367e-34,1.6344914576635667e-45,2.3900717165064026e-25,2.4765594319623135e-51,8.541711259595382e-53,7.432633634073947e-33,2.7083894690883442e-48,3.785924197362585e-68,3.5457947667747707e-34,1.4040540493247742e-50,4.621008715772416e-63,4.161132985240475e-56,8.07511599101981e-77,5.338570971462887e-19,6.678926914846079e-33,5.338570971462654e-19,5.9419661613075965e-49,2.5052181287296865e-64,4.078767698265354e-52,3.716140295813842e-33,7.394320913392569e-67,2.565923528000426e-68,5.910830647297875e-35,5.837434077233162e-69,2.0514164663892853e-80,3.909558151748365e-83,8.904263183281448e-65,5.495723488062295e-59,3.931831027198689e-60,8.970611603808997e-101,1.5247515222654222e-103,4.16150345467937e-65
6.079723629354961e-20,0.18841647777340775,3.76,0.0,0.6873636243728267,1.0,9.124927469777591e-44,1.602476096129224e-31,3.5655705039311197e-32,1.6472999263488738e-15,1.6472999263488738e-15,7.125959930166366e-34,3.048793978374299e-32,3.0464899495555e-32,1.3860447983132915e-43,2.602627349343587e-46,1.3949923359274458e-18,1.0664308354519831e-33,6.331273537938642e-19,9.940581132857031e-24,1.3692769290705127e-29,7.618749226874713e-19,3.619223419034409e-34,1.7831204912859637e-33,1.6047534055342244e-44,5.463021067794971e-25,2.431500736089105e-50,8.386302766533474e-52,3.5784931469402695e-32,2.659112841269831e-47,7.480348231155836e-67,1.70714754664447e-33,1.3785085915479124e-49,9.130337592270351e-62,4.0854250400734006e-55,3.194436687930368e-75,1.220244793477204e-18,3.215615806021845e-32,1.2202447934770917e-18,6.392096048882947e-48,4.949888856269257e-63,4.3877521648244447e-51,1.789161586130205e-32,1.6084263108286078e-65,5.06983249624608e-67,2.8458105169290022e-34,1.3022994309717216e-67,9.207279155541068e-79,1.7532099696680496e-81,8.74433434448943e-64,5.395733909818567e-58,7.768635547069386e-59,8.066718298589833e-99,1.3803517584333014e-101,8.22242955310194e-64
1.2919412712379292e-19,0.18841647777340784,3.76,0.0,0.6873636243728248,1.0,8.070895010945264e-43,6.998434119958257e-31,1.5571783150787727e-31,3.5005123434913506e-15,3.5005123434913506e-15,3.112093915867572e-33,1.3314884305781181e-31,1.330482199423803e-31,1.2259409281566637e-42,2.301994419173326e-45,2.964358713846317e-18,4.657383634883704e-33,1.3453956267968273e-18,2.1123765107899662e-23,5.979992090454422e-29,1.6189842106956196e-18,1.5806099526190774e-33,7.787355653153286e-33,1.4193862139373147e-43,1.1608919775444771e-24,2.1506348651856764e-49,7.417589825507691e-51,1.56282197264737e-31,2.3519551945876706e-46,1.3310880003722476e-65,7.455561843940809e-33,1.2192752381001418e-48,1.6246950427204137e-60,3.6135121819467377e-54,1.1400719450138378e-73,2.5930201861389415e-18,1.4043439042804513e-31,2.593020186138451e-18,5.875437530043032e-47,8.808062745539883e-62,4.033100182316703e-50,7.813738701462409e-32,2.981751308289303e-64,9.021496047004312e-66,1.2428402188656519e-33,2.4390627060170254e-66,3.465610631438302e-77,6.596014085742011e-80,7.737957557134159e-63,4.772465538567037e-57,1.3823871885468586e-57,6.086223501807776e-97,1.046183794726423e-99,1.4631374066894108e-62
2.6598790878427955e-19,0.18841647777340795,3.76,0.0,0.6873636243728212,1.0,6.784073565329203e-42,2.9217084806306662e-30,6.500912935026786e-31,7.206937177776284e-15,7.206937177776284e-15,1.2992379470429766e-32,5.558702103947152e-31,5.554501276617801e-31,1.0304772187927476e-41,1.9349650176645838e-44,6.103091469685632e-18,1.9443659867842004e-32,2.7699321727546245e-18,4.3490229099576054e-23,2.4965289813407133e-28,3.3332027866633986e-18,6.598735408615545e-33,3.2510676907998024e-32,1.193079637243306e-42,2.390071721103501e-24,1.8077381896341984e-48,6.234931192269572e-50,6.524474093235017e-31,1.9769600569475223e-45,2.2450744684904624e-64,3.112550306757977e-32,1.024874304449116e-47,2.740285864520186e-59,3.037374719315146e-53,3.8520457290546266e-72,5.338570971462045e-18,5.862859354719883e-31,5.338570971459999e-18,5.026560506079024e-46,1.4856085224944527e-60,3.450402116831668e-49,3.262082094106327e-31,5.124868658111819e-63,1.5216071693008512e-64,5.1886132600670133e-33,4.212874272852237e-65,1.2003334875092828e-75,2.2839902604404813e-78,6.5104319483813135e-62,4.0115448479114375e-56,2.331598047915436e-56,4.221164302659768e-95,7.274513459488129e-98,2.4677950929985766e-61
5.395754721052528e-19,0.18841647777340823,3.76,0.0,0.6873636243728137,1.0,5.561993386497786e-41,1.1936132473372494e-29,2.6558350541267458e-30,1.461978684634607e-14,1.461978684634607e-14,5.307810935253575e-32,2.270911193867401e-30,2.269195010386158e-30,8.448474828453092e-41,1.586401231160336e-43,1.2380556981370553e-17,7.943369487016367e-32,5.619005264477705e-18,8.82235412492934e-23,1.019913548576274e-27,6.761639938404885e-18,2.695798725953939e-32,1.3281672314272626e-31,9.781587694375865e-42,4.848431216337805e-24,1.4820929867605908e-47,5.111773291107848e-49,2.6654605550685244e-30,1.6208312975240833e-44,3.687541555869324e-63,1.2715783602781783e-31,8.402538750546784e-47,4.50092792634477e-58,2.490223305258128e-52,1.2664684057915497e-70,1.0829672542106767e-17,2.3951693467927318e-30,1.0829672542098404e-17,4.1560574304285035e-45,2.440116456268405e-59,2.852859193620726e-48,1.3326669745599635e-30,8.494093960451754e-62,2.4992443447270896e-63,2.1197178169286936e-32,6.999753614089801e-64,3.994104325408188e-74,7.59897946118854e-77,5.3478331998578446e-61,3.288906833854294e-55,3.829656795386231e-55,2.8109531932808093e-93,4.85066952624919e-96,4.0533608504358323e-60
1.0867505987471993e-18,0.18841647777340872,3.76,0.0,0.6873636243727989,1.0,4.5042464507110454e-40,4.824775588071286e-29,1.0735309925143066e-29,2.944548618348532e-14,2.9445486183485325e-14,2.1455020370899655e-31,9.17938620115882e-30,9.17244904483787e-30,6.8417939576969026e-40,1.2847088535163335e-42,2.493548800476556e-17,3.2108369502063244e-31,1.1317151447153806e-17,1.7769170221418603e-22,4.1226536331992925e-27,1.361851424111156e-17,1.089684947224716e-31,5.368664305171244e-31,7.921383319530242e-41,9.765150239271441e-24,1.200237326465269e-46,4.1396465444462075e-48,1.077421773110943e-29,1.3125912075315803e-43,5.977663768489317e-62,5.1399230397433465e-31,6.8045937302339985e-46,7.29619825941297e-57,2.016647395855499e-51,4.107759992934641e-69,2.1811875683390262e-17,9.68165745436324e-30,2.1811875683356455e-17,3.379636880130164e-44,3.9555339178620135e-58,2.31989771584786e-47,5.386852986286725e-30,1.3830430063517055e-60,4.051382782715264e-62,8.568238329014573e-32,1.1411365040432682e-62,1.303164280797195e-72,2.4791710647308547e-75,4.347314971416253e-60,2.6634420250557326e-54,6.208038696565346e-54,1.8348562399149955e-91,3.1684127567740954e-94,6.5706726092822345e-59
2.1811008520310922e-18,0.18841647777340978,3.76,0.0,0.6873636243727691,1.0,3.625409407188284e-39,1.940021043825655e-28,4.3166209092090925e-29,5.90968848577625e-14,5.909688485776254e-14,8.626969267934925e-31,3.690990873833009e-29,3.6882014188638294e-29,5.506870999570354e-39,1.0340454625009642e-41,5.0045350051656227e-17,1.2910634159065113e-30,2.271344380942576e-17,3.56634170805801e-22,1.6577008935847938e-26,2.733226284341973e-17,4.381575247355613e-31,2.158716304923985e-30,6.375818440070632e-40,1.9598588414998857e-23,9.660554185156233e-46,3.3319476827117594e-47,4.332265560572171e-29,1.0564875965265773e-42,9.62684321634513e-61,2.0667404477651302e-30,5.4769290195832283e-45,1.1750302472740431e-55,1.623173268314749e-50,1.3233696110894546e-67,4.3776281965933455e-17,3.8929518809201004e-29,4.377628196579754e-17,2.7257995791931546e-43,6.370265401783824e-57,1.871081549771549e-46,2.1660298935443411e-29,2.2322369879619617e-59,6.524627074914363e-61,3.4452509470274075e-31,1.84293850308825e-61,4.210664688171147e-71,8.010205451097363e-74,3.525660311992233e-59,2.1437698565194833e-53,9.997854937310224e-53,1.1859142315074907e-89,2.0485164342245466e-92,1.0581865673246307e-57
4.369801358598878e-18,0.18841647777341186,3.76,0.0,0.6873636243727097,1.0,2.909162733887468e-38,7.7803520813291885e-28,1.7311580533238772e-28,1.1839968220631174e-13,1.1839968220631186e-13,3.4598004784694174e-30,1.4802524679266031e-28,1.4791337276690846e-28,4.418917166047959e-38,8.297563778388544e-41,1.0026507414584017e-16,5.177741740031158e-30,4.5506028521648716e-17,7.145436946363349e-22,6.648122006234097e-26,5.475976003561539e-17,1.7572076454537394e-30,8.657417892676332e-30,5.116192762717749e-39,3.926546528589448e-23,7.751986331353077e-45,2.6736781808638586e-46,1.7374322531968458e-28,8.477647607085439e-42,1.5453215380942694e-59,8.288553565286574e-30,4.3948906120150343e-44,1.8861837848516048e-54,1.3024943235747641e-49,4.249062300811382e-66,8.770509453092469e-17,1.56124782077509e-28,8.770509453037961e-17,2.1895104567281853e-42,1.0225686672545243e-55,1.5029544511406613e-45,8.686748653649559e-29,3.587144912674653e-58,1.0473471443847633e-59,1.3816997219010512e-30,2.962469821610854e-60,1.3539357732026953e-69,2.575632418414482e-72,2.871750709847244e-58,1.7202403008062532e-52,1.6048771363563764e-51,7.627209223497721e-88,1.3177262463406725e-90,1.698623793063554e-56
