Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32)
0.0,0.4500928921599517,3.76,0.0,1.0006062351236902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5766746558044398e-20,0.4500928921599517,3.76,0.0,1.00060623512369,1.0,2.5461353842072e-46,4.186850892666951e-33,4.354981709416596e-34,2.6692687071483223e-16,2.6692687071483223e-16,7.720376709043731e-36,3.8305423000016078e-34,3.8251141065213855e-34,3.016926609697344e-46,3.8215417523518306e-49,1.2181664682509739e-19,1.524111775206207e-35,5.653253185196555e-20,1.249874696227777e-24,2.4058669128775885e-31,6.528536484735126e-20,4.7176698573535064e-36,3.347641246232406e-35,3.4766034982989313e-47,1.622421816098165e-26,3.717859074987311e-53,9.173162309133241e-55,2.8593353946532687e-34,5.458292085970534e-50,7.399309171662937e-71,2.146562085293192e-35,2.264428158501477e-52,2.8940075950550987e-65,2.615628212070712e-58,1.1917008730330957e-79,1.8585393855967977e-19,3.8048223517123407e-34,1.8585393855967635e-19,1.740581106398182e-38,1.0404367653438617e-66,1.1557980155830938e-51,4.583921248992789e-34,4.165191319000612e-57,6.989822045817859e-71,4.7763557695413313e-36,1.722748434000694e-50,2.5630745564928948e-62,4.846435380045228e-65,4.6084857606773485e-67,1.9209408321440774e-61,2.701825663221772e-62,2.2849316994902095e-83,4.622046280042995e-86,2.272478489792221e-67,8.902719252861959e-86,9.708742616844533e-84,5.288466919176338e-91,3.63759672970623e-35
4.414689036252431e-20,0.4500928921599517,3.76,0.0,1.0006062351236895,1.0,3.02277192818979e-45,2.5288579391707806e-32,2.630408952516893e-33,7.473952380015299e-16,7.473952380015299e-16,4.663107531914699e-35,2.3136475498020768e-33,2.3103689203378382e-33,3.5816952747828844e-45,4.536934377175401e-48,3.410866111102832e-19,9.205635122245712e-35,1.5829108918512415e-19,3.499649918373064e-24,1.4531436153753307e-30,1.8279902157219757e-19,2.8494725938454116e-35,2.021975312724811e-34,4.127423673178792e-46,4.542781086628812e-26,4.413842293818908e-52,1.0890378293525475e-53,1.7270385783605704e-33,6.480084364452447e-49,1.6551958644675333e-69,1.2965234995145136e-34,2.6883291097681194e-51,6.473781236112505e-64,3.1052738133647155e-57,4.917588507243617e-78,5.203910279671004e-19,2.2981127004342406e-33,5.203910279670799e-19,1.0513109882658478e-37,2.3274154264905546e-65,1.374134486241353e-50,2.7686884343916304e-33,4.944915133923628e-56,1.5635952323677645e-69,2.8849188847983555e-35,2.045246940839405e-49,5.733495259875696e-61,1.0841282087710894e-63,5.471867727339829e-66,2.2805409559277362e-60,6.043875941645894e-61,9.428834636033701e-82,1.907300339204982e-84,5.083443482517366e-66,3.6737320273010503e-84,4.0063410367552507e-82,2.182300681903139e-89,2.19710842474428e-34
1.0090717797148414e-19,0.45009289215995174,3.76,0.0,1.0006062351236886,1.0,2.967775403967444e-44,1.217536239587464e-31,1.2664286811422514e-32,1.7083319725749248e-15,1.7083319725749248e-15,2.2450855464683468e-34,1.1139217017421258e-32,1.1123431821748015e-32,3.516529661584896e-44,4.454389080062754e-47,7.796265396806963e-19,4.43211704229998e-34,3.618082038499237e-19,7.999203438404792e-24,6.996260982607033e-30,4.1782633502034644e-19,1.3718983945242391e-34,9.73494074405041e-34,4.0523290376119704e-45,1.0383499633905911e-25,4.333536537786305e-51,1.069223798790538e-52,8.314947327501644e-33,6.36218525537077e-48,3.2703881038432268e-68,6.242202543993989e-34,2.6394174615343046e-50,1.2791102570966132e-62,3.0487762439721565e-56,1.945349387040573e-76,1.1894652067819303e-18,1.1064423398779297e-32,1.1894652067818321e-18,5.0616098574257146e-37,4.5985806792134415e-64,1.3499971035650055e-49,1.3330042992070826e-32,4.854947001445661e-55,3.0894006908525324e-68,1.3889642577757057e-34,2.0080355746519296e-48,1.132842045685756e-59,2.1420546492884163e-62,5.373738468282483e-65,2.239048633964369e-59,1.1941680386306332e-59,3.729953215727589e-80,7.545090468042935e-83,1.0044027687927052e-64,1.4532918560837874e-82,1.5848688983227838e-80,8.632964475827973e-88,1.0578131290011477e-33
2.144277531894038e-19,0.45009289215995196,3.76,0.0,1.0006062351236866,1.0,2.624963735943102e-43,5.31730063368614e-31,5.530826771412761e-32,3.6302054417217105e-15,3.6302054417217105e-15,9.804878415095985e-34,4.864788730319177e-32,4.8578949152654446e-32,3.110330662885442e-43,3.9398567007372395e-46,1.6567063968216886e-18,1.935621954512222e-33,7.688424331734516e-19,1.6998322781432858e-23,3.0554509793121715e-29,8.878809619104682e-19,5.9914407188992844e-34,4.2515043827219434e-33,3.5842391425952097e-44,2.2064936753323317e-25,3.8329639919090373e-50,9.457163415021271e-52,3.6313559510545835e-32,5.627280808875563e-47,5.819480894672804e-67,2.726133848282452e-33,2.334534854257119e-49,2.2761085048409256e-61,2.696608061479742e-55,6.942814237466204e-75,2.527613564411544e-18,4.8321243866744745e-32,2.527613564411114e-18,2.210538005145971e-36,8.182928615689645e-63,1.194400169489347e-48,5.82157998622063e-32,4.29414564227546e-54,5.4974234634174864e-67,6.065971827246044e-34,1.7760847254768657e-47,2.0158318927537914e-58,3.811671798813708e-61,4.755548016499525e-64,1.9804131603416136e-58,2.1249582210576328e-58,1.3311938085977242e-78,2.6927891948872725e-81,1.7872810620197935e-63,5.186695406082646e-81,5.656284893805834e-79,3.081043700914332e-86,4.619747846753525e-33
4.414689036252431e-19,0.45009289215995224,3.76,0.0,1.0006062351236829,1.0,2.206440186187455e-42,2.2198683432912183e-30,2.309011302740995e-31,7.473952380015268e-15,7.473952380015268e-15,4.093343726284388e-33,2.0309535358462745e-31,2.028075499262595e-31,2.6144203338818188e-42,3.311686955665881e-45,3.4108661111043394e-18,8.080840632146359e-33,1.5829108917962243e-18,3.499661067934744e-23,1.2755906371695675e-28,1.8279902156660093e-18,2.5013085584231222e-33,1.7749193887585304e-32,3.01276896594982e-43,4.542781109161097e-25,3.221837188566309e-49,7.949315687944355e-51,1.5160196261056018e-31,4.73006858888968e-46,9.81540512224285e-66,1.1381072175865384e-32,1.9623172112495577e-48,3.838989794339662e-60,2.266661558462537e-54,2.3458200895242538e-73,5.203910279670587e-18,2.017316810877704e-31,5.203910279668791e-18,9.228561026304906e-36,1.3801705146452978e-61,1.0041013126926239e-47,2.4303950462157854e-31,3.6094881540545215e-53,9.272208191665892e-66,2.532423828946511e-33,1.4929062288565963e-46,3.3999951272259584e-57,6.428941614178658e-60,4.0015929006424746e-63,1.6646565901436257e-57,3.584052630597259e-57,4.497803014408875e-77,9.098326089423123e-80,3.014510745545083e-62,1.752467152515734e-79,1.9111308873380153e-77,1.041015031461924e-84,1.9286537861141943e-32
8.955512044969218e-19,0.45009289215995285,3.76,0.0,1.000606235123675,1.0,1.8089729724585515e-41,9.068886507545558e-30,9.433064585321792e-31,1.5161446256602323e-14,1.5161446256602323e-14,1.6722644725788686e-32,8.297107914492056e-31,8.285350159162209e-31,2.1434597464204152e-41,2.7151210566690904e-44,6.919185539672305e-18,3.3012870695702355e-32,3.2110478089446354e-18,7.099338332261041e-23,5.211203967646537e-28,3.708208723078284e-18,1.0218661618281646e-32,7.251124845040961e-32,2.4700500221020447e-42,9.215356016599768e-25,2.6414567823267573e-48,6.517329279674289e-50,6.193434837053145e-31,3.8779960077564874e-45,1.6121832387651496e-64,4.649539338924409e-32,1.6088262079441576e-47,6.305552360180023e-59,1.858346091492184e-53,7.712543338826282e-72,1.0556503710187937e-17,8.241397406701481e-31,1.0556503710180602e-17,3.770168299856277e-35,2.266934212759818e-60,8.232770419600504e-47,9.928956782166721e-31,2.95927646484383e-52,1.5229629798516716e-64,1.0345777650512866e-32,1.2239747239471866e-45,5.584502205729352e-56,1.0559555905590063e-58,3.2877471785898935e-62,1.3647860469671455e-56,5.886817208235391e-56,1.4787792250225965e-75,2.9913305590404224e-78,4.951342951424982e-61,5.761728580166634e-78,6.283380322656071e-76,3.422629662764576e-83,7.879180020615667e-32
1.8037158062402793e-18,0.450092892159954,3.76,0.0,1.0006062351236598,1.0,1.4649532144073688e-40,3.665788925367199e-29,3.8129955285599986e-30,3.0536434009776195e-14,3.0536434009776195e-14,6.75956035306775e-32,3.3538237080822135e-30,3.34907100563181e-30,1.73582927560293e-40,2.19877543656195e-43,1.3935824396818892e-17,1.3344330165603692e-31,6.467321642852923e-18,1.4298771599887139e-22,2.1064519635705883e-27,7.468645737507598e-18,4.1305464086442417e-32,2.931020597898834e-31,2.000310548241091e-41,1.856050599060167e-24,2.1391201866164996e-47,5.277902225914454e-49,2.503485385145902e-30,3.1405017107192385e-44,2.613418503909024e-63,1.879418140404173e-31,1.302869174747706e-46,1.0221572176705765e-57,1.5049368456715642e-52,2.5015449636650317e-70,2.1261690571219688e-17,3.3313046003957886e-30,2.1261690571190035e-17,1.5239623066709005e-34,3.674798041428317e-59,6.667326826876268e-46,4.0134430817118065e-30,2.3964988057529836e-51,2.4687886195961904e-63,4.1819287408625245e-32,9.912064650353947e-45,9.052718727098496e-55,1.7117495163166046e-57,2.6738400154894836e-61,1.1052391253866816e-55,9.542784374773373e-55,4.7963849696270935e-74,9.702308968174877e-77,8.026340291652179e-60,1.8688028538630613e-76,2.037999360573268e-74,1.1101217269491112e-81,3.1848905416676337e-31
3.620045009726994e-18,0.4500928921599564,3.76,0.0,1.000606235123629,1.0,1.1791217958392925e-39,1.4739976041624572e-28,1.5331887330335208e-29,6.1286409516123e-14,6.1286409516123e-14,2.7179894745246694e-31,1.3485577862539842e-29,1.3466467215722956e-29,1.39714641469741e-39,1.7697657774471316e-42,2.796910211115469e-17,5.3656964691016985e-31,1.2979869309115361e-17,2.8697953091033263e-22,8.469950699308087e-27,1.4989519764785277e-17,1.660874544267404e-31,1.178550491335611e-30,1.6100239522630777e-40,3.7250806575103805e-24,1.7217500252726016e-46,4.2481148818514404e-48,1.0066404622408796e-29,2.5277489939418137e-43,4.208829933917589e-62,7.557057681729418e-31,1.0486624587619513e-45,1.6461526936667486e-56,1.2113040997903194e-51,8.059060347846763e-69,4.2672064293271394e-17,1.3395029282087246e-29,4.267206429315218e-17,6.127785409342032e-34,5.9181489377740396e-58,5.366530907081603e-45,1.613787811391826e-29,1.9289107297133356e-50,3.9759079643989655e-62,1.6815351537268482e-31,7.978091959054513e-44,1.4579124427241914e-53,2.7567198251023857e-56,2.1703893465386403e-60,8.895926018786774e-55,1.536836004749418e-53,1.5452193084473036e-72,3.125728076063613e-75,1.292617359993938e-58,6.020597327902103e-75,6.565686428809353e-73,3.57640501746018e-80,1.2806304792152932e-30
7.252703416700423e-18,0.4500928921599612,3.76,0.0,1.0006062351235674,1.0,9.461709840040338e-39,5.911389654214758e-28,6.14877256421473e-29,1.2278636052881277e-13,1.227863605288128e-13,1.09003533325202e-30,5.408320071683116e-29,5.400655655628343e-29,1.1211220084999956e-38,1.4201256076251733e-41,5.603565753999676e-17,2.151884270756878e-30,2.6004964635423677e-17,5.749757589690053e-22,3.396829057355332e-26,3.003126781301687e-17,6.660849768048535e-31,4.72651458998602e-30,1.291942825850424e-39,7.463141029010208e-24,1.3815959629846884e-45,3.4088446610824325e-47,4.037078481348069e-29,2.0283593750551998e-42,6.756104161011584e-61,3.0307181272188238e-30,8.414855804905958e-45,2.6424396454506788e-55,9.719952545690334e-51,2.587595266663871e-67,8.549281173732765e-17,5.372005849440391e-29,8.549281173684953e-17,2.4575160214607634e-33,9.499939652446892e-57,4.3063375419147003e-44,6.472010907916718e-29,1.5478293822959246e-49,6.382212817028263e-61,6.7437080499547185e-31,6.401916351754205e-43,2.3402723485167235e-52,4.425145838620223e-55,1.770890207622263e-59,7.138420386418498e-54,2.466962145272936e-52,4.9613751373712865e-71,1.0036057339346073e-73,2.074937133877283e-57,1.9330875381455272e-73,2.108104215337137e-71,1.1483086469112369e-78,5.1359009981816695e-30
