Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57)
0.0,0.45450778342091464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.658680183040346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.517806346690769e-16,0.45450778342091464,1.8192147522459747e-26,5.35524906951314e-31,3.3622368945223424e-31,3.264437355985899e-35,0.0,0.0,2.126446360013339e-19,4.881385752036309e-33,1.676239969153557e-41,1.9488775756119222e-41,2.90462417215428e-43,6.010557875029571e-61,5.2472498057089455e-43,1.5742934508001332e-32,4.1697423614631755e-21,6.877129867155983e-34,1.4729503814028073e-76,1.2292781846460954e-70,1.3083496219858202e-44,2.314185641479343e-35,4.243340601728237e-25,6.557559767929775e-47,1.387315686202877e-35,2.625830057618163e-56,1.058470953235872e-36,2.692581763038676e-16,2.5638785126342947e-47,6.373294574414613e-36,9.432999278609103e-47,2.7859470718805928e-61,5.736630982788028e-46,3.361647202426054e-48,3.76,0.0,0.6586801830403457,1.0,6.620527678307594e-40,3.7240421774598206e-32,2.692581763038676e-16,1.3004617056854576e-19,3.2901453917835572e-28,8.259848290572982e-20,2.84609910030375e-50,3.6681658721208865e-49,1.6367424322733167e-58,1.1328453383286442e-69,1.1958005927182633e-57,4.169742361162436e-21,3.3553549102847137e-31,1.3574296114203932e-39,1.0248510336295376e-46,4.3775945131751045e-45,4.67703040182713e-40,6.122687065175447e-29,4.243340790598788e-25,2.2496134280382608e-50,6.163489721132251e-63,1.970611468324732e-60
7.049857770734153e-16,0.4545077834209147,5.097378044113072e-26,1.4995162520576193e-30,2.0307910820622178e-30,1.97205701998931e-34,0.0,0.0,5.954049818339584e-19,2.9483569984867224e-32,1.9900319686015667e-40,2.313730074814488e-40,3.44836979029017e-42,7.135733872026652e-60,3.1693387523170353e-42,9.508731801441808e-32,1.1675278611973953e-20,4.153786489240357e-33,6.181834146083356e-75,2.7498461046924644e-69,1.553272661913297e-43,1.3977681182891668e-34,1.1881353174767997e-24,7.785134949112153e-46,8.379386735986283e-35,5.873876792246584e-55,6.393164540865983e-36,7.539228936508289e-16,3.0480075235790956e-46,3.8494699593840846e-35,1.1198856670797446e-45,6.232052663870937e-60,6.810528286399324e-45,3.9931843615423786e-47,3.76,0.0,0.6586801830403454,1.0,7.859890449798802e-39,2.2493214751659666e-31,7.539228936508289e-16,3.641292767384081e-19,1.9872478131160675e-27,2.312757517253279e-19,3.378888829540914e-49,4.3548465036655933e-48,3.6613273293664166e-57,3.5618965783272636e-68,2.674958082318692e-56,1.1675278610157499e-20,2.0266343656529566e-30,8.198874928446336e-39,1.2167162185424679e-45,5.197078535085554e-44,5.552567874063933e-39,3.6981029767076397e-28,1.188135431554609e-24,2.672082522953208e-49,1.3787476203738832e-61,4.408179011092271e-59
1.611396061882092e-15,0.4545077834209148,1.1668011579018067e-25,3.427685006581073e-30,9.777384855831815e-30,9.498036685789466e-34,0.0,0.0,1.3609256776201016e-18,1.419506983077346e-31,1.953824927435062e-39,2.271681814912216e-39,3.385629851698204e-41,7.005904903788388e-59,1.525900048003424e-41,4.578044392840392e-31,2.668635111250376e-20,1.999869439586165e-32,2.4634723243054325e-73,5.433232409785261e-68,1.5250122905310355e-42,6.729651707956586e-34,2.715737628056353e-24,7.643491642638639e-45,4.034314002459177e-34,1.160579064936754e-53,3.078033506986081e-35,1.7232523283447504e-15,2.994379592228974e-45,1.8533541168961724e-34,1.0995103733567818e-44,1.2313485921012759e-58,6.686617022228588e-44,3.921512317621355e-46,3.76,0.0,0.6586801830403444,1.0,7.716887031182593e-38,1.0829514651756685e-30,1.7232523283447504e-15,8.32295485664052e-19,9.567742746488557e-27,5.286302877216617e-19,3.3174130420337954e-48,4.2756140794213337e-47,7.234165717343344e-56,7.946827015798842e-67,5.2852663516387646e-55,2.668635110375831e-20,9.757372076722788e-30,3.9474054210366665e-38,1.1946068861648705e-44,5.102518984596484e-43,5.451538517522578e-38,1.7804773825655232e-27,2.7157381772918627e-24,2.624054770751488e-48,2.7241713316759165e-60,8.709818801663544e-58
3.4242166314994456e-15,0.4545077834209149,2.486650645249867e-25,7.284766884351994e-30,4.2700408214895785e-29,4.151056725119097e-33,0.0,0.0,2.8919670856759654e-18,6.1993599710663786e-31,1.7281355593170294e-38,2.0093620618951586e-38,2.9945511614566483e-40,6.196641900614255e-58,6.664005233117703e-41,1.9993516883604286e-30,5.670849611159637e-20,8.733955698199015e-32,8.822054395581026e-72,9.668146402250286e-67,1.348856065685661e-41,2.939015622631246e-33,5.770941433102083e-24,6.760581770337647e-44,1.761890908024834e-33,2.065188415297908e-52,1.3442580847488835e-34,3.6619111977325875e-15,2.6492207880783944e-44,8.094084674288989e-34,9.725044462558667e-44,2.1911188777307952e-57,5.914236969736111e-43,3.468922665232106e-45,3.76,0.0,0.6586801830403425,1.0,6.825499150857231e-37,4.729533565067619e-30,3.6619111977325875e-15,1.7686278898590183e-18,4.1784845929864894e-26,1.123339353142879e-18,2.9342141829386114e-47,3.781732159162183e-46,1.2872811016877568e-54,1.4885127294456123e-65,9.404848903160343e-54,5.67084960734027e-20,4.261300733596925e-29,1.7239357202161309e-37,1.0566655163826808e-43,4.5131139613985807e-42,4.821814213518548e-37,7.775812407568688e-27,5.770943831757542e-24,2.321181217667708e-47,4.847511514683065e-59,1.5498656898565568e-56
7.049857770734153e-15,0.45450778342091525,5.149240740604178e-25,1.5001909006634937e-29,1.78265797037733e-28,1.7355038407662444e-32,0.0,0.0,5.954049967721997e-18,2.5881107851118877e-30,1.452601287304488e-37,1.6891332530743097e-37,2.5171005159784457e-39,5.208648121708957e-57,2.7820900288680223e-40,8.346894928744255e-30,1.167527861019136e-19,3.6462549457855584e-31,2.985754238591548e-70,1.6306740769123175e-65,1.1337947388789797e-40,1.2269810992695854e-32,1.188134577874179e-23,5.6826762868323256e-43,7.355547647171976e-33,3.48324204488748e-51,5.612012761298913e-34,7.53922893650824e-15,2.2271176554340084e-43,3.379121291658633e-33,8.174485387397396e-43,3.695641610390052e-56,4.9712724266870925e-42,2.915993148297387e-44,3.76,0.0,0.6586801830403386,1.0,5.73724324079154e-36,1.974487162213479e-29,7.53922893650824e-15,3.641292643623665e-18,1.7444350376028766e-25,2.312757457699514e-18,2.4663836787225153e-46,3.1787736212436996e-45,2.1711876102040963e-53,2.5715864223063875e-64,1.5862651713100681e-52,1.167527859424625e-19,1.7790091712147603e-28,7.1970928188118375e-37,8.882738938943457e-43,3.7935336280239097e-41,4.053008781091662e-36,3.246248533272308e-26,1.1881355792653591e-23,1.9511870512821123e-46,8.176017061839341e-58,2.614074919464359e-55
1.4301140049203567e-14,0.45450778342091586,1.0565985407465087e-24,3.044811385292385e-29,7.282739339711251e-28,7.110688064792574e-32,0.0,0.0,1.2078215995551264e-17,1.05732772971103e-29,1.1909290214953979e-36,1.3850886003875777e-36,2.063670800252675e-38,4.270359878525529e-56,1.136573757576044e-39,3.409975010713554e-29,2.36841366051076e-19,1.489614422130635e-30,9.824630807597363e-69,2.6783866525717237e-64,9.295533311633198e-40,5.012617584467974e-32,2.4102141412228214e-23,4.6590012761251686e-42,3.004981166432018e-32,5.721235282329184e-50,2.2926902264740635e-33,1.529386441405945e-14,1.8260404064576034e-42,1.380481528360475e-32,6.701936245751003e-42,6.070100249514314e-55,4.07574931335362e-41,2.39076926137567e-43,3.76,0.0,0.6586801830403308,1.0,4.7037385356485816e-35,8.066424315730657e-29,1.529386441405945e-14,7.386621932651831e-18,7.12658610852972e-25,4.6915935616695925e-18,2.0220901200582322e-45,2.6061504631384355e-44,3.566181772547958e-52,4.274559163898158e-63,2.6054451088055048e-51,2.368413653996663e-19,7.267832931092381e-28,2.9402476965282577e-36,7.283964850416178e-42,3.1101506939892294e-40,3.322874246537622e-35,1.3261983831797231e-25,2.4102182322304445e-23,1.5997408688842058e-45,1.3429068070527496e-56,4.2936255775533115e-54
2.8803704606142396e-14,0.45450778342091724,2.17657325939523e-24,6.138826303043623e-29,2.943799571939827e-27,2.890898932442957e-31,0.0,0.0,2.4326549106158516e-17,4.273887945992379e-29,9.644431313042008e-36,1.122061449980809e-35,1.6712136655321203e-37,3.458240784844204e-55,4.5942064105928986e-39,1.3783632508464446e-28,4.770185258235126e-19,6.021262107957769e-30,3.187907739587334e-67,4.3417788366540573e-63,7.527762311483478e-39,2.026179719663252e-31,4.8543680448141275e-23,3.7729799020058996e-41,1.2146613901000577e-31,9.274368172499731e-49,9.267419640534164e-33,3.080313536916151e-14,1.4788209913335363e-41,5.580128858129762e-32,5.427400506038308e-41,9.839886896098699e-54,3.3006471835816233e-40,1.936132219476546e-42,3.76,0.0,0.6586801830403153,1.0,3.8092092523391737e-34,3.2605776784703453e-28,3.080313536916151e-14,1.4877279636703765e-17,2.8806798753829764e-24,9.449265349037012e-18,1.6375406290596862e-44,2.110527882075182e-43,5.780933043626552e-51,6.974580743649745e-62,4.223538154622174e-50,4.7701852319041045e-19,2.9377742655413015e-27,1.1884954889370845e-35,5.900944378074067e-41,2.518652534592871e-39,2.6909056215435355e-34,5.36070537903023e-25,4.854384581304112e-23,1.2955312029876204e-44,2.1768888910811908e-55,6.96015102513831e-53
5.780883372002005e-14,0.4545077834209198,4.563025796323878e-24,1.2345997594910948e-28,1.183688771989333e-26,1.175803729206176e-30,0.0,0.0,4.8823219547166985e-17,1.7185117149973518e-28,7.762644089657695e-35,9.037456328080657e-35,1.3451374214283208e-36,2.783481193682234e-54,1.8473050125940871e-38,5.542312521746037e-28,9.573728448648333e-19,2.421124977269719e-29,1.0272375246110513e-65,6.992296629259809e-62,6.058995485866458e-38,8.147175896425876e-31,9.742654959662585e-23,3.0368222670880016e-40,4.884099681947252e-31,1.4936081565169077e-47,3.726388014802355e-32,6.182167727936416e-14,1.1903027485231157e-40,2.243746719506924e-31,4.368442128124425e-40,1.5846811290123914e-52,2.6566475503108753e-39,1.558378703351685e-41,3.76,0.0,0.6586801830402842,1.0,3.065982731991799e-33,1.3110639431859075e-27,6.182167727936416e-14,2.9858591548790966e-17,1.1583085682759993e-23,1.8964607241481216e-17,1.318034555176132e-43,1.698735916841752e-42,9.310010305445127e-50,1.128328444852896e-60,6.801875922513021e-49,9.573728342772459e-19,1.1812661050547965e-26,4.7788909799939336e-35,4.753136087027136e-40,2.0271853900762765e-38,2.165803967910424e-33,2.1555156321297376e-24,9.742721452025398e-23,1.0427699465623622e-43,3.5057450917582726e-54,1.1209105239181462e-51
1.1581909194777538e-13,0.454507783420925,9.921942936907041e-24,2.4837271302546733e-28,4.7471206828732677e-26,4.822866588807468e-30,0.0,0.0,9.78165773083527e-17,6.892001957073998e-28,6.228979601712813e-34,7.261825863241336e-34,1.0793868971159365e-35,2.233549342620163e-53,7.408477787437229e-38,2.2226947642734672e-27,1.9180814809332643e-18,9.709809803439457e-29,3.298579090150802e-64,1.1224170724565743e-60,4.8619582462066274e-37,3.267379004828089e-30,1.9519145220740884e-22,2.436858296170493e-39,1.9587421425199314e-30,2.39757108452734e-46,1.4944477288755916e-31,1.2385876109976362e-13,9.551514293265549e-40,8.998439499355533e-31,3.505396527638054e-39,2.543756709959005e-51,2.1317916225348452e-38,1.2505067115879426e-40,3.76,0.0,0.6586801830402221,1.0,2.4602576234597922e-32,5.257952793556351e-27,1.2385876109976362e-13,5.982120138890598e-17,4.64533430262932e-23,3.799528429720945e-17,1.0576387512088831e-42,1.363127732923593e-41,1.4944615088878462e-48,1.819987504767229e-59,1.0918510594837832e-47,1.9180814384723037e-18,4.737405364766243e-26,1.9165513428605888e-34,3.8197775560278473e-39,1.6266159308923092e-37,1.7378073824404712e-32,8.644578365598142e-24,1.9519411883763452e-22,8.367721671438063e-43,5.627281042026256e-53,1.799308538017819e-50
