Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309)
0.0,0.2149225323912268,3.76,0.0,0.7689362687804462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.122118164010523e-19,0.21492253239122683,3.76,0.0,0.7689362687804459,1.0,4.66085479537936e-43,1.278217466023927e-32,2.1518821107240166e-32,2.7386120778534367e-16,2.7386120778534367e-16,3.107454331430785e-36,2.0616973899834936e-34,2.0315047593802433e-34,1.303207877895331e-44,1.363266236717764e-46,2.2327577266332847e-19,3.090865175614945e-34,1.1720977893450785e-19,2.8696775690443312e-25,2.2264506081564784e-30,1.0606628069195569e-19,2.4780174710871968e-36,1.6527160700387402e-34,1.0051775113008292e-45,3.9830489291995803e-28,4.501737676166826e-52,1.4440412628300354e-52,1.812851811065715e-31,5.88485167970609e-48,2.412023103391244e-66,2.3365716350549405e-33,3.9401393701393667e-51,5.227108242628793e-62,7.490659757896131e-57,2.903911199392807e-74,3.8081797805246677e-20,1.9016747845290124e-32,3.8081797805253983e-20,7.969092461767075e-39,1.7524858891698595e-64,9.532347861280417e-51,1.2531028453855978e-33,3.0220877216194266e-57,2.395430504083475e-70,1.1334764965948031e-35,1.7640863758227276e-49,1.3336945002662017e-60,6.393789059383243e-63,5.442726498030411e-67,5.409562358487229e-60,4.323213584377876e-59,3.3360286787840786e-81,5.662042713929472e-83,2.0518198752149457e-64,3.283002288766133e-83,1.8800446020644153e-78,2.9731998658800725e-88,2.7200766192276755e-35,2.6390889017757576e-50,2.9830903196229646e-68,4.06642848238446e-63
1.7141930859229463e-18,0.21492253239122686,3.76,0.0,0.7689362687804455,1.0,5.533366813166829e-42,7.72043349478198e-32,1.2997367949007727e-31,7.66811381798962e-16,7.66811381798962e-16,1.8769024066806868e-35,1.2452653108334213e-33,1.2270288746218863e-33,1.5471683926228192e-43,1.6184696779463444e-45,6.251721634599235e-19,1.8668825660778874e-33,3.281873810123417e-19,8.035143281684644e-25,1.3447761673126354e-29,2.9698558593399397e-19,1.496722552531714e-35,9.982405063055144e-34,1.1933467413774397e-44,1.1152537375105332e-27,5.344462968985003e-51,1.7143657873566557e-51,1.094962493815322e-30,6.986495914083789e-47,5.395599200526209e-65,1.4112892675592236e-32,4.677733460128297e-50,1.16928320698972e-60,8.892911264498015e-56,1.1983070888742493e-72,1.0662903385462499e-19,1.1486115698549248e-31,1.0662903385466916e-19,4.813331847310539e-38,3.9202408245786586e-63,1.1326559950040743e-49,7.568741186125123e-33,3.5878225433823454e-56,5.358482220647187e-69,6.846198039199887e-35,2.0943233453422276e-48,2.9834212492685706e-59,1.430265037402372e-61,6.49374913140693e-66,6.422232427061062e-59,9.670855859623244e-58,1.3766215751597112e-79,2.3364577795868805e-81,4.5898389879655617e-63,1.3547400868363912e-81,7.758056691317046e-77,1.2268992495898912e-86,1.6429262780870646e-34,3.1331263441651006e-49,6.673053721362969e-67,1.278550177651393e-61
3.9181556249667345e-18,0.2149225323912269,3.76,0.0,0.7689362687804445,1.0,5.432692349779161e-41,3.717056391193765e-31,6.257673178337441e-31,1.7527117298261971e-15,1.7527117298261971e-15,9.036477053248116e-35,5.995417319322868e-33,5.907615839621037e-33,1.5190191023406015e-42,1.589023130829165e-44,1.4289649450635278e-18,8.988235930785163e-33,7.501425851508881e-19,1.8366259060407315e-24,6.474518368310876e-29,6.788241964041423e-19,7.206074805846874e-35,4.806098331704381e-33,1.1716349070516409e-43,2.5491515760303285e-27,5.2472254348412905e-50,1.6831744963415288e-50,5.271773065553549e-30,6.859383117669239e-46,1.0660794780395497e-63,6.794750314530359e-32,4.59262644952067e-49,2.3103065772212144e-59,8.731113013567281e-55,4.74038367861071e-71,2.4372350595311873e-19,5.530070273401388e-31,2.437235059533313e-19,2.317412088475111e-37,7.7457352087926075e-62,1.1124758987768726e-48,3.644023074375484e-32,3.522545449158578e-55,1.0587457887338948e-67,3.2961496517485906e-34,2.0562190795519765e-47,5.894737638873032e-58,2.8259626935247823e-60,6.443688246381198e-65,6.305385869746812e-58,1.9107981498582742e-56,5.445778051204701e-78,9.242794623618584e-80,9.06874838578749e-62,5.359217059359476e-80,3.069010068764601e-75,4.853491420546277e-85,7.9099828098173e-34,3.0761220238382804e-48,1.318482964759511e-65,2.852375113067883e-60
8.326080703054312e-18,0.21492253239122694,3.76,0.0,0.7689362687804425,1.0,4.805154860441269e-40,1.6233361818464453e-30,2.7328902809832367e-30,3.724512425880664e-15,3.724512425880664e-15,3.9464668536127426e-34,2.618357038171603e-32,2.5800110437343104e-32,1.3435551934307649e-41,1.4054729705543387e-43,3.0365505083123934e-18,3.9253987731311114e-32,1.5940529933594959e-18,3.9029228031620724e-24,2.827592272143627e-28,1.4425014172887267e-18,3.147082188203372e-34,2.098949408981984e-32,1.0362978067974324e-42,5.416947850424838e-27,4.6411114735719565e-49,1.4887487811394915e-49,2.302321798993724e-29,6.067046687297817e-45,1.8970314694708203e-62,2.9674459763033875e-31,4.062126084379812e-48,4.111067115710041e-58,7.722570583504053e-54,1.6918092636429741e-69,5.179124501490547e-19,2.4151269763425666e-30,5.179124501499831e-19,1.0120747432520298e-36,1.378312179549901e-60,9.841421222245872e-48,1.5914406136336803e-31,3.1156515592267364e-54,1.883981562769806e-66,1.4395151503146635e-33,1.818702489793511e-46,1.0489370673025745e-56,5.028649622126966e-59,5.820489697251407e-64,5.577042376957555e-57,3.400163213520077e-55,1.943559504635785e-76,3.2986877487902005e-78,1.613735320966745e-60,1.9126665014433156e-78,1.0953078878895558e-73,1.732176613176256e-83,3.4544973075591415e-33,2.7207950940244983e-47,2.346169989482382e-64,5.342182907083262e-59
1.7141930859229465e-17,0.2149225323912271,3.76,0.0,0.7689362687804385,1.0,4.039022193080812e-39,6.777109004823379e-30,1.1409278954332359e-29,7.668113817989576e-15,7.668113817989576e-15,1.647572153950689e-33,1.0931131737725563e-31,1.077103822812666e-31,1.1293390949270139e-40,1.1813847287006912e-42,6.251721634976753e-18,1.6387767162011598e-31,3.28187380950277e-18,8.035811562911876e-24,1.1804641122509737e-27,2.9698558588350464e-18,1.3138448631007208e-33,8.762700603640454e-32,8.71070747993612e-42,1.115254278863622e-26,3.90113384045891e-48,1.2513830551818345e-48,9.611740292732806e-29,5.099718307258983e-44,3.1996208448489575e-61,1.2388502807113805e-30,3.4144617347369973e-47,6.933915576476085e-57,6.491285894735783e-53,5.7162411313371344e-68,1.0662903385367206e-18,1.0082679707489313e-29,1.0662903385405969e-18,4.225212828674221e-36,2.3247248966756056e-59,8.2729806913511325e-47,6.64395128618018e-31,2.618892869305485e-53,3.177610275115974e-65,6.009692381699001e-33,1.5287290274983128e-45,1.769185679625917e-55,8.481552589271341e-58,5.096229991119606e-63,4.68784012853605e-56,5.734872235818365e-54,6.566848298872227e-75,1.1145520360970416e-76,2.721800486825975e-59,6.4624678229069974e-77,3.7007977571875945e-72,5.852633283368443e-82,1.4421846245405067e-32,2.286992216583871e-46,3.9571586105666536e-63,9.227292460694452e-58
3.477363117157977e-17,0.2149225323912274,3.76,0.0,0.7689362687804306,1.0,3.311434422281134e-38,2.768670160076424e-29,4.661062729884314e-29,1.5555316602207314e-14,1.5555316602207314e-14,6.730869257593294e-33,4.465729323641183e-31,4.400320563837055e-31,9.259004211139994e-40,9.685705946412919e-42,1.2682063888971983e-17,6.694937605751972e-31,6.657515440693557e-18,1.630276894443921e-23,4.822581073652187e-27,6.024564741036283e-18,5.36748496248316e-33,3.579849116596524e-31,7.141564266786291e-41,2.2623742222769953e-26,3.198385217310084e-47,1.0259594353145807e-47,3.926709528765602e-28,4.1810571796354406e-43,5.255386831193282e-60,5.06110762274553e-30,2.799382022173682e-46,1.1388977152100413e-55,5.3219483626862496e-52,1.8793750179838594e-66,2.1630461152952286e-18,4.119103650210513e-29,2.1630461153110647e-18,1.726137308189383e-35,3.818367451097208e-58,6.782957247070964e-46,2.7142708871730816e-30,2.1471266038630865e-52,5.219234421831246e-64,2.4551554279353757e-32,1.2533444183018658e-44,2.905892790513512e-54,1.3930975592028866e-56,4.512341990882486e-62,3.8433745134013865e-55,9.419544861171314e-53,2.1590360459380036e-73,3.6644032441335553e-75,4.470565471032263e-58,2.1247180289231965e-75,1.2167413046866911e-70,1.9242177748204947e-80,5.891794768998653e-32,1.875014393165353e-45,6.4996449000969635e-62,1.533128441522634e-56
7.003703179628038e-17,0.21492253239122805,3.76,0.0,0.7689362687804149,1.0,2.6816854514388132e-37,1.1191407459176043e-28,1.884076080560109e-28,3.1329722170642475e-14,3.1329722170642475e-14,2.7207245016626255e-32,1.8051235064231354e-30,1.778679924812349e-30,7.498181654698863e-39,7.843736082489067e-41,2.5542748399628498e-17,2.7062008234069215e-30,1.340879869869208e-17,3.284140315559847e-23,1.94936437572192e-26,1.2133982501873158e-17,2.1696232402895427e-32,1.4470322498957692e-30,5.78342389425029e-40,4.556617932205359e-26,2.5901352699977586e-46,8.308485526128545e-47,1.5872387708324787e-27,3.3859285042309525e-42,8.519208476893777e-59,2.0457806205727507e-29,2.267012138731501e-45,1.8462022734707352e-54,4.30985176364818e-51,6.095707807894046e-65,4.3565576687449484e-18,1.6650075541866437e-28,4.356557668808961e-18,6.977323004521483e-35,6.189737623895204e-57,5.4931214290314624e-45,1.0971516900338808e-29,1.7387987963008884e-51,8.460603920199626e-63,9.924130773794487e-32,1.0149908045081581e-43,4.710577434236689e-53,2.2582711747043453e-55,4.1954225475512694e-61,3.11246424400525e-54,1.5269488113281457e-51,7.002781658564106e-72,1.1885404079281006e-73,7.246979272987958e-57,6.891471991514097e-74,3.9464710662747966e-69,6.241154224066048e-79,2.381557650957095e-31,1.5184352682277068e-44,1.0536204470595627e-60,2.499386296740272e-55
1.405638330456816e-16,0.21492253239122927,3.76,0.0,0.7689362687803833,1.0,2.158453755159206e-36,4.500015717635428e-28,7.575787064580999e-28,6.287853330751148e-14,6.287853330751148e-14,1.093990978288394e-31,7.258356911699539e-30,7.151993731087879e-30,6.035188904440508e-38,6.313321652741732e-40,5.126411743160573e-17,1.0881514490450026e-29,2.6911365197156915e-17,6.593754937028501e-23,7.838308413103247e-26,2.4352818009284513e-17,8.723959623719508e-32,5.8184530348809396e-30,4.6550026860551647e-39,9.145120644606354e-26,2.0847661975969382e-45,6.68739200714586e-46,6.382217261051348e-27,2.725289827612272e-41,1.3719922469817995e-57,8.225993893074958e-29,1.824688592105252e-44,2.973251841785798e-53,3.4689436459460824e-50,1.963813459488524e-63,8.743580775375209e-18,6.694922145453997e-28,8.743580775632598e-18,2.8055509081843095e-34,9.968379823933232e-56,4.4213845828941246e-44,4.411598690987309e-29,1.3995365505447893e-50,1.3625541820872354e-61,3.990449326981516e-31,8.169529007369947e-43,7.586239730430386e-52,3.636876103689744e-54,4.248072744517353e-60,2.505181867974519e-53,2.459103980210134e-50,2.256039389778683e-70,3.8290412401650947e-72,1.167103669015427e-55,2.2201794968825448e-72,1.2714081007649835e-67,2.0106709659534962e-77,9.576138599014084e-31,1.22216880412694e-43,1.6968232483025953e-59,4.036515530638965e-54
2.81617435544484e-16,0.2149225323912317,3.76,0.0,0.7689362687803202,1.0,1.7320232078255046e-35,1.804707570812922e-27,3.038229455734635e-27,1.2597615558124433e-13,1.2597615558124438e-13,4.3873900932734525e-31,2.910953579742247e-29,2.868269352949734e-29,4.842858983484804e-37,5.066043771777858e-39,1.0270685553821703e-16,4.3639740003602115e-29,5.391649812395777e-17,1.3220535296872778e-22,3.143512246143437e-25,4.879048896705763e-17,3.498697996147789e-31,2.3334599043338665e-29,3.7353464768068435e-38,1.8322187240687826e-25,1.6728935725642899e-44,5.366210982762394e-45,2.5595545515334963e-26,2.1868734511477832e-40,2.2023513588083344e-56,3.298991463242531e-28,1.4641976758862236e-43,4.7727276677990736e-52,2.7836088061139455e-49,6.305393111207811e-62,1.7517626987558995e-17,2.684963217847784e-27,1.7517626988591245e-17,1.125151407903534e-33,1.6001451500540856e-54,3.5478995474939973e-43,1.7692483885359608e-28,1.1230399536425908e-49,2.187201233165913e-60,1.6003486499098483e-30,6.555532514435267e-42,1.2177594839050282e-50,5.837991578373528e-53,4.807028241624798e-59,2.0102504633609862e-52,3.947406474420356e-49,7.243669330381127e-69,1.2294248372730506e-70,1.873459857762851e-54,7.128530728696233e-71,4.0822239868646754e-66,6.455842776682604e-76,3.840459904913919e-30,9.807134948052323e-43,2.723777101975119e-58,6.488580776967252e-53
