Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31)
0.0,0.7184422972215867,3.76,0.0,0.6625543257277906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.209383081677597e-21,0.7184422972215867,3.76,0.0,0.6625543257277904,1.0,1.9143636973540174e-47,6.878818576457792e-33,1.8574315994306554e-34,2.7838690811185707e-16,2.7838690811185707e-16,5.497903417962637e-35,2.0304462817175126e-33,2.0299816546075656e-33,2.689337227126808e-46,9.61558647373018e-50,1.7938278329789253e-19,9.934668496640232e-36,7.529723766392744e-20,4.401707480116188e-24,4.070437920280683e-31,1.0408994734063884e-19,1.0573755725853594e-34,6.674186849063478e-35,4.53271528417548e-47,9.23340555394146e-25,2.1007457325476572e-52,1.0348928924785787e-54,2.0782497446855224e-35,4.928964259339239e-50,7.026018174589145e-72,6.925340090721134e-36,9.08454311810461e-52,1.5310021389056763e-65,5.923647373163666e-58,6.28876648335326e-81,8.396729323295281e-19,1.1160578880548235e-34,8.396729323295222e-19,1.1169050614073773e-37,2.395839868825897e-66,2.4227569153394185e-51,8.232019528865234e-34,7.9581255039888015e-56,5.35925582001337e-69,1.50732564060892e-35,6.09793065012165e-50,1.1777393222890488e-61,6.596812931089753e-64,1.4113337658970954e-65,5.736240927431066e-61,7.437611359995696e-63,2.740659014200945e-82,9.315590739876065e-86,2.547650783312835e-67,6.299577315633822e-85,5.729894772231557e-85,3.123253265534088e-90,1.080842833472141e-34,2.244278132908096e-50,1.7716423310674428e-69,1.5994540678375682e-65,1.4998305449801875e-68,5.4665932145534456e-49
1.1786272628697273e-20,0.7184422972215868,3.76,0.0,0.6625543257277897,1.0,2.2727325817786468e-46,4.1548064201804676e-32,1.121888686075164e-33,7.794833427131995e-16,7.794833427131995e-16,3.3207336644087297e-34,1.2263895541824112e-32,1.2261089193828703e-32,3.1927812074793095e-45,1.141562777154678e-48,5.022717932341003e-19,6.000539771970707e-35,2.1083226545835577e-19,1.2324782261886383e-23,2.4585445038441157e-30,2.9145185255313574e-19,6.38654845841773e-34,4.031208856834943e-34,5.38123958537278e-46,2.5853535551519678e-24,2.494005333676443e-51,1.2286248419611653e-53,1.2552628457846229e-34,5.851666368673999e-49,1.571692161591139e-70,4.1829054147849344e-35,1.0785169589793e-50,3.424857066947672e-64,7.03255416140362e-57,2.5951262825290217e-79,2.3510842105226737e-18,6.740989643851119e-34,2.351084210522638e-18,6.746106570902027e-37,5.35939795290983e-65,2.882918063725903e-50,4.972139795434589e-33,9.447886598337902e-55,1.1988440899138718e-67,9.104246869272345e-35,7.23946326779708e-49,2.634555754378211e-60,1.4756806654281076e-62,1.6755742953650002e-64,6.81006522923728e-60,1.663763936390058e-61,1.1309406160550012e-80,3.844104602670976e-84,5.698992896259765e-66,2.599538218121576e-83,2.3645019351414923e-83,1.288819205136688e-88,6.528290714173354e-34,2.664406999383408e-49,3.963093028919445e-68,5.028939501913666e-64,3.3674640682496175e-67,6.509895406069098e-48
2.6940051722736623e-20,0.7184422972215869,3.76,0.0,0.6625543257277887,1.0,2.231382326092748e-45,2.0003604420338683e-31,5.4014110914300695e-33,1.781676211915883e-15,1.781676211915883e-15,1.5987903138824802e-33,5.904537787610028e-32,5.903186651597305e-32,3.1346915449752086e-44,1.120793257991075e-47,1.148049813106521e-18,2.88900159882299e-34,4.819023210446484e-19,2.817093709567099e-23,1.1836833472094977e-29,6.6617566297551825e-19,3.0748481650814632e-33,1.940853535708563e-33,5.283332935233844e-45,5.909379554861056e-24,2.4486292258446494e-50,1.2062711555058763e-52,6.043550257464013e-34,5.745200740643827e-48,3.105398858558623e-69,2.013888898365761e-34,1.0588943458398127e-49,6.766999243414515e-63,6.904603378109077e-56,1.0266153182900023e-77,5.37390676690895e-18,3.245496338463403e-33,5.373906766908774e-18,3.247959918574817e-36,1.0589267218897982e-63,2.8333673569419286e-49,2.393871278993994e-32,9.275991087456626e-54,2.3687138991630157e-66,4.383302962882446e-34,7.107747965697037e-48,5.205438209995348e-59,2.915696321404307e-61,1.6451709894792273e-63,6.686162425582653e-59,3.287317194791038e-60,4.473888609232733e-79,1.52068955279425e-82,1.1260249600657546e-64,1.0283514676471315e-81,9.35381805149105e-82,5.0984406072435945e-87,3.1430909597394184e-33,2.6159305917019222e-48,7.830403986915751e-67,1.1219287387104426e-62,6.664507992781307e-66,6.400198488172703e-47
5.724760991081533e-20,0.7184422972215873,3.76,0.0,0.6625543257277867,1.0,1.9736323980039472e-44,8.736099592100808e-31,2.3589381315721792e-32,3.786061950321243e-15,3.786061950321243e-15,6.982337340181642e-33,2.5786667781692573e-31,2.57807670135006e-31,2.772599181227997e-43,9.91329005628352e-47,2.439605852851383e-18,1.2617028990733211e-33,1.0240424322069776e-18,5.986326784421706e-23,5.169456158672513e-29,1.4156232838098375e-18,1.3428669771867526e-32,8.476217298319953e-33,4.67304814937125e-44,1.2557431555052999e-23,2.165784820400181e-49,1.0669331764986859e-51,2.6393771756664125e-33,5.081564992720205e-47,5.525891348108095e-68,8.795181915051078e-34,9.365800572905318e-49,1.2041561656348544e-61,6.10704349573077e-55,3.663932188911025e-76,1.1419551879681433e-17,1.4173935178296017e-32,1.1419551879680669e-17,1.4184694279895856e-35,1.8843035232740978e-62,2.5072335763517882e-48,1.0454664801658684e-31,8.204509069607431e-53,4.214999823664649e-65,1.914303563564758e-33,6.28672258287143e-47,9.262799169043463e-58,5.188325818805786e-60,1.455281334936507e-62,5.9138349477202366e-58,5.84960532747788e-59,1.5966990663174518e-77,5.427232999677535e-81,2.0037012531855125e-63,3.670113343631836e-80,3.3383249243874283e-80,1.8195972382092482e-85,1.3726703985121337e-32,2.3137609838698483e-47,1.393378551806577e-65,2.1012483613119754e-61,1.186809712146513e-64,5.664375937187679e-46
1.1786272628697273e-19,0.7184422972215879,3.76,0.0,0.6625543257277827,1.0,1.6589569510361083e-43,3.647149609237393e-30,9.848102342838559e-32,7.79483342713194e-15,7.79483342713194e-15,2.9149883916359745e-32,1.07654261891584e-30,1.0762962732715377e-30,2.330536677001811e-42,8.332717862576522e-46,5.02271793234119e-18,5.267361236918757e-33,2.108322654490612e-18,1.232480136652167e-22,2.1581461852572604e-28,2.914518525436695e-18,5.606205285877691e-32,3.538653867381862e-32,3.9279785418177425e-43,2.5853535558531948e-23,1.8204726398447678e-48,8.968216224607858e-51,1.1018880145564835e-32,4.271361563555258e-46,9.320223440273398e-67,3.6718153159520605e-33,7.872519713213061e-48,2.0309892880443686e-60,5.133338035033262e-54,1.237962333407927e-74,2.3510842105226135e-17,5.917338922466457e-32,2.3510842105222946e-17,5.921830635601782e-35,3.1781533072871604e-61,2.1079377380004164e-47,4.3646167542042035e-31,6.896384231775963e-52,7.109213279943334e-64,7.991840546431366e-33,5.284369134182111e-46,1.5623064677285026e-56,8.750869834802007e-59,1.2234976357789458e-61,4.970934609975314e-57,9.86621439709745e-58,5.394885273043709e-76,1.8337393698734783e-79,3.3795350307349486e-62,1.2400483501447292e-78,1.1279467795750445e-78,6.148007818592964e-84,5.730628703091925e-32,1.9448555214680107e-46,2.350136588189685e-64,3.6293840004869496e-60,2.002457363827873e-63,4.762626216221725e-45
2.3909295903928756e-19,0.7184422972215889,3.76,0.0,0.6625543257277747,1.0,1.3601131387907293e-42,1.4899796189346177e-29,4.023271143880561e-31,1.5812376380753232e-14,1.5812376380753238e-14,1.190867871463628e-31,4.3980278670080826e-30,4.397021463134368e-30,1.9107147743099624e-41,6.831665654213751e-45,1.0188942091321137e-17,2.1518889350463517e-32,4.276883098893784e-18,2.500178426028457e-22,8.816731352205051e-28,5.91230900852328e-18,2.2903177852682867e-31,1.445655568261663e-31,3.2203941270460915e-42,5.2445743577870096e-23,1.492533458425467e-47,7.352685498836825e-50,4.5015720763370256e-32,3.5019202744577243e-45,1.5308494988940526e-65,1.5000563648850135e-32,6.454367298282138e-47,3.3359091675675565e-59,4.2086206641717015e-53,4.0701532828291036e-73,4.7693422556314473e-17,2.4174260278420868e-31,4.769342255630142e-17,2.4192610392276232e-34,5.220126349605682e-60,1.7283965106885969e-46,1.7830883580302042e-30,5.654072455219275e-51,1.167690415996107e-62,3.264927630519243e-32,4.3324450840537365e-45,2.5660930643938812e-55,1.437332998003159e-57,1.0035006771280937e-60,4.075472526329445e-56,1.6205286786395965e-56,1.7737202446539605e-74,6.0289338554693395e-78,5.55089643643727e-61,4.07700766899309e-77,3.708445858037323e-77,2.0213304604357518e-82,2.3411488110331595e-31,1.594510059667997e-45,3.8601064033737404e-63,6.030275798451943e-59,3.2896320539043875e-62,3.9052366562926117e-44
4.815534245439171e-19,0.7184422972215909,3.76,0.0,0.6625543257277586,1.0,1.1014548837048308e-41,6.022735846976803e-29,1.6262705238689412e-30,3.184746228799542e-14,3.1847462287995447e-14,4.813678337835786e-31,1.7777531834973143e-29,1.7773463777186358e-29,1.547346363419494e-40,5.532460028393327e-44,2.0521390409282353e-17,8.698279132897117e-32,8.614003987043742e-18,5.035588496606228e-22,3.563863779699692e-27,1.1907889974027936e-17,9.25783067846938e-31,5.843570947382379e-31,2.607958658432057e-41,1.0563015966606741e-22,1.2086922911056604e-46,5.954395349986658e-49,1.8196074069321508e-31,2.8359458314421855e-44,2.4815730069484527e-64,6.063467664717987e-32,5.226913978570024e-46,5.407655060340836e-58,3.408250129431247e-52,1.320145102463086e-71,9.605858345848688e-17,9.771622517704745e-31,9.605858345843412e-17,9.779039927189022e-34,8.462049759950197e-59,1.3997728273648508e-45,7.207528234457905e-30,4.578814466003066e-50,1.8928764835331443e-61,1.3197359499301431e-31,3.5085263548305653e-44,4.159747437311563e-54,2.329978728371893e-56,8.133142399752347e-60,3.300423318582689e-55,2.626946822410109e-55,5.753019096936124e-73,1.9554702482631518e-76,8.99824232895488e-60,1.3223676649129948e-75,1.2028261092444734e-75,6.556136897532652e-81,9.4632978117663e-31,1.2912755866985944e-44,6.257398823968901e-62,9.830871513243587e-58,5.333110037242551e-61,3.1627804752371555e-43
9.664743555531764e-19,0.7184422972215951,3.76,0.0,0.6625543257277264,1.0,8.865467157736953e-41,2.4217155951132993e-28,6.539162258070262e-30,6.391763410247821e-14,6.391763410247829e-14,1.9355588866998263e-30,7.14826737236488e-29,7.146631614233362e-29,1.2454389695867045e-39,4.453005192003202e-43,4.118628704521009e-17,3.497539782916792e-31,1.7288245760718115e-17,1.0106462605062516e-21,1.4330139511596736e-26,2.389905190236319e-17,3.722532998479765e-30,2.349674177007684e-30,2.099112015572029e-40,2.119989920405461e-22,9.728607096213646e-46,4.792615401228638e-48,7.316561351874382e-31,2.2826159264888537e-43,3.9964968265322757e-63,2.438093679461089e-31,4.2070751006262246e-45,8.708863808045962e-57,2.743256214784688e-51,4.25302432750902e-70,1.9278890526281458e-16,3.92912643721131e-30,1.927889052626024e-16,3.932108944998973e-33,1.362787025738921e-57,1.1266879170037928e-44,2.898115403214316e-29,3.685428230157384e-49,3.0484192226235906e-60,5.3066002103536345e-31,2.8239672445210315e-43,6.699145008221602e-53,3.7523589119155475e-55,6.556778472720895e-59,2.6564678219647194e-54,4.230616874020101e-54,1.8534117354195516e-71,6.299807908366323e-75,1.449139187404754e-58,4.260183580257917e-74,3.875065471807577e-74,2.112146833490689e-79,3.80515042907987e-30,1.0393309304744345e-43,1.007734790379468e-60,1.5876883749411413e-56,8.589190321796228e-60,2.5457681934238742e-42
1.936316217571695e-18,0.7184422972216037,3.76,0.0,0.662554325727662,1.0,7.1139790818398114e-40,9.712162675165357e-28,2.6224965427378105e-29,1.2805797773143743e-13,1.2805797773143775e-13,7.762456822563406e-30,2.8667749383696816e-28,2.866118918187052e-28,9.993863381613205e-39,3.573256284656825e-42,8.251608031708677e-17,1.4026698842400288e-30,3.4636729297564684e-17,2.0248426691177956e-21,5.747026873578676e-26,4.7881375748337466e-17,1.4929022268168528e-29,9.423244367454171e-30,1.6844051950239896e-39,4.247366575818399e-22,7.806594506619584e-45,3.8457720357190636e-47,2.9342683415747974e-30,1.8316555262883395e-42,6.415262501856021e-62,9.77784611530126e-31,3.375912815009153e-44,1.3979656767851289e-55,2.20129034741426e-50,1.365557081936789e-68,3.8624954887140155e-16,1.5757554357962945e-29,3.8624954887055066e-16,1.5769515548607765e-32,2.1875749847230347e-56,9.04107675737142e-44,1.1622738980681167e-28,2.957324054638718e-48,4.893387975407521e-59,2.1281840276709345e-30,2.2660558652939516e-42,1.0753611369558051e-51,6.023367072926087e-54,5.278281721877189e-58,2.131648136378357e-53,6.791077023660595e-53,5.950916386323257e-70,2.0227362158982224e-73,2.3261893328656428e-57,1.3678556041301475e-72,1.2442024052547752e-72,6.781660528631427e-78,1.5260355116253073e-29,8.339976167089957e-43,1.6176375190005956e-59,2.5521626911894836e-55,1.378785812504795e-58,2.042853548480082e-41
