Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58)
0.0,0.7077131446992962,3.76,0.0,1.0080098545101803,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.60889596815343e-21,0.7077131446992962,3.76,0.0,1.0080098545101799,1.0,2.750774933142647e-47,5.139677563212664e-33,1.5699702745910423e-34,2.828422589433108e-16,2.828422589433108e-16,1.8694874753935885e-35,7.750004199285225e-34,7.745588431269277e-34,1.3848091766174872e-46,7.354346152619851e-50,1.3473923273805688e-19,8.826471855939338e-36,5.887297179586153e-20,2.7918370788741466e-24,2.2846973124635304e-31,7.586905277882308e-20,2.2920898700966216e-35,3.595244666846623e-35,1.9846296883354256e-47,1.3428344588387302e-25,4.988154755332641e-53,3.8504916951696425e-55,3.06778351667278e-35,2.3340964576635617e-50,4.071043753198243e-72,6.291111318986965e-36,2.48824682038776e-52,6.263904232750419e-66,1.7222670352273557e-58,3.9296632477119293e-81,4.926755709738285e-19,1.1462148535224595e-34,4.926755709738239e-19,4.925157241061465e-38,5.567489063799949e-67,1.109477068235341e-51,1.1756973703174684e-20,1.5476272152454415e-56,3.194109215821955e-70,6.854488627708209e-36,2.247067578045827e-50,3.0859970269357074e-62,1.8232002269803078e-64,1.5421474452588298e-66,1.3592051960325633e-61,4.0641782574662413e-63,3.347968804092733e-83,3.2921817099538857e-84,7.458028648750614e-68,6.597491313291615e-86,3.3888655334746767e-85,3.272825646744135e-91,6.391045545653995e-35,7.126701210989131e-51,1.9040727775545917e-70,6.318687708921177e-57,4.923458253333648e-69,4.011693577412521e-49,1.1756973703174091e-20,1.3405447187692214e-63
1.5704908710829603e-20,0.7077131446992964,3.76,0.0,1.0080098545101797,1.0,3.2657200008179564e-46,3.1043652481804166e-32,9.482620458635686e-34,7.919583250412701e-16,7.919583250412701e-16,1.1291704351181212e-34,4.6810025365784606e-33,4.678335412486131e-33,1.6440454634892403e-45,8.731080170312515e-49,3.7726985166656122e-19,5.331189000987382e-35,1.6484432102805592e-19,7.81714455911484e-24,1.379957176725738e-30,2.1243334778033935e-19,1.3844222815389923e-34,2.171527778775622e-34,2.3561523659916187e-46,3.759936484970106e-25,5.921937325524343e-52,4.571303740541074e-54,1.8529412440638033e-34,2.771039314533617e-49,9.106762034192878e-71,3.799831236661273e-35,2.9540466251601566e-51,1.4012158091072697e-64,2.04467542421855e-57,1.6215927392801358e-79,1.379491598726717e-18,6.9231377152756405e-34,1.3794915987266903e-18,2.974794973602012e-37,1.245425033598986e-65,1.319666437166162e-50,3.291952636889104e-20,1.8373430299399985e-55,7.145094551430081e-69,4.1401111311331586e-35,2.6677186286487014e-49,6.903251909356057e-61,4.078425979735705e-63,1.8308994077726386e-65,1.6136484087501467e-60,9.091404242413298e-62,1.3815487013224235e-81,1.3585280007194123e-82,1.6683311766116056e-66,2.722473263406343e-84,1.3984301954293685e-83,1.3505406670418541e-89,3.8601915095759435e-34,8.460819677673229e-50,4.2593346404976285e-69,9.548800878094845e-56,1.1049668911384885e-67,4.77595333949936e-48,3.2919526368887454e-20,2.9987449140935726e-62
3.589693419618195e-20,0.7077131446992964,3.76,0.0,1.0080098545101785,1.0,3.206303262398347e-45,1.4946182353821927e-31,4.5654735586694355e-33,1.8101904572371873e-15,1.8101904572371873e-15,5.436469578150458e-34,2.2537012214674201e-32,2.2524171158123405e-32,1.6141335890576664e-44,8.572226470220677e-48,8.623310895235776e-19,2.5667380157071906e-34,3.767870194910192e-19,1.786776247266514e-23,6.643899784610427e-30,4.855619377819106e-19,6.6653973422504645e-34,1.045497149119391e-33,2.3132843647231616e-45,8.594140538119507e-25,5.814193182795152e-51,4.4881331200003115e-53,8.921114466386104e-34,2.7206228310384986e-48,1.7993427159078512e-69,1.8294551715511274e-34,2.900300493830941e-50,2.7685711659217624e-63,2.0074744562505648e-56,6.414871167056857e-78,3.1531236542324835e-18,3.333192794043289e-33,3.1531236542323533e-18,1.4322357257019784e-36,2.46074999425117e-64,1.2967497424177429e-49,7.52446317003314e-20,1.803914282091938e-54,1.4117502782235552e-67,1.993285292933645e-34,2.6191819689475712e-48,1.3639662475370271e-59,8.058282462356245e-62,1.7977190830054616e-64,1.5842895765557434e-59,1.7963082796246841e-60,5.465269272509923e-80,5.374201670227391e-81,3.296341267139521e-65,1.0769833490111523e-82,5.532060746490742e-82,5.342604572535003e-88,1.8585160446775754e-33,8.306882931488417e-49,8.415727490431644e-68,1.0272164275468292e-54,2.186419315331813e-66,4.694874462474976e-47,7.524463170031413e-20,5.925014618492577e-61
7.628098516688665e-20,0.7077131446992967,3.76,0.0,1.0080098545101766,1.0,2.835938925515363e-44,6.5273905052795615e-31,1.9938622488945966e-32,3.846654721629019e-15,3.846654721629019e-15,2.374249093445956e-33,9.842505336350089e-32,9.836897307704068e-32,1.4276828816071678e-43,7.582037310996409e-47,1.83245356523764e-18,1.1209619257043264e-33,8.006724164112441e-19,3.796901011204138e-23,2.901565586794045e-29,1.031819117779208e-18,2.9109541350325126e-33,4.5659607268992695e-33,2.0460738234850072e-44,1.8262548647964905e-24,5.142588026514359e-50,3.969702918284293e-52,3.89608506607281e-33,2.4063600839631125e-47,3.2018342245051353e-68,7.989711375007195e-34,2.565282941919565e-49,4.926528430500839e-62,1.775588422616066e-55,2.2894238491190332e-76,6.7003877652439724e-18,1.4556928639734995e-32,6.700387765243404e-18,6.254949696161416e-36,4.3787731371423837e-63,1.1473947025427198e-48,1.5989484236324274e-19,1.5955417538332884e-53,2.512134190577841e-66,8.705200557149095e-34,2.3166367902145695e-47,2.4271050610272518e-58,1.4339283089225794e-60,1.5902955272819144e-63,1.4012861890259382e-58,3.1964346109308412e-59,1.9505157832083624e-78,1.918014402797881e-79,5.86566316204708e-64,3.843677073817155e-81,1.9743548198959955e-80,1.9067376230856277e-86,8.116627842994972e-33,7.347343880396262e-48,1.4975337418923682e-66,9.44188875790127e-54,3.893223826324349e-65,4.154872746459621e-46,1.5989484236316736e-19,1.054324694122269e-59
1.5704908710829604e-19,0.7077131446992971,3.76,0.0,1.0080098545101726,1.0,2.3837775452568978e-43,2.7250570440148843e-30,8.323982397357458e-32,7.919583250412666e-15,7.919583250412666e-15,9.912022591801691e-33,4.109052229393095e-31,4.106710986251851e-31,1.2000534869577683e-42,6.373159245515337e-46,3.772698516665885e-18,4.679795378019308e-33,1.6484432102288863e-18,7.817155263989647e-23,1.2113465150369892e-28,2.1243334777504218e-18,1.2152660491340512e-32,1.9061987223657316e-32,1.7198483338341401e-43,3.759936488184209e-24,4.322655100416338e-49,3.3367744955881544e-51,1.6265388204484486e-32,2.0226906446140117e-46,5.40036140975755e-67,3.335547221231263e-33,2.1562748825491712e-48,8.309313501381313e-61,1.4924890564156755e-54,7.735448844523282e-75,1.3794915987266775e-17,6.077231153375864e-32,1.3794915987264403e-17,2.6113183692227565e-35,7.385440909850282e-62,9.646265533143085e-48,3.291952636891878e-19,1.3411489827032036e-52,4.237081493685487e-65,3.634249870374592e-33,1.947272809966985e-46,4.093667438461898e-57,2.41852968031262e-59,1.3371317795951213e-62,1.1778654758222976e-57,5.3912541750117356e-58,6.590351992891578e-77,6.480537174063642e-78,9.893298266179068e-63,1.2986916118045754e-79,6.670901378037816e-79,6.442435484216959e-85,3.388532348318707e-32,6.175885242069423e-47,2.5258095399343285e-65,8.077734705069221e-53,6.568613142191539e-64,3.493336557805672e-45,3.2919526368887305e-19,1.7782726999510746e-58
3.1858529099111484e-19,0.7077131446992981,3.76,0.0,1.0080098545101643,1.0,1.9543648537258032e-42,1.1132747189017172e-29,3.400618414824648e-31,1.6065440307979888e-14,1.6065440307979888e-14,4.049384648885796e-32,1.678681912064461e-30,1.6777254365606216e-30,9.838763530306634e-42,5.225101018895139e-45,7.653188419522855e-18,1.9118491098841105e-32,3.34398479777294e-18,1.5857682669201694e-22,4.948745766424559e-28,4.309362197599326e-18,4.96475834229878e-32,7.787443758207374e-32,1.4100355729348462e-42,7.6272997406342e-24,3.543973815072699e-48,2.7356893312775437e-50,6.644941807679549e-32,1.65832399622853e-45,8.870109832457055e-66,1.3626798760568885e-32,1.7678444253111387e-47,1.3648074986677001e-59,1.2236327008052589e-53,2.5432468399009547e-73,2.7983972431311675e-17,2.4827472213236026e-31,2.7983972431301987e-17,1.0668087590529878e-34,1.21306088686388e-60,7.909276420348883e-47,6.677961063415674e-19,1.099554964834756e-51,6.95941907661481e-64,1.4847096546853735e-32,1.5964918988027594e-45,6.723861059878051e-56,3.9724422621291874e-58,1.0969051924349033e-61,9.656852809091804e-57,8.855151173738347e-57,2.1667635469062151e-75,2.130658837016004e-76,1.624977211002958e-61,4.269813882723877e-78,2.1932468547650276e-77,2.1181318350899462e-83,1.3843260293818092e-31,5.063363852582587e-46,4.1486497542005306e-64,6.678827405726671e-52,1.079068303176181e-62,2.8644127483177497e-44,6.677961063402817e-19,2.920818249412373e-57
6.4165769875675235e-19,0.7077131446993001,3.76,0.0,1.008009854510148,1.0,1.5826953294412027e-41,4.500034411112439e-29,1.3745843350054243e-30,3.235715442311407e-14,3.2357154423114074e-14,1.6368260182010288e-31,6.785500697096209e-30,6.781634459771358e-30,7.967685794959525e-41,4.231422292365152e-44,1.5414168225238714e-17,7.727999780525825e-32,6.735067972496128e-18,3.193881307818991e-22,2.0003621623157008e-27,8.679419636923038e-18,2.0068347016447953e-31,3.147809277593656e-31,1.1418833646002774e-41,1.5362026268232392e-23,2.870001879059336e-47,2.215432148604709e-49,2.6859917218188437e-31,1.3429537670220526e-44,1.4378830279534333e-64,5.508169932450399e-32,1.4316462500079418e-46,2.212411978815476e-58,9.909294858755143e-53,8.248960970360192e-72,5.636208531939867e-17,1.0035661225717297e-30,5.636208531935949e-17,4.312211572179961e-34,1.9664239710145801e-59,6.405410416076718e-46,1.3449977916482845e-18,8.904481184206365e-51,1.1281518225169806e-62,6.001433808759843e-32,1.2928805313751333e-44,1.0899668527902201e-54,6.439500090504391e-57,8.893449774996602e-61,7.820369778784423e-56,1.4354581648831225e-55,7.0278456266494334e-74,6.910740865132931e-75,2.634158084094964e-60,1.384903898032665e-76,7.113744296592415e-76,6.870109835179127e-82,5.5956671454965075e-31,4.100443324174245e-45,6.725140030074058e-63,5.431111760574456e-51,1.7493543507953636e-61,2.3198210650388164e-43,1.3449977916430883e-18,4.734772248654266e-56
1.2878025142880276e-18,0.7077131446993041,3.76,0.0,1.0080098545101153,1.0,1.2738908934210021e-40,1.8094440448366078e-28,5.527143158845233e-30,6.494058265338137e-14,6.494058265338139e-14,6.581605421171475e-31,2.7284199949383957e-29,2.7268653895418456e-29,6.413086701111171e-40,3.4058168087494286e-43,3.093612783667811e-17,3.107394722772365e-31,1.3517234320482822e-17,6.410137629042278e-22,8.043368274659281e-27,1.741953451407409e-17,8.069394071768292e-31,1.265720265962646e-30,9.190870734325112e-41,3.083147941422163e-23,2.3100271966062077e-46,1.7831725324047232e-48,1.0800254576620604e-30,1.0809260259128474e-43,2.3156662897444365e-63,2.2148109037544356e-31,1.1523134523010498e-45,3.5630214552343807e-57,7.97586259058209e-52,2.6575127865060012e-70,1.1311831109556143e-16,4.0352952404187195e-30,1.131183110954039e-16,1.7339213074120025e-33,3.1668651808370824e-58,5.155740731632532e-45,2.699401162269551e-18,7.167101129562988e-50,1.8168537312612946e-61,2.4131501391341156e-31,1.0406227295168725e-43,1.7553580142896977e-53,1.0370616375210572e-55,7.175007511942001e-60,6.294513959855453e-55,2.3117611219642066e-54,2.2641140834923045e-72,2.226387224394803e-73,4.242230387986492e-59,4.461652384506027e-75,2.2917875952684905e-74,2.213297397201166e-80,2.2499931486028678e-30,3.300393517448049e-44,1.0830630697335148e-61,4.380388766927145e-50,2.817392121704692e-60,1.8672518751124912e-42,2.6994011622486577e-18,7.62520474076946e-55
2.5800921453505776e-18,0.7077131446993122,3.76,0.0,1.00800985451005,1.0,1.0222172165756825e-39,7.256679913413119e-28,2.2166316175885797e-29,1.301074391139117e-13,1.3010743911391182e-13,2.639518137137658e-30,1.0942184562364427e-28,1.093594983225446e-28,5.146098195602697e-39,2.732953531975591e-42,6.198004705958762e-17,1.2462042654581657e-30,2.708156701061748e-17,1.2842771229191375e-21,3.225750425864815e-26,3.48997642623907e-17,3.2361879354516106e-30,5.0761043738188774e-30,7.375094943389268e-40,6.177038606937152e-23,1.8536513445543538e-45,1.4308836585227413e-47,4.33138513632745e-30,8.673750612532043e-43,3.717157239976724e-62,8.882382320258393e-31,9.246589751219466e-45,5.719438659827097e-56,6.40012742519593e-51,8.532716430292583e-69,2.26630762647842e-16,1.6183338743982392e-29,2.2663076264721023e-16,6.9537999582536e-33,5.0835199604268373e-57,4.137200875220429e-44,5.408207903543412e-18,5.751147288465877e-49,2.9164526113389465e-60,9.677811364877575e-31,8.350342039891607e-43,2.817738365056629e-52,1.6647136021446146e-54,5.784430181944751e-59,5.050951046318851e-54,3.710888578661054e-53,7.269595494718715e-71,7.148462460433425e-72,6.80971928541644e-58,1.4325430113993232e-73,7.358449510840231e-73,7.106433772644194e-79,9.023478860225207e-30,2.648357945659885e-43,1.7385560903071728e-60,3.518567078189585e-49,4.522627199938781e-59,1.4983752429975056e-41,5.408207903459621e-18,1.224014233450525e-53
