Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40)
0.0,0.8134549096830331,3.76,0.0,1.0005124045651708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4738507949958172e-21,0.8134549096830331,3.76,0.0,1.0005124045651703,1.0,6.898685734701568e-48,2.31403309161085e-17,1.1462932786521368e-34,2.8409842690981076e-16,2.8409842690981076e-16,8.764966291572664e-35,2.898826988420772e-33,2.8978714952395974e-33,1.1920885307276136e-46,2.957962743708026e-50,2.489740391163802e-19,1.1996305315862384e-35,9.99285880432743e-20,7.549305720779536e-24,3.548289521175551e-31,1.490530003781289e-19,2.748216455241521e-34,6.061510493105547e-35,3.203121427849448e-47,3.5962623515897366e-24,1.988806171477357e-52,5.798890461211808e-55,6.0078205580914653e-36,2.2571838070683667e-50,1.0780628004109585e-72,3.3890995654866064e-36,7.221065365365037e-52,3.347007529323993e-66,4.6577504206858054e-58,3.758819436849066e-82,1.5957878368186081e-18,4.96210746847824e-35,1.5957878368185992e-18,3.012836240201447e-37,1.1366085588051566e-66,2.534941251887087e-51,1.2360561368868647e-19,7.822539034559553e-55,1.6216923548061147e-68,1.6177256532973198e-35,8.742018858658242e-50,1.1210588503393286e-61,3.2678302926444374e-53,3.2581890647537015e-65,5.89743528815326e-61,1.332754595611997e-63,2.5139701057718245e-82,7.01845010549753e-73,3.1647465392682665e-67,1.1330957661113887e-84,3.579741218468397e-86,4.9296832291999065e-90,2.0107587138604534e-34,4.405645552119215e-50,2.1061747128169148e-69,2.7202892743425937e-56,1.0380549358572199e-68,8.375581514491363e-49,1.2360561368868515e-19,1.789595337382981e-52,2.3140330916108487e-17
4.126782225988288e-21,0.8134549096830332,3.76,0.0,1.0005124045651699,1.0,8.190119706115742e-47,6.479292656510381e-17,6.923611403130284e-34,7.954755953474698e-16,7.954755953474698e-16,5.294039640088077e-34,1.750891501020799e-32,1.7503143831246705e-32,1.4152475773781404e-45,3.5117021838907706e-49,6.971273095258647e-19,7.245768410780875e-35,2.7980004652062147e-19,2.1138057168395174e-23,2.143166870787077e-30,4.173484010581965e-19,1.6599227389660527e-33,3.661152337836068e-34,3.802745759142698e-46,1.0069534584502113e-23,2.3647221924780815e-51,6.884442755580248e-54,3.628723617078118e-35,2.6797286157475956e-49,2.411583362013965e-71,2.0470161375505621e-35,8.576678830736096e-51,7.491288533449862e-65,5.529681299429983e-57,1.5519296250256652e-80,4.4682059430920966e-18,2.997112910960851e-34,4.468205943092043e-18,1.8197530890833147e-36,2.5425478816934765e-65,3.0181839456201796e-50,3.4609571832832626e-19,1.1100051925960982e-53,3.627660930007098e-67,9.77106294591302e-35,1.0455893250397734e-48,2.5256988893971894e-60,4.938345138292783e-52,3.8681502943519525e-64,7.001435174300004e-60,2.981318868512691e-62,1.0466174119492433e-80,1.9793152250071454e-71,8.974774029434949e-66,5.8972486665446824e-83,1.4779923697337059e-84,2.5656761519534525e-88,1.2144982631718511e-33,5.466426673859368e-49,4.711428585926462e-68,4.110901152637257e-55,2.3313680977328648e-67,9.958140470974954e-48,3.4609571832831836e-19,2.7044364739298384e-51,6.479292656510374e-17
9.43264508797323e-21,0.8134549096830332,3.76,0.0,1.0005124045651688,1.0,8.041108095164871e-46,1.4809811786309448e-16,3.333420854427484e-33,1.818229932222787e-15,1.818229932222787e-15,2.548852197556613e-33,8.429788882547394e-32,8.42701030815606e-32,1.3894984960676307e-44,3.4478138910683766e-48,1.593433850344834e-18,3.488525585852774e-34,6.395429634731301e-19,4.831556466447635e-23,1.0318425927534169e-29,9.539392024160742e-19,7.991813451844952e-33,1.7626872513955694e-33,3.733558336300802e-45,2.3016079050530278e-23,2.323280811564435e-50,6.759186721680153e-53,1.7470742182793108e-34,2.6309734455065884e-48,4.764882336815143e-70,9.855501536384841e-35,8.422312430997667e-50,1.4805463255516853e-63,5.42907389032594e-56,6.140952637283239e-79,1.0213042155639052e-17,1.4429808518334647e-33,1.0213042155638784e-17,8.76132778652995e-36,5.023646158215098e-64,2.967083924949159e-49,7.910759276076225e-19,1.1692601188133572e-52,7.167646684543938e-66,4.704346199784416e-34,1.0299560396796307e-47,5.0076478316199025e-59,5.312446350330507e-51,3.797832578043474e-63,6.874050572481172e-59,5.890583831981594e-61,4.158703427305546e-79,4.3054429512119165e-70,1.9428392934147183e-64,2.5631612490306473e-81,5.848384484999932e-83,1.1151372550323806e-86,5.8472863399082576e-33,5.4704033251638545e-48,9.308988943551792e-67,4.4223198716401795e-54,4.614596220168009e-66,9.783380950991385e-47,7.910759276075843e-19,2.909309348363794e-50,1.4809811786309416e-16
2.0044370811943114e-20,0.8134549096830337,3.76,0.0,1.0005124045651665,1.0,7.112269048126327e-45,3.14708500459076e-16,1.4557924639988527e-32,3.863738605973416e-15,3.863738605973417e-15,1.1131507189959198e-32,3.681510275521493e-31,3.6802967989535742e-31,1.2289956970272696e-43,3.0495538760613905e-47,3.3860469319827743e-18,1.5235307751145141e-33,1.3590287973694036e-18,1.026705980600383e-22,4.5063276918471386e-29,2.0271208051228e-18,3.4902348981594255e-32,7.698118326248962e-33,3.302290067254585e-44,4.8909167983400227e-23,2.0555440636860315e-49,5.978424110083375e-52,7.6299321086347255e-34,2.327066217709374e-47,8.478853531778998e-69,4.304156448116106e-34,7.45010649046244e-49,2.634873258646688e-62,4.8019543736568146e-55,2.1919363227964412e-77,2.1702714580732867e-17,6.301876484967288e-33,2.1702714580731693e-17,3.826302025080564e-35,8.939309925984616e-63,2.625866451689067e-48,1.681036346166281e-18,1.06575058683286e-51,1.2754444309252865e-64,2.054511579683266e-33,9.123308662195847e-47,8.924874653796152e-58,4.883053450111049e-50,3.3592460420905016e-62,6.080019885935427e-58,1.0481979312366833e-59,1.487221818497969e-77,7.981565625988841e-69,3.595611262469534e-63,9.525316754885656e-80,2.0875077760009187e-81,4.14411523402581e-85,2.553663566604902e-32,4.87958765074853e-47,1.6564848452582475e-65,4.0648738657809246e-53,8.218132717542708e-65,8.655839156853419e-46,1.6810363461661144e-18,2.674156521392861e-49,3.1470850045907466e-16
4.126782225988288e-20,0.8134549096830344,3.76,0.0,1.000512404565162,1.0,5.978290681922594e-44,6.479292656510397e-16,6.07764696440938e-32,7.954755953474657e-15,7.954755953474658e-15,4.647185127487549e-32,1.536958069465094e-30,1.5364514667753906e-30,1.0330449409820681e-42,2.563334391646799e-46,6.971273095258661e-18,6.360441078470155e-33,2.7980004651269775e-18,2.1138073846476056e-22,1.8813031040860477e-28,4.173484010500132e-18,1.45710436457148e-31,3.213812863448984e-32,2.775773779429523e-43,1.0069534585239472e-22,1.7280578310245916e-48,5.0252256917878857e-51,3.1853464597728046e-33,1.9560393722176734e-46,1.4300825776978032e-67,1.7969005895743046e-33,6.26252767530648e-48,4.444355977044378e-61,4.0363319904626594e-54,7.406499109499903e-76,4.4682059430920105e-17,2.630909379787094e-32,4.468205943091521e-17,1.5974057745769664e-34,1.507745278659019e-61,2.2077993795076664e-47,3.4609571832838627e-18,9.083379952053485e-51,2.1512234556325936e-63,8.577181413743421e-33,7.67402898478663e-46,1.5064331338130798e-56,4.177555032938758e-49,2.823827249118147e-61,5.110623064021287e-57,1.7679390281436168e-58,5.029835921933598e-76,1.3718272016099752e-67,6.176917213198029e-62,3.279904975605247e-78,7.053637609497758e-80,1.4269661078336854e-83,1.0661042700907255e-31,4.1178742178113655e-46,2.7939038100962246e-64,3.477585181246208e-52,1.3866539169360612e-63,7.276765204414555e-45,3.4609571832831667e-18,2.2877972053811308e-48,6.479292656510342e-16
8.371472515576241e-20,0.8134549096830355,3.76,0.0,1.0005124045651532,1.0,4.901363895002845e-43,1.31437079603497e-15,2.4829170941347436e-31,1.6136790648477063e-14,1.6136790648477072e-14,1.8985267583621838e-31,6.2789752117295254e-30,6.276905573543329e-30,8.469526585865662e-42,2.1015766484511935e-45,1.4141725421810457e-17,2.598447716636986e-32,5.6759438005022286e-18,4.2880131372859875e-22,7.685737034098011e-28,8.466210421110319e-18,5.952746770731884e-31,1.3129474188523788e-31,2.2757470495625702e-42,2.0426770160340197e-22,1.4168653772977123e-47,4.11998363378306e-50,1.3013179640570724e-32,1.6036792562239532e-45,2.3489149282518315e-66,7.340925222431269e-33,5.134503716776919e-47,7.300074041839618e-60,3.3092288306031925e-53,2.4351657856661982e-74,9.064074913129305e-17,1.0748123261022021e-31,9.064074913127305e-17,6.5259238099131635e-34,2.476476147479274e-60,1.810326246782895e-46,7.020798857520084e-18,7.496887630435998e-50,3.533390985596015e-62,3.504058474035132e-32,6.293756944292599e-45,2.475218001501478e-55,3.4540832879351167e-48,2.3154369761832383e-60,4.189997560712379e-56,2.9038451699307187e-57,1.6544782924154479e-74,2.2737029829009133e-66,1.02363503559601e-60,1.0883162452698456e-76,2.319149265713814e-78,4.7348639919890126e-82,4.355383804586494e-31,3.3825632394579694e-45,4.588995403081519e-63,2.875334692262237e-51,2.2780245575328573e-62,5.966334011935806e-44,7.02079885751724e-18,1.8915949721618587e-47,1.3143707960349472e-15
1.6860853094752147e-19,0.813454909683038,3.76,0.0,1.0005124045651355,1.0,3.969251559935339e-42,2.647253856802842e-15,1.0036347882308137e-30,3.250086003848158e-14,3.250086003848161e-14,7.674148704534718e-31,2.5380621734813847e-29,2.537225591909557e-29,6.858842224602913e-41,1.701911356784824e-44,2.8482630074914136e-17,1.0503341126692097e-31,1.1431830470693148e-17,8.636436420738493e-22,3.1066977933990668e-27,1.7051663241752786e-17,2.406195420970699e-30,5.307143389248376e-31,1.8429589634596723e-41,4.1141241315748967e-22,1.1474538746539458e-46,3.336469564924223e-49,5.260135273109358e-32,1.2987010398158391e-44,3.807692320681693e-65,2.967319346037469e-32,4.158096181648594e-46,1.183389952978812e-58,2.6798993044356007e-52,7.89851553369852e-73,1.8255812853203277e-16,4.3445632698107055e-31,1.8255812853195191e-16,2.6378827445897407e-33,4.014474553037404e-59,1.4661444415408892e-45,1.414048220599676e-17,6.091033535709398e-49,5.7277790518047145e-61,1.4163964602660203e-31,5.097694979751042e-44,4.013152129395402e-54,2.8088031669369566e-47,1.8755751216242736e-59,3.3931686609068875e-55,4.707258161564797e-56,5.367507762334723e-73,3.702135892789582e-65,1.6666531564514286e-59,3.545957171064073e-75,7.522213316394902e-77,1.5427156398311661e-80,1.7605157704164156e-30,2.7418728434604604e-44,7.438959319237673e-62,2.3381744429876264e-50,3.693131177863473e-61,4.8318524355602e-43,1.414048220598526e-17,1.5382136183250695e-46,2.6472538568027498e-15
3.383961425310396e-19,0.8134549096830431,3.76,0.0,1.0005124045651,1.0,3.1947989746209747e-41,5.31301997833863e-15,4.0355713448509886e-30,6.52289988184894e-14,6.522899881848952e-14,3.0857414410944595e-30,1.0205436377361467e-28,1.0202072513814448e-28,5.520592931358348e-40,1.369846366710244e-43,5.716443938112186e-17,4.223347271670141e-31,2.294360380883665e-17,1.7333330100346464e-21,1.249189518855031e-26,3.4222568880726095e-17,9.675205959473022e-30,2.133979015164762e-30,1.4833737075940357e-40,8.25701836473957e-22,9.235865055499275e-46,2.6854809729440468e-48,2.115077258039276e-31,1.04530758117321e-43,6.132171099034878e-64,1.1931460581640495e-31,3.346814310067888e-45,1.905826236317649e-57,2.1570161059575887e-51,2.5446301964441664e-71,3.663928873334876e-16,1.746929782707248e-30,3.663928873331625e-16,1.0606810498326009e-32,6.465187506287963e-58,1.1801186697156555e-44,2.837984890296705e-17,4.910526518783954e-48,9.224411585340075e-60,5.695267871239195e-31,4.1034069109401286e-43,6.463631200030807e-53,2.265401511875118e-46,1.5103894306219019e-58,2.731117342481989e-54,7.580894157238973e-55,1.7294137998801098e-71,5.975262270299086e-64,2.6899464502604428e-58,1.1449506049451604e-73,2.4233985573723745e-75,4.981259276163176e-79,7.07895648260234e-30,2.2079305426349858e-43,1.1980214710001911e-60,1.8858224325086687e-49,5.94795898340435e-60,3.889159298928109e-42,2.8379848902920805e-17,1.2406250116614572e-45,5.31301997833826e-15
6.779713656980758e-19,0.8134549096830531,3.76,0.0,1.0005124045650287,0.9999999999999999,2.5636249790883682e-40,1.0644552221410389e-14,1.6184446069002802e-29,1.3068527637850027e-13,1.3068527637850075e-13,1.2375203303428045e-29,4.092836441290283e-28,4.0914873768705235e-28,4.429928153882438e-39,1.099215463236428e-42,1.145280579935387e-16,1.693751149763036e-30,4.596715047617029e-17,3.472730591037417e-21,5.009808683334544e-26,6.856438014942618e-17,3.880190323967159e-29,8.558210296353992e-30,1.1903139807239833e-39,1.6542806839400613e-21,7.411263211635728e-45,2.1549293563889863e-47,8.482405793253901e-31,8.38793502546908e-43,9.843492688815257e-63,4.785049339788428e-31,2.6856144065847263e-44,3.0592837468965537e-56,1.7308695805445734e-50,8.17030304189049e-70,7.340624049362986e-16,7.005969762096477e-30,7.340624049349948e-16,4.253805411527363e-32,1.0378057764144813e-56,9.469861289235413e-44,5.685858229697537e-17,3.9435591868760304e-47,1.480722349347158e-58,2.2840571433592305e-30,3.292860927728213e-42,1.0376018176754703e-51,1.8196936951419305e-45,1.2132175616051254e-57,2.1915496758963183e-53,1.2169014040899887e-53,5.553104616788861e-70,9.602086101351551e-63,4.3226485271556124e-57,3.680320529031564e-72,7.78105228580698e-74,1.601172198709899e-77,2.8389781636343313e-29,1.7721380170987992e-42,1.9230898008945157e-59,1.5147951943467514e-48,9.548019911189146e-59,3.120831027651246e-41,5.685858229678988e-17,9.965374820549538e-45,1.0644552221408901e-14
