Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65)
0.0,0.6627192518154891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6326856991860031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.507590135661879e-20,0.6627192518154891,1.0320761786055543e-24,9.44336087721422e-27,6.5536342308945e-34,4.29664901374231e-34,0.0,0.0,1.0159574017195638e-19,1.4137588478092232e-35,1.3129308180317702e-45,1.5264860357904312e-45,8.022708103502494e-46,2.772276165804555e-59,3.4717377948689628e-40,7.015735585073886e-33,1.7271008540685936e-19,5.983611219569914e-35,6.740795593487209e-81,1.295026474511544e-70,8.10882082358801e-47,4.290954950203108e-34,1.210570827325262e-21,6.271445606067339e-50,7.61459761025124e-36,3.661143323182136e-62,2.5498389631612547e-36,2.893958576441088e-16,4.279244422123517e-49,2.8263466623551393e-35,1.3085353489330535e-49,3.538437466144133e-66,3.056959107033015e-49,1.3230204462655e-50,3.76,0.0,0.6326856991860029,1.0,7.385094858161506e-46,4.537892917808252e-33,2.893958576441088e-16,4.817764422365734e-20,4.102526275138037e-31,5.341912802366172e-20,7.592726886205445e-53,4.948047165215006e-52,6.543419492228269e-65,1.5326728059189394e-72,1.5720656135196626e-64,1.7271008540686295e-19,5.954441436119914e-34,1.3798376055203653e-38,6.843780655593452e-51,2.0774687815172107e-49,3.6512517253885886e-44,4.546582075707106e-34,1.2105708273327654e-21,1.5326964393335033e-51,5.999273036160743e-67,1.0825184616732643e-66,1.1485835362437493e-78,4.686651306875495e-85,4.072419152530846e-57,1.529788361023132e-73,2.2570079903552486e-50,6.6917093848847384e-62,4.606582772557178e-64,1.5573912700579e-61,5.203321946961017e-51
1.5421252379853262e-19,0.6627192518154893,2.8898146065342443e-24,2.644141048100519e-26,3.958395075568471e-33,2.5951760056020065e-33,0.0,0.0,2.8446807248150037e-19,8.539103440768257e-35,1.5587114671526854e-44,1.8122442259459312e-44,9.524559065721542e-45,3.2912462640122445e-58,2.09692962808831e-39,4.237504293336924e-32,4.835882391391909e-19,3.614101176660241e-34,3.843123833987884e-79,2.896922422446761e-69,9.626792081754099e-46,2.5917367899198694e-33,3.3895983164880006e-21,7.445460223502613e-49,4.5992169565778696e-35,8.189834695449282e-61,1.5401027337487243e-35,8.103084014035042e-16,5.1106844373195584e-48,1.707113384065511e-34,1.5534931662465345e-48,7.915434138205648e-65,3.629223385959567e-48,1.5727001122298885e-49,3.76,0.0,0.6326856991860023,1.0,8.767584615784371e-45,2.740887322356109e-32,8.103084014035042e-16,1.3489740382558653e-19,2.4779258701737965e-30,1.4957355846559234e-19,9.014085359273838e-52,5.874321594520882e-51,1.463747442301252e-63,4.818968531443929e-71,3.5166483004925203e-63,4.835882391392123e-19,3.5964826274163984e-33,8.334219137367773e-38,8.124936396926374e-50,2.466370937333246e-48,4.334766047909225e-43,2.7461355736966155e-33,3.3895983165333194e-21,1.8219945371531995e-50,1.3420139228822819e-65,2.421550498015957e-65,4.739662656117486e-77,1.933959784398551e-83,4.834776017898764e-56,4.809899378155923e-72,2.679519886132941e-49,1.496908622552212e-60,1.030474139884171e-62,3.602120406115872e-60,6.17738381541274e-50
3.524857686823603e-19,0.6627192518154893,6.605296688146394e-24,6.043750978780865e-26,1.905796834506413e-32,1.2494655351487406e-32,0.0,0.0,6.502127371006785e-19,4.111210729430048e-34,1.5303521614506995e-43,1.7792721365094764e-43,9.351268572865984e-44,3.2313650987659326e-57,1.0095813507290806e-38,2.0401759080679333e-31,1.1053445466037936e-18,1.7400341427109518e-33,1.7046253115833536e-77,5.723830533667256e-68,9.45164155194447e-45,1.2478096995148524e-32,7.747653294722548e-21,7.309996998368457e-48,2.214324985040244e-34,1.618173663623826e-59,7.414931704862775e-35,1.8521334889222935e-15,5.031006250752438e-47,8.219016094173854e-34,1.5252288026952906e-47,1.5639651792923045e-63,3.5631937135612324e-47,1.5449671707380633e-48,3.76,0.0,0.6326856991860013,1.0,8.60806656713825e-44,1.3196192604985286e-31,1.8521334889222935e-15,3.0833692302682906e-19,1.1930146407957759e-29,3.418824193468118e-19,8.850082458469792e-51,5.767443775705178e-50,2.892127722432149e-62,1.0750853719920355e-69,6.948304794490323e-62,1.1053445466038959e-18,1.7315515696236274e-32,4.012567756889666e-37,7.97711074023781e-49,2.421497611476103e-47,4.255899009649406e-42,1.3221460675699124e-32,7.74765329494074e-21,1.789886769882e-49,2.6515938848562737e-64,4.7845757178826775e-64,1.874963511966769e-75,7.650552581844561e-82,4.7468117642330074e-55,1.0730620960862476e-70,2.6307685135059716e-48,2.9576391874474423e-59,2.036043250641939e-61,7.222098368094162e-59,6.0649920613176934e-49
7.490322584500156e-19,0.6627192518154895,1.4036281754389765e-23,1.2842970879830156e-25,8.32311547491304e-32,5.456744267628323e-32,0.0,0.0,1.3817020663393958e-18,1.7954737367185696e-33,1.3535791560574165e-42,1.5737460711620167e-42,8.271091153818065e-43,2.858105835696565e-56,4.4091069992891716e-38,8.90998419230445e-31,2.348857161532756e-18,7.599186249474004e-33,6.391881453794523e-76,1.0185250611895887e-66,8.359869916223878e-44,5.449512786714425e-32,1.6463763250827918e-20,6.465609561897553e-47,9.670538964803972e-34,2.879453850384047e-58,3.238295483204279e-34,3.935783663959865e-15,4.455152436378683e-46,3.5894602612376404e-33,1.349047603291723e-46,2.7829995991169317e-62,3.151604754722681e-46,1.36685580025665e-47,3.76,0.0,0.6326856991859992,1.0,7.613737395875596e-43,5.763124005615336e-31,3.935783663959865e-15,6.5521596141885035e-19,5.210208369276862e-29,7.265001410986832e-19,7.82779771041022e-50,5.101238705304185e-49,5.146394469275483e-61,2.0135159261691735e-68,1.2364137428201394e-60,2.3488571615332026e-18,7.562140623871844e-32,1.7523937590481935e-36,7.055664121654598e-48,2.1417872144462313e-46,3.7642944757331966e-41,5.774159235675648e-32,1.646376325178082e-20,1.583548293684497e-48,4.7183700659531606e-63,8.513896850938191e-63,6.691611757144751e-74,2.7304278740553546e-80,4.198501249582826e-54,2.0097265633143475e-69,2.326884957627225e-47,5.262960907868689e-58,3.6230301790545004e-60,1.2937047937082776e-57,5.3644167943127865e-48
1.5421252379853263e-18,0.66271925181549,2.8898335498952806e-23,2.6441410840683145e-25,3.474736870729589e-31,2.2780833252442025e-31,0.0,0.0,2.844680724818276e-18,7.495749411092208e-33,1.1377648398292975e-41,1.322828425101504e-41,6.952350485691132e-42,2.4024101685023613e-55,1.8407153786645544e-37,3.719743006540728e-30,4.835882391389709e-18,3.172510669174158e-32,2.2106848526590656e-74,1.7178913865590927e-65,7.026974384474943e-43,2.275064314558517e-31,3.389598316158375e-20,5.4347344188458125e-46,4.037259652761613e-33,4.8566200084057315e-57,1.3519246182586251e-33,8.10308401403498e-15,3.746919247250853e-45,1.4985290004226465e-32,1.1339557967393997e-45,4.693941294820062e-61,2.6491138006110242e-45,1.1490633635033625e-46,3.76,0.0,0.6326856991859949,1.0,6.399805044146727e-42,2.4059908250209053e-30,8.10308401403498e-15,1.348974038161038e-18,2.1751594309445874e-28,1.4957355845601572e-18,6.579735635606489e-49,4.2878985043559676e-48,8.680152762351172e-60,3.4778480585491486e-67,2.0853925190849724e-59,4.835882391391576e-18,3.1570448494303787e-31,7.315898984803531e-36,5.930710846424293e-47,1.8003012055703452e-45,3.1641163196180762e-40,2.410597816114771e-31,3.389598316556193e-20,1.3312317878327163e-47,7.958221099998386e-62,1.4359931455978832e-61,2.260944401157157e-72,9.225498678594626e-79,3.5290932790387024e-53,3.471302907850941e-68,1.95588701211549e-46,8.876752821190903e-57,6.110769949897506e-59,2.1889934207908246e-56,4.509115545856406e-47
3.128311197055948e-18,0.662719251815491,5.862277743638401e-23,5.363829139740679e-25,1.4195433902265668e-30,9.306713783464376e-31,0.0,0.0,5.770638041781814e-18,3.062258214715216e-32,9.32808356385249e-41,1.0845347090629818e-40,5.699956971501045e-41,1.9696410033255327e-54,7.519922931716557e-37,1.5196363901059324e-29,9.809932851099729e-18,1.296074125076322e-31,7.351454593083049e-73,2.821641761290285e-64,5.761138152202969e-42,9.294380060006288e-31,6.876042297727584e-20,4.4557236291797015e-45,1.649352300606949e-32,7.977013123109452e-56,5.523053187685567e-33,1.6437684714185096e-14,3.072784535155096e-44,6.121979924882913e-32,9.296854728197204e-45,7.709817224350894e-60,2.1719035885514317e-44,9.421267648833572e-46,3.76,0.0,0.6326856991859866,1.0,5.246946836467888e-41,9.829257575680673e-30,1.6437684714185096e-14,2.7364901914779945e-18,8.886236011868851e-28,3.034206471314028e-18,5.394464804645782e-48,3.515478257553801e-47,1.4257182052874895e-58,5.77849663840859e-66,3.425263493708101e-58,9.809932851107359e-18,1.2897558328289794e-30,2.988783447344005e-35,4.862355097444017e-46,1.4759956970709406e-44,2.5941337217711782e-39,9.848078635665132e-31,6.876042299352799e-20,1.0914895218807405e-46,1.3071402302202895e-60,2.358623053513088e-60,7.433490567242799e-71,3.0331421233498937e-77,2.8933638891329475e-52,5.767621876736687e-67,1.6035543420734888e-45,1.4580093162489566e-55,1.0036957991209417e-57,3.6010636355896394e-55,3.696845353578154e-46
6.3006831151971906e-18,0.6627192518154932,1.1807299910446656e-22,1.0803205505092517e-24,5.738021354102934e-30,3.7619225771459426e-30,0.0,0.0,1.1622552675732001e-17,1.2378137316870378e-31,7.55412391426472e-40,8.782843975116882e-40,4.615972936721504e-40,1.5950663503638954e-53,3.039673081603351e-36,6.142613255405755e-29,1.9758033770504232e-17,5.23893883995952e-31,2.3978743633988827e-71,4.574002889023303e-63,4.665519043085871e-41,3.75693702446762e-30,1.3848930258538166e-19,3.6083605170003894e-44,6.666945707111956e-32,1.293108216574199e-54,2.2325064044518931e-32,3.310688611448489e-14,2.488753182101589e-43,2.474602167823889e-31,7.5288339949835e-44,1.2497949593229761e-58,1.758863853173064e-43,7.62980699071032e-45,3.76,0.0,0.63268569918597,1.0,4.24911358662674e-40,3.9731430683940147e-29,3.310688611448489e-14,5.511522497442229e-18,3.591958674214103e-27,6.111148244145462e-18,4.3685774592490413e-47,2.8469254375184612e-46,2.311151057465794e-57,9.420408177494658e-65,5.552499742730001e-57,1.9758033770535072e-17,5.213399290509134e-30,1.2081140560704293e-34,3.9376612668541906e-45,1.1952995818466063e-43,2.1007967373999274e-38,3.9807508402603356e-30,1.3848930265107547e-19,8.839425486335116e-46,2.1189306560116174e-59,3.823429609229196e-59,2.411034853169798e-69,9.837923770637736e-76,2.343121093174317e-51,9.402679910858465e-66,1.2985998808819719e-44,2.3634959310280746e-54,1.6270341422420408e-56,5.842013731145445e-54,2.993801214189666e-45
1.2645426951479677e-17,0.6627192518154973,2.369787936135095e-22,2.1681959251824905e-24,2.307233154049504e-29,1.51265257445868e-29,0.0,0.0,2.332638194372483e-17,4.977194574109823e-31,6.080216115875835e-39,7.069198074761662e-39,3.715336599709074e-39,1.2838481655710199e-52,1.2222391766463947e-35,2.469917771908494e-28,3.965423560925106e-17,2.1065542674476777e-30,7.7466984958524e-70,7.366290647900538e-62,3.755215616599018e-40,1.510647853817526e-29,2.779470617084799e-19,2.9043224637957548e-43,2.680749545985772e-31,2.0825109296404303e-53,8.976810062832188e-32,6.644528891508271e-14,2.003297932755359e-42,9.950266481057596e-31,6.059860591071292e-43,2.0127565418610996e-57,1.4156866533746188e-42,6.141220397833998e-44,3.76,0.0,0.6326856991859365,1.0,3.420056282540164e-39,1.5975833532802546e-28,6.644528891508273e-14,1.1061587106691983e-17,1.4443107845127433e-26,1.2265031787103102e-17,3.516211196051492e-46,2.2914532684227164e-45,3.722037856306973e-56,1.5213985143849542e-63,8.942129671773099e-56,3.965423560937508e-17,2.096284925349504e-29,4.857773485621796e-34,3.1693724269814257e-44,9.62081089907175e-43,1.6909039666488814e-37,1.6006424036793952e-29,2.779470619726317e-19,7.114842589027457e-45,3.412472492201858e-58,6.157515514341166e-58,7.76746994730802e-68,3.1694181884728155e-74,1.8859477030847514e-50,1.5185355042665167e-64,1.0452261593145642e-43,3.8063373327963217e-53,2.620288326378387e-55,9.412021476134346e-53,2.4096716714738695e-44
2.5334914624044648e-17,0.6627192518155054,4.748117873230844e-22,4.34394708094068e-24,9.253036917473886e-29,6.066413788859566e-29,0.0,0.0,4.6734040480080314e-17,1.996077634703829e-30,4.878990507530502e-38,5.672588103565374e-38,2.981323636976737e-38,1.0302072975924086e-51,4.901725754187016e-35,9.905474947872255e-28,7.944663928649606e-17,8.448224804642932e-30,2.4907716588121466e-68,1.1824527889311665e-60,3.013324036684741e-39,6.05837354667964e-29,5.568625795822226e-19,2.330535868463287e-42,1.075100466951884e-30,3.342891257361642e-52,3.6001023326221923e-31,1.3312209451627133e-13,1.6075735329129582e-41,3.990501896408181e-30,4.8626564846827916e-42,3.230920233680266e-56,1.1359993850757281e-41,4.927977767392643e-43,3.76,0.0,0.6326856991858698,1.0,2.7443797847268495e-38,6.407023783249153e-28,1.3312209451627138e-13,2.2161716314476642e-17,5.79233222663052e-26,2.4572798862197477e-17,2.8215380402986396e-45,1.8387469362479942e-44,5.9746953265127106e-55,2.4456039265593976e-62,1.435409850871022e-54,7.94466392869934e-17,8.407040136990918e-29,1.9481844377250688e-33,2.543221885900174e-43,7.720094812465022e-42,1.3568439232873012e-36,6.419291933853285e-29,5.568625806415899e-19,5.709254567880632e-44,5.477774036608417e-57,9.88417607950762e-57,2.493971699030569e-66,1.01763371105077e-72,1.5133542594816506e-49,2.441002074028609e-63,8.38728166074553e-43,6.110014390547678e-52,4.2061430668443374e-54,1.511129396951473e-51,1.9336097596937953e-43
5.0713889969174587e-17,0.6627192518155218,9.505633935080125e-22,8.695451018105727e-24,3.706041153042819e-28,2.429730072511998e-28,0.0,0.0,9.354935755427054e-17,7.994722024615383e-30,3.909129608347902e-37,4.544976386385768e-37,2.38868686289209e-37,8.254194887832153e-51,1.963247025049923e-34,3.967356635268029e-27,1.5903144663999136e-16,3.383696502733235e-29,7.989448885060571e-67,1.8950076536350637e-59,2.4143261239921757e-38,2.426509448817519e-28,1.1146936138398934e-18,1.867264707969558e-41,4.306009558523756e-30,5.357342442421002e-51,1.4419187362811512e-30,2.6647570571862025e-13,1.2880363076116006e-40,1.5982821940681103e-29,3.896042519486975e-41,5.1778970025700604e-55,9.101818995576899e-41,3.948393101006753e-42,3.76,0.0,0.6326856991857364,1.0,2.1988434554927167e-37,2.566151399141201e-27,2.6647570571862055e-13,4.4361974687186554e-17,2.319954152653894e-25,4.9188332969102555e-17,2.2606639423018574e-44,1.473235107167187e-43,9.57509144832963e-54,3.92208381165634e-61,2.300398520345744e-53,1.5903144664198334e-16,3.3672011436402685e-28,7.802899433068452e-33,2.0376725212818045e-42,6.185470326878718e-41,1.0871262406684995e-35,2.571065050653993e-28,1.114693618082888e-18,4.5743676611630654e-43,8.778721252635642e-56,1.5840454213903868e-55,7.994148295471019e-65,3.2619114385977965e-71,1.2125249999399194e-48,3.914704823813671e-62,6.720031747862919e-42,9.791954570193665e-51,6.740796207353477e-53,2.421980541387645e-50,1.5492408041166174e-42
1.0147184065943447e-16,0.6627192518155546,1.902409080939557e-21,1.7398465395045073e-23,1.483382305529324e-27,9.725255009793762e-28,0.0,0.0,1.8717999170856807e-16,3.199972294648356e-29,3.129680587323707e-36,3.638749398992215e-36,1.9124019127194713e-36,6.60837477961421e-50,7.858104443970325e-34,1.5879765673356917e-26,3.1820106134300333e-16,1.3543604260296017e-28,2.559664723817505e-65,3.0344812722003297e-58,1.9329289117661518e-37,9.712361455656355e-28,2.2303556763959762e-18,1.4949471409661024e-40,1.723525999050208e-29,8.578728015810707e-50,5.771432692411342e-30,5.331829281232054e-13,1.0312207204934727e-39,6.397294026026228e-29,3.119202968633387e-40,8.291381584263423e-54,7.286989493558413e-40,3.161120901285032e-41,3.76,0.0,0.6326856991854694,0.9999999999999999,1.7604117697426765e-36,1.0271293179964823e-26,5.331829281232063e-13,8.876249126116875e-17,9.28586256605066e-25,9.841940100977811e-17,1.809905730998389e-43,1.1794838732473523e-42,1.5332621887864916e-52,6.282639609718268e-60,3.683634825024781e-52,3.182010613509763e-16,1.3477579753935776e-27,3.1231932723882746e-32,1.6313772999939703e-41,4.952137198527827e-40,8.703619591371216e-35,1.0290960529223044e-27,2.2303556933790118e-18,3.6622819101213216e-42,1.4057391069148228e-54,2.536536528944751e-54,2.5602799606020994e-63,1.0446899679825084e-69,9.707572685846625e-48,6.270823112874099e-61,5.380111446523e-41,1.567988524071498e-49,1.0794056511116269e-51,3.878510952473417e-49,1.240334645863758e-41
2.0298774203995425e-16,0.6627192518156202,3.807470356038008e-21,3.480452015947732e-23,5.9354615940171136e-27,3.891370906084568e-27,0.0,0.0,3.7444126004083144e-16,1.2804057336433317e-28,2.5046956156551213e-35,2.9121130117724574e-35,1.530502745805782e-35,5.288708188454608e-49,3.144265322576753e-33,6.353974626584432e-26,6.365402907331123e-16,5.419205905716387e-28,8.195796187762892e-64,4.857146272117374e-57,1.5469305842563577e-36,3.886209671334243e-27,4.461679777671106e-18,1.1964120540607674e-39,6.896348970078541e-29,1.3731551690262546e-48,2.3093248397743217e-29,1.0665973729319235e-12,8.252933834719269e-39,2.5597509014646963e-28,2.496310352200626e-39,1.32716101543367e-52,5.831806256951383e-39,2.5298597090841465e-40,3.76,0.0,0.6326856991849354,0.9999999999999997,1.4088644639072586e-35,4.1098551697584495e-26,1.0665973729319275e-12,1.775635237233826e-16,3.7155545503672e-24,1.9688153639859068e-16,1.448474646815653e-42,9.439455638211472e-42,2.4542180391703123e-51,1.0058077758111334e-58,5.896214652014414e-51,6.365402907650146e-16,5.392787437587213e-27,1.2496841276247835e-31,1.3055981143833798e-40,3.9632146643741244e-39,6.965540037368301e-34,4.1177246215257385e-27,4.461679845625371e-18,2.9309407832596794e-41,2.250097805710047e-53,4.060110341613325e-53,8.196341641388969e-62,3.3444139303349885e-68,7.769008502580405e-47,1.0039171969296319e-59,4.305724252892926e-40,2.5098027693482317e-48,1.7277519905147702e-50,6.208291818379965e-48,9.926446762493282e-41
4.060195448009938e-16,0.6627192518157513,7.623072507085221e-21,6.961673373148856e-23,2.374571273253455e-26,1.556803456798586e-26,0.0,0.0,7.489637968000311e-16,5.122456685439495e-28,2.0041369985113017e-34,2.3301450272718875e-34,1.2246347297585933e-34,4.2317700020482404e-48,1.2579108548778413e-32,2.542003534184622e-25,1.2732187494496711e-15,2.1680352921501036e-27,2.6234340104974924e-62,7.7730155146663185e-56,1.237779497505659e-35,1.5547369196354446e-26,8.924327884873223e-18,9.573114142018673e-39,2.7589886331456567e-28,2.197495328643443e-47,9.238803092231056e-29,2.133426262547553e-12,6.603614585730783e-38,1.0240670454902958e-27,1.997427539113792e-38,2.123889645134629e-51,4.6663310543488903e-38,2.024273057248753e-39,3.76,0.0,0.6326856991838676,0.9999999999999993,1.1273056637645766e-34,1.644209685503794e-25,2.13342626254757e-12,3.5516558590480854e-16,1.4864637499956576e-23,3.93805804406062e-16,1.1589997829401426e-41,7.55299862983124e-41,3.9275478706714375e-50,1.6097629112252897e-57,9.435863008486101e-50,1.273218749577301e-15,2.1574661322266785e-26,4.999550287191933e-31,1.0446776024862308e-39,3.171173642266588e-38,5.573488989263542e-33,1.6473579388506605e-26,8.924328156734527e-18,2.3451982884154932e-40,3.6008882607146755e-52,6.4974983529716334e-52,2.6233807418690093e-60,1.0704374761785782e-66,6.216387225114006e-46,1.6067408192560795e-58,3.4452335443186886e-39,4.0165014986878665e-47,2.7649656578401507e-49,9.935404395892792e-47,7.942665528925175e-40
8.120831503230729e-16,0.6627192518160138,1.5276195211851773e-20,1.3924157705555785e-22,9.499059269086485e-26,6.227734274731344e-26,0.0,0.0,1.4980088706971226e-15,2.0491494366585603e-27,1.6034617636364466e-33,1.864312489909228e-33,9.798008024707091e-34,3.3857373103894537e-47,5.032052801862785e-32,1.016884118813508e-24,2.5465756666281506e-15,8.672847392842763e-27,8.396235178854116e-61,1.243809047108078e-54,9.90317616798466e-35,6.219453794736374e-26,1.7849623717884908e-17,7.659218404672793e-38,1.1036852577782354e-27,3.51635020914699e-46,3.695821999600005e-28,4.267084041771585e-12,5.283398757723613e-37,4.096601599129436e-27,1.598093727073151e-37,3.398568909767799e-50,3.7334192922539972e-37,1.6195725980020764e-38,3.76,0.0,0.6326856991817319,0.9999999999999986,9.019302214644524e-34,6.577374014755176e-25,4.267084041771652e-12,7.103696992956529e-16,5.946338818926768e-23,7.87654329340389e-16,9.272878518038904e-41,6.042972535940535e-40,6.284715812314242e-49,2.5760033867579937e-56,1.5098916468828227e-48,2.546575667138712e-15,8.630566893082845e-26,1.9999829005639585e-30,8.358226290004407e-39,2.5371794156680956e-37,4.459212400434972e-32,6.589967734728844e-26,1.7849624805418604e-17,1.8763360573346207e-39,5.762004791417488e-51,1.0397054815662077e-50,8.395700416189452e-59,3.425759957372065e-65,4.9735820465940886e-45,2.5711792221907557e-57,2.756448462538415e-38,6.427056003522915e-46,4.4243950032050295e-48,1.5898349205379412e-45,6.354735668674732e-39
1.624210361367231e-15,0.6627192518165383,3.0670114226240476e-20,2.7849292848356283e-22,3.7997792281372866e-25,2.491205981181123e-25,0.0,0.0,2.9960990200060743e-15,8.196931286946985e-27,1.2828301939647711e-32,1.4915519461751888e-32,7.838778441992024e-33,2.708718208917454e-46,2.012902921327303e-31,4.067701591716784e-24,5.0932894999665614e-15,3.469280458414105e-26,2.6869942759757166e-59,1.990195831571573e-53,7.922916977008604e-34,2.487882727095537e-25,3.5700213858338235e-17,6.127665463000639e-37,4.414920559356057e-27,5.626446474087386e-45,1.4783889502531307e-27,8.534399600190743e-12,4.2269218966700515e-36,1.6387073443540428e-26,1.2785356258254741e-36,5.4379860728647414e-49,2.986877207118274e-36,1.2957197741390016e-37,3.76,0.0,0.6326856991774605,0.9999999999999971,7.215785259819126e-33,2.6310566637986006e-24,8.534399600191006e-12,1.4207778821893168e-15,2.37863223463395e-22,1.5753513348865839e-15,7.418654772681302e-40,4.8346073707722375e-39,1.005605649308716e-47,4.121931759931696e-55,2.415949434807866e-47,5.09328950200889e-15,3.4523672348902882e-25,8.000257335284764e-30,6.686917543278354e-38,2.0298392773280785e-36,3.567535821088059e-31,2.6360941020992806e-25,3.570021820864983e-17,1.5011384487761582e-38,9.219668423594629e-50,1.6636133315259866e-49,2.6867650503320214e-57,1.0963007673976649e-63,3.979054628909844e-44,4.114250571508209e-56,2.2052633341763437e-37,1.0283812106590544e-44,7.079391719793658e-47,2.5438694818932353e-44,5.084029739663162e-38
