Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142)
0.0,0.14127333044975046,3.76,0.0,0.6122520573315782,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1686796611996248e-20,0.14127333044975046,3.76,0.0,0.612252057331578,1.0,3.2895944041888114e-45,7.818010252773074e-19,2.72249323670301e-33,2.9580277131414266e-16,2.9580277131414266e-16,4.2288003673456036e-35,1.757367141067501e-33,1.756087213367267e-33,3.2701775467031116e-45,4.699048767314682e-45,3.026763217411431e-19,7.246205739010813e-35,1.3763777020678507e-19,1.740971211055803e-24,8.098197272653542e-31,1.650402925039552e-19,1.926978338232785e-35,1.040354333954692e-34,3.706939557969666e-46,1.2293334888011961e-25,5.5523623701748836e-52,2.519364347856394e-53,3.542517508485129e-33,6.615898690012612e-49,1.2516063303501503e-68,1.329772970018734e-34,3.165552435537046e-51,9.100860157860098e-64,1.3021182582424189e-56,1.688104172010467e-77,2.0088372998294716e-19,2.484830427758496e-33,2.0088372998294213e-19,4.5977589466299746e-38,4.941477391111509e-65,1.1612955429712622e-50,4.248764281802269e-21,2.2571781663376482e-51,4.2511345185514853e-69,1.6446535857552868e-35,1.5755161960278504e-49,3.262343507127122e-61,2.738698490230153e-53,2.418992794321673e-65,2.025549884632035e-59,5.457985869816241e-45,8.685986490807197e-66,1.6580665169169705e-53,8.100652373726424e-66,1.0611452063022194e-83,1.6879467667198606e-81,9.260016912560273e-89,1.1511897225536818e-34,4.7872007866339885e-50,8.107384058847827e-69,2.4490368418501004e-55,2.8833759695237136e-67,2.775349643056516e-48,4.248764281776694e-21,2.0724749472872146e-52,7.81801025277299e-19,2.9938257534599608e-36,2.4651295171041267e-32,1.2548054842999659e-49,3.378471359570424e-48,1.3085322791177057e-43
3.272303051358949e-20,0.14127333044975052,3.76,0.0,0.6122520573315773,1.0,3.9054064767152325e-44,2.1890428707764854e-18,1.6443859149979267e-32,8.282477596795989e-16,8.282477596795989e-16,2.554195421451745e-34,1.0614497535456241e-32,1.060676676872664e-32,3.8823547913679404e-44,5.578710696515617e-44,8.474937008752571e-19,4.376708266362735e-34,3.8538575657769697e-19,4.874721957414229e-24,4.891311152670088e-30,4.621128190097699e-19,1.1638949162964233e-34,6.2837401772285525e-34,4.400878643217317e-45,3.4421337691757004e-25,6.593426381793697e-51,2.9909893538177736e-52,2.1396805751004412e-32,7.85439492476338e-48,2.7997932967200584e-67,8.031828738891248e-34,3.758318658639072e-50,2.03591786932017e-62,1.545874796181572e-55,6.966315818854879e-76,5.624744439522406e-19,1.5008375783661013e-32,5.624744439522104e-19,2.7770464039786192e-37,1.1053887263619683e-63,1.380861122429391e-49,1.1896539989049342e-20,3.411032248203865e-50,9.509617872630243e-68,9.933707657923421e-35,1.8777188414616915e-48,7.324906298495578e-60,4.138721158585676e-52,2.872262530295439e-64,2.4047328230402182e-58,6.47972083796035e-44,2.449587166190091e-64,2.5056701203636675e-52,1.8134724406262596e-64,4.382120324891953e-82,6.965666252577323e-80,3.8240297445064105e-87,6.9531859242367e-34,5.864708156037991e-49,1.8135893875607555e-67,3.7009844814841707e-54,6.468201058039454e-66,3.300455152805336e-47,1.1896539988894866e-20,3.1319241404380055e-51,2.1890428707764354e-18,1.8082707550898553e-35,1.4889382283138945e-31,1.489705071317007e-48,4.010921197925158e-47,1.5534895216184772e-42
7.479549831677599e-20,0.14127333044975052,3.76,0.0,0.6122520573315762,1.0,3.834351237676814e-43,5.0035265617749446e-18,7.917010332771996e-32,1.893137736410509e-15,1.893137736410509e-15,1.2297351461866018e-33,5.110423651337094e-32,5.106701616454531e-32,3.811718959677058e-43,5.477211243029625e-43,1.9371284591437118e-18,2.107196628904652e-33,8.808817293143163e-19,1.1142233715963011e-23,2.3549557668686748e-29,1.056257872016181e-18,5.603653007638241e-34,3.0253504033535627e-33,4.320808748756202e-44,7.867734332054115e-25,6.474193300461111e-50,2.936571083993645e-51,1.0301640914306116e-31,7.71149151301797e-47,5.531919748709974e-66,3.866979796781622e-33,3.69001614502599e-49,4.022719080872759e-61,1.5177490417954944e-54,2.7558672623065056e-74,1.285655871890782e-18,7.225886883921259e-32,1.2856558718906364e-18,1.3370283019950506e-36,2.1840618488401505e-62,1.3566889812117318e-48,2.719209140355544e-20,3.669427538044527e-49,1.8789402408689095e-66,4.782652627318611e-34,1.846739417299783e-47,1.4498981162306768e-58,4.452247362170022e-51,2.8209241548685194e-63,2.3609809455386969e-57,6.361828371132791e-43,5.328387143224603e-63,2.6954855752172513e-51,3.584383395136459e-63,1.7341522895045992e-80,2.7556102942665154e-78,1.5132970902030584e-85,3.3476597132048006e-33,5.837468839528335e-48,3.5833470264603097e-66,3.9813502331200583e-53,1.2796171020917207e-64,3.2428428242831652e-46,2.7192091402811696e-20,3.369181072673888e-50,5.003526561774705e-18,8.706045291062149e-35,7.168596635483831e-31,1.4626012736039124e-47,3.937946216229057e-46,1.5252252240744028e-41
1.5894043392314897e-19,0.1412733304497506,3.76,0.0,0.6122520573315741,1.0,3.3914402472308273e-42,1.0632493943772273e-17,3.45756641106712e-31,4.022917689872323e-15,4.022917689872323e-15,5.37057645994142e-33,2.231856274438953e-31,2.2302307609583642e-31,3.371422254849272e-42,4.844531316805633e-42,4.1163979756815285e-18,9.202681288546912e-33,1.871873674766735e-18,2.3677298296388283e-23,1.0284710536073925e-28,2.24454797800813e-18,2.4472624896148417e-33,1.3212500043428887e-32,3.821706406656599e-43,1.671893546632856e-24,5.726639848651291e-49,2.5973638683436924e-50,4.498997235395184e-31,6.820726913327865e-46,9.84375562318171e-65,1.6888116718898403e-32,3.263807913143248e-48,7.158285457933046e-60,1.3424318394926775e-53,9.835595957935713e-73,2.732018727767683e-18,3.155734643252826e-31,2.7320187277670473e-18,5.839153865447072e-36,3.886421364177331e-61,1.2003538596594068e-47,5.778319423261547e-20,3.372834173019847e-48,3.3434737672482954e-65,2.088710053849527e-33,1.6346845767747925e-46,2.582142426085489e-57,4.092382381283492e-50,2.496711629547449e-62,2.0882609090812695e-56,5.626965199023214e-42,9.877931757588583e-62,2.4776156348892045e-50,6.379251751160139e-62,6.190097237160671e-79,9.8346788456526e-77,5.401749427538007e-84,1.462010947662494e-32,5.194733559397462e-47,6.376374620790533e-65,3.659546815381347e-52,2.278325523691615e-63,2.869225348925979e-45,5.778319422936734e-20,3.0968578650656108e-49,1.063249394377122e-17,3.802158706894748e-34,3.1307144864587752e-30,1.293654264412024e-46,3.4830688318416426e-45,1.3490444375022814e-40
3.2723030513589497e-19,0.1412733304497507,3.76,0.0,0.6122520573315697,1.0,2.850709877652167e-41,2.1890428707768575e-17,1.4434659145088038e-30,8.28247759679592e-15,8.28247759679592e-15,2.242109948837891e-32,9.317560629488925e-31,9.310774405110665e-31,2.8338835491424527e-41,4.072120476327058e-41,8.474937008760787e-18,3.841938282826396e-32,3.853857565588295e-18,4.874759171054965e-23,4.293664193784442e-28,4.6211281899085364e-18,1.021683914984304e-32,5.515958680611643e-32,3.2123745098531344e-42,3.442133776894791e-24,4.813700509241644e-48,2.183240834526531e-49,1.8782427826559785e-30,5.733231950154503e-45,1.6602932651020403e-63,7.050456286733764e-32,2.743439271605298e-47,1.2073552141942162e-58,1.1283948486555212e-52,3.323241879716643e-71,5.624744439520757e-18,1.3174570927971377e-30,5.6247444395181034e-18,2.4377317963952814e-35,6.555017675707123e-60,1.0091195456347645e-46,1.189653998909268e-19,2.885529912418195e-47,5.639257200910672e-64,8.719953311137344e-33,1.374552230340428e-45,4.356861486035731e-56,3.501119287976289e-49,2.1013890248873264e-61,1.755309121259485e-55,4.729803384266521e-41,1.6977640868738315e-60,2.11965233841091e-49,1.0760375854850744e-60,2.0916612744481626e-77,3.3229320052365224e-75,1.8252750577305895e-82,6.103607909153482e-32,4.378999045068352e-46,1.0754687939202346e-63,3.130819389887857e-51,3.8437994387120656e-62,2.4121404270338233e-44,1.189653998773665e-19,2.6494271044759076e-48,2.189042870776417e-17,1.5873264144850076e-33,1.3070116697314892e-29,1.087394360012355e-45,2.9277292228094455e-44,1.1339531347945478e-39
6.63810047561387e-19,0.1412733304497509,3.76,0.0,0.6122520573315612,1.0,2.3371841907439944e-40,4.4406298235767736e-17,5.897029253889942e-30,1.6801597410642994e-14,1.6801597410642997e-14,9.15975069748854e-32,3.806527562496031e-30,3.80375514750438e-30,2.323388949779252e-40,3.3385703930617587e-40,1.719201507493381e-17,1.569557147895123e-31,7.81782534689831e-18,9.888883555211557e-23,1.754101921896441e-27,9.374288613375377e-18,4.173912160196848e-32,2.2534491031988955e-31,2.633698706626241e-41,6.98261425104685e-24,3.946608136924589e-47,1.7899527424435233e-48,7.673234621176448e-30,4.70044993981753e-44,2.727036673135413e-62,2.8803414437206702e-31,2.249242066130493e-46,1.9830891555690422e-57,9.251262716332092e-52,1.092611832586494e-69,1.1410195863023998e-17,5.3822420997384825e-30,1.1410195863013156e-17,9.958929813194e-35,1.0766636195247775e-58,8.273967828961924e-46,2.413298112083146e-19,2.3858116456897454e-46,9.262496886279192e-63,3.562385452434565e-32,1.1271404712065267e-44,7.157517248448821e-55,2.8947931345150617e-48,1.727359477780598e-60,1.4391084689479014e-54,3.8777787155145e-40,2.8139194658382084e-59,1.7525695434397567e-48,1.7674622266787942e-59,6.87719466381963e-76,1.0925099514418286e-73,6.001340676194713e-81,2.4935229867873814e-31,3.5951472044920886e-45,1.7664607729566283e-62,2.5886220861731405e-50,6.314317820112195e-61,1.977771122273766e-43,2.4132981115291644e-19,2.1905975662848645e-47,4.440629823574976e-17,6.484746335028951e-33,5.339569137220618e-29,8.915115976398134e-45,2.400329301177865e-43,9.29683288907345e-39
1.3369695324123707e-18,0.14127333044975135,3.76,0.0,0.6122520573315441,1.0,1.8927123539173725e-39,8.943803729179232e-17,2.3836735112564193e-29,3.383983703833666e-14,3.383983703833667e-14,3.702517662737849e-31,1.5386593187429686e-29,1.5375386473760526e-29,1.881540609450855e-39,2.703660861631797e-39,3.462617120733788e-17,6.344400942399385e-31,1.574576090818591e-17,1.9917395128821983e-22,7.090360424448273e-27,1.8880609458973177e-17,1.6871620304541052e-31,9.10880157767031e-31,2.132837495804131e-40,1.406357525386373e-23,3.1960837934828108e-46,1.4495501392076063e-47,3.1016441171314494e-29,3.806546228328749e-43,4.4206439620275005e-61,1.164280064141154e-30,1.821496455217037e-45,3.2146766482037685e-56,7.491912402224244e-51,3.5438644662663255e-68,2.2981098710018843e-17,2.1755883113601915e-29,2.2981098709975024e-17,4.025558670283686e-34,1.7453181171601096e-57,6.700711455093591e-45,4.86058633846151e-19,1.940102294359986e-45,1.5014906601245454e-61,1.4399731573267473e-31,9.12867162429938e-44,1.1603730388617306e-53,2.353997705071106e-47,1.4061714405499648e-59,1.1654273496079215e-53,3.140325966205483e-39,4.5817383890111324e-58,1.4251604467614587e-47,2.8651864339256512e-58,2.2306450112914567e-74,3.5435340106517697e-72,1.946558341752086e-79,1.007921859323519e-30,2.913429701621844e-44,2.8635091954450302e-61,2.1050246043966237e-49,1.0236478065198518e-59,1.6017112323389812e-42,4.860586336222226e-19,1.781357562668706e-46,8.943803729171967e-17,2.621238150794093e-32,2.1583392167900682e-28,7.219692117633013e-44,1.9438488981926483e-42,7.528816284975113e-38
2.6832885021143387e-18,0.14127333044975227,3.76,0.0,0.6122520573315099,1.0,1.5234195657493737e-38,1.7950151540394651e-16,9.584646362639395e-29,6.791631629372204e-14,6.791631629372212e-14,1.4887660510340148e-30,6.186881583418088e-29,6.182375277229564e-29,1.5144275727036063e-38,2.1761414730870565e-38,6.94944834723781e-17,2.551055715257891e-30,3.160163202543138e-17,3.9975469497231385e-22,2.851002741629924e-26,3.789325114482525e-17,6.784004321891792e-31,3.662609058067716e-30,1.7166931691759367e-39,2.8225497477548607e-23,2.5724935602144346e-45,1.1667240612022636e-46,1.2471574569955424e-28,3.063839566065417e-42,7.119310816400612e-60,4.68151893014364e-30,1.466099578316302e-44,5.177140573060125e-55,6.030142881920533e-50,1.1417038118564178e-66,4.6122904403962e-17,8.747944914117344e-29,4.612290440378579e-17,1.618659444475453e-33,2.8107810010282262e-56,5.393410500991066e-44,9.755162791340666e-19,1.564762740338748e-44,2.4181044199135354e-60,5.790068731760369e-31,7.347867000157381e-43,1.8688318873385403e-52,1.898584434356314e-46,1.1435781513535259e-58,9.38037320928415e-53,2.5276079006667243e-38,7.394944231744447e-57,1.1494435302550116e-46,4.6143377018773696e-57,7.186389659011032e-73,1.1415973471377128e-70,6.271157744795173e-78,4.052809466821298e-30,2.345775099719312e-43,4.611593799217892e-60,1.6977787881692306e-48,1.6486091650682215e-58,1.2892208720178533e-41,9.755162782336599e-19,1.4367294120951975e-45,1.795015154036544e-16,1.0539883318116183e-31,8.678587056750941e-28,5.811036411804905e-43,1.564578700046343e-41,6.059846297688238e-37
5.375926441518274e-18,0.14127333044975407,3.76,0.0,0.6122520573314414,0.9999999999999999,1.2224482616072112e-37,3.5962847162867514e-16,3.8438718845464517e-28,1.360692748044851e-13,1.3606927480448539e-13,5.970617596075277e-30,2.4812163386343014e-28,2.479408999290155e-28,1.2152327515495975e-37,1.7462164810886877e-37,1.3923110800338688e-16,1.0230874405805257e-29,6.331337423860342e-17,8.009582311880116e-22,1.1433796132046185e-25,7.591853449515531e-17,2.7206891563052138e-30,1.4688700510118883e-29,1.3775381545184406e-38,5.654934279712351e-23,2.0642669776711698e-44,9.362225832551815e-46,5.001659199524907e-28,2.458538297039232e-41,1.1428070538326008e-58,1.8774984763412251e-29,1.176452885153629e-43,8.310459527975426e-54,4.838809895941776e-49,3.665772567276976e-65,9.240651579166214e-17,3.5083171719506826e-28,9.240651579095551e-17,6.491548401285816e-33,4.511925931722631e-55,4.327910206884711e-43,1.954431569758868e-18,1.2569025104973996e-43,3.881593123825302e-59,2.3220765273620118e-30,5.896327583787053e-42,2.9999585500243874e-51,1.525046276432667e-45,9.365373000545036e-58,7.527158746400383e-52,2.0282467362673426e-37,1.1883476856822982e-55,9.232955528558526e-46,7.407068587147446e-56,2.307410159961226e-71,3.6654307057463047e-69,2.0135469662710312e-76,1.6253578629263486e-29,1.8826539287790087e-42,7.402631021585268e-59,1.3637485489855305e-47,2.6464276750057984e-57,1.0345282814734638e-40,1.954431566147835e-18,1.15405920242561e-44,3.596284716275037e-16,4.226964618379966e-31,3.480501563632527e-27,4.662990909077835e-42,1.2554758662396706e-40,4.862644952829625e-36
