Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37)
0.0,0.35717658797561447,3.76,0.0,0.7897724444413176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.927693353777069e-20,0.35717658797561447,3.76,0.0,0.7897724444413173,1.0,4.839076447762686e-45,2.2179180444961606e-19,2.019613845515563e-33,2.979092514682717e-16,2.979092514682717e-16,6.810609125354071e-36,3.931606229722256e-34,3.921130530155576e-34,1.7118025171271288e-45,3.8170513928256986e-45,1.473145648392742e-19,4.2114413427638144e-35,7.16327605011332e-20,7.904584194117763e-25,5.529216271340268e-31,7.568259479546357e-20,3.612054115984874e-36,7.051235039878203e-35,1.6597506509630155e-46,4.612309541734548e-27,1.0595434150017692e-52,6.872978932789728e-54,3.180023554588245e-33,3.879568069265479e-49,4.0872840300694037e-69,1.2763245435749268e-34,1.1028710256452924e-51,8.614407912939285e-64,1.088645474089364e-57,2.3349372867437474e-77,1.114322812255537e-19,1.8213536217007585e-33,1.1143228122554974e-19,1.3338418837685173e-38,9.6268902325059e-66,2.406605236289209e-38,6.570552808354078e-22,4.960444651654947e-52,1.4012107589276741e-70,7.799899320692217e-36,4.0356519930343046e-50,1.089517686306778e-61,4.5887967804764304e-54,5.871941442372616e-67,7.326112369636665e-61,4.436145045045725e-45,5.94563066464938e-66,8.201066507930848e-54,5.103121640407945e-66,1.6540753595306341e-84,1.7462807593075056e-81,1.1382015683647289e-89,2.830907199170443e-22,9.191757144797356e-51,1.3528327281650487e-69,3.103270969501087e-56,1.172805553147094e-59,8.957353875463654e-36,6.570552808258828e-22,2.603314067150614e-53,2.217918044496096e-19,5.268158617998957e-37,8.855756938663618e-33,3.6197288852174732e-50,1.1701538740840796e-48,1.0597045507698851e-43,2.8309071991189906e-22
1.9397541390575796e-19,0.3571765879756146,3.76,0.0,0.7897724444413167,1.0,5.744951558872175e-44,6.210170524589452e-19,1.2198467627164646e-32,8.341459041111604e-16,8.341459041111604e-16,4.113607910137472e-35,2.374690166836932e-33,2.3683628402080208e-33,2.032251948898459e-44,4.531603413457413e-44,4.1248078155005263e-19,2.5437105710297697e-34,2.0057172940229029e-19,2.2132852813062688e-24,3.339646627877607e-30,2.1191126542641851e-19,2.181680686062382e-35,4.258945964201412e-34,1.970455972818809e-45,1.291446674241308e-26,1.2584018741436853e-51,8.15960058920787e-53,1.9207342269426942e-32,4.60582321181683e-48,9.143090883827792e-68,7.709000243164855e-34,1.4255857691573746e-50,2.0904618222297894e-62,1.2924399068346612e-56,1.0432656745006355e-75,3.1201038743154215e-19,1.1000975875072316e-32,3.120103874315182e-19,8.056404978703977e-38,2.153496836964782e-64,1.453589562610874e-37,1.8397547863413095e-21,7.496210284121392e-51,3.134452424773917e-69,4.711139189672676e-35,4.8037178479953455e-49,2.4433471031926698e-60,6.934589695221835e-53,6.97509751355619e-66,8.697560605030037e-60,5.266591424078811e-44,1.6767629775204414e-64,1.2393451706776455e-52,1.2369258766628697e-64,7.382056020901095e-83,7.802499811760437e-80,5.079736965855493e-88,7.926540157671815e-22,1.1196219638048922e-49,3.026232713788831e-68,4.689663115090823e-55,1.392354760106861e-58,5.410241740776965e-35,1.839754786283778e-21,3.934128218478972e-52,6.210170524589067e-19,3.181967805271447e-36,5.348877190813744e-32,4.2973421367398484e-49,1.3892066791988335e-47,1.258081242376792e-42,7.926540157361051e-22
4.433723746417324e-19,0.3571765879756146,3.76,0.0,0.7897724444413156,1.0,5.640427507765905e-43,1.419467548477685e-18,5.873037063135228e-32,1.9066192093969367e-15,1.9066192093969367e-15,1.980525131288383e-34,1.1433110977302652e-32,1.1402647581603202e-32,1.995277014755074e-43,4.449155103150036e-43,9.428132149719486e-19,1.2246871424763551e-33,4.58449667201074e-19,5.0589458329084336e-24,1.6078960916878797e-29,4.843686066848107e-19,1.0503853369396504e-34,2.050499149769048e-33,1.934605358748593e-44,2.951878124599551e-26,1.2357307477524924e-50,8.011144244679037e-52,9.247508496313535e-32,4.522024541488889e-47,1.8065206843525192e-66,3.7115517726743365e-33,1.4505918157564132e-49,4.287996741284172e-61,1.268925164585444e-55,4.288471650766003e-74,7.131665998434862e-19,5.296496331905409e-32,7.1316659984337105e-19,3.878812199090842e-37,4.2549468524873546e-63,6.9984080255119e-37,4.205153797361784e-21,8.064076244965992e-50,6.19314981295479e-68,2.268210722419164e-34,4.7218363216828774e-48,4.833561764601902e-59,7.459915152250076e-52,6.856513319501037e-65,8.53931657741086e-59,5.1707707469669284e-43,3.647325726949556e-63,1.333230980058325e-51,2.535911244057154e-63,3.0328952117550143e-81,3.2073133486181873e-78,2.086994448231795e-86,1.8117806074652868e-21,1.1116859217082784e-48,5.979325935610349e-67,5.044925635428486e-54,1.3670221757139677e-57,2.6047985069802095e-34,4.205153797084794e-21,4.232155613446091e-51,1.4194675484774995e-18,1.5319805261142115e-35,2.5752541175547616e-31,4.219156001659451e-48,1.3639313552796692e-46,1.2351916234560096e-41,1.8117806073156672e-21
9.421662961136814e-19,0.3571765879756148,3.76,0.0,0.7897724444413134,1.0,4.9888942550996897e-42,3.0163685405154905e-18,2.5649095841932647e-31,4.051565819968483e-15,4.051565819968484e-15,8.64947356476566e-34,4.993139975059936e-32,4.979835773205391e-32,1.7647999238328795e-42,3.9352273032584206e-42,2.0034780818170976e-18,5.348530505316635e-33,9.74205542784519e-19,1.0750294247365485e-23,7.022104664417486e-29,1.0292832891875237e-18,4.587308727416895e-34,8.955068502427463e-33,1.711136531087643e-43,6.27274106620619e-26,1.093078941663748e-49,7.085766361849176e-51,4.038629913883688e-31,3.9996794965913365e-46,3.214607035657253e-65,1.620932170297222e-32,1.3032638337351224e-48,7.758151325019523e-60,1.1223499379396205e-54,1.556935807450041e-72,1.5154790246672431e-18,2.3131190995595516e-31,1.51547902466674e-18,1.6939791935045123e-36,7.571450575552074e-62,3.056388648416272e-36,8.935951819437418e-21,7.412273680955496e-49,1.1020379271565547e-66,9.905872136885074e-34,4.1786020552658146e-47,8.605868708381721e-58,6.856947258056658e-51,6.079311020820458e-64,7.552928807253861e-58,4.573488268809761e-42,6.761527205147207e-62,1.2254689661405687e-50,4.587140165444474e-62,1.1008467171569662e-79,1.1644197286180267e-76,7.575141341870464e-85,3.8500337908528186e-21,9.882118690560255e-48,1.0639891230588694e-65,4.637155929529988e-53,1.2091156612946684e-56,1.1375839421791087e-33,8.935951818227731e-21,3.8900801459862777e-50,3.016368540514681e-18,6.690561444859845e-35,1.1246811309947065e-30,3.731795718908727e-47,1.2063818372849803e-45,1.0925130017268465e-40,3.850033790199393e-21
1.9397541390575796e-18,0.357176587975615,3.76,0.0,0.7897724444413091,1.0,4.1934662253252127e-41,6.210170524592405e-18,1.0707992612420015e-30,8.34145904111155e-15,8.341459041111554e-15,3.610984936272117e-33,2.0845376799801417e-31,2.078983407005512e-31,1.4834206731526493e-41,3.307795662949108e-41,4.124807815512822e-18,2.2329061999393042e-32,2.0057172938949206e-18,2.2133100321290453e-23,2.9315904668984224e-28,2.119112654136666e-18,1.9151110923996174e-33,3.7385648197473544e-32,1.438313358061178e-42,1.2914467112980092e-25,9.188340360963316e-49,5.956013577851476e-50,1.6860484882436436e-30,3.3619716155574645e-45,5.421904622078912e-64,6.767072729647852e-32,1.1034933973037261e-47,1.3187563169802512e-58,9.434027494682723e-54,5.302962192951046e-71,3.1201038743142317e-18,9.656816902253717e-31,3.120103874312132e-18,7.072029677764722e-36,1.2770358036801526e-60,1.2759820947766175e-35,1.8397547863727427e-20,6.341355538222595e-48,1.858748067746506e-65,4.1355066194763754e-33,3.5132356266120005e-46,1.451889828538301e-56,5.866262747861032e-50,5.134929289013306e-63,6.348691759279705e-57,3.8442926318947137e-41,1.1621337687900065e-60,1.0484145010820088e-49,7.796577406548754e-61,3.7491165386994007e-78,3.9660426345716385e-75,2.5798403472528505e-83,7.926540157593171e-21,8.326095694595747e-47,1.7945732401822727e-64,3.967184708805956e-52,1.0163346149525221e-55,4.7491890247278515e-33,1.8397547858677226e-20,3.328045466913446e-49,6.210170524589027e-18,2.7931776992640956e-34,4.6953223269392996e-30,3.136799185987659e-46,1.0140366234753608e-44,9.18323004913957e-40,7.92654015486525e-21
3.9349298249453754e-18,0.3571765879756156,3.76,0.0,0.7897724444413006,1.0,3.4380569708736883e-40,1.2597774492751452e-17,4.374564376900898e-30,1.6921245483397597e-14,1.692124548339761e-14,1.4752051603694757e-32,8.516016840270122e-31,8.493325572835665e-31,1.216197892301504e-40,2.7119307319797514e-40,8.367467282925984e-18,9.122150406130341e-32,4.068740795889767e-18,4.489914944918381e-23,1.1976503610966819e-27,4.298771383809814e-18,7.823853698271875e-33,1.5273257159357737e-31,1.1792161901248233e-41,2.619791986077049e-25,7.533297126936091e-48,4.8830997803820615e-49,6.88805821680175e-30,2.7563474520460384e-44,8.905494621413907e-63,2.764570014037874e-31,9.079026813024073e-47,2.1742366206025174e-57,7.734585719634503e-53,1.7502923787072103e-69,6.329353573606109e-18,3.9451247987455734e-30,6.3293535735975316e-18,2.8891548823874516e-35,2.0975351339155974e-59,5.21280319327868e-35,3.7320739952862415e-20,5.243155134149099e-47,3.0529993692894716e-64,1.6894893921589556e-32,2.880708565426336e-45,2.385040487124353e-55,4.850339490683719e-49,4.250762480972269e-62,5.205041073896708e-56,3.1517836385263652e-40,1.9261514948845596e-59,8.668493838324635e-49,1.2853604892594436e-59,1.2373683774097583e-76,1.3090295444248815e-73,8.514573633883304e-82,1.6079552890935033e-20,6.834027758666496e-46,2.94759215986574e-63,3.280145336380491e-51,8.332525986836921e-55,1.9401986788045426e-32,3.732073993223069e-20,2.751692353048763e-48,1.2597774492737648e-17,1.1411042292939317e-33,1.9181923742996337e-29,2.571737533857842e-45,8.313684882545398e-44,7.528966790778199e-39,1.6079552879790582e-20
7.925281196720969e-18,0.3571765879756167,3.76,0.0,0.7897724444412834,1.0,2.7842276739459877e-39,2.5372982429090408e-17,1.7682688656486013e-29,3.408081836796931e-14,3.408081836796935e-14,5.963015045331537e-32,3.442310368068745e-30,3.4331379928387744e-30,9.849085851435343e-40,2.1961918165242778e-39,1.6852786217839148e-17,3.6873190448154715e-31,8.194787798975637e-18,9.04329956251437e-23,4.841094246782013e-27,8.658088842255561e-18,3.162526757869388e-32,6.173694747865892e-31,9.549598439319226e-41,5.2764827973322565e-25,6.100715399517456e-47,3.954460808426961e-48,2.7842632603934826e-29,2.2321616295454444e-43,1.4436190540876576e-61,1.1174834012088236e-30,7.365165162575634e-46,3.5310664830369216e-56,6.263668047724151e-52,5.687904491696233e-68,1.2747852972181458e-17,1.5946825207702752e-29,1.2747852972146792e-17,1.1678426006094725e-34,3.400194814003342e-58,2.1070983909484615e-34,7.516712413335223e-20,4.263646578065127e-46,4.949043820873991e-63,6.829186247963538e-32,2.333010403395641e-44,3.866498883031687e-54,3.944215535013247e-48,3.508521315920955e-61,4.215177207944685e-55,2.5523965538665527e-39,3.1362383871444705e-58,7.049075226448831e-48,2.0874380341762264e-58,4.020961545692348e-75,4.253937849114903e-72,2.766902256778345e-80,3.238557835706337e-20,5.5374809953384365e-45,4.778174638053547e-62,2.667360202327762e-50,6.747896826538599e-54,7.842593270655143e-32,7.516712404995552e-20,2.2376305272919946e-47,2.5372982429034614e-17,4.61252574167903e-33,7.753640262620846e-29,2.0826598025953714e-44,6.732637545563408e-43,6.097152458775323e-38,3.238557831201572e-20
1.5905983940272152e-17,0.35717658797561885,3.76,0.0,0.7897724444412489,1.0,2.2409886563951348e-38,5.092339830185175e-17,7.110131347443065e-29,6.839996413711126e-14,6.839996413711143e-14,2.397702060792517e-31,1.3841380214863664e-29,1.380449687194666e-29,7.927401142622276e-39,1.7676862354347102e-38,3.3823424088012846e-17,1.4826547705188696e-30,1.6446881801532082e-17,1.8150767965775227e-22,1.9465827042516342e-26,1.737672375554486e-17,1.2716381003386288e-31,2.4824155097898878e-30,7.686347619036646e-40,1.0589865466631903e-24,4.9104089009057165e-46,3.182894094349658e-47,1.119540010232814e-28,1.7966378727205403e-42,2.3249039809433014e-60,4.493351606454442e-30,5.933212165979009e-45,5.6918995928059365e-55,5.041544970465833e-51,1.8341739520929832e-66,2.5584851769298542e-17,6.412148279321458e-29,2.5584851769159157e-17,4.695843761904702e-34,5.475908838824763e-57,8.47254991360916e-34,1.5085989250321124e-19,3.4387853859825837e-45,7.970283406731001e-62,2.7459857534436206e-31,1.877864830873021e-43,6.227073545338086e-53,3.18115273992981e-47,2.930440093637512e-60,3.3927413234490924e-54,2.0543915210210961e-38,5.0619014009293587e-57,5.685334540136988e-47,3.364803899793854e-57,1.2966202662767291e-73,1.3717638803384129e-70,8.922297773512149e-79,6.499762928709852e-20,4.458287985157513e-44,7.695105291808658e-61,2.151323425443965e-49,5.431296427271024e-53,3.153472261029709e-31,1.5085989216787684e-19,1.804730091644696e-46,5.092339830162742e-17,1.854676314106906e-32,3.117704642324382e-28,1.67630591053654e-43,5.4190123920575425e-42,4.907518658539983e-37,6.499762910596393e-20
3.1867389427374524e-17,0.35717658797562335,3.76,0.0,0.7897724444411802,1.0,1.798252267543427e-37,1.0202423004770822e-16,2.8514806867105795e-28,1.3703825567538912e-13,1.3703825567538992e-13,9.615857159786583e-31,5.551013838951131e-29,5.536220664967833e-29,6.361240163883763e-38,1.4184568743334934e-37,6.776469982974972e-17,5.946108763469998e-30,3.29510697921838e-17,3.6368501444569253e-22,7.806667270645613e-26,3.481399356771469e-17,5.099837538784208e-31,9.955596518378053e-30,6.167809893061807e-39,2.1216634992393754e-24,3.940302847715608e-45,2.554072067733714e-46,4.489856158424e-28,1.4416887438983782e-41,3.731985773582284e-59,1.8020349633678814e-29,4.7630622750242e-44,9.140939142952066e-54,4.0455223315459605e-50,5.891931501374592e-65,5.1258849363398263e-17,2.5715582503407105e-28,5.125884936283927e-17,1.883243398078747e-33,8.790046138001376e-56,3.3978714250518916e-33,3.022454292784469e-19,2.7622194145986213e-44,1.2794072920697518e-60,1.1012631035352131e-30,1.5068902830346357e-42,9.995989120168055e-52,2.555274914436028e-46,2.5223758518292524e-59,2.72246123564076e-53,1.6485209716564324e-37,8.134339659975353e-56,4.566769883941926e-46,5.403694325586364e-56,4.165118062852251e-72,4.4065279005761974e-69,2.8660993753736256e-77,1.3022173113828273e-19,3.5779915987691327e-43,1.2352355714985516e-59,1.728061239263318e-48,4.358276553599228e-52,1.2646834190688318e-30,3.02245427933606e-19,1.4496573673331125e-45,1.0202423004680854e-16,7.438081543848535e-32,1.2503389998874244e-27,1.3451301062630155e-42,4.3484161176509726e-41,3.937974529462948e-36,1.3022173041185195e-19
