Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66)
0.0,0.5957140642986473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6740227526461342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.261103525819277e-22,0.5957140642986473,9.582736243019462e-28,1.4310957370746488e-30,1.7260952907881643e-38,1.1356393807314816e-39,0.0,0.0,2.4519896999395173e-22,2.4083869069479687e-40,1.3068828167801129e-52,1.5192854078635756e-52,3.953447690553961e-53,7.521659451501104e-68,2.5426315476472304e-46,3.889725601664833e-38,1.592134029721755e-22,4.977023229751672e-40,7.124325628236693e-80,5.094919094377471e-80,3.257352361951316e-54,1.1296735536322634e-39,3.626333030283898e-25,3.206680587812925e-57,4.092708982539421e-41,1.108422155693235e-56,1.0961296816404822e-41,7.097858615741242e-19,1.7058798797250076e-41,1.445662842789952e-25,6.844862510341316e-57,5.559492529359564e-63,3.436677576551661e-56,7.860740866762642e-43,3.76,0.0,0.6740227526461342,0.9999999999999996,2.218708044628889e-52,2.0192778136968836e-22,7.097858615741242e-19,1.2521252880845585e-22,4.255252579359509e-36,1.1998739945911164e-22,1.2482305247726563e-60,1.3000621562958648e-59,1.3019458957178571e-61,7.933537897607164e-66,9.08937215725288e-74,1.5921340297217552e-22,1.5261883525586734e-38,3.449285760838401e-44,6.738886190508164e-58,2.417004076250799e-56,3.6232430001613164e-51,4.016915460846175e-38,3.6263330302843233e-25,4.4317453981169904e-44,6.468596344224759e-76,4.070292751324491e-76,1.5204725253050544e-89,1.6500592809093837e-97,2.3957929212689157e-60,9.989285287819116e-81,4.2041900432543284e-58,5.066717005299153e-72,8.22170222029361e-62,1.0254302890664847e-55,7.583581625902915e-59,3.687803849329017e-76,1.0742366209267475e-61,1.0288866609974285e-102,8.681386947034177e-94,1.5094278818405832e-39,1.4456628427897727e-25,1.4091416631611262e-61,1.5217547030333733e-41,4.636798382577708e-16,1.4343984698112773e-80,2.3714579750930916e-39,3.8782789489091683e-81,-1.180485395461319e-120,2.0192778136968833e-22,2.457459223671499e-59,1.845722553015041e-81,1.4023913410962284e-42,4.898262952258231e-77,7.765463169326328e-82
2.5931089872293975e-21,0.5957140642986473,2.68316616044615e-27,4.007068063973488e-30,1.0425615556361429e-37,6.859261859757554e-39,0.0,0.0,6.865571159830656e-22,1.4546656917965746e-39,1.5515312800810887e-51,1.8036956362864305e-51,4.693533098518183e-52,8.929714100820479e-67,1.5357494547787412e-45,2.349394263405078e-37,4.4579752832209125e-22,3.0061220307703985e-39,1.593683145761894e-78,1.5852069038479277e-78,3.8671287241085335e-53,6.823228263938738e-39,1.0153732484793654e-24,3.806971193851407e-56,2.4719962254537416e-40,1.3159187832389903e-55,6.620623277108562e-41,1.987400412407548e-18,1.030351447353902e-40,4.0478559598118535e-25,8.126220772276813e-56,6.600229530856892e-62,4.483366855018229e-55,4.747887483524636e-42,3.76,0.0,0.6740227526461342,0.9999999999999987,2.6340501905854922e-51,5.653977878351275e-22,1.987400412407548e-18,3.5059508066366926e-22,2.570172557933099e-35,3.3596471848550563e-22,1.482344656647341e-59,1.637162348068574e-58,1.5456701673970823e-60,9.418697559062643e-65,2.161280946822786e-72,4.457975283220914e-22,9.218177649454381e-38,2.0833685995472983e-43,8.000405685460201e-57,2.869467239323137e-55,4.301514089783591e-50,2.4262169383509193e-37,1.015373248479622e-24,2.6767742204547507e-43,1.4881206900904507e-74,9.627616401782228e-75,6.659760696386459e-88,7.1903109322403565e-96,3.6205164098949912e-59,2.2347370718177328e-79,4.9991769822022213e-57,1.1351511881774516e-70,1.2424636395310381e-60,1.2173908391758948e-54,9.171210097148705e-58,1.0400196903723675e-74,1.623386381544495e-60,4.4834843767196864e-101,3.802499461036632e-92,9.116944406316964e-39,4.0478559598107713e-25,2.1294948813697062e-60,9.191398406295473e-41,1.2983035471179627e-15,4.509978292851983e-79,1.4323606169562086e-38,1.219392953998495e-79,6.117498214106541e-119,5.653977878351273e-22,3.713689356214762e-58,5.205224799003251e-80,8.470443700221213e-42,1.381388524744282e-75,2.189984861161386e-80
5.927106256524337e-21,0.5957140642986473,6.132951282337361e-27,9.159012718429048e-30,5.019485105613356e-37,3.3024393193762557e-38,0.0,0.0,1.5692734079612978e-21,7.003589125404719e-39,1.5233026112380443e-50,1.7708790716252452e-50,4.60813862852488e-51,8.767246256664629e-66,7.393972540555356e-45,1.131132204963413e-36,1.0189657790219225e-21,1.4473183552123705e-38,3.148849337558475e-77,3.5259933757203466e-77,3.7967699130902385e-52,3.285090693962421e-38,2.3208531393808123e-24,3.7377068931544466e-55,1.1901597721223609e-39,1.2919768646759777e-54,3.1875451142105943e-40,4.542629514074395e-18,4.960698690240285e-40,9.252242193855613e-25,7.978371742052589e-55,6.480144492225216e-61,4.5785387785322305e-54,2.2859034440545783e-41,3.76,0.0,0.6740227526461342,0.999999999999997,2.58612609682262e-50,1.2923378007660063e-21,4.542629514074395e-18,8.013601843740673e-22,1.237427450077679e-34,7.679193565382657e-22,1.4555699359198377e-58,1.648446999060477e-57,1.5175481360512733e-59,9.247335859130819e-64,4.392824273695149e-71,1.0189657790219229e-21,4.438155729240612e-37,1.0030522992531372e-42,7.854845743931942e-56,2.817259951272319e-54,4.2232520409634725e-49,1.1681190160138129e-36,2.320853139382047e-24,1.2887515617605555e-42,2.9799238300984936e-73,1.9526327714617892e-73,2.7119956172913907e-86,2.9215888899227216e-94,3.894784325376636e-58,4.415617634306668e-78,4.911710753664987e-56,2.2445517268398046e-69,1.3365856865497168e-59,1.1952415449240037e-53,9.077957170197232e-57,2.2622699952770008e-73,1.7463649899081766e-59,1.8217429352679959e-99,1.5484583220327295e-90,4.389416280392178e-38,9.252242193850402e-25,2.290813418970111e-59,4.425262676381895e-40,2.967550964823164e-15,1.0061513477840707e-77,6.896199791570447e-38,2.7203986016491014e-78,6.420563271962498e-117,1.2923378007660054e-21,3.9950096186496825e-57,1.1322494694102395e-78,4.0781540199078236e-41,3.004821774317998e-74,4.7636954255606484e-79
1.2595100795114216e-20,0.5957140642986473,1.3032521724531e-26,1.9462902029971695e-29,2.1921410193023865e-36,1.4422620137450584e-37,0.0,0.0,3.334705991917778e-21,3.058651371823947e-38,1.347343908785788e-49,1.5663224845519022e-49,4.0758464314712205e-50,7.754530028108955e-65,3.2291420655091006e-44,4.939951514106897e-36,2.1653022804215825e-21,6.32081950179066e-38,5.603209154207836e-76,6.596184854625308e-76,3.3581999910768774e-51,1.4346854131127665e-37,4.93181292118169e-24,3.305959418810982e-54,5.197740407823998e-39,1.142738905633378e-53,1.3920846956834862e-39,9.65308771740809e-18,2.166467447250722e-39,1.9661014661942952e-24,7.056779453658842e-54,5.731614418076256e-60,4.119857941967081e-53,9.983140900788578e-41,3.76,0.0,0.6740227526461342,0.9999999999999937,2.2873992456942945e-49,2.7462178266277656e-21,9.65308771740809e-18,1.7028903917947495e-21,5.404170775785889e-34,1.6318286326436745e-21,1.2875126318407074e-57,1.474343915897866e-56,1.3422541406545543e-58,8.179168687722237e-63,7.916261864556984e-70,2.1653022804215848e-21,1.938259207749504e-36,4.3805929162783947e-42,6.947522107545117e-55,2.491834522439741e-53,3.735418603394743e-48,5.1014826352720146e-36,4.9318129211870805e-24,5.628316655485969e-42,5.334789865882808e-72,3.5154878630575433e-72,9.805686753091131e-85,1.055321352419462e-92,3.579977076994529e-57,7.857481304174961e-77,4.345738231869276e-55,3.995426663298802e-68,1.2285525193763677e-58,1.0571776107910124e-52,8.058583559994015e-56,4.1938673054298527e-72,1.6052102979183825e-58,6.580406383819014e-98,5.59871747550287e-89,1.916973409937295e-37,1.9661014661920206e-24,2.1056522044337022e-58,1.9326284728119245e-39,6.306045800172835e-15,1.884410121490386e-76,3.0117516283679533e-37,5.09500550850945e-77,5.126138645534542e-115,2.7462178266277615e-21,3.672099246433278e-56,2.0989992380216807e-77,1.7810370031922021e-40,5.5704331597363677e-73,8.831088481933327e-78
2.5931089872293973e-20,0.5957140642986473,2.6831663402563137e-26,4.007068066358312e-29,9.151757231771605e-36,6.021159998583008e-37,0.0,0.0,6.865571159830803e-21,1.2769267380638374e-37,1.1325237388932078e-48,1.3165884267242001e-48,3.425994513841573e-49,6.518149734100361e-64,1.348103246559968e-43,2.0623325139959984e-35,4.457975283220894e-21,2.63881771641977e-37,9.450631222177731e-75,1.1387384147697186e-74,2.8227694392284007e-50,5.989529181356391e-37,1.015373248477538e-23,2.778858090508133e-53,2.169954302541442e-38,9.605409053690492e-53,5.811679572058501e-39,1.9874004124075478e-17,9.044575122301659e-39,4.047855959811692e-24,5.931648333656814e-53,4.8177672740764735e-59,3.490819054066682e-52,4.167764807557576e-40,3.76,0.0,0.6740227526461342,0.999999999999987,1.922696892150828e-48,5.653977878351292e-21,1.9874004124075478e-17,3.505950806635656e-21,2.2561349175757943e-33,3.359647184854046e-21,1.0822626760561753e-56,1.2457420584723075e-55,1.1282454821042824e-57,6.875092251057311e-62,1.343161927921624e-68,4.457975283220905e-21,8.091850645265984e-36,1.8288113104087325e-41,5.839810951565475e-54,2.0945370603923454e-52,3.1398444119582353e-47,2.1297685773382778e-35,1.0153732484797883e-23,2.3497114099712813e-41,9.023641264327854e-71,5.962088589358468e-71,3.333513303105445e-83,3.585977475315727e-91,3.0627454822193016e-56,1.3252892953555059e-75,3.6534042418253125e-54,6.739964429190266e-67,1.0510525458040604e-57,8.886214815750866e-52,6.785315610104526e-55,7.208186360306461e-71,1.3732912053532346e-57,2.236019295626022e-96,1.9033240256122454e-87,8.002986629516563e-37,4.0478559598021956e-24,1.801429792495171e-57,8.068343435118805e-39,1.2983035470629255e-14,3.254849865234789e-75,1.2573470183941123e-36,8.800354977448839e-76,3.6514152033807424e-113,5.6539778783512734e-21,3.1415571203094224e-55,3.60764304221523e-76,7.435478890492131e-40,9.574151349781396e-72,1.5178384747629933e-76
5.260306802665349e-20,0.5957140642986473,5.442994993320683e-26,8.128623797291046e-29,3.738791443669598e-35,2.459840325886124e-36,0.0,0.0,1.3927301495657118e-20,5.216662375925789e-37,9.285113853439175e-48,1.0794187378867219e-47,2.808837292324204e-48,5.343972962018087e-63,5.5074416374438494e-43,8.425301242173397e-35,9.043321288819488e-21,1.0780431396617326e-36,1.552269016529414e-73,1.891566174184583e-73,2.314276930824867e-49,2.4469181041080447e-36,2.0597571611930496e-23,2.2782757541317625e-52,8.86497136453157e-38,7.875094676584769e-52,2.3742607356211115e-38,4.0315836937410255e-17,3.695004054679277e-38,8.211364947046202e-24,4.863123679025102e-52,3.949896688538581e-58,2.8730591272369996e-51,1.7026679147042763e-39,3.76,0.0,0.6740227526461342,0.9999999999999737,1.576343076640142e-47,1.1469497981798374e-20,4.0315836937410255e-17,7.112071636315644e-21,9.217047296990647e-33,6.815284289273006e-21,8.873165583033888e-56,1.0239081474394242e-54,9.250038119583058e-57,5.636629344014415e-61,2.2125219462049588e-67,9.043321288819528e-21,3.3057850191761033e-35,7.471290929509594e-41,4.787829845534212e-53,1.717228028689848e-51,2.5742341502501225e-46,8.700799564791238e-35,2.059757161202243e-23,9.599337801203062e-41,1.4841925603035543e-69,9.81888295851006e-70,1.0992555140186431e-81,1.1822394343466538e-89,2.532337083454449e-55,2.1767999172336567e-74,2.995500158182304e-53,1.1071285538020868e-65,8.690305702381187e-57,7.285455788039384e-51,5.567624038962093e-54,1.1947040268832367e-69,1.1354637254340422e-56,7.371798081505319e-95,6.276379422694373e-86,3.2694811691801084e-36,8.211364947007403e-24,1.4894569886805114e-56,3.296181556650102e-38,2.6337014810570404e-14,5.407981731689311e-74,5.136672832368571e-36,1.4621921415091525e-74,2.4633792423129598e-111,1.1469497981798297e-20,2.5974997503190406e-54,5.97940349495363e-75,3.037635740468013e-39,1.5868453727283704e-70,2.5157059589277045e-75
1.0594702433537252e-19,0.5957140642986473,1.0962653569281198e-25,1.6371735275998304e-28,1.5112792796678806e-34,9.94306789875071e-36,0.0,0.0,2.805076216731079e-20,2.108658339604654e-36,7.519325931299797e-47,8.741412809533019e-47,2.2746692633499623e-47,4.32768785647019e-62,2.226195966261376e-42,3.405641471039805e-34,1.8214013300016547e-20,4.3576227348004674e-36,2.516294969033009e-72,3.083360519455048e-72,1.8741614602621407e-48,9.890834205343186e-36,4.1485249866111674e-23,1.8450067739820656e-51,3.5833631642377462e-37,6.377455844712674e-51,9.597141505014227e-38,8.119950256407981e-17,1.4935797169332429e-37,1.6538382921514082e-23,3.9382836402635316e-51,3.1987287463855783e-57,2.331095657801757e-50,6.88245594441247e-39,3.76,0.0,0.6740227526461342,0.9999999999999469,1.276563492919786e-46,2.3100538188692652e-20,8.119950256407981e-17,1.4324313295668305e-20,3.725677885348762e-32,1.3726558498103792e-20,7.185768324464131e-55,8.3021398934204e-54,7.490920692806922e-56,4.564710189495839e-60,3.5916920459778853e-66,1.8214013300016712e-20,1.3362511597059705e-34,3.0200152494153302e-40,3.8773087432820545e-52,1.3906557797457785e-50,2.084681556266562e-45,3.5170022978964887e-34,4.1485249866483283e-23,3.880205819062029e-40,2.4075842418195406e-68,1.5937723831894132e-68,3.570643995887878e-80,3.8397638575581066e-88,2.059254417184775e-54,3.528693126319064e-73,2.4259209069951893e-52,1.794772938541751e-64,7.066812272296107e-56,5.899950984705343e-50,4.510646232678713e-53,1.945265800972838e-68,9.233402442185323e-56,2.3942665941438314e-93,2.0387176789313152e-84,1.3215765630882224e-35,1.6538382921357253e-23,1.2112016869339022e-55,1.3323692864778575e-37,5.3044973486565937e-14,8.816375127433445e-73,2.076325287175103e-35,2.3837422287771095e-73,1.618339800373723e-109,2.3100538188692348e-20,2.1122434892746235e-53,9.73590831410828e-74,1.2278609339140702e-38,2.5837663266914e-69,4.09617499995429e-74
2.1263493695281058e-19,0.5957140642986473,2.200197580052932e-25,3.285795830078001e-28,6.076787515103432e-34,3.998063876425968e-35,0.0,0.0,5.62976835106223e-20,8.47882244138801e-36,6.052207676003481e-46,7.03584953402751e-46,1.830851714895605e-46,3.483299687177399e-61,8.951436068607491e-42,1.369393456930685e-33,3.6555397322410153e-20,1.7521809361576961e-35,4.052415479168731e-71,4.979340414354449e-71,1.5084881915791579e-47,3.9770609324939636e-35,8.326060637395784e-23,1.4850219636598298e-50,1.4408545681335177e-36,5.133131289938917e-50,3.858968389406329e-37,1.629668338174189e-16,6.0056183517652315e-37,3.319241887044529e-23,3.169873296606291e-50,2.5746151782345747e-56,1.878033293199336e-49,2.7674052651073964e-38,3.76,0.0,0.6740227526461341,0.9999999999998935,1.027489357619639e-45,4.6362618602481676e-20,1.629668338174189e-16,2.8748796614344396e-20,1.4980786915703471e-31,2.7549106915736836e-20,5.783750981396535e-54,6.686385267600129e-53,6.02934466916011e-55,3.6741106638568824e-59,5.7883877165665e-65,3.6555397322410833e-20,5.373007142716337e-34,1.2143348493149422e-39,3.120795397240409e-51,1.1193207558088767e-49,1.6779330794651244e-44,1.4141711556393904e-33,8.326060637545205e-23,1.5602136937653367e-39,3.8786549618293334e-67,2.568391872582971e-67,1.1511684493984908e-78,1.2378628783733303e-86,1.660863271932084e-53,5.682856837411355e-72,1.9526270340979986e-51,2.890482337877861e-63,5.699640110566579e-55,4.748793835586401e-49,3.631295460171134e-52,3.139666845490749e-67,7.447073572595817e-55,7.718635436782909e-92,6.572784830375094e-83,5.314001235122588e-35,3.319241886981469e-23,9.768780393301298e-55,5.35739830016008e-37,1.0646089082300997e-13,1.423846938269104e-71,8.348812659620423e-35,3.8497500663720805e-72,1.0493191769887317e-107,4.636261860248044e-20,1.703600827948601e-52,1.57137950974989e-72,4.93717481198251e-38,4.170209268302829e-68,6.611242964616326e-73
4.260107621876867e-19,0.5957140642986473,4.408064058033393e-25,6.583040461981214e-28,2.4370635845501154e-33,1.6034024366674906e-34,0.0,0.0,1.1279152619726199e-19,3.400387023599529e-35,4.8565155051415285e-45,5.645826179525566e-45,1.4691431981856036e-45,2.7951286283371005e-60,3.58992622621584e-41,5.491880238332273e-33,7.323816536719534e-20,7.027029236194311e-35,6.505024333460282e-70,8.003908521979725e-70,1.2104667724713009e-46,1.5949793123235614e-34,1.6681131938758529e-22,1.1916366024162618e-49,5.778471256149889e-36,4.119014586851126e-49,1.547618920733123e-36,3.265014963240971e-16,2.4085215669029726e-36,6.650049076828947e-23,2.5436236888616306e-49,2.0659665369840602e-55,1.507708832505287e-48,1.1098532865338112e-37,3.76,0.0,0.674022752646134,0.9999999999997867,8.244955004765053e-45,9.288677943006162e-20,3.265014963240971e-16,5.75977632515796e-20,6.007965585254138e-31,5.51942037508888e-20,4.641103703657527e-53,5.367042261184897e-52,4.8381693824859895e-54,2.948298241849589e-58,9.294906717717809e-64,7.323816536719808e-20,2.154816177847012e-33,4.8700258705667404e-39,2.5042417693239906e-50,8.981844140989564e-49,1.3464356233919412e-43,5.6714588375684246e-33,1.6681131939357781e-22,6.257154732107896e-39,6.227151857073839e-66,4.12417392592951e-66,3.697501381876913e-77,3.9758489888896965e-85,1.3340956947962909e-52,9.12224806520657e-71,1.5668741480809652e-50,4.639908967274599e-62,4.5782608967000186e-54,3.810607982800137e-48,2.9141796921491063e-51,5.045360334071574e-66,5.981894482740679e-54,2.479121834611969e-90,2.1111489811110284e-81,2.131152169793392e-34,6.650049076576052e-23,7.846815661344995e-54,2.1485563330276377e-36,2.1329272543370982e-13,2.288792368912024e-70,3.348247286274962e-34,6.188360794131074e-71,6.759450179959422e-106,9.288677943005662e-20,1.3684248038990282e-51,2.525164673496914e-71,1.9800279201453897e-37,6.701414342072326e-67,1.0624089961034662e-71
