Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293)
0.0,0.05429897449998387,3.76,0.0,0.7378404621241172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.246114375405594e-17,0.05429897449998387,3.76,0.0,0.7378404621241169,1.0,7.632621869191179e-38,2.7527920274021248e-21,1.283969275472727e-29,3.335383849658555e-16,3.335383849658556e-16,3.235576701873321e-36,2.996504891197677e-26,7.491231112892196e-35,2.3034793880520913e-42,5.971521449919499e-40,1.6815503266698496e-18,1.6546505453378178e-31,9.988218211497884e-19,5.607332718827892e-26,5.1967914327512835e-27,6.827285479004289e-19,1.1170378396956625e-35,4.253833338603239e-33,1.1811988702314101e-43,1.556185012292591e-29,4.445069457350265e-43,1.6429587800767368e-48,3.2947350311037444e-27,1.5039958907652283e-44,5.528974668082634e-59,5.3645794097274344e-30,1.805720380106e-43,1.3509554399287473e-51,5.930417080119638e-54,5.7801642764926924e-61,7.706540844966689e-21,7.47085404575984e-30,7.70654085110219e-21,1.764945191150472e-38,1.9553586445751742e-60,1.3135345178417012e-38,2.533074515682181e-24,3.351652618506687e-52,1.559075996176557e-68,1.12030597935692e-34,1.677246440748833e-45,3.5253865022292426e-51,1.0362965530150484e-52,2.368870008950623e-65,9.818782300140032e-57,6.931511168376399e-40,2.4661198499631703e-51,6.6207485826268935e-52,2.9728468250497114e-54,2.6803222167306604e-73,2.913387820463556e-65,5.935575029705261e-78,8.53146294640147e-25,1.3747332759945101e-46,5.783419936694436e-64,4.812574226888671e-53,3.0407633092549846e-57,1.3662450246630111e-35,2.5330742648830353e-24,3.7388235398016116e-51,2.7527920271354613e-21,5.445289047415403e-37,2.2759151660827275e-31,3.0794499400221767e-44,1.3065971596795976e-42,1.6568404816944007e-38,8.53146197689499e-25,1.163422176506062e-67,1.9222930806402958e-41,9.248310025482289e-69,3.273976557226456e-69,6.657343078245757e-52,4.690228385714841e-71,8.425058481207961e-64,1.0875303828769978e-30,5.337330118113125e-57,5.858434598883102e-52,1.3581256630866738e-72,1.3987930145946522e-73,1.2209116779653992e-66,9.720640028911954e-83,2.4626336858936613e-52,2.996504631838519e-26,1.1234026129235751e-72,2.0943082058241306e-65
2.0289120251135665e-16,0.054298974499983874,3.76,0.0,0.7378404621241164,1.0,9.061448612208114e-37,7.707817677589933e-21,7.755174359151871e-29,9.33907477904395e-16,9.339074779043956e-16,1.9542849188492085e-35,8.390213752192224e-26,4.5247035199565174e-34,2.7346906779078534e-41,7.089389200611146e-39,4.708340931319537e-18,9.994089323318502e-31,2.796701078428469e-18,1.5719841663519198e-25,3.138862010033107e-26,1.9116399273840086e-18,6.746908519047647e-35,2.569315512046356e-32,1.4023192786307352e-42,4.3573560144780026e-29,2.684844439563634e-42,1.9505207092688365e-47,1.990019943163891e-26,1.7855439117571793e-43,1.2368095179194736e-57,3.2402059441360914e-29,1.0909282642490667e-42,1.60422214841818e-50,7.040591130202091e-53,1.2932829241534787e-59,2.157831434162596e-20,4.512395839401256e-29,2.1578314378684396e-20,1.06602699072896e-37,4.374056060954324e-59,7.933747973126313e-38,7.092608719102767e-24,5.064913049859517e-51,3.487590681053656e-67,6.76664809637892e-34,1.9912306965253684e-44,5.331246368555677e-50,1.5660540333293834e-51,3.641242954181519e-64,1.1656846777567984e-55,8.229210147217312e-39,3.7268003169915615e-50,1.0005275257102208e-50,3.5300924610094103e-53,5.996956196681827e-72,6.51855663470401e-64,1.3280262811914737e-76,2.3888096248886178e-24,1.6321533046277366e-45,1.2937279001477494e-62,7.272957285265367e-52,3.6100131522030065e-56,8.252119948666558e-35,7.092607204276046e-24,5.650117722837316e-50,7.707817675979286e-21,3.288954584641399e-36,1.3746525343200902e-30,3.656014257883466e-43,1.5511909574807632e-41,1.966999510463306e-37,2.3888090393067683e-24,3.657985839907341e-66,1.1610649037407606e-40,2.907815225022055e-67,1.029405344968159e-67,1.0060576513556897e-50,1.4757604152160895e-69,2.648973174640816e-62,6.568683507870604e-30,6.337943525316167e-56,8.853246858646054e-51,8.262140997210452e-71,8.509540944966401e-72,3.838741424992748e-65,5.602878050976921e-81,5.508808801283707e-51,8.390212185600634e-26,3.5323201877536154e-71,6.584840126940595e-64
4.637513200259581e-16,0.05429897449998388,3.76,0.0,0.7378404621241151,1.0,8.896583830952703e-36,1.761786898142148e-20,3.733782556019591e-28,2.1346456637814723e-15,2.134645663781475e-15,9.40900591299083e-35,1.917763170203534e-25,2.1784498992834988e-33,2.6849354147776998e-40,6.960402101353776e-38,1.0761922207194739e-17,4.8117238300594765e-30,6.392459509822077e-18,3.60220997536622e-25,1.5112269256210706e-25,4.3694626594023956e-18,3.2483459887414253e-34,1.2370149981607344e-31,1.3768053408069045e-41,9.959849964789757e-29,1.2926599290643802e-41,1.9150328952721657e-46,9.581089236108124e-26,1.753057580022118e-42,2.4437271896037917e-56,1.5600196633398182e-28,5.255132174294786e-42,1.5758139932272873e-49,6.912494063905806e-52,2.5565341370663747e-58,4.9321861237821414e-20,2.1725243501504307e-28,4.932186141624183e-20,5.132462017469546e-37,8.642384657933805e-58,3.819757605927354e-37,1.621167742671457e-23,5.448566287065847e-50,6.89089160590114e-66,3.2578497595640805e-33,1.955003712739585e-43,5.745326328190977e-49,1.684696910185674e-50,5.330699941518423e-63,1.1444736783659877e-54,8.079741690428606e-38,4.0091217167485165e-49,1.076321855248588e-49,3.4674092553481975e-52,1.18540886601131e-70,1.288572968550797e-62,2.6250885888469387e-75,5.460136284970382e-24,1.602488436444378e-44,2.5561882921986078e-61,7.824349542745578e-51,3.544372460303177e-55,3.973040531272959e-34,1.621167013347721e-23,6.078159856442144e-49,1.7617868973666913e-20,1.58349005499207e-35,6.61835791306125e-30,3.5896898457985926e-42,1.5229659588059336e-40,1.9312085863159878e-36,5.4601334656465054e-24,8.160766932068183e-65,5.5900265240125875e-40,6.487168263231318e-66,2.2966727752268803e-66,1.0822708302634444e-49,3.297432949310192e-68,5.909713371418737e-61,3.1625383463466116e-29,6.225734139925769e-55,9.52387276546413e-50,3.729925210357079e-69,3.8416139808211343e-70,8.564019120079839e-64,2.5128070186406496e-79,1.0884459505543287e-49,1.9177624158936903e-25,7.881205623676688e-70,1.4690416314958218e-62
9.85471555055161e-16,0.05429897449998391,3.76,0.0,0.7378404621241127,1.0,7.86892738073061e-35,3.7437971602908317e-20,1.630640879560095e-27,4.536122035535618e-15,4.536122035535629e-15,4.10912957115368e-34,4.0752468517130546e-25,9.513862393802455e-33,2.3747947740277526e-39,6.156392822600274e-37,2.2869085025248437e-17,2.1014062382700252e-29,1.358397603995431e-17,7.69355767174379e-25,6.599924881689776e-25,9.285108015644083e-18,1.4186380056730563e-33,5.402371060738424e-31,1.2177686563506018e-40,2.116544585482452e-28,5.645586762551593e-41,1.693825080437119e-45,4.1843132473488135e-25,1.5505595400102734e-41,4.3484819747050984e-55,6.8130155505950145e-28,2.297498763340652e-41,1.395175715426471e-48,6.114022615086657e-51,4.5535954939909483e-57,1.0480895464172e-19,9.487984572430845e-28,1.0480895542092882e-19,2.2414818282485284e-36,1.5378615164784883e-56,1.6681880399709456e-36,3.444981604502071e-23,5.008157861700113e-49,1.226197388147471e-64,1.4227885644303384e-32,1.7291792407393505e-42,5.3002346854950385e-48,1.5485407669074173e-49,7.83811925634718e-62,1.0122696482297557e-53,7.146892524001029e-37,3.685073567344441e-48,9.893252184776332e-49,3.069630048439448e-51,2.111199987654738e-69,2.2951491110101615e-61,4.6752535388283074e-74,1.1602789603473195e-23,1.4173950227518733e-43,4.548600393679232e-60,7.192724571962326e-50,3.13502870805806e-54,1.7351311808600267e-33,3.444978419354777e-23,5.58691581210613e-48,3.743797156904208e-20,6.915517090255161e-35,2.890408758022552e-29,3.175383999189797e-41,1.3470416576795918e-39,1.708126436825335e-35,1.1602777290750906e-23,1.5284219873176628e-63,2.4413103994414297e-39,1.2149719903793127e-64,4.301881263924257e-65,9.947932001720734e-49,6.194885616056201e-67,1.1068238873170362e-59,1.3811635789587646e-28,5.51211244520145e-54,8.7539944447792e-49,1.408348656863723e-67,1.4505206717306274e-68,1.6039453216474994e-62,9.454295986105866e-78,1.9368248453144157e-48,4.075243556886487e-25,1.4763608362418932e-68,2.751352477304517e-61
2.0289120251135665e-15,0.05429897449998396,3.76,0.0,0.7378404621241079,1.0,6.614307152542618e-34,7.707817690117692e-20,6.807604195944035e-27,9.33907477904388e-15,9.33907477904393e-15,1.715455211790162e-33,8.390214584089987e-25,3.9718497284419987e-32,1.9961577726250717e-38,5.174812368613164e-36,4.708341172656892e-17,8.772957602600026e-29,2.7967007769598956e-17,1.599983736225332e-24,2.755338603530821e-24,1.9116398296947135e-17,5.922534169357825e-33,2.2553848847653094e-30,1.0236078042648512e-39,4.357907123771857e-28,2.3570895225529547e-40,1.4237623294454184e-44,1.74686829555357e-24,1.303338659735801e-40,7.334350467001154e-54,2.844299733254555e-27,9.612034355231629e-41,1.1750610269963608e-47,5.139204232315209e-50,7.695084460189328e-56,2.1578313989554786e-19,3.96104675594613e-27,2.157831431485913e-19,9.35775226785224e-36,2.5938125088917598e-55,6.964352834408175e-36,7.092609809396299e-23,4.2845791064942534e-48,2.0681612703689095e-63,5.939862038372793e-32,1.453479510199434e-41,4.567624677499896e-47,1.3248333977480029e-48,1.1842270148178739e-60,8.508662993133434e-53,6.0081550189814114e-36,3.152658018947829e-47,8.463885525600061e-48,2.584828251091161e-50,3.5670172608968745e-68,3.878536844975406e-60,7.899161692820138e-73,2.388809623383598e-23,1.1914107020805044e-42,7.671879078388197e-59,6.154895657683507e-49,2.63530065243778e-53,7.243831116605238e-33,7.092596512042331e-23,4.779792401623915e-47,7.707817675979204e-20,2.8870922529733405e-34,1.2066870684479032e-28,2.669680249785725e-40,1.1322621322708312e-38,1.4357736245821982e-34,2.388804483069247e-23,2.639971165601084e-62,1.0191981596820648e-38,2.0985521956957111e-63,7.432039018929467e-64,8.510662670376168e-48,1.0766354440580913e-65,1.911762937887556e-58,5.766086024358632e-28,4.642550863947717e-53,7.489080259992717e-48,4.886214816893579e-66,5.032532321823434e-67,2.770414328752011e-61,3.273812249328604e-76,3.266716027755841e-47,8.39020082418008e-25,2.5510769234144455e-67,4.752277479715654e-60
4.115792965230377e-15,0.05429897449998405,3.76,0.0,0.7378404621240983,1.0,5.4228078862771435e-33,1.5635858771889386e-19,2.7811280452332337e-26,1.8944980266060278e-14,1.8944980266060486e-14,7.00798593356687e-33,1.7020151551829824e-24,1.6226297708644018e-31,1.6365702084129447e-37,4.2426127605903155e-35,9.551206939006173e-17,3.5840396153888366e-28,5.673306590641013e-17,3.310673380915808e-24,1.1256456302165672e-23,3.87789771348321e-17,2.4195482555959907e-32,9.213993896494517e-30,8.392153126856283e-39,8.84160695762295e-28,9.630854207409511e-40,1.1672868512520879e-43,7.136526021566854e-24,1.0685556762053882e-39,1.2046692761558748e-52,1.1619891300484125e-26,3.943524705440243e-40,9.672099260226892e-47,4.213429843317756e-49,1.2687755265288367e-54,4.377315041873265e-19,1.6182168196764405e-26,4.377315174770703e-19,3.822952750935437e-35,4.2602932008947804e-54,2.8451622286525075e-35,1.4387868144116714e-22,3.542570228546288e-47,3.3969615909127997e-62,2.426627339855473e-31,1.1916502724859989e-40,3.831494291178047e-46,1.0954378807182983e-47,1.8324308247265452e-59,6.975795727866712e-52,4.927096791884561e-35,2.6066786131111637e-46,6.998104216113076e-47,2.1267735103418206e-49,5.879106081774544e-67,6.3949252136467675e-59,1.301928365687368e-71,4.8458709467990235e-23,9.767923202178358e-42,1.2601083362410433e-57,5.0912498331513595e-48,2.1607756850358457e-52,2.9593413697005624e-32,1.4387813820160355e-22,3.952137846318355e-46,1.5635858714129055e-19,1.1794713888548344e-33,4.929696594303479e-28,2.18971410893832e-39,9.282845292684301e-38,1.1771182729406164e-33,4.845849946977109e-23,4.3863591339535614e-61,4.1637498895747213e-38,3.486743377879366e-62,1.2353786421789989e-62,7.036776180932731e-47,1.810857278195142e-64,3.1764224489584915e-57,2.3556342549388135e-27,3.821476276528592e-52,6.191874461140132e-47,1.6273129304832968e-64,1.6760448965052241e-65,4.603077066904951e-60,1.089231698078696e-74,5.365518065309348e-46,1.7020095300045888e-24,4.242077831169563e-66,7.895981066649977e-59
8.289554845464e-15,0.05429897449998424,3.76,0.0,0.7378404621240789,0.9999999999999999,4.391529228411424e-32,3.149194102390467e-19,1.1241761025759779e-25,3.8156791240092576e-14,3.8156791240093416e-14,2.8325715363944714e-32,3.42800317036886e-24,6.558925400895796e-31,1.325336116987248e-36,3.435759883741578e-34,1.923694017604495e-16,1.4487262620634315e-27,1.1426516089012892e-16,6.929787396545687e-24,4.5500388541631846e-23,7.810412791171871e-17,9.780199283717128e-32,3.7244523253913674e-29,6.796179797764428e-38,1.7812916183536107e-27,3.894056412943518e-39,9.45299922983054e-43,2.884697149183166e-23,8.653439264485067e-39,1.9528208404405367e-51,4.6969448941210975e-26,1.6075330598609827e-39,7.894652097595215e-46,3.4121442677024137e-48,2.072482254411748e-53,8.81628207907377e-19,6.541090906344443e-26,8.816282616266442e-19,1.545303163686537e-34,6.90595146999399e-53,1.1500575200854225e-34,2.8978392513284934e-22,2.880757385150693e-46,5.5066227253580846e-61,9.808814756265688e-31,9.65029087330091e-40,3.2050060021009134e-45,8.908569744677152e-47,2.8791783079057544e-58,5.648985456696497e-51,3.992112522794608e-34,2.119707752056529e-45,5.69074210753252e-46,1.7345857087312248e-48,9.596000670586803e-66,1.0445609640662497e-57,2.1250348752909596e-70,9.759993583001379e-23,7.91032388486899e-41,2.04268957079101e-56,4.1438005456223955e-47,1.7501712369382554e-51,1.1962130959577425e-31,2.897817292776128e-22,3.2139967754907376e-45,3.1491940790428173e-19,4.767611935120396e-33,1.9926510155656902e-27,1.774824193937376e-38,7.517288359216794e-37,9.532354836953645e-33,9.759908698682576e-23,7.150897092132201e-60,1.6830484984009309e-37,5.6841658116547105e-61,2.0157205593723608e-61,5.722182541123615e-46,3.0239245711281956e-63,5.178369414812223e-56,9.521850059415125e-27,3.119404955132569e-51,5.034736062292027e-46,5.311816448955118e-63,5.470899594130615e-64,7.5041520280489975e-59,3.553635967520848e-73,8.69749991672516e-45,3.427980401726501e-24,6.926826078375909e-65,1.2872445105798492e-57
1.6637078605931244e-14,0.05429897449998463,3.76,0.0,0.7378404621240403,0.9999999999999997,3.534682855862574e-31,6.32041058818228e-19,4.520260094222901e-25,7.658041318815515e-14,7.658041318815857e-14,1.1388291312810649e-31,6.87998185084023e-24,2.6373121862235283e-30,1.0667444101173976e-35,2.7653696006268747e-33,3.8608413467479446e-16,5.8252657538563814e-27,2.2932926569802397e-16,1.4958953531960567e-23,1.8295500015379357e-22,1.5675440186996818e-16,3.93257381600217e-31,1.497592874281631e-28,5.470151305404833e-37,3.577125710089364e-27,1.5666765472716212e-38,7.608608517653793e-42,1.159923415512265e-22,6.965038107075862e-38,3.1449578614783024e-50,1.8886201155105684e-25,6.572364873714556e-39,6.45400517147543e-45,2.746389816021147e-47,3.388374329489828e-52,1.769421515893461e-18,2.630143716281376e-25,1.769421731896258e-18,6.213632550089926e-34,1.112128280459083e-51,4.6243102565277855e-34,5.815947205052751e-22,2.323433076559339e-45,8.868251297391117e-60,3.944080520222314e-30,7.767389953199413e-39,2.729006389191064e-44,7.186134119538622e-46,4.562836138842892e-57,4.546481418552733e-50,3.216453864345932e-33,1.7096210848443103e-44,4.5897896396621917e-45,1.4158964977633446e-47,1.5665731999566898e-64,1.7077289805946417e-56,3.469177205487139e-69,1.9588238812892373e-22,6.366917912892291e-40,3.289687473106802e-55,3.348062605606945e-46,1.4092036961162484e-50,4.809920235638123e-31,5.815858911156809e-22,2.5925015181366005e-44,6.320410494302412e-19,1.917035790488434e-32,8.01227229047578e-27,1.4310068549454745e-37,6.050245028678556e-36,7.672059407873689e-32,1.9587897499344849e-22,1.154879750320443e-58,6.767417509859394e-37,9.179600919326276e-60,3.2610190718528344e-60,4.6151362517627136e-45,5.115465381706781e-62,8.36307764430444e-55,3.8286938432477507e-26,2.5504963218044996e-50,4.060062560544244e-45,1.7166847101757516e-61,1.7681066128378258e-62,1.2119143700452834e-57,1.1481751925934193e-71,1.400629512469023e-43,6.879890051663709e-24,1.1222917170299579e-63,2.078904333311875e-56
3.333212612686574e-14,0.054298974499985386,3.76,0.0,0.737840462123963,0.9999999999999993,2.8363573014010882e-30,1.2662843701320931e-18,1.812824409044346e-24,1.5342765708427223e-13,1.5342765708428593e-13,4.566128296534375e-31,1.3783951120562443e-23,1.0576778411310005e-29,8.55992963538353e-35,2.2189886348907153e-32,7.735138731974451e-16,2.3361930482400357e-26,4.59457134676219e-16,3.418103181272116e-23,7.337308900270504e-22,3.1405483940444967e-16,1.5771369452772088e-30,6.006073184582662e-28,4.389443177756317e-36,7.17515026546327e-27,6.290241053451397e-38,6.105448974337485e-41,4.65180670513341e-22,5.589000192963907e-37,5.048354191957244e-49,7.574205205115702e-25,2.7228751731653337e-38,5.338942231020453e-44,2.2038036773145546e-46,5.601878193805776e-51,3.545007734049653e-18,1.0548051312121508e-24,3.545008600317358e-18,2.4919738353031835e-33,1.7850391262930788e-50,1.854538837343555e-33,1.1652175432060955e-21,1.8663047685861303e-44,1.4235523911554109e-58,1.5817520883184524e-29,6.232835132533928e-38,2.423511484967678e-43,5.773980393729556e-45,7.263116867035254e-56,3.647761938812082e-49,2.5862237544210897e-32,1.3732606142703218e-43,3.6867685916752477e-44,1.1678656286671703e-46,2.582651869705882e-63,2.8231271449998172e-55,5.719283955957443e-68,3.9244729102621726e-22,5.109048674978306e-39,5.280673392905493e-54,2.6988843711644403e-45,1.1316215106429027e-49,1.9289931339310053e-30,1.1651821337876553e-21,2.082914836688155e-43,1.2662843324820678e-18,7.688170935838839e-32,3.2132075175103416e-26,1.1522626129119214e-36,4.854422887729289e-35,6.155688097720545e-31,3.9243360303213333e-22,1.8564610582182232e-57,2.7139998217976862e-36,1.4754840810937072e-58,5.260076190356547e-59,3.7071103173189923e-44,8.968244878262564e-61,1.3443394081643354e-53,1.5354773236486788e-25,2.1103947623435644e-49,3.260244224697842e-44,5.520584169634924e-60,5.6860070526884533e-61,1.9480906346334412e-56,3.691833334015547e-70,2.2480764814071098e-42,1.3783580979898747e-23,1.815648865958601e-62,3.341781254506443e-55
