Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934),C2H3F(191),S(5865),S(2726),S(9381),S(2727)
0.0,0.5337749842935401,3.76,0.0,0.7897807344890584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.588646432027358e-18,0.5337749842935401,3.76,0.0,0.7897807344890581,1.0,2.6541712652100167e-42,1.447431504671509e-20,3.430279988261302e-32,3.4460119160435267e-16,3.4460119160435267e-16,1.0001977440843525e-36,1.7965919240155751e-25,1.0079040715821772e-34,2.8032238867884967e-44,2.830020877062571e-43,1.5443825918008833e-19,4.035464855440162e-34,8.598110765511466e-20,1.313869105452897e-25,5.604616649139069e-30,6.845728290025948e-20,1.4875911162275055e-36,2.451761029154122e-34,1.8032806464714357e-45,2.4280942139533995e-29,3.534275607125708e-42,6.578786058490015e-52,4.3582427322222046e-31,1.621993042010716e-47,2.5530296932324277e-65,6.163811360172316e-33,1.5743262486130664e-42,1.00032290163683e-52,2.556646592658281e-57,1.595941293885572e-64,2.387867183913974e-20,2.789359421583742e-32,2.3878671839146812e-20,4.034112051837255e-39,2.6237497847437983e-64,2.465436085134525e-39,1.330616303275772e-23,1.0848749600173092e-52,8.601204161330033e-71,1.1008839421811817e-35,2.3328783066663397e-49,1.3362474774899193e-52,2.658130123877921e-54,5.581574449222641e-68,8.521929219780349e-61,3.2898405213992094e-43,4.398661682961178e-52,1.0881731521189184e-52,3.28197892007842e-55,2.186341164150258e-74,6.855819261895126e-69,1.4820537639151888e-79,4.7028730039772715e-24,2.700920875893424e-50,5.5035455103089616e-68,1.955079151302682e-56,4.72581098911222e-60,1.7381820140825156e-36,1.3306163019919036e-23,1.2232253370391355e-52,1.4474315046697222e-20,1.2164335291518728e-37,1.1180841282016793e-32,1.5308560364810614e-48,6.214251988882665e-47,7.847475873696458e-42,4.702872998594558e-24,6.777864125831209e-70,6.598889437012604e-42,8.173609687739641e-71,2.1111004492726216e-71,2.723647487252232e-53,2.776598571727388e-74,1.6809439698428262e-67,4.355805831545194e-33,5.599199513341577e-58,2.357387392091142e-53,6.443323064409288e-76,4.651978339819052e-77,9.254138899342346e-68,1.7332615828443317e-84,4.401331637083553e-58,1.7965919195736841e-25,6.941035981649447e-76,5.512028882518274e-70,1.7485569407699243e-64,3.284699878590599e-41,2.2324959968483495e-71,2.479056972515846e-68,2.560220497378863e-72,1.8849248454259888e-68
1.8448210009676604e-17,0.5337749842935401,3.76,0.0,0.7897807344890574,1.0,3.1510321260750293e-41,4.052808213086013e-20,2.0718891129803904e-31,9.648833364921866e-16,9.648833364921866e-16,6.041194254423456e-36,5.030457390635491e-25,6.087740591435825e-34,3.327987397802343e-43,3.3598007804587596e-42,4.324271257144803e-19,2.4374207727339565e-33,2.4074710142314956e-19,3.6789127303583095e-25,3.385188455952571e-29,1.916803921123899e-19,8.985050341719849e-36,1.480863662447691e-33,2.1408547831948255e-44,6.798667434770269e-29,2.1347024630112365e-41,7.810334800039404e-51,2.632378609852409e-30,1.925630139409627e-46,5.711025293050015e-64,3.722942061405804e-32,9.508930567931581e-42,1.1875833518302289e-51,3.035250834704424e-56,3.5700568449771745e-63,6.68602811494955e-20,1.6847730906345523e-31,6.686028114953821e-20,2.436603683160763e-38,5.869223265215467e-63,1.4891233931578856e-38,3.7257256497092986e-23,1.639460362594756e-51,1.9240549850830024e-69,6.649339010232444e-35,2.770430019132616e-48,2.019337233999157e-51,4.016966258898789e-53,6.855477695128633e-67,1.0117234328251892e-59,3.90569972738079e-42,6.64725753528922e-51,1.644447267472524e-51,3.8963653815342014e-54,4.890757739675314e-73,1.5336193406422916e-67,3.315294995741828e-78,1.3168044411100976e-23,3.2226774604530905e-49,1.2311211294754887e-66,2.95451788078768e-55,5.6104851071318545e-59,1.0498619365035449e-35,3.725725641954735e-23,1.8485381294669737e-51,4.0528082130752205e-20,7.347258516077933e-37,6.753228123783562e-32,1.8174325739019265e-47,7.377559918107964e-46,9.31652323732164e-41,1.316804437858939e-23,2.1310689550190916e-68,3.985729216147612e-41,2.5699136428034674e-69,6.637638568303377e-70,4.115976077889481e-52,8.731595539189677e-73,5.285156792033838e-66,2.6309067221826717e-32,6.647369779591582e-57,3.562483744614045e-52,3.919787853338884e-74,2.8300254406009675e-75,2.9096493348017446e-66,9.987902804286852e-83,9.845602688830619e-57,5.030457363806465e-25,2.1824035575500263e-74,1.7330700763786327e-68,4.931202575644341e-63,1.983958722429808e-40,7.019324664664055e-70,7.794551770895714e-67,8.049742714354798e-71,5.926505301830037e-67
4.216733716497509e-17,0.5337749842935402,3.76,0.0,0.7897807344890562,1.0,3.0937020267834363e-40,9.26356162993817e-20,9.975254206922326e-31,2.2054476262678533e-15,2.2054476262678533e-15,2.908574860028257e-35,1.149818833744288e-24,2.9309850387801844e-33,3.267437760577507e-42,3.2986723194553667e-41,9.884048588241957e-19,1.1735131800341465e-32,5.502790889145338e-19,8.409316920529845e-25,1.629822521378501e-28,4.381266105033045e-19,4.325914965547324e-35,7.129721085359202e-33,2.101903920609312e-43,1.5539828419225635e-28,1.0277673410089108e-40,7.668233003096037e-50,1.2673769859155135e-29,1.8905950895646555e-45,1.1284023547787288e-62,1.792436343330698e-31,4.578140770096342e-41,1.1659763833932668e-50,2.98002726809408e-55,7.053830754693332e-62,1.5282349976982388e-19,8.111457197935109e-31,1.5282349977002952e-19,1.1731197903407516e-37,1.1596595893028963e-61,7.169488101620683e-38,8.515944344724904e-23,1.7636557235642164e-50,3.801608495680939e-68,3.201370503050024e-34,2.720391342677283e-47,2.1723110016337615e-50,4.3212690401842094e-52,7.215880831670553e-66,9.933160569995827e-59,3.8346413989073375e-41,7.150816324750416e-50,1.7690213299036624e-50,3.8254746526393075e-53,9.663313169337669e-72,3.0301733584825013e-66,6.550464270319564e-77,3.0098387225206867e-23,3.171118131940364e-48,2.432487942374986e-65,3.1783405568632434e-54,5.5084124208825216e-58,5.054633296917525e-35,8.515944307390021e-23,1.988572967898256e-50,9.263561629886207e-20,3.5373887027745535e-36,3.2513886289786137e-31,1.7843666870363042e-46,7.243331984651674e-45,9.147017506595141e-40,3.009838706867757e-23,4.754297741926808e-67,1.9189570425712554e-40,5.733335859109323e-68,1.4808214702678999e-68,4.427779230383581e-51,1.9486918534366203e-71,1.1790894066063547e-64,1.266668335707404e-31,6.526427316116636e-56,3.8323572520393876e-51,1.7695796058728564e-72,1.2776087619003469e-73,6.491267595631629e-65,4.479288495926965e-81,1.945325122477681e-55,1.149818820827263e-24,4.868967966207595e-73,3.866384019787447e-67,1.0726436770821092e-61,9.551907183357759e-40,1.5659727435619204e-68,1.7389216224057132e-65,1.795853235614902e-69,1.3221707310977257e-65
8.960559147557206e-17,0.5337749842935404,3.76,0.0,0.7897807344890537,1.0,2.736344407695458e-39,1.968506846373508e-19,4.356455586185596e-30,4.686576205819179e-15,4.6865762058191796e-15,1.2702509492258006e-34,2.443365028532816e-24,1.280038169482552e-32,2.8900116943877375e-41,2.917638292234019e-40,2.1003603252073526e-18,5.125040367154524e-32,1.1693430637185593e-18,1.787139306231513e-24,7.117863142431498e-28,9.31019047151748e-19,1.889240717151539e-34,3.113736520024049e-32,1.8591102133588236e-42,3.302220855957189e-28,4.488529963749814e-40,6.782465218813055e-49,5.534968263570262e-29,1.6722099461649957e-44,2.0079316852872273e-61,7.828040425275595e-31,1.9993943760168483e-40,1.031292918010526e-49,2.635800370519312e-54,1.2551915068139792e-60,3.2474993700894817e-19,3.5424864653799235e-30,3.247499370098462e-19,5.123322363873055e-37,2.063552196445401e-60,3.1311037930386457e-37,1.8096381743350327e-22,1.6211031268037357e-49,6.764759469191536e-67,1.3981226057301461e-33,2.4063009758278663e-46,1.9967283609401264e-49,3.971990819194977e-51,7.245372420678678e-65,8.785767878391053e-58,3.391700886986633e-40,6.572832179602274e-49,1.626035377675913e-49,3.3835890363583284e-52,1.7195349614596773e-70,5.392031512246441e-65,1.165620129910911e-75,6.395907285285256e-23,2.8076275868476474e-47,4.328482511383066e-64,2.92145184020526e-53,4.8721370739238435e-57,2.2074911578492093e-34,1.8096381580299088e-22,1.8278411622341925e-49,1.9685068463508148e-19,1.5448705820238087e-35,1.4199668264565345e-30,1.578253210289823e-45,6.406644949919563e-44,8.090432945996698e-39,6.3959072169248e-23,8.904274003390483e-66,8.380589525981867e-40,1.0737903140888152e-66,2.773417766191705e-67,4.069891930680539e-50,3.652396293748991e-70,2.2083039658844063e-63,5.531873404967695e-31,5.772551492915661e-55,3.5225962110760926e-50,6.681595881861785e-71,4.824007590342788e-72,1.2157425764284815e-63,1.6852800792146892e-79,3.461601916060774e-54,2.4433649721207364e-24,9.119586184549528e-72,7.24130942612354e-66,1.988500163853436e-60,4.1715687801068994e-39,2.932893729892071e-67,3.256807748913803e-64,3.363434049647626e-68,2.4762794515738644e-64
1.8448210009676603e-16,0.533774984293541,3.76,0.0,0.7897807344890487,1.0,2.300062351898386e-38,4.0528082131699265e-19,1.8187344507605095e-29,9.648833364921795e-15,9.648833364921798e-15,5.3030467672835585e-34,5.03045743981829e-24,5.343907374687383e-32,2.4292289615484963e-40,2.4524507551545894e-39,4.324271258628568e-18,2.1396034670253373e-31,2.4074710126116375e-18,3.680061639164947e-24,2.9715677455959246e-27,1.9168039199150932e-18,7.88720809412002e-34,1.2999237093559965e-31,1.5626941522450056e-41,6.7987201527198635e-28,1.8738728753197842e-39,5.701070636006136e-48,2.310740290907468e-28,1.4055932175442536e-43,3.3866702229724383e-60,3.2680527812344396e-30,8.347078131983867e-40,8.668638564110015e-49,2.2155490296771254e-53,2.117063981003615e-59,6.686028114810668e-19,1.4789183652954135e-29,6.68602811484816e-19,2.1388862618996525e-36,3.480482116539972e-59,1.307174180764343e-36,3.7257256574978e-22,1.3868877271831495e-48,1.140975651419393e-65,5.8368866538850036e-33,2.0226987043089156e-45,1.7082436586441655e-48,3.398121911859005e-50,7.541986866181109e-64,7.384967021063699e-57,2.8509356824906016e-39,5.623196311533415e-48,1.3911074994572108e-48,2.8441105090294195e-51,2.90024709174929e-69,9.094448999160226e-64,1.9659887601893673e-74,1.3168044410587952e-22,2.361094089166301e-46,7.30061904442808e-63,2.499379457427833e-52,4.095339361560339e-56,9.215841038345193e-34,3.725725589427117e-22,1.5637566035631647e-48,4.05280821307519e-19,6.449530571571563e-35,5.928081900488915e-30,1.3266187418999018e-44,5.385170836556176e-43,6.800495616029014e-38,1.316804412519651e-22,1.5379920736423772e-64,3.498731126382336e-39,1.8547055956980124e-65,4.790399951530176e-66,3.481878196302154e-49,6.317981917695123e-69,3.8142959334900435e-62,2.309448250900029e-30,4.852178094340209e-54,3.0136546046394854e-49,2.318155998082723e-69,1.6736723306582607e-70,2.0998929532334208e-62,5.835702713771559e-78,5.838496911259387e-53,5.030457204308646e-24,1.5753711780310472e-70,1.2507561447893838e-64,3.4177233800379056e-59,1.74154781649589e-38,5.06584487298718e-66,5.625325476509633e-63,5.809494823495673e-67,4.2771569443396173e-63
3.7423511733915396e-16,0.533774984293542,3.76,0.0,0.7897807344890388,1.0,1.885730080183006e-37,8.221410946910918e-19,7.430123674107816e-29,1.9573347683126908e-14,1.957334768312692e-14,2.1664669060958307e-33,1.0204642349224645e-23,2.1831605243375413e-31,1.9916286641911917e-39,2.0106672501165293e-38,8.77209312809061e-18,8.740978301158421e-31,4.883726907537906e-18,7.467934723333266e-24,1.2139823831650757e-26,3.888373663307613e-18,3.2221818579059824e-33,5.310612558636131e-31,1.2811910769367257e-40,1.3791811821972606e-27,7.65538189932781e-39,4.67408206204876e-47,9.440128039300806e-28,1.1523902414271927e-42,5.562615847391952e-59,1.33510619422561e-29,3.410053933625857e-39,7.107073939587689e-48,1.816440951329341e-52,3.477284084270573e-58,1.356308560400784e-18,6.041864081287751e-29,1.3563085604161013e-18,8.738048508249531e-36,5.716701414702569e-58,5.3402329105184106e-36,7.557900637574068e-22,1.1467055420475893e-47,1.874056232955724e-64,2.384558647721636e-32,1.6583535812754345e-44,1.4124097318523998e-47,2.809633143789896e-49,8.564224429293994e-63,6.0546417135654495e-56,2.3373803417312572e-38,4.649367452309192e-47,1.150194581813712e-47,2.3317737069983444e-50,4.7636647105930235e-68,1.4937658928739537e-62,3.229142575047818e-73,2.671231866028759e-22,1.9362108624091373e-45,1.1991290754780428e-61,2.0665615668613868e-51,3.3576305528413126e-55,3.764971769512086e-33,7.557900359483123e-22,1.2929442108786834e-47,8.221410946523886e-19,2.634843681491163e-34,2.4218148203898264e-29,1.0876451830673153e-43,4.415087962155165e-42,5.5754559279405025e-37,2.6712317494370456e-22,2.555397408634572e-63,1.4293458026382588e-38,3.081620624497904e-64,7.959355901542845e-65,2.8788841655188336e-48,1.0528581024524082e-67,6.337509737248418e-61,9.434849655018517e-30,3.9781099751464537e-53,2.4917468845394464e-48,7.720427311342199e-68,5.574027646472578e-69,3.489003502790282e-61,1.941594374766421e-76,9.589746479463065e-52,1.0204641387088336e-23,2.618132413581862e-69,2.078150107923505e-63,5.664625589966376e-58,7.114790824364304e-38,8.41697806535723e-65,9.346562416898237e-62,9.652558980768399e-66,7.106560229838734e-62
7.537411518239297e-16,0.5337749842935439,3.76,0.0,0.789780734489019,1.0,1.5271131100818625e-36,1.6558616414985506e-18,3.003374790017846e-28,3.9422376319536635e-14,3.9422376319536685e-14,8.757199700748718e-33,2.0553012515392882e-23,8.824683851222738e-31,1.6128725184880687e-38,1.6282903885641541e-37,1.766773687749315e-17,3.5332431879238464e-30,9.836238685950888e-18,1.5051794564843261e-23,4.907110885540219e-26,7.831513141555979e-18,1.3024574237617757e-32,2.1466345470280867e-30,1.0375417462403004e-39,2.7778367471017276e-27,3.094427580007315e-38,3.785192692598483e-46,3.81585066789732e-27,9.332354941396327e-42,9.017239468330022e-58,5.396712695342141e-29,1.3783984499841362e-38,5.755493237886511e-47,1.471000975123325e-51,5.636827795397518e-57,2.7317200581421396e-18,2.442218062651797e-28,2.7317200582040536e-18,3.532059099906315e-35,9.267016382726871e-57,2.1586074135698693e-35,1.5222250652729535e-21,9.32481881874226e-47,3.0379268827358577e-63,9.63876728543925e-32,1.3429868896315105e-43,1.1485495050631357e-46,2.2847473917061126e-48,1.0791763963710939e-61,4.903205138394627e-55,1.89288905516525e-37,3.78078839744261e-46,9.353191317893207e-47,1.8883309292112723e-49,7.722106273752718e-67,2.4214586038360287e-61,5.234579698347236e-72,5.380086715606382e-22,1.5681705845619446e-44,1.9438405705705976e-60,1.680536317715882e-50,2.719135007831494e-54,1.5218617858428248e-32,1.5222249528641497e-21,1.051400777463234e-46,1.6558616413421065e-18,1.065045943587649e-33,9.789362197357105e-29,8.808081072259225e-43,3.5754519750638004e-41,4.5151467446041596e-36,5.380086244324055e-22,4.165944602070822e-62,5.777644078830171e-38,5.02381787174309e-63,1.297587219313244e-63,2.341060694345069e-47,1.7265843118576772e-66,1.0331740363977194e-59,3.813717077336063e-29,3.221578568740496e-52,2.0262455241660626e-47,2.5200760401342045e-66,1.8194554604049883e-67,5.687956140029736e-60,6.334493490977037e-75,1.5545385066124087e-50,2.055300862626332e-23,4.270269615739216e-68,3.3879093914554692e-62,9.223374090280571e-57,2.8759119974686208e-37,1.3721801982160865e-63,1.523725570254679e-60,1.5736095721603018e-64,1.1585486766499136e-60
1.5127532207934815e-15,0.5337749842935476,3.76,0.0,0.7897807344889792,1.0,1.2291534873079386e-35,3.3233027353505106e-18,1.20764379654803e-27,7.91204335923541e-14,7.912043359235429e-14,3.521226721695457e-32,4.1249754237262594e-23,3.5483665276273444e-30,1.2981801031422402e-37,1.3105896329513315e-36,3.545902441821202e-17,1.4207015480073902e-29,1.9741262197018635e-17,3.025196894029706e-23,1.9731276997542926e-25,1.5717792063906006e-17,5.237124005051792e-32,8.631523434424913e-30,8.351038534415371e-39,5.5752968072300086e-27,1.2442555731852825e-37,3.0466521498909803e-45,1.534336754555881e-26,7.511491135614454e-41,1.452198447166241e-56,2.169994433697629e-28,5.542480572110991e-38,4.632522476549422e-46,1.183989556275236e-50,9.077938835189334e-56,5.482543053232535e-18,9.820051416464495e-28,5.482543053481488e-18,1.4202255770765086e-34,1.4924234664530484e-55,8.679664571546666e-35,3.0550950903052195e-21,7.520804094211146e-46,4.892490716646822e-62,3.875705911102135e-31,1.080956342991656e-42,9.263489915177396e-46,1.8427321556886334e-47,1.4893833424086264e-60,3.946524940253932e-54,1.5235905298504075e-36,3.049342810947384e-45,7.54368763738638e-46,1.519893215686115e-48,1.2436215697436541e-65,3.8996835325960466e-60,8.430130619282487e-71,1.079779641331242e-21,1.2622707456804128e-43,3.1304974563311358e-59,1.355482417064194e-49,2.188658766530839e-53,6.119339306048502e-32,3.0550946383143847e-21,8.479928454344383e-46,3.323302734721457e-18,4.282502896767233e-33,3.9362590649614273e-28,7.089587827974967e-42,2.877833638805667e-40,3.634179658318135e-35,1.0797794518307053e-21,6.728017722875354e-61,2.3231651217734172e-37,8.113474414310117e-62,2.0956433989461904e-62,1.8881501030481215e-46,2.8212549381787153e-65,1.6685788244583817e-58,1.5334788606532368e-28,2.593009876646731e-51,1.6342377425839614e-46,8.144450166248318e-65,5.880165646478725e-66,9.18606387970034e-59,2.0466807403148816e-73,2.5035340132695127e-49,4.1249738599076683e-23,6.90312807459218e-67,5.471483419428548e-61,1.4886562750308735e-55,1.1563913970161704e-36,2.216075783624208e-62,2.460820870060632e-59,2.541379916476165e-63,1.8710592037709717e-59
3.030777358732585e-15,0.5337749842935553,3.76,0.0,0.7897807344888997,1.0,9.863182649459244e-35,6.658184924002603e-18,4.843191778538181e-27,1.5851654813798102e-13,1.5851654813798177e-13,1.4121655862398293e-31,8.26432432400242e-23,1.4230536528101585e-29,1.0417077498043196e-36,1.0516654340345879e-35,7.104159966730494e-17,5.697648647137813e-29,3.9551309036121263e-17,6.078213645886302e-23,7.913124538332369e-25,3.1490349772019254e-17,2.100320952708745e-31,3.461627218816213e-29,6.701182365047594e-38,1.1170812697593403e-26,4.9900201767171166e-37,2.44474610420434e-44,6.153376504037164e-26,6.027498550652884e-40,2.331099573417085e-55,8.702648188786737e-28,2.2227834281817384e-37,3.7173088286288175e-45,9.500770495254847e-50,1.4572106927882783e-54,1.0984189041844057e-17,3.938279829890403e-27,1.0984189042842473e-17,5.695740959087077e-34,2.3956671248760454e-54,3.4809329792639965e-34,6.120835228374441e-21,6.041118784796998e-45,7.853541159522354e-61,1.55433139826305e-30,8.674008452555776e-42,7.440974320456234e-45,1.4801836653210053e-46,2.19138789890592e-59,3.166835916682367e-53,1.2226315728514168e-35,2.4493979760390947e-44,6.059500148669789e-45,1.2196189114909006e-47,1.9962885546488413e-64,6.259852831733242e-59,1.3532231092967492e-69,2.1633215802927643e-21,1.0129210080533066e-42,5.025148597005969e-58,1.0889080333753115e-48,1.756360891804552e-52,2.4541287551333897e-31,6.120833415689213e-21,6.811540155546274e-45,6.658184921479816e-18,1.7174752012461217e-32,1.5786156021287309e-27,5.689072757435717e-41,2.309278380988071e-39,2.916195086316097e-34,2.1633208203109724e-21,1.081511148155426e-59,9.316929985564649e-37,1.3042157508040724e-60,3.3688031393327644e-61,1.516664591446684e-45,4.6405887201189156e-64,2.682191714508997e-57,6.149936073892308e-28,2.080732217063763e-50,1.312704325581684e-45,2.6191330321617924e-63,1.890973146684312e-64,1.4766327854961148e-57,6.580983104300819e-72,4.0187190669392684e-48,8.264318052256482e-23,1.1117895841603448e-65,8.795252055066514e-60,2.3922306402621377e-54,4.637645359642401e-36,3.5622806299328176e-61,3.955697690517128e-58,4.085181949124701e-62,3.0076730119138923e-58
