Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66),C2H2F3(67),S(4446),CF2O(49),S(6032),S(2070),CFO2(332),C3H3(4381),S(4999),C3H3(8252),S(5941)
0.0,0.6542157275494247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.535025783143377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.802106496282424e-22,0.6542157275494247,6.825213335002057e-27,8.022421742558072e-29,3.179671285131267e-38,2.1169199614430503e-38,0.0,0.0,6.595494871406894e-22,5.689944506631031e-40,4.484402952501617e-52,1.0932070954117107e-50,2.7674914974639547e-52,1.1116154826372374e-65,1.8521946897958157e-44,3.4202463840593887e-37,1.1445596840238165e-21,2.8664040565800202e-39,1.4852364752691604e-78,9.564983349240081e-78,2.7885900145109095e-53,2.1146332776241838e-38,8.435246463456648e-24,1.873350326266962e-56,3.71544664375704e-40,5.607031509747504e-56,2.8029030274077674e-40,1.8321264655464763e-18,3.4120305306111887e-40,3.7357372547986335e-24,4.507734447340586e-56,2.294728192932403e-61,3.95375510645711e-55,1.2429768366479822e-41,3.76,0.0,0.535025783143377,0.9999999999999994,2.2591476542248066e-52,2.9828708060545214e-21,1.8321264655464763e-18,3.1170228163660643e-22,1.953961408165164e-35,3.478540307173774e-22,2.8244696838527084e-59,3.5561508062473675e-58,7.353542487899438e-61,1.2858576012586639e-64,8.25619913905659e-73,1.1445596840238167e-21,2.9394773792608566e-38,5.9132377033633914e-43,2.3411790540316201e-57,7.04282713111819e-56,1.3287693218124341e-39,2.001105197840675e-38,8.43524646345701e-24,1.4857296067367312e-42,1.539467361080591e-74,5.433660399553271e-75,4.2702086015346775e-89,1.8422927344681837e-95,2.079965164681614e-58,4.6476291237329775e-79,7.154533834821213e-57,1.5624813789185755e-70,2.801294134771726e-60,9.388877882423561e-55,1.8484798087791218e-57,1.1203116557784223e-74,2.9735645296064136e-60,1.0722896659158285e-100,2.946058072550861e-93,1.8356708153870703e-39,3.735737254798506e-24,6.019525214368525e-60,3.8713774332554346e-40,4.898910966772859e-16,2.7023469003931464e-78,4.2296748539511336e-39,7.531130051655158e-79,1.53834612507033e-90,2.982870806054519e-21,1.0245180170670766e-57,3.221601706545185e-79,3.7713010378545456e-41,3.3725574520744443e-76,9.642565518577844e-80,1.1528450588613413e-92,1.9757946197168386e-90,2.699600148327112e-75,3.8750183454284914e-42,4.706704053158018e-41,1.9982834141522286e-36,4.118673383086264e-76,5.751681842031218e-99,4.784071324770351e-95,8.256039010297823e-90
1.0645898189590786e-21,0.6542157275494247,1.9110597406814272e-26,2.246278088003467e-28,1.9205214562196927e-37,1.278619656715765e-37,0.0,0.0,1.8467385639939314e-21,3.436726482005143e-39,5.3238831852137e-51,1.297855463673688e-49,3.285565907786901e-51,1.319709900986843e-64,1.1187255926366261e-43,2.065828815971707e-36,3.2047671152666852e-21,1.7313080501744688e-38,3.3224145858016705e-77,2.9734543883148076e-76,3.3106140652273294e-52,1.2772384996849973e-37,2.361869009767751e-23,2.224041507344092e-55,2.2441297728292025e-39,6.656667808372097e-55,1.692953428554322e-39,5.1299541035301335e-18,2.0608664404891506e-39,1.046006431343613e-23,5.3515823358826686e-55,2.7243013106494205e-60,5.209444350952685e-54,7.507580093353815e-41,3.76,0.0,0.535025783143377,0.9999999999999987,2.6820600951098114e-51,8.352038256952663e-21,5.1299541035301335e-18,8.727663885824667e-22,1.1801926905317254e-34,9.73991286008625e-22,3.3548827979825844e-58,4.7849962301996665e-57,8.73012564164737e-60,1.5265703220559012e-63,2.10785445385304e-71,3.2047671152666868e-21,1.7754443370735561e-37,3.5715955728323815e-42,2.779447772952267e-56,8.361244370061531e-55,8.025766703813871e-39,1.2086675394956698e-37,2.3618690097679692e-23,8.973806824680491e-42,3.5821043699643444e-73,1.3684842955982363e-73,2.0050773294470173e-87,8.535998212482979e-94,3.1432389692987525e-57,1.0400645669307742e-77,8.521057508139143e-56,3.505989757303873e-69,4.233315696467841e-59,1.1146475821999343e-53,2.257988327526631e-56,3.159458119160055e-73,4.493650717141183e-59,4.968299825718754e-99,1.3833221754977723e-91,1.1087451724937569e-38,1.0460064313435362e-23,9.096706503957295e-59,2.3383119696836587e-39,1.3716950706947935e-15,8.496611030345676e-77,2.554723611786454e-38,2.3679077863196192e-77,7.359313884953826e-89,8.352038256952648e-21,1.5482385315839738e-56,9.085420036317675e-78,2.277865826864143e-40,9.511151624043575e-75,2.719357757288323e-78,4.973316520612349e-91,8.186536302362183e-89,7.613344508631513e-74,2.340511080641886e-41,2.842849248103079e-40,1.206963182147939e-35,1.2949768104164155e-74,2.9772515691478556e-97,2.75538013861541e-93,5.0228513670092476e-88
2.4333481576207514e-21,0.6542157275494247,4.368136582567277e-26,5.134349915847615e-28,9.246484097167833e-37,6.156003247938831e-37,0.0,0.0,4.221116717700414e-21,1.6546358625283044e-38,5.227020081440617e-50,1.2742421904146957e-48,3.225788092280655e-50,1.295699006561699e-63,5.386182157925536e-43,9.946076484842253e-36,7.325181977752422e-21,8.335502996536743e-38,6.564531347138e-76,6.612269701451047e-75,3.250380520913848e-51,6.149353571330983e-37,5.39855773661148e-23,2.183577140296632e-54,1.080451884004473e-38,6.535555927761248e-54,8.150842003702239e-39,1.1725609379497449e-17,9.922184783017229e-39,2.390871843071095e-23,5.254215271819795e-54,2.6747351816822176e-59,5.340572681846375e-53,3.614576640972335e-40,3.76,0.0,0.535025783143377,0.9999999999999969,2.633262505784968e-50,1.909037315874894e-20,1.1725609379497449e-17,1.994894602474061e-21,5.6821197749437895e-34,2.226265796590993e-21,3.294576656322579e-57,4.944699649854248e-56,8.571289123935067e-59,1.4987961515497488e-62,4.413398607175686e-70,7.325181977752425e-21,8.54800021889055e-37,1.719569524139387e-41,2.728878305397633e-55,8.209119304025216e-54,3.8640611879307115e-38,5.819213915319212e-37,5.398557736612531e-23,4.320501696376367e-41,7.211053791280808e-72,2.851342753213188e-72,8.418099939356128e-86,3.5656711435213e-92,3.381351538572879e-56,2.0553535210890848e-76,8.377941451870893e-55,6.937640048540462e-68,4.554007849018799e-58,1.0943676059709788e-52,2.244719865045417e-55,6.872511521153003e-72,4.834064384490472e-58,2.0753663344371995e-97,5.807728285906676e-90,5.33813073114509e-38,2.390871843070725e-23,9.785821750508192e-58,1.1257965575867445e-38,3.1353030187233806e-15,1.8955471810807053e-75,1.2299894475289444e-37,5.2826720128456323e-76,3.827552649677935e-87,1.909037315874888e-20,1.6655198539385397e-55,1.9762763727846368e-76,1.0966943418080976e-39,2.068883227769307e-73,5.915197104143748e-77,1.9770358628040137e-89,3.2437721926181125e-87,1.65607066875031e-72,1.1268553348552207e-40,1.3687095386518059e-39,5.811008168354575e-35,2.889022027463916e-73,1.2999861716557663e-95,1.2356281046775558e-91,2.267559399334075e-86
5.170864834944097e-21,0.6542157275494247,9.2822903764326e-26,1.091049357293122e-27,4.03818253212302e-36,2.6884883510971963e-36,0.0,0.0,8.969873025113378e-21,7.226229523421408e-38,4.62324006791454e-49,1.127052787091549e-47,2.8531730370819674e-49,1.1460310979791284e-62,2.3522872560399654e-42,4.3437129077528904e-35,1.5566011702723882e-20,3.6403331518587345e-37,1.1681232791859526e-74,1.2368602962514303e-73,2.874924761360023e-50,2.685584262582564e-36,1.1471935190297164e-22,1.9313492523678946e-53,4.718617237570671e-38,5.780625205288354e-53,3.559686844808328e-38,2.491691993143208e-17,4.333278773876099e-38,5.080602666525989e-23,4.647293905829282e-53,2.365772977786013e-58,4.813394557188714e-52,1.578580582542939e-39,3.76,0.0,0.535025783143377,0.9999999999999933,2.3290908656212563e-49,4.056704296234152e-20,2.491691993143208e-17,4.239151030256745e-21,2.4815309883692338e-33,4.730814817755221e-21,2.9143067819815774e-56,4.4715308452312295e-55,7.581208163406662e-58,1.3256688527736702e-61,8.05536073281523e-69,1.5566011702723904e-20,3.733136271661266e-36,7.509811883284959e-41,2.4136619575830285e-54,7.260873059084701e-53,1.6875370388052821e-37,2.5414036012561358e-36,1.147193519030176e-22,1.8868766005411316e-40,1.2939955212878055e-70,5.193471217381034e-71,3.083940389817525e-84,1.3034731339872692e-90,3.108044072057993e-55,3.657686929954837e-75,7.414926965743627e-54,1.235359545837413e-66,4.185917799713751e-57,9.679557541572846e-52,1.9964752745766567e-54,1.2740478119290181e-70,4.4433380053001007e-57,7.586746369076705e-96,2.1276401994507753e-88,2.3313019355410514e-37,5.080602666524372e-23,8.994856137357367e-57,4.916649340193731e-38,6.6625189147548404e-15,3.550150085903031e-74,5.371687064517475e-37,9.893860035391205e-75,1.5268480333277928e-85,4.056704296234124e-20,1.5308980555378457e-54,3.66368263893908e-75,4.7895523180752304e-39,3.8353608304115683e-72,1.0965778528682468e-75,7.069652963307783e-88,1.1585310035361006e-85,3.0700774201078895e-71,4.921273298741873e-40,5.97751414744304e-39,2.5378199359732208e-34,5.410818523176693e-72,4.839525012960712e-94,4.648741750246624e-90,8.561876531409011e-85
1.0645898189590788e-20,0.6542157275494247,1.9110598404537742e-25,2.2462780892679668e-27,1.6858617153822783e-35,1.1223909636151754e-35,0.0,0.0,1.8467385639939306e-20,3.0168085774157726e-37,3.8861118481914556e-48,9.473557775809508e-47,2.3982638543770135e-48,9.63308191404695e-62,9.820336245290926e-42,1.8134146328260082e-34,3.204767115266676e-20,1.5197674308006242e-36,1.9702106472367292e-73,2.135174182411536e-72,2.4165474891346604e-49,1.1211785637962079e-35,2.361869009766144e-22,1.6234154191371991e-52,1.969929810519291e-37,4.858963793841337e-52,1.4860991851320143e-37,5.129954103530134e-17,1.8090585873299527e-37,1.0460064313435498e-22,3.9063305483123125e-52,1.9885747363448906e-57,4.081520247911612e-51,6.590263187907617e-39,3.76,0.0,0.535025783143377,0.9999999999999862,1.957741210809721e-48,8.35203825695267e-20,5.129954103530134e-17,8.727663885820095e-21,1.0359903386086978e-32,9.73991286008164e-21,2.449765843327575e-55,3.797446695412732e-54,6.372462263481531e-57,1.114305606890644e-60,1.374847346925441e-67,3.2047671152666846e-20,1.5585109064840862e-35,3.135198630335326e-40,2.0288283094289495e-53,6.103201306569503e-52,7.045134945180943e-37,1.060985975893756e-35,2.361869009768063e-22,7.877338374787496e-40,2.1911737652542042e-69,8.855279011383861e-70,1.0548062692269742e-82,4.453801776509929e-89,2.658996930347811e-54,6.169463840880537e-74,6.234569316738056e-53,2.084289257327882e-65,3.5811408063758275e-56,8.136251350697861e-51,1.6825373348599865e-53,2.1897626680831828e-69,3.801369211874176e-56,2.592294660782763e-94,7.27721011872903e-87,9.732726663177497e-37,1.0460064313428747e-22,7.695288799803908e-56,2.0526043150754265e-37,1.3716950706714901e-14,6.132001413455801e-73,2.2425736075644732e-36,1.7089182781808385e-73,5.425711529280119e-84,8.352038256952555e-20,1.3097148940306356e-53,6.296933851872295e-74,1.9995438102704422e-38,6.5920053285608104e-71,1.884737152235781e-74,2.390924738027093e-86,3.9157844568792723e-84,5.2766799718877647e-70,2.054534726789106e-39,2.4954944889235047e-38,1.0594898661834128e-33,9.34584342324756e-71,1.667290164442461e-92,1.609711674688018e-88,2.970513287997904e-83
2.159596489888417e-20,0.6542157275494247,3.876721622224602e-25,4.5567355554501514e-27,6.887295190493817e-35,4.585333313775764e-35,0.0,0.0,3.746241086959116e-20,1.2324647399143078e-36,3.186069282132017e-47,7.76699503295525e-46,1.966241604871761e-47,7.897782559421787e-61,4.0119277858798333e-41,7.408390477708693e-34,6.501099005255237e-20,6.208745842730651e-36,3.236076905578293e-72,3.546680609309676e-71,1.981231633242035e-48,4.580380264663947e-35,4.791219991236161e-22,1.3309740432365719e-51,8.047806048237645e-37,3.983672084416985e-51,6.071200073489843e-37,1.0406478324303986e-16,7.390594610524214e-37,2.1218987607253397e-22,3.2026457940555884e-51,1.630353713481251e-56,3.360432459791595e-50,2.692337547253008e-38,3.76,0.0,0.535025783143377,0.9999999999999721,1.605074526367075e-47,1.6942706178389726e-19,1.0406478324303986e-16,1.7704689596938728e-20,4.232358568538073e-32,1.9758108944726346e-20,2.0085119664554967e-54,3.1288384335662773e-53,5.224529571684826e-56,9.135767956253051e-60,2.2711519780115798e-66,6.501099005255269e-20,6.367025582574017e-35,1.28083093950951e-39,1.6633560247749728e-52,5.0037731709966003e-51,2.878167502607205e-36,4.334473902719217e-35,4.791219991244001e-22,3.2181497572654104e-39,3.6059306920509387e-68,1.4621325959394652e-68,3.488524390738217e-81,1.4722657470547347e-87,2.198510000306274e-53,1.0133557152146838e-72,5.1122233052563945e-52,3.423990615784961e-64,2.9609564711965894e-55,6.670590428759025e-50,1.3811885685952536e-52,3.6293710327520623e-68,3.1430455756501772e-55,8.569188363074882e-93,2.4067666012428958e-85,3.976136412956989e-36,2.1218987607225815e-22,6.362613592024439e-55,8.385558375218678e-37,2.7825814290223592e-14,1.018841206040648e-71,9.161644920648777e-36,2.839393278197363e-72,1.827381564658476e-82,1.6942706178389251e-19,1.082897358039945e-52,1.0436705648974438e-72,8.168788900034137e-38,1.0925765397327684e-69,3.12381360977298e-73,7.864491331839744e-85,1.2876438861138225e-82,8.745711175268258e-69,8.393444737295315e-39,1.0194909246786968e-37,4.328361806389458e-33,1.5528258626625368e-69,5.53312888119008e-91,5.355612134071046e-87,9.893050425751179e-82
4.349609831747093e-20,0.6542157275494247,7.808045890365452e-25,9.177650496744503e-27,2.783954834393667e-34,1.8534650388059685e-34,0.0,0.0,7.545246132889482e-20,4.981819532891781e-36,2.5801615090885418e-46,6.289913950784433e-45,1.5923134299026136e-46,6.395829080445824e-60,1.6216853562568262e-40,2.9945898810545496e-33,1.3093762785232296e-19,2.509674338943738e-35,5.2458201202417644e-71,5.781234077161247e-70,1.6044527434979116e-47,1.8514629369563605e-34,9.649921954164848e-22,1.077857288044597e-50,3.253051878043375e-36,3.2260809376319665e-50,2.4540761398437134e-36,2.095952676585169e-16,2.98739650701487e-36,4.273683419488473e-22,2.5935855982228533e-50,1.32030270695267e-55,2.7270121978173883e-49,1.0882858833734778e-37,3.76,0.0,0.5350257831433769,0.9999999999999439,1.2998309658243425e-46,3.412404202126389e-19,2.095952676585169e-16,3.565874101914372e-20,1.710787002992903e-31,3.9794501113983216e-20,1.6265633825906536e-53,2.53998258722888e-52,4.230959502436223e-55,7.398409861471827e-59,3.692005701824906e-65,1.3093762785232424e-19,2.5736535404569456e-34,5.177323444788112e-39,1.3470288343797693e-51,4.052185245419855e-50,1.1634013228229205e-35,1.7520636537494664e-34,9.649921954196541e-22,1.3008275856281382e-38,5.850901692750201e-67,2.376295672533242e-67,1.134786702411927e-79,4.787986563352764e-86,1.787791788015907e-52,1.6427089180596618e-71,4.1403088467611085e-51,5.550867402998614e-63,2.4078006280759136e-54,5.4020170757107865e-49,1.1192175443032442e-51,5.9094898737992066e-67,2.555872463738342e-54,2.7868038651355845e-91,7.829002836041664e-84,1.6072179110672108e-35,4.273683419477325e-22,5.17397170550648e-54,3.389576768676992e-36,5.604354145559527e-14,1.6609683081255934e-70,3.7032833590242986e-35,4.628927669209181e-71,5.99741592986443e-81,3.412404202126197e-19,8.805940508378006e-52,1.6993469281062808e-71,3.301955081091207e-37,1.7789776629829089e-68,5.086320667768156e-72,2.5514181881904284e-83,4.1767937504308305e-81,1.4240124375508884e-67,3.392764562602139e-38,4.120945319910419e-37,1.749593046693468e-32,2.5314980691477012e-68,1.802889606062074e-89,1.7472712883781966e-85,3.22925658182614e-80
8.729636515464446e-20,0.6542157275494247,1.5670697245043934e-24,1.841948041505314e-26,1.1194159946476871e-33,7.45270140433908e-34,0.0,0.0,1.51432562247502e-19,2.0031677233374757e-35,2.0767384514823385e-45,5.06266995798309e-44,1.2816323765310332e-45,5.147919668474067e-59,6.520725493177097e-40,1.2041114204807641e-32,2.627909034518614e-19,1.00912901374594e-34,8.448231597807099e-70,9.336109617955044e-69,1.2914031522005252e-46,7.4446510391994335e-34,1.936732587997683e-21,8.675533168818519e-50,1.3080378527173366e-35,2.5966306013007662e-49,9.867732224133636e-36,4.2065623648947086e-16,1.2012189964232271e-35,8.57725273701295e-22,2.0875433262926982e-49,1.062694482296747e-54,2.1971922794062238e-48,4.375949672492771e-37,3.76,0.0,0.5350257831433767,0.9999999999998875,1.046217044041565e-45,6.848671370701245e-19,4.2065623648947086e-16,7.156684386342461e-20,6.878999295875102e-31,7.986728545236677e-20,1.3092070351607796e-52,2.046862783386487e-51,3.405444293055648e-54,5.954929153637917e-58,5.954158217225671e-64,2.6279090345186653e-19,1.0348547692781887e-33,2.081778986487751e-38,1.084205994929565e-50,3.2615512176090908e-49,4.6779855534751224e-35,7.044970893128622e-34,1.9367325880104266e-21,5.230570508962876e-38,9.42712099675005e-66,3.8318414408778193e-66,3.661136954748669e-78,1.5445502208597117e-84,1.4419188313898267e-51,2.6455446183865628e-70,3.332599741883426e-50,8.93984552894794e-62,1.9419784351426745e-53,4.348013307019188e-48,9.011213568632099e-51,9.537940481578168e-66,2.0614037348429358e-53,8.989913545100227e-90,2.5258536727915958e-82,6.462552532375968e-35,8.577252736968121e-22,4.172995620624674e-53,1.3629339106805256e-35,1.1247899577975574e-13,2.682468254411491e-69,1.4890739510305535e-34,7.475730549899422e-70,1.943461164597794e-79,6.848671370700475e-19,7.102309653569623e-51,2.742752767030336e-70,1.3277016155806295e-36,2.8712771203885507e-67,8.20934206453966e-71,8.220680146232069e-82,1.3456660293799565e-79,2.2983618889381516e-66,1.364215708823933e-37,1.6570139883866003e-36,7.035036690853912e-32,4.0883761436356064e-67,5.821421480500167e-88,5.645436166578724e-84,1.043639950717799e-78
1.7489689882899152e-19,0.6542157275494248,3.139601122798801e-24,3.690314039455014e-26,4.4893588097075625e-33,2.9888665946840444e-33,0.0,0.0,3.033927640847157e-19,8.03359850924526e-35,1.6664518188787293e-44,4.0624738058579155e-43,1.028429267780401e-44,4.130881329256711e-58,2.6151025693250385e-39,4.8290253480713953e-32,5.264974546509281e-19,4.047058689147319e-34,1.3561282759793726e-68,1.5007045023733885e-67,1.0362696999102356e-45,2.9856380368717874e-33,3.880213373141921e-21,6.961569001962656e-49,5.24581682360925e-35,2.0836325274543722e-48,3.9574019669977854e-35,8.427781741513785e-16,4.817425433982205e-35,1.718439137205474e-21,1.675122050455973e-48,8.527453958850893e-54,1.764010046146915e-47,1.7549515378023326e-36,3.76,0.0,0.5350257831433762,0.9999999999997746,8.395232894078733e-45,1.372120570785105e-18,8.427781741513785e-16,1.4338304955147e-19,2.7587863883984515e-30,1.600128541286131e-19,1.0505591195035065e-51,1.6434633171960464e-50,2.7326545783279485e-53,4.778528237921637e-57,9.564380226179875e-63,5.264974546509486e-19,4.150230474913216e-33,8.348864834498995e-38,8.700070302802791e-50,2.617189446724048e-48,1.8760814370893054e-34,2.825348422137723e-33,3.880213373193026e-21,2.097692716779436e-37,1.5136155597280987e-64,6.1548656797708595e-65,1.1763577957381055e-76,4.962485388394242e-83,1.1582276151558008e-50,4.246695066637294e-69,2.6742489730854966e-49,1.4350707647058927e-60,1.5599026884748365e-52,3.489006849964481e-47,7.232041435694528e-50,1.532721430096715e-64,1.6558315837688924e-52,2.8883693142463395e-88,8.11580581517196e-81,2.591772610198501e-34,1.7184391371874964e-21,3.351977019942151e-52,5.465974568083086e-35,2.2534990440174519e-13,4.3119893748473816e-68,5.971852548225478e-34,1.201701852068421e-68,6.258195358046203e-78,1.3721205707847964e-18,5.704961200919633e-50,4.407530044543636e-69,5.3246773075388723e-36,4.614065251067283e-66,1.3192192312821278e-69,2.6396397464527893e-80,4.32074147859175e-78,3.6934059136684816e-65,5.471115153753384e-37,6.645367209659389e-36,2.8213643627365553e-31,6.571945245240869e-66,1.871243947800214e-86,1.8152553616113832e-82,3.356189716266764e-77
