Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30)
0.0,0.13114681141106507,3.76,0.0,0.847538786450666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2197114030152776e-21,0.13114681141106507,3.76,0.0,0.847538786450666,1.0,0.0,0.0,0.0,1.5811388300841724e-16,1.7344686296244147e-30,1.7344686296244147e-30
3.4151919284427775e-21,0.13114681141106505,3.76,0.0,0.8475387864506658,1.0,0.0,0.0,0.0,4.4271887242356246e-16,1.047619052293135e-29,1.047619052293135e-29
7.806152979297777e-21,0.13114681141106507,3.76,0.0,0.8475387864506655,1.0,0.0,0.0,0.0,1.0119288512538304e-15,5.0438347749476246e-29,5.0438347749476246e-29
1.6588075081007776e-20,0.13114681141106507,3.76,0.0,0.8475387864506649,1.0,0.0,0.0,0.0,2.150348808914275e-15,2.202775159622829e-28,2.202775159622829e-28
3.415191928442777e-20,0.13114681141106513,3.76,0.0,0.8475387864506638,1.0,0.0,0.0,0.0,4.427188724234803e-15,9.196152674267056e-28,9.196152674267056e-28
6.927960769126776e-20,0.13114681141106513,3.76,0.0,0.8475387864506615,1.0,0.0,0.0,0.0,8.980868554874408e-15,3.756928430510326e-27,3.756928430510326e-27
1.3953498450494774e-19,0.13114681141106527,3.76,0.0,0.847538786450657,1.0,0.0,0.0,0.0,1.808822821614781e-14,1.5186105397292933e-26,1.5186105397292933e-26
2.8004573813230775e-19,0.1311468114110655,3.76,0.0,0.8475387864506478,1.0,0.0,0.0,0.0,3.630294753867141e-14,6.106266189328986e-26,6.106266189328986e-26
5.610672453870277e-19,0.13114681141106588,3.76,0.0,0.8475387864506296,1.0,0.0,0.0,0.0,7.273238618362572e-14,2.4488858513477252e-25,2.4488858513477252e-25
1.1231102598964675e-18,0.13114681141106677,3.76,0.0,0.8475387864505932,1.0,0.0,0.0,0.0,1.4559126347316298e-13,9.80831672613788e-25,9.80831672613788e-25
2.247196288915347e-18,0.1311468114110685,3.76,0.0,0.8475387864505204,1.0,0.0,0.0,0.0,2.9130901805075176e-13,3.9258828115407816e-24,3.9258828115407816e-24
4.495368346953107e-18,0.13114681141107187,3.76,0.0,0.8475387864503746,1.0,0.0,0.0,0.0,5.827445271999867e-13,1.5708644945148714e-23,1.5708644945148714e-23
8.991712463028628e-18,0.13114681141107867,3.76,0.0,0.8475387864500832,1.0,0.0,0.0,0.0,1.1656155454746852e-12,6.284480863440507e-23,6.284480863440507e-23
1.7984400695179668e-17,0.1311468114110923,3.76,0.0,0.8475387864495003,1.0,0.0,0.0,0.0,2.331357581928998e-12,2.513996936932777e-22,2.513996936932777e-22
3.596977715948174e-17,0.13114681141111958,3.76,0.0,0.8475387864483346,1.0,0.0,0.0,0.0,4.6628416544572875e-12,1.005639694470045e-21,1.005639694470045e-21
7.19405300880859e-17,0.13114681141117412,3.76,0.0,0.8475387864460031,1.0,0.0,0.0,0.0,9.325809797992518e-12,4.0226406181603296e-21,4.0226406181603296e-21
1.438820359452942e-16,0.13114681141128318,3.76,0.0,0.8475387864413402,1.0,0.0,0.0,0.0,1.8651746078977584e-11,1.6090726150093194e-20,1.6090726150093194e-20
2.8776504765971085e-16,0.13114681141150128,3.76,0.0,0.8475387864320142,1.0,0.0,0.0,0.0,3.730361861660614e-11,6.436323192021045e-20,6.436323192021045e-20
5.755310710885441e-16,0.1311468114119375,3.76,0.0,0.8475387864133623,1.0,0.0,0.0,0.0,7.460736359449698e-11,2.5745358202979e-19,2.5745358202979e-19
1.1510631179462105e-15,0.13114681141280995,3.76,0.0,0.8475387863760586,1.0,0.0,0.0,0.0,1.4921485316081352e-10,1.02981563448104e-18,1.02981563448104e-18
2.3021272116615437e-15,0.1311468114145548,3.76,0.0,0.8475387863014511,1.0,0.0,0.0,0.0,2.98429830735586e-10,4.1192651319495915e-18,4.1192651319495915e-18
4.60425539909221e-15,0.1311468114180446,3.76,0.0,0.8475387861522361,1.0,0.0,0.0,0.0,5.968597796536888e-10,1.6477065566252394e-17,1.6477065566252394e-17
9.208511773953541e-15,0.13114681142502418,3.76,0.0,0.8475387858538062,1.0,0.0,0.0,0.0,1.1937196525641271e-09,6.590827114513284e-17,6.590827114513284e-17
