Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40)
0.0,0.08543667695690864,3.76,0.0,0.8213535366708784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.08543667695690864,3.76,0.0,0.8213535366708784,1.0,0.0,7.4010395919738725e-68,2.520399332945991e-41,4.824798632250272e-18,5.358596709174258e-18,6.1645812655286e-28,2.303773826752463e-21,5.156334185192386e-27,5.356292964845784e-18,3.023133582178791e-29,1.9862528994320188e-26
3.0000000000000002e-15,0.08543667695690864,3.76,0.0,0.8213535366708784,1.0,0.0,2.6932876113325696e-66,1.2653423191093113e-40,1.1914298661739304e-17,1.3232453035991094e-17,3.0948714105871976e-27,5.688912943403946e-21,2.5886902214894577e-26,1.3226764271141088e-17,1.517736815675655e-28,9.971800210907095e-26
7e-15,0.08543667695690864,3.76,0.0,0.8213535366708784,1.0,0.0,6.18691499222151e-65,7.78748949727552e-40,3.1213493177253794e-17,3.4666839339484675e-17,1.9047298024707857e-26,1.4904025960682423e-20,1.5932020257286056e-25,3.465193622496052e-17,9.340876547220986e-28,6.137115925363521e-25
1.5e-14,0.08543667695690864,3.76,0.0,0.8213535366708783,1.0,0.0,1.3182492651343438e-63,3.696208326273262e-39,6.981188216882945e-17,7.753561038665289e-17,9.040547128443583e-26,3.333430380436754e-20,7.56192185868827e-25,7.750228040886082e-17,4.4335302510151884e-27,2.9129004788974186e-24
3.1e-14,0.08543667695690864,3.76,0.0,0.8213535366708782,0.9999999999999999,0.0,2.4199053496269825e-62,1.5983125054180202e-38,1.4700865999416747e-16,1.6327314624171421e-16,3.909350976072278e-25,7.019506672813767e-20,3.269957657729589e-24,1.6320296988170723e-16,1.9171717554983783e-26,1.259608436030077e-23
6.300000000000001e-14,0.08543667695690862,3.76,0.0,0.821353536670878,0.9999999999999997,0.0,4.1376259471236225e-61,6.636397613535848e-38,3.0140221501359037e-16,3.34748192994743e-16,1.6232474668852719e-24,1.439174215203752e-19,1.3577574422115995e-23,3.3460435324758357e-16,7.96056486996424e-26,5.2301670851075485e-23
1.2700000000000001e-13,0.08543667695690865,3.76,0.0,0.8213535366708775,0.9999999999999993,0.0,6.839449227365159e-60,2.703459551963798e-37,6.101893225274235e-16,6.776981866724745e-16,6.612884651324122e-24,2.91365446876421e-19,5.53131496302654e-23,6.774071376600728e-16,3.2430652185931694e-25,2.1306967309046616e-22
2.55e-13,0.08543667695690865,3.76,0.0,0.8213535366708765,0.9999999999999987,0.0,1.1120735134703476e-58,1.0911286815035415e-36,1.2277635274550395e-15,1.3635977747150348e-15,2.6692208638556264e-23,5.862747606170496e-19,2.2326565393781565e-22,1.3630127772080214e-15,1.3090625893508736e-24,8.600326293687538e-22
5.11e-13,0.08543667695690865,3.76,0.0,0.8213535366708745,0.9999999999999973,0.0,1.7934770411663002e-57,4.3834706421413747e-36,2.462911896910071e-15,2.7353953535517443e-15,1.072510537650255e-22,1.176146439750489e-18,8.97095975508018e-22,2.7342243391959785e-15,5.2601702289971284e-24,3.455663427274679e-21
1e-12,0.08543667695690868,3.76,0.0,0.8213535366708707,0.9999999999999947,0.0,2.7590890974205746e-56,1.6975033297005345e-35,4.82223812016053e-15,5.355736970537943e-15,4.154724033619824e-22,2.303096184705554e-18,3.475196688841913e-21,5.353453755136993e-15,2.037907894597506e-23,1.3386620938742966e-20
1.023e-12,0.08543667695690868,3.76,0.0,0.8213535366708705,0.9999999999999946,0.0,2.8804266271669767e-56,1.756727448527093e-35,4.933208474219345e-15,5.47898412225713e-15,4.299695220546818e-22,2.3561020009304344e-18,3.596457049591769e-21,5.476648594741581e-15,2.1090193261906536e-23,1.3853721189793622e-20
2.047e-12,0.08543667695690871,3.76,0.0,0.8213535366708625,0.9999999999999891,0.0,4.6157675708514616e-55,7.029951145048033e-35,9.873800982434816e-15,1.0966136104000652e-14,1.721809486210462e-21,4.716861905378193e-18,1.4401974354550928e-20,1.0961501632123133e-14,8.447287582463687e-23,5.547683438572317e-20
4.095e-12,0.0854366769569088,3.76,0.0,0.8213535366708467,0.9999999999999781,0.0,7.385720499299453e-54,2.8096831332069666e-34,1.9754983413254135e-14,2.1940337846457737e-14,6.891100848264833e-21,9.44177660612465e-18,5.764013705633806e-20,2.193122581214035e-14,3.3822002444135843e-22,2.2202955551902575e-19
8.191e-12,0.08543667695690892,3.76,0.0,0.8213535366708148,0.9999999999999561,0.0,1.180103950022674e-52,1.1210994936336829e-33,3.9517337932451675e-14,4.3888332460363864e-14,2.7572123894843207e-20,1.890518368325123e-17,2.3062455455390117e-19,4.3870746593932945e-14,1.3543712539863607e-21,8.88349009620336e-19
