Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36)
0.0,0.48102428528931007,3.76,0.0,0.9787204114046116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.48102428528931007,3.76,0.0,0.9787204114046116,1.0,0.0,1.757573686830722e-64,5.0132715012678004e-42,4.1394740449683825e-18,1.0553671582209947e-18,1.0872549771210225e-28,2.3377393312385126e-28,1.0074844439125057e-21,2.7559485831868638e-30,3.37908784233825e-48,2.7095230394090074e-58,1.0543596741303926e-18,2.016065466188006e-28
3.0000000000000002e-15,0.48102428528931007,3.76,0.0,0.9787204114046116,1.0,0.0,1.4850021848988586e-63,2.51686648755616e-41,1.0221966518415976e-17,2.6061107373357916e-18,5.45846376240976e-28,1.173640562120745e-27,2.487869955099436e-21,1.3835987521359565e-29,2.85498442584874e-47,3.439435373393351e-57,2.603622869154456e-18,1.0121471517383092e-27
7e-15,0.48102428528931007,3.76,0.0,0.9787204114046116,1.0,0.0,2.3207933381289093e-62,1.5489973154791132e-40,2.67798626915002e-17,6.827579367544309e-18,3.3593959897087046e-27,7.223137441127717e-27,6.517809496085633e-21,8.515320916087919e-29,4.461775179195944e-46,1.4654648921463665e-55,6.821061568964797e-18,6.229230828692935e-27
1.5e-14,0.48102428528931007,3.76,0.0,0.9787204114046116,1.0,0.0,2.29428445212618e-61,7.352101613245318e-40,5.98956550178074e-17,1.5270516620134627e-17,1.5944927063192222e-26,3.428366289571638e-26,1.4577693742324878e-20,4.041685520421934e-28,4.410606145126909e-45,2.975863636462514e-54,1.5255938978206362e-17,2.9566216996630675e-26
3.1e-14,0.48102428528931007,3.76,0.0,0.9787204114046116,1.0,0.0,2.0131046242858123e-60,3.1792190766610216e-39,1.261272395909768e-16,3.215639109400838e-17,6.894971656296506e-26,1.4825084048023636e-25,3.069748289186963e-20,1.747723740324159e-27,3.869690055376827e-44,5.262246579480365e-53,3.2125693835173025e-17,1.2785146378288317e-25
6.300000000000001e-14,0.48102428528931007,3.76,0.0,0.9787204114046115,1.0,0.0,1.6828542257384384e-59,1.3200748091239492e-38,2.5859040841953557e-16,6.59281399165284e-17,2.862942047066424e-25,6.155697014629972e-25,6.293714381921487e-20,7.256939359846525e-27,3.2342519230649736e-43,8.825060802778664e-52,6.58652037030405e-17,5.308670487110005e-25
1.2700000000000001e-13,0.48102428528931007,3.76,0.0,0.9787204114046113,0.9999999999999999,0.0,1.3758975054444478e-58,5.377752254744607e-38,5.235167448055332e-16,1.3347163706065854e-16,1.166322815433792e-24,2.507745439582205e-24,1.2741679618685406e-19,2.95638494337607e-26,2.6433122547588418e-42,1.4447568916249073e-50,1.3334422405451206e-16,2.162678532422524e-24
2.55e-13,0.48102428528931007,3.76,0.0,0.9787204114046109,0.9999999999999998,0.0,1.1132627775729975e-57,2.1706331078343923e-37,1.0533694124930489e-15,2.6855862934527964e-16,4.707738557553414e-24,1.0122248923625803e-23,2.5637742297333296e-19,1.1933204782514431e-25,2.13712701556006e-41,2.3379556461624502e-49,2.6830226722040144e-16,8.729422342729482e-24
5.11e-13,0.4810242852893101,3.76,0.0,0.9787204114046101,0.9999999999999996,0.0,8.966650600941909e-57,8.721428348160729e-37,2.113074727530165e-15,5.38732605899969e-16,1.891600398770313e-23,4.067186346845743e-23,5.143039647463398e-19,4.794896608114238e-25,1.7187162430237288e-40,3.761868162450412e-48,5.382183634039664e-16,3.507539003458193e-23
1e-12,0.4810242852893102,3.76,0.0,0.9787204114046086,0.999999999999999,0.0,6.9301730844491045e-56,3.378289593337284e-36,4.137277380509368e-15,1.0548070851851971e-15,7.327739432738723e-23,1.5755590578691047e-22,1.0070041630953656e-18,1.8575047612051642e-24,1.3243760701002344e-39,5.781681078064927e-47,1.0538003191415097e-15,1.3587608243930494e-22
1.023e-12,0.4810242852893102,3.76,0.0,0.9787204114046085,0.999999999999999,0.0,7.213957715451483e-56,3.496165616744212e-36,4.232485276252766e-15,1.079080526951169e-15,7.583426953763822e-23,1.630535192292917e-22,1.0301782010545223e-18,1.922319377379103e-24,1.378583845669459e-39,6.035927229438869e-47,1.0780505951782448e-15,1.4061721930087678e-22
2.047e-12,0.4810242852893104,3.76,0.0,0.9787204114046053,0.9999999999999979,0.0,5.8136501522607114e-55,1.3998322008760975e-35,8.47130604829166e-15,2.1597762408211116e-15,3.0367773064400727e-22,6.529465083492494e-22,2.0620112844153475e-18,7.698273778291365e-24,1.1043126558447647e-38,9.67104696118873e-46,2.157715216355435e-15,5.631002421451191e-22
4.095e-12,0.4810242852893108,3.76,0.0,0.9787204114045989,0.9999999999999958,0.0,4.7098591670721565e-54,5.600833074424437e-35,1.694894629074597e-14,4.321167155633225e-15,1.2153923028664848e-21,2.6132509642920952e-21,4.126015891681145e-18,3.0813258480760714e-23,8.840289704960686e-38,1.548453722368279e-44,4.317045089224652e-15,2.253662055333849e-21
8.191e-12,0.4810242852893115,3.76,0.0,0.9787204114045861,0.9999999999999915,0.0,3.8585295907746594e-53,2.2396524099576723e-34,3.3904221569174783e-14,8.64394693356283e-15,4.8629314872218666e-21,1.0455931925482639e-20,8.255378848920015e-18,1.2331069950643243e-22,7.0745542207766545e-37,2.4783973595822653e-43,8.635707357024874e-15,9.01715523379405e-21
1e-11,0.48102428528931296,3.76,0.0,0.9787204114045804,0.9999999999999896,0.0,1.013966234506372e-52,3.721335735744261e-34,4.139252092018445e-14,1.0553102498836924e-14,8.085105426632675e-21,1.738402105232131e-20,1.0080309339614385e-17,2.050571193701343e-22,1.801230814515073e-36,1.0689341652275533e-42,1.054304846231975e-14,1.499188042529207e-20
1.6383e-11,0.48102428528931296,3.76,0.0,0.9787204114045605,0.9999999999999828,0.0,3.2302443091679e-52,8.949409073773995e-34,6.781475130022577e-14,1.728949828277531e-14,1.9454445534570313e-20,4.182956715326727e-20,1.6519519578476824e-17,4.934968086957332e-22,5.660583125144134e-36,3.966140213887646e-42,1.727304198089199e-14,3.60735116565424e-20
3.2767e-11,0.4810242852893158,3.76,0.0,0.9787204114045093,0.9999999999999655,0.0,2.8125711666385594e-51,3.571676177561101e-33,1.356357274600022e-13,3.4580568155667325e-14,7.782318049617355e-20,1.6732981169974872e-19,3.306945905197703e-17,1.975604605026261e-21,4.5288595148097463e-35,6.346411109963775e-41,3.4547751581849045e-14,1.4430283963881346e-19
6.5535e-11,0.4810242852893215,3.76,0.0,0.9787204114044069,0.9999999999999309,0.0,2.6135767982140926e-50,1.4220929689015234e-32,2.7127734657746026e-13,6.916257660775021e-14,3.113031911120533e-19,6.693412441719386e-19,6.625596009021549e-17,7.914526971355314e-21,3.623272181880595e-34,1.015480141159354e-39,6.90973321979033e-14,5.772210353539298e-19
