Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22)
0.0,0.07398452599072154,3.76,0.0,0.8442152068100195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.019595090696183e-16,0.07398452599072153,3.76,0.0,0.8442152068100193,0.9999999999999999,0.0,6.188108472422801e-58,1.0794745154063035e-37,2.0056497380115703e-16,6.039635916901312e-17,6.581489795579947e-26,1.805944347005046e-19,8.668646112783434e-26,6.021576501212047e-17,3.8062385392910654e-27,1.8030589150231764e-25,1.7070206821068644e-25,1.0776333688935316e-43,1.2217828720576715e-27,7.0352171121032625e-53
2.2454866253949313e-15,0.07398452599072154,3.76,0.0,0.844215206810019,0.9999999999999998,0.0,7.346965499980434e-57,6.520019080211941e-37,5.615819258769246e-16,1.6910980503771252e-16,3.9752198320039745e-25,5.056645302464954e-19,5.235862264554959e-25,1.686041421854255e-16,2.2989685067438274e-26,1.0890475683051784e-24,1.0310404808381069e-24,1.2793663465130892e-42,7.379568552773126e-27,1.5737499399915982e-51
5.132540858045557e-15,0.07398452599072154,3.76,0.0,0.8442152068100185,0.9999999999999996,0.0,7.214182806108671e-56,3.139101401560678e-36,1.2836158269631998e-15,3.865366942330147e-16,1.9138972257651795e-24,1.1558051736787426e-18,2.5208423082480657e-24,3.8538089713798857e-16,1.1068548107438294e-25,5.243295079355102e-24,4.964015976250179e-24,1.2560894877558255e-41,3.5529446002605495e-26,3.1094647352075947e-50
1.090664932334681e-14,0.07398452599072154,3.76,0.0,0.8442152068100174,0.9999999999999991,0.0,6.382431239084054e-55,1.370921795729974e-35,2.7276836168747097e-15,8.213904624552338e-16,8.358491970228686e-24,2.4560882699037814e-18,1.1009180755958247e-23,8.189344094669264e-16,4.833929594584512e-25,2.289884568362745e-23,2.167916093381924e-23,1.1109969664206054e-40,1.5516642561071506e-25,5.533126547561777e-49
2.2454866253949316e-14,0.07398452599072156,3.76,0.0,0.844215206810015,0.9999999999999982,0.0,5.367452848005468e-54,5.723276331991213e-35,5.615819147653574e-15,1.6910979582261403e-15,3.489505826474427e-23,5.0566616997919015e-18,4.5961163424487077e-23,1.6860414438200517e-15,2.0180736582466706e-24,9.559816084002957e-23,9.050622100486579e-23,9.338599588460429e-40,6.477892864994257e-25,9.332427299410699e-48
4.555130011515433e-14,0.07398452599072161,3.76,0.0,0.8442152068100104,0.9999999999999964,0.0,4.404881865913369e-53,2.3381023895315175e-34,1.1392090013034732e-14,3.4305127870739044e-15,1.4255769622215263e-22,1.0257837509287207e-17,1.8776635694684285e-22,3.4202555513073213e-15,8.244515596198289e-24,3.905495798976331e-22,3.697473760820372e-22,7.656349238853655e-39,2.646430637676525e-24,1.5328541958872107e-46
9.174416783756435e-14,0.07398452599072168,3.76,0.0,0.8442152068100012,0.999999999999993,0.0,3.574183503969269e-52,9.450638185438433e-34,2.2944630959091135e-14,6.909341793993859e-15,5.762409787786687e-22,2.0660304926889308e-17,7.589816974756277e-22,6.888683921406105e-15,3.3325862211639605e-23,1.5786630366194836e-21,1.49457746046848e-21,6.200311870010246e-38,1.0697296039307322e-23,2.484823386244333e-45
1.8412990328238438e-13,0.07398452599072182,3.76,0.0,0.8442152068099826,0.9999999999999861,0.0,2.888074696513626e-51,3.799782223985601e-33,4.6049709712383364e-14,1.3866997204736447e-14,2.3170394518041376e-21,4.1465702954421163e-17,3.0518325184120044e-21,1.3825541282101962e-14,1.3400353101983024e-22,6.347728133517126e-21,6.0096258021077395e-21,4.990553228445227e-37,4.3013359093101496e-23,4.0017336494492167e-44
3.689013741720245e-13,0.07398452599072215,3.76,0.0,0.8442152068099457,0.9999999999999722,0.0,2.3355671434557663e-50,1.523659825834381e-32,9.225985466370982e-14,2.7782297613872105e-14,9.29236308027177e-21,8.307835176184932e-17,1.223921732733153e-20,2.7699258485497375e-14,5.374277678163989e-22,2.5457176733471884e-20,2.4101251784414313e-20,4.004609198341573e-36,1.7250282583027873e-22,6.423675784501163e-43
7.384443159513046e-13,0.07398452599072274,3.76,0.0,0.8442152068098716,0.9999999999999445,0.0,1.900240232063536e-49,6.100802712096062e-32,1.8468009434552542e-13,5.5612856783063616e-14,3.721790947303889e-20,1.663110602505963e-16,4.90207404734734e-20,5.5446702820387385e-14,2.152623811781317e-21,1.0196107293876573e-19,9.653043380658114e-20,3.2085677963004293e-35,6.909112148434468e-22,1.0294653196174793e-41
1e-12,0.07398452599072397,3.76,0.0,0.8442152068098192,0.9999999999999248,0.0,6.77557210419305e-49,1.2578433097680696e-31,2.500933657305665e-13,7.53107547300067e-14,7.676542722568366e-20,2.252321276364705e-16,1.0111000565771371e-19,7.50858466293897e-14,4.4403005922719e-21,2.1030317686362978e-19,1.9910234693828458e-19,1.1163891168659944e-34,1.4250701578666422e-21,6.499011927856789e-41
