Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7)
0.0,0.7665840048260425,3.76,0.0,0.9762994661933249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0577567214832932e-20,0.7665840048260425,3.76,0.0,0.9762994661933247,1.0,2.975731998149139e-45,1.0835259053404816e-57,7.671105842820257e-37,2.2360514305091663e-16,6.989763659902625e-19,4.5901564421242124e-30,2.787288248707068e-31,2.897000706897059e-19,1.0053344757737272e-31,5.2176072335879164e-51,6.53537807863034e-64,4.092762952963168e-19,2.9254327969491024e-32,4.495993793892065e-34,6.340391655849566e-33,1.0647693727856009e-25
5.761718820153221e-20,0.7665840048260426,3.76,0.0,0.9762994661933245,1.0,3.532790711129749e-44,1.2863619560880187e-56,4.633347929049634e-36,6.260944005425514e-16,1.9571338247870278e-18,2.772454491042968e-29,1.68352210222933e-30,8.111601979317268e-19,6.0722202336767476e-31,6.194343307869241e-50,1.4619379347119398e-62,1.1459736268296934e-18,1.7669614093555703e-31,2.715580251521293e-33,3.829596560136204e-32,2.9813544492234564e-25
1.3169643017493076e-19,0.7665840048260426,3.76,0.0,0.9762994661933241,1.0,3.4685156068034556e-43,1.2629577990535995e-55,2.2307575790714308e-35,1.431072915525761e-15,4.473448742437731e-18,1.3348174933696368e-28,8.105434227394076e-30,1.8540804524179697e-18,2.9235126555551518e-30,6.081642991933118e-49,2.8885430015225472e-61,2.619368289896472e-18,8.507158573502682e-31,1.307434995279542e-32,1.843785893525653e-31,6.814525423794265e-25
2.7985491412172785e-19,0.7665840048260426,3.76,0.0,0.9762994661933233,1.0,3.067863067410731e-42,1.1170718752116625e-54,9.742304420167827e-35,3.041029945491939e-15,9.506078577967822e-18,5.829498681496881e-28,3.53985607601703e-29,3.939920961399257e-18,1.2767747842379585e-29,5.3791443545013977e-48,5.140007937459712e-60,5.566157616030132e-18,3.715299652099208e-30,5.709912118405459e-32,8.052297402976474e-31,1.4480870659716278e-24
5.76171882015322e-19,0.7665840048260429,3.76,0.0,0.9762994661933216,1.0,2.5787238769116974e-41,9.38966227290274e-54,4.067220317670794e-34,6.260944005423332e-15,1.9571338249942766e-17,2.433700945613474e-27,1.4778202296076364e-28,8.111601979397042e-18,5.330283390600226e-29,4.521494948647627e-47,8.669374667601618e-59,1.1459736268297857e-17,1.551064468918877e-29,2.3837759096678564e-31,3.3616756559742104e-30,2.9813574278681885e-24
1.1688058178025106e-18,0.7665840048260434,3.76,0.0,0.9762994661933184,1.0,2.1141936804621896e-40,7.698212554529822e-53,1.6615922098152493e-33,1.2700772125282265e-14,3.9701857597551656e-17,9.9424624598921e-27,6.037377839441453e-28,1.6454964015533457e-17,2.1775946879454996e-28,3.706994737641059e-46,1.4239473929693097e-57,2.324689357283494e-17,6.336604455304352e-29,9.738502398560504e-31,1.3733541942598515e-29,6.04790341050994e-24
2.3540736893768874e-18,0.7665840048260444,3.76,0.0,0.976299466193312,1.0,1.7121288750879935e-39,6.234212316649641e-52,6.716421377128864e-33,2.5580428364984716e-14,7.996289630740547e-17,4.0189022925835146e-26,2.44040465257594e-27,3.314168808836965e-17,8.802185896281115e-28,3.0020204513344224e-45,2.3082800878953597e-56,4.6821208181915606e-17,2.5613568343392663e-28,3.9364583752734044e-30,5.551317233793652e-29,1.2181016411187956e-23
4.724609432525642e-18,0.766584004826046,3.76,0.0,0.976299466193299,1.0,1.3780702779498764e-38,5.0178367591739925e-51,2.700643495300766e-32,5.1339740844327976e-14,1.6048497378565727e-16,1.6159829360711737e-25,9.812759779189663e-27,6.651513623629551e-17,3.539320235611157e-27,2.4162872330767995e-44,3.717413927150297e-55,9.396983740010301e-17,1.0299103177641573e-27,1.5828325999412327e-29,2.232160244250074e-28,2.444732655412206e-23
9.465680918823149e-18,0.7665840048260495,3.76,0.0,0.9762994661932731,0.9999999999999999,1.105814613275955e-37,4.026498504520235e-50,1.0830788304083108e-31,1.0285836580276792e-13,3.215291289763375e-16,6.480814339660891e-25,3.935355561133776e-26,1.332620325411611e-16,1.4194257145561383e-26,1.938918338454691e-43,5.967272655031273e-54,1.8826709583658207e-16,4.130401012344632e-27,6.347866668289834e-29,8.95196093849027e-28,4.8980283406302544e-23
1.8947823891418166e-17,0.7665840048260564,3.76,0.0,0.9762994661932213,0.9999999999999997,8.85997350915835e-37,3.226099454074715e-49,4.337964627292182e-31,2.058956157186615e-13,6.436174402944044e-16,2.595706110660244e-24,1.5761948976347733e-25,2.6675582518694784e-16,5.6851065443162e-26,1.5534941386523126e-42,9.563195678591878e-53,3.768616127099571e-16,1.654314810235489e-26,2.5424576996663353e-28,3.585453694210965e-27,9.804754337591248e-23
3.7912109836608194e-17,0.7665840048260701,3.76,0.0,0.9762994661931176,0.9999999999999993,7.093366058119485e-36,2.5828424979297298e-48,1.7363163543047665e-30,4.119701155465032e-13,1.2877940666773646e-15,1.0389589047878061e-23,6.308887293964163e-25,5.337434106227432e-16,2.2755241999527255e-25,1.243739918196552e-41,1.531357321065329e-51,7.540506464583749e-16,6.621570506312666e-26,1.0176456656086008e-27,1.435115874510553e-26,1.9618744837612763e-22
