Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16)
0.0,0.8386864482800399,3.76,0.0,0.8512191304894379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.550403695200847e-21,0.8386864482800399,3.76,0.0,0.8512191304894378,1.0,6.8317452472376725e-46,5.581616685434042e-57,2.5241453177743894e-36,2.3978998591493897e-16,7.069569097506264e-19,1.0157333282303034e-30,7.798647095304263e-32,4.34016658536048e-19,2.3623315117412079e-32,2.3246165661944662e-51,8.43219222841725e-65,2.7294025121366944e-19,2.454015059481913e-33,3.431577237109544e-35,1.1399318921954988e-32,5.466733025120992e-25,9.611452511988827e-33,9.523397589007599e-35,9.889931373360958e-50
7.141130346562372e-21,0.8386864482800399,3.76,0.0,0.8512191304894375,1.0,8.110649862316304e-45,6.626495329655375e-56,1.5245837719352564e-35,6.714119605618257e-16,1.9794793473048686e-18,6.1350293025110076e-30,4.710382845569961e-31,1.215246643901104e-18,1.4268482330918554e-31,2.759784787398171e-50,1.8862476727359266e-63,7.642327033982746e-19,1.482225095926769e-32,2.0726726512158166e-34,6.885188628860638e-32,1.5306852528261517e-24,5.805317317241228e-32,5.752132143760575e-34,1.1741326526453837e-48
1.6322583649285422e-20,0.8386864482800399,3.76,0.0,0.8512191304894371,1.0,7.963084964989857e-44,6.505932410657978e-55,7.340214584080804e-35,1.5346559098555853e-15,4.524524222425812e-18,2.9537525184936813e-29,2.2678465753237577e-30,2.777706614631894e-18,6.86966003614592e-31,2.709573069592792e-49,3.7269075414408223e-62,1.7468176077674863e-18,7.136275792968804e-32,9.979026605539328e-34,3.3149219425042473e-31,3.498709176623352e-24,2.795010390486314e-31,2.7694040188833884e-33,1.1527704008788475e-47
3.4685490254731525e-20,0.8386864482800402,3.76,0.0,0.8512191304894362,1.0,7.04325880394908e-43,5.75442354239486e-54,3.205664553566116e-34,3.2611438084430498e-15,9.614613972717534e-18,1.2899813268524427e-28,9.904281811132288e-30,5.902626556096185e-18,3.000161019913902e-30,2.3965866951597417e-48,6.631832842204828e-61,3.711987416505911e-18,3.1165991255372764e-31,4.358103091154718e-33,1.447713503088011e-30,7.43475711689413e-24,1.2206544690225422e-30,1.2094714938039421e-32,1.019612364867787e-46
7.141130346562372e-20,0.8386864482800405,3.76,0.0,0.8512191304894344,1.0,5.920283544325574e-42,4.836939721625723e-53,1.3383018474773578e-33,6.714119605617757e-15,1.9794793473500315e-17,5.385418106276682e-28,4.134842690016604e-29,1.2152466439035616e-17,1.2525081675275001e-29,2.014475522536125e-47,1.1185555417838318e-59,7.642327033982775e-18,1.3011187845330328e-30,1.819422251138517e-32,6.043918892418085e-30,1.5306853368141207e-23,5.0959921218561284e-30,5.049305401691623e-32,8.570456289248282e-46
1.4486292988740813e-19,0.8386864482800409,3.76,0.0,0.851219130489431,1.0,4.853806190402707e-41,3.965615426286796e-52,5.4673997240559625e-33,1.3620071199966293e-14,4.015515247586324e-17,2.2001190182796397e-27,1.689218155504338e-28,2.465214620495787e-17,5.116904547711498e-29,1.6515887429798862e-46,1.8372308363212748e-58,1.550300626893656e-17,5.3154947794039894e-30,7.432933558863802e-32,2.469138075769063e-29,3.105104735345744e-23,2.0818790599065335e-29,2.062806011369229e-31,7.02657787108077e-45
2.9176618273097693e-19,0.8386864482800419,3.76,0.0,0.851219130489424,1.0,3.930738117272105e-40,3.211458198920074e-51,2.210010384640604e-32,2.743197438865984e-14,8.087587048377853e-17,8.893232840651171e-27,6.828089867600378e-28,4.9651505736975937e-17,2.0683346304580904e-28,1.3374993845894851e-45,2.978230357747353e-57,3.122436473884433e-17,2.148607977269481e-29,3.0045105869572286e-31,9.980650883462777e-29,6.253944125537827e-23,8.415288023964371e-29,8.338191712259002e-31,5.690304936328522e-44
5.855726884181145e-19,0.838686448280044,3.76,0.0,0.8512191304894101,1.0,3.1638000115968434e-39,2.5848609670530605e-50,8.886354556663313e-32,5.505578076603285e-14,1.6231730651236686e-16,3.5759298113657334e-26,2.74554490497766e-27,9.965022480170631e-17,8.316682580475974e-28,1.0765358648474898e-44,4.796348178776082e-56,6.266708167866073e-17,8.639458177266835e-29,1.208100492763499e-30,4.013175823736096e-28,1.2551625278437324e-22,3.383750302653749e-28,3.352750214799326e-30,4.580052458088202e-43
1.1731856997923896e-18,0.8386864482800482,3.76,0.0,0.8512191304893824,0.9999999999999999,2.538750263464291e-38,2.0741881661114625e-49,3.5638256289923822e-31,1.103033935207225e-13,3.252001786205744e-16,1.4341077917266407e-25,1.1010863045903681e-26,1.9964766293394405e-16,3.335361687543526e-27,8.638522341821418e-44,7.699201062160575e-55,1.2555251555829688e-16,3.4648091381975285e-28,4.8450233126597986e-30,1.6094629989883188e-27,2.514699707429765e-22,1.3570352132946117e-27,1.3446027915524986e-29,3.675203655970767e-42
2.34841172254094e-18,0.8386864482800563,3.76,0.0,0.8512191304893267,0.9999999999999998,2.034089601524494e-37,1.661874645916085e-48,1.4273891330533986e-30,2.2079861902987635e-13,6.509659230411138e-16,5.74391143342191e-25,4.41008845560958e-26,3.9964253920952746e-16,1.335884390478279e-26,6.921330045719435e-43,1.2338797001216784e-53,2.5132338331758273e-16,1.3877308900510306e-27,1.9405364762265962e-29,6.44624691033524e-27,5.033777862626363e-22,5.435219111259996e-27,5.385424577126694e-29,2.944635257262798e-41
4.69886376803804e-18,0.838686448280073,3.76,0.0,0.8512191304892156,0.9999999999999996,1.6285084952896546e-36,1.3305102818395596e-47,5.713276414680292e-30,4.417890700472822e-13,1.3024974126986883e-15,2.299061479883586e-24,1.765184685728561e-25,7.996322918051262e-16,5.347018977447502e-26,5.541272514448321e-42,1.975815152009196e-52,5.028651188362083e-16,5.554540090650493e-27,7.767203092289714e-29,2.5801787045263272e-26,1.0071949357117693e-21,2.175504103478492e-26,2.1555733129971657e-28,2.357498670066952e-40
9.399767859032242e-18,0.8386864482801063,3.76,0.0,0.8512191304889933,0.999999999999999,1.3033017333877694e-35,1.0648127134345988e-46,2.2860547538110554e-29,8.837699720784868e-13,2.6055603952798216e-15,9.199240585746043e-24,7.063038012560071e-25,1.599611797174051e-15,2.1395040727250656e-25,4.434702138042657e-41,3.1625910010741576e-51,1.0059485898736757e-15,2.222539548110484e-26,3.1078929646715167e-28,1.0324075656216948e-25,2.014835308249288e-21,8.704850139194344e-26,8.62510101622904e-28,1.8867154279599343e-39
1.8801576041020643e-17,0.8386864482801726,3.76,0.0,0.8512191304885488,0.999999999999998,1.0428394038419664e-34,8.520121430266767e-46,9.145707598489444e-29,1.7677317761264667e-12,5.2116863735060244e-15,3.680295252835202e-23,2.8256751305338398e-24,3.19957080862281e-15,8.559409454454966e-25,3.5484355297775507e-40,5.061175298899747e-50,2.012115531949474e-15,8.89160541926975e-26,1.2433595618661631e-27,4.1303025256908986e-25,4.030140347881338e-21,3.4825068814455198e-25,3.450602039321835e-27,1.5096590003003393e-38
