Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7)
0.0,0.08700412561535072,3.76,0.0,0.8159117036485618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0998667656614306e-19,0.08700412561535072,3.76,0.0,0.8159117036485617,1.0,2.5251667286208135e-41,7.98788922194018e-57,1.589168590908396e-36,2.4489735927039973e-16,3.820123031913358e-18,1.0536242500813644e-28,6.074847697572205e-19,1.3978286743517925e-29,3.2126382620674205e-18,5.681952505548994e-30,6.5180932924917835e-31,1.206437542508979e-29,1.7321035472398405e-48,9.635938584673905e-32,2.3884149801311913e-60,1.672681516475695e-30,1.2672212112277698e-30,1.8255086257173785e-46,7.510172755462537e-47,1.7065310084290034e-25
3.0796269438520055e-19,0.08700412561535072,3.76,0.0,0.8159117036485615,1.0,2.9978780706525834e-40,9.483222342630423e-56,9.598578287785514e-36,6.857126059567346e-16,1.0696344489670093e-17,6.36389047048846e-28,1.7009573553426654e-18,8.442885193293966e-29,8.995387133791582e-18,3.431899313389384e-29,3.936928348657835e-30,7.286882756621746e-29,2.0563533315050993e-47,5.820106905144095e-31,5.342788774505208e-59,1.0102996359433663e-29,7.654016115812294e-30,2.167243840428195e-45,8.916117904017566e-46,4.778299960308871e-25
7.039147300233156e-19,0.08700412561535073,3.76,0.0,0.815911703648561,1.0,2.9433345240603254e-39,9.310684449020281e-55,4.621302260409819e-35,1.5673430993278654e-15,2.444878740643433e-17,3.063939319232137e-27,3.8879025266033474e-18,4.064885785328721e-28,2.0560884877251116e-17,1.6523117886703355e-28,1.8954615294458085e-29,3.5083203734173796e-28,2.0189398953302788e-46,2.802130940424755e-30,1.0556450283791588e-57,4.864157849792021e-29,3.6850792822452014e-29,2.1278128540630459e-44,8.75391531278988e-45,1.0921890410899247e-24
1.4958188012995456e-18,0.08700412561535073,3.76,0.0,0.8159117036485601,1.0,2.603346076949678e-38,8.235195869872866e-54,2.0182441084368075e-34,3.3306040860639724e-15,5.1953673244965883e-17,1.338102797598714e-26,8.26179286948388e-18,1.7752424167509436e-27,4.369188036421506e-17,7.216079682633003e-28,8.27797848135295e-29,1.5321756787810473e-27,1.785729474447539e-45,1.2237642002552218e-29,1.8784639259127355e-56,2.124305525800858e-28,1.6093709382539433e-28,1.8820263726157314e-43,7.742746062349366e-44,2.320928149940257e-24
3.0796269438520055e-18,0.08700412561535077,3.76,0.0,0.8159117036485584,1.0,2.1882692499089007e-37,6.922179873504465e-53,8.425771850844626e-34,6.857126059511567e-15,1.0696344494204132e-16,5.586315773889825e-26,1.7009573556681627e-17,7.411287634330714e-27,8.995387133832239e-17,3.012571218969281e-27,3.455893063578692e-28,6.396531848534406e-27,1.5010132228811812e-44,5.108974637608827e-29,3.1683039758398437e-55,8.868557399244666e-28,6.7188068618817195e-28,1.5819565666293035e-42,6.5082474189483566e-43,4.778490442569939e-24
6.247243228956925e-18,0.08700412561535083,3.76,0.0,0.8159117036485547,0.9999999999999999,1.7940753440920006e-36,5.675223800897888e-52,3.442202719282792e-33,1.3910170006308272e-14,2.1698298841624141e-16,2.282192270611043e-25,3.4505134936823846e-17,3.027752824263117e-26,1.8247785328725488e-16,1.2307336409583008e-26,1.4118450794418416e-27,2.613191973011338e-26,1.2306213297069599e-43,2.087182841207171e-28,5.203948803100089e-54,3.623095071007665e-27,2.744851832327229e-27,1.2969835708666423e-41,5.335855570175167e-42,9.693951327545305e-24
1.2582475799166766e-17,0.08700412561535094,3.76,0.0,0.8159117036485474,0.9999999999999997,1.4528887292551226e-35,4.5959474556648525e-51,1.391393368790893e-32,2.8016257899507756e-14,4.370220756848384e-16,9.22498604881287e-25,6.949625772009512e-17,1.223866102203269e-25,3.6752581718799106e-16,4.9748221560001345e-26,5.706903545355001e-27,1.0562939761814688e-25,9.965890623559473e-43,8.43672675603659e-28,8.43582529225699e-53,1.464512955614572e-26,1.1095129970146799e-26,1.0503309218591346e-40,4.3211146353959595e-41,1.9526218296359478e-23
2.525294093958645e-17,0.08700412561535116,3.76,0.0,0.8159117036485328,0.9999999999999993,1.1694112477522788e-34,3.6992249210982134e-50,5.594731488497833e-32,5.6228433684331025e-14,8.771002515028202e-16,3.709326317146619e-24,1.394785033785851e-16,4.921111777683477e-25,7.376217450009483e-16,2.0003541103667222e-25,2.2947208154274545e-26,4.247311615464081e-25,8.021415843823167e-42,3.392370722571944e-27,1.358563666475736e-51,5.888742179745972e-26,4.461302962705133e-26,8.453977019957067e-40,3.4780091757132716e-40,3.9196133029437075e-23
5.059387122042581e-17,0.08700412561535158,3.76,0.0,0.8159117036485037,0.9999999999999986,9.383788786613026e-34,2.9684055747607097e-49,2.2437375158957987e-31,1.1265278524767477e-13,1.7572566082619344e-15,1.4876057567552223e-23,2.794429950633548e-16,1.9735859316209044e-24,1.4778136006728033e-15,8.02231467485916e-25,9.202856806538538e-26,1.7033619192332424e-24,6.436681135170911e-41,1.3604923872739416e-26,2.180795591203815e-50,2.361648991974495e-25,1.789182024587186e-25,6.78378413534341e-39,2.7908834137599798e-39,7.855748567735343e-23
1.0127573178210452e-16,0.08700412561535248,3.76,0.0,0.8159117036484456,0.9999999999999971,7.5184500894554e-33,2.3783535911837095e-48,8.986653004101883e-31,2.2550148834915116e-13,3.517569342272765e-15,5.958182336686374e-23,5.593719799040534e-16,7.904637949440064e-24,2.9581973122002734e-15,3.213110296708533e-24,3.6859429053988476e-25,6.82233233170044e-24,5.157177812276182e-40,5.449065839976835e-26,3.494959359402078e-49,9.458914243325571e-25,7.166060421358589e-25,5.435282436574358e-38,2.2361029942830626e-38,1.5736628369994338e-22
2.0263945290546196e-16,0.08700412561535426,3.76,0.0,0.8159117036483292,0.9999999999999941,6.019331587332475e-32,1.9041560695872124e-47,3.597002925053482e-30,4.511988944512594e-13,7.0381948922648386e-15,2.3848256811949255e-22,1.1192299554700872e-15,3.163915230623845e-23,5.918964735990255e-15,1.2860814871174458e-23,1.4753377451315207e-24,2.730710856718723e-23,4.1288782698148644e-39,2.181046403747654e-25,5.596488881580253e-48,3.7860307452687356e-24,2.868291697084344e-24,4.351530807250919e-37,1.790242094882051e-37,3.1532825064985276e-22
4.0536689515217687e-16,0.0870041256153578,3.76,0.0,0.8159117036480965,0.9999999999999882,4.817294629154295e-31,1.5239468733441498e-46,1.4392694885200408e-29,9.025937062520977e-13,1.4079446320130623e-14,9.542409099208095e-22,2.2389459301407026e-15,1.265978245501066e-22,1.1840499586510382e-14,5.146001208998249e-23,5.903272685153551e-24,1.0926400125779665e-22,3.304357842552581e-38,8.727026561218211e-25,8.958027894186694e-47,1.5149054384408557e-23,1.1476902905670001e-23,3.4825471225620715e-36,1.4327378383241887e-36,6.32629668150197e-22
8.108217796456067e-16,0.08700412561536486,3.76,0.0,0.815911703647631,0.9999999999999764,3.8545675570781424e-30,1.2194583418414669e-45,5.758013447175754e-29,1.8053833282402612e-12,2.816195048738874e-14,3.817585000147969e-21,4.478377973636138e-15,5.064737611239768e-22,2.368356929931129e-14,2.0587356205345107e-22,2.3616934626698324e-23,4.371271361369693e-22,2.643988923732259e-37,3.49137889571062e-24,1.4335764275136208e-45,6.060608096858694e-23,4.5915084888090946e-23,2.786566751049012e-35,1.1464080622509718e-35,1.2727424374058432e-21
1.6217315486324664e-15,0.08700412561537901,3.76,0.0,0.8159117036467001,0.9999999999999527,3.083946744283179e-29,9.757701991209797e-45,2.3033914689259267e-28,3.6109625657625373e-12,5.632696406801104e-14,1.5271582786622718e-20,8.957242437243933e-15,2.026060146336637e-21,4.736970877195576e-14,8.23561310054588e-22,9.447542626095611e-23,1.7486507128424272e-21,2.115392943096072e-36,1.3966652214518503e-23,2.2939566432045373e-44,2.4244404589517114e-22,1.8367528687789064e-22,2.2294649634302615e-34,9.17213703917991e-35,2.575007711759812e-21
3.2435510866061857e-15,0.08700412561540732,3.76,0.0,0.8159117036448381,0.9999999999999053,2.4672743624762313e-28,7.808306567494965e-44,9.21392989387964e-28,7.222121014990887e-12,1.1265701221367886e-13,6.108881661983247e-20,1.7914972870928084e-14,8.104572114784649e-21,9.474198790541532e-14,3.2943796061200973e-21,3.7791707657546647e-22,6.994886365684369e-21,1.692396236859731e-35,5.586888226866766e-23,3.670520555453027e-43,9.698155790583235e-22,7.34731041068995e-22,1.783656470350905e-33,7.338060717268581e-34,5.267697194421234e-21
6.4871901625536236e-15,0.08700412561546396,3.76,0.0,0.8159117036411143,0.9999999999998106,1.973866088205543e-27,6.249632599525817e-43,3.685638222319667e-27,1.4444437810182781e-11,2.2531719244269944e-13,2.443602360167215e-19,3.583043976417749e-14,3.241896204187471e-20,1.8948654692501748e-13,1.3177789060637433e-20,1.5116990137190271e-21,2.7980105842236116e-20,1.3539515936166832e-34,2.2348007650719827e-22,5.872992601952221e-42,3.879340708841409e-21,2.9389839351906156e-21,1.42695876910511e-32,5.870592293275527e-33,1.1005711820220418e-20
1.29744683144485e-14,0.08700412561557722,3.76,0.0,0.8159117036336667,0.9999999999996211,1.5791112063506003e-26,5.004307944082392e-42,1.4742633098933986e-26,2.8889070987507405e-11,4.506378886514167e-13,9.774508712478061e-19,7.166139765425559e-14,1.2967727944164318e-19,3.789756679749583e-13,5.27117127163147e-20,6.04685718070856e-21,1.1192149086401175e-19,1.0831780772277152e-33,8.939294052179855e-22,9.396940791635632e-41,1.5517516423973456e-20,1.1756055145538645e-20,1.1415801199197638e-31,4.696536573368249e-32,2.389228311102621e-20
2.5949024618238254e-14,0.08700412561580373,3.76,0.0,0.8159117036187714,0.999999999999242,1.2632958134400424e-25,4.010738065855103e-41,5.897027425310787e-26,5.777833568992045e-11,9.012806240710451e-13,3.909823243582657e-18,1.4332340984916807e-13,5.187126531018088e-19,7.57953922117822e-13,2.1084808539150252e-19,2.4187548658647492e-20,4.476876722646665e-19,8.66553919578557e-33,3.5757358532769724e-21,1.5035306909764028e-39,6.207034729047511e-20,4.702445828783119e-20,9.132688055508776e-31,3.757262754781852e-31,5.530758902792921e-20
5.189813722581776e-14,0.08700412561625674,3.76,0.0,0.8159117035889809,0.9999999999984841,1.010638612501969e-24,3.2202282995722076e-40,2.3587723232548667e-25,1.1555685848580535e-10,1.8025714669149958e-12,1.5639331724731103e-17,2.86647819901531e-13,2.0748630652873014e-18,1.5159104785757623e-12,8.433957832230673e-19,9.675041597550623e-20,1.7907506971666667e-18,6.932552977451829e-32,1.4302980149566744e-20,2.405690689818122e-38,2.482817476812458e-19,1.8809829972422396e-19,7.306160766679435e-30,3.00583704327647e-30,1.407068156313173e-19
1.0379636244097676e-13,0.08700412561716277,3.76,0.0,0.8159117035293997,0.9999999999969682,8.085104305501658e-24,2.5947904269223993e-39,9.434744143557455e-25,2.3111387764183955e-10,3.6051746405890215e-12,6.255739826485297e-17,5.732981826845113e-13,8.299520224443222e-18,3.031823784182774e-12,3.373597797141827e-18,3.8700195833331183e-19,7.16297552895891e-18,5.5462122946399406e-31,5.721199624384404e-20,3.8492198206808494e-37,9.93126070412779e-19,7.523940613276614e-19,5.844919116717699e-29,2.404701876892029e-29,4.017794193553179e-19
2.0759281287129478e-13,0.08700412561897482,3.76,0.0,0.8159117034102372,0.9999999999939364,6.468061700556871e-23,2.1055958161306135e-38,3.773614369348037e-24,4.622278102111984e-10,7.210466939620357e-12,2.5022968671177135e-16,1.146605079188306e-12,3.3198561283578927e-17,6.063651166179553e-12,1.3494482766633264e-17,1.5480072361711284e-18,2.865162939249652e-17,4.437231826999771e-30,2.2884815364780718e-19,6.159104129581673e-36,3.9724893424894095e-18,3.0095774044452785e-18,4.6759096953422235e-28,1.9238088116985243e-28,1.2850187605684144e-18
3.113892633016128e-13,0.08700412562078685,3.76,0.0,0.8159117032910749,0.9999999999909044,1.8494574021491776e-22,6.077474407502682e-38,8.018512467392524e-24,6.9334163703808e-10,1.081584519007377e-11,5.317380875771351e-16,1.7199181468547598e-12,7.054763048501912e-17,9.095479318977314e-12,2.8675903147995064e-17,3.289513669334616e-18,6.088429653117546e-17,1.2688193280896286e-29,4.863024517043125e-19,2.267028544855444e-35,8.441515780347843e-18,6.395352072449077e-18,1.3370135049066727e-27,5.500990334514545e-28,2.529349767425211e-18
4.1518571373193085e-13,0.0870041256225989,3.76,0.0,0.8159117031719123,0.9999999999878725,3.901033398399382e-22,1.2951324387483949e-37,1.3677981285357878e-23,9.244553581227167e-10,1.4421309391688055e-11,9.07082557912809e-16,2.2932373859086945e-12,1.2034702922933436e-16,1.2127308242594292e-11,4.891791341342811e-17,5.611520220011776e-18,1.0386078602350011e-16,2.676416493501983e-29,8.295749058510508e-19,5.749856803691579e-35,1.4400193923418537e-17,1.0909717570315268e-17,2.8201403363654743e-27,1.1603424304936119e-27,4.134769971989322e-18
6.227786145925669e-13,0.08700412562622299,3.76,0.0,0.815911702933587,0.9999999999818087,1.0654895457156483e-21,3.6178501169332283e-37,2.831624849725829e-23,1.3866825521221341e-09,2.1632439516218637e-11,1.8779988753269232e-15,3.4398903485825707e-12,2.4916692284563223e-16,1.8190967898950295e-11,1.0127899755163788e-16,1.1617928336928792e-17,2.150282660534168e-16,7.310763611474842e-29,1.717529820950516e-18,2.010887437619971e-34,2.981363600870229e-17,2.2587180610712083e-17,7.70264177912069e-27,3.1694117516732826e-27,8.193056965711633e-18
8.30371515453203e-13,0.0870041256298471,3.76,0.0,0.8159117026952613,0.9999999999757448,2.229353656674141e-21,7.722448748324206e-37,4.815484017969707e-23,1.8489093572715305e-09,2.884388571165304e-11,3.1939835306726318e-15,4.586566007516925e-12,4.237736224419879e-16,2.42546303900349e-11,1.7225012811999484e-16,1.975903380387277e-17,3.657030267809564e-16,1.5297774689406036e-28,2.92106883337123e-18,5.024954462681215e-34,5.070496350905468e-17,3.841487053998869e-17,1.611643595368427e-26,6.631766493392264e-27,1.3579177225659609e-17
1e-12,0.0870041256334712,3.76,0.0,0.8159117025005199,0.9999999999707899,3.674234914081419e-21,1.2945185961895362e-36,6.85009441260878e-23,2.2266042010753396e-09,3.473676006211785e-11,4.5437803618930474e-15,5.5235566341843394e-12,6.028702028980362e-16,2.920937760445439e-11,2.4504542332433957e-16,2.8109303158468796e-17,5.202469399930009e-16,2.5214309671264672e-28,4.155531554170856e-18,9.434849852282828e-34,7.213293359613758e-17,5.4649228562761104e-17,2.6561742436109675e-26,1.0930374223174548e-26,1.9036477774697215e-17
1.037964416313839e-12,0.0870041256334712,3.76,0.0,0.815911702456935,0.9999999999696809,4.058440311578564e-21,1.434425504447926e-36,7.35639558689691e-23,2.3111357457974566e-09,3.605567055273853e-11,4.879683975300999e-15,5.7332659853758975e-12,6.47439628749377e-16,3.0318295918450574e-11,2.631609582942949e-16,3.01873080657364e-17,5.587057407519027e-16,2.785127979074747e-28,4.462733767708589e-18,1.0661635791279852e-33,7.746537735579072e-17,5.868922882711236e-17,2.9339231230942785e-26,1.2073429306249214e-26,2.0387959493199424e-17
