Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101)
0.0,0.09583473623878357,3.76,0.0,0.553714648798023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.344373631520703e-22,0.09583473623878357,3.76,0.0,0.5537146487980229,1.0,1.5586143114355124e-45,2.419201794513563e-55,2.2124415490283583e-35,2.6924491942914945e-16,2.1540675386910625e-18,1.397757360849401e-30,1.403646038050538e-18,2.6758216016015257e-31,7.504215006394946e-19,7.899782314200275e-32,5.08313080582925e-34,1.842123455317144e-32,5.885213597921721e-50,3.502404398694991e-34,2.7965879069182564e-63,2.886213608228179e-32,1.952502310500042e-32,8.991146605653973e-49,1.9247360064548063e-48,7.351336641157902e-24,3.904783622034184e-64,5.031693976248204e-35,1.3800996682487065e-84,1.264671504108615e-97,1.4025579137651708e-46
9.36424616825797e-22,0.09583473623878358,3.76,0.0,0.5537146487980227,1.0,1.8503888541943959e-44,2.872076370676168e-54,1.3363146956127254e-34,7.538857744016136e-16,6.031389108338891e-18,8.442454459530332e-30,3.930208906542078e-18,1.616196247368198e-30,2.1011802017905912e-18,4.771468517777542e-31,3.0702110067208394e-33,1.1126425670112326e-31,6.986925583464001e-49,2.1154522568117675e-33,6.255855284269561e-62,1.7432730193698615e-31,1.1793113955420293e-31,1.0674289250230939e-47,2.285099939627637e-47,2.058374262565144e-23,8.735023982218209e-63,3.0391431616363175e-34,5.695019924046501e-83,9.814412651555584e-96,1.665116755210339e-45
2.1403991241732505e-21,0.0958347362387836,3.76,0.0,0.5537146487980222,1.0,1.81672360140388e-43,2.819821612371277e-53,6.43378002456842e-34,1.7231674843465224e-15,1.3786032247650209e-17,4.064678405349985e-29,8.983334643527447e-18,7.781289217470383e-30,4.802697604092811e-18,2.297256696970306e-30,1.4781744383351052e-32,5.356895008057419e-31,6.859804969771769e-48,1.0184991991404928e-32,1.236051583997961e-60,8.39310917272816e-31,5.677876718934181e-31,1.048008048354569e-46,2.2435480500492637e-46,4.704855471627577e-23,1.7259093864264063e-61,1.4632166082665803e-33,2.2528932472610523e-81,1.06664589547528e-93,1.6348215042481949e-44
4.5483481388681566e-21,0.0958347362387836,3.76,0.0,0.5537146487980212,1.0,1.6068717899489175e-42,2.494100283492065e-52,2.8098007672597685e-33,3.661730904236263e-15,2.929531852633549e-17,1.7751518482786646e-28,1.9089586117507326e-17,3.3982934340475217e-29,1.0205732408697347e-17,1.0032723539043296e-29,6.45557612340273e-32,2.339496788247776e-30,6.067419810984476e-47,4.448053586342526e-32,2.199487751755969e-59,3.665491282450424e-30,2.479677934335114e-30,9.26951250455535e-46,1.984402127667766e-45,9.997817938407346e-23,3.0711764861290414e-60,6.390251349562445e-33,8.040415976339763e-80,8.717035389315427e-92,1.4459811066984339e-43
9.36424616825797e-21,0.09583473623878364,3.76,0.0,0.5537146487980192,1.0,1.35067269485096e-41,2.0964415704572142e-51,1.1730365092892121e-32,7.53885774401543e-15,6.031389108395661e-17,7.410909527222847e-28,3.9302089065503667e-17,1.418720613181354e-28,2.1011802017906828e-17,4.1884645829970357e-29,2.695075953250291e-31,9.766938560046521e-30,5.1000319406698e-46,1.8569748121879825e-31,3.709757577273025e-58,1.5302704550831532e-29,1.0352167250271761e-29,7.791583790096456e-45,1.6680132387810894e-44,2.0583743066586486e-22,5.179998574285537e-59,2.6678041459613e-32,2.7166748368027274e-78,6.27101555493096e-90,1.215434247002505e-42
1.8996042227037598e-20,0.0958347362387837,3.76,0.0,0.5537146487980154,1.0,1.1073631328140764e-40,1.7187894633660178e-50,4.792236892809771e-32,1.529311142357252e-14,1.2235103620020118e-16,3.0275983538936632e-27,7.97270949616427e-17,5.795936622036472e-28,4.26239412363274e-17,1.7111244483918525e-28,1.1010264650655189e-30,3.990113089117067e-29,4.1813143160249576e-45,7.586348023748437e-31,6.093287960534244e-57,6.251654123971412e-29,4.2291981046359646e-29,6.388011138770162e-44,1.3675394951963659e-43,4.1755594101423207e-22,8.508171735218052e-58,1.0898850418234112e-31,8.931832495887867e-77,4.2498495920572475e-88,9.964864290136081e-42
3.825963434459685e-20,0.09583473623878387,3.76,0.0,0.5537146487980075,1.0,8.967713965707376e-40,1.3919202736887118e-49,1.9370987733295134e-31,3.080161878268172e-14,2.464253264366994e-16,1.223803661776499e-26,1.6057710675450612e-16,2.3428102517241506e-27,8.584821967317497e-17,6.91663860568949e-28,4.450525010779556e-30,1.612867507024691e-28,3.386136741193691e-44,3.0665231664678917e-30,9.87748236214385e-56,2.527018552260952e-28,1.7095094929540634e-28,5.173177040524023e-43,1.107469523447398e-42,8.409929928501035e-22,1.379211988443732e-56,4.405489595806387e-31,2.897018463970382e-75,2.7980221635767595e-86,8.069805456709883e-41
7.678681857971535e-20,0.09583473623878415,3.76,0.0,0.5537146487979917,0.9999999999999999,7.217996458133518e-39,1.1203385364331543e-48,7.788988970698603e-31,6.181863350088017e-14,4.945739069257326e-16,4.920860699160916e-26,3.2227713034257434e-16,9.420336981992798e-27,1.7229677654689589e-16,2.78114996288894e-27,1.789536532713277e-29,6.4852693091281445e-28,2.7254574368447715e-43,1.2330354781775902e-29,1.5907380840074603e-54,1.016103045634396e-27,6.873862484210841e-28,4.163822938404306e-42,8.913880535699718e-42,1.6878672210783954e-21,2.2211789393421155e-55,1.7714279897272666e-30,9.333130904745371e-74,1.8161341154152025e-84,6.49528148555518e-40
1.5384118704995237e-19,0.0958347362387847,3.76,0.0,0.5537146487979602,0.9999999999999997,5.791987618122047e-38,8.990011284058815e-48,3.123732948167937e-30,1.2385266293719734e-13,9.90871067967945e-16,1.9734852312360163e-25,6.456771775280762e-16,3.777976464927839e-26,3.451938902944407e-16,1.1153655251091797e-26,7.176841885948293e-29,2.6008830536168837e-27,2.1870079502248874e-42,4.9450237560864234e-29,2.553486920707719e-53,4.075027676201756e-27,2.7567262971835807e-27,3.341205679595382e-41,7.152828686366211e-41,3.3816161757611728e-21,3.5654845564266654e-54,7.104218523729991e-30,2.996672615503312e-72,1.1705186827535388e-82,5.212054328462106e-39
3.079499239904264e-19,0.09583473623878584,3.76,0.0,0.5537146487978971,0.9999999999999993,4.640638341891199e-37,7.202949066391196e-47,1.2511225096184746e-29,2.4792072180951276e-13,1.983465390308957e-15,7.904234569239865e-25,1.2924772719365422e-15,1.5131611682554484e-25,6.909881177899425e-16,4.467279816271718e-26,2.8744801752230394e-28,1.0417098347617614e-26,1.7522677173316445e-41,1.9805888131280744e-28,4.09223716631714e-52,1.6321365936408338e-26,1.1041284196759574e-26,2.677030436020714e-40,5.730967554995461e-40,6.769116078031506e-21,5.714072471439012e-53,2.845392945704803e-29,9.605500179060128e-71,7.517640932557297e-81,4.175985971061784e-38
