Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214)
0.0,0.7327072085832151,3.76,0.0,0.8163006177301899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6334650105209845e-20,0.7327072085832151,3.76,0.0,0.8163006177301897,1.0,1.1600710003791302e-43,2.6775688643472185e-57,1.2686986834183509e-36,2.8722573684523e-16,9.476338425396444e-19,1.0315194302433095e-29,7.436086528867548e-31,3.5323736387032287e-19,2.2460679445458125e-31,2.21647494593011e-50,5.433218098165309e-63,5.943964786600262e-19,9.371382053740429e-32,1.5286040097494855e-33,1.30494266871594e-31,1.2610771715590241e-25,1.1371114646349295e-31,1.5666681944562344e-33,2.5677062349384714e-48,4.302092275723901e-48,7.321600458771452e-35,2.1615741296238471e-63,6.738304082481269e-86,1.7976193973213084e-32,8.349219349281627e-98,1.1781652303835771e-76,1.0787048898005787e-61,3.622742967959448e-67,5.623244334428588e-78
1.2973702029458758e-19,0.7327072085832153,3.76,0.0,0.8163006177301896,1.0,1.3772363618571215e-42,3.1788097617630056e-56,7.662940047794104e-36,8.042320631666098e-16,2.653374759142744e-18,6.230377358669367e-29,4.4913962634808496e-30,9.890646188385104e-19,1.3566250385075094e-30,2.6313990559169764e-49,1.2153891557351728e-61,1.6643101402480888e-18,5.66031476044818e-31,9.232768218937212e-33,7.881853719041323e-31,3.531017208928649e-25,6.868153246398558e-31,9.462675894515617e-33,3.048380842118329e-47,5.107461642361617e-47,4.422246676967674e-34,4.835367004862062e-62,2.7805800562782713e-84,1.0857621159783593e-31,6.463464634980834e-96,6.840329898058363e-75,3.391620766348113e-60,1.1390483528970709e-65,3.3297547899517495e-76
2.96541760673343e-19,0.7327072085832153,3.76,0.0,0.816300617730189,1.0,1.3521788577350845e-41,3.120974286242118e-55,3.689375771301459e-35,1.8382447158092317e-15,6.064856592475898e-18,2.9996585031472096e-28,2.1624139626619569e-29,2.2607191287813103e-18,6.531565582766796e-30,2.5835231973037002e-48,2.4014041613423264e-60,3.8041374634242745e-18,2.7251979012111575e-30,4.4451804604269804e-32,3.7947732806215225e-30,8.070901797921427e-25,3.306720139163747e-30,4.555871109478666e-32,2.9929183874421196e-46,5.014543880146648e-46,2.129121413215313e-33,9.553881106926563e-61,1.0999698259358414e-82,5.227477207354692e-31,7.03245714556245e-94,3.070578271034291e-73,7.566519357079298e-59,2.541154215768314e-64,1.498340712677192e-74
6.301512414308538e-19,0.7327072085832154,3.76,0.0,0.816300617730188,1.0,1.1959868989445004e-40,2.760466433557343e-54,1.611247327859564e-34,3.906270021093927e-15,1.2887820259650034e-17,1.3100296764086572e-27,9.443829892356951e-29,4.8040281486926126e-18,2.8525062896016747e-29,2.285097010936252e-47,4.27317039928353e-59,8.083792109776892e-18,1.1901655208079236e-29,1.9413270924598389e-31,1.657277189264666e-29,1.7150689032921102e-24,1.4441315600919114e-29,1.989668606959352e-31,2.6472024199674405e-45,4.4353103531494e-45,9.298432580620354e-33,1.700062974173345e-59,3.925714230743523e-81,2.2829766345405322e-30,5.7495210907785925e-92,1.1558570218680254e-71,1.4171253353469615e-57,4.759300608957778e-63,5.6475979180496256e-73
1.2973702029458757e-18,0.7327072085832157,3.76,0.0,0.8163006177301859,1.0,1.0052990570206813e-39,2.320338403747748e-53,6.726640418748418e-34,8.04232063166112e-15,2.6533747596029585e-17,5.469116019146909e-27,3.942613078231219e-28,9.890646188618015e-18,1.1908652242238313e-28,1.9207617257717507e-46,7.20732646049055e-58,1.66431014024831e-17,4.968706764739177e-29,8.104658460393696e-31,6.918806029490708e-29,3.531033573097689e-24,6.02896498554435e-29,8.306474767006354e-31,2.225133139889199e-44,3.7281468202367253e-44,3.8819125614231707e-32,2.867405407204574e-58,1.3264101491589832e-79,9.530978044079805e-30,4.136908124124993e-90,4.003553253869323e-70,2.447731602830716e-56,8.220508239930445e-62,1.9575602974946534e-71
2.631808125975919e-18,0.7327072085832163,3.76,0.0,0.8163006177301817,1.0,8.242049064790962e-39,1.902353670967618e-52,2.7480520956086083e-33,1.6314421852786726e-14,5.382560227691387e-17,2.2343123466815777e-26,1.6106860870285393e-27,2.0063882268880028e-17,4.865073010821108e-28,1.5747565113990318e-45,1.183805536142903e-56,3.376171998789941e-17,2.0298788382380064e-28,3.3110174298720705e-30,2.8265580181105862e-28,7.16299180393143e-24,2.463028916900138e-28,3.39346597591947e-30,1.824298584955175e-43,3.056560494411423e-43,1.5858879442329542e-31,4.709722572218463e-57,4.36094660686009e-78,3.893715518935463e-29,2.80379627128477e-88,1.3322111428339876e-68,4.06694266769322e-55,1.36584973635872e-60,6.516318127372862e-70
5.3006839720360056e-18,0.7327072085832173,3.76,0.0,0.8163006177301734,1.0,6.67462502983042e-38,1.5405754195627194e-51,1.1108065943572042e-32,3.285862429500279e-14,1.0840931167118315e-16,9.031447741084974e-26,6.510650692534236e-27,4.0410354431048886e-17,1.9665402968897745e-27,1.2752786529930594e-44,1.9189997902687223e-55,6.799895715874766e-17,8.205094813315803e-28,1.3383661840169976e-29,1.1425399436802055e-27,1.4427023830489238e-23,9.95595668672974e-28,1.371693204319346e-29,1.4773642922189273e-42,2.4752821292435057e-42,6.4104126258187415e-31,7.634663720667101e-56,1.4144627328994026e-76,1.5739020677252705e-28,1.8460391047143704e-86,4.346681947570432e-67,6.630142993845666e-54,2.226679784736014e-59,2.1265116419597345e-68
1.063843566415618e-17,0.7327072085832195,3.76,0.0,0.8163006177301567,0.9999999999999999,5.372318906204957e-37,1.2399892775653647e-50,4.4665044587657804e-32,6.594702917929435e-14,2.175767305897244e-16,3.631505414931163e-25,2.617904010368199e-26,8.110329876196593e-17,7.907372042939771e-27,1.0264552094690922e-43,3.090490010933325e-54,1.364734315005066e-16,3.299232536677597e-27,5.381511564448608e-29,4.59410286268844e-27,2.895555014316612e-23,4.003246395988049e-27,5.515518045307532e-29,1.1891113101461042e-41,1.9923224803408565e-41,2.5775987176455355e-30,1.2295390966094075e-54,4.55688110224084e-75,6.3285909901206335e-28,1.1982459669761353e-84,1.4044681080275134e-65,1.0707698652099926e-52,3.596093773617443e-58,6.871669924660065e-67
2.131393904839653e-17,0.7327072085832238,3.76,0.0,0.8163006177301234,0.9999999999999998,4.3109475864247395e-36,9.9501354878412e-50,1.7912680555786737e-31,1.321238389473153e-13,4.3591156894681787e-16,1.4563960944297555e-24,1.0498965982057822e-25,1.6248918745011732e-16,3.171209855663312e-26,8.236656662093748e-43,4.960920934079887e-53,2.734223801842742e-16,1.3231398086376356e-26,2.1582268329352177e-28,1.8424407241165207e-26,5.801445180676466e-23,1.6054808544765794e-26,2.211969423740835e-28,9.541869387451155e-41,1.5987133503532358e-40,1.0337323675436454e-29,1.9736825928975507e-53,1.463119593720008e-73,2.538048039005509e-27,7.72290330107405e-83,4.516068798662995e-64,1.7212312875491156e-51,5.78061562795653e-57,2.2096895013326e-65
