Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799)
0.0,0.811203622609423,3.76,0.0,0.5298971179944137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.242696522810464e-21,0.811203622609423,3.76,0.0,0.5298971179944135,1.0,1.1468997937395641e-45,4.570806337689553e-55,7.472080889180348e-36,3.0413593837645414e-16,9.303587101113852e-19,4.221879608196133e-23,1.5362937534590541e-31,5.929229950415944e-19,2.9252615223704155e-32,1.0796905970841912e-50,5.931848481701866e-64,3.374357150688014e-19,3.76578029741101e-33,5.420261757349699e-35,2.205994217614836e-32,1.4229793638334072e-24,1.8481109638336792e-32,1.157608457548423e-34,3.7463449693540146e-49,1.2489109367908385e-48,1.653481549152187e-35,7.755755013375037e-65,9.478793790587155e-86,4.37061211332629e-33,4.0889870549807534e-86,7.011092910120227e-68,4.458183466843445e-56,2.224628388457691e-67,1.987471424941556e-68,1.7400486271915369e-68,4.221879484777294e-23,1.6759528066194365e-35,1.5728827040935058e-56
9.079550263869299e-21,0.811203622609423,3.76,0.0,0.5298971179944134,1.0,1.3615998580210537e-44,5.426461284140098e-54,4.5131368570634634e-35,8.515806274540674e-16,2.605004388315474e-18,1.1821263302821182e-22,9.279214270903371e-31,1.6601843861168547e-18,1.7668579595120772e-31,1.2818086768630938e-49,1.3269307779674705e-62,9.448200021926445e-19,2.2745312996355858e-32,3.273838101440544e-34,1.3324205074393824e-31,3.984342244542329e-24,1.116259022155657e-31,6.9919550835924486e-34,4.447660747616976e-48,1.482720426855122e-47,9.9870285568519e-35,1.734952756171223e-63,3.9114507985955498e-84,2.639849716447909e-32,2.487027188268134e-84,2.2042657899537897e-66,6.737207178765638e-55,6.994587154392421e-66,6.248892676518555e-67,3.892419177883701e-67,1.18212625573714e-22,1.0122754951994217e-34,1.867326346301976e-55
2.075325774598697e-20,0.811203622609423,3.76,0.0,0.5298971179944129,1.0,1.3368270000915585e-43,5.327731867315427e-53,2.1728811225714443e-34,1.946470005609276e-15,5.9542957447380306e-18,2.70200322915593e-22,4.4675422350749595e-30,3.7947071682689345e-18,8.506660507058355e-31,1.258487359975648e-48,2.6217916103228727e-61,2.1595885764403323e-18,1.0950889104861243e-31,1.576212119039281e-33,6.415031184824265e-31,9.107068109195318e-24,5.374306682830058e-31,3.366325394550773e-33,4.3667396962786475e-47,1.4557495629541225e-46,4.808324344893593e-34,3.4279931875808e-62,1.5473310382181386e-82,1.2709740025535317e-31,1.1226343916776581e-82,4.917530724626898e-65,7.247580766495112e-54,1.560453895639402e-64,1.394091860135468e-65,7.690764370257522e-66,2.7020028702539496e-22,4.8736707616681056e-34,1.8333520798979537e-54
4.410067271022231e-20,0.8112036226094234,3.76,0.0,0.5298971179944117,1.0,1.1824084160914651e-42,4.712318502120436e-52,9.489542729236298e-34,4.136248761919623e-15,1.2652878457640661e-17,5.741757666698763e-22,1.951093066909563e-29,8.063752732579332e-18,3.715082133415786e-30,1.1131178179996665e-47,4.665338088850634e-60,4.589125724935712e-18,4.782540977701672e-31,6.883732431854657e-33,2.801612656371173e-30,1.9352520251441903e-23,2.347100924070548e-30,1.4701627410864523e-32,3.8623318096043455e-46,1.2875963280534547e-45,2.0999215673809453e-33,6.099946169355762e-61,5.522314569137228e-81,5.550677383906266e-31,4.238660034679717e-81,9.209942464027254e-64,6.661776698615031e-53,2.922557431819021e-63,2.6109784868584094e-64,1.3685304293384282e-64,5.741756099279522e-22,2.128460064425885e-33,1.6215791526258706e-53
9.079550263869299e-20,0.8112036226094236,3.76,0.0,0.5298971179944095,1.0,9.938855483557824e-42,3.960987639729585e-51,3.9616972874229506e-33,8.515806274540039e-15,2.6050043883676016e-17,1.1821269100965266e-21,8.145429480988992e-29,1.660184386122507e-17,1.550973659165616e-29,9.356425964373328e-47,7.868774587230828e-59,9.448200021926495e-18,1.9966167136780388e-30,2.8738227837653e-32,1.1696181341796847e-29,3.984342618769746e-23,9.798684330262146e-30,6.13764004192133e-32,3.246522608921072e-45,1.0823032192417172e-44,8.766759173223912e-33,1.0288463375025071e-59,1.8658652834746146e-79,2.317298542469289e-30,1.4705577524048284e-79,1.5907845250853486e-62,5.699292490119902e-52,5.047991161367774e-62,4.5098149727494525e-63,2.3082266019016483e-63,1.1821262557298482e-21,8.885901780868167e-33,1.363034985268762e-52
1.8418516249563435e-19,0.8112036226094244,3.76,0.0,0.5298971179944051,1.0,8.148474321894307e-41,3.247456980184034e-50,1.6184826089026878e-32,1.727492129977975e-14,5.2844374736667014e-17,2.3980302206221616e-21,3.3276737218686767e-28,3.3678026118616335e-17,6.336233467956036e-29,7.670963297510722e-46,1.292448588874524e-57,1.9166348615908144e-17,8.156830755325581e-30,1.1740503777046277e-31,4.7782717151249684e-29,8.08252446672582e-23,4.0030822721158304e-29,2.5074262233878385e-31,2.661695381426342e-44,8.873379360514063e-44,3.581507174403036e-32,1.689884215713084e-58,6.13455683217778e-78,9.466920661811182e-30,4.897523172953575e-78,2.6431089774884634e-61,4.712288998552393e-51,8.387312801955843e-61,7.493124153992771e-62,3.7912691386236493e-62,2.3980275473207654e-21,3.630180817395148e-32,1.1174984320500288e-51
3.709644822095171e-19,0.8112036226094257,3.76,0.0,0.5298971179943963,1.0,6.59884581565698e-40,2.629874859112347e-49,6.542165478217502e-32,3.479315135025471e-14,1.0643303644633027e-16,4.829840936362772e-21,1.3450989233574001e-27,6.783039063379804e-17,2.5612068754219504e-28,6.212144962240891e-45,2.0951148582051076e-56,3.860264580387179e-17,3.297121407772991e-29,4.745699341252776e-31,1.931453825246316e-28,1.6278890805457804e-22,1.6181098581737786e-28,1.0135417697893204e-30,2.155509928989647e-43,7.185894127772198e-43,1.447702463131762e-31,2.739375954440492e-57,1.9897288085649857e-76,3.8266806944850137e-29,1.5986254581040378e-76,4.308932030028658e-60,3.8319612598613054e-50,1.3673436703822563e-59,1.2215682830210367e-60,6.145810695424363e-61,4.829830130451104e-21,1.4673771280493092e-31,9.049792034123861e-51
7.445231216372825e-19,0.8112036226094285,3.76,0.0,0.5298971179943787,1.0,5.3113252175598865e-39,2.1167520814430725e-48,2.6305759652438556e-31,6.982961145118671e-14,2.1361035988038178e-16,9.693478746601348e-21,5.408583611644935e-27,1.3613511966575815e-16,1.0298500200238294e-27,5.000074711236615e-44,3.37411789114865e-55,7.747524017980042e-17,1.3257580167723184e-28,1.9082248328264305e-30,7.766290882898617e-28,3.267163405420114e-22,6.5063485727052815e-28,4.075406879135197e-30,1.7349419159727637e-42,5.783833337485956e-42,5.821147930900061e-31,4.411681182244132e-56,6.410176430170034e-75,1.5386914768528366e-28,5.166468979026643e-75,6.958934577987545e-59,3.0906254278499865e-49,2.2082636783518033e-58,1.9728359842864616e-59,9.897638804612296e-60,9.693435296505794e-21,5.900258894782836e-31,7.284059943737543e-50
1.4916404004928136e-18,0.8112036226094338,3.76,0.0,0.5298971179943434,0.9999999999999999,4.2620039989178497e-38,1.6985602383928133e-47,1.0549786174016874e-30,1.3990253165297912e-13,4.279650068073847e-16,1.942081988210793e-20,2.169083933424718e-26,2.727445777360651e-16,4.130159192085037e-27,4.012245064031538e-43,5.416206472261061e-54,1.5522042893166316e-16,5.31688260681059e-28,7.65283505447277e-30,3.1146299998986806e-27,6.545716283680526e-22,2.6093367812436956e-27,1.634420435559997e-29,1.3921816247367332e-41,4.641162234167194e-41,2.3345406766250728e-30,7.081725867310798e-55,2.058173237696348e-73,6.170841018390536e-28,1.6614570361679746e-73,1.1186282397364912e-57,2.482574242323913e-48,3.549719364466109e-57,3.1712761856173228e-58,1.5887902741395494e-58,1.9420645627791223e-20,2.3662677127277032e-30,5.844999371678438e-49
