Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022)
0.0,0.4556638367089081,3.76,0.0,0.7464705218791676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0145144734652878e-20,0.4556638367089081,3.76,0.0,0.7464705218791674,1.0,8.249707308852369e-44,1.041781313533083e-56,3.011475250621694e-36,3.240331830048708e-16,1.2859184557934683e-18,9.599634626609391e-30,5.537059001758341e-19,8.380977583642198e-31,7.322125556091611e-19,2.6312617323035206e-31,1.8743590944331283e-33,1.0362922627353567e-31,1.4230761911010224e-49,1.6408770927316584e-33,3.0344522914581524e-62,1.3335170291247712e-31,1.1142654567004496e-31,3.197462432752012e-48,5.619530460691655e-48,3.2664183194861586e-25,1.0062904653541817e-62,9.632913409192832e-35,8.728535195934764e-85,1.2915182739041532e-86,3.9521865850556116e-45,6.088389946629716e-76,4.024367462660508e-61,1.9617227132698927e-32,1.755926868373577e-66,7.499501803599063e-67,7.834285416394062e-63,2.219585541344305e-61,4.88402733940512e-80,1.0128481873024268e-48,8.696999491823752e-92,1.9026126078407475e-77,1.5444641692750716e-49,4.039567307512755e-91
5.640640525702806e-20,0.4556638367089081,3.76,0.0,0.7464705218791672,1.0,9.794053464847576e-43,1.236802776989439e-55,1.8189310513667198e-35,9.072929124136064e-16,3.60057167625095e-18,5.798179314471901e-29,1.5503765204941034e-18,5.0621104605542085e-30,2.0501951557056696e-18,1.5892820863128382e-30,1.1321128930412196e-32,6.259205266911255e-31,1.6894760540994464e-48,9.910897640099165e-33,6.787948397993553e-61,8.0544428559123e-31,6.730163358474026e-31,3.796027400161964e-47,6.671542707130905e-47,9.145972643634767e-25,2.251034105694131e-61,5.818279698737299e-34,3.601854494476441e-83,5.329486332867573e-85,4.692035913346296e-44,3.5387077952757545e-74,1.265325520153875e-59,1.184880518811681e-31,3.9279381710530055e-65,2.3579633589133504e-65,2.463224683486652e-61,6.978732075625402e-60,2.0154098369873797e-78,1.2024533679601243e-47,9.71035896981074e-90,1.1314373769829107e-75,1.8335878616195546e-48,4.365810771367706e-89
1.2892892630177844e-19,0.4556638367089081,3.76,0.0,0.7464705218791666,1.0,9.615860185040663e-42,1.2143003037245512e-54,8.757370028676132e-35,2.073812371230949e-15,8.229878117282867e-18,2.791573749417752e-28,3.543717761137712e-18,2.4371882813746303e-29,4.686160355898759e-18,7.65170911756131e-30,5.450636246665686e-32,3.0135379000189647e-30,1.6587376084215883e-47,4.771670585663582e-32,1.3411842167694315e-59,3.877867520692853e-30,3.24028394808987e-30,3.7269622116117366e-46,6.550176029777003e-46,2.0905086688226067e-24,4.4476663480063587e-60,2.801251218770517e-33,1.4248578236818458e-81,2.1082918049594552e-83,4.606668682202467e-43,1.588717154871483e-72,2.8228716300711446e-58,5.7046896501388285e-31,7.760943927273685e-64,5.260486541519514e-64,5.495318767082464e-60,1.5569167360957029e-58,7.972765136710299e-77,1.180575847103226e-46,8.779751214878141e-88,5.093948922005496e-74,1.8002274352612093e-47,3.9385057457595617e-87
2.7397396839127917e-19,0.45566383670890825,3.76,0.0,0.7464705218791654,1.0,8.505119602449546e-41,1.0740348726663848e-53,3.824573568153404e-34,4.406851288865121e-15,1.74884909998145e-17,1.2191535975791247e-27,7.53040024245321e-18,1.064384153175754e-28,9.958090756285228e-18,3.341702400048898e-29,2.3804360499860245e-31,1.316091173657935e-29,1.4671346301324912e-46,2.0839139077691203e-31,2.3865656546841246e-58,1.693566626986412e-29,1.4151171300146986e-29,3.296455869661424e-45,5.793562810060565e-45,4.4423336362584995e-24,7.914386497433666e-59,1.2233800023239708e-32,5.085216398230186e-80,7.524343780621888e-82,4.0745462789183874e-42,5.980841348155437e-71,5.286926150121193e-57,2.4913878458010736e-30,1.3810185108229863e-62,9.85230909980968e-63,1.0292123872126426e-58,2.9159327393006516e-57,2.84542394267484e-75,1.0442059671466956e-45,6.647393351727582e-86,1.9205661756132027e-72,1.5922807790196177e-46,2.976380698607344e-85
5.640640525702806e-19,0.4556638367089084,3.76,0.0,0.7464705218791631,1.0,7.1490655631448665e-40,9.027910352322038e-53,1.5966841777570904e-33,9.07292912413141e-15,3.6005716766748993e-17,5.089726279025886e-27,1.5503765205197324e-17,4.443594315325842e-28,2.0501951557059322e-17,1.3950949704884102e-28,9.937851919188012e-31,5.494421576879144e-29,1.2332150582695426e-45,8.699930345662472e-31,4.025291804868636e-57,7.070307288401109e-29,5.90783545147193e-29,2.7708697848082484e-44,4.869841124237624e-44,9.145992205200817e-24,1.3348771141329556e-57,5.107370683762367e-32,1.7181797123419655e-78,2.542305760248202e-80,3.424901654524694e-41,2.0716723935697611e-69,9.131850159532292e-56,1.040105382529175e-29,2.3292895910706827e-61,1.7017413862861972e-61,1.7777084518968457e-57,5.036548665560098e-56,9.614045539883973e-74,8.777180334824861e-45,4.619434203807557e-84,6.65804484189845e-71,1.3384079359685155e-45,2.066127775110756e-83
1.1442442209282836e-18,0.455663836708909,3.76,0.0,0.7464705218791584,1.0,5.8612359030228037e-39,7.401626502683561e-52,6.522975850819174e-33,1.8405084794655772e-14,7.304016830810286e-17,2.0793192586600558e-26,3.145049513113804e-17,1.8153532689325742e-27,4.1589673158612135e-17,5.6994181628172225e-28,4.0599367733322826e-30,2.2446504926536095e-28,1.0110642127311745e-44,3.554205417939818e-30,6.611553878249833e-56,2.8884512257498146e-28,2.4135435498705104e-28,2.2717264584729523e-43,3.992590969695074e-43,1.8553343879367575e-23,2.192539791861738e-56,2.0865275711811864e-31,5.648999130014825e-77,8.358545480677945e-79,2.807941295733676e-40,6.893780502473867e-68,1.5172705621349873e-54,4.249169865457224e-29,3.825865209050127e-60,2.8274687614133426e-60,2.953689180810671e-56,8.36830093471494e-55,3.1608880134927846e-72,7.196062732836372e-44,3.079302286030975e-82,2.2165006530799335e-69,1.0973076876135397e-44,1.376502906407644e-81
2.3046045576442894e-18,0.4556638367089097,3.76,0.0,0.746470521879149,1.0,4.74658080742702e-38,5.994029288958104e-51,2.6366911318779437e-32,3.706939613567163e-14,1.4710907142075013e-16,8.404940898041779e-26,6.33439549848294e-17,7.337948164737001e-27,8.376511636173623e-17,2.3037959473417163e-27,1.6410913567634427e-29,9.07323617953322e-28,8.187860134784823e-44,1.436666656786471e-29,1.0717613752893677e-54,1.1675581678032983e-27,9.755928921153025e-28,1.8397029845346437e-42,3.233304078406462e-42,3.7368185372829607e-23,3.554201586250131e-55,8.43407802925575e-31,1.8322394251925467e-75,2.7110744275261827e-77,2.2739436548103413e-39,2.2492967820324853e-66,2.473533956547792e-53,1.7175823978340166e-28,6.20189257032942e-59,4.609487685645892e-59,4.815258837721998e-55,1.364244257019867e-53,1.0252264791244887e-70,5.827558170681045e-43,2.0110576506827196e-80,7.233534090349094e-68,8.886282126310616e-44,8.987234171000217e-80
4.625325231076301e-18,0.4556638367089112,3.76,0.0,0.7464705218791302,0.9999999999999999,3.8204611811215284e-37,4.824516638061693e-50,1.060201907190184e-31,7.439801881757192e-14,2.952468777658029e-16,3.3795897688227005e-25,1.2713087469945188e-16,2.950556684936011e-26,1.6811600276805842e-16,9.263462180234819e-27,6.598756169160221e-29,3.648308361838458e-27,6.59030217062838e-43,5.776773440041073e-29,1.7260386559687126e-53,4.6947000416108e-27,3.922816111192868e-27,1.4807530124595448e-41,2.6024445720888563e-41,7.499842094026765e-23,5.723932169654063e-54,3.391305664642818e-30,5.902804005173924e-74,8.734088922277597e-76,1.8302676703166278e-38,7.267801294419964e-65,3.994763950039804e-52,6.906323278347089e-28,9.987957430935982e-58,7.444334887008672e-58,7.776655886238874e-54,2.2032581180416176e-52,3.302903709262788e-69,4.690525800425631e-42,1.300134095213313e-78,2.337511102895454e-66,7.152452905348599e-43,5.809353170745747e-78
9.266766577940324e-18,0.45566383670891425,3.76,0.0,0.7464705218790926,0.9999999999999997,3.065679495202394e-36,3.871371402609093e-49,4.2518838319256295e-31,1.490552641808467e-13,5.915224909349415e-16,1.3553666531392155e-24,2.547047141576558e-16,1.18330519862635e-25,3.368177755809989e-16,3.715062653228296e-26,2.6463963615669387e-28,1.463134827348499e-26,5.2883024595003897e-42,2.3167445219616957e-28,2.7706743079551447e-52,1.8827846922352183e-26,1.5732247129325953e-26,1.1882110378730332e-40,2.0882979369635897e-40,1.5026110239719945e-22,9.188178873330643e-53,1.3600652381418362e-29,1.8952669791725193e-72,2.804333761036889e-74,1.4686745204176726e-37,2.336968444873551e-63,6.421466387996647e-51,2.769744526412518e-27,1.6032885730611428e-56,1.196655078894291e-56,1.2500747214731198e-52,3.541673072503368e-51,1.0604931161272125e-67,3.7638515535318893e-41,8.362898538484203e-77,7.5166955983090794e-65,5.739392948235716e-42,3.736504017942227e-76
