Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47)
0.0,0.8763436060695241,3.76,0.0,0.950936812528981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9473879812617144e-21,0.8763436060695241,3.76,0.0,0.9509368125289809,1.0,6.9726566975814305e-46,1.896470969932078e-55,5.499098002653812e-36,3.316602004834881e-16,9.879580967502405e-19,4.630570159313956e-23,9.83581701284095e-32,6.478027234100645e-19,3.1963858719576926e-32,2.745909463138547e-50,9.090647840179664e-64,3.401553733389586e-19,2.2780698155771775e-33,3.1923217419915025e-35,1.342374911421562e-32,9.683031413584533e-25,1.124414545402306e-32,1.1695744288372682e-34,1.4102029626306245e-49,4.762841945675814e-49,9.809941859138291e-36,1.0971896988866583e-64,8.861555175507275e-86,2.6629598652451672e-33,9.582402710289034e-87,2.7436667964322848e-68,1.7856591619417547e-55,8.762934043164633e-68,7.762704971896489e-69,2.4650157108865145e-68,4.630570024513452e-23,1.0433821287773171e-35,3.591860376518615e-55,6.299383337150278e-54,1.5696568371153297e-48,1.797080854918667e-49,1.2480784057934595e-47,1.3114952113697127e-82,1.500843064901153e-58,1.1933535677025479e-50
5.452686347532801e-21,0.8763436060695241,3.76,0.0,0.9509368125289804,1.0,8.277940620555164e-45,2.2514903355193534e-54,3.3214551936018817e-35,9.286485613537617e-16,2.7662826709048248e-18,1.2965596882829084e-22,5.940833475763374e-31,1.8138476255483866e-18,1.9306170666626286e-31,3.259943714643588e-49,2.0335415592601115e-62,9.524350453490838e-19,1.3759541686083703e-32,1.928162332164415e-34,8.107944464986234e-32,2.7112488115246885e-24,6.79146385423034e-32,7.064229550177078e-34,1.6741929572350094e-48,5.654501081067331e-48,5.925204882901828e-35,2.454374651285872e-63,3.6567455557890727e-84,1.6084277586076506e-32,5.82159812144964e-85,8.623270016800409e-67,2.698488201043713e-54,2.7552056032309936e-66,2.4406325919525758e-67,5.514141545296484e-67,1.2965596068634042e-22,6.302028057823303e-35,4.2642566390163695e-54,7.478627897866969e-53,1.8634965970188554e-47,2.1334943910271214e-48,1.4817186833506397e-46,5.411935152053335e-81,2.2680888536607174e-57,1.4167493555716595e-49
1.2463283080074973e-20,0.8763436060695241,3.76,0.0,0.9509368125289799,1.0,8.12733232334573e-44,2.2105265626005237e-53,1.5991376991701982e-34,2.122625283094291e-15,6.3229318192306025e-18,2.9635652076859386e-22,2.86025558734531e-30,4.14593742982586e-18,9.29509011565572e-31,3.200632070251206e-48,4.017935440051007e-61,2.176994389369335e-18,6.624627023694766e-32,9.283271625734502e-34,3.9036262424139e-31,6.197140214741234e-24,3.269797498030525e-31,3.401122439058748e-33,1.643732573242026e-47,5.55164684677149e-47,2.8527310926108664e-34,4.849435295623803e-62,1.4465721770929503e-82,7.743887288126491e-32,2.6270486176233126e-83,1.9236461038854043e-65,2.9029106355926807e-53,6.146711619624236e-65,5.444875312821316e-66,1.0895014484094557e-65,2.9635648156860745e-22,3.034155230496603e-34,4.186672454911486e-53,7.342561217788409e-52,1.8295920093276304e-46,2.094677444702943e-47,1.4547601897700384e-45,2.140910201971959e-79,2.4399394398881386e-56,1.3909729184991954e-48
2.648447654515932e-20,0.8763436060695244,3.76,0.0,0.9509368125289787,1.0,7.188533851475221e-43,1.955185711259812e-52,6.983854463354523e-34,4.510578726575275e-15,1.3436230115948588e-17,6.2975769452920175e-22,1.2491487606423345e-29,8.810117038384121e-18,4.059410057389113e-30,2.8309228201527136e-47,7.149701438153869e-60,4.626113077409838e-18,2.8931486657792245e-31,4.0542486123531925e-33,1.704816137505381e-30,1.3168923272710624e-23,1.4280064726615683e-30,1.4853595246233007e-32,1.4538628463531692e-46,4.910378358443667e-46,1.2458626160831296e-33,8.629314748601231e-61,5.162713350599843e-81,3.3819590288546904e-31,9.917611664976705e-82,3.602658723469061e-64,2.6682753109449336e-52,1.1512110208680859e-63,1.0197617815054124e-64,1.938709616646321e-64,6.297575233325621e-22,1.3250953035596252e-33,3.703064373862179e-52,6.494412245280501e-51,1.618253412762864e-45,1.8527184786273472e-46,1.2867189131888935e-44,7.640760514026578e-78,2.242785398709138e-55,1.2302997941273405e-47
5.452686347532801e-20,0.8763436060695247,3.76,0.0,0.9509368125289762,1.0,6.042396022472912e-42,1.6434513991853727e-51,2.9156217609928146e-33,9.286485613536949e-15,2.766282670965029e-17,1.2965603215704238e-21,5.214950180312078e-29,1.8138476255513895e-17,1.6947237893145287e-29,2.3795612062685784e-46,1.2059016497946487e-58,9.524350453490844e-18,1.2078326162156086e-30,1.6925689876254812e-32,7.117271780357096e-30,2.7112490394794606e-23,5.961645919728786e-30,6.201083621694926e-32,1.2220593241673787e-45,4.127472686208884e-45,5.2012311734682206e-33,1.4554603658208561e-59,1.7443641590249415e-79,1.4119013205469835e-30,3.440626130715225e-80,6.222599772288655e-63,2.28276623497523e-51,1.988430720677653e-62,1.76138231174323e-63,3.269917139740917e-63,1.296559606858154e-21,5.532012046888638e-33,3.112648732681708e-51,5.45894480986233e-50,1.3602395004809858e-44,1.5573215163777882e-45,1.0815647771191454e-43,2.5816409545437074e-76,1.9188540197925868e-54,1.0341411080571975e-46
1.1061163733566538e-19,0.8763436060695254,3.76,0.0,0.9509368125289714,1.0,4.953921396506635e-41,1.3474007503589514e-50,1.191126623754773e-32,1.8838299387459117e-14,5.611601989811661e-17,2.6301666937328945e-21,2.1304773083372897e-28,3.6795194689826465e-17,6.923499654116916e-29,1.9509080439879235e-45,1.980697080939035e-57,1.9320825205652862e-17,4.93439034330391e-30,6.914696586206041e-32,2.907637753135539e-29,5.499962866354339e-23,2.4355268819280889e-29,2.533344995838447e-31,1.0019180676660726e-44,3.3839529931087774e-44,2.1248726462477473e-32,2.390598267846267e-58,5.735087717206531e-78,5.768077586464803e-30,1.1458318036083016e-78,1.033886227042564e-61,1.887436143360052e-50,3.303807355409218e-61,2.9265609339288498e-62,5.370848732509119e-62,2.6301637739000676e-21,2.26000742631081e-32,2.5519374895054785e-50,4.475572770696906e-49,1.1152065246559575e-43,1.276786269232602e-44,8.86732149597187e-43,8.487871710743233e-75,1.586717435238272e-53,8.478513605094153e-46
2.2278118505634014e-19,0.876343606069527,3.76,0.0,0.9509368125289618,1.0,4.011814014336502e-40,1.0911600616160362e-49,4.814724257928394e-32,3.7941926935298734e-14,1.1302240627930093e-16,5.297383910377943e-21,8.611729914681823e-28,7.410863155866364e-17,2.798589257438644e-28,1.5798959148194487e-44,3.2107953224131825e-56,3.891377470997691e-17,1.994559470865211e-29,2.795030916707516e-31,1.1753136689453077e-28,1.1077392129936417e-22,9.844789064019105e-29,1.0240185520194237e-30,8.113792276747498e-44,2.7404134725304842e-43,8.589074973165267e-32,3.8752630086126645e-57,1.8601619582367178e-76,2.3315491840538573e-29,3.74012147856354e-77,1.6854889443135096e-60,1.5348331506417678e-49,5.386039805190998e-60,4.771031222728296e-61,8.706377278389241e-61,5.297372107946816e-21,9.135311361639374e-32,2.066625142671884e-49,3.6244348667999493e-48,9.031231572712364e-43,1.0339746248828878e-43,7.180986847032919e-42,2.7530210181911593e-73,1.2905717272686046e-52,6.866120136905907e-45
4.471202804976897e-19,0.8763436060695299,3.76,0.0,0.9509368125289426,1.0,3.229056949997381e-39,8.782605467739069e-49,1.9359794481458657e-31,7.61491820309591e-14,2.268351790586763e-16,1.0631836232948468e-20,3.4627387232251064e-27,1.4873550529718628e-16,1.1253004317806565e-27,1.2716376802318377e-43,5.170886884019849e-55,7.809967371862509e-17,8.020035908339397e-29,1.1238696386770187e-30,4.72588457065592e-28,2.223225709642987e-22,3.958546383703182e-28,4.117533559697228e-30,6.5306859082797834e-43,2.2057234145020237e-42,3.4536292698823296e-31,6.240991767538858e-56,5.992759560079884e-75,9.375056723651033e-29,1.2087323475691582e-75,2.722063872743668e-59,1.2379008371595967e-48,8.698468652977639e-59,7.705226787328343e-60,1.4021352324679166e-59,1.0631788775891993e-20,3.6732685202715954e-31,1.663399707505211e-48,2.917260499555223e-47,7.269120867871492e-42,8.32232733698435e-43,5.779882944232343e-41,8.869224208023452e-72,1.0413436465972976e-51,5.526450823831365e-44
8.957984713803887e-19,0.8763436060695359,3.76,0.0,0.9509368125289042,0.9999999999999999,2.5911148479974294e-38,7.047487785194214e-48,7.764143474711111e-31,1.525636922222043e-13,4.544607246854537e-16,2.1300812435211227e-20,1.3887131030251573e-26,2.979892527776246e-16,4.512958034418337e-27,1.0204091536781088e-42,8.300418629408843e-54,1.5647147173592171e-16,3.21639310403932e-28,4.507219914569608e-30,1.8952910831865167e-27,4.454201278673397e-22,1.587554150192461e-27,1.6513151186275346e-29,5.2404641531278685e-42,1.7699542250132768e-41,1.3850598040031382e-30,1.0018174087851302e-54,1.924149432980256e-73,3.7598170557072375e-28,3.8870856370372345e-74,4.375633984007101e-58,9.94352964136727e-48,1.3982534291055023e-57,1.2385925952304842e-58,2.2507376129065414e-58,2.1300622111189065e-20,1.4731449678319287e-30,1.3347735085944037e-47,2.340917828320494e-46,5.833011701239807e-41,6.678143595484143e-42,4.637992055229489e-40,2.8477219336287127e-70,8.371880545700141e-51,4.434628740318827e-43
