Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17)
0.0,0.29639053328336024,3.76,0.0,0.7380363193784393,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4937754822989771e-18,0.29639053328336024,3.76,0.0,0.7380363193784392,1.0,2.4810154063611236e-40,3.4581697498204524e-57,9.418094955631894e-37,3.3908400246726903e-16,3.4960446804169e-18,4.849168233775693e-24,3.868136980470926e-19,4.1771728561661497e-29,3.109230982121063e-18,9.646469933553111e-30,1.2740183254987307e-30,2.735394604383922e-29,6.137463983731542e-48,1.9215876099245358e-31,2.4026901532494076e-59,5.325147114319754e-30,4.60566779149069e-30,9.24197976359012e-46,1.9169571962370589e-44,4.2634172324671923e-26,4.163120429744262e-59,5.650819708771373e-33,1.888121249184985e-82,1.1415620055601587e-80,4.225605228839591e-41,3.9483131251158594e-63,2.1763371056728692e-52,4.545896902508343e-31,4.917320941576485e-63,4.9487564892352425e-65,1.9198868688322637e-56,2.1227116244912127e-55,1.636535127498875e-75,2.1886298143465044e-44,3.4189928580668615e-78,4.249936811915709e-64,1.0733488166316764e-47,5.831110143748256e-77,8.763698843456415e-93,5.4637065538368324e-83,4.848855061615797e-24,1.697603874937728e-33
4.182571350437136e-18,0.29639053328336024,3.76,0.0,0.7380363193784387,1.0,2.945461522415125e-39,4.105539515372538e-56,5.6885293502645606e-36,9.494352069072333e-16,9.788925106074381e-18,1.3578685724429846e-23,1.0830783546276467e-18,2.523012405321763e-28,8.70584674994432e-18,5.826467840296063e-29,7.695070685878742e-30,1.652178340963608e-28,7.286397244007643e-47,1.1606389163948608e-30,5.3747217669896935e-58,3.2163888569683537e-29,2.781823346094697e-29,1.0972078375154311e-44,2.2758116386019216e-43,1.1937950478786544e-25,9.31273544158552e-58,3.4130950725798475e-32,7.791386230300767e-81,6.89669336239774e-79,5.016638478879403e-40,1.2413958059804938e-61,3.288894677372571e-51,2.7457217288055868e-30,1.0999850496566477e-61,1.5559563995683886e-63,2.907267374861734e-55,3.229704253148694e-54,6.753209103842405e-74,2.5983413143610964e-43,1.9691729182527685e-76,1.336246361605363e-62,1.2742797039270659e-46,3.358416516030485e-75,9.173961437343339e-91,2.254614794890866e-81,1.3576794164584065e-23,1.0253527399318977e-32
9.560163086713454e-18,0.29639053328336024,3.76,0.0,0.738036319378438,1.0,2.89187160295683e-38,4.0308438208524276e-55,2.738782008692099e-35,2.170137615782682e-15,2.237468596101758e-17,3.104177938516974e-23,2.4756076681719053e-18,1.2147218668692288e-27,1.98990782856122e-17,2.805193457322222e-28,3.704845290349919e-29,7.954527508284234e-28,7.153828027066091e-46,5.5879767696671634e-30,1.0619544500909485e-56,1.548552780723016e-28,1.339328193816972e-28,1.0772451611878408e-43,2.2344053845990266e-42,2.728854588293886e-25,1.8400397296784213e-56,1.6432583240336223e-31,3.0821957327385824e-79,3.107844637729729e-77,4.925365303458652e-39,2.769477466329656e-60,3.5380740487734216e-50,1.3219468187852317e-29,2.1733851998534932e-60,3.4712473427487614e-62,3.140705002537038e-54,3.5229959061122267e-53,2.671502541100604e-72,2.5510669077854026e-42,8.830601218231736e-75,2.981091268895161e-61,1.2510953460138944e-45,1.506054470123886e-73,8.241191551407595e-89,8.919040546296963e-80,3.103267233875994e-23,4.936632060360372e-32
2.0315346559266092e-17,0.29639053328336035,3.76,0.0,0.7380363193784368,1.0,2.5578276887338144e-37,3.565237087002704e-54,1.1960980548127387e-34,4.611542433515659e-15,4.754620768541693e-17,6.598420142437579e-23,5.260666296793023e-18,5.30500953039084e-27,4.2285541357033425e-17,1.2251016822277218e-27,1.618003273176317e-28,3.47395114626123e-27,6.32747988453557e-45,2.4404162646109906e-29,1.889691206565452e-55,6.762936833934006e-28,5.849198095725129e-28,9.528111455886439e-43,1.9763062646871786e-41,5.799585233729783e-25,3.274252503612117e-55,7.1765405416096954e-31,1.100014349806446e-77,1.1726348454048675e-75,4.356429649043245e-38,5.186918508065563e-59,3.2521571388495082e-49,5.773289061388846e-29,3.8674232152090016e-59,6.501257600734348e-61,2.9111603850550456e-53,3.3278047673961536e-52,9.534402941417375e-71,2.256389785382663e-41,3.32229372586745e-73,5.583253392692458e-60,1.1065796232254219e-44,5.666152663994215e-72,6.214506535036724e-87,3.1831483997815546e-78,6.594442856006904e-23,2.1559569129465307e-31
4.1825713504371364e-17,0.2963905332833605,3.76,0.0,0.7380363193784344,1.0,2.150008294842499e-36,2.9967989040015717e-53,4.993473904503423e-34,9.494352068909939e-15,9.788925119226751e-17,1.3593398437369202e-22,1.0830783560165671e-17,2.2147370510931398e-26,8.705846750021772e-17,5.114558364768152e-27,6.754845159930631e-28,1.45030621806864e-26,5.31862811754594e-44,1.0188257507881346e-28,3.187240431837368e-54,2.823392998885457e-27,2.4419250635271225e-27,8.008951789299131e-42,1.6612044940956904e-40,1.194349278302324e-24,5.52250552999408e-54,2.9960641699136585e-30,3.716703830083384e-76,4.067119437411188e-74,3.6618413052642704e-37,8.959106244850755e-58,2.7823873893746357e-48,2.4102345333928197e-28,6.522975794439941e-58,1.122930139765215e-59,2.5321773173970105e-52,3.0003313244191743e-51,3.2214591799851444e-69,1.896631564491829e-40,1.1504050128648368e-71,9.643681281517235e-59,9.301467788878871e-44,1.9620086679250534e-70,4.3088597704523975e-85,1.0755180796515654e-76,1.3576794049451673e-22,9.000695670897985e-31
8.484644739458192e-17,0.29639053328336074,3.76,0.0,0.7380363193784294,0.9999999999999999,1.7627066983173682e-35,2.456960588941698e-52,2.03999700507955e-33,1.925997133941179e-14,1.9857533843817595e-16,2.7609330575593325e-22,2.1971018111432586e-17,9.047923516686033e-26,1.766043197879538e-16,2.0894639785658926e-26,2.7595746521853894e-27,5.924974118925363e-26,4.3605326938763875e-43,4.162235626652972e-28,5.235052009181888e-53,1.1534481645960269e-26,9.976060667133991e-27,6.566222555457119e-41,1.3619558006600265e-39,2.424109291529619e-24,9.070732042900476e-53,1.223989779938975e-29,1.2219735050094597e-74,1.3543148340196078e-72,3.0021982339076413e-36,1.4885683149665928e-56,2.300694585078893e-47,9.84659449015757e-28,1.0714011493747543e-56,1.8657646538945185e-58,2.162484487777057e-51,2.7343104929170477e-50,1.0591452132339628e-67,1.5549731334219818e-39,3.8274702900748326e-70,1.602312035128675e-57,7.625904102340704e-43,6.52772628018901e-69,2.868911209336341e-83,3.5360956108843545e-75,2.754149623307299e-22,3.677077834597299e-30
1.70887915175003e-16,0.2963905332833613,3.76,0.0,0.7380363193784194,0.9999999999999997,1.4274855847649186e-34,1.9897165217778714e-51,8.245993916859212e-33,3.8791209879268677e-14,3.9994751385882225e-16,5.574509704547897e-22,4.4251487312052917e-17,3.657315359049773e-25,3.556960243688956e-16,8.44594749915777e-26,1.1154641955558275e-26,2.394969266890849e-25,3.531272470657222e-42,1.682442188737004e-27,8.486244995272745e-52,4.662421897800275e-26,4.0324832268384205e-26,5.317497263153847e-40,1.1029471014363802e-38,4.887543331458137e-24,1.4704047756112488e-51,4.947560832239704e-29,3.963458653681648e-73,4.420381244576161e-71,2.431257145425894e-35,2.426741159914152e-55,1.871151549078105e-46,3.980150911130685e-27,1.7367887830037665e-55,3.0416661400519557e-57,1.8704456510832818e-50,2.6359231156348094e-49,3.435311523814915e-66,1.259257538112409e-38,1.2487142923671627e-68,2.6121730187328543e-56,6.175652974918153e-42,2.1296741455889218e-67,1.872542867852374e-81,1.1469419579235601e-73,5.547089978724279e-22,1.4863336259401318e-29
3.429708507358452e-16,0.29639053328336235,3.76,0.0,0.7380363193783994,0.9999999999999993,1.1489645853615962e-33,1.6015068354177453e-50,3.3156777700559287e-32,7.785368695439512e-14,8.0269186841543225e-16,1.1243223875895108e-21,8.881242610563963e-17,1.4705904282611903e-24,7.138794335526583e-16,3.3960783598714444e-25,4.4852324651236056e-26,9.630066054101684e-25,2.842275363682842e-41,6.765026044590842e-27,1.3666836253497404e-50,1.874739335818998e-25,1.621443771369976e-25,4.279984404248547e-39,8.877477533097115e-38,9.830067465206996e-24,2.3680416207544023e-50,1.9893911980210256e-28,1.276891877729137e-71,1.4285386419947092e-69,1.9568859425724463e-34,3.919191413178911e-54,1.5095788531397803e-45,1.6004011637282264e-26,2.797049141277068e-54,4.9122958322779395e-56,1.6891660787219176e-49,2.791248978341927e-48,1.106730982203302e-64,1.013559986225996e-37,4.034598098008467e-67,4.218666485144647e-55,4.97069975415464e-41,6.880980505260304e-66,1.2102245355084478e-79,3.6951411325047127e-72,1.113297036432912e-21,5.976481927712694e-29
6.871367218575295e-16,0.29639053328336445,3.76,0.0,0.7380363193783596,0.9999999999999987,9.219717175991181e-33,1.2851242277866078e-49,1.3297349894896939e-31,1.5597864108629885e-13,1.6081805923899227e-15,2.2746895728030804e-21,1.7793430526219718e-16,5.897725417893072e-24,1.4302462520076997e-15,1.361979329330638e-24,1.798778821181522e-25,3.862087176063092e-24,2.2807470842826415e-40,2.7130780172063976e-26,2.1938299913603812e-49,7.518543208548671e-25,6.502714742584126e-25,3.4344179324717266e-38,7.12361618147575e-37,1.9777739948240863e-23,3.801231423481228e-49,7.9783384351752185e-28,4.0999018782382386e-70,4.593884088417875e-68,1.5702756058445443e-33,6.299979833154222e-53,1.2132623591580456e-44,6.418324364826279e-26,4.489897285200649e-53,7.896362550079034e-55,1.6469403933163813e-48,3.3108661505742537e-47,3.553478594916115e-63,8.13318003602521e-37,1.297300443324567e-65,6.781383498413021e-54,3.988668646647214e-40,2.2125371703645002e-64,7.783404756371629e-78,1.1865060661998369e-70,2.230472983462249e-21,2.39683638856742e-28
