Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47),C2H2O(788),C3H7(196),C#CC(211),C3H4(1113)
0.0,0.6841011752831544,3.76,0.0,0.9253468617934775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.247908363820418e-19,0.6841011752831543,3.76,0.0,0.9253468617934774,1.0,7.112800125030589e-42,3.545312299114185e-55,7.916381207919061e-37,3.4640412338376247e-16,1.5802315154392239e-18,5.009837855008495e-24,5.293473758684745e-30,3.223523495582199e-19,1.5481087401706514e-30,4.216668224152633e-49,4.29877304263402e-61,1.2578791658161257e-18,1.4970950475897432e-30,3.477869024435642e-32,8.824666031781814e-31,4.219014549301969e-26,7.864312278839137e-31,1.807813921783199e-32,4.2335375369173606e-47,3.4105554277606136e-46,5.16997644001836e-34,3.698287412241804e-61,2.49526649355103e-84,9.292644807439364e-32,3.782641088240889e-83,5.0414020677458864e-65,1.1537802337519029e-53,2.552539027593067e-66,1.1347703788163457e-65,4.882124863943535e-65,5.0097655824890855e-24,2.1823610807208544e-34,1.630230400627179e-51,4.804381176243214e-50,8.410437559755738e-45,3.552016554195966e-46,3.9960638860390406e-43,3.9022840450130666e-78,6.960414548084985e-57,6.42745598654585e-49,2.3550844670988637e-85,6.088019554703644e-58,4.152262805886916e-80,3.503035654247104e-95
1.189414341869717e-18,0.6841011752831544,3.76,0.0,0.9253468617934769,1.0,8.444316441533458e-41,4.208994761423745e-54,4.781494249211366e-36,9.699315454742926e-16,4.424648243451797e-18,1.4027780155897966e-23,3.1972581503796094e-29,9.02586578774528e-19,9.35057679073025e-30,5.0060285163573597e-48,9.616183346631225e-60,3.5220616642854044e-18,9.042454087347974e-30,2.100632890798465e-31,5.3300982831706555e-30,1.1813302128923179e-25,4.750044616430367e-30,1.0919196087570772e-31,5.026055763817969e-46,4.0490121044922677e-45,3.1226657663070006e-33,8.272923568186455e-60,1.0296787424278785e-82,5.612757463578327e-31,2.285583432139831e-81,1.5850587248874067e-63,1.7435957775338998e-52,8.025568074003674e-65,3.567893120490468e-64,1.0921118090124295e-63,1.4027343629880732e-23,1.318146092623093e-33,1.9354095361536266e-50,5.703761331060852e-49,9.984871461379318e-44,4.216954139203856e-45,4.7441270393490644e-42,1.6102889280887497e-76,1.0540962175967825e-55,7.630675738648253e-48,9.71832248410125e-84,9.206931029976652e-57,2.3914864904311563e-78,3.6667479863498666e-93
2.7186613528450674e-18,0.6841011752831546,3.76,0.0,0.9253468617934762,1.0,8.290680014671284e-40,4.1324160155476085e-53,2.3020836547052394e-35,2.216986389654385e-15,1.0113481700364823e-17,3.2064601405173624e-23,1.5393421692265581e-28,2.0630550372531907e-18,4.501900216565524e-29,4.914948484024526e-47,1.8999957832407364e-58,8.050426661224968e-18,4.353552398249865e-29,1.011364312364892e-30,2.5662128820038106e-29,2.700212285167624e-25,2.286942010703712e-29,5.2571228845459185e-31,4.934611352997665e-45,3.975344400998437e-44,1.5034291435612057e-32,1.6345905129506064e-58,4.0733070042512625e-81,2.7023011098307867e-30,1.029985129393756e-79,3.536160023561958e-62,1.875687641756284e-51,1.7904589676333399e-63,7.959770125077079e-63,2.1578289215699986e-62,3.2062499720309194e-23,6.346306020749592e-33,1.9001965690104963e-49,5.599986694764636e-48,9.803205990004012e-43,4.140230762363045e-44,4.657812046482001e-41,6.370143769061125e-75,1.1389272968398758e-54,7.491842671323e-47,3.8444721564812134e-82,9.919334030054804e-56,1.0724424704434582e-76,3.293903213462137e-91
5.7771553747957686e-18,0.6841011752831546,3.76,0.0,0.925346861793475,1.0,7.33301260704204e-39,3.655075167234591e-52,1.0053804128295097e-34,4.711096078010697e-15,2.1491148617742405e-17,6.814199049371178e-23,6.722711675606985e-28,4.3839919543947046e-18,1.966098100170974e-28,4.3472162764379115e-46,3.3809409816527983e-57,1.7107156655108134e-17,1.9013107102931624e-28,4.4168936616430095e-30,1.1207325859966712e-28,5.738074655122496e-25,9.987676594304384e-29,2.295923680665053e-30,4.3646078589896023e-44,3.5161472241403677e-43,6.565870025129943e-32,2.908666668298993e-57,1.4537345483722508e-79,1.180165890366463e-29,3.886337054452546e-78,6.622822376303832e-61,1.7240927471844443e-50,3.35333064588832e-62,1.4907766178803331e-61,3.8397413577299526e-61,6.813281188374681e-23,2.77159857046163e-32,1.6807023633128913e-48,4.953124808502683e-47,8.67082464434358e-42,3.66198754697633e-43,4.1197819838720945e-40,2.2734592077185407e-73,1.0560404109315223e-53,6.626449968040144e-46,1.3720651108622298e-80,9.145090076725512e-55,4.0347959574723033e-75,2.4838498766913136e-89
1.1894143418697171e-17,0.6841011752831548,3.76,0.0,0.9253468617934725,1.0,6.163838952325059e-38,3.072310912193759e-51,4.1972653112527895e-34,9.699315454707828e-15,4.4246482466703675e-17,1.4031175503073542e-22,2.8065997887242757e-27,9.025865789414489e-18,8.20807254177301e-28,3.654097223708064e-45,5.702451140218489e-56,3.522061664289063e-17,7.93759794100852e-28,1.8439661573045486e-29,4.678837929694143e-28,1.1814192296649245e-24,4.169658370401325e-28,9.585029413298039e-30,3.66871589276292e-43,2.955533652022961e-42,2.741121460173699e-31,4.905891631396655e-56,4.911841907479748e-78,4.9269602752993087e-29,1.3479298838627203e-76,1.1439267063935575e-59,1.4750193021865864e-49,5.792044034606614e-61,2.5749456863666655e-60,6.476285312198126e-60,1.4027343614094473e-22,1.1570878431493075e-31,1.41273163498591e-47,4.16339984098148e-46,7.288350509319375e-41,3.078121730076439e-42,3.462924953905017e-39,7.681505039424142e-72,9.191628033625393e-53,5.5699304173185075e-45,4.635899973991188e-79,7.870916462445938e-54,1.3971216338426556e-73,1.7221852448463709e-87
2.4128119506499973e-17,0.6841011752831556,3.76,0.0,0.9253468617934675,1.0,5.0534875798498354e-37,2.518866105928908e-50,1.7147198307693727e-33,1.9675754208040116e-14,8.975715022145062e-17,2.847112295445719e-22,1.1465875916090981e-26,1.830961346240108e-17,3.353265456734594e-27,2.995849681697901e-44,9.366293140703528e-55,7.14475366185202e-17,3.242767755770207e-27,7.533203426334839e-29,1.911457960846167e-27,2.396799918617059e-24,1.7034414969818285e-27,3.9157972671422593e-29,3.007834943250926e-42,2.4231250697231e-41,1.1198375358993873e-30,8.057941874971463e-55,1.6149070940180954e-76,2.0128240345116526e-28,4.488500610836002e-75,1.9006503618804135e-58,1.2196103036153772e-48,9.623567042853594e-60,4.278310620275289e-59,1.0637319005324488e-58,2.8455468437663144e-22,4.727081379628929e-31,1.1582427950889152e-46,3.413406717354671e-45,5.975429991704174e-40,2.523631061237418e-41,2.8391150343259285e-38,2.5255108081891642e-70,7.859440395282535e-52,4.566565387957863e-44,1.5241838429089232e-77,6.585722196922066e-53,4.648311521007775e-72,1.1466582800976752e-85
4.859607168210558e-17,0.6841011752831567,3.76,0.0,0.9253468617934574,0.9999999999999999,4.092445263509453e-36,2.0398430768221974e-49,6.931171697713847e-33,3.9628631714456805e-14,1.8077848595824221e-16,5.73749960331398e-22,4.634690375489933e-26,3.687710882016235e-17,1.3554435122057589e-26,2.426116755328543e-43,1.518316486529031e-53,1.439013765700378e-16,1.3107785738131514e-26,3.0450412724285036e-28,7.72641869231112e-27,4.828189939108327e-24,6.885582888233041e-27,1.5828278635918878e-28,2.435822720246698e-41,1.962309507596402e-40,4.526562195551688e-30,1.3062271173633556e-53,5.237918544720337e-75,8.136156564685492e-28,1.4650146828582116e-73,3.098538964171104e-57,9.918251035756205e-48,1.5688842092470205e-58,6.974726007284543e-58,1.7243555525637655e-57,5.731171797331682e-22,1.9107618666242245e-30,9.379751211858315e-46,2.764265235088985e-44,4.839057969726659e-39,2.0437033119822498e-40,2.2991888601671357e-37,8.191433657232214e-69,6.813427111947377e-51,3.698122902925067e-43,4.943662574939783e-76,5.4820925742892635e-52,1.5165140754017486e-70,7.484252091241114e-84
9.753197603331679e-17,0.6841011752831593,3.76,0.0,0.9253468617934373,0.9999999999999998,3.2939559823409815e-35,1.6418431677093174e-48,2.786993640477618e-32,7.953438672629867e-14,3.628211583410162e-16,1.1527865489416395e-21,1.8635886212014951e-25,7.401209958283729e-17,5.450178751962416e-26,1.9527498488841187e-42,2.4452019148343145e-52,2.888090564741066e-16,5.27058299142842e-26,1.2243977046286727e-27,3.1067589731386135e-26,9.693484550437719e-24,2.768662595922873e-26,6.364481224214508e-28,1.9605620367440645e-40,1.5794374033124806e-39,1.8201106126319555e-29,2.103638529711514e-52,1.687469158315817e-73,3.2715127659712995e-27,4.734503928758133e-72,5.004147926094144e-56,8.000368549988145e-47,2.5337519615524127e-57,1.1264201147155434e-56,2.7770224327603e-56,1.1502421659868958e-21,7.683089374657108e-30,7.54964102268356e-45,2.224921109540861e-43,3.8948945833256174e-38,1.6449525562900734e-39,1.85058705270573e-36,2.6389793639315258e-67,6.176419561689572e-50,2.976570809168486e-42,1.592672430924732e-74,4.625872692803244e-51,4.899859313733178e-69,4.8370718134601525e-82
1.9540378473573923e-16,0.6841011752831639,3.76,0.0,0.925346861793397,0.9999999999999994,2.6431922283463563e-34,1.317475737835161e-47,1.1177090893198032e-31,1.5934589674601625e-13,7.269065067433271e-16,2.314696234308289e-21,7.473823924118533e-25,1.482820812967966e-16,2.185765447911351e-25,1.5669588008147234e-41,3.9250906692385595e-51,5.786244162863789e-16,2.1137395091502747e-25,4.910382433357463e-27,1.2459493006051116e-25,1.9434132054474845e-23,1.1103575327936893e-25,2.5524416292981877e-27,1.5732275621248782e-39,1.2673990341903312e-38,7.2994565168992e-29,3.376805790187162e-51,5.418134791493937e-72,1.312022937471934e-26,1.5225183252197634e-70,8.044020657927623e-55,6.427840860739287e-46,4.072931637312617e-56,1.8106874663809767e-55,4.4577391501372974e-55,2.304492120656966e-21,3.081262431555253e-29,6.058113430851925e-44,1.785359009908958e-42,3.125407195179125e-37,1.319974574521946e-38,1.4849792960939358e-35,8.473208581190552e-66,6.055502215518681e-49,2.3885102432991537e-41,5.113773637086505e-73,4.0440697887300513e-50,1.5755197542501686e-67,3.1109019421637966e-80
