Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47),C2H2O(788),C3H7(196),C#CC(211),C3H4(1113),C3H4(430),C4H7(54),C4H7(1650)
0.0,0.9366237755410979,3.76,0.0,0.8231923038645225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.43973937941207e-22,0.9366237755410979,3.76,0.0,0.8231923038645224,1.0,8.984587892180331e-47,3.887747609755375e-55,1.4975471275357713e-35,3.570681536298581e-16,1.198966792506285e-18,1.0740277777216342e-22,5.561667016688747e-32,8.972931395028377e-19,1.414908864493677e-32,3.5891814727453867e-50,5.76089741628676e-64,3.016736530029788e-19,4.836651756202823e-34,7.435929099624338e-36,6.250455355769051e-33,3.5756318946633296e-24,5.12385051549849e-33,4.339464962378835e-35,8.825680300488054e-50,2.902715786235024e-49,5.954602630338964e-36,4.0911374308686496e-65,2.4964754175990528e-85,1.446905247017433e-33,6.796462207713299e-87,8.620817932208337e-69,1.2059342391777625e-55,8.180997507542337e-68,2.7642125932120376e-69,1.1009204473295342e-68,1.0740277722148542e-22,1.1139965739826958e-35,1.1281563485193618e-55,1.5848393918132127e-54,4.509441038948255e-49,1.1395341400444883e-49,1.3765113125821044e-48,3.824395916201256e-83,1.0509469997591345e-58,9.414121953297493e-51,6.686789327545486e-89,7.385824923250574e-60,1.3678880358789708e-84,1.5690954192031135e-100,1.3595094967124979e-83,5.327096329397425e-86,2.1737673809780582e-99
1.5231270262353795e-21,0.9366237755410979,3.76,0.0,0.8231923038645219,1.0,1.0666511058443974e-45,4.6155339623177647e-54,9.045184650315383e-35,9.997908301636007e-16,3.3571070190192485e-18,3.0072777954623333e-22,3.3592468780813815e-31,2.5124207906080762e-18,8.546049541542177e-32,4.2610762444454455e-49,1.2886897084342963e-62,8.446862284083405e-19,2.9213376607463005e-33,4.491301176174093e-35,3.7752750348845334e-32,1.0011769313413965e-23,3.094805711361172e-32,2.6210368372768114e-34,1.0477847652739258e-48,3.4461614568356343e-48,3.596579988722117e-35,9.15174205500986e-64,1.0301775712137006e-83,8.73930769198442e-33,4.004725900778614e-85,2.708188923150678e-67,1.8224078412646492e-54,2.572235856105145e-66,8.690384017042765e-68,2.4627150039916303e-67,3.0072777622013817e-22,6.728539306860109e-35,1.3393472169633573e-54,1.8815213259612364e-53,5.353608401437575e-48,1.3528549310660434e-48,1.6341942302953779e-47,1.5781560959100834e-81,1.5881934418516798e-57,1.1176445582945628e-49,2.7593223392486745e-87,1.1161468871293428e-58,7.878691727122737e-83,1.64265966834216e-98,7.829421174961915e-82,2.544817841711665e-84,1.7267735613836824e-97
3.4814332028237246e-21,0.9366237755410981,3.76,0.0,0.8231923038645212,1.0,1.0472447451368933e-44,4.531558613979172e-53,4.354867046873001e-34,2.285236183231077e-15,7.673387472051772e-18,6.873777902310764e-22,1.617332768455154e-30,5.7426760928190724e-18,4.114554977948163e-31,4.1835499246385536e-48,2.54623370107979e-61,1.930711379219062e-18,1.4064983307034722e-32,2.162368182172244e-34,1.8176324174576792e-31,2.28840441843418e-23,1.4900157299070867e-31,1.2619164110597568e-33,1.0287212958248325e-47,3.383486851528702e-47,1.7315984448986438e-34,1.8082327746153846e-62,4.0752800244415346e-82,4.207600458325382e-32,1.792433603145441e-83,6.040688311704077e-66,1.9604632367099172e-53,5.7385163781590214e-65,1.938740845982392e-66,4.865909845494372e-66,6.873777742173597e-22,3.2395020371484734e-34,1.314979039837745e-53,1.847288795099235e-52,5.256204474992311e-47,1.3282409936520484e-47,1.6044615859390631e-46,6.2430438438060596e-80,1.7085112267595643e-56,1.0973100548735166e-48,1.0915604771620215e-85,1.200702167724413e-57,3.533124317772927e-81,1.4756397900262439e-96,3.510972202474648e-80,1.3250813742271166e-82,1.859865995134529e-95
7.398045556000416e-21,0.9366237755410981,3.76,0.0,0.8231923038645199,1.0,9.262762620694474e-44,4.0081122758533474e-52,1.901884851969374e-33,4.856126889365997e-15,1.63059483781432e-17,1.4606778401475753e-21,7.063317111216056e-30,1.2203186697243146e-17,1.7969342579075388e-30,3.700302531155259e-47,4.5308868263361894e-60,4.102761680840501e-18,6.142547730374398e-32,9.443629956538263e-34,7.938078301827098e-31,4.8628594059903737e-23,6.507290154684383e-31,5.511120502221036e-33,9.098923362589978e-47,2.992665770825069e-46,7.562345340489899e-34,3.2176558680066276e-61,1.4544384938100056e-80,1.8375696637107832e-31,6.745176358291946e-82,1.1312698433059272e-64,1.8020035505255615e-52,1.0747605845556e-63,3.631020243209243e-65,8.658626587560732e-65,1.4606777702114672e-21,1.4147756489649767e-33,1.1630840690769801e-52,1.6339060193873597e-51,4.649053333501754e-46,1.174814117054263e-46,1.419128102805579e-45,2.228100525398668e-78,1.5704257371641338e-55,9.705583168911957e-48,3.8957018101838914e-84,1.1036563529399613e-56,1.3292512579055509e-79,1.1127512850622599e-94,1.3209054278901675e-78,5.288051918138148e-81,1.5134869700376834e-93
1.5231270262353797e-20,0.9366237755410985,3.76,0.0,0.8231923038645174,1.0,7.785910679587053e-43,3.369059874832393e-51,7.939994870185156e-33,9.997908301635706e-15,3.357107019043159e-17,3.007278054167824e-21,2.9487958522675844e-29,2.5124207906099618e-17,7.501846799550595e-30,3.110327237402366e-46,7.642002880988358e-59,8.446862284083362e-18,2.5643927611358683e-31,3.9425296086346385e-33,3.3139914296291144e-30,1.0011769434585263e-22,2.71666554331847e-30,2.300784323053182e-32,7.648193337515959e-46,2.51551985395694e-45,3.157130314569189e-33,5.42704876244839e-60,4.914218951459212e-79,7.6714916196742226e-31,2.3366617278863114e-80,1.9539176341965702e-63,1.5416521095529714e-51,1.856381616131684e-62,6.27166232654951e-64,1.4604039318371228e-63,3.007277762198341e-21,5.906409835318543e-33,9.776422411387882e-52,1.3733964595215444e-50,3.9078094532733574e-45,9.875020532779857e-46,1.1928626792770185e-44,7.528252238791366e-77,1.3435486626755667e-54,8.158127458668167e-47,1.3162695953641897e-82,9.442084324527e-56,4.602780465469145e-78,7.715333015705744e-93,4.573859493655235e-77,1.8794564752036924e-79,1.086444824261158e-91
3.089771967506056e-20,0.9366237755410994,3.76,0.0,0.8231923038645121,1.0,6.383360208285114e-42,2.76215883556927e-50,3.243746980119535e-32,2.0281471126174597e-14,6.810131381543051e-17,6.100478938957324e-21,1.2046793224991137e-28,5.096625032384585e-17,3.064749196852217e-29,2.5500341873007774e-45,1.2552012679625094e-57,1.7135063490569013e-17,1.047638116998128e-30,1.610651986706725e-32,1.3538736318813076e-29,2.0309589705705063e-22,1.1098465170600255e-29,9.399454687110412e-32,6.270450982472e-45,2.0623767302192495e-44,1.2897907481110124e-32,8.913945375693701e-59,1.6156876747516834e-77,3.1340546412393044e-30,7.776414976631681e-79,3.2464058095397137e-62,1.2746679974075438e-50,3.0844058035108974e-61,1.0420442445968198e-62,2.3987178456547524e-62,6.100477746166717e-21,2.4129611391620957e-32,8.015301759537168e-51,1.125993394640482e-49,3.203858289676054e-44,8.096138456926339e-45,9.779808941761398e-44,2.475125300249332e-75,1.1108991086814616e-53,6.688525783821217e-46,4.327606453139323e-81,7.807016767827107e-55,1.5313750781106057e-76,5.137004203081565e-91,1.5217491102024926e-75,6.330527028373981e-78,7.354846448886087e-90
6.223061850047408e-20,0.9366237755411013,3.76,0.0,0.8231923038645018,1.0,5.169410687512003e-41,2.2368678391031316e-49,1.3111743924130697e-31,4.0848596775250257e-14,1.3716180106711691e-16,1.2286882535532339e-20,4.8695064332615845e-28,1.0265033515947144e-16,1.2388206264932732e-28,2.065083799012428e-44,2.034735345695414e-56,3.4511465903540025e-17,4.234720771819893e-30,6.510512851414085e-32,5.472573685835414e-29,4.0905231103664733e-22,4.4861770711518206e-29,3.7994098688803373e-31,5.077973778022878e-44,1.6701667742109456e-43,5.213540423533601e-32,1.4449890778908008e-57,5.240444246338027e-76,1.2668349952071168e-29,2.5374508521564514e-77,5.292413890156874e-61,1.0365392051321718e-49,5.028359910214241e-60,1.6987936253321216e-61,3.888425003012301e-61,1.2286877714081994e-20,9.75357472400634e-32,6.490999175796301e-50,9.118586443391876e-49,2.5945675085827808e-43,6.55646282986245e-44,7.919942839341064e-43,8.028010667105807e-74,9.034087701572602e-53,5.4165415913255847e-45,1.4036487838079146e-79,6.348729691162655e-54,4.996121023559233e-75,3.352933052725936e-89,4.9647100164588594e-74,2.0777423579671917e-76,4.8396844721472964e-88
1.248964161513011e-19,0.9366237755411047,3.76,0.0,0.8231923038644812,1.0,4.1607914862475445e-40,1.8004258404249842e-48,5.272174564321088e-31,8.198284807339316e-14,2.7528277557724404e-16,2.465969703666643e-20,1.9580071200018544e-27,2.0601850483125527e-16,4.98124325383347e-28,1.6621590997321447e-43,3.276878546954994e-55,6.92642707294809e-17,1.7027625973620262e-29,2.6178485833171715e-31,2.2004978098219727e-28,8.209651732246437e-22,1.8038720693899156e-28,1.5277259978648906e-30,4.0871950702821244e-43,1.3442957717088259e-42,2.096341674214992e-31,2.327110459524375e-56,1.6882789206786878e-74,5.093887798265789e-29,8.199163653650226e-76,8.547224681166439e-60,8.360069989116709e-49,8.120814675309479e-59,2.743555041661641e-60,6.262188617841069e-60,2.4659677649826648e-20,3.9218694989195094e-31,5.2245208411549555e-49,7.339431668880668e-48,2.08833365312699e-42,5.277211686263283e-43,6.374659015965907e-42,2.5863307483392174e-72,7.287029810013197e-52,4.3597039009189827e-44,4.522041557314342e-78,5.120792322495782e-53,1.614247745168997e-73,2.167001965037623e-87,1.6040978297838091e-72,6.733047672224886e-75,3.1404869883870637e-86
2.5022801145295517e-19,0.9366237755411115,3.76,0.0,0.8231923038644398,0.9999999999999999,3.338773144759553e-39,1.444728350741629e-47,2.1143778040417382e-30,1.6425135066964522e-13,5.515247246245155e-16,4.9405355270870834e-20,7.852484291734832e-27,4.1275484417695343e-16,1.997701336348715e-27,1.3337779985024872e-42,5.26011578733769e-54,1.3876988038135812e-16,6.828839594541717e-29,1.0498743680813507e-30,8.824980414094744e-28,1.6447910345158484e-21,7.234333799782474e-28,6.126864543589461e-30,3.2797166413387e-42,1.0787127961834889e-41,8.407267724497537e-31,3.73552774195398e-55,5.420709557136076e-73,2.0428768367768807e-28,2.6364980452781243e-74,1.3739383718706368e-58,6.715272153238737e-48,1.3053972403031433e-57,4.410183650536823e-59,1.0052199674114395e-58,4.940527752097235e-20,1.5728450791089533e-30,4.192348946692032e-48,5.88943169325175e-47,1.6757562378909788e-41,4.234630033314075e-42,5.115262397362825e-41,8.30416590983271e-71,5.854480532552825e-51,3.4983878155277375e-43,1.451932725239909e-76,4.113799829793207e-52,5.190515083098059e-72,1.3936806224317377e-85,5.157877002980455e-71,2.1681486332512318e-73,2.0238070184228164e-84
