Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59)
0.0,0.05057970832575385,3.76,0.0,0.6872234469161276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4950383124458083e-16,0.05057970832575384,3.76,0.0,0.6872234469161272,0.9999999999999998,9.1813283680012e-35,1.1168903516612022e-52,6.572846117274128e-37,3.4387425551301545e-16,8.462184492589128e-17,2.435517632395751e-24,4.22910108092585e-19,9.488857265682417e-26,8.419893507920663e-17,5.727548411848125e-27,1.7328647583608944e-25,2.2099553467387106e-25,2.234405201864665e-43,1.3315783934638151e-27,1.1898662417693023e-52,2.3442642431969256e-27,1.9721932686519157e-27,2.7203080526316547e-41,1.5637699720090752e-38,1.6930295602439984e-26,1.7414821031097456e-51,2.4115233503749308e-29,3.107245856987882e-75,1.587617894478627e-72,3.1717666099779572e-34,6.549116908783682e-57,4.287561220052092e-48,8.84127258739309e-29,1.3474928975756277e-55,3.9083135281733516e-59,1.794533434057441e-51,2.1957025006834284e-50,4.105735027100405e-66,1.8194913781842055e-38,6.552002790211372e-72,1.5578746727294586e-58,1.4445422305466226e-43,3.715589401375994e-69,5.231829402827055e-85,9.959000165052496e-75,2.3483270133509977e-24,1.1046549790484856e-30,8.573620019435579e-43,3.4584872150217874e-41,4.332150239409504e-37,5.913078540185504e-70,2.8681930835136028e-64,2.5706688432590105e-83,1.306079233637595e-72
9.786107274848263e-16,0.05057970832575385,3.76,0.0,0.6872234469161269,0.9999999999999998,1.0900072877300413e-33,1.3259710418898342e-51,3.9699965019891485e-36,9.628479144312503e-16,2.369411652288959e-16,7.101941808900408e-24,1.1841484417496047e-18,5.731269800409611e-25,2.3575701836605006e-16,3.459439579832262e-26,1.046650301716308e-24,1.3348130167564508e-24,2.652685802076917e-42,8.042733500579423e-27,2.661683136833284e-51,1.4159355782224854e-26,1.1912047431218166e-26,3.2295496605069815e-40,1.8565058830085876e-37,4.897492701389261e-26,3.895625741474616e-50,1.4565407261868643e-28,1.2822236546187763e-73,9.161505542804927e-71,3.765474441606172e-33,2.0591268665893294e-55,6.480421275998117e-47,5.340128469769493e-28,3.0143275995564775e-54,1.2288180244961523e-57,2.850022833858509e-50,4.263160129613655e-49,1.694235390785324e-64,2.160289343393208e-37,3.773920685159379e-70,4.89819992303886e-57,1.7149440406271943e-42,2.1399861196828187e-67,5.567997256807577e-83,4.113569777304293e-73,6.5753104703351875e-24,6.672108899749899e-30,1.0179386686024962e-41,4.105903380215982e-40,5.14310456969549e-36,2.4402598758949e-68,1.4525112007143322e-62,2.719755427050022e-81,6.2394130042931835e-71
2.2368245199653172e-15,0.050579708325753855,3.76,0.0,0.687223446916126,0.9999999999999994,1.070175582419267e-32,1.3018437242789085e-50,1.9113798216415126e-35,2.2007952282469474e-15,5.41579803580506e-16,1.7564759911008927e-23,2.7066256654250534e-18,2.759359710766586e-24,5.388731855168224e-16,1.6655715867793973e-25,5.039170532308404e-24,6.426549958210212e-24,2.6044225354778307e-41,3.872229974279302e-26,5.259037121033298e-50,6.817120049189142e-26,5.735138158078184e-26,3.170790881439436e-39,1.8227246132733554e-36,1.1934458832453493e-25,7.697099665118099e-49,7.012419249051514e-28,5.072428758037714e-72,4.0776562013931834e-69,3.6968658432886457e-32,4.5937060127716143e-54,6.973696433070836e-46,2.5710418088841145e-27,5.955975855137887e-53,2.74134779566276e-56,3.3731460118570695e-49,6.688057448798039e-48,6.702159658402936e-63,2.1213856001193338e-36,1.6924016921544698e-68,1.0927600579740327e-55,1.683707288977833e-41,9.596583706539565e-66,5.009831912000197e-81,1.6307501819901412e-71,1.5029256716163906e-23,3.212325918535644e-29,9.995844974346102e-41,4.0311735095131806e-39,5.049479316618499e-35,9.654733304570087e-67,6.212976915319281e-61,2.4457348377424983e-79,3.249022411204219e-69
4.753252104926299e-15,0.05057970832575389,3.76,0.0,0.6872234469161241,0.9999999999999989,9.465581178826958e-32,1.151461570405849e-49,8.34747500000031e-35,4.676689839795253e-15,1.1508570712661303e-15,4.3010275082262715e-23,5.751582338221124e-18,1.2050848912446723e-23,1.1451055221267094e-15,7.273991738724146e-25,2.20073805194643e-23,2.806643093915344e-23,2.3035820331025855e-40,1.6911045659882515e-25,9.35817475997008e-49,2.977215206497931e-25,2.5046855884491747e-25,2.8045284020353216e-38,1.6121723915216122e-35,2.852055143327193e-25,1.369657637674005e-47,3.0623343287021058e-27,1.8103704076503454e-70,1.5312591371715326e-67,3.269659353651971e-31,8.603158046922175e-53,6.414365940583988e-45,1.1228413504154089e-26,1.0598957430657133e-51,5.133954225942368e-55,3.6663589033101835e-48,1.0018947314330033e-46,2.391905141174664e-61,1.8770543510613998e-35,6.3672766160851e-67,2.0466144077220372e-54,1.4891578789564204e-40,3.610467249830783e-64,3.781733380458436e-79,5.844829684131842e-70,3.1937066535668666e-23,1.4029007042057272e-28,8.844169530959768e-40,3.565479684590113e-38,4.4661161082690745e-34,3.4465688126684636e-65,2.295441551662574e-59,1.8455245541819874e-77,1.2967383498811996e-67
9.786107274848264e-15,0.0505797083257539,3.76,0.0,0.6872234469161205,0.9999999999999977,7.956390221494946e-31,9.67865326423063e-49,3.4848873995164865e-34,9.628478998559516e-15,2.369411570567005e-15,1.119808210580367e-22,1.1841504585590251e-17,5.030992288791816e-23,2.357570204579858e-15,3.0367508980701495e-24,9.187647228282474e-23,1.1717181480423401e-22,1.936299154427597e-39,7.060028698747144e-25,1.578392682563062e-47,1.2429285576167368e-24,1.0456569945651535e-24,2.3573747296802843e-37,1.3551164496587033e-34,7.174138553842229e-25,2.3101273836488306e-46,1.2783194155645112e-26,6.117214915034557e-69,5.300550301417759e-66,2.7480486228065976e-30,1.4858626804397734e-51,5.495050336435381e-44,4.687640312172985e-26,1.7878771839475576e-50,8.866641538980827e-54,4.105328906499892e-47,1.5198932992273132e-45,8.081382201483637e-60,1.5789763560907334e-34,2.2047951234005174e-65,3.5350034523607395e-53,1.2516223837946534e-39,1.2501853105151284e-62,2.623574453985091e-77,1.9915937437340556e-68,6.575235548931551e-23,5.856780626895032e-28,7.43903309868529e-39,2.9969203819143876e-37,3.753886337748373e-33,1.1650895906564894e-63,7.884957518530206e-58,1.2800897552640046e-75,4.609798403746088e-66
1.9851817614692193e-14,0.050579708325753946,3.76,0.0,0.687223446916113,0.9999999999999952,6.523127597899071e-30,7.935021644243905e-48,1.4236746093173072e-33,1.953205705875869e-14,4.806520424887314e-15,3.2223997366360604e-22,2.402138468740683e-17,2.0553245801686588e-22,4.782499606419668e-15,1.2406139010231774e-23,3.7534529244705304e-22,4.786850182355966e-22,1.5874944662297631e-38,2.8842521113010372e-24,2.5925138248890216e-46,5.0777672077278385e-24,4.27185055332757e-24,1.932717610458819e-36,1.1109873383017901e-33,1.9837770975268547e-24,3.794389796674873e-45,5.22116828408278e-26,2.0114579136647595e-67,1.7640514499409455e-64,2.2525292638302445e-29,2.468388130162039e-50,4.555694250112848e-43,1.9150529639479752e-25,2.937277284188486e-49,1.4728778921093956e-52,4.9964396846154555e-46,2.3527817401107586e-44,2.656768182980617e-58,1.2965063540085898e-33,7.335522628940524e-64,5.873415177419695e-52,1.0259842519662687e-38,4.1594132604466106e-61,1.7472680374812804e-75,6.65807089608709e-67,1.333816106811417e-22,2.3926421442808638e-27,6.107127819856685e-38,2.4569249986250863e-36,3.077411355834981e-32,3.834301296534771e-62,2.613439433483076e-56,8.524684441401846e-74,1.5533721437599755e-64
3.998323829438005e-14,0.050579708325754036,3.76,0.0,0.6872234469160983,0.9999999999999903,5.282594919333919e-29,6.425786942397273e-47,5.754594260498423e-33,3.9339212149840105e-14,9.68073755640266e-15,1.032030506458482e-21,4.838128731911631e-17,8.307951161031902e-22,9.6323585578335e-15,5.0147764997682855e-23,1.517205075176334e-21,1.934920752610756e-21,1.2855932591913836e-37,1.165860838660597e-23,4.2025737246192706e-45,2.0525134729203822e-23,1.7267507318952368e-23,1.5651638264559295e-35,8.99675578187717e-33,6.124294653144108e-24,6.150864935113636e-44,2.109523387153779e-25,6.525746886779139e-66,5.760489193226012e-63,1.8233682536454522e-28,4.022808659506354e-49,3.724588041006981e-42,7.740941721318552e-25,4.7636695031630815e-48,2.4000945850933174e-51,6.668680926600068e-45,3.6959772624110555e-43,8.615779435586537e-57,1.0531282353454152e-32,2.3932325085188852e-62,9.574999765773042e-51,8.305911703485308e-38,1.356989943990892e-59,1.1405039797673365e-73,2.2309162670968146e-65,2.6863483041078184e-22,9.6710876500672e-27,4.9589233429970465e-37,1.989468768382511e-35,2.491760288741493e-31,1.246069868686563e-60,8.510418827542326e-55,5.56454999975708e-72,5.102688676886225e-63
8.024607965375576e-14,0.05057970832575422,3.76,0.0,0.6872234469160687,0.9999999999999807,4.2518872448365835e-28,5.171711531531861e-46,2.3137956100729282e-32,7.895351821473861e-14,1.9429169510936096e-14,3.6087003621245005e-21,9.710166229294476e-17,3.340591096519681e-21,1.933207705159928e-14,2.0164330488664204e-22,6.1006099770492386e-21,7.780226209075508e-21,1.0347558210126495e-36,4.6878753170660184e-23,6.76810606957219e-44,8.25305659889511e-23,6.943192260721245e-23,1.259778397649908e-34,7.240876417890113e-32,2.0836532698787376e-23,9.905764065106316e-43,8.4746199417996e-25,2.1034074011206904e-64,1.8648503375481564e-61,1.4663379066722403e-27,6.492693561681711e-48,3.036233620178099e-41,3.112591744700915e-24,7.678881932064452e-47,3.872713724694075e-50,9.581692412619346e-44,5.856643946308526e-42,2.7747964760899946e-55,8.52771957331673e-32,7.732621757130393e-61,1.5463168015537346e-49,6.680857883676233e-37,4.384302015368431e-58,7.370120195418255e-72,7.646323337650124e-64,5.391201089167451e-22,3.888416785137176e-26,4.01263566269653e-36,1.6009550754728471e-34,2.0049301879766597e-30,4.0299797388708e-59,2.747043563256724e-53,3.596439520016417e-70,1.6563861082971583e-61
1.607717623725072e-13,0.0505797083257546,3.76,0.0,0.6872234469160097,0.9999999999999613,3.4118641616980004e-27,4.1494579797307006e-45,9.278541785736369e-32,1.5818211387550609e-13,3.892602418604479e-14,1.3390394271693761e-20,1.945446910670731e-16,1.3397268217750651e-20,3.873151640289341e-14,8.086906471658023e-22,2.4466135261015825e-20,3.120214649423916e-20,8.303240073779622e-36,1.880047801816642e-22,1.0864279112042066e-42,3.3098369602063886e-22,2.7845334511578447e-22,1.0108902308409072e-33,5.809552479456246e-31,7.598612971544102e-23,1.5900899230584118e-41,3.3925566468265155e-24,6.760349712031064e-63,6.020005313541548e-60,1.1746146813062849e-26,1.0423486752790807e-46,2.4906272936355975e-40,1.2482829889143888e-23,1.2349225554125678e-45,6.214225759955052e-49,1.4448971266594907e-42,9.32422058539684e-41,8.903569290562451e-54,6.925092736685155e-31,2.4864295217499235e-59,2.4855040192767312e-48,5.3538198853803115e-36,1.4096588610307322e-56,4.738210116737994e-70,2.7488373848432493e-62,1.0800060354151598e-21,1.5592004651413356e-25,3.2539885281845017e-35,1.2841162770158859e-33,1.6077794032424725e-29,1.3039452725926082e-57,8.827810978986039e-52,2.31291919706993e-68,5.352049976619834e-60
