Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47),C2H2O(788),C3H7(196),C#CC(211),C3H4(1113),C3H4(430),C4H7(54),C4H7(1650),C2H2O(167),C3H3(1111),C4H7(64),H2CC(23),C4H7(1651),C4H6(61)
0.0,0.5472483053943682,3.76,0.0,0.8684769169161985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25635380485222e-16,0.5472483053943682,3.76,0.0,0.8684769169161983,1.0,9.263560833450912e-37,2.779551206462848e-54,1.6248396477315014e-37,3.7713962356130247e-16,1.1608695304727826e-17,6.063607051893777e-25,3.1706115249528888e-27,1.66900572598756e-19,2.581338860783565e-28,8.381089452047864e-46,8.52239590507183e-53,1.1441794727069018e-17,3.2370803953809936e-27,5.472984566907576e-28,2.124666612650997e-28,2.481468403035778e-27,1.990147679492132e-28,2.1578394404688758e-29,2.8056788278394054e-43,2.956602510612139e-41,3.2897339718382794e-31,5.679025155055781e-55,2.7472104989301592e-76,9.361952175170113e-30,6.909978632336112e-77,3.155468287885572e-60,1.2964984700211847e-50,1.9829499530834504e-62,6.974828545747127e-61,4.552583667910272e-59,5.949846518959679e-25,2.4132512246587644e-32,1.5591849456046563e-46,6.231001476607119e-45,8.193373540211824e-40,3.4365455738442663e-41,3.69175705100802e-37,1.3815913332323293e-70,1.2405422996987554e-53,6.094936415973389e-46,3.692132749233009e-79,7.474213590243222e-55,2.5840351228572993e-74,1.1814578785948703e-79,1.804215091515261e-72,1.753207367838758e-76,1.3404528391668584e-82,6.556633553690868e-74,1.1380120378540759e-76,6.795624592843352e-82,7.305480132809947e-44,6.011045480330575e-82,3.539095243994047e-81
9.117790653586215e-16,0.5472483053943682,3.76,0.0,0.868476916916198,1.0,1.0997699396909619e-35,3.2998829030461443e-53,9.814030805610542e-37,1.0559909459236252e-15,3.2504346878955415e-17,1.734668265359727e-24,1.9150493626107013e-26,4.6732161103377e-19,1.5591286935090928e-27,9.950029427107373e-45,1.9064258630883833e-51,3.203702523735892e-17,1.9551965559846754e-26,3.3056826708127726e-27,1.2832986301463545e-27,7.023094220213187e-27,1.2020491988496822e-27,1.3033350220951493e-28,3.3309019083631386e-42,3.5100781885987283e-40,1.9869968935626728e-30,1.2703752212141823e-53,1.1373249718039551e-74,5.654619089602572e-29,4.025466248568224e-75,9.921279274786257e-59,1.959775557962857e-49,6.234692537847e-61,2.192997393713359e-59,1.0183960886998008e-57,1.6659569034701528e-24,1.4576035978380012e-31,1.8510757790511333e-45,7.397443020358208e-44,9.727165476242636e-39,4.079933779414554e-40,4.382848721367502e-36,5.701172843199124e-69,2.961024185418376e-52,7.23590202540241e-45,1.5236636715511877e-77,1.3509355776014985e-53,1.4882933031778369e-72,7.187382011314548e-78,1.0391353822587434e-70,8.375615354509152e-75,1.4944899963701197e-80,2.7056529027260564e-72,6.923082419933845e-75,7.695041528085576e-80,8.673065959824491e-43,6.744106019174506e-80,3.9882413817552204e-79
2.084066435105421e-15,0.5472483053943683,3.76,0.0,0.8684769169161973,1.0,1.0797606421229775e-34,3.2398439891443095e-52,4.725032695571742e-36,2.413693590456183e-15,7.429565013028059e-17,4.138716548997447e-24,9.220138337650347e-26,1.0681637189328112e-18,7.506533731095899e-27,9.76899795245184e-44,3.766776196396052e-50,7.322748626420137e-17,9.41342974738625e-26,1.5915439006576163e-26,6.178530451166306e-27,1.6406276627264905e-26,5.787349458509629e-27,6.274997093662645e-28,3.2702992539701616e-41,3.4462149184486944e-39,9.566510008780029e-30,2.5100473809074575e-52,4.505581966250334e-73,2.722455656238446e-28,1.7962975374715547e-73,2.2133780615510015e-57,2.1093649639748076e-48,1.3909214025153785e-59,4.892455982683845e-58,2.0121848179817409e-56,3.807900919264407e-24,7.017732433464272e-31,1.817421348625265e-44,7.262849329854622e-43,9.55017266733873e-38,4.0058448303830944e-39,4.303095744967073e-35,2.2553250933601682e-67,5.601569758143768e-51,7.104237774808793e-44,6.02829049894163e-76,1.945794939146131e-52,6.674307856660182e-71,3.244724721294538e-76,4.659918707948224e-69,4.361393078239448e-73,1.3650090848066284e-78,1.07034615774625e-70,3.1254099424827165e-73,6.979805541009893e-78,8.515267475876084e-42,6.141689334327023e-78,3.6250382757252004e-77
4.4286411745990195e-15,0.5472483053943684,3.76,0.0,0.8684769169161959,0.9999999999999999,9.550360486424e-34,2.865604227577304e-51,2.0635453192534377e-35,5.129098878752951e-15,1.5787825704441094e-16,9.536545769294102e-24,4.026676660547093e-25,2.2698480588469436e-18,3.2783006879303257e-26,8.640568160660553e-43,6.7027768088233294e-49,1.5560840834293694e-16,4.11109205833946e-25,6.950690282181852e-26,2.698326537696512e-26,3.6372364578915025e-26,2.5274875597197234e-26,2.740456090200565e-27,2.8925426700453478e-40,3.0481368910416767e-38,4.1779245503820673e-29,4.466495258959282e-51,1.6091185638363503e-71,1.1889678887351945e-27,6.751724121210859e-72,4.145395623603324e-56,1.9409471434249326e-47,2.6050278396206055e-58,9.16302688980941e-57,3.58059596927067e-55,8.091787001437336e-24,3.0648268565432602e-30,1.6075316010906693e-43,6.423900700643708e-42,8.446990969777859e-37,3.543376373344353e-38,3.8060196747252323e-34,8.049079364548569e-66,9.599155141704607e-50,6.28359341310664e-43,2.1520474456846803e-74,2.695669934761571e-51,2.5111738498538644e-69,1.2251439848369227e-74,1.753177590649925e-67,1.7407091789702264e-71,1.0387606914491607e-76,3.8200851472683065e-69,1.1800950310677204e-71,5.2948440484309497e-76,7.53165744717465e-41,4.6677260768679525e-76,2.75260501846834e-75
9.117790653586217e-15,0.5472483053943686,3.76,0.0,0.868476916916193,0.9999999999999998,8.0276532478479e-33,2.408711183912807e-50,8.61489051198732e-35,1.055990945227309e-14,3.2504347251859145e-16,2.269113482063735e-23,1.681058252001253e-24,4.673217235139403e-18,1.3686261652491213e-25,7.262918343762538e-42,1.130521219735606e-47,3.2037025260061075e-16,1.7162999862160414e-24,2.9017763113627038e-25,1.126498183694315e-25,8.110343340647423e-26,1.0551763057549564e-25,1.1440864720611675e-26,2.4313564279570768e-39,2.562140740505318e-37,1.7441831177325524e-28,7.533397267176944e-50,5.4388957916978754e-70,4.9637067056710024e-27,2.3376755738061782e-70,7.16008385375463e-55,1.6640772961575558e-46,4.499490520754432e-57,1.5826844650492688e-55,6.039267960464008e-54,1.6659551368128016e-23,1.2795038204181512e-29,1.3512995090854997e-42,5.399663356878608e-41,7.100156763129874e-36,2.9788452509811672e-37,3.19915559042462e-33,2.719591384724203e-64,1.5830763900700348e-48,5.281697754581074e-42,7.275292705154604e-73,3.8591377894698483e-50,8.696314287196502e-68,4.2505774427665e-73,6.07069546280435e-66,6.188128711529728e-70,7.236610195755696e-75,1.2907813489838808e-67,4.094295828464712e-70,3.68327442210541e-74,6.3308115594184296e-40,3.249910505419645e-74,1.9156968779429873e-73
1.8496089611560612e-14,0.5472483053943692,3.76,0.0,0.8684769169161872,0.9999999999999994,6.581554825326681e-32,1.9748039475731465e-49,3.5194597963394544e-34,2.1421530587019784e-14,6.593739100506319e-16,5.843603535564423e-23,6.8676715692987e-24,9.479957573581048e-18,5.591285776693775e-25,5.954579546306327e-41,1.856884304599843e-46,6.498939415167687e-16,7.01164528589771e-24,1.1854702593738858e-24,4.602112409645043e-25,1.8976114575120607e-25,4.310739531233842e-25,4.673966547767833e-26,1.993372937027099e-38,2.1005945293089112e-36,7.125408915616233e-28,1.237362820198512e-48,1.7886636289177647e-68,2.027836003111724e-26,7.777795114739092e-69,1.1896400368045433e-53,1.3817727027768068e-45,7.47581470502615e-56,2.6296520647754475e-54,9.919744107168557e-53,3.3795048910945675e-23,5.227181928023201e-29,1.1079956056683514e-41,4.426950163314619e-40,5.821058582589097e-35,2.4429324639953322e-36,2.6228064695783673e-32,8.941351657738147e-63,2.5689168522485843e-47,4.3301874876359417e-41,2.3945943665147965e-71,5.7591640174586185e-49,2.8939282383471717e-66,1.4156089822084572e-71,2.0197573613833324e-64,2.0852606469375147e-68,4.8297745095382256e-73,4.244201143422061e-66,1.3635700940696042e-68,2.4565185823736647e-72,5.190381248172924e-39,2.1684397944742181e-72,1.2779486338235833e-71
3.72526875275094e-14,0.5472483053943703,3.76,0.0,0.8684769169161757,0.9999999999999988,5.329913221202368e-31,1.5992425630377134e-48,1.4226186267144411e-33,4.314477280733885e-14,1.3280348114494319e-15,1.6766872606950442e-22,2.7760227289861723e-23,1.9093446193890787e-17,2.260088175023027e-24,4.822173354668904e-40,3.0100888487913615e-45,1.308941320952327e-15,2.834218991508917e-23,4.791859953266751e-24,1.8602472249685362e-24,4.838588931397386e-25,1.7424698628848195e-24,1.8892920114698478e-25,1.6142851525269718e-37,1.7011106510284624e-35,2.8800843750270075e-27,2.005818636910487e-47,5.8031578650864294e-67,8.196836151808777e-26,2.5375839846845577e-67,1.9393529097674285e-52,1.1332003123274516e-44,1.2186956599192322e-54,4.286990557522425e-53,1.608107299999063e-51,6.806591923478225e-23,2.112903501238667e-28,8.974757029609007e-41,3.5850264785081446e-39,4.71391636374906e-34,1.979475935024489e-35,2.123928301198808e-31,2.900060695717491e-61,4.138297267805733e-46,3.5065888709163686e-40,7.783916217294205e-70,8.860499785302317e-48,9.445434132376153e-65,4.620713151597117e-70,6.589460887864328e-63,6.850131481480144e-67,3.1560951766975226e-71,1.37685136949512e-64,4.4509110130643555e-67,1.6047221692668952e-70,4.203304397850548e-38,1.416854114819401e-70,8.349237149397518e-70
7.476588335940698e-14,0.5472483053943724,3.76,0.0,0.8684769169161526,0.9999999999999974,4.2899770237929285e-30,1.2872016997338262e-47,5.72026043654459e-33,8.659125705127965e-14,2.6653567195859105e-15,5.371056653891299e-22,1.1162265910966506e-22,3.83204552082125e-17,9.08772373120239e-24,3.8813053681377545e-39,4.847653273831633e-44,2.627036086236414e-15,1.1396268788605148e-22,1.926785509858604e-23,7.479970727218825e-24,1.3791838702379024e-24,7.006394855469403e-24,7.596760104678532e-25,1.2993172373391206e-36,1.3691933771862025e-34,1.1579729009967286e-26,3.2303096701326763e-46,1.8704157862347078e-65,3.2959108039460976e-25,8.199094242995202e-66,3.131864454675095e-51,9.293974243377057e-44,1.9680326867098692e-53,6.923481841650052e-52,2.5900456884202025e-50,1.3660716083890919e-22,8.495835679579338e-28,7.226758107591341e-40,2.885488818632987e-38,3.7939642791829204e-33,1.5950667353862894e-34,1.7093800200951846e-30,9.342640083815624e-60,6.643381670028578e-45,2.8222319782251887e-39,2.5187129157798016e-68,1.3884575428521079e-46,3.0543916957067454e-63,1.4932891822290305e-68,2.1290505277879102e-61,2.2237779522655167e-65,2.040877615452753e-69,4.4373507266517766e-63,1.4384517886136064e-65,1.0375513802491094e-68,3.3831835991138055e-37,9.162031301706613e-69,5.398721089574549e-68
1.4979227502320211e-13,0.5472483053943766,3.76,0.0,0.8684769169161065,0.9999999999999948,3.4424350584439084e-29,1.0328857072924525e-46,2.294059030882451e-32,1.7348422475237204e-13,5.340000957214424e-15,1.8798657701281562e-21,4.476568365424113e-22,7.677460033163632e-17,3.64459055791447e-23,3.1145042977045087e-38,7.781550608560878e-43,5.263225642456486e-15,4.57041259424449e-22,7.727269248227477e-23,2.999801570058297e-23,4.398353285915653e-24,2.809877844800056e-23,3.0466405919311232e-24,1.042620426462908e-35,1.0986778664296726e-33,4.6432165424362047e-26,5.185364324119291e-45,6.010618173923946e-64,1.321806874224642e-24,2.6364006387494643e-64,5.033751704485724e-50,7.713315731292096e-43,3.163027799116821e-52,1.1129232619304294e-50,4.1583624918545805e-49,2.736876479021675e-22,3.407164879789117e-27,5.803981635816976e-39,2.3153389928623256e-37,3.0440873030827026e-32,1.2828486460514855e-33,1.3714415647160805e-29,2.9995384644639233e-58,1.0646962166578359e-43,2.2643813200670234e-38,8.157806228184008e-67,2.1977947523583492e-45,9.837739571035112e-62,4.8019018380273254e-67,6.845797404053983e-60,7.186373068758435e-64,1.3127853741886246e-67,1.4257932976872152e-61,4.6258084615403104e-64,6.673997081458618e-67,2.7147894305235497e-36,5.894037111172127e-67,3.4729598557682006e-66
