Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77)
0.0,0.27366836154180507,3.76,0.0,0.712507484341621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.929822635515184e-19,0.27366836154180507,3.76,0.0,0.7125074843416209,1.0,7.028743732818839e-41,2.3817444626489148e-54,1.765610509681079e-36,3.8076450819733295e-16,3.2567028068910784e-18,8.36693874191964e-24,5.147699460688129e-19,2.4117767053598243e-29,2.741932860661062e-18,6.33021276158208e-30,4.846705499999584e-31,1.2890282286127278e-29,3.981499720258235e-48,9.685115252449634e-32,2.9449679268075825e-57,3.327488869304204e-30,2.821918517185402e-30,4.442155378241857e-46,6.348885992905898e-45,8.725770639394531e-26,1.2056377596637976e-59,3.3346930665056555e-33,3.761814401096146e-80,3.76649365040156e-81,9.996198131059781e-42,1.759997436456175e-63,1.4446243208037167e-52,3.208726103520264e-31,1.552079483230082e-63,3.61987833501905e-65,1.442437216180552e-56,1.6393694371114662e-55,3.7484691371489604e-76,7.123751923883695e-45,1.7422959071931682e-78,1.7276445888925238e-64,7.432210805829246e-48,1.7693340448463606e-77,1.385132297057779e-82,1.8815207754309785e-83,8.36674217315381e-24,1.2655546058541569e-33,7.789844377455062e-50,2.339638071396921e-48,1.694923127621766e-43,8.11760649898252e-79,1.6112082581227054e-73,3.5935112373912206e-80,1.7584416767358533e-80,9.78531088180932e-90,4.9602777548118355e-46,1.0274066117753132e-95,1.8627076237868967e-67,8.436691296444019e-89
1.6603503379442514e-18,0.27366836154180507,3.76,0.0,0.7125074843416205,1.0,8.344524721240575e-40,2.827607025625363e-53,1.0664287476149637e-35,1.0661406229518432e-15,9.118767859872995e-18,2.3428065354350194e-23,1.4413558490459509e-18,1.4567131301149082e-28,7.677412009853374e-18,3.8234485081135007e-29,2.927410121995903e-30,7.785730500593383e-29,4.726836468914596e-47,5.849809612480525e-31,6.587775453693996e-56,2.0098032770393177e-29,1.7044387843926374e-29,5.2737268652626386e-45,7.537398004564753e-44,2.4432426636890727e-25,2.6969642737000497e-58,2.0141546043779693e-32,1.5691109951421813e-78,2.2778856343605356e-79,1.1867486371704629e-40,5.533587166524173e-62,2.18312116378928e-51,1.9380705664080674e-30,3.4719397654835773e-62,1.1381398853026748e-63,2.1817878660842153e-55,2.4842877896391905e-54,1.5468167491671392e-74,8.457318739858545e-44,1.003476561998814e-76,5.431979139994051e-63,8.82352063484794e-47,1.0190436514161551e-75,8.426435689495414e-81,7.764149625514258e-82,2.3426878079004593e-23,7.643949816701795e-33,9.248103323710606e-49,2.7776183160826493e-47,2.0122127318868405e-42,3.3501722668976717e-77,9.730636947249418e-72,2.186108248982975e-78,8.400287123302147e-79,1.0434939248766442e-87,5.888841750642164e-45,1.1353129087268781e-93,5.856639428305608e-66,9.4996973361464e-87
3.7950864867297175e-18,0.27366836154180507,3.76,0.0,0.7125074843416198,1.0,8.192703924369161e-39,2.7761613442794493e-52,5.134395358666457e-35,2.4368928524581067e-15,2.0842897968148736e-17,5.355286608711212e-23,3.2945276552133275e-18,7.013446660349988e-28,1.754837030824761e-17,1.8408258712449567e-28,1.4094219593941093e-29,3.748494088464571e-28,4.640836077036987e-46,2.8164315154137743e-30,1.3016334162005217e-54,9.676337631630291e-29,8.206139048164972e-29,5.177776309540169e-44,7.400262295878485e-43,5.58468140182272e-25,5.328747664010368e-57,9.697287320526745e-32,6.2363981570954296e-77,1.0267610177342356e-77,1.1651568388145685e-39,1.2345067210709859e-60,2.3485130034735276e-50,9.330975507264275e-30,6.859968097804344e-61,2.539123682645805e-62,2.3514645920569683e-54,2.687770004189172e-53,6.119054075725948e-73,8.303446655531003e-43,4.500011691824221e-75,1.211844089792196e-61,8.662984810393691e-46,4.5698171770304124e-74,3.8040958430818846e-79,3.0714216595697724e-80,5.354714986740189e-23,3.6802327898370896e-32,9.079842850627244e-48,2.727082128952395e-46,1.9756023813557978e-41,1.3253676665760325e-75,4.3844967062823445e-70,9.869137614215913e-77,4.374012247237705e-77,9.731036804823176e-86,5.781699751410293e-44,1.0271457513173486e-91,1.3065834872986492e-64,8.638499836942805e-85
8.06455878430065e-18,0.2736683615418051,3.76,0.0,0.7125074843416184,1.0,7.246353869534678e-38,2.4554832682680616e-51,2.242325343692647e-34,5.178397311459608e-15,4.4291158193947844e-17,1.138126575842392e-22,7.000871268400481e-18,3.0629564170093823e-27,3.7290286905074504e-17,8.03937020903708e-28,6.155315984939848e-29,1.6370658499855473e-27,4.1047669580587547e-45,1.2300096370625702e-29,2.3161871183422885e-53,4.22591086369979e-28,3.5838365170216117e-28,4.5796845101399514e-43,6.54544828358062e-42,1.1867989032627645e-24,9.48222236271766e-56,4.23506007369476e-31,2.23060075082684e-75,3.87453130356415e-76,1.0305680103020449e-38,2.312089879670764e-59,2.1587080971503604e-49,4.075082149638964e-29,1.2206947393650153e-59,4.755494765553609e-61,2.16949927513809e-53,2.4986792867922998e-52,2.1838470572601004e-71,7.344306250854964e-42,1.693017748323428e-73,2.2696494375384723e-60,7.662311832127875e-45,1.7192791075697213e-72,1.4363541941758334e-77,1.09616949003424e-78,1.137876933509793e-22,1.6072543453146968e-31,8.031018472337022e-47,2.412073251244314e-45,1.7473979136322532e-40,4.7302650718301675e-74,1.6542750338795104e-68,3.7263985776956555e-75,1.7455535982735386e-75,7.473012921241379e-84,5.113847954944205e-43,7.7735938898820055e-90,2.4470858585192046e-63,6.5606582637105e-83
1.6603503379442514e-17,0.2736683615418053,3.76,0.0,0.7125074843416156,1.0,6.090997063584229e-37,2.0639816380481253e-50,9.361266889908168e-34,1.0661406229418502e-14,9.118767868253655e-17,2.3437300070490605e-22,1.4413558498184388e-17,1.2787240102639438e-26,7.677412009888199e-17,3.356278807835873e-27,2.569723256046117e-28,6.834427664931126e-27,3.45030396525779e-44,5.13504810686199e-29,3.9065881168531146e-52,1.764234598220193e-27,1.4961811979882361e-27,3.849500778815014e-42,5.501843699111747e-41,2.4436324912387878e-24,1.5993154482809932e-54,1.7680541551706207e-30,7.544766789754307e-74,1.3438914841207777e-74,8.662544776685303e-38,3.993556435553946e-58,1.846854521294506e-48,1.7012665784378354e-28,2.0588803313888143e-58,8.213932016413247e-60,1.869915484900317e-52,2.185871881899151e-51,7.378725722393083e-70,6.173334820930843e-41,5.862387647889675e-72,3.920254637802572e-59,6.440634569362599e-44,5.953317178831741e-71,4.9833798525435284e-76,3.7037151532219894e-77,2.342687799452655e-22,6.709970483156325e-31,6.7505554306395185e-46,2.0274928915333915e-44,1.4687932019033849e-39,1.598270009300684e-72,5.737528128101932e-67,1.2928607735537734e-73,6.2039718327850415e-74,5.227869976289885e-82,4.298497339406015e-42,5.400504686413599e-88,4.2267319324453915e-62,4.5662772185432105e-81
3.368139256972624e-17,0.27366836154180557,3.76,0.0,0.71250748434161,0.9999999999999999,4.993767398901306e-36,1.6921768426381698e-49,3.8243829609399004e-33,2.1627424065159868e-14,1.8498071980767595e-16,4.756567274518876e-22,2.92389329713906e-17,5.224004824039925e-26,1.5574178648711176e-16,1.3711494064025374e-26,1.0498157980764748e-27,2.7920867016173667e-26,2.828767659545663e-43,2.0978347041527706e-28,6.416582715120464e-51,7.207473988055555e-27,6.112388386458937e-27,3.156053317727591e-41,4.510743863497522e-40,4.957987914450892e-24,2.626880475293443e-53,7.223077649526225e-30,2.4818724211640296e-72,4.4751425440761054e-73,7.102077062377586e-37,6.635350355796304e-57,1.5270717533033952e-47,6.950229075310763e-28,3.3817178920470724e-57,1.3647568109920502e-58,1.5690101888791507e-51,1.8870362954814253e-50,2.425963524142961e-68,5.061277601806052e-40,1.9504561191732656e-70,6.513561456536016e-58,5.2804209950137056e-43,1.9807060561238269e-69,1.6596734882788179e-74,1.2177045823290512e-75,4.752309516423635e-22,2.7412418670672026e-30,5.5345140125164643e-45,1.662261144737417e-43,1.204205353342198e-38,5.2547963239881916e-71,1.910531352553566e-65,4.305766155799029e-72,2.0896692170344658e-72,3.496134958548682e-80,3.5241678244622497e-41,3.599413478499447e-86,7.022778037221462e-61,3.046234593685351e-79
6.78371709502937e-17,0.2736683615418061,3.76,0.0,0.7125074843415989,0.9999999999999998,4.0440823122565974e-35,1.3703686721188948e-48,1.5458767279506554e-32,4.35594597359369e-14,3.725668026498027e-16,9.588763429684213e-22,5.888968197235667e-17,2.11162627836114e-25,3.1367711926603063e-16,5.542405134434677e-26,4.243523306739897e-27,1.128606085295186e-25,2.2908094080428085e-42,8.479783289143652e-28,1.0401557098439551e-49,2.9133762225573913e-26,2.4707251151141307e-26,2.555853806490049e-40,3.652917297300329e-39,9.989451749914567e-24,4.25828651320386e-52,2.919683088015055e-29,8.05203520577136e-71,1.4606690190394915e-71,5.75144530562972e-36,1.0817292320747014e-55,1.241881640522475e-46,2.8093937110031352e-27,5.481912912358811e-56,2.224897609648018e-57,1.3131836161998876e-50,1.6641575354910913e-49,7.868553989299255e-67,4.0987614992112924e-39,6.363391272775989e-69,1.0618748991696948e-56,4.276221256275821e-42,6.462063974458958e-68,5.4174502516058245e-73,3.9496220420352835e-74,9.571552890706616e-22,1.1080537782194395e-29,4.48199426598674e-44,1.3461421336479618e-42,9.751966282778538e-38,1.704386782291418e-69,6.23580575096327e-64,1.4054737798313718e-70,6.858507814296866e-71,2.286910675405881e-78,2.8539624766519093e-40,2.350554828371042e-84,1.1448900416106646e-59,1.990231609307847e-77
1.3614872771142861e-16,0.27366836154180724,3.76,0.0,0.7125074843415766,0.9999999999999994,3.255029270715708e-34,1.1029919143109598e-47,6.215902240607028e-32,8.742353107466819e-14,7.477389707014479e-16,1.9279242220916034e-21,1.1819118019250325e-16,8.490756423418947e-25,6.295477848337056e-16,2.2285767328589265e-25,1.7063020577937087e-26,4.538075422032826e-25,1.8438427342108103e-41,3.4096835651604266e-27,1.675138707037282e-48,1.1714557647846423e-25,9.934677026464396e-26,2.0571735034921618e-39,2.940185578134664e-38,2.0063391376993656e-23,6.857839279245454e-51,1.1739914188426002e-28,2.594421942844544e-69,4.7204830977484967e-70,4.629262205027139e-35,1.7469951051830807e-54,1.0017713434666181e-45,1.1296448503356785e-26,8.828459739318533e-55,3.593214543101925e-56,1.1192831672369017e-49,1.5513417707404305e-48,2.5349590970760276e-65,3.299052193490898e-38,2.0560241435248513e-67,1.7149308174869e-55,3.441873972886731e-41,2.0878939170779715e-66,1.7508260259218465e-71,1.2724403737845034e-72,1.921003940063668e-21,4.455435402607356e-29,3.607501045629449e-43,1.0834922390776971e-41,7.849229449812014e-37,5.490923264058094e-68,2.01522683737256e-62,4.542248346496842e-69,2.222542970568278e-69,1.4796345409978824e-76,2.2971172938449147e-39,1.519557551195377e-82,1.849000452525207e-58,1.2869184790015506e-75
2.7277184123369844e-16,0.27366836154180946,3.76,0.0,0.712507484341532,0.9999999999999988,2.6119559920697866e-33,8.850815273450518e-47,2.4928547374297214e-31,1.751516737408396e-13,1.4980833162743053e-15,3.8764545726970814e-21,2.367941775056543e-16,3.405173108879426e-24,1.2612891160084038e-15,8.937589491656648e-25,6.84303441277454e-26,1.8199712073681843e-24,1.4795677159007992e-40,1.3674356114842402e-26,2.688968620235632e-47,4.698061556673642e-25,3.9842498309359337e-25,1.6507521895556972e-38,2.3593136618434674e-37,4.025531845570972e-23,1.1008351166607173e-49,4.7082281866574325e-28,8.330754544710133e-68,1.518013352866254e-68,3.714689226042055e-34,2.808242515494394e-53,8.049162871173445e-45,4.530381058185931e-26,1.4171658748139086e-53,5.775984397111742e-55,9.95705682897144e-49,1.5821056263969664e-47,8.139219517983714e-64,2.6473014460340328e-37,6.611093065145879e-66,2.7567013099791726e-54,2.76188562991118e-40,6.71349537142934e-65,5.6303922920136134e-70,4.0856484919464994e-71,3.848701146595324e-21,1.7868287859336014e-28,2.8947958241301466e-42,8.694341867191034e-41,6.298510033027493e-36,1.7630253165886329e-66,6.480542801391604e-61,1.460718965684016e-67,7.156960059874027e-68,9.521232659625263e-75,1.843291966551983e-38,9.774113322790733e-81,2.9722141964766595e-57,8.278687372741865e-74
