Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77),C3H5(220),C2H3O(232)
0.0,0.05063407016492709,3.76,0.0,0.5017754996304418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.841675422938433e-16,0.05063407016492709,3.76,0.0,0.5017754996304414,0.9999999999999998,1.3867987858090917e-34,2.3737865487244112e-52,9.840946511556585e-37,3.665472594739714e-16,8.866265012210907e-17,2.5860770470380448e-24,4.479120998956655e-19,1.3847677334220389e-25,8.821473843468447e-17,6.177548211977915e-27,2.4652920118079753e-25,3.1711651004593874e-25,4.695173358905397e-43,1.4307783838746053e-27,1.389676622236526e-49,3.491527769638167e-27,2.9406729677021314e-27,5.771558665549201e-41,3.178837884124407e-38,2.3306518675219126e-26,5.0717800748985063e-51,3.568160571809744e-29,5.322865191219276e-72,5.099342243394178e-72,6.277880173741559e-34,1.4027096521199302e-56,6.582356474755826e-48,1.3287253579794404e-28,3.940604832641922e-55,8.331853298448077e-59,2.722106096272476e-51,3.6423593898498937e-50,1.7042306058131515e-65,3.6987939478097213e-38,1.7875006742758208e-69,3.446351621974642e-58,2.97073602947396e-43,1.6729851571148312e-68,9.354305018345078e-75,4.095540383056044e-74,2.4907955790039633e-24,1.621651059027538e-30,1.683646001882219e-42,6.781150411410128e-41,8.806567393602172e-37,2.455926946931153e-69,9.954790757285595e-64,9.138110739296367e-73,4.05969492494295e-72,4.509233707582747e-77,8.852707666814664e-42,6.716079090282274e-87,1.5959093052659823e-61,7.010913035315731e-76,1.1545323617988898e-60,1.1262118676269288e-68
1.3556691184227613e-15,0.05063407016492709,3.76,0.0,0.5017754996304411,0.9999999999999998,1.6464075035274096e-33,2.818156439042585e-51,5.943927631507111e-36,1.0263323251810002e-15,2.4825541942772806e-16,7.549720732379833e-24,1.2541540915561835e-18,8.36399713041649e-25,2.4700126782749707e-16,3.731239645966874e-26,1.4890363502922453e-24,1.9153836958751742e-24,5.574109642545926e-42,8.641901444672264e-27,3.108650700784017e-48,2.1088827492185208e-26,1.7761664905903952e-26,6.85199447363166e-40,3.773911453288474e-37,6.758913640355235e-26,1.1345368852693294e-49,2.1551305926637734e-28,2.1994168736896484e-70,2.8942277799704267e-70,7.45297503333083e-33,4.410287092866504e-55,9.949583697907706e-47,8.025500807770652e-28,8.815135735558232e-54,2.6196182319283636e-57,4.412849242371618e-50,7.526393160359623e-49,7.032512479114163e-64,4.391729530031942e-37,1.0295120573653921e-67,1.0835864490338813e-56,3.5268123202571605e-42,9.635525955117948e-67,5.69065580074879e-73,1.6922671317754348e-72,6.974220666094641e-24,9.794758556909592e-30,1.9990290268789673e-41,8.050548923336034e-40,1.0455090577759274e-35,1.0135463448152923e-67,4.897991505445018e-62,5.559156863359257e-71,1.9404000522272263e-70,4.947514517664917e-75,1.0509933421353972e-40,7.421451075971856e-85,5.017770080815957e-60,7.95754491761849e-74,3.630031748158681e-59,4.647343665442592e-67
3.0986722706805975e-15,0.050634070164927096,3.76,0.0,0.5017754996304401,0.9999999999999994,1.6164526149286643e-32,2.7668764502396407e-50,2.86174115335924e-35,2.34590245121058e-15,5.674409543822564e-16,1.8711828100718066e-23,2.866638922270394e-18,4.026904599612339e-24,5.645743274546444e-16,1.7964318089414444e-25,7.169068797741023e-24,9.221747740101466e-24,5.472693539028517e-41,4.1607035494111587e-26,6.142168565448768e-47,1.0153362399462683e-25,8.551477261545753e-26,6.727328860785707e-39,3.705238301155612e-36,1.6547791117978026e-25,2.2416535529197798e-48,1.0375635072757491e-27,8.705855043579988e-69,1.2822308444398882e-68,7.317111786141474e-32,9.838843092320316e-54,1.0708483031671828e-45,3.8639328093573744e-27,1.7417916101289266e-52,5.844004527816806e-56,5.412641725375709e-49,1.2594107427281008e-47,2.781954528556839e-62,4.312930404950152e-36,4.6167935309923903e-66,2.417418104575631e-55,3.4625488885817397e-41,4.320967591894551e-65,2.5690067859732694e-71,6.713946471737952e-71,1.5941043019896942e-23,4.7157405202705003e-29,1.963091703579996e-40,7.904007100462197e-39,1.0264729637274432e-34,4.010205733945324e-66,2.074789983819814e-60,2.50966472213424e-69,1.011091442246821e-68,4.550390776475984e-73,1.0318712582305895e-39,6.714357435072559e-83,1.1194339738279722e-58,7.210475742616106e-72,8.098387310073803e-58,1.8384418981720692e-65
6.58467857519627e-15,0.05063407016492712,3.76,0.0,0.5017754996304381,0.9999999999999988,1.4297339685150358e-31,2.4472597625257544e-49,1.2497939117099372e-34,4.9850426817318255e-15,1.2058120096644764e-15,4.597532278770462e-23,6.0916119732706596e-18,1.7586550532943953e-23,1.1997204500750274e-15,7.845494381159605e-25,3.130920469979696e-23,4.027379293147857e-23,4.840534814018984e-40,1.8170885569277054e-25,1.0929655900717967e-45,4.43423990097301e-25,3.7346549494848267e-25,5.950246290249006e-38,3.277222918234138e-35,3.9854964095292117e-25,3.988902191280088e-47,4.530968902980384e-27,3.107998862412684e-67,4.806666305218306e-67,6.471434176708917e-31,1.8426077105173036e-52,9.852472243246241e-45,1.687480655261323e-26,3.099672993406299e-51,1.0944358857643715e-54,6.200902640696421e-48,1.9859988647133235e-46,9.928329716015553e-61,3.8167024939497563e-35,1.736976041527928e-64,4.527545117713269e-54,3.0624138755195488e-40,1.6256516330868724e-63,9.699874653073471e-70,2.4101277265840437e-69,3.387457644667945e-23,2.05947539369522e-28,1.7371028973082114e-39,6.990881011035907e-38,9.078787564517138e-34,1.43170473003155e-64,7.6341388064134305e-59,9.475983202302778e-68,4.041126891572734e-67,3.4737870735422044e-71,9.126780200502642e-39,5.081506588920241e-81,2.0965682673122093e-57,5.4671849044091696e-70,1.5167333810665083e-56,6.561261042024423e-64
1.3556691184227613e-14,0.05063407016492714,3.76,0.0,0.5017754996304342,0.9999999999999976,1.2017774409536126e-30,2.057050575648633e-48,5.217613183414913e-34,1.026332305662268e-14,2.4825540617215857e-15,1.2025943164044987e-22,1.2541571633551776e-17,7.342038809239175e-23,2.4700127087801532e-15,3.275343398741614e-24,1.3070974781458445e-22,1.6813513902715924e-22,4.0687600900093725e-39,7.585987075964462e-25,1.8434445697233003e-44,1.851207693640507e-24,1.5591450599037098e-24,5.001540700080205e-37,2.7546723790644895e-34,1.013870004921267e-24,6.727864761842694e-46,1.8913032907904385e-26,1.0503282046573867e-65,1.6628118795227908e-65,5.438842655014616e-30,3.1823060930703926e-51,8.445314147302583e-44,7.044896903637331e-26,5.228888120136768e-50,1.8900850130424654e-53,7.403350520610095e-47,3.117161060908987e-45,3.354376816297799e-59,3.2114728016145013e-34,6.014756294049017e-63,7.820170239272833e-53,2.5738550844586272e-39,5.629086128081211e-62,3.365194098693749e-68,8.237660994610746e-68,6.974119818250905e-23,8.597800855183077e-28,1.4614358018517338e-38,5.876048533501966e-37,7.630848193248425e-33,4.840688211378407e-63,2.6173464999712717e-57,3.287635738132794e-66,1.4406742091352754e-65,2.4234770677065955e-69,7.67160158430907e-38,3.530217973513474e-79,3.6212759666315203e-56,3.802250360419998e-68,2.6197628663944763e-55,2.216896730861148e-62
2.7500716402290303e-14,0.050634070164927186,3.76,0.0,0.5017754996304263,0.999999999999995,9.852895779370545e-30,1.6864636562329056e-47,2.1315404091060406e-33,2.081988346179794e-14,5.036037931806595e-15,3.478561246812841e-22,2.5441545187182e-17,2.999462543986014e-22,5.0105972800478826e-15,1.3380878646863882e-23,5.339918175432486e-22,6.86886752480092e-22,3.335813566059164e-38,3.099123282287134e-24,3.0278578234977413e-43,7.562786017643669e-24,6.369617411766366e-24,4.100565514859206e-36,2.258396090632647e-33,2.8412198188577593e-24,1.105053210809136e-44,7.724246390937171e-26,3.453911343390857e-64,5.534088479457308e-64,4.457800580228376e-29,5.286318374043724e-50,7.009734787465334e-43,2.8780680881601456e-25,8.591212722124305e-49,3.1394722710714463e-52,9.591629582059875e-46,4.922677513409271e-44,1.1027264390604064e-57,2.6383774559149e-33,2.001253719810166e-61,1.2993204618112003e-51,2.109729267345408e-38,1.8728130237333983e-60,1.1206548869183381e-66,2.770389998142609e-66,1.414726612276492e-22,3.512397605405423e-27,1.200298699642974e-37,4.8171982210711824e-36,6.255542052853157e-32,1.593664052014853e-61,8.667018737668037e-56,1.0949046273216447e-64,4.8822445718593845e-64,1.61831175337323e-67,6.2896308275965934e-37,2.3528377296072217e-77,6.016725023149511e-55,2.5355203428482953e-66,4.352719286481867e-54,7.288637981234322e-61
5.538876683841568e-14,0.05063407016492729,3.76,0.0,0.5017754996304107,0.9999999999999899,7.979127596386333e-29,1.3656922911575684e-46,8.615826460472875e-33,4.193300289372352e-14,1.0143004735860705e-14,1.1191633914663815e-21,5.1241709226279525e-17,1.21243081908948e-21,1.009176663801357e-14,5.408791078738951e-23,2.15847907704884e-21,2.776504851711785e-21,2.7014254296688606e-37,1.2527152114065402e-23,4.908270446058527e-42,3.056997858570808e-23,2.5747020925308548e-23,3.3207447026471484e-35,1.8288255020825553e-32,8.882767537173694e-24,1.7913369399655143e-43,3.120369935452731e-25,1.120586409889525e-62,1.808358818287196e-62,3.607952827914319e-28,8.614348672708192e-49,5.744090272853722e-42,1.1633593862118065e-24,1.3935636318242306e-47,5.1150955813088904e-51,1.3444104904873345e-44,7.817577125455854e-43,3.5758933234669777e-56,2.1453991636484137e-32,6.52979537302726e-60,2.1181795517600124e-50,1.7077484315300607e-37,6.109936092018798e-59,3.657382515974422e-65,9.387574343279875e-65,2.849284659672165e-22,1.4196988915207101e-26,9.754746215710495e-37,3.900539171074374e-35,5.064785549243664e-31,5.182953587980599e-60,2.821021183219544e-54,3.573850948555478e-63,1.6218778008643113e-62,1.0574596243153183e-65,5.093487244802372e-36,1.536444051078816e-75,9.8085236242804e-54,1.656149900879194e-64,7.095848863843234e-53,2.3640305625077827e-59
1.1116486771066643e-13,0.0506340701649275,3.76,0.0,0.5017754996303794,0.9999999999999797,6.422291454714267e-28,1.099147965175255e-45,3.46422455223759e-32,8.41592362438816e-14,2.0356934599512734e-14,3.926233282746924e-21,1.0284290502834395e-16,4.8751318154154725e-21,2.0254106215668372e-14,2.174872003344112e-22,8.679139564681269e-21,1.1164194037724674e-20,2.174337563330928e-36,5.0371130098122583e-23,7.904561664217951e-41,1.2292044541909833e-22,1.035277104981779e-22,2.6728249321732607e-34,1.471865549250961e-31,3.051334930634943e-23,2.8848866855709564e-42,1.2531665171307321e-24,3.6119929105882436e-61,5.8637576445685935e-61,2.900635997445282e-27,1.3900309594230415e-47,4.70361593060545e-41,4.677802841101709e-24,2.2471612116437454e-46,8.251101968908093e-50,1.9947997975972874e-43,1.24583350088374e-41,1.151523631472974e-54,1.7409169247757645e-31,2.1102267021638468e-58,3.4207340891304127e-49,1.3733145801380811e-36,1.9740396765452496e-57,1.1816011722479483e-63,3.2826449098630505e-63,5.718115928861195e-22,5.707996955682533e-26,7.906846213937993e-36,3.1386036023581905e-34,4.0747867349805776e-30,1.6787314073315547e-58,9.103651093973039e-53,1.1549421666677192e-61,5.382044286713495e-61,6.833592943435349e-64,4.0996512832085755e-35,9.931978553523576e-74,1.5839963816051906e-52,1.0706569089774037e-62,1.1459226630955944e-51,7.615899566695236e-58
2.2271706945516795e-13,0.05063407016492791,3.76,0.0,0.5017754996303168,0.9999999999999594,5.153477042459497e-27,8.818686453854216e-45,1.389179567079048e-31,1.6861168088947927e-13,4.078477934905147e-14,1.459819317532568e-20,2.0604876750011854e-16,1.9551465584835848e-20,4.057878881789188e-14,8.72237709914588e-22,3.480715232206395e-20,4.477333234607591e-20,1.744761510236941e-35,2.0201078007561955e-22,1.2688390438382667e-39,4.929652099777105e-22,4.1519299717117613e-22,2.1447747919168925e-33,1.1808670948434455e-30,1.1196520992860593e-22,4.63086202515409e-41,5.0136040002387436e-24,1.1609103548376926e-59,1.8992909615102616e-59,2.3222058381808015e-26,2.230621788703802e-46,3.891939696701772e-40,1.8759968622062365e-23,3.6164051524484955e-45,1.3232035539660159e-48,3.065037278127068e-42,1.9892336804171105e-40,3.6941068003988777e-53,1.4195966839393552e-30,6.788190834212764e-57,5.4983069371036e-48,1.100029699718974e-35,6.346878506985086e-56,3.7972712003381578e-62,1.2190605499541994e-61,1.1454639392194075e-21,2.2887211389446224e-25,6.433541428162478e-35,2.5171048771988893e-33,3.2668847463805575e-29,5.447573953477088e-57,2.925097299759989e-51,3.713704820735661e-60,1.814433562311635e-59,4.388805409317068e-62,3.28966322105105e-34,6.387641064494402e-72,2.5459618094628103e-51,6.885352347602984e-61,1.8418481007457232e-50,2.4452158647593163e-56
