Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77),C3H5(220),C2H3O(232),S(2376),C4H7(2028),C4H6(86),C4H6(85)
0.0,0.28514683530343227,3.76,0.0,0.5002107605593457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.420954002285873e-22,0.28514683530343227,3.76,0.0,0.5002107605593454,1.0,1.652298716176877e-45,3.204730242959695e-54,3.314948283504928e-35,3.999921392176494e-16,2.0021043518733965e-18,1.450739353495561e-22,1.3724894460894146e-18,3.146658212592758e-31,6.29614905782708e-19,6.575914078188872e-32,1.961206143510933e-34,9.59705909455552e-33,3.1354077714472925e-49,2.4916067163307213e-34,9.522499713830612e-62,3.5875582384416743e-32,2.727575511652359e-32,1.2330169688041233e-48,3.5819233550674516e-48,6.533981824809892e-24,1.9670109487220235e-63,4.446807020258976e-35,6.254581404916955e-83,5.273458009459612e-85,8.822558794853432e-47,6.034328812707351e-67,1.8315089942191607e-54,7.239126598267389e-33,4.944740659547362e-67,1.4652033598482429e-66,2.5032103188421068e-58,3.489261216578583e-57,6.966627143811912e-81,1.598672936568074e-48,3.469523045382921e-82,6.468271169680549e-68,1.5932941185838337e-49,1.0057284072066352e-81,8.692039185102815e-86,9.49293371818114e-87,1.4507393358636152e-22,4.956103006957072e-35,8.158318188917168e-54,1.2482229736096244e-52,1.1288445263684252e-47,4.6010302481923403e-82,1.3372926773132108e-78,1.0204953944907338e-83,5.185035079111141e-84,2.1418063792896874e-96,5.928784529914544e-48,5.386476627662922e-100,2.540153356520036e-70,8.299700648521404e-96,1.5567885566666914e-69,1.7946594885640343e-83,1.2283811425433322e-83,9.51545286272827e-96,2.253656036964568e-94,6.238760187991831e-108
2.6378671206400443e-21,0.28514683530343227,3.76,0.0,0.5002107605593451,1.0,1.9616105454926004e-44,3.804655744472122e-53,2.00222876323638e-34,1.119977989809412e-15,5.605892185250412e-18,4.062070246913661e-22,3.842970449051135e-18,1.900581560407414e-30,1.7629217361915837e-18,3.9718521032267444e-31,1.1845685106806573e-33,5.796623693109802e-32,3.7223561062667557e-48,1.5049304566637479e-33,2.1301450959865462e-60,2.166885176018856e-31,1.6474556090382203e-31,1.463837745364602e-47,4.252526104269666e-47,1.8295149160925478e-23,4.4001425205510725e-62,2.6858714402224908e-34,2.5890974104497484e-81,3.1033040230704525e-83,1.047414180117385e-45,1.896086894793887e-65,2.7677764490183886e-53,4.372432465351552e-32,1.1061187068051183e-65,4.606830261139519e-65,3.782860268248934e-57,5.272992749290542e-56,2.8748103962285555e-79,1.89794451035291e-47,1.9983069616646053e-80,2.0335873003241931e-66,1.8915587775719942e-48,5.7921611275497344e-80,5.287791607791567e-84,3.917285680640528e-85,4.0620701404167112e-22,2.9934862162038125e-34,9.685555353906241e-53,1.4818903142678746e-51,1.3401642216993718e-46,1.89966754699875e-80,8.100408384027784e-77,6.208171486443085e-82,2.4769534777319993e-82,1.7885672677684348e-94,7.038652993918941e-47,5.95220663307232e-98,7.986579968734433e-69,7.903067272694773e-94,4.89476372087346e-68,7.405769608202468e-82,7.074365665584321e-82,7.906616189274546e-94,1.8971404789919978e-92,9.515670349097147e-106
6.029410561462959e-21,0.2851468353034323,3.76,0.0,0.5002107605593443,1.0,1.925921527275208e-43,3.735433571284405e-52,9.63986960842337e-34,2.5599496909929114e-15,1.281346785202406e-17,9.28473226225422e-22,8.783932454977668e-18,9.150482082240555e-30,4.02953539700934e-18,1.9122758139383223e-30,5.7031874653305986e-33,2.7908247846941467e-31,3.654631298412871e-47,7.245592331089615e-33,4.20880774952663e-59,1.0432619357389647e-30,7.93178958788799e-31,1.4372045788391468e-46,4.175184572597564e-46,4.1817484038987776e-23,8.693955790667146e-61,1.2931314814704144e-33,1.0256323536886617e-79,1.3884965035339311e-81,1.028357453104431e-44,4.2294822166162336e-64,2.977447729671707e-52,2.1051380147732296e-31,2.1855041686859885e-64,1.0277583176553005e-63,4.0694481047033113e-56,5.672492130594505e-55,1.1372486652266552e-77,1.8634131750475225e-46,8.9612502812761e-79,4.536753178047858e-65,1.8571436245880434e-47,2.5974145118244095e-78,2.3871618934556837e-82,1.5496392607154615e-83,9.284731749517254e-22,1.4412347544256379e-33,9.509335681075026e-52,1.454928698034734e-50,1.3157811799187718e-45,7.516700301917775e-79,3.6527877079214763e-75,2.8026653657778766e-80,1.289744540622368e-80,1.876810705884151e-92,6.91059124808201e-46,5.385108996922574e-96,1.7817587290885487e-67,7.762097259405351e-92,1.091993473469538e-66,2.9296590702662733e-80,3.17239212832811e-80,8.307487613392264e-92,1.9774514944075127e-90,1.9802087822682955e-103
1.2812497443108787e-20,0.2851468353034324,3.76,0.0,0.5002107605593429,1.0,1.7034560432258637e-42,3.303948691469068e-51,4.209984320041996e-33,5.439893093359808e-15,2.7228619185649812e-17,1.9730057206952785e-21,1.866585646684312e-17,3.9962559300143126e-29,8.562762718644876e-18,8.351410879310187e-30,2.490731802259719e-32,1.2188265050058649e-30,3.2324799960803936e-46,3.1643405297398876e-32,7.489348514570372e-58,4.556198962822226e-30,3.464020899801525e-30,1.271191174160517e-45,3.692915079045159e-45,8.886215461843687e-23,1.547044260777012e-59,5.647444915512978e-33,3.6627685317602163e-78,5.224397732667081e-80,9.09570521464397e-44,7.920918161426806e-63,2.7367876659666457e-51,9.19369077976934e-31,3.888987900651324e-63,1.9248774571582125e-62,3.7405601046148384e-55,5.21408439812285e-54,4.058763421403822e-76,1.6481678510701185e-45,3.3714493407088803e-77,8.496785861656926e-64,1.6426225044253152e-46,9.772073510162804e-77,9.0134690972291e-81,5.53055245977938e-82,1.9730054967695746e-21,6.294250818861115e-33,8.410899720199185e-51,1.2868679568627443e-49,1.1637935528705628e-44,2.6829585939008673e-77,1.3786189154717515e-73,1.0582331149815515e-78,5.1470318916539114e-79,1.5126634967384164e-90,6.112339698989298e-45,4.0755316769184545e-94,3.337034433220412e-66,6.096633759051402e-90,2.045181891222666e-65,1.0455762110441635e-78,1.1935258464427133e-78,6.701350867758095e-90,1.590938490230429e-88,3.19080431185219e-101
2.6378671206400445e-20,0.2851468353034326,3.76,0.0,0.50021076055934,1.0,1.4318575494220123e-41,2.7771679532025887e-50,1.7575855799059763e-32,1.1199779898093195e-14,5.605892185321513e-17,4.062071075241968e-21,3.842970449062355e-17,1.668358184336039e-28,1.7629217361916035e-17,3.486549644265028e-29,1.0398314972902475e-31,5.08836073190916e-30,2.7170942082645767e-45,1.3210498809984334e-31,1.263188093609216e-56,1.9021233780229452e-29,1.4461605362808072e-29,1.0685127768981692e-44,3.1041222407924373e-44,1.8295149907063305e-22,2.609317307854841e-58,2.35769708194698e-32,1.2379572524283118e-76,1.8097230811058178e-78,7.6454882897749e-43,1.36810572584139e-61,2.3413798669448323e-50,3.8381849223741484e-30,6.559346532729723e-62,3.3247470183131714e-61,3.2001898787610804e-54,4.460907647946712e-53,1.3713650346549508e-74,1.3853843887630075e-44,1.1674265796112712e-75,1.4676042585047513e-62,1.3807231903320819e-45,3.3837507077540267e-75,3.127191147530722e-79,1.868648686285405e-80,4.062070140396235e-21,2.627725814311532e-32,7.069868009701969e-50,1.0816900573446091e-48,9.782386049762895e-44,9.065609952168407e-76,4.782124138460635e-72,3.671502274669002e-77,1.8293357492090443e-77,1.0813887391846172e-88,5.137789813123352e-44,2.831370959723994e-92,5.763895074105536e-65,4.3095077600389513e-88,3.5325422633984436e-64,3.532768496518839e-77,4.132788913539563e-77,4.7931097353234215e-88,1.1367647062938732e-86,4.563426319033916e-99
5.351101873298376e-20,0.2851468353034329,3.76,0.0,0.5002107605593342,1.0,1.1739233696572406e-40,2.276890077751215e-49,7.180310579932428e-32,2.2719553507558333e-14,1.1371952718960102e-16,8.240203246763255e-21,7.795740053838254e-17,6.815787554968319e-28,3.576212664845869e-17,1.4243692929998875e-28,4.2480509550967785e-31,2.0787613880966342e-29,2.2276379918992219e-44,5.396919811840021e-31,2.074790236894958e-55,7.770794646804104e-29,5.90803766128256e-29,8.760313313274808e-44,2.544948787506331e-43,3.711302011482172e-22,4.28581235563812e-57,9.631961876516435e-32,4.070769620954213e-75,6.02258546041211e-77,6.268233220107233e-42,2.2730984696910438e-60,1.9358988124408534e-49,1.5680237776680625e-29,1.0773746415455257e-60,5.524116808986016e-60,2.646081346129812e-53,3.688610589789664e-52,4.5087491816448757e-73,1.1358218239233237e-43,3.8841030550288504e-74,2.438442958469921e-61,1.1320002911041644e-44,1.1257938345815171e-73,1.0414852175564146e-77,6.143708089448285e-79,8.240199427613409e-21,1.073511735738239e-31,5.796304938031183e-49,8.86834861955868e-48,8.020191109918877e-43,2.980655636801245e-74,1.5924968407035422e-70,1.2227635488760382e-75,6.161706620367342e-76,7.306596456593022e-87,4.212270501030068e-43,1.8870967535790333e-90,9.576796183607002e-64,2.8964103842356006e-86,5.869371101571623e-63,1.1614974430919713e-75,1.3750028900870456e-75,3.2393926072402206e-86,7.67936139954602e-85,6.168126698727485e-97
1.0777571378615039e-19,0.28514683530343354,3.76,0.0,0.5002107605593226,1.0,9.5067359730372e-40,1.8438846178029543e-48,2.902396339668107e-31,4.575910072648208e-14,2.290407378673939e-16,1.6596473439517464e-20,1.5701279263469302e-16,2.7550503048539852e-27,7.202794522154537e-17,5.757528419394806e-28,1.71713011654394e-30,8.402685895951511e-29,1.803999001330146e-43,2.1815212772691276e-30,3.363324382870063e-54,3.1410794405592755e-28,2.3881232840951872e-28,7.094328847607536e-43,2.0609662409334326e-42,7.474876579961531e-22,6.947487194707035e-56,3.8933929916203e-31,1.3204473246842057e-73,1.9651465830296977e-75,5.076177775273581e-41,3.705700034911597e-59,1.5742418381073873e-48,6.338202814670235e-29,1.746470733802349e-59,9.005704540818092e-59,2.1519160637391974e-52,2.9999167804282125e-51,1.4624021481161647e-71,9.198179621805123e-43,1.2671908936812882e-72,3.975274630957546e-60,9.167231846449163e-44,3.6729061484893144e-72,3.3995812124242074e-76,1.9926970214465427e-77,1.6596458001903155e-20,4.3393060756937864e-31,4.693998018566261e-48,7.181818639327165e-47,6.494958697421691e-42,9.667816714748396e-73,5.1979353456374e-69,3.991303878848175e-74,2.0223338102335335e-74,4.8034844666071896e-85,3.41120586229581e-42,1.2323464558834978e-88,1.561259347015963e-62,1.8992645641581464e-84,9.568555681053447e-62,3.767289847653479e-74,4.4859509079085515e-74,2.129915035518344e-84,5.048169814433517e-83,8.111147859913212e-95
2.1630510389248365e-19,0.2851468353034348,3.76,0.0,0.5002107605592993,0.9999999999999999,7.651848244506686e-39,1.4841187555140918e-47,1.1670408029539462e-30,9.183819516430343e-14,4.596831592430641e-16,3.330903722387241e-20,3.1512357683048387e-16,1.1077936104854855e-26,1.4455958236772427e-16,2.3150768549351806e-27,6.904504676518403e-30,3.3786830423380694e-28,1.4520153407573385e-42,8.771801109104443e-30,5.416530233364228e-53,1.2630142280829507e-27,9.602538691946608e-28,5.710133049307427e-42,1.6588452225474762e-41,1.5002027824630958e-21,1.1188714492760863e-54,1.5655161976124913e-30,4.2541625301287894e-72,6.349854650609125e-74,4.08574948894909e-40,5.984695961400209e-58,1.2696848064019017e-47,2.548563475272655e-28,2.8126373167828752e-58,1.4544236825513178e-57,1.735867098089405e-51,2.420186649262966e-50,4.71132357441212e-70,7.403495199235896e-42,4.0942960741138404e-71,6.420076881422964e-59,7.378585718259118e-43,1.1867161792631158e-70,1.0986859036614252e-74,6.419739081350278e-76,3.330897514990424e-20,1.7448158881397336e-30,3.7781379745758748e-47,5.7805524446185295e-46,5.227707806893198e-41,3.114637101967869e-71,1.679844599390731e-67,1.2899204449533263e-72,6.553492981862696e-73,3.1155780777019037e-83,2.745635246297641e-41,7.966720830724339e-87,2.5214379081958833e-61,1.2303198882885417e-82,1.5453242543954833e-60,1.2136827244607686e-72,1.449410885611651e-72,1.3815717293581436e-82,3.274172811171777e-81,1.0522655893871037e-92
4.333638841051502e-19,0.28514683530343726,3.76,0.0,0.5002107605592527,0.9999999999999998,6.140126346078253e-38,1.1909118360012822e-46,4.680355591411527e-30,1.8399638403984166e-13,9.209680020747417e-16,6.673425838796842e-20,6.313451452347451e-16,4.442747851291302e-26,2.89622856660104e-16,9.284493631933096e-27,2.769015186820399e-29,1.355003015214821e-27,1.1651508664195025e-41,3.517884573141801e-29,8.694730605899009e-52,5.065251951559577e-27,3.851047499572958e-27,4.5820221605984917e-41,1.3311189373475902e-40,3.005633874481263e-21,1.7960365125960473e-53,6.278420142218924e-30,1.3659489368749914e-70,2.0418326891751758e-72,3.2785566500336584e-39,9.620208432981353e-57,1.0198826692372985e-46,1.0220879408095486e-27,4.5149059292639433e-57,2.337943585107436e-56,1.394774739211643e-50,1.945061871610516e-49,1.5127072346706053e-68,5.940838667328381e-41,1.3164958628098314e-69,1.0320084308480937e-57,5.920850347136795e-42,3.81581251555278e-69,3.5332092108862335e-73,2.0612437059042898e-74,6.673400944359282e-20,6.997492099938996e-30,3.0317177867984426e-46,4.6385292896670433e-45,4.194906283202075e-40,1.0000480502860789e-69,5.40206726135311e-66,4.1481908385843914e-71,2.1103291643289543e-71,2.0073019893811354e-81,2.2031993712769356e-40,5.124362430695499e-85,4.0531377190687456e-60,7.921716813072616e-81,2.484063576644247e-59,3.896880884216888e-71,4.660490941075087e-71,8.901475751724177e-81,2.1094476637838136e-79,1.355955089556738e-90
