Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77),C3H5(220),C2H3O(232),S(2376),C4H7(2028),C4H6(86),C4H6(85),CH2OH(32),C4H6(3180),C4H6(4860)
0.0,0.2897429191124254,3.76,0.0,0.7137394070291517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3897904974656616e-18,0.2897429191124254,3.76,0.0,0.7137394070291515,1.0,3.7697823782430476e-39,4.3616151083810203e-54,9.912126756263894e-37,4.091876789235283e-16,5.911086104567024e-18,3.819827578421949e-24,4.0289661018153784e-19,1.9204368883213241e-28,5.5081894935736496e-18,3.49214207701033e-29,1.0714920192519012e-29,1.6222638446315566e-28,4.253694386769767e-47,9.97849323665009e-31,2.6432872829490267e-55,2.1113681568862333e-29,1.8530628373419346e-29,8.204428387335087e-45,2.797486820403116e-43,2.973875318233985e-26,1.2104643765604714e-57,2.660145866585204e-32,2.3290895641812273e-78,4.1097598866245104e-79,9.360269839757654e-40,6.108699062076777e-62,1.3289692215441543e-51,1.544389880453983e-30,1.2972791645854869e-61,4.7342510675348725e-64,1.1336542882483512e-55,1.2269782116772194e-54,1.028326436380102e-73,3.22976971526133e-43,1.2971353740692318e-75,6.656949256795941e-63,6.459577166287293e-47,3.4531023520186377e-75,5.022854402850941e-81,1.7704067585839453e-81,3.8186953303799596e-24,5.819998685896717e-33,3.023787720346006e-48,1.0338479634091279e-46,7.693963439579445e-42,1.0415269573658003e-76,2.8968557845925232e-71,1.7680979888397808e-78,1.2002813605389906e-78,1.314191704499726e-86,5.067305051993364e-45,1.175881460456288e-93,5.002470825567138e-66,1.0409753981077632e-85,3.4734125071118876e-65,3.492627024346939e-77,1.743954802537046e-74,4.6695808270059936e-86,3.5901718858883665e-85,4.261452487270131e-96,4.172735685860912e-42,3.8350828267520813e-87,2.4936192323755493e-99
1.7891413392903854e-17,0.2897429191124254,3.76,0.0,0.7137394070291512,1.0,4.47548566491779e-38,5.178109442987443e-53,5.986924547764651e-36,1.14572550098162e-15,1.6551041095915478e-17,1.069918567614446e-23,1.1281105089695618e-18,1.15994388073452e-27,1.5422930582042433e-17,2.109253815233884e-28,6.471811795473881e-29,9.798473620054525e-28,5.049985979926279e-46,6.027009914946697e-30,5.912927919816618e-54,1.2752663666314544e-28,1.1192499537962552e-28,9.740297383405172e-44,3.3211763632863926e-42,8.328196798254432e-26,2.707760602104919e-56,1.6067280370427681e-31,9.682578608200068e-77,2.4756930181150455e-77,1.1112511884112529e-38,1.9206581115520657e-60,2.0083645529753405e-50,9.328114874441753e-30,2.901961803150215e-60,1.4885125528628725e-62,1.7255472578990043e-54,1.9033366507969642e-53,4.2434180657413023e-72,3.834384553915405e-42,7.470837111358294e-74,2.0930496612976783e-61,7.668809727623437e-46,1.9888090626755994e-73,3.05564739389681e-79,7.305647890481159e-80,1.0692346897970857e-23,3.5152791938788753e-32,3.589841248714554e-47,1.2273842918124114e-45,9.134273169921144e-41,4.2981532955725773e-75,1.734997414843694e-69,1.0756202890683853e-76,5.7338912931718376e-77,1.4409645756623677e-84,6.015904557025938e-44,1.2993817475548137e-91,1.572854780880815e-64,1.1772567539361361e-83,1.092096328138407e-63,1.441242968650619e-75,1.0044278624158773e-72,5.189740024290085e-84,4.0190835720051635e-83,8.629624106842816e-94,4.953871802819577e-41,4.303856869117713e-85,5.048719972834866e-97
4.0894659183780236e-17,0.2897429191124254,3.76,0.0,0.7137394070291504,1.0,4.394058375553663e-37,5.083898527704323e-52,2.882446441193425e-35,2.6188011450807652e-15,3.7830951091123646e-17,2.4472575697841315e-23,2.578538308390631e-18,5.584630474065015e-27,3.5252412759124854e-17,1.0155149170740708e-27,3.115898790773124e-28,4.7175432579084495e-27,4.958106189145793e-45,2.901745833232903e-29,1.1682949153175752e-52,6.139858598307684e-28,5.388706731616241e-28,9.56308173434876e-43,3.260750634361543e-41,1.9042223387093421e-25,5.350078845925192e-55,7.73570318440943e-31,3.8427539668722273e-75,1.1147634506296823e-75,1.0910329069313598e-37,4.2848752438664565e-59,2.1605653598268026e-49,4.491085767109582e-29,5.733788378686045e-59,3.320783688448069e-61,1.8837764649995987e-53,2.156793624012869e-52,1.6786539714164252e-70,3.7646256187743214e-41,3.3502373615982865e-72,4.669477835469342e-60,7.529282264026742e-45,8.918653452751484e-72,1.3794652380468848e-77,2.890054620640093e-78,2.4439649924780552e-23,1.6924555992540794e-31,3.524528414905505e-46,1.205053154073907e-44,8.968083085973628e-40,1.7003529060924413e-73,7.800451021151738e-68,4.855864122116646e-75,2.9856275268062984e-75,1.3263572726391633e-82,5.906450766431655e-43,1.1755828920081648e-89,3.5089514707284217e-63,1.0684477663342026e-81,2.4364067580674282e-62,5.701414986125734e-74,4.5042751490954535e-71,4.745883434959513e-82,3.663607583817109e-81,1.5741324370743137e-91,4.863740704792251e-40,3.9189650410389486e-83,9.210031736667939e-95
8.6901150765533e-17,0.28974291911242545,3.76,0.0,0.7137394070291488,1.0,3.886494875004281e-36,4.4966506224558006e-51,1.2588400778664618e-34,5.564952433210903e-15,8.039077113158497e-17,5.207805104624101e-23,5.479393914612859e-18,2.4389548510889076e-26,7.491137711386908e-17,4.4350204489576076e-27,1.3607948631981292e-27,2.060275080325955e-26,4.3853887897652336e-44,1.2672686410701161e-28,2.078918379045899e-51,2.68143755726411e-27,2.353389804071013e-27,8.45843750294958e-42,2.8840969728432236e-40,4.049181107997184e-25,9.520179634158424e-54,3.3783842217556904e-30,1.373530276109562e-73,4.2049112690332144e-74,9.650060736590408e-37,8.025090784915291e-58,1.9860394005134202e-48,1.961375142750871e-28,1.0202973203675768e-57,6.219455101923595e-60,1.7821871688147053e-52,2.1837257751204083e-51,5.990996343633624e-69,3.3297760668413525e-40,1.2604433844270755e-70,8.745414606472384e-59,6.659563825260616e-44,3.3554201753237154e-70,5.2085978210029274e-76,1.0314492528124402e-76,5.193425554491152e-23,7.391398138837734e-31,3.1174072291141424e-45,1.065855828996787e-43,7.932167079345863e-39,6.068519508807363e-72,2.9405904223436386e-66,1.8334818835303013e-73,1.191487436643449e-73,1.0128118003367373e-80,5.2241888118422766e-42,8.89698843095839e-88,6.571876967373086e-62,8.107306657356599e-80,4.56312014062276e-61,2.0347946921846938e-72,1.6946206647423638e-69,3.6138054679078625e-80,2.7856105858894725e-79,2.396389926037539e-89,4.3019235603357275e-39,2.978287055629619e-81,1.4021445952225581e-92
1.7891413392903852e-16,0.28974291911242567,3.76,0.0,0.7137394070291458,0.9999999999999999,3.266833120504763e-35,3.7797057042410367e-50,5.255409424559647e-34,1.1457255009198572e-14,1.6551041141268762e-16,1.0752378296305347e-22,1.1281105156577668e-17,1.018215640816709e-25,1.542293058256751e-16,1.8515337392699154e-26,5.68105067480751e-27,8.601242883031412e-26,3.686183541214244e-43,5.29059711421185e-28,3.5063997039711835e-50,1.1194473949978111e-26,9.824939169407725e-27,7.109826392723975e-41,2.424257219641285e-39,8.347712452659477e-25,1.6057174678636357e-52,1.410408412537015e-29,4.644300062869301e-72,1.4582184355621993e-72,8.111454531810059e-36,1.3861340561018822e-56,1.6992827230930235e-47,8.18835509733554e-28,1.720881619899238e-56,1.074255502610537e-58,1.6114433907238063e-51,2.2127588937069306e-50,2.0242219107213436e-67,2.7988897662360972e-39,4.3645177184860504e-69,1.510552844639406e-57,5.597762862470148e-43,1.1618754548861263e-68,1.8071042404776635e-74,3.4850966789474044e-75,1.069234650512198e-22,3.085763130235308e-30,2.620371574992221e-44,8.959159813132604e-43,6.667462949365203e-38,2.0504312898640217e-70,1.0194902865148753e-64,6.361200288029814e-72,4.2347463549182016e-72,7.066966225454324e-79,4.3912454729020175e-41,6.180954026774795e-86,1.1351282384874772e-60,5.640415905862183e-78,7.88165514800491e-60,6.875111631542395e-71,5.867932446784259e-68,2.5183826934843663e-78,1.939895354950859e-77,3.3397245664611324e-87,3.616025941029461e-38,2.073586821550288e-79,1.954130814733208e-90
3.629401002560496e-16,0.289742919112426,3.76,0.0,0.7137394070291397,0.9999999999999998,2.6783471623715565e-34,3.09883095310871e-49,2.1470061501494092e-33,2.3241860160083477e-14,3.3574969277561295e-16,2.1935437167664375e-22,2.288452775858871e-17,4.159743139836208e-25,3.128651632585574e-16,7.564119509484647e-26,2.3208945638417814e-26,3.5138883600720816e-25,3.022156016135865e-42,2.1613815491498576e-27,5.759272031701435e-49,4.5733078674434936e-26,4.013808233124388e-26,5.829065254711823e-40,1.9875524262472182e-38,1.6979230366382025e-24,2.637395806849106e-51,5.761974513352725e-29,1.5275144894129175e-70,4.855427751829274e-71,6.650255616484849e-35,2.303080868947334e-55,1.4053044637029775e-46,3.345210215314442e-27,2.826556708227746e-55,1.7848901311331774e-57,1.4758371483950873e-50,2.3993690222660996e-49,6.655196385001338e-66,2.2947191817810027e-38,1.4521041649820307e-67,2.5098061190430657e-56,4.589381242967267e-42,3.86563282691063e-67,6.018409569976616e-73,1.1458648167499373e-73,2.169018771280223e-22,1.2606348488631995e-29,2.1483437892153013e-43,7.345259428824548e-42,5.466386612377245e-37,6.741410377963562e-69,3.3941572690620277e-63,2.1185452174758654e-70,1.4263882379290254e-70,4.720177158473042e-77,3.6002083392789142e-40,4.11957943917445e-84,1.8860324465490595e-59,3.7620523760617156e-76,1.3095487589701862e-58,2.2603862971193936e-69,1.9522975962139875e-66,1.6810764805743272e-76,1.2944906040272628e-75,4.458605775299673e-85,2.9646365018367796e-37,1.3835443338838476e-77,2.6088301717551935e-88
7.309920329100717e-16,0.2897429191124266,3.76,0.0,0.7137394070291276,0.9999999999999994,2.1689949662912798e-33,2.50951341613466e-48,8.678541492357445e-33,4.6811070457491565e-14,6.76228258704344e-16,4.467720486229908e-22,4.609137343493646e-17,1.6814346950038795e-24,6.301368781614033e-16,3.057538081159287e-25,9.381426866256903e-26,1.4203698498711399e-24,2.447420360073814e-41,8.736649797337263e-27,9.336028111181775e-48,1.8486041546058007e-25,1.62244546516295e-25,4.720528204931082e-39,1.6095713069067306e-37,3.4380087091831e-24,4.275332375213187e-50,2.3290789445800333e-28,4.955425110339181e-69,1.5847257888149168e-69,5.38554151021787e-34,3.7545987558714013e-54,1.1432657381688622e-45,1.3521874370428175e-26,4.5819815114317334e-54,2.909817362368021e-56,1.433461091161361e-49,2.87789365759061e-48,2.1585954357767484e-64,1.8583558861067097e-37,4.7375081256864955e-66,4.091617438836301e-55,3.716595133299412e-41,1.2611647775553051e-65,1.9645077856996067e-71,3.716852836661321e-72,4.368586735383745e-22,5.095687004383575e-29,1.7397923650596403e-42,5.948379782004606e-41,4.426817806732382e-36,2.1865768126731506e-67,1.1077225415310215e-61,6.915283988356434e-69,4.681608363573211e-69,3.0857136501351254e-75,2.9155420430567104e-39,2.6902428364986316e-82,3.0747087009602292e-58,2.457660869545135e-74,2.1348948945740588e-57,7.3315085962228535e-68,6.3693781913924945e-65,1.0986480487285901e-74,8.458599539049028e-74,5.827719838639723e-83,2.4008394447490815e-36,9.039992985986703e-76,3.409943181327793e-86
1.467095898218116e-15,0.28974291911242783,3.76,0.0,0.7137394070291034,0.9999999999999988,1.7457958361418688e-32,2.019874346067856e-47,3.4896028471274183e-32,9.394949103486085e-14,1.3571854033733271e-15,9.166334005867885e-22,9.25050666769347e-17,6.760975031308337e-24,1.2646803081154198e-15,1.2294226434902882e-24,3.772230449815095e-25,5.711244635791617e-24,1.969896928800675e-40,3.512968458726233e-26,1.503538534311608e-46,7.433155950307263e-25,6.523781874257339e-25,3.799491829031954e-38,1.295522729483506e-36,6.9733084138041e-24,6.885291353817305e-49,9.365097623838711e-28,1.596642140031747e-67,5.121297288194532e-68,4.334739609586786e-33,6.063673749029732e-53,9.228844997296657e-45,5.437086073883258e-26,7.379176310841902e-53,4.699350350446962e-55,1.5325279630943278e-48,3.8160817245737873e-47,6.954192667828444e-63,1.495819288111639e-36,1.530696446894411e-64,6.607973248252573e-54,2.9914313969676727e-40,4.074825497710767e-64,6.34894106262453e-70,1.1976061825227915e-70,8.767721553860956e-22,2.0489528399298237e-28,1.4003489148104964e-41,4.7877707413916276e-40,3.5630819819826647e-35,7.044438808797697e-66,3.5796685995687533e-60,2.2348999984531446e-67,1.5171414959880796e-67,1.995858771109859e-73,2.3466818636884236e-38,1.739154479622891e-80,4.96566223054814e-57,1.5890869230430408e-72,3.4478606553373116e-56,2.36194300036174e-66,2.057945121558635e-63,7.105115531944957e-73,5.469850404087557e-72,7.537734723150756e-81,1.9324043603511343e-35,5.8456508926157015e-74,4.410521461292984e-84
2.9393036288342044e-15,0.28974291911243033,3.76,0.0,0.7137394070290549,0.9999999999999976,1.4008911942894542e-31,1.6208213553004565e-46,1.3994864030485355e-31,1.8822633211981184e-13,2.7190997439573783e-15,1.9164600967543063e-21,1.8533246071814228e-16,2.711453439616106e-23,2.5337671686167524e-15,4.930534902488152e-24,1.5128331017652684e-24,2.2904644921619313e-23,1.580718389691839e-39,1.4088574736235358e-25,2.4135122938112058e-45,2.9810279513538826e-24,2.6163283281525206e-24,3.0488529942691264e-37,1.039574939159822e-35,1.4264421263808116e-23,1.1052418640297495e-47,3.75580185583623e-27,5.1269750693309e-66,1.6468928782661767e-66,3.47833511544352e-32,9.747136361272527e-52,7.425950471171748e-44,2.1805145836730307e-25,1.1845328891705085e-51,7.554028830944163e-54,1.835684592691492e-47,5.466950435308268e-46,2.2328389562069933e-61,1.2003855085885813e-35,4.921904603815254e-63,1.0622124569064973e-52,2.400422940381569e-39,1.3102352722817616e-62,2.0417187418177396e-68,3.8463701972906423e-69,1.7565986751898314e-21,8.21721335127181e-28,1.123712132371277e-40,3.841879995810716e-39,2.8591390843964737e-34,2.261877004465834e-64,1.1511195792200054e-58,7.18710158457165e-66,4.885685085854787e-66,1.2841097231885286e-71,1.883064376273671e-37,1.1186602196088392e-78,7.982155371343438e-56,1.0222254101914608e-70,5.5423343393587275e-55,7.583702578946264e-65,6.617183889619825e-62,4.571031927280235e-71,3.518849904175726e-70,9.698702313552435e-79,1.5506326512015775e-34,3.7605560893133366e-72,5.6749561830029e-82
