Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536),S(1231),S(268),S(3108),S(711),CHO3(226),S(2070),FO2(124),S(3821),CHO2(141),S(579),CHF2O(164),C2H2O(930)
0.0,0.8303319424865176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9809684074355323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3605198968360278e-22,0.8303319424865176,1.977456877942775e-30,7.782408230621544e-27,8.071262235069904e-37,7.778660043888745e-21,0.0,0.0,1.0573257656034744e-20,7.783832765552887e-38,2.728643576382899e-52,8.843753650864214e-36,3.722891661116301e-59,5.03555039446621e-65,3.929743218610202e-44,3.252830091546414e-48,3.6926875354638298e-56,6.385572998209692e-64,3.250782446929023e-92,1.649914018826014e-84,8.378112264967898e-106,8.76023487487028e-110,8.166370842121005e-56,-4.550009072602078e-107,1.3658774784310665e-74,7.356506290187261e-105,-2.1841691668097882e-113,-5.8005162050513416e-117,3.369464621952915e-126,-1.4063300882259064e-121,8.260440650598427e-78,-8.331445602857868e-118,4.387043081571999e-125,-1.4325658465839352e-130,3.76,0.0,0.9809684074355323,0.9999999999999994,3.617856091678935e-51,1.939974477999527e-71,7.5177550271763895e-19,7.517755027176391e-19,1.0573257658011962e-20,2.387885851598536e-40,2.846997148376873e-39,2.387174359615761e-34,1.2955357373182306e-24,3.769612324479776e-38,5.698304667530108e-38,1.7792761268783186e-38,3.126216593514289e-42,1.9434837995244212e-46,7.778660043888745e-21,2.4703516768237704e-42,2.938380782958199e-42,9.00333195995697e-38,1.930336472634766e-63,6.708996593187935e-41,1.0709030982661018e-39,9.366479683245351e-41,1.1223458540582665e-57,2.1382377077151196e-57,1.0418304297401321e-45,7.516428504484238e-41,1.9805258430033127e-63,5.049741273792246e-16,1.3236615113288114e-65,5.62614811699877e-63,1.4792800368239061e-62,1.2962295708893021e-24,7.486868987787146e-41,8.745950973775184e-61,1.1065937988694224e-56,2.012359750236415e-58,5.151937881231185e-72,9.984652535693418e-57,7.548888498977866e-37,9.604531807055738e-89,4.8141350037453885e-57,1.2193870342102173e-69,6.519464689700255e-62,4.684409721190194e-66,2.295598020933345e-78,4.4595673192648454e-58,1.8416466165874528e-41,1.739852425634107e-71,1.3372909419577917e-58,8.055349715981216e-62,4.6996368864697814e-38,1.785530219568322e-59,6.271027275139436e-79,2.9600857593287396e-84,9.659731229157371e-82,2.744800505595897e-82,1.6441508386573278e-100,1.5131946919207346e-98,7.384866056120689e-79,7.664670545348189e-93,6.938335711483593e-28,4.433267508429422e-93,4.3988399823055693e-38,3.736063016126395e-75,2.7601652831112226e-38,5.696088729707723e-112
3.809455711140878e-22,0.8303319424865178,5.537653050681832e-30,2.1790743046137512e-26,4.8750423899824636e-36,2.1780248122888487e-20,0.0,0.0,2.9605121436897265e-20,4.701434990393939e-37,3.239445653881774e-51,5.341627205122371e-35,4.419816980077246e-58,5.9782054283102045e-64,2.3735649040405505e-43,1.9647093796448613e-47,5.580389290318824e-55,7.580952280049529e-63,1.9776095823034343e-90,3.6907916635532345e-83,4.0023247950810915e-104,4.1848693826822804e-108,4.932778048951448e-55,1.3565384611602468e-105,3.8519929541539296e-73,3.5161816270541985e-103,6.5156744091223975e-112,1.7303730787136433e-115,5.511582729255974e-125,4.195343959386484e-120,2.5972146934151807e-76,2.4853841689364902e-116,3.387586325476338e-123,5.677133045131511e-129,3.76,0.0,0.9809684074355323,0.9999999999999986,4.295118752041428e-50,5.4710383167585784e-70,2.104971407609388e-18,2.1049714076093896e-18,2.960512144243348e-20,1.4422830543657936e-39,1.7195862776188448e-38,1.4418533132079138e-33,3.6275000644912934e-24,2.276845843985761e-37,3.441776019188397e-37,1.0746827806345033e-37,1.8882348224826352e-41,1.1738642149311454e-45,2.1780248122888487e-20,1.492092412801723e-41,1.7747819929067502e-41,5.438012503814005e-37,2.2916954603447136e-62,4.052233942299705e-40,6.468254713525607e-39,5.657353728680188e-40,1.6959153013726377e-56,3.22901086745842e-56,6.292655796312752e-45,4.539922816708487e-40,2.351280280814056e-62,1.4139275566612666e-15,1.5714509462498248e-64,6.679363044505712e-62,1.7562012597172814e-61,3.629442798490045e-24,4.522068868623452e-40,1.0383192996065802e-59,1.672201068046674e-55,3.040998929307911e-57,1.452859059047568e-70,1.1853779490373846e-55,4.559528653382624e-36,4.971347865938512e-87,7.275030452576048e-56,1.8423652327328481e-68,7.7399185231774e-61,5.561331231745039e-65,7.217727473498185e-77,6.738261055134619e-57,1.11235455802957e-40,2.0658842636149534e-70,2.020768732692987e-57,9.563311182817641e-61,2.8385806794275114e-37,2.1197814766715183e-58,1.4028037173395924e-77,6.621593440188409e-83,2.1657436599137616e-80,7.740239637986655e-81,6.799647997207052e-99,6.258057967910887e-97,2.321920045901478e-77,3.967267153068643e-91,1.9427339992153005e-27,2.2946787156046559e-91,2.6568993493118676e-37,1.05290808153652e-73,1.6671398309989616e-37,6.294336567560486e-110
8.707327339750579e-22,0.8303319424865178,1.2661140565928198e-29,4.980741267875823e-26,2.3471230579586915e-35,4.978342428088797e-20,0.0,0.0,6.766884899862225e-20,2.263538568222775e-36,3.180506952631894e-50,2.5717635616718948e-34,4.339402520197082e-57,5.869437539789574e-63,1.14276932797183e-42,9.459229970236288e-47,6.003128111803586e-54,7.443023937142344e-62,8.927875018102429e-89,7.292382375593495e-82,2.084002231622303e-102,2.1790528292125593e-106,2.37521573135433e-54,1.749713725690139e-103,8.378925998116352e-72,1.8321470396199948e-101,8.405793846036943e-110,2.232333678727347e-113,1.6514394255738121e-122,5.41240524387849e-118,5.794243099507907e-75,3.206364421666706e-114,3.6922894867920027e-121,1.563050636271026e-126,3.76,0.0,0.9809684074355323,0.9999999999999968,4.216973060461575e-49,1.190070328128417e-68,4.811363217392883e-18,4.8113632173928916e-18,6.766884901127644e-20,6.943972056452714e-39,8.279067707468151e-38,6.941903037762548e-33,8.291428718838414e-24,1.0962032639586837e-36,1.6570669973180747e-36,5.174134976962138e-37,9.091037853939619e-41,5.651650889287686e-45,4.978342428088797e-20,7.183782676205972e-41,8.544811316842416e-41,2.6181689339554808e-36,2.2500001926026352e-61,1.9509762093203406e-39,3.114186209755357e-38,2.7237722918877427e-39,1.824328478367556e-55,3.4728328585329285e-55,3.0296428906883367e-44,2.1857774091040276e-39,2.3085009226062377e-61,3.231834415223104e-15,1.5428598576056443e-63,6.557838245188039e-61,1.7242488109217594e-60,8.295869253691534e-24,2.1771815016485277e-39,1.019428045503206e-58,1.7988488642032257e-54,3.2713406409103567e-56,3.1602323508046206e-69,1.1638110995599499e-54,2.1952167755027533e-35,2.1706471970108215e-85,7.826114674469531e-55,1.9818614485229836e-67,7.599102304175814e-60,5.460148003962902e-64,1.6102352946742769e-75,7.248356749193909e-56,5.3555083851975435e-40,2.0289805933630717e-69,2.173800757435005e-56,9.389315628962183e-60,1.3666544065850586e-36,2.0812140239288564e-57,2.7717037528188757e-76,1.3083152803886058e-81,4.2834773125879295e-79,1.6836301238381698e-79,2.692671798116642e-97,2.4782012551400615e-95,5.180075893764644e-76,1.7322339047328493e-89,4.440534855348759e-27,1.0019290924436266e-89,1.2791826668534153e-36,2.2897532973188914e-72,8.026560643284187e-37,5.694642464696914e-108
1.8503070596969977e-21,0.8303319424865176,2.692049627549393e-29,1.0584075195035482e-25,1.0250503038542534e-34,1.0578977659688693e-19,0.0,0.0,1.4379630412207193e-19,9.885467612252124e-36,2.813122381507685e-49,1.1231567136603562e-33,3.8381523869442957e-56,5.191451034678382e-62,4.9907738876347824e-42,4.131094281837131e-46,5.517908968510881e-53,6.583270443184586e-61,3.370995741040793e-87,1.2976404806876262e-80,8.316705901538627e-101,8.696027956296512e-105,1.0375786904304285e-53,1.5016437038743514e-101,1.5533116637401853e-70,7.322393440676061e-100,7.214541746089698e-108,1.9159718786368024e-111,3.1377672829411196e-120,4.645447025219146e-116,1.0851976057620084e-73,2.7519649486875144e-112,3.0215979497861064e-119,2.7990742168414288e-124,3.76,0.0,0.9809684074355323,0.9999999999999931,3.72986491627859e-48,2.206189816891452e-67,1.0224146836959861e-17,1.0224146836959895e-17,1.4379630414896212e-19,3.032615031534451e-38,3.6156863784264406e-37,3.0317114367119304e-32,1.7619286027536625e-23,4.7874076520889534e-36,7.236846927766534e-36,2.2596806811354524e-36,3.970295073763218e-40,2.468224425673253e-44,1.0578977659688693e-19,3.137346629568701e-40,3.731743594356883e-40,1.1434231589145288e-35,1.9900996900347188e-60,8.520425673568662e-39,1.3600469347953997e-37,1.189542919772155e-38,1.6768504956115336e-54,3.191845484175486e-54,1.3231246467983696e-43,9.545864200695102e-39,2.0418429231059675e-60,6.8676481323377875e-15,1.3646420717211725e-62,5.8003336627306e-60,1.5250785467635848e-59,1.762872216409451e-23,9.508323614489943e-39,9.016725615922645e-58,1.6534416042237265e-53,3.0069157784770255e-55,5.8584987816349674e-68,1.0293777378188074e-53,9.587088393701787e-35,8.080719176453524e-84,7.193536431326522e-54,1.821745913596779e-66,6.721321678787248e-59,4.8294391150360033e-63,3.0157924987330746e-74,6.662359232665099e-55,2.338891228032671e-39,1.7958173973713626e-68,1.9980792742738384e-55,8.304743343218154e-59,5.968538845812968e-36,1.840810235166201e-56,4.932098736577902e-75,2.3280771384348654e-80,7.625759553745374e-78,3.121136233234681e-78,9.614545056727135e-96,8.848749277165438e-94,9.70170885892183e-75,6.44862774169317e-88,9.436136567613987e-27,3.7299049512247553e-88,5.5865267775172827e-36,4.244409999591875e-71,3.5054099095478976e-36,4.309791281709476e-106
3.8094557111408775e-21,0.8303319424865176,5.548873041091737e-29,2.1790743051896846e-25,4.279383237037443e-34,2.1780248122888484e-19,0.0,0.0,2.960512143689702e-19,4.126988132296102e-35,2.364598864996148e-48,4.688958185693615e-33,3.226198347256506e-55,4.3637274030371966e-61,2.0835498545069726e-41,1.7246505733051568e-45,4.7206872891150826e-52,5.533635580649227e-60,1.169555022269292e-85,2.1886603378006663e-79,2.9558875832786957e-99,3.090704633327193e-103,4.333856161822122e-53,1.1037251042949073e-99,2.669745873859213e-69,2.6102282207685633e-98,5.302922830342953e-106,1.4083016654316413e-109,4.830395215602326e-118,3.414667482259857e-114,1.8744089938714903e-72,2.0227837706605713e-110,2.176392244268207e-117,4.201831839269252e-122,3.76,0.0,0.9809684074355323,0.9999999999999859,3.135176203353809e-47,3.791876606665419e-66,2.1049714076093765e-17,2.10497140760939e-17,2.960512144243323e-19,1.2660570785214222e-37,1.5094778880584478e-36,1.2656798454681996e-31,3.6275000644948944e-23,1.9986484544388516e-35,3.02124113472743e-35,9.43372202470873e-36,1.6575200378813392e-39,1.030435110756311e-43,2.1780248122888484e-19,1.3097804590542167e-39,1.5579294911244092e-39,4.77356660516913e-35,1.672798702175946e-59,3.5571099939062283e-38,5.677928226983925e-37,4.966107528056644e-38,1.434572631258797e-53,2.730581808056694e-53,5.523784947698801e-43,3.9852103930776524e-38,1.7162920071390863e-59,1.4139275566531197e-14,1.14706388713629e-61,4.875529939874535e-59,1.2819204114303016e-58,3.629442798490046e-23,3.9695379373249844e-38,7.579101178656876e-57,1.414550129246158e-52,2.572475988193997e-54,1.0069232305619663e-66,8.652540132972071e-53,4.002420682157973e-34,2.783921639593991e-82,6.154217565146231e-53,1.5587348659605033e-65,5.649676554021419e-58,4.059434638551311e-62,5.2090315669358525e-73,5.699739220334739e-54,9.764410585846128e-39,1.511519946900929e-67,1.709391967100914e-54,6.980637178328367e-58,2.49174747720299e-35,1.547311919794474e-55,8.318705409945091e-74,3.926642372880439e-79,1.2864839583113018e-76,5.364412487914775e-77,3.249287112024971e-94,2.9904823176036873e-92,1.6757289409207576e-73,2.2216431389033074e-86,1.9427339992137678e-26,1.2850048292775273e-86,2.332264958608702e-35,7.294744036440014e-70,1.46343963310255e-35,2.994116806698724e-104
7.727753014028637e-21,0.8303319424865176,1.1282328954693224e-28,4.420407877578778e-25,1.748267685167943e-33,4.418278904928806e-19,0.0,0.0,6.005610348627621e-19,1.686009312349784e-34,1.9386410125697984e-47,1.9155924157963713e-32,2.6450323237747407e-54,3.577647370313986e-60,8.511981001237115e-41,7.045760588028272e-45,3.9031555376733644e-51,4.5368089433367354e-59,3.8951065349502626e-84,3.5948811769764415e-78,9.956243772237864e-98,1.0410345068077318e-101,1.772294492212505e-52,7.555992326374274e-98,4.424907993462204e-68,8.844177034846632e-97,3.6303763384980506e-104,9.641221165841555e-108,6.76047157759673e-116,2.337832758575227e-112,3.1143585770881147e-71,1.3847960464427646e-108,1.4776288115278876e-115,5.81264444567947e-120,3.76,0.0,0.9809684074355323,0.9999999999999714,2.5704068708793053e-46,6.284757388839467e-65,4.270084855436137e-17,4.270084855436193e-17,6.005610349750684e-19,5.172256270029331e-37,6.166709703177359e-36,5.170715149901472e-31,7.358642987983715e-23,8.165131079313414e-35,1.2342755842082031e-34,3.8539832618634145e-35,6.771510190216223e-39,4.209663651221184e-43,4.418278904928806e-19,5.3508805460864063e-39,6.364650311118536e-39,1.9501577158544727e-34,1.3714614426124608e-58,1.453195498238507e-37,2.319618946948879e-36,2.0288169653096423e-37,1.1861291594355121e-52,2.2576551466358254e-52,2.256646391821603e-42,1.6280884797853973e-37,1.407119881453249e-58,2.8682530434774165e-14,9.404322773579045e-61,3.997254011867499e-58,1.0509958036589714e-57,7.362583962651238e-23,1.6216857702308501e-37,6.213805056267866e-56,1.1695758477815003e-51,2.1269714211191875e-53,1.6688990386425144e-65,7.09387516544911e-52,1.6351194444325246e-33,9.238807350335604e-81,5.088424411830587e-52,1.2891352095521598e-64,4.6319464538280776e-57,3.328169886978227e-61,8.654883856129331e-72,4.712635306786898e-53,3.989080427638624e-38,1.2425584902491453e-66,1.4133556296626964e-53,5.723148111175391e-57,1.0179601481541167e-34,1.2685797964961795e-54,1.366349861534339e-72,6.449521888431189e-78,2.1132867981427548e-75,8.891102064331005e-76,1.0684160325019068e-92,9.833169993633024e-91,2.7842486979934813e-72,7.372812750751606e-85,3.9409746841157996e-26,4.264456271194094e-85,9.528063355190937e-35,1.209025836805605e-68,5.978628409804662e-35,1.9955661723499816e-102
1.556434761980416e-20,0.8303319424865176,2.2828477127963367e-28,8.903075026424247e-25,7.066777507414516e-33,8.898787090208725e-19,0.0,0.0,1.2095806758503273e-18,6.815119210214022e-34,1.5699617546414263e-46,7.743130821544526e-32,2.142015752886341e-53,2.8972715972508857e-59,3.4406788155666326e-40,2.848009289015746e-44,3.1739812604352024e-50,3.67402577609883e-58,1.2714276475785421e-82,5.827457301835796e-77,3.2677391026496044e-96,3.4167799189152625e-100,7.178230467531392e-52,4.999242764241806e-96,7.20481558278727e-67,2.9370340029848235e-95,2.4019675021587456e-102,6.378925771557948e-106,9.042132118510282e-114,1.5469855742131677e-110,5.077190503882567e-70,9.162232798390753e-107,9.76115876612232e-114,7.730925051356744e-118,3.76,0.0,0.9809684074355323,0.9999999999999423,2.081582126339817e-45,1.0233098187820484e-63,8.600311751089576e-17,8.6003117510898e-17,1.2095806760765226e-18,2.0907086816224062e-36,2.49268265919067e-35,2.0900857362123248e-30,1.4820928834986783e-22,3.3004765314713467e-34,4.989139255067308e-34,1.5578416543359765e-34,2.7371526860186874e-38,1.7016133554310907e-42,8.898787090208725e-19,2.162911469955354e-38,2.5726934177572843e-38,7.88284929087602e-34,1.1106450342978142e-57,5.874048550551381e-37,9.37627065864708e-36,8.20080255370582e-37,9.645392544840511e-52,1.835870782122753e-51,9.12172555497234e-42,6.580993944244932e-37,1.1395221620557643e-57,5.776904017068472e-14,7.615864405618985e-60,3.2370799346945626e-57,8.511236507083496e-57,1.4828866290973624e-22,6.55511316852073e-37,5.032100438339503e-55,9.510790409758591e-51,1.7296172532590986e-52,2.7173675718087814e-64,5.744804030086509e-51,6.609414227502437e-33,3.0103287150396813e-79,4.137821559986007e-51,1.0488705065903657e-63,3.751070439625684e-56,2.695238440594912e-60,1.4109645065415532e-70,3.83222913067092e-52,1.6124501683522084e-37,1.0116379622561263e-65,1.149316255588758e-52,4.634753723142243e-56,4.114757676651943e-34,1.0273288093550075e-53,2.2149120055598035e-71,1.0454952909932484e-76,3.425916519808592e-74,1.4476840404803723e-74,3.4655776488428053e-91,3.189545374748858e-89,4.53902808584125e-71,2.4023219764752184e-83,7.937456053909039e-26,1.3895099981739809e-83,3.851395548760044e-34,1.9685657552069625e-67,2.416657193276429e-34,1.3031811410666781e-100
3.1237536831355197e-20,0.8303319424865176,4.623771885877224e-28,1.78684093403843e-24,2.8415201549243855e-32,1.785980346076856e-18,0.0,0.0,2.4276199578253848e-18,2.74032946044373e-33,1.2636418037210972e-45,3.1134788478318985e-31,1.7240806290810996e-52,2.3319762383977674e-58,1.3834818190837092e-39,1.1451721758324392e-43,2.5599308715767064e-49,2.9571760107560484e-57,4.109034457957956e-81,9.38494033414191e-76,1.0589304221308638e-94,1.1072281301954992e-98,2.897861288121105e-51,3.252771007156765e-94,1.1628601396621902e-65,9.73987183798561e-94,1.5628516072963403e-100,4.150478919768162e-104,1.1828984328957174e-111,1.0068193233335894e-108,8.199676225460008e-69,5.9614512301997904e-105,6.377379629051753e-112,1.0085845930165402e-115,3.76,0.0,0.9809684074355322,0.9999999999998841,1.6754383888357643e-44,1.6516261729594546e-62,1.7260765542396118e-16,1.7260765542397027e-16,2.42761995827936e-18,8.406647656205797e-36,1.0022967340126987e-34,8.404142819997327e-30,2.9745500529094627e-22,1.3271070972805598e-33,2.0061109514393996e-33,6.264012775719533e-34,1.1005970566134347e-37,6.84211246956292e-42,1.7859803460768557e-18,8.696971892452083e-38,1.0344687081634016e-37,3.169659029830377e-33,8.939437483921313e-57,2.3619290877366024e-36,3.770157193440118e-35,3.29750663840503e-36,7.779353427005335e-51,1.4806895764107365e-50,3.6678057529948925e-41,2.646188720718315e-36,9.171865722235258e-57,1.159420596402043e-13,6.129910238937814e-59,2.6054835511532983e-56,6.850583601725898e-56,2.976143094761841e-22,2.63578217462777e-36,4.050272215617079e-54,7.670794572592024e-50,1.3949987427073624e-51,4.385840720811355e-63,4.623918070023735e-50,2.6576163916186364e-32,9.720165578691279e-78,3.337302726354518e-50,8.468705265847352e-63,3.0191878694825065e-55,2.1693626631527855e-59,2.2787114469511666e-69,3.090828588606534e-51,6.483591848887202e-37,8.229176870162939e-65,9.269647713161289e-52,3.730453010970508e-55,1.654525964410656e-33,8.268836013555711e-53,3.567047503021445e-70,1.6837379353270686e-75,5.517483456821988e-73,2.3365667283898407e-73,1.1165134609890568e-89,1.0275834813982873e-87,7.330542483071349e-70,7.756949355021098e-82,1.593041879345221e-25,4.486642005851594e-82,1.5486292110757462e-33,3.1772576205470434e-66,9.717272285633753e-34,8.4246441371872e-99
6.258391525445727e-20,0.8303319424865176,9.43239838574636e-28,3.5799078033380915e-24,1.1395766722275523e-31,3.5781836201888225e-18,0.0,0.0,4.863698521775208e-18,1.0989946778685704e-32,1.0139929661049333e-44,1.2486442717379362e-30,1.3834661260310495e-51,1.8712640685772045e-57,5.548380871889291e-39,4.592653953094996e-43,2.0562756909307565e-48,2.372948207312335e-56,1.3214039021302768e-79,1.5064907687169227e-74,3.409925543321397e-93,3.565452794209378e-97,1.1714172012088372e-50,2.0989711399479758e-92,1.8686850264820367e-64,3.279526250481663e-92,1.0084895220472986e-98,2.678255182243895e-102,1.5306367472806535e-109,6.500315243196184e-107,1.3180740051724901e-67,3.8468544566685745e-103,4.163682422118181e-110,1.3033006097856682e-113,3.76,0.0,0.9809684074355319,0.9999999999997677,1.344433791625072e-43,2.654118920662152e-61,3.4581673125007885e-16,3.4581673125011524e-16,4.863698522684748e-18,3.371441706733341e-35,4.019658191311215e-34,3.370437155291838e-29,5.959464391771715e-22,5.3222930232441975e-33,8.045402170392713e-33,2.512149287882203e-33,4.413886451086122e-37,2.743993126908127e-41,3.57818362018882e-18,3.487874710499638e-37,4.148682197172657e-37,1.2711750374268955e-32,7.173335608460825e-56,9.472392044951465e-36,1.5120016589189051e-34,1.3224476465894158e-35,6.248797702044484e-50,1.1893677111606803e-49,1.4709541745449013e-40,1.061240030691527e-35,7.359844618383009e-56,2.322880985700374e-13,4.918866918592236e-58,2.090736462373031e-55,5.497161905673566e-55,5.962656026090803e-22,1.0570665402653653e-35,3.250088375794162e-53,6.1615983811223775e-49,1.120538760991323e-50,7.0479271036320085e-62,3.710403046933284e-49,1.0658230378371693e-31,3.124459822479734e-76,2.6807029345440865e-49,6.817294025758888e-62,2.4227081409758988e-54,1.7407773740317992e-58,3.662962098678192e-68,2.482720397244235e-50,2.6002108305375403e-36,6.742432873492122e-64,7.445883450323347e-51,2.993453605779311e-54,6.635389122035733e-33,6.635220147778886e-52,5.725901224207039e-69,2.7027722779246783e-74,8.856903495308925e-72,3.7547990881187743e-72,3.5849410014021287e-88,3.299401470534571e-86,1.178363294506952e-68,2.49340162040194e-80,3.191634427236534e-25,1.4421907297504545e-80,6.210695777535446e-33,5.105755374348917e-65,3.897060802095589e-33,5.41890833545705e-97
