Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67)
0.0,0.6205081961293164,3.76,0.0,0.7652008342253374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1376962565848125e-22,0.6205081961293163,3.76,0.0,0.7652008342253374,0.9999999999999996,3.9279708617451024e-53,0.0,6.126942772319297e-39,1.1920982419604035e-20,1.1920982419604027e-20,4.7093625257076235e-22,1.6400399705983365e-41,2.0016374021838447e-40,4.1041812256402635e-33,7.338914706615309e-36,2.4094174978010093e-23,2.864098005155884e-50,4.709362525666654e-22,1.4784826170388793e-41,4.918025981983434e-30,1.9129581573586173e-38,6.15174120607043e-39,3.84716561756703e-51,2.829889867053037e-45,6.789699428607475e-50,2.4094174978010093e-23,6.59215388646042e-46,8.292076439383411e-40,7.820544393342996e-66,1.4746932946297827e-38,1.1041583772329646e-39,8.116759031698818e-56,4.595187317319251e-46,1.0253777056214664e-43,6.753644462455048e-41,3.12249899463735e-16,1.9041860308106432e-42,5.3920478492325016e-68,2.1714950373035293e-50,3.0788278716501453e-60
1.1585549518437475e-21,0.6205081961293163,3.76,0.0,0.7652008342253374,0.9999999999999991,4.663287007064996e-52,0.0,3.700673434481904e-38,3.3378750774891304e-20,3.3378750774891256e-20,1.318621507198134e-21,9.90584142243568e-41,1.2089889909185073e-39,1.1515487723290136e-32,4.432704482795625e-35,6.746368993842827e-23,3.4002571517210507e-49,1.318621507186663e-21,8.930035023617996e-41,1.3770472800101755e-29,1.1554267270445975e-37,3.7156516884666354e-38,2.323688033510718e-50,1.7092534797001883e-44,4.100978455139428e-49,6.746368993842827e-23,3.9816609474234406e-45,5.00841416938661e-39,9.284550304316394e-65,8.907147499563879e-38,6.669116598487104e-39,9.636216322432828e-55,2.77549313966113e-45,6.193281342073409e-43,4.079201255322846e-40,8.742997184973007e-16,1.1501283626082694e-41,6.401439206616087e-67,1.3115830243197262e-49,4.65272383668674e-59
2.64812560421428e-21,0.6205081961293163,3.76,0.0,0.7652008342253374,0.999999999999998,4.5784428364538394e-51,0.0,1.7817149581920233e-37,7.629428748546584e-20,7.629428748546564e-20,3.013992016452875e-21,4.769236234532551e-40,5.820761565542593e-39,2.643322188457947e-32,2.1341563966837004e-34,1.542027198592646e-22,3.3383926348096526e-48,3.0139920164266562e-21,4.299427475403812e-40,3.1475366638530965e-29,5.562882321598749e-37,1.7889263427254228e-37,1.1187557623245469e-49,8.229319733392495e-44,1.9744445942223802e-48,1.542027198592646e-22,1.9169983501846736e-44,2.411335828571237e-38,9.115626546522456e-64,4.288408100783396e-37,3.210892560993459e-38,9.460894327348117e-54,1.3362804718768816e-44,2.98179836812685e-42,1.963959809681923e-39,1.9983993565598036e-15,5.537372977576969e-41,6.284970973087211e-66,6.31470788907933e-49,5.0051876973939015e-58
5.627266908955345e-21,0.6205081961293164,3.76,0.0,0.7652008342253374,0.9999999999999958,4.0495808396325993e-50,0.0,7.781217320861743e-37,1.6212536090661489e-19,1.6212536090661395e-19,6.404733034962348e-21,2.0828507626935598e-39,2.5420795007651883e-38,5.664917487111649e-32,9.320421677401111e-34,3.2768077970093726e-22,2.952770479395413e-47,6.404733034906634e-21,1.8776729495292854e-39,6.688515512415965e-29,2.4294568598453293e-36,7.812711331710907e-37,4.885900341849327e-49,3.593960131159675e-43,8.622918278257802e-48,3.2768077970093726e-22,8.372035435825055e-44,1.0530937078001858e-37,8.062668451177942e-63,1.8728604841798098e-36,1.4022811390858615e-37,8.368053891320153e-53,5.835887892999985e-44,1.3022296863248756e-41,8.57712846731785e-39,4.246598632666294e-15,2.4183162591084556e-40,5.558985650689944e-65,2.757799025757719e-48,4.600629706629668e-57
1.1585549518437475e-20,0.6205081961293164,3.76,0.0,0.7652008342253374,0.9999999999999912,3.403916701268794e-49,0.0,3.248505057898303e-36,3.33787507748913e-19,3.3378750774890907e-19,1.3186215071981258e-20,8.695491924415427e-39,1.061268150630409e-37,1.186030195000239e-31,3.8910925774471384e-33,6.746368993842826e-22,2.481981505699829e-46,1.318621507186656e-20,7.838915068549317e-39,1.3770473533049802e-28,1.0142504150314356e-35,3.2616531874598565e-36,2.0397672171907346e-48,1.5004076075135977e-42,3.599898640566474e-47,6.746368993842826e-22,3.4951599906195297e-43,4.39645892814752e-37,6.777158648732911e-62,7.818823848126975e-36,5.854247716089148e-37,7.033853508725577e-52,2.4363683156467295e-43,5.436552596875533e-41,3.58078229399361e-38,8.742997184805214e-15,1.009599433516848e-39,4.672662393460834e-64,1.151326963077293e-47,3.935935533792747e-56
2.3502114737401733e-20,0.6205081961293164,3.76,0.0,0.7652008342253374,0.9999999999999822,2.790736567697537e-48,0.0,1.3271203122678204e-35,6.771118014335092e-19,6.771118014334933e-19,2.6749179146018935e-20,3.5523921781714006e-38,4.335626678563087e-37,2.485984633811718e-31,1.58963828111145e-32,1.3685491387509733e-21,2.0348783933790003e-45,2.6749179145786282e-20,3.2024526850920004e-38,2.7934390868349913e-28,4.143543887164187e-35,1.3324917522007923e-35,8.333114671363427e-48,6.129654647649115e-42,1.4706760580071844e-46,1.3685491387509733e-21,1.4278869004382653e-42,1.79609692506472e-36,5.556324124319716e-61,3.1942446638997837e-35,2.3916512114216642e-36,5.766778073982403e-51,9.953359536840514e-43,2.221009126898692e-40,1.4628664051455653e-37,1.7735794288786817e-14,4.124543110016601e-39,3.830930940601411e-63,4.703547597185942e-47,3.254307597181029e-55
4.733524517533025e-20,0.6205081961293163,3.76,0.0,0.7652008342253374,0.9999999999999643,2.2600108272734336e-47,0.0,5.364432490520382e-35,1.3637603888027019e-18,1.3637603888026375e-18,5.3875107294093725e-20,1.4359337163884903e-37,1.752529624155268e-36,5.329403696367962e-31,6.42557209354555e-32,2.7563736174843546e-21,1.6478972807431315e-44,5.387510729362525e-20,1.294482660662777e-37,5.626223071507983e-28,1.6748866887583059e-34,5.386144709501708e-35,3.3683782090414826e-47,2.477704413332978e-41,5.944707779749481e-46,2.7563736174843542e-21,5.771747151109137e-42,7.260110942254803e-36,4.499655342065882e-60,1.2911647647264264e-34,9.667436588695466e-36,4.670086398128994e-50,4.0233070653324367e-42,8.97767400564898e-40,5.913139901813199e-37,3.572138849556505e-14,1.6672062707721855e-38,3.1023871994065624e-62,1.9012501802460428e-46,2.646348885649188e-54
9.500150605118729e-20,0.6205081961293164,3.76,0.0,0.7652008342253374,0.9999999999999283,1.8190533303207584e-46,0.0,2.1570147108486407e-34,2.7370575635410867e-18,2.737057563540828e-18,1.0812696359024099e-19,5.773826319802183e-37,7.046844539462589e-36,1.1990282561213302e-30,2.583694278121066e-31,5.532022574951117e-21,1.3263710953649942e-43,1.081269635893012e-19,5.205058508858089e-37,1.1291793111305842e-27,6.734645711301494e-34,2.165745098569344e-34,1.3544100823583493e-46,9.962740472671844e-41,2.3903408624452e-45,5.532022574951116e-21,2.320794144446483e-41,2.919258678714066e-35,3.6217140945646123e-59,5.191716731475199e-34,3.88723373338357e-35,3.758891821548274e-49,1.6177540758343726e-41,3.6098832371853404e-39,2.377647547584828e-36,7.169257690438166e-14,6.703763087839344e-38,2.497071119854933e-61,7.644851703831629e-46,2.1343762443802817e-53
1.9033402780290136e-19,0.6205081961293164,3.76,0.0,0.7652008342253374,0.9999999999998563,1.459675737657765e-45,0.0,8.650593739245872e-34,5.483651913017856e-18,5.483651913016818e-18,2.1663067618252643e-19,2.3155625956269343e-36,2.8260998379792533e-35,2.9208203249833134e-30,1.0361769640768383e-30,1.1083320489884643e-20,1.0643292720958983e-42,2.1663067618064516e-19,2.0874617963709385e-36,2.2622941472709076e-27,2.7008941446210055e-33,8.685606498463409e-34,5.431790358718908e-46,3.995504524047156e-40,9.586336044555307e-45,1.1083320489884637e-20,9.307422520195968e-41,1.1707532971689608e-34,2.9061974959339655e-58,2.0821106145274297e-33,1.5589545878648216e-34,3.016273960053911e-48,6.487917402383242e-41,1.4477246379021226e-38,9.535430094670919e-36,1.4363495370305546e-13,2.688508830922853e-37,2.003742313936135e-60,3.065934154278809e-45,1.714447070862276e-52
