Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63)
0.0,0.21723896133906273,3.76,0.0,0.7108211622676743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0734567800078094e-22,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999999998,7.05156437879516e-53,0.0,5.7104053466661506e-39,2.8516853952238836e-21,2.85168539522388e-21,1.8704100557322531e-22,2.554600344792025e-41,3.094915679545364e-40,2.937017436354157e-34,3.777979021054026e-36,1.33511583263814e-24,1.48117049850909e-50,1.8704100557293546e-22,1.304758214385173e-42,2.889979242531865e-31,6.368778546833025e-38,5.712556242564931e-39,3.269374562542826e-53,1.9046432850106585e-46,2.1754482133021093e-51,1.33511583263814e-24,1.410524004115148e-47,4.27289369662108e-40,2.0442156401646906e-66,1.2036287508329665e-38,4.4613210446701826e-40,5.806511122478063e-56,9.17767229892674e-48,1.4804286282861602e-44,1.3739674426235553e-41,3.354101965997535e-16,2.795787254784464e-43,6.561351511378003e-70,2.308907661962766e-52,2.564439284770809e-60,8.374532654184713e-60,8.590671441711851e-45,1.0629657812316658e-75,1.2668937688580518e-68,1.1896807326302161e-66,1.4769689362219544e-68
1.1405678984021866e-21,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999999991,8.371617230507606e-52,0.0,3.44908482938725e-38,7.984719106626874e-21,7.984719106626852e-21,5.237148156050304e-22,1.5429786082719404e-40,1.8693290704426055e-39,8.34606044256641e-34,2.2818993287166185e-35,3.738324331386792e-24,1.758445615829982e-49,5.23714815604219e-22,7.880739701267811e-42,8.091942282980109e-31,3.846742242287123e-37,3.4503839705092945e-38,1.9747022399712658e-52,1.1504045441480513e-45,1.3139707212119783e-50,3.738324331386792e-24,8.519564984875585e-47,2.580827792758324e-39,2.4268928086419038e-65,7.269917655031103e-38,2.694637910980789e-39,6.893490004605944e-55,5.543314068560683e-47,8.941788915381789e-44,8.298763353446259e-41,9.391485504765059e-16,1.6886555018841563e-42,7.789636514557953e-69,1.39458181224782e-51,3.875380637857499e-59,1.2655593723622549e-58,5.188765550794015e-44,2.997733572256123e-74,1.5040562823943976e-67,1.412388965778603e-65,1.75345752108272e-67
2.607012339204998e-21,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999999979,8.219303439929817e-51,0.0,1.660585874811861e-37,1.8250786529432856e-20,1.8250786529432748e-20,1.1970624356686391e-21,7.428777802918568e-40,9.000014796076001e-39,1.965379293809e-33,1.0986362993224922e-34,8.544741328884095e-24,1.726452333062168e-48,1.1970624356667852e-21,3.7942370170041357e-41,1.849586997944015e-30,1.852040801419008e-36,1.6612113553379975e-37,9.507341289606837e-52,5.538702672834739e-45,6.326203409837236e-50,8.544741328884095e-24,4.1018038039964145e-46,1.2425574869761973e-38,2.3827377521184652e-64,3.500152407422248e-37,1.2973521597900875e-38,6.768069364360397e-54,2.668867104541035e-46,4.305086451856225e-43,3.995497323149277e-40,2.1466252582187955e-15,8.130149336828323e-42,7.64791132241025e-68,6.714326794630273e-51,4.168957643277004e-58,1.361431021205359e-57,2.4981672552498903e-43,6.520725302490822e-73,1.4766913769992335e-66,1.3866918619538119e-64,1.7215549920603576e-66
5.539901220810621e-21,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999999954,7.269880811975631e-50,0.0,7.252214790279906e-37,3.878292137504482e-20,3.8782921375044345e-20,2.543757675795849e-21,3.244342438158008e-39,3.930542912979296e-38,4.4227843861533415e-33,4.798033356738417e-34,1.8157575323878703e-23,1.5270275371428733e-47,2.5437576757919146e-21,1.6570430661602932e-40,3.930373183461445e-30,8.088348754477569e-36,7.254946428058655e-37,4.152105757660047e-51,2.418896971987859e-44,2.762819236583204e-49,1.8157575323878703e-23,1.7913654852565198e-45,5.426574994696241e-38,2.107504560426955e-63,1.5286085135578476e-36,5.665877726731118e-38,5.9862807068299125e-53,1.1655643819771526e-45,1.8801443587501642e-42,1.7449386521318927e-39,4.561578673658512e-15,3.5506498134885395e-41,6.764490955719205e-67,2.9323366102003714e-50,3.8319903211651616e-57,1.251389662106022e-56,1.091015273097491e-42,1.2088325754255218e-71,1.3061167999797513e-65,1.226513248112514e-63,1.5226958944874844e-65
1.1405678984021866e-20,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999999906,6.1107728656573665e-49,0.0,3.027656914814902e-36,7.984719106626875e-20,7.984719106626674e-20,5.237148156050242e-21,1.3544491030536548e-38,1.6409242932559677e-37,1.0121028943800476e-32,2.003084476962669e-33,3.738324331386792e-23,1.283558655279896e-46,5.23714815604216e-21,6.917829257690304e-40,8.091948139397988e-30,3.3767263855305364e-35,3.0287973198090025e-36,1.733422449728062e-50,1.0098418697344498e-43,1.1534226477917795e-48,3.738324331386792e-23,7.478598270089905e-45,2.2654882379372204e-37,1.7714845736188946e-62,6.381639636916212e-36,2.365392417884117e-37,5.0318296345614e-52,4.8660018530115545e-45,7.84923259461389e-42,7.284775380789889e-39,9.391485504358495e-15,1.4823264024077666e-40,5.685962240928737e-66,1.224204243391134e-49,3.278348396574117e-56,1.0705902021001132e-55,4.5547739983963915e-42,2.0776743388663616e-70,1.0978698698603281e-64,1.0309582880057421e-62,1.2799176486271427e-64
2.313723451044436e-20,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999999809,5.0099807926324995e-48,0.0,1.2368966397198663e-35,1.619757304487166e-19,1.6197573044870842e-19,1.0623929116558918e-20,5.533366532906999e-38,6.703711158192371e-37,2.465125555092809e-32,8.183253678762378e-33,7.583457929384636e-23,1.052338934945923e-45,1.0623929116542598e-20,2.826159502937226e-39,1.6415108390877818e-29,1.3795029083579392e-34,1.237362532365445e-35,7.081596556247202e-50,4.125533541248669e-43,4.71210789102328e-48,7.583457929384636e-23,3.0552514141028788e-44,9.255258662533652e-37,1.4523700884426398e-61,2.607108019454088e-35,9.66339983559729e-37,4.125397944754857e-51,1.98792053073862e-44,3.2066676323127195e-41,2.9760684394201554e-38,1.905129916504067e-14,6.055787024684844e-40,4.66169537892647e-65,5.0013671731821255e-49,2.7106018511563684e-55,8.85184682237541e-55,1.8607737969612025e-41,3.4435928470596234e-69,9.001000498748958e-64,8.452418923833937e-62,1.0493538177118862e-63
4.660034556328934e-20,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999999616,4.057212338431021e-47,0.0,4.999733980549982e-35,3.262328092136123e-19,3.2623280921357914e-19,2.1397491037575833e-20,2.236675224387739e-37,2.7097472331230762e-36,6.624665873251324e-32,3.307801975924589e-32,1.5273725125380323e-22,8.522113532484112e-45,2.139749103754327e-20,1.1423792843267139e-38,3.3061470252264435e-29,5.576171319120251e-34,5.001617193072734e-35,2.8624947529315985e-49,1.6676066190558622e-42,1.9047093676627254e-47,1.5273725125380316e-22,1.2349814709434377e-43,3.741123530210662e-36,1.1761669632232243e-60,1.0538347455341788e-34,3.9061007180188e-36,3.340854213826875e-50,8.035492626817996e-44,1.2961863298207554e-40,1.2029744464540289e-37,3.8370926483533846e-14,2.447845938802134e-39,3.775161784427668e-64,2.0217080734193607e-48,2.2042164087552832e-54,7.1981748280334e-54,7.521545199453259e-41,5.606998258096095e-68,7.289243571551215e-63,6.844987988281733e-61,8.497939279182971e-63
9.352656766897931e-20,0.21723896133906273,3.76,0.0,0.7108211622676743,0.999999999999923,3.2655974595194646e-46,0.0,2.0103710439858755e-34,6.547469667434037e-19,6.547469667432704e-19,4.294461487960791e-20,8.99357271168981e-37,1.0895774444264397e-35,1.9957726496497526e-31,1.3300526262771634e-31,3.0654259517371696e-22,6.859338378061948e-44,4.2944614879543745e-20,4.5934602912259054e-38,6.635435940874552e-29,2.2421539625248806e-33,2.0111282754260323e-34,1.150996711207804e-48,6.705372871838419e-42,7.658752739866029e-47,3.0654259517371687e-22,4.965806178975128e-43,1.5042893174065403e-35,9.466815129002274e-60,4.2374231624564915e-34,1.5706259190602437e-35,2.6890101190353836e-49,3.2310362442051388e-43,5.211908245058858e-40,4.837107340452797e-37,7.70101811090355e-14,9.842680857498647e-39,3.0385786421321366e-63,8.129806379180901e-48,1.7777803868565302e-53,5.805588770534247e-53,3.024380243744746e-40,9.049717794129511e-67,5.8670173777999675e-62,5.509441833468214e-60,6.83988083589912e-62
1.8737901188035925e-19,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999998457,2.6204363012066858e-45,0.0,8.062487047095127e-34,1.3117752818029867e-18,1.3117752818024517e-18,8.603886256366502e-20,3.6068249103546065e-36,4.3696928766820943e-35,6.66797676906843e-31,5.3341059119440725e-31,6.141532830135444e-22,5.504187062348859e-43,8.603886256354137e-20,1.8421857775843516e-37,1.3294079945653906e-28,8.99204021758718e-33,8.065523883588938e-34,4.616012897266804e-48,2.689154427234947e-41,3.0715025108011605e-46,6.141532830135439e-22,1.9915103794963287e-42,6.032872972384038e-35,7.596523209603652e-59,1.6993962115277547e-33,6.298912415042979e-35,2.157761272583357e-48,1.2957900458287159e-42,2.090208331562974e-39,1.9398963884346294e-36,1.5428869031410002e-13,3.947355246713872e-38,2.4382680075389797e-62,3.26090294688405e-47,1.4280098865561892e-52,4.6633646219311726e-52,1.2129117464559117e-39,1.4542653548724693e-65,4.7079119563348706e-61,4.420980098835503e-59,5.488573610166717e-61
3.7508390030311914e-19,0.21723896133906273,3.76,0.0,0.7108211622676743,0.9999999999996911,2.0995378337708944e-44,0.0,3.229200189980823e-33,2.6258319119221524e-18,2.6258319119200084e-18,1.7222735793175126e-19,1.4446112785082808e-35,1.750156369661441e-34,2.4034752986965674e-30,2.1364246196446797e-30,1.2293746586931994e-21,4.4100476609376654e-42,1.7222735793152315e-19,7.378373955224678e-37,2.661163264914519e-28,3.601506310301828e-32,3.230416508374571e-33,1.8488138913640817e-47,1.077064426792648e-40,1.2302031844653012e-45,1.2293746586931972e-21,7.976429185914447e-42,2.4162959185809135e-34,6.086463158700635e-58,6.806448849680409e-33,2.5228504612870938e-34,1.7288347843625873e-47,5.1899189905036437e-42,8.371735931201524e-39,7.769703999569297e-36,3.0884570854047386e-13,1.5810010268044863e-37,1.9535815356196227e-61,1.3064521439190216e-46,1.144726676236988e-51,3.738263953227653e-51,4.857973499914193e-39,2.3318845243420423e-64,3.772058597903613e-60,3.542163942311073e-58,4.39753789929547e-60
