Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49)
0.0,0.7650197358590709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8690755604529832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7292480192967487e-19,0.7650197358590711,4.858267167028261e-28,1.2075190179883494e-24,2.710742266935423e-32,5.317998176721118e-40,0.0,0.0,4.483329292061117e-18,2.2239177274118277e-32,5.1296510728699865e-51,2.447156273196685e-40,2.0390058271899164e-51,6.344657527865162e-59,1.801756350844344e-39,1.2563212889752457e-89,2.243516658739854e-91,3.640311374255113e-81,8.600675361428888e-97,2.859800030721227e-111,1.8564468689775887e-137,3.265735699612248e-125,4.16375203547029e-92,1.202771562772753e-141,6.767463295443835e-107,1.2745864977513047e-120,-9.837101875928376e-156,9.005252613456338e-186,2.171217897024446e-248,-1.3889284545320483e-218,-1.5477938157150531e-111,-1.0496214091801659e-153,-1.7541378321878462e-162,1.2140448556848917e-183,3.76,0.0,0.869075560452983,1.0,1.1984678418461999e-43,-1.0560468145535966e-120,2.4490794139516066e-16,2.4490794139524576e-16,4.483329292461889e-18,1.430476283535886e-34,1.703682736762065e-33,8.504046680469177e-29,1.101488708181414e-37,2.888009443083407e-32,2.708897877721436e-32,3.8727121144627054e-33
4.841894454030897e-19,0.7650197358590711,1.6359363259845928e-27,3.3810532504226035e-24,1.6372883302126633e-31,3.755136653520001e-39,0.0,0.0,1.2553322017770979e-17,1.3432463073566356e-31,6.089921753681817e-50,2.9052639275308255e-39,2.4207077180239404e-50,7.532377416978723e-58,1.0882608359036408e-38,6.64819728791368e-88,1.187223474796313e-89,2.214579056141598e-79,6.636666419103324e-95,2.206749822727569e-109,4.9108387179635503e-135,3.479894808992498e-123,2.203373057634126e-90,1.0565729266238634e-133,6.513842206416331e-105,1.3581708219742718e-118,7.918759113844897e-139,7.355219424011283e-157,6.625231721237001e-192,5.783186145854956e-189,1.5664075593684362e-109,5.830429676718875e-151,5.1420020801841984e-151,1.7770047586154564e-151,3.76,0.0,0.8690755604529825,1.0,1.4228210226226285e-42,2.805985761547334e-118,6.857422359061743e-16,6.857422359066879e-16,1.2553322018893176e-17,8.640076755632504e-34,1.0290243728642562e-32,5.1364441949873985e-28,6.66726361270776e-37,1.744357703608545e-31,1.6361743181437912e-31,2.3391181171350495e-32
1.1067187323499192e-18,0.7650197358590712,5.038641621408248e-27,7.728121715512011e-24,7.8828385270032195e-31,2.3610725019585986e-38,0.0,0.0,2.869330746919008e-17,6.467152751311969e-31,5.979121290446017e-49,2.852405352012389e-38,2.3766651921231876e-49,7.395332814160923e-57,5.239507468160205e-38,4.427825493216505e-86,7.907133416235089e-88,9.997668450226754e-78,7.232963709337622e-93,2.4050239043652558e-107,2.4080693387808632e-132,7.919426389583932e-121,1.4674882282943216e-88,7.918688454562503e-131,8.651678045670838e-103,3.09087901936119e-116,5.93486020493243e-136,1.1150389617215643e-153,4.962648521244057e-188,4.0071276536543445e-185,3.2802982665825186e-107,6.179227105180658e-148,7.712741225185557e-148,2.6939094902708976e-148,3.76,0.0,0.8690755604529816,1.0,1.3969341188826667e-41,8.603480132593642e-116,1.567410824927098e-15,1.567410824929571e-15,2.869330747175529e-17,4.1598250371359794e-33,4.954309396403615e-32,2.4729767746564598e-27,3.224536886328787e-36,8.398331460279049e-31,7.877475028414587e-31,1.1261846828851064e-31
2.3517773062435785e-18,0.7650197358590713,1.6253996519643285e-26,1.6422258646574423e-23,3.44264269425483e-30,1.5171376883453073e-37,0.0,0.0,6.09732783720258e-17,2.8243755138113397e-30,5.2884650698944306e-48,2.522920231360952e-37,2.102133447496017e-48,6.541088124258541e-56,2.288230565473996e-37,2.5421564064705383e-84,4.539738431497837e-86,3.774929378156079e-76,5.91701341011309e-91,1.9674588820568956e-105,9.131975612352534e-130,1.3383480492033202e-118,8.425319720733204e-87,4.2414684431612316e-128,9.94613135473686e-101,5.2234489046767674e-114,3.1788712824022428e-133,1.2441230818888818e-150,3.7910876833588136e-184,1.902538538563299e-181,5.271623934305785e-105,4.5628379769736495e-145,8.264769934739796e-145,3.0057738717343877e-145,3.76,0.0,0.8690755604529798,1.0,1.2355724113258996e-40,2.1010583875830132e-113,3.330748002964531e-15,3.330748002975332e-15,6.097327837747772e-17,1.8167048848579844e-32,2.163677073517334e-31,1.0800139283948086e-26,1.421011973090657e-35,3.667771992501509e-30,3.4403003047068946e-30,4.918344385360883e-31
4.841894454030897e-18,0.7650197358590719,5.632448354524216e-26,3.3810532512233726e-23,1.4372355636513182e-29,1.0395369912317527e-36,0.0,0.0,1.2553322017768737e-16,1.1791211790722364e-29,4.4452735449843245e-47,2.1206664717540813e-36,1.7669698255614043e-47,5.498178697913124e-55,9.552912171291815e-37,1.4548458551529172e-82,2.59803823848007e-84,1.3096983643605765e-74,4.258517524572027e-89,1.4159944463724023e-103,3.231663105973927e-127,1.9596363513820396e-116,4.82171013925475e-85,2.080792988315066e-125,1.1384541312829752e-98,7.648279817594669e-112,1.559498936453919e-130,1.242010977507403e-147,2.4871837107004044e-180,7.827306895936173e-178,7.536911821878336e-103,2.888060489335066e-142,8.109913959984275e-142,3.000671073761431e-142,3.76,0.0,0.8690755604529763,0.9999999999999999,1.0385730655042992e-39,4.9518395045258474e-111,6.857422359021741e-15,6.857422359066833e-15,1.2553322018891525e-16,7.584385298213938e-32,9.032925850778065e-31,4.5088455497617616e-26,6.039184954052683e-35,1.5312226065298453e-29,1.4362576547685088e-29,2.053311963082026e-30
9.822128749605533e-18,0.765019735859073,2.070245665095783e-25,6.858708025769058e-23,5.871576296053726e-29,7.566049306478994e-36,0.0,0.0,2.546531037889708e-16,4.8170947542702857e-29,3.644503823987444e-46,1.73865049872948e-35,1.4486686186499275e-46,4.50773908144551e-54,3.9026763254336686e-36,8.614597117884573e-81,1.5383796455793244e-82,4.361842374108501e-73,2.886561842432107e-87,9.598071427753442e-102,1.1857617367743881e-124,2.67963695182564e-114,2.8550852862766388e-83,1.018042593030338e-122,1.3478342605837067e-96,1.0458375751448146e-109,7.629951798353595e-128,1.2237134677379128e-144,1.6870938996797378e-176,3.1326262881141996e-174,1.0187998950158927e-100,1.7506785243753472e-139,7.935725189204663e-139,2.956464693608999e-139,3.76,0.0,0.8690755604529691,0.9999999999999998,8.514849551797208e-39,1.1895149967663234e-108,1.3910771071065537e-14,1.391077107124975e-14,2.5465310381176104e-16,3.0984688855177136e-31,3.690244938596972e-30,1.8420105269875412e-25,2.5544330117954907e-34,6.255543972462504e-29,5.867581159064843e-29,8.388449348359051e-30
1.9782597340754805e-17,0.7650197358590749,7.906611680637898e-25,1.3814017580516058e-22,2.373385065898952e-28,5.741771606816944e-35,0.0,0.0,5.128928710113791e-16,1.9471467183894156e-28,2.9514136863119805e-45,1.4080042512899746e-34,1.173169406384809e-45,3.6504839774513297e-53,1.577524168852774e-35,5.2655375733168084e-79,9.403104600929823e-81,1.4237779985994063e-71,1.900641934301869e-85,6.319801215891295e-100,4.7303368867487354e-122,3.5440763884798856e-112,1.7451261631608156e-81,5.0557850360762426e-120,1.6472462542566395e-94,1.3832203214399724e-107,3.789171122920824e-125,1.2187824350201179e-141,1.2226623487954274e-172,1.2597113404850618e-170,1.3398587177979162e-98,1.0899079671678844e-136,7.881945790060364e-136,2.9445514257120027e-136,3.76,0.0,0.8690755604529548,0.9999999999999996,6.895546061232588e-38,2.928473499655862e-106,2.8017468494870642e-14,2.8017468495615263e-14,5.128928710573357e-16,1.252450678979694e-30,1.4916559992017828e-29,7.445701061438354e-25,1.1030640567918099e-33,2.5285908905287933e-28,2.371770119047445e-28,3.390745346350991e-29
3.9703534523053354e-17,0.7650197358590785,3.0868801134582555e-24,2.7724636712635173e-22,9.543277355600933e-28,4.466770472844852e-34,0.0,0.0,1.0293724054555614e-15,7.829391315976817e-28,2.3755545011337356e-44,1.133284314815189e-33,9.44268801258405e-45,2.938227087194438e-52,6.343155298402751e-35,3.2865171409196618e-77,5.869004621496018e-79,4.6014044648072215e-70,1.233722922082857e-83,4.10223697595573e-98,2.059804172081132e-119,4.6109405415949375e-110,1.089231059505624e-79,2.5436188382990243e-117,2.0559247135655914e-92,1.7996075876495674e-105,1.9063714110296664e-122,1.2277801197054982e-138,9.337028832958922e-169,5.1175625372477744e-167,1.738315148440106e-96,7.331338378202141e-134,7.93088225959414e-133,2.966289629361508e-133,3.76,0.0,0.869075560452926,0.999999999999999,5.550135581205982e-37,7.336344962952529e-104,5.623086334135088e-14,5.6230863344344954e-14,1.0293724055480177e-15,5.036049217619023e-30,5.99788311173052e-29,2.9938836487861816e-24,5.0025040506212165e-33,1.0167352753851547e-27,9.536783334467466e-28,1.3634037907104837e-28
7.954540888765045e-17,0.7650197358590862,1.2195100971662432e-23,5.554587506739462e-22,3.827281366636356e-27,3.5223111334032245e-33,0.0,0.0,2.06233147434139e-15,3.139936095757426e-27,1.9062328786827005e-43,9.093892905258448e-33,7.577162443450338e-44,2.3577421899225397e-51,2.543888977192433e-34,2.0760024766878526e-75,3.70728877691589e-77,1.4797427164935495e-68,7.951668339248648e-82,2.6439994978046682e-96,9.594370855468757e-117,5.950174497389216e-108,6.8803730757286655e-78,1.2901848756252529e-114,2.5970910189779073e-90,2.3222983290885173e-103,9.669574037026547e-120,1.2461593983402566e-135,7.366218320406614e-165,2.1006954626340733e-163,2.2400779688906683e-94,5.485737532347976e-131,8.045406728450813e-130,3.010693552790584e-130,3.76,0.0,0.8690755604528685,0.999999999999998,4.453634609105293e-36,1.856820419265224e-101,1.1265765302979145e-13,1.1265765304179907e-13,2.0623314745275116e-15,2.0196810771062366e-29,2.40541934504987e-28,1.2006812473727187e-23,2.461119454248048e-32,4.077563195851668e-27,3.8246766601950476e-27,5.467858997858681e-28
