Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179)
0.0,0.691693655339037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6115216493961995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.572026421547436e-19,0.691693655339037,6.828678206158155e-28,8.626065394315302e-25,1.9559116913690813e-31,2.163281775896132e-39,0.0,0.0,6.536745204322508e-18,7.350521935181045e-32,1.6683013525642733e-50,4.857134503604475e-39,6.631398765798389e-51,8.044352687798957e-59,1.1783555005920101e-39,1.731558325189533e-88,3.738752653188462e-90,8.691710181618447e-80,2.336358134233626e-95,8.287605640481047e-111,1.3568905255765219e-135,4.940297741858235e-124,4.904849740739542e-91,1.1751208780838044e-138,3.815840957458894e-105,4.3217077902979195e-119,-9.765693593432164e-154,7.2540680299074325e-183,7.856320276054261e-244,-6.933829943991716e-215,-1.966779037895127e-109,-2.5863867174399452e-151,-2.6300638983016794e-160,2.162281697457043e-180,3.76,0.0,0.6115216493961991,1.0,2.7680961948975273e-42,-1.3135153876484859e-118,2.4740103266141336e-16,2.474010326618137e-16,6.5367452046047056e-18,7.2836805819348554e-34,8.787109764661533e-33,4.003182095823471e-28,1.3947872998555847e-37,2.925023298200373e-31,1.9554607469617831e-31,1.1176153527895566e-32,3.079761756329099e-47
2.4001673980332817e-18,0.6916936553390373,3.2093854268401702e-27,2.4152983105444612e-24,1.1813706635395696e-30,2.0464113405373852e-38,0.0,0.0,1.830288657210249e-17,4.439715248848416e-31,1.980607365716882e-49,5.76639008260917e-38,7.872796614498884e-50,9.550255510296643e-58,7.117267223370195e-39,1.1256299777074887e-86,2.4304419678243053e-88,5.287591458780691e-78,1.802838605179394e-93,6.395087796655958e-109,4.160811129790472e-133,5.264270610789559e-122,3.188483905700066e-89,1.0284819350562102e-130,4.503156656267071e-103,4.605115021120098e-117,5.750300466730224e-137,1.4508850084874674e-154,1.6643471603369463e-188,7.0328614573021625e-186,1.9904314910710394e-107,1.4503128631771363e-148,1.9398921808914867e-148,8.544316349848664e-149,3.76,0.0,0.6115216493961988,1.0,3.286283807556605e-41,4.2903887825196194e-116,6.927228914506601e-16,6.927228914530782e-16,1.8302886572891823e-17,4.399343082040405e-33,5.307414294173356e-32,2.4179219858452966e-27,8.707783374924495e-37,1.7667140720644937e-30,1.1810982911650261e-30,6.750396730840468e-32,4.654135966163874e-46
5.4860969097903585e-18,0.6916936553390373,1.3451842755644892e-26,5.520681853315045e-24,5.6877912277909626e-30,1.7387660622625946e-37,0.0,0.0,4.18351693076603e-17,2.1375317787492455e-30,1.9445720564019056e-48,5.661475977184186e-37,7.729558400618011e-49,9.376497490857697e-57,3.4266577954132455e-38,1.032035730596868e-84,2.2283547625575877e-86,2.3870715365242295e-76,1.9648217012664706e-91,6.969679508563201e-107,2.516109001953019e-130,1.1980248220292181e-119,2.923366778142092e-87,1.0621667954234176e-127,8.232513712096798e-101,1.0480164335946933e-114,5.938635972257559e-134,3.0283726998423357e-151,2.1155214054315674e-184,6.711490046559645e-182,4.168269573562399e-105,1.5797842377783548e-145,4.008818847735184e-145,1.783420065563701e-145,3.76,0.0,0.6115216493961979,1.0,3.2264929401927665e-40,1.8080357979624503e-113,1.5833666090239633e-15,1.583366609035605e-15,4.183516930946066e-17,2.1180943290542854e-32,2.5552915140402583e-31,1.1641253534173459e-26,4.4809435936210095e-36,8.505967750438712e-30,5.686479852166511e-30,3.25002544589929e-31,5.0067070920269404e-45
1.1657955933304512e-17,0.6916936553390375,5.469444587781812e-26,1.1731448941035237e-23,2.484007878304731e-29,1.4214099647400312e-36,0.0,0.0,8.889973477876736e-17,9.335162857665433e-30,1.719951962130939e-47,5.00751138737997e-36,6.836706869914668e-48,8.293405842727505e-56,1.4965114854332563e-37,7.696252695764213e-83,1.6617623512543138e-84,9.013127925881554e-75,1.607346147545989e-89,5.701630585313611e-105,1.2616817597192776e-127,2.0246089858181605e-117,2.1800572080851957e-85,7.40065378192494e-125,1.2293710693778205e-98,1.771101445657314e-112,4.1377485653128824e-131,4.40654420005699e-148,2.890455072630876e-180,4.1580055671937393e-178,6.69864380010474e-103,1.233344943993359e-142,5.587740265249193e-142,2.5950304415629894e-142,3.76,0.0,0.6115216493961961,1.0,2.853796485473992e-39,5.734824440937775e-111,3.3646540441498103e-15,3.364654044200653e-15,8.889973478257667e-17,9.250274502609436e-32,1.1159629344045886e-30,5.0840412611985716e-26,2.2104454005339697e-35,3.7147795879622337e-29,2.4834351486431663e-29,1.419371498029544e-30,4.602026397242818e-44
2.4001673980332817e-17,0.6916936553390379,2.2021040597353746e-25,2.415298312519271e-23,1.0370244060032841e-28,1.1467030609937943e-35,0.0,0.0,1.8302886572094718e-16,3.897246730019943e-29,1.4457232587504433e-46,4.209115045844082e-35,5.746664065025617e-47,6.971107321827996e-55,6.2476408612714634e-37,5.280051501666118e-81,1.1400601188259876e-82,3.12707277880813e-73,1.1568186957475265e-87,4.103504939569038e-103,6.084730380322367e-125,2.9644735287361252e-115,1.4956388255800782e-83,4.364108609532184e-122,1.6878297652141647e-96,2.5932826615845145e-110,2.439998492074006e-128,5.313560842684651e-145,2.947580470010062e-176,2.0701711493117407e-174,9.577141363710621e-101,8.607377548473553e-140,6.5910421975665104e-139,3.1291759501214255e-139,3.76,0.0,0.6115216493961925,0.9999999999999999,2.398787931710069e-38,1.6206760005557089e-108,6.9272289143184594e-15,6.927228914530718e-15,1.8302886572872211e-16,3.861807591738808e-31,4.658925545856706e-30,2.1224871467580897e-25,1.1346752029282816e-34,1.550847352028821e-28,1.036785288040669e-28,5.92559660037137e-30,3.937130472141541e-43
4.868911007438943e-17,0.6916936553390388,8.833653415154104e-25,4.8996051528384064e-23,4.236583190599983e-28,9.206225110148429e-35,0.0,0.0,3.712871276051693e-16,1.592152453236907e-28,1.1852912739508553e-45,3.450886817874391e-34,4.711462396655482e-46,5.715334952155299e-54,2.5523651460746062e-36,3.4928232964014675e-79,7.541647146856948e-81,1.0414457954744564e-71,7.841293795215673e-86,2.7814892624945245e-101,2.9691099957426706e-122,4.0536667924728684e-113,9.893847001428265e-82,2.3908301687036993e-119,2.2336564295991044e-94,3.546094716351357e-108,1.3367270175523672e-125,5.886593276091192e-142,2.671211061109379e-172,9.351455846881272e-171,1.2945873378516672e-98,6.069525294260918e-137,7.222180819740122e-136,3.466636900807752e-136,3.76,0.0,0.6115216493961851,0.9999999999999997,1.96667132678739e-37,4.3504717874085946e-106,1.4052378654323589e-14,1.4052378655190738e-14,3.712871276206665e-16,1.5776744733961643e-30,1.9033230799741548e-29,8.67105254304851e-25,6.36684441432613e-34,6.335717459101853e-28,4.235606196362068e-28,2.420799558655605e-29,3.255295610997345e-42
9.806398226250266e-17,0.6916936553390407,3.538167273560432e-24,9.868218847433697e-23,1.7124947592640384e-27,7.376827167170935e-34,0.0,0.0,7.4780365137306425e-16,6.4357347792130085e-28,9.598796035984448e-45,2.794617614217694e-33,3.8154643973966185e-45,4.628426413236112e-53,1.0317067998353446e-35,2.2717247639933568e-77,4.9050710890900157e-79,3.3994525298634806e-70,5.1630599329652875e-84,1.8314574264177713e-99,1.4755333310342114e-119,5.3613623776341005e-111,6.43493693849399e-80,1.2653100586450039e-116,2.9059120245706598e-92,4.690049815288087e-106,7.0744216813782e-123,6.265096183628355e-139,2.2968539297243268e-168,4.048358812296113e-167,1.7025562501065928e-96,4.611321680998102e-134,7.644727257026112e-133,3.689538679076363e-133,3.76,0.0,0.6115216493961705,0.9999999999999993,1.5926615135825818e-36,1.1398899705003684e-103,2.830267813300516e-14,2.830267813651032e-14,7.4780365140317e-16,6.377212991307371e-30,7.693536022484686e-29,3.504978074517318e-24,3.973294288103673e-33,2.5609982939776387e-27,1.7120997460915618e-27,9.785258868213478e-29,2.647152328269462e-41
1.9681372663872912e-16,0.6916936553390444,1.41617393779719e-23,1.9805446292503946e-22,6.885866884685085e-27,5.905956607824283e-33,0.0,0.0,1.5008366989066567e-15,2.587780649294509e-27,7.725946113288543e-44,2.249351380261084e-32,3.0710176779605516e-44,3.7253602235267705e-52,4.1484476578564e-35,1.465515743743957e-75,3.1643177109561243e-77,1.0986443141822305e-68,3.3513863188715104e-82,1.1888146627428338e-97,7.43068147401601e-117,6.975279408077345e-109,4.1512519027830194e-78,6.585350555568079e-114,3.7495144311884093e-90,6.101883615106943e-104,3.6819073072966704e-120,6.539260353305729e-136,1.9267331405079015e-164,1.7288163236660977e-163,2.2088741712114725e-94,3.846747465136969e-131,7.957590170516736e-130,3.850994975398739e-130,3.76,0.0,0.6115216493961413,0.9999999999999986,1.281912679375113e-35,2.95184265891403e-101,5.6803277085053587e-14,5.680327709914767e-14,1.5008366989626352e-15,2.5642497151074496e-29,3.0935368509170636e-28,1.4093362670350215e-23,2.723292074348475e-32,1.029766148400163e-26,6.884277778195357e-27,3.9346095534377145e-28,2.1350242524084556e-40
3.9431321539118203e-16,0.6916936553390518,5.666475651989108e-23,3.967990140657595e-22,2.7615412210572306e-26,4.72651390998712e-32,0.0,0.0,3.0069027939650507e-15,1.0378157816556679e-26,6.199585172194632e-43,1.804962820410056e-31,2.4642982694478335e-43,2.9893669357533995e-51,1.6637130481053423e-34,9.416439102828233e-74,2.03318218712268e-75,3.533075455711645e-67,2.1600565175138422e-80,7.662222758123189e-96,3.771471167195142e-114,9.001228483166892e-107,2.6673213093857866e-76,3.3992705455432965e-111,4.818534309198614e-88,7.874158138757061e-102,1.900551421135478e-117,6.760189379894787e-133,1.5970045540675785e-160,7.431915282571619e-160,2.8464633423792663e-92,3.476681413199676e-128,8.215276025259177e-127,3.981100881456139e-127,3.76,0.0,0.6115216493960828,0.999999999999997,1.0286544095331842e-34,7.600026671154002e-99,1.138044749678915e-13,1.1380447502441512e-13,3.0069027940593973e-15,1.0283791609500909e-28,1.2406465216704843e-27,5.652068761637123e-23,1.9950342175282527e-31,4.1298228137827486e-26,2.760903295940553e-26,1.5779544103700953e-27,1.71496758710247e-39
