Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54)
0.0,0.7853199263165483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6373541775065105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.417855484118109e-20,0.7853199263165483,8.655198647648615e-28,5.156826034155611e-24,1.258481834068539e-32,3.2004292409505924e-18,0.0,0.0,4.369188441032198e-18,1.2744534142122218e-32,1.1963745441077189e-50,6.670425230760184e-41,4.7555177385098004e-51,4.8675651837525805e-58,8.901759781093122e-39,1.669793166811528e-67,2.353758949051633e-69,2.2840520325102913e-80,1.5251191813384164e-96,7.250654864383902e-110,-5.616041290293835e-117,3.671998994418012e-124,6.676442363913532e-70,-7.986486071642231e-115,5.270141129954588e-85,5.503646172847856e-120,-6.060030248339586e-119,-4.90266901712587e-137,4.047648010466171e-151,3.9929121443269716e-151,-6.430749570772116e-111,-7.788704062902594e-133,-9.783317392937016e-132,-3.766665111583613e-132,3.76,0.0,0.6373541775065101,1.0,2.1567000405108873e-44,-1.51666665867465e-98,2.548934433150716e-16,2.548934433151169e-16,4.3691884418523725e-18,6.957327955925589e-35,8.10478798154954e-34,4.534550589450261e-29,3.3721860369724214e-37,8.75180275742896e-33,1.25569426500649e-32,3.7169421660957804e-33,5.080287908122216e-37,3.221495173853905e-41,3.2004292409505924e-18,4.1441762694745726e-37
2.0769995355530705e-19,0.7853199263165483,2.5704610676836873e-27,1.4439112895718227e-23,7.601230280774704e-32,8.961201874661655e-18,0.0,0.0,1.2233727634890036e-17,7.697698621841277e-32,1.4203358587614203e-49,7.919128833946949e-40,5.645750659141293e-50,5.778773386114706e-57,5.376662907765378e-38,5.250096883344602e-66,7.400594737230354e-68,1.3281619467563601e-78,1.1768502856573202e-94,5.594930122675337e-108,9.760413786780755e-115,3.912799877188463e-122,2.099180302372878e-68,1.224141025752401e-112,3.0353314596147433e-83,5.864569904393842e-118,1.0532045568544583e-116,9.961661795029597e-135,1.2297536985169296e-148,1.21312388444782e-148,6.230252586013886e-109,1.5825754381522876e-130,3.048914621944568e-129,7.653431997559643e-130,3.76,0.0,0.6373541775065098,1.0,2.560434289020189e-43,7.859652971936549e-97,7.137016412820533e-16,7.137016412823273e-16,1.223372763718661e-17,4.202226085808983e-34,4.895291940575457e-33,2.738868556023599e-28,2.0371893855212186e-36,5.286088865460096e-32,7.584393360639308e-32,2.2450330683216947e-32,3.068493896510248e-36,1.945783102528172e-40,8.961201874661655e-18,2.5030824667743763e-36
4.747427509835589e-19,0.7853199263165487,6.56836525888799e-27,3.3003686619173524e-23,3.6596651779724016e-31,2.0482747142083762e-17,0.0,0.0,2.7962806022605213e-17,3.7061105285283216e-31,1.3944941686018394e-48,7.775047648938285e-39,5.543031475952635e-49,5.673633978069287e-56,2.588631744319577e-37,1.1712677339231978e-64,1.6510319752519377e-66,5.963183464314235e-77,1.2825890093025624e-92,6.097628534904219e-106,2.5377512282757927e-112,8.904617040920057e-120,4.683155779248275e-67,3.078532248797981e-110,1.361170027291425e-81,1.3346405732153893e-115,2.7383789418877607e-114,5.5232680982203726e-132,1.7643507369045356e-145,1.7404916302007073e-145,1.299634161534207e-106,8.77462878015418e-128,1.593704996468855e-126,4.243464359217387e-127,3.76,0.0,0.6373541775065088,1.0,2.5138495700890122e-42,8.249025517129953e-95,1.6313180372154273e-15,1.6313180372167459e-15,2.796280602785495e-17,2.0231909702280513e-33,2.3568723446139062e-32,1.3186473114055963e-27,9.812152283363805e-36,2.5450242418198472e-31,3.6515589226390326e-31,1.0808867819004105e-31,1.477347723688456e-35,9.368108223367087e-40,2.0482747142083762e-17,1.205126459180471e-35
1.0088283458400627e-18,0.7853199263165489,1.6916260782750013e-26,7.013283406740444e-23,1.5982719339181707e-30,4.352583767692791e-17,0.0,0.0,5.942096279803363e-17,1.6185558360486748e-30,1.2334142999720467e-47,6.876941595829366e-38,4.9027485675798475e-48,5.018265001604832e-55,1.13052349217578e-36,2.1936548388952123e-63,3.0922001663629128e-65,2.244954353467942e-75,1.0492374457830647e-90,4.988238744327834e-104,4.4458958816116387e-110,1.5048409150250335e-117,8.771032481150241e-66,5.3302451440036576e-108,5.121061839709741e-80,2.25548915726118e-113,4.797376324512192e-112,2.0250571790851005e-129,1.4434930443828765e-142,1.423972858365797e-142,2.083501762893331e-104,3.2171396862527287e-125,5.589591598715431e-124,1.5558285074489318e-124,3.76,0.0,0.6373541775065069,1.0,2.2234714797910726e-41,6.585971688414054e-93,3.4665508290798164e-15,3.4665508290855755e-15,5.942096280919107e-17,8.835806510689357e-33,1.0293080732220671e-31,5.7588792485342524e-27,4.288706064397731e-35,1.1114789501516335e-30,1.594731716558407e-30,4.720516550939101e-31,6.451965643381948e-35,4.091299134851468e-39,4.352583767692791e-17,5.26310386240955e-35
2.0769995355530705e-18,0.7853199263165493,4.702040039618223e-26,1.443911289691475e-22,6.672470726091525e-30,8.961201874661593e-17,0.0,0.0,1.2233727634888266e-16,6.757152002145578e-30,1.0367590378924957e-46,5.780483778036731e-37,4.1210555837015557e-47,4.2181541067675436e-54,4.719713035728153e-36,3.7889932106513218e-62,5.341006811396916e-64,7.77631325631094e-74,7.55143810018952e-89,3.590071652286404e-102,6.606204525316357e-108,2.2034185847960256e-115,1.5149777414670946e-64,7.880722342039348e-106,1.7732611258601466e-78,3.3025493068077666e-111,7.128473097115303e-110,6.159507726735923e-127,9.226467853552954e-140,9.10169941798346e-140,2.974756425660458e-102,9.785401094491872e-123,1.6620275500022576e-121,4.7322800583959446e-122,3.76,0.0,0.6373541775065031,0.9999999999999999,1.8689617588388887e-40,4.691273135817818e-91,7.137016412799163e-15,7.137016412823206e-15,1.2233727637186112e-16,3.6887752882292217e-32,4.297158583905043e-31,2.404218722465707e-26,1.7933598545009696e-34,4.640205821612234e-30,6.657690993065886e-30,1.9707227364616834e-30,2.6935686489462064e-34,1.7080369778273958e-38,8.961201874661593e-17,2.197242258233907e-34
4.213341914979086e-18,0.7853199263165506,1.4486207388503537e-25,2.9290771879375876e-22,2.725922027307398e-29,1.817843808859909e-16,0.0,0.0,2.4816990345054955e-16,2.7605170733137873e-29,8.499976975730689e-46,4.7391898432342155e-36,3.3786903510272676e-46,3.458297586486787e-53,1.9281567754482775e-35,6.295468888322188e-61,8.874162698244396e-63,2.5877001622742066e-72,5.118610631775705e-87,2.4334674645951707e-100,9.09466543503879e-106,3.01298854434786e-113,2.51715817758979e-63,1.0824115677769088e-103,5.899751459323693e-77,4.51600152177741e-109,9.8136649618579e-108,1.7157089800701799e-124,5.262705520626843e-137,5.191538575054919e-137,4.01826901698212e-100,2.725688682332897e-120,4.577474212194673e-119,1.3181597848480344e-119,3.76,0.0,0.6373541775064956,0.9999999999999998,1.5322877774318352e-39,3.16490555313134e-89,1.447794758020012e-14,1.447794758029835e-14,2.4816990349719253e-16,1.5069850696431672e-31,1.755529492642952e-30,9.822017958257884e-26,7.350236900030394e-34,1.8956754841512874e-29,2.719884005775907e-29,8.051045409430573e-30,1.1004106821014366e-33,6.97788940587314e-38,1.817843808859909e-16,8.976451568071804e-34
8.486026673831118e-18,0.7853199263165526,4.910789979039447e-25,5.899408985274823e-22,1.1018612820085987e-28,3.6612910516473645e-16,0.0,0.0,4.998351576537585e-16,1.115845137901374e-28,6.883501731182273e-45,3.8379188066508765e-35,2.736151044429328e-45,2.800619047344517e-52,7.793917971371927e-35,1.0263203181091868e-59,1.4467124919836238e-61,8.44316353921716e-71,3.3703230848341626e-85,1.6023042504433956e-98,1.2067741461047287e-103,3.984965804905637e-111,4.103603133044651e-62,1.434648545499167e-101,1.9247970304532808e-75,5.972962546797812e-107,1.3021784296634625e-105,4.5795303642421214e-122,2.8420083756958455e-134,2.803576231784396e-134,5.282663379606558e-98,7.275344584528778e-118,1.214948679920967e-116,3.5184013204404996e-117,3.76,0.0,0.6373541775064805,0.9999999999999996,1.2408863849929692e-38,2.0792137862825093e-87,2.9159809914851106e-14,2.915980991524817e-14,4.998351577478202e-16,6.091474618924236e-31,7.096130880420891e-30,3.9702166990684015e-25,2.990305899675946e-33,7.662623398038571e-29,1.09942060233893e-28,3.25436127962474e-29,4.448035917795829e-33,2.8205752995442066e-37,3.6612910516473645e-16,3.628425245486316e-33
1.703139619153518e-17,0.785319926316557,1.7856471540525604e-24,1.184007258332942e-21,4.430535872579396e-28,7.3481855372221e-16,0.0,0.0,1.0031656660596771e-15,4.486764222827636e-28,5.540441043487145e-44,3.0890909466697775e-34,2.202292399842223e-44,2.254181856667747e-51,3.1339001368012307e-34,1.6575100548060778e-58,2.3364445384920974e-60,2.728113647007135e-69,2.187705517066331e-83,1.0400693821001952e-96,1.5725551352549237e-101,5.184549821217648e-109,6.627330039404619e-61,1.8684721580807755e-99,6.219022104985781e-74,7.771295633094073e-105,1.6968770694984875e-103,1.1969668944423175e-119,1.4941482664762093e-131,1.4739430756673635e-131,6.8524189058487225e-96,1.9015806981333142e-115,3.1666459313886204e-114,9.196161049115044e-115,3.76,0.0,0.6373541775064503,0.999999999999999,9.987733424068987e-38,1.3481460684688608e-85,5.852353458354937e-14,5.852353458514595e-14,1.0031656662489351e-15,2.4493551700751312e-30,2.8533230059545984e-29,1.5964066728747386e-24,1.2178476567645977e-32,3.0811071658364783e-28,4.420721887734283e-28,1.3085643573296257e-28,1.788535679542692e-32,1.1341415939674923e-36,7.3481855372220995e-16,1.4589738332656875e-32
3.41221352269433e-17,0.7853199263165657,6.783320698360862e-24,2.3721399792959745e-21,1.776843141107924e-27,1.472197450837087e-15,0.0,0.0,2.0098266828695174e-15,1.7993931287710656e-27,4.445855011189584e-43,2.4788009400478256e-33,1.7672009545794204e-43,1.808838974979385e-50,1.256834121492829e-33,2.6643990024347657e-57,3.7557663557696644e-59,8.772285359386912e-68,1.4100336788031613e-81,6.703520402012616e-95,2.030905661123997e-99,6.690387044816822e-107,1.0653239538427815e-59,2.4124158680978447e-97,1.9996883996688638e-72,1.0029239229641307e-102,2.191463541994217e-101,3.0961423385495223e-117,7.751653496131801e-129,7.646828798895783e-129,8.829561938698307e-94,4.918736221950738e-113,8.1795478268315675e-112,2.378731053997449e-112,3.76,0.0,0.6373541775063898,0.999999999999998,8.014527469980836e-37,8.684414184922507e-84,1.1725098391853107e-13,1.17250983924934e-13,2.009826683250603e-15,9.823009869908616e-30,1.1443101344388946e-28,6.402304767173681e-24,5.008107526769118e-32,1.2356617785260807e-27,1.7729071986037853e-27,5.247928342552414e-28,7.172828018461237e-32,4.548420433941175e-36,1.4721974508370865e-15,5.851137616997566e-32
