Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390)
0.0,0.6790127296935681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2822711576864704e-18,0.6790127296935683,8.916407444200406e-28,8.0011969587798895e-25,3.3148767365749154e-31,1.3042313146984432e-18,0.0,0.0,7.448807730544654e-18,1.066408668969596e-31,3.766746422289859e-44,1.0786349302744025e-38,1.0695335040136314e-50,9.264505368337679e-59,1.1287036388122008e-39,1.5026491471114845e-67,3.395944799340472e-69,5.65642088621767e-79,2.1302391825951977e-78,1.9392146109660608e-104,-1.2894362601724215e-116,1.4064108735523078e-123,4.0953706077453057e-70,-7.420051674975023e-112,4.689563389135097e-84,-7.165834852763482e-108,-2.2163977022090036e-118,-7.515033294706874e-136,3.4938697799008903e-149,1.0552740117622123e-149,-2.019726829010339e-108,-5.603401857951413e-128,-6.5410661290001084e-130,-5.459513102614301e-130,3.76,0.0,0.5812178323045863,1.0,6.498270301566809e-42,-6.136931926008218e-97,2.6209314039810873e-16,2.62093140398731e-16,7.448807730814045e-18,1.1531672078420464e-33,1.3945462307019657e-32,6.215763876444597e-28,1.6072361250384135e-37,5.375378530367322e-31,3.31429126622622e-31,1.539391364644733e-32,1.0206167996687186e-36,4.034771728700663e-41,1.3042313146984432e-18,4.0792502753689656e-37,3.5811980229564587e-37,7.536728188374683e-31,8.20819673910444e-54
3.590359241522117e-18,0.6790127296935683,4.510966694614616e-27,2.240337590537209e-24,2.0021855532319735e-30,3.651847681155639e-18,0.0,0.0,2.0856661645524262e-17,6.441108360574631e-31,4.47188135253299e-43,1.2805553891994512e-37,1.2697501759087985e-49,1.0998820772155868e-57,6.817369978132846e-39,4.7245693421298356e-66,1.0677393799850133e-67,3.3352165013045743e-77,1.2959284504388588e-76,1.4963848705793843e-102,2.2429082711855574e-114,1.4986399241103577e-121,1.2876500460125782e-68,1.2834886101345023e-109,2.7009484063407655e-82,7.252011068316721e-106,3.85199423763757e-116,1.5269686738466578e-133,1.061505168602929e-146,3.2061264109312546e-147,1.9874357889874358e-106,1.1385470646611474e-125,2.0076303427409985e-127,1.109310518218661e-127,3.76,0.0,0.581217832304586,1.0,7.714746517336844e-41,3.180273989478023e-95,7.338607931126877e-16,7.338607931164466e-16,2.085666164627685e-17,6.965129962213384e-33,8.423059224613359e-32,3.754321381301082e-27,1.0336766085775612e-36,3.2467286322200056e-30,2.0018319248008915e-30,9.29792384243645e-32,6.164525470596556e-36,2.43700254514351e-40,3.651847681155639e-18,2.4638671685673348e-36,2.1630436061068663e-36,4.552183825767716e-30,9.744772707024282e-53
8.206535409193411e-18,0.6790127296935684,1.9807109035723945e-26,5.120783148171042e-24,9.63966161507072e-30,8.347080414070023e-18,0.0,0.0,4.767236947548038e-17,3.101116409360988e-30,4.390519629791514e-42,1.2572568746586531e-36,1.2466482521041153e-48,1.0798707453816903e-56,3.282270181226607e-38,1.0540254302890086e-64,2.382067820275388e-66,1.5000198035693314e-75,5.850440491943264e-75,1.630833430452658e-100,5.859647497804703e-112,3.410553830026039e-119,2.8726764241376245e-67,3.3332576648783496e-107,1.2112186311321813e-80,1.5186826183547019e-103,1.0015357258365579e-113,8.466315698669723e-131,1.5229614096504483e-143,4.599889800492704e-144,4.155880497069683e-104,6.312702443528932e-123,1.0512477490659265e-124,6.150599689453706e-125,3.76,0.0,0.581217832304585,1.0,7.574383910988113e-40,3.337826922741173e-93,1.6773960985337775e-15,1.6773960985518757e-15,4.7672369477192535e-17,3.3534102806758025e-32,4.055340425641543e-31,1.807544135162907e-26,5.617432487256156e-36,1.5631600764480304e-29,9.637959002189655e-30,4.476550088360173e-31,2.9679536543158047e-35,1.1733122381895723e-39,8.347080414070023e-18,1.1862459833836996e-35,1.0414123854267725e-35,2.1916805571634672e-29,9.56747879991729e-52
1.7438887744536e-17,0.6790127296935685,8.262935547895275e-26,1.0881713336700564e-23,4.209893522731369e-29,1.7737545879898758e-17,0.0,0.0,1.0130378513538024e-16,1.3543390095887019e-29,3.883364891461907e-41,1.112029467570398e-35,1.1026462609321288e-47,9.551334447154529e-56,1.4334536208375795e-37,1.9740729792236827e-63,4.46134939803293e-65,5.6523465809020716e-74,2.209015011649481e-73,1.3341230045521319e-98,1.0371585441737748e-109,5.763685202094877e-117,5.380205036000463e-66,5.837206975849911e-105,4.556907208971083e-79,2.440608441350863e-101,1.7545941886715182e-111,3.104099436025903e-128,1.2460018040317532e-140,3.763372435604009e-141,6.671332222704201e-102,2.3144962646828503e-120,3.6921345411755406e-122,2.255062732266106e-122,3.76,0.0,0.581217832304583,1.0,6.699456849815175e-39,2.6649006688650416e-91,3.564466709343686e-15,3.564466709422725e-15,1.0130378513898417e-16,1.4645223955729004e-31,1.7710736993103973e-30,7.894020121977088e-26,3.016232708612045e-35,6.826730731677699e-29,4.209149908111232e-29,1.955027033071161e-30,1.2961833364797826e-34,5.124166440642967e-39,1.7737545879898758e-17,5.180647883603296e-35,4.5481214927320583e-35,9.571644799071637e-29,8.462332251765862e-51
3.5903592415221176e-17,0.6790127296935691,3.371936953944862e-25,2.2403730006809252e-23,1.757547706285122e-28,3.651847681155611e-17,0.0,0.0,2.0856661645513043e-16,5.654098762852631e-29,3.2642021815010624e-40,9.347277721532963e-35,9.26840621378546e-47,8.028472106713512e-55,5.984386688897045e-37,3.4097201527626605e-62,7.705871623131005e-64,1.9589083964125756e-72,7.664099265827094e-72,9.601780152859098e-97,1.5730132525049317e-107,8.439304758520575e-115,9.292966302329908e-65,8.672101209569346e-103,1.5779122879197557e-77,3.48937079798624e-99,2.607170381601075e-109,9.441572645066477e-126,7.9641503152159e-138,2.405459098877597e-138,9.531754575728313e-100,7.039879035165911e-118,1.0986330168930573e-119,6.859103263282129e-120,3.76,0.0,0.5812178323045791,0.9999999999999999,5.631297251918755e-38,1.898243344119647e-89,7.338607930834414e-15,7.33860793116439e-15,2.085666164624086e-16,6.1140929105000355e-31,7.393883992051927e-30,3.295598006294126e-25,1.7296951396927362e-34,2.850025695100833e-28,1.7572372293566792e-28,8.161853015097313e-30,5.41131027991399e-34,2.139241657172815e-38,3.651847681155611e-17,2.162818526376235e-34,1.8987511949697073e-34,3.995973285328463e-28,7.113109559010756e-50
7.283300175659153e-17,0.6790127296935702,1.3620017632221392e-24,4.5448388519242995e-23,7.180156119173648e-28,7.408033867487029e-17,0.0,0.0,4.230922790944328e-16,2.3098838333144405e-28,2.6761901630845665e-39,7.663463012525536e-34,7.598799381737914e-46,6.582226481141939e-54,2.4448172263539394e-36,5.6653010252859785e-61,1.2803420943816957e-62,6.5202950072244246e-71,2.552465044308745e-70,6.508399232013174e-95,2.253552839179505e-105,1.1540035451159692e-112,1.5440402715860833e-63,1.1937821888840284e-100,5.249813566060879e-76,4.716746973728648e-97,3.5892534409103907e-107,2.6299164968880686e-123,4.542689407579129e-135,1.3720551640617639e-135,1.2879957153932178e-97,1.9609332657019047e-115,3.0269200539878207e-117,1.910578824668825e-117,3.76,0.0,0.5812178323045714,0.9999999999999997,4.616877874994778e-37,1.2806248392504464e-87,1.488689037329953e-14,1.4886890374647587e-14,4.2309227910862176e-16,2.4978066159690534e-30,3.020642813299707e-29,1.3463593178494475e-24,1.0911164083338272e-33,1.1643284897524155e-27,7.178887454326584e-28,3.3343832712641175e-29,2.210696819573293e-33,8.739525002474471e-38,7.408033867487032e-17,8.835819523141746e-34,7.757018192634072e-34,1.6324854723895767e-27,5.83177239389131e-49
1.466918204393322e-16,0.6790127296935721,5.474335449906051e-24,9.154020623311838e-23,2.9023341186777395e-27,1.4920406240149664e-16,0.0,0.0,8.521436043722454e-16,9.336919772821587e-28,2.167248178820927e-38,6.206071032481173e-33,6.153704742049501e-45,5.330457641069588e-53,9.882342107095701e-36,9.235870502386229e-60,2.0872807525430708e-61,2.127725253772599e-69,8.331671024297948e-69,4.285422298550048e-93,3.2239289949239013e-103,1.5262801739745674e-110,2.5171754089102275e-62,1.58397395403123e-98,1.712754446237226e-74,6.20315587338737e-95,4.762592177433619e-105,7.019711738922289e-121,2.453179503822883e-132,7.409482145231321e-133,1.6935801331922818e-95,5.234077236613909e-113,8.035513334459759e-115,5.099672378273473e-115,3.76,0.0,0.5812178323045557,0.9999999999999992,3.7388676617039816e-36,8.413182573879524e-86,2.998345525616439e-14,2.9983455261613456e-14,8.521436043985062e-16,1.0096535033277794e-29,1.2209920774446328e-28,5.442199623551076e-24,7.5188437071304e-33,4.706401909666905e-27,2.9018210895864634e-27,1.347811030358401e-28,8.935990033196742e-33,3.5326757998322326e-37,1.492040624014967e-16,3.571579631037365e-33,3.1355107887684955e-33,6.598767290845754e-27,4.7227454589353833e-48
2.9440945780481357e-16,0.6790127296935756,2.1949873019726393e-23,1.837338444180402e-22,1.1670159566823921e-26,2.994515098547412e-16,0.0,0.0,1.7102462549247028e-15,3.7543343753176874e-27,1.7443898803870584e-37,4.995185876868726e-32,4.953036921386008e-44,4.290416018112847e-52,3.9736462855063796e-35,1.491595547677131e-58,3.370963981210705e-60,6.875455029086275e-68,2.6926521047682663e-67,2.7817042274767316e-91,4.8102258966035217e-101,1.9857323939300337e-108,4.0652452370877574e-61,2.0640486903943635e-96,5.533912175432527e-73,8.04789316978762e-93,6.20616440395126e-103,1.8347651205955488e-118,1.289726631066618e-129,3.895437095022362e-130,2.1970274768560586e-93,1.3680479254442175e-110,2.094573412976133e-112,1.3329181072219807e-112,3.76,0.0,0.5812178323045245,0.9999999999999983,3.0093663834229695e-35,5.455042246553208e-84,6.017658501363261e-14,6.017658503554304e-14,1.7102462549681068e-15,4.0597733975666147e-29,4.909555091475224e-28,2.1882845301269006e-23,5.523045958754264e-32,1.8924235035270767e-26,1.1668094974599819e-26,5.4194888734784195e-28,3.593122313331791e-32,1.4204895344224434e-36,2.994515098547414e-16,1.4361165474576962e-32,1.260775106737688e-32,2.6533353047951646e-26,3.8013166189696573e-47
5.898447325357763e-16,0.6790127296935835,8.790442888388184e-23,3.681611318256826e-22,4.680257330477602e-26,5.999464047611982e-16,0.0,0.0,3.4264515560169443e-15,1.5056560011561773e-26,1.3997630207586269e-36,4.008322070660135e-31,3.974500173602601e-43,3.442788604219444e-51,1.5936098768278979e-34,2.3976962615368776e-57,5.418726116287494e-59,2.2108846327193454e-66,8.659165630244979e-66,1.7928814401487355e-89,7.785580457928472e-99,2.5624826216873606e-106,6.534763721515498e-60,2.665630295383114e-94,1.7793954922676245e-71,1.0370908982651811e-90,8.01506670013849e-101,4.74590736464234e-116,6.691112314935024e-127,2.0209559500807475e-127,2.831066935960468e-91,3.538670037806188e-108,5.410601892020836e-110,3.4478013702047034e-110,3.76,0.0,0.5812178323044621,0.9999999999999967,2.414827665683809e-34,3.513999532629721e-82,1.205628444955229e-13,1.2056284458339362e-13,3.4264515560666342e-15,1.628151565946185e-28,1.9689508955687778e-27,8.775999677211078e-23,4.220017515584904e-31,7.589464617402263e-26,4.6794279531981116e-26,2.1734574302595325e-27,1.4410027723334215e-31,5.6969277598897096e-36,5.999464047611986e-16,5.759470365493192e-32,5.056272146066126e-32,1.0641061302071878e-25,3.050381710278256e-46
