Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702)
0.0,0.6097052609073709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8956061086532225e-17,0.609705260907371,1.0106038037867971e-26,4.7002134476977445e-26,1.109630820450341e-29,3.634733561811495e-19,0.0,0.0,1.3039186160091056e-17,1.376893640834255e-30,5.563178188431997e-42,2.2271994539572232e-36,1.0438831234920871e-50,7.758804119209303e-60,4.673763382130167e-41,3.668077950379128e-68,1.413015434879296e-69,1.018622602795329e-77,4.931609639896857e-76,4.3116691968732574e-104,-9.57026434706043e-115,5.542732495187305e-124,6.215437105624247e-71,-4.30338712200574e-109,1.1230313670151767e-83,-5.1529902680702355e-105,-9.603694922557799e-119,-1.3402989902261614e-135,3.177802278871996e-148,2.605928090171813e-149,-4.618985918093162e-106,-8.15678438781072e-125,-1.7900091576315115e-128,-1.0091729930706397e-128,3.76,0.0,0.795459868702869,1.0,4.478788020468389e-39,-9.455484577022834e-96,2.642533774733547e-16,2.6425337748343164e-16,1.3039186160092447e-17,2.3788460026158918e-32,2.8973782862795744e-31,1.0050774009156099e-26,2.257978085514158e-36,4.5468565175859217e-29,1.1096226068422743e-29,5.693694905909569e-32,1.7621448186522562e-36,3.891093557472925e-41,3.6347335618114954e-19,3.303351111256386e-37,2.0690437285403115e-37,2.574221201967408e-29,3.875480835125403e-52,4.021337683371444e-40
8.107697104229023e-17,0.6097052609073711,6.086348049668977e-26,1.3168938156230315e-25,6.702170233484705e-29,1.0177253973072181e-18,0.0,0.0,3.650972124824859e-17,8.316437590631752e-30,6.604605145084315e-41,2.6441311911316624e-35,1.2392980432956906e-49,9.21125222953026e-59,2.822953080504959e-40,1.15330239563274e-66,4.442746606222564e-68,6.135092430173208e-76,3.000138806238086e-74,3.327077112237663e-102,3.042427024483315e-112,5.906214074255342e-122,1.954232911965544e-69,7.478620275404662e-107,6.468085675830453e-82,5.214960046038069e-103,1.6690766927027803e-116,2.7233340053642137e-133,9.654777520886218e-146,7.917313204827964e-147,4.6444529801759513e-104,1.6573651371205324e-122,4.275150827780216e-126,2.0505239093534867e-126,3.76,0.0,0.7954598687028683,1.0,5.317217194543868e-38,4.900010631740725e-94,7.399094568927436e-16,7.399094569536079e-16,3.650972124808003e-17,1.436823256426148e-31,1.7500164351553147e-30,6.070667500010109e-26,2.6627214772431345e-35,2.7463013359134013e-28,6.702120545322256e-29,3.4389917230492725e-31,1.0643354811886195e-35,2.3502295724244595e-40,1.0177253973072183e-18,1.995224121585157e-36,1.2497024270977023e-36,1.5548296059312059e-28,4.600987084146224e-51,2.4288879607563514e-39
1.8531879095380624e-16,0.6097052609073711,2.9264466131850196e-25,3.013974958463216e-25,3.2268065428165587e-28,2.3262294795593535e-18,0.0,0.0,8.345079142453823e-17,4.0040067075352904e-29,6.484440495747665e-40,2.5960236816528456e-34,1.2167501659086195e-48,9.043662016887815e-58,1.3591303880709597e-39,2.5729541957727763e-65,9.911523266755799e-67,2.766377967319665e-74,1.3544060664438412e-72,3.626011378662702e-100,1.582480659870639e-109,1.3441178430322797e-119,4.35978631811874e-68,1.9444452912740677e-104,2.9005610936390426e-80,1.0920928141292949e-100,4.339674020404682e-114,1.5099592943983592e-130,1.3851890675921606e-142,1.1359117981894178e-143,9.735930529357204e-102,9.189302039798404e-120,2.3121741964625806e-123,1.1369180660230385e-123,3.76,0.0,0.7954598687028673,1.0,5.220475492253721e-37,5.1427604956217196e-92,1.691221615600923e-15,1.6912216158939589e-15,8.34507914233399e-17,6.917688238299015e-31,8.425575310137819e-30,2.9227650795823327e-25,2.6049740891637923e-34,1.3222258742512436e-27,3.2267825406897133e-28,1.655726478458155e-30,5.124317290416993e-35,1.1315433431147397e-39,2.3262294795593546e-18,9.60614577309874e-36,6.0167793840160184e-36,7.485835254464594e-28,4.517309866614552e-50,1.1694049983244149e-38
3.9380243077683824e-16,0.6097052609073713,1.2772722061110468e-24,6.421482049182363e-25,1.4092312628171308e-27,4.943237644063619e-18,0.0,0.0,1.7733293177701571e-16,1.7486549238484225e-28,5.735414183699644e-39,2.2961535451043823e-33,1.0762017390445136e-47,7.999016559378959e-57,5.93567945962957e-39,4.818858432479455e-64,1.8563186086738023e-65,1.0438648981076258e-72,5.113979597631299e-71,2.966302432641205e-98,5.574253228187813e-107,2.2715114571871422e-117,8.165397995297653e-67,3.4064632872243598e-102,1.0912635726764626e-78,1.755054616142656e-98,7.602691122255641e-112,5.536131592282151e-128,1.1332841775681287e-139,9.293394655253541e-141,1.5651325943962973e-99,3.369175892816625e-117,8.324889361581195e-121,4.1684090612584955e-121,3.76,0.0,0.7954598687028653,0.9999999999999999,4.617451666333196e-36,4.105948646099941e-90,3.59384593249489e-15,3.593845933774654e-15,1.7733293177099843e-16,3.021138621436773e-30,3.6796696523331885e-29,1.2764482968065552e-24,2.3000623966017724e-33,5.774507766352448e-27,1.4092207106818133e-27,7.230992528640685e-30,2.2379240812941188e-34,4.94182542103911e-39,4.943237644063622e-18,4.1952566709392624e-35,2.6276857619619026e-35,3.269260925613427e-27,3.995568544151801e-49,5.107098857881721e-38
8.107697104229022e-16,0.6097052609073718,5.330788024549787e-24,1.3289875454808636e-24,5.88326369763448e-27,1.0177253973072127e-17,0.0,0.0,3.650972124815637e-16,7.3002900836034805e-28,4.820961204620317e-38,1.9300554044464342e-32,9.04612401891662e-47,6.723655263296442e-56,2.478029313097278e-38,8.323379501138452e-63,3.2063287410896656e-64,3.6203975393582343e-71,1.7742770890038585e-69,2.134869382819888e-96,1.6619803818015965e-104,3.326062588249971e-115,1.410369696279221e-65,5.061689586739877e-100,3.778699254820443e-77,2.509225247943245e-96,1.1296920396287506e-109,1.6838954222384165e-125,7.243685700358216e-137,5.940119104804635e-138,2.2379436034350074e-97,1.0247841097712724e-114,2.5092086293420193e-118,1.267882596122907e-118,3.76,0.0,0.7954598687028613,0.9999999999999997,3.881246706949435e-35,2.9247205481703074e-88,7.399094564193254e-15,7.39909456953602e-15,3.6509721245487056e-16,1.2612679288892215e-29,1.536189273267903e-28,5.3289203584481396e-24,1.9316872282688843e-32,2.4107433157405484e-26,5.8832190614068596e-27,3.018797037434859e-29,9.34289327681881e-34,2.063180228986554e-38,1.0177253973072139e-17,1.7514374400215557e-34,1.0970071880223041e-34,1.3648520804864565e-26,3.358615410766724e-48,2.1321132397235283e-37
1.6447042697150304e-15,0.6097052609073726,2.1774862546905624e-23,2.724017919507589e-24,2.4035056631686486e-26,2.0645286631089066e-17,0.0,0.0,7.406257738890313e-16,2.982406701708179e-27,3.9525152634460115e-37,1.5823760232978895e-31,7.416558919475578e-46,5.512458595012695e-55,1.0123558164380854e-37,1.3829419276857182e-61,5.327363086372972e-63,1.2055286326763352e-69,5.909083485693754e-68,1.447083953746191e-94,4.584035739741221e-102,4.548491364080472e-113,2.343351180685775e-64,6.96834797498791e-98,1.257197022778483e-75,3.3918380304931376e-94,1.5552305180956522e-107,4.6904307854444274e-123,4.131741911875646e-134,3.388197674671539e-135,3.0252718083486206e-95,2.8544994974723557e-112,6.95801482748488e-116,3.531641819279948e-116,3.76,0.0,0.7954598687028533,0.9999999999999993,3.1820811342370426e-34,1.973124176890827e-86,1.50095918192317e-14,1.500959184105864e-14,7.406257737768353e-16,5.152707585117569e-29,6.2758313863539305e-28,2.1770378355244753e-23,1.5830426032417772e-31,9.848673007671442e-26,2.4034869512646277e-26,1.2332770899784404e-28,3.816877386709059e-33,8.429298678549478e-38,2.064528663108909e-17,7.155196393652493e-34,4.481633194077921e-34,5.575866085564403e-26,2.753758607356196e-47,8.710378275689786e-37
3.3125733882992864e-15,0.6097052609073742,8.801118289404078e-23,5.5994854649771815e-24,9.715358030491271e-26,4.158135194712278e-17,0.0,0.0,1.4916828966974536e-15,1.2055364733756819e-26,3.2008493324765356e-36,1.2814491193262083e-30,6.006121546356024e-45,4.464131540904422e-54,4.092103958080954e-37,2.2545442968226252e-60,8.684946154185496e-62,3.934692089370167e-68,1.928823260099391e-66,9.528250167276941e-93,1.217604602364118e-99,6.0178427216670565e-111,3.8202565831220915e-63,9.24632151932423e-96,4.1016117951927835e-74,4.460722622639417e-92,2.0636403828509647e-105,1.2519588107466294e-120,2.231256258480356e-131,1.8297215593272936e-132,3.978720474118316e-93,7.61916231797915e-110,1.853091775616678e-113,9.426575494098243e-114,3.76,0.0,0.7954598687028374,0.9999999999999986,2.5769327572537228e-33,1.296262098884577e-84,3.0230586295875475e-14,3.023058638410346e-14,1.4916828962376473e-15,2.0828201739097242e-28,2.5367889296093447e-27,8.799934934476125e-23,1.2817184428390456e-30,3.980991061425468e-25,9.715278541261746e-26,4.98510317578821e-28,1.542843377256677e-32,3.4076891805713897e-37,4.1581351947122686e-17,2.892247185976658e-33,1.8115485087380014e-33,2.253854219391788e-25,2.23032873435154e-46,3.5208741660004215e-36
6.648311625467798e-15,0.6097052609073776,3.5387650688208513e-22,1.1692047952062955e-23,3.9065058325146627e-25,8.34534825791905e-17,0.0,0.0,2.9937971422882464e-15,4.847409137739157e-26,2.576322004354263e-35,1.0314217183527833e-29,4.834248893512336e-44,3.5931208733017653e-53,1.6454169123561428e-36,3.6410947972662235e-59,1.4026210483087157e-60,1.2715670267155172e-66,6.23362343335723e-65,6.184868120950091e-91,3.174775357800163e-97,7.839945000135791e-109,6.1697333954043635e-62,1.2048943810066907e-93,1.3252313026971784e-72,5.78728305765599e-90,2.68914275735804e-103,3.272285728481155e-118,1.173053331144878e-128,9.619517949968314e-130,5.161990030041822e-91,1.9914448998638588e-107,4.83813133890648e-111,2.4638547824032833e-111,3.76,0.0,0.7954598687028054,0.999999999999997,2.074141206409124e-32,8.40486327019211e-83,6.067257511543055e-14,6.067257547019137e-14,2.9937971404268005e-15,8.375035941532838e-28,1.0200296941428443e-26,3.5384150732244297e-22,1.0315298209922145e-29,1.6007389686102933e-24,3.906470771892095e-25,2.004488056922065e-27,6.203709472041074e-32,1.3705641437090916e-36,8.345348257918864e-17,1.1629618044940126e-32,7.284162641136373e-33,9.062648665370868e-25,1.7955869568166742e-45,1.4157280167815857e-35
1.3319788099804824e-14,0.6097052609073842,1.4191778727059123e-21,2.5243684162677044e-23,1.5666860465816948e-24,1.6719774384333523e-16,0.0,0.0,5.998025633365629e-15,1.944027869678157e-25,2.067336147738426e-34,8.276509459314629e-29,3.879179889064578e-43,2.8832523163861156e-52,6.598857015664173e-36,5.852952694663833e-58,2.2546721274431584e-59,4.0890762169114805e-65,2.0046398460660123e-63,3.9863093576441844e-89,8.202114544204221e-95,1.0171616390179716e-106,9.917694560339767e-61,1.556084633291016e-91,4.261199386903039e-71,7.457776065000591e-88,3.472942873517731e-101,8.464278808290786e-116,6.085809314083134e-126,4.990612957205643e-127,6.652024073584109e-89,5.151181112214125e-105,1.2507680515218097e-108,6.373145142064038e-109,3.76,0.0,0.7954598687027414,0.999999999999994,1.6643701572399934e-31,5.414199868119883e-81,1.2155655221961083e-13,1.2155655364236042e-13,5.998025625875236e-15,3.358850322197337e-27,4.0907594336812406e-26,1.4190626553920497e-21,8.276939931473505e-29,6.419678986307929e-24,1.566669500542437e-24,8.038893599096637e-27,2.4879682615993367e-31,5.4993609593331134e-36,1.671977438433156e-16,4.66401247634305e-32,2.921279633097435e-32,3.634527433479747e-24,1.4415264868586679e-44,5.677702547125524e-35
