Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248)
0.0,0.4155060275985778,3.76,0.0,0.9245769754854551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.582378270586224e-22,0.4155060275985778,3.76,0.0,0.9245769754854551,0.9999999999999997,1.1405625491660545e-52,0.0,1.398082808344671e-38,3.577801244540899e-20,3.5778012445408965e-20,1.0833222030896024e-21,7.662196002598754e-41,9.340854367829135e-40,1.4869243494375715e-32,2.284779171852407e-35,6.466425897651642e-23,7.904606595065283e-50,1.083322203074756e-21,4.243848727620292e-41,2.0359439797038316e-29,5.104111179491415e-38,1.4052282995992821e-38,3.470233654874769e-50,1.595037085397483e-44,3.582206034358131e-49,6.466425897651642e-23,3.144779140614554e-45,2.3903319686673507e-39,4.712878812130751e-65,3.8391567353491335e-38,4.13207603795075e-39,3.122661554912224e-55,2.5065971511768634e-45,5.611534823364133e-43,2.9909566553324343e-40,3.872983313121694e-16,1.0326026493306765e-41,4.4135813201829005e-67,1.7903414637326945e-49,3.579893659149371e-59,9.672928599191413e-59,5.223401266889831e-43,1.8342080604450822e-75,3.665188407517607e-66,4.946884249551322e-64,7.023626623864756e-66,6.003322018834308e-69,5.273770441291024e-81,8.542875115354081e-44,1.761799751898109e-63,1.5269603007740733e-59,9.623812731675501e-60,2.198916604266553e-74,5.5022973270522214e-62,1.0550800550058325e-61,6.696889283022397e-58,2.6451184132014414e-90,1.9956615895733045e-64,2.2129049301788703e-57,6.93733727589463e-77,5.287583810049805e-85
7.230659157641427e-22,0.4155060275985778,3.76,0.0,0.9245769754854551,0.999999999999999,1.3540758583704825e-51,0.0,8.44442016240551e-38,1.0017843484714518e-19,1.0017843484714502e-19,3.0333021686508856e-21,4.627966385579398e-40,5.641876038158961e-39,4.17079168813929e-32,1.3800066197988476e-34,1.81059925134246e-22,9.384348949661232e-49,3.033302168609316e-21,2.5632846360195527e-40,5.700643156407636e-29,3.0828831524127912e-37,8.487578929579954e-38,2.0960211282094874e-49,9.634023995801582e-44,2.1636524449295577e-48,1.81059925134246e-22,1.8994466009320672e-44,1.443760509074782e-38,5.5951297261810045e-64,2.318850668150874e-37,2.495773926922252e-38,3.707223797991789e-54,1.513984679310987e-44,3.38936703337336e-42,1.806537819820789e-39,1.0844353276727311e-15,6.236920001950415e-41,5.239803743328072e-66,1.0813662659534027e-48,5.409934007028863e-58,1.4617725410631965e-57,3.1549343652014726e-42,5.172758740000553e-74,4.351311677413125e-65,5.872940981067339e-63,8.338449527852208e-65,7.127143900776428e-68,1.1797250772226147e-79,5.159896569666972e-43,2.0916086654534265e-62,1.812807269078973e-58,1.454346661498203e-58,6.201280575231358e-73,8.314777638613757e-61,1.59443499022123e-60,7.950546956802517e-57,1.369185989338465e-88,2.3692496679476865e-63,2.627160733105608e-56,1.551854599268316e-75,1.4911323666568963e-83
1.6527220931751834e-21,0.4155060275985778,3.76,0.0,0.9245769754854551,0.9999999999999976,1.3294397073096357e-50,0.0,4.065624806671848e-37,2.2897927965061754e-19,2.2897927965061687e-19,6.933262099773445e-21,2.22816659757034e-39,2.716320450149954e-38,9.568140404399081e-32,6.644137831746706e-34,4.138512574497051e-22,9.213609447207243e-48,6.933262099678429e-21,1.234111216797325e-39,1.3030041562762878e-28,1.4842755309960677e-36,4.086403895235148e-37,1.0091439478162698e-48,4.638367844337032e-43,1.0417055150521504e-47,4.138512574497051e-22,9.145017740920018e-44,6.951085364880185e-38,5.49333154469569e-63,1.116426778639524e-36,1.2016077118360765e-37,3.6397743084056754e-53,7.289184515624685e-44,1.6318343267264245e-41,8.69770195370669e-39,2.4787093203884802e-15,3.0028085042432997e-40,5.144470386826019e-65,5.2063132981721124e-48,5.81975969104365e-57,1.5725080475512194e-56,1.518965088411584e-41,1.1251879011901185e-72,4.2721436078270954e-64,5.76608828127705e-62,8.186739192776658e-64,6.997472145202029e-67,2.3309412450771063e-78,2.4842680835346256e-42,2.0535537908124106e-61,1.779824926582239e-57,1.5645184238751243e-57,1.3489127476966171e-71,8.944557122163245e-60,1.715219719578835e-59,7.805894148285715e-56,5.978396253575521e-87,2.326143473710784e-62,2.5793619866079746e-55,3.066203178287331e-74,3.2434996977587833e-82
3.512034447997265e-21,0.4155060275985778,3.76,0.0,0.9245769754854551,0.9999999999999948,1.1758743656917689e-49,0.0,1.7755651666034614e-36,4.8658096925756225e-19,4.865809692575593e-19,1.4733181962018538e-20,9.730988923451513e-39,1.1862885046990496e-37,2.0481293992344084e-31,2.901669548252461e-33,8.794339220806235e-22,8.149333215246714e-47,1.4733181961816634e-20,5.389687954399658e-39,2.7688838587263884e-28,6.482221197953728e-36,1.7846399404915372e-36,4.4071967517153693e-48,2.0256970984559832e-42,4.549401666306185e-47,8.794339220806235e-22,3.993869508593691e-43,3.035721600202914e-37,4.858789542810117e-62,4.8757290538933574e-36,5.247736568197437e-37,3.21933915665228e-52,3.1833783819970382e-43,7.126649226624506e-41,3.7985149522721614e-38,5.2672573057984834e-15,1.3114053646393075e-39,4.55022579789895e-64,2.2737339883846925e-47,5.349361651324621e-56,1.4454057614694912e-55,6.633719608950305e-41,2.085908655661302e-71,3.778662640665215e-63,5.100039785917492e-61,7.241078104139391e-63,6.189184868638286e-66,4.147788094907039e-77,1.0849451396392819e-41,1.816345072216822e-60,1.5742349916859952e-56,1.4380614853957643e-56,2.50065599187143e-70,8.221552312568572e-59,1.576582180462119e-58,6.904224975213864e-55,2.2256061957981598e-85,2.0574475995771843e-61,2.2814164667993237e-54,5.4561447291518175e-73,6.012873128067166e-81
7.230659157641428e-21,0.4155060275985778,3.76,0.0,0.9245769754854551,0.9999999999999892,9.883932561129271e-49,0.0,7.41263504989501e-36,1.0017843484714518e-18,1.0017843484714396e-18,3.033302168650863e-20,4.062496320713846e-38,4.952520985685753e-37,4.2781425789935735e-31,1.2113899169160605e-32,1.8105992513424598e-21,6.850005601574808e-46,3.033302168609296e-20,2.2500886586739775e-38,5.7006433483427995e-28,2.706199747366016e-35,7.450520444479437e-36,1.839917892798566e-47,8.456886626788023e-42,1.899285641810776e-46,1.8105992513424598e-21,1.6673619003656733e-42,1.26735400978327e-36,4.084105377328647e-61,2.0355209010820728e-35,2.190826715321474e-36,2.7060485409020075e-51,1.328997809556142e-42,2.975235764204513e-40,1.5858052186572296e-37,1.0844353276532511e-14,5.4748592466553804e-39,3.824738954847279e-63,9.4923933932175e-47,4.576491454681252e-55,1.2365750395426208e-54,2.769447351705185e-40,3.585143963754515e-70,3.1761936310319327e-62,4.286890740513291e-60,6.086562454214819e-62,5.202382808551305e-65,6.995853065608825e-76,4.529432386064554e-41,1.5267474761987765e-59,1.323239365285921e-55,1.2302916906125497e-55,4.2979880334446335e-69,7.033697097079421e-58,1.3487991534626077e-57,5.803417102418889e-54,7.667549511604797e-84,1.729408693746859e-60,1.917668005981678e-53,9.202585572582505e-72,1.0334570591570998e-79
1.4667908576929752e-20,0.4155060275985778,3.76,0.0,0.9245769754854551,0.9999999999999781,8.10344507572294e-48,0.0,3.0283032862305465e-35,2.0321911068992308e-18,2.0321911068991807e-18,6.15327011354884e-20,1.6596623030620357e-37,2.0232664193730526e-36,8.927698787192548e-31,4.94892307739846e-32,3.672929909866133e-21,5.61604845207475e-45,6.153270113464523e-20,9.19234663382744e-38,1.1564162666440461e-27,1.1055708979222766e-34,3.0437807060674526e-35,7.516664981712069e-47,3.4549141284632926e-41,7.759201578889228e-46,3.672929909866133e-21,6.811717409836762e-42,5.1775546573770113e-36,3.3483963437920073e-60,8.315767055035317e-35,8.950241981242723e-36,2.218582086397923e-50,5.4293896933534545e-42,1.2154808896054313e-39,6.478531753716033e-37,2.199854521765665e-14,2.2366586424750515e-38,3.135752076246471e-62,3.877953718729763e-46,3.7839316113748427e-54,1.0224241477288469e-53,1.1314096080135711e-39,5.942113148214135e-69,2.6040354363366373e-61,3.514652032102167e-59,4.990131634579377e-61,4.2652277413396924e-64,1.1490711438692698e-74,1.8504209214047227e-40,1.251719823184925e-58,1.0848715784164047e-54,1.0172288883731816e-54,7.123599420010627e-68,5.815591304594104e-57,1.1152131862826386e-56,4.757991968238396e-53,2.5445799257712167e-82,1.417873739883773e-59,1.572220091896067e-52,1.5115274436565063e-70,1.7128775586136713e-78
2.95424074155064e-20,0.4155060275985778,3.76,0.0,0.9245769754854551,0.9999999999999558,6.562379918413141e-47,0.0,1.2240886067164694e-34,4.0930046237547884e-18,4.093004623754587e-18,1.2393206003344637e-19,6.708620386630411e-37,8.178366359088144e-36,1.898493059831294e-30,2.000433834356433e-31,7.397591226913479e-21,4.54802164237436e-44,1.239320600317484e-19,3.715693706552615e-37,2.3291202658095147e-27,4.468894334979027e-34,1.2303448272603684e-34,3.0383561984341723e-46,1.3965315300529318e-40,3.136393345592451e-45,7.397591226913477e-21,2.7534050870889766e-41,2.0928503744737922e-35,2.7116181790494274e-59,3.3613660013211966e-34,3.617830910875604e-35,1.796665294189913e-49,2.1946461225336532e-41,4.9131680974943656e-39,2.6187261176628106e-36,4.4306929098529245e-14,9.040931843494084e-38,2.5394133313175833e-61,1.5675319378210094e-45,3.0770303349215793e-53,8.314183337857952e-53,4.573338532424223e-39,9.675190830189347e-68,2.108815410653267e-60,2.8462563391039673e-58,4.041137975581294e-60,3.454092008691344e-63,1.8626939836046215e-73,7.47969722082818e-40,1.0136751658429788e-57,8.785571313965858e-54,8.271936094656224e-54,1.159893455044022e-66,4.72914010086276e-56,9.068728274505467e-56,3.853145255123434e-52,8.291142898662715e-81,1.1482309179157074e-58,1.2732245929297466e-51,2.450251122294798e-69,2.7889757016643144e-77
5.929140509265971e-20,0.4155060275985778,3.76,0.0,0.9245769754854551,0.9999999999999112,5.281974272635948e-46,0.0,4.922006450381012e-34,8.214631657465904e-18,8.214631657465097e-18,2.487307778293558e-19,2.6975067522670868e-36,3.2884851428363595e-35,4.213187179944239e-30,8.043656465668426e-31,1.484691386100817e-20,3.660643486716006e-43,2.487307778259491e-19,1.4940642774769125e-36,4.674528806324194e-27,1.7969227571827865e-33,4.947162437894098e-34,1.2217096897013066e-45,5.61539186068473e-40,1.2611299766955565e-44,1.484691386100817e-20,1.1071320756365436e-40,8.415259308737175e-35,2.1825462269096853e-58,1.3515904853063885e-33,1.4547138974646323e-34,1.4461125351119237e-48,8.824575534726221e-41,1.9755632855449786e-38,1.0529782543362493e-35,8.892369685477172e-14,3.635318930533066e-37,2.0439407731890274e-60,6.302985355501598e-45,2.4817364344131186e-52,6.705690051407678e-52,1.83891930961474e-38,1.561579697597454e-66,1.6973581054973202e-59,2.2909147204163093e-57,3.252659413805097e-59,2.7801537482227736e-62,2.9998113513579785e-72,3.0075533553175385e-39,8.158939612165536e-57,7.071392120908043e-53,6.671616017040912e-53,1.8720726783549193e-65,3.814221954928667e-55,7.314257832389536e-55,3.101346517339051e-51,2.67715974925974e-79,9.241961375597855e-58,1.0248019203515664e-50,3.946053895384568e-68,4.5014169374132724e-76
1.187894004469663e-19,0.4155060275985778,3.76,0.0,0.9245769754854551,0.9999999999998219,4.2384517069059436e-45,0.0,1.9739447288396068e-33,1.6457885724888137e-17,1.64578857248849e-17,4.983282134211492e-19,1.0818208569080984e-35,1.3188296230566143e-34,1.0055566451724704e-29,3.225866004059479e-30,2.9745559129197557e-20,2.937435858803477e-42,4.983282134143279e-19,5.991867435326955e-36,9.365348056088527e-27,7.206463949641677e-33,1.9840334048528264e-33,4.899602483143792e-45,2.252023290698089e-39,5.057695315194351e-44,2.974555912919754e-20,4.440094800495401e-40,3.3748953643803392e-34,1.7513559127252572e-57,5.420482359697295e-33,5.834053365525785e-34,1.1604142364408166e-47,3.5390494782619707e-40,7.922892386888405e-38,4.222913755922679e-35,1.7815723234524578e-13,1.457925484537857e-36,1.6401337478758822e-59,2.527785753815126e-44,1.993465665229381e-51,5.386374915363763e-51,7.374888908323072e-38,2.509416649785121e-65,1.3620229841176707e-58,1.8383147863649046e-56,2.6100543342423822e-58,2.2308982956469254e-61,4.8153616686556506e-71,1.2061634113741155e-38,6.5470352066905055e-56,5.674346836305574e-52,5.3590047571492045e-52,3.0083705094962657e-64,3.063790156921144e-54,5.875209634154822e-54,2.488635264110311e-50,8.605490711178227e-78,7.416091969328151e-57,8.223390011920252e-50,6.334290421082766e-67,7.233655304318919e-75
