Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148)
0.0,0.6958323628361928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8505847743224337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.019258462114782e-22,0.6958323628361928,4.253393339171774e-32,7.370357315358803e-29,1.5269916010161926e-38,2.152061312847325e-22,0.0,0.0,1.5645579125334653e-21,5.8618945789295966e-39,3.7452284947975634e-55,1.1285795341307111e-49,4.761061951887961e-62,2.741653531881487e-70,2.2384689793362136e-47,1.0993589984080591e-82,2.713799486586594e-84,1.0388317925886151e-97,7.098442724962201e-97,4.507041719242939e-127,-4.317223742156449e-143,3.3448437850135535e-150,3.227912741231242e-85,-6.815546094991995e-138,6.81965956170532e-103,-7.928804476982278e-134,-8.071043557674829e-145,-4.641368231015006e-166,5.838913572211736e-183,1.4154013697374145e-183,-1.47124733438994e-134,-1.0133221358688037e-157,-5.534664487269984e-160,-5.038067316910917e-160,3.76,0.0,0.8505847743224337,0.9999999999999997,9.236393249545292e-53,-2.2942432889314432e-119,5.941453558285823e-20,5.941453558285825e-20,1.5645579125759693e-21,5.789516747874732e-41,7.0285982370436296e-40,3.0033983628413396e-35,1.216790110174874e-40,2.8942258884815576e-38,1.5478096952970714e-38,5.885316859036376e-40,4.339861843631512e-44,1.5637648125803326e-48,2.152061312847325e-22,1.5242456458246897e-44,1.2632621158280881e-44,4.108804750427616e-38,8.160153408492318e-65,1.256389231191038e-42,2.2588017827219802e-41,2.842140414376888e-49,3.630924854775524e-59,9.148439391337363e-59,1.2119307994985907e-48,3.126475582541247e-57,2.9940236180860983e-66,3.999999911682256e-16
8.45392369392139e-22,0.6958323628361928,1.1919233955971633e-31,2.0637000496385696e-28,9.223029270142035e-38,6.0257716759725115e-22,0.0,0.0,4.380762155093702e-21,3.5405843256734763e-38,4.446335269023665e-54,1.3398496229199753e-48,5.6523327492813335e-61,3.2548910730496324e-69,1.3520352635190608e-46,3.45656058843465e-81,8.532619793746047e-83,6.143227744601749e-96,4.31832911359947e-95,3.4836548590219304e-125,7.46971855273501e-141,3.564190612810127e-148,1.000335473925788e-83,1.181560528950349e-135,3.9277747409726595e-101,8.02415615287128e-132,1.4027091458615834e-142,9.43072853027881e-164,1.7739747977594346e-180,4.3002629300389657e-181,1.4524737849377065e-132,2.0589544939014047e-155,1.6784932336714187e-157,1.0236775626971071e-157,3.76,0.0,0.8505847743224337,0.9999999999999989,1.0965446065864779e-51,1.1889178114022583e-117,1.6636069963200296e-19,1.663606996320031e-19,4.380762155212712e-21,3.4968681157199744e-40,4.245273335173283e-39,1.814052611156161e-34,7.34941227203795e-40,1.7481124366428464e-37,9.348770559594305e-38,3.554731382857968e-39,2.6212765535535044e-43,9.445139468354865e-48,6.0257716759725115e-22,9.206443700783304e-44,7.630103179601917e-44,2.481718069258278e-37,9.687734126908627e-64,7.588590956482033e-42,1.364316276763062e-40,1.7166528104425977e-48,5.487042528186257e-58,1.3825078182304946e-57,7.320062051072978e-48,4.724729899744852e-56,3.5545048393939225e-65,1.1199999752699909e-15
1.9323254157534604e-21,0.6958323628361929,2.7289845614734e-31,4.717028691196367e-28,4.440491575761432e-37,1.3773192402222886e-21,0.0,0.0,1.0013170640214164e-20,1.7046389435527247e-37,4.365438333536028e-53,1.3154723049827394e-47,5.549493811120431e-60,3.195671356760844e-68,6.509467791909522e-46,7.711396527665147e-80,1.9035805381087865e-81,2.763916247254008e-94,1.949500182321733e-93,3.7930865372106855e-123,1.9398118089791997e-138,8.111263916500095e-146,2.2246252221641526e-82,3.0702333856983097e-133,1.7613790528479076e-99,1.6803816709143904e-129,3.6471065014502312e-140,5.228890831307653e-161,2.5451549732915546e-177,6.169668022721345e-178,3.038789298049395e-130,1.1415924274219647e-152,8.801253218494885e-155,5.675805643875848e-155,3.76,0.0,0.8505847743224337,0.9999999999999974,1.076593997168427e-50,1.2478176160504973e-115,3.80253027730292e-19,3.802530277302928e-19,1.0013170640486186e-20,1.6835914702874254e-39,2.0439163673306808e-38,8.733882439142487e-34,3.5384256502610955e-39,8.416408883704149e-37,4.501030593923872e-37,1.7114501426077727e-38,1.2620318241281477e-42,4.547428075527529e-47,1.3773192402222886e-21,4.432506338061401e-43,3.673566232828465e-43,1.194840421424347e-36,9.511474813993092e-63,3.653579884435779e-41,6.5685955841403044e-40,8.264944327346926e-48,5.902706138373743e-57,1.4872373284954747e-56,3.524294797462665e-47,5.082648824185741e-55,3.489833929247489e-64,2.5599999434693572e-15
4.106191508476104e-21,0.6958323628361928,5.818679063290933e-31,1.0023685995721641e-27,1.9392793332971203e-36,2.9268033854723625e-21,0.0,0.0,2.127798761045506e-20,7.4446061152405665e-37,3.86118076899647e-52,1.163520356507361e-46,4.908464429918043e-59,2.8265351252280818e-67,2.842855603756797e-45,1.44425922595282e-78,3.565195674537957e-80,1.0416944160699316e-92,7.360941751315171e-92,3.101911441040732e-121,3.3969823630905934e-136,1.3707677432453163e-143,4.161218806817858e-81,5.377618751735562e-131,6.626748218168109e-98,2.7004679195373596e-127,6.389379539758537e-138,1.91712636873586e-158,2.0823033788244766e-174,5.0476771374448736e-175,4.879452973984939e-128,4.1855472136748214e-150,3.0945194504987793e-152,2.0809837142786404e-152,3.76,0.0,0.8505847743224337,0.9999999999999946,9.522351984581195e-50,9.9624996630654e-114,8.080376839268685e-19,8.080376839268724e-19,2.1277987611033108e-20,7.352686269857262e-39,8.926319761028812e-38,3.81431592080837e-33,1.5453234501237353e-38,3.6756668783713516e-36,1.9657183130272692e-36,7.474352410976146e-38,5.5116245414130814e-42,1.985981312534145e-46,2.9268033854723625e-21,1.935791970200638e-42,1.604342887102064e-42,5.2181820330430325e-36,8.412791760213732e-62,1.595614323749266e-40,2.8686782640411925e-39,3.6095183286543507e-47,5.425602501332738e-56,1.3670267914675847e-55,1.5391521486733109e-46,4.6718299326338906e-54,3.086718589315175e-63,5.439999879851433e-15
8.45392369392139e-21,0.6958323628361929,1.2060356747186239e-30,2.06370006904109e-27,8.09610946864685e-36,6.0257716759725115e-21,0.0,0.0,4.3807621550936714e-20,3.107976505748451e-36,3.245555089935601e-51,9.780089670050606e-46,4.125860110514204e-58,2.375873084271157e-66,1.186836252843885e-44,2.4945986509292337e-77,6.157988926215019e-79,3.610531960756486e-91,2.5538526437097113e-90,2.232138226356732e-119,5.046827635512264e-134,2.0071059250057154e-141,7.183119693961869e-80,7.989949874755783e-129,2.294632514584025e-96,3.8608953981132566e-125,9.494047803930773e-136,5.831220369799283e-156,1.3309593185440586e-171,3.226356443255941e-172,6.972600587641406e-126,1.2730954291349907e-147,9.213387987576214e-150,6.329616462330069e-150,3.76,0.0,0.8505847743224337,0.9999999999999888,8.004110607818345e-49,7.096417805896977e-112,1.6636069963200155e-18,1.663606996320031e-18,4.38076215521268e-20,3.0696017797739e-38,3.726562785265593e-37,1.5924018119783593e-32,6.451421255961986e-38,1.534518566072718e-35,8.206487004464966e-36,3.1203949986610395e-37,2.300994749494377e-41,8.291081041293895e-46,6.0257716759725115e-21,8.081550414191916e-42,6.697815738124028e-42,2.1784882786766853e-35,7.071458385308761e-61,6.66137570500471e-40,1.1976167051850428e-38,1.5069028498496748e-46,4.641716639449277e-55,1.1695199942319474e-54,6.425657397469489e-46,3.9968488662619093e-53,2.5945729630792084e-62,1.1199999752548962e-14
1.714938806481196e-20,0.6958323628361929,2.4792866836017788e-30,4.1863630422344244e-27,3.3075248875150635e-35,1.222370825697281e-20,0.0,0.0,8.886688943189948e-20,1.2697098133744484e-35,2.660902150908417e-50,8.018308399636412e-45,3.3826293925673526e-57,1.9478842986904e-65,4.848613347999924e-44,4.144812968396676e-76,1.0231590701419161e-77,1.2018430453977073e-89,8.505395580040225e-89,1.512911949287259e-117,6.94760022042545e-132,2.744547579107513e-139,1.193126685027065e-78,1.0999194694159807e-126,7.634386910165738e-95,5.218954287487213e-123,1.3070317165855495e-133,1.6242657014822632e-153,7.591688460964655e-169,1.8402886279062214e-169,9.422552067108565e-124,3.546162053768692e-145,2.5391872468202255e-147,1.763092161040435e-147,3.76,0.0,0.8505847743224337,0.9999999999999772,6.562253464331435e-48,4.787504671798234e-110,3.3747456211062836e-18,3.3747456211063487e-18,8.886688943431365e-20,1.2540324856995985e-37,1.5224224925239488e-36,6.505480989847848e-32,2.635616127979716e-37,6.269009043484869e-35,3.352617712401179e-35,1.2747831729346742e-36,9.400314347787621e-41,3.3871771388601545e-45,1.222370825697281e-20,3.301577038706963e-41,2.736276273371231e-41,8.899835441615919e-35,5.797608827270324e-60,2.7213893313702886e-39,4.892655013327306e-38,6.156189841297715e-46,3.837860872665462e-54,9.669816667037141e-54,2.6250908411775843e-45,3.304671934093029e-52,2.12718767264884e-61,2.2719999497677515e-14
3.4540316806593106e-20,0.6958323628361929,5.1254505897844475e-30,8.43168912564303e-27,1.336954442327613e-34,2.4619581418973406e-20,0.0,0.0,1.7898542519382292e-19,5.132370074792501e-35,2.1548675503526043e-49,6.493434030708529e-44,2.7393409826894803e-56,1.5774472073891534e-64,1.9598870379186398e-43,6.757091235262597e-75,1.6680075163464803e-76,3.922002813550707e-88,2.7763027774663572e-87,9.961360986126275e-116,9.219141212614537e-130,3.6299269085852815e-137,1.9448045296252674e-77,1.4594578408875642e-124,2.490722763085491e-93,6.863625954130742e-121,1.7343046814093376e-131,4.335452086637424e-151,4.0997243927536523e-166,9.938074008604937e-167,1.2390135422991792e-121,9.465332957216919e-143,6.741727189959575e-145,4.706004431128287e-145,3.76,0.0,0.8505847743224337,0.9999999999999541,5.314282993403557e-47,3.145195182899822e-108,6.797022870678721e-18,6.797022870678984e-18,1.7898542519868512e-19,5.068999809921443e-37,6.153875129143021e-36,2.629619429788182e-31,1.0653582113279565e-36,2.5340336882068334e-34,1.3551816830978874e-34,5.152877405295244e-36,3.799757357474471e-40,1.3691511575917166e-44,2.4619581418973403e-20,1.334550226730937e-40,1.1060466189914807e-40,3.59745578162714e-34,4.69505394710918e-59,1.1000290794473642e-38,1.9776893831601076e-37,2.4884303704338658e-45,3.1208846422580414e-53,7.863334001674595e-53,1.0611037949080959e-44,2.68730433419743e-51,1.7226517284093645e-60,4.5759998986868614e-14
6.932217429015539e-20,0.6958323628361928,1.0816425955815096e-29,1.6922341840547982e-26,5.375835011374816e-34,4.941132774297459e-20,0.0,0.0,3.592224967176614e-19,2.0637034340903604e-34,1.7344248737636366e-48,5.226480623905943e-43,2.204859940146346e-55,1.2696667473103483e-63,7.88061958050239e-43,1.091272039404662e-73,2.693836594372007e-75,1.2673592656186742e-86,8.972530838646056e-86,6.465899076927874e-114,1.201512983524988e-127,4.722634426194406e-135,3.140627595426947e-76,1.9018103873928802e-122,8.047529002135529e-92,8.904778404116041e-119,2.2599835624442022e-129,1.1331713466103275e-148,2.155375806976573e-163,5.2248108004402185e-164,1.6073627231903964e-119,2.473985152836843e-140,1.7574584460380262e-142,1.2300238295323097e-142,3.76,0.0,0.8505847743224337,0.9999999999999081,4.277397285387467e-46,2.0393201240487562e-106,1.36415773698232e-17,1.3641577369824256e-17,3.5922249672741927e-19,2.0382225294427893e-36,2.474446123659759e-35,1.0573584072310743e-30,4.283758773136526e-36,1.018923800942337e-33,5.449125944680563e-34,2.07194934149092e-35,1.5278657215031886e-39,5.505296601385489e-44,4.9411327742974574e-20,5.366167766117215e-40,4.447364809277108e-40,1.4465211476068346e-33,3.778987886152205e-58,4.4231685509245703e-38,7.952202027344635e-37,1.0005869135281296e-44,2.5171064932466383e-52,6.34206361401851e-52,4.266652537190823e-44,2.167408299813507e-50,1.3865399783912108e-59,9.183999796098679e-14
1.3888588925727997e-19,0.6958323628361928,2.3792966902536668e-29,3.3903649462708844e-26,2.1559502797936084e-33,9.899482039097698e-20,0.0,0.0,7.196966397653045e-19,8.276373784622253e-34,1.391766730931936e-47,4.1939215484294424e-42,1.76926124473614e-54,1.0188276038947385e-62,3.16048092110293e-42,1.7541879315154862e-72,4.330263648926539e-74,4.0753729562116855e-85,2.8854314517909913e-84,4.167408123825806e-112,1.5521759328130632e-125,6.0943095495824225e-133,5.048276586815993e-75,2.456116668320501e-120,2.58763357483388e-90,1.1475133238800325e-116,2.9186979275034624e-127,2.931125128173636e-146,1.1182107421309692e-160,2.710636142310763e-161,2.0712503568537982e-117,6.399349992221532e-138,4.539949647390577e-140,3.181649241094346e-140,3.76,0.0,0.8505847743224337,0.9999999999998159,3.432341940652047e-45,1.313678169944771e-104,2.7330686368110555e-17,2.7330686368114798e-17,7.196966397848523e-19,8.174183961531623e-36,9.923635678612626e-35,4.240480128100108e-30,1.7179790736031867e-35,4.086340166582523e-33,2.185343221931289e-33,8.309443561370112e-35,6.127424897895274e-39,2.207870178925594e-43,9.899482039097693e-20,2.1520732819993328e-39,1.783592201780838e-39,5.801196774298559e-33,3.03239980082791e-57,1.7738884227793492e-37,3.1891886835705355e-36,4.012801095538352e-44,2.021876808516729e-51,5.094290340282277e-51,1.7111191774046136e-43,1.7409802151290034e-49,1.1126110115079546e-58,1.8399999589216703e-13
