Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453)
0.0,0.68163166184137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.742260106430401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.067950190387728e-22,0.68163166184137,3.637657296674597e-32,7.172520386892751e-29,1.400096617433566e-38,1.844555654588048e-22,0.0,0.0,1.385888006874159e-21,4.6466196193196085e-39,3.219341869679513e-55,9.724075716306085e-50,3.944258019671198e-62,2.2169976140248984e-70,1.78950411994238e-47,7.841601019783778e-83,1.9341926977187006e-84,7.783514909788244e-98,5.107352767252091e-97,3.1149793802414337e-127,-2.5312277108270038e-143,2.3111287859355796e-150,1.1987518860295673e-71,-3.7687674825548455e-138,4.988014566297845e-103,-5.04135921555351e-134,-4.770195489454164e-145,-2.8081441061984226e-166,3.0947527219333278e-183,7.427319464025696e-184,-1.0003804173202358e-134,-6.436849246736098e-158,-3.3967469559106984e-160,-3.102083141654948e-160,3.76,0.0,0.742260106430401,0.9999999999999997,7.636026334727099e-53,2.474790052505942e-111,4.892623735050886e-20,4.892623735050889e-20,1.3858880069105101e-21,4.937160132309384e-41,5.994731374523738e-40,2.556708291080234e-35,1.0769639973080928e-40,2.672598009401699e-38,1.418516256256796e-38,4.955731207599374e-40,3.32595316248714e-44,1.1933343699385902e-48,1.844555654588048e-22,1.1613199010555707e-44,9.599690647923761e-45,3.517109841683255e-38,6.491913769382368e-65,1.1049526385201805e-42,1.9877576171516288e-41,2.132532680953443e-49,2.74870200217513e-59,6.939331360144505e-59,9.11624676892474e-49,8.579656893925386e-43,2.322541145017025e-66,4.0311288147152016e-16,3.441668956300509e-69
8.590260533085638e-22,0.68163166184137,1.0193725579248522e-31,2.0083057094755754e-28,8.45658356930245e-38,5.164755832846535e-22,0.0,0.0,3.880486419247643e-21,2.8065582500690416e-38,3.8220026676835114e-54,1.154442269039853e-48,4.682623120953595e-61,2.6320195673703e-69,1.0808604884451867e-46,2.462109057164739e-81,6.081411312459178e-83,4.601397222987715e-96,3.107051927134472e-95,2.407680525196278e-125,4.414887381701936e-141,2.4626870650084106e-148,1.4231582390943058e-70,8.965223904744163e-136,2.8728410038417235e-101,5.101986520895158e-132,8.290373844212853e-143,5.705835242727211e-164,9.402456923039442e-181,2.2565632084015796e-181,9.906021417785897e-133,1.3078940263917246e-155,1.029385869783689e-157,6.303077569198072e-158,3.76,0.0,0.742260106430401,0.9999999999999988,9.065490464591654e-52,1.5055355755956194e-109,1.3699346458142472e-19,1.3699346458142486e-19,3.880486419349425e-21,2.9820447199180373e-40,3.6208177502114076e-39,1.5442518078124534e-34,6.504862549411824e-40,1.6142491976786121e-37,8.567838187791038e-38,2.993261649390018e-39,2.00887571014229e-43,7.207739594721493e-48,5.164755832846535e-22,7.014372202377271e-44,5.798213151346157e-44,2.124334344376683e-37,7.707200027296541e-64,6.673913936740883e-42,1.2006056007586743e-40,1.2880497394066224e-48,4.153830077589939e-58,1.0486684693628289e-57,5.506213065162452e-48,5.1821127639309514e-42,2.7573208473658716e-65,1.12871606811919e-15,4.0859493849210916e-68
1.9634881218481458e-21,0.68163166184137,2.3339002738634964e-31,4.590413055630599e-28,4.0714809635023785e-37,1.1805156189363508e-21,0.0,0.0,8.869683243994604e-21,1.35123698529814e-37,3.7524648832984264e-53,1.133438265492621e-47,4.5974271477285944e-60,2.5841324189072363e-68,5.203877980792282e-46,5.490681159457134e-80,1.3567294100127156e-81,2.0699034596456475e-94,1.4026717600926135e-93,2.62153952930283e-123,1.1457986838127427e-138,5.604499561903184e-146,1.39726519835607e-69,2.299780831196593e-133,1.288302486785758e-99,1.068434421219144e-129,2.1555342699437434e-140,3.1636137969285064e-161,1.3489881608835903e-177,3.237533633321004e-178,2.0720699810806157e-130,7.251650878257391e-153,5.398084082231796e-155,3.494756996215124e-155,3.76,0.0,0.742260106430401,0.9999999999999973,8.900552295769205e-51,6.796707295774496e-108,3.13127919043256e-19,3.131279190432568e-19,8.869683244227248e-21,1.4357261664803228e-39,1.7432678837101079e-38,7.4349077104612045e-34,3.1318113126783504e-39,7.771915011339932e-37,4.125045273194751e-37,1.4411266351698927e-38,9.671871796513448e-43,3.4702163482116796e-47,1.1805156189363508e-21,3.3771182722719908e-43,2.7915900404165296e-43,1.0227755419614867e-36,7.566974690461696e-63,3.213202272935175e-41,5.780399150663301e-40,6.201405037842121e-48,4.4684979597981584e-57,1.1281085547452979e-56,2.6510045850231226e-47,2.494964224753529e-41,2.7071539586368347e-64,2.579922441410264e-15,4.011609335467216e-67
4.17241225892731e-21,0.68163166184137,4.976211943436224e-31,9.754627766270332e-28,1.7781227041463836e-36,2.508595690239745e-21,0.0,0.0,1.8848076893488495e-20,5.901206916535883e-37,3.3190126939647634e-52,1.0025133100482583e-46,4.066372247959897e-59,2.285635860154722e-67,2.27267023232666e-45,1.0281883114576134e-78,2.541004032800914e-80,7.800866055126867e-93,5.2962216756297184e-92,2.143843235745624e-121,2.0061094101721123e-136,9.471356493358867e-144,1.2358652444210525e-68,4.015216946655595e-131,4.846915940646323e-98,1.7170342479764403e-127,3.77628856084964e-138,1.1599107333943587e-158,1.1036666273289167e-174,2.6487688547324795e-175,3.3269715747772694e-128,2.658753369324309e-150,1.8980914132417304e-152,1.281321604507724e-152,3.76,0.0,0.742260106430401,0.9999999999999944,7.872437710073978e-50,2.5663073862740525e-106,6.653968279669173e-19,6.653968279669206e-19,1.8848076893982864e-20,6.270193368082044e-39,7.613308845630742e-38,3.247019529671781e-33,1.3677442853712422e-38,3.394199471939946e-36,1.8015156454461196e-36,6.293778633651155e-38,4.223960516359535e-42,1.5155346502627126e-46,2.508595690239745e-21,1.4748762743430256e-42,1.2191607122866247e-42,4.4667294989376955e-36,6.692903421492266e-62,1.4032898510430694e-40,2.5244521737684796e-39,2.708316506479933e-47,4.107318432831376e-56,1.0369257078153034e-55,1.1577633648708184e-46,1.0896164255285517e-40,2.394447018877102e-63,5.48233518797535e-15,3.548223027194458e-66
8.590260533085638e-21,0.68163166184137,1.0313860233363428e-30,2.008305726086855e-27,7.423312265684565e-36,5.164755832846534e-21,0.0,0.0,3.8804864192476155e-20,2.4636377221632387e-36,2.7898301547943025e-51,8.426728430538788e-46,3.418030891718166e-58,1.9212146603514509e-66,9.487950843933038e-45,1.7758193726963715e-77,4.388952563587854e-79,2.7037382512222476e-91,1.8375053335482495e-90,1.5427114511412728e-119,2.9801785803940975e-134,1.3868152230263163e-141,1.038819204403062e-67,5.958075433105511e-129,1.67833310497153e-96,2.4548670171023336e-125,5.611227803114382e-136,3.528037981879124e-156,7.054377364737155e-172,1.6930307205598463e-172,4.7540335443044055e-126,8.086987409018331e-148,5.651430908070248e-150,3.8973271466675574e-150,3.76,0.0,0.742260106430401,0.9999999999999887,6.617258245296202e-49,8.903712730844372e-105,1.3699346458142348e-18,1.3699346458142483e-18,3.8804864193493973e-20,2.617682302194652e-38,3.1784065747595215e-37,1.355566735930636e-32,5.710063192837192e-38,1.4170114645845906e-35,7.520973190673434e-36,2.6275286862691447e-37,1.7634203667514582e-41,6.327058833364025e-46,5.164755832846534e-21,6.157318115418604e-42,5.089755981531926e-42,1.8647716380604277e-35,5.6257886051954915e-61,5.858458890535958e-40,1.0539090886011143e-38,1.1306688289373427e-46,3.513896993885227e-55,8.871116176544464e-55,4.8334342628841755e-46,4.54893408515949e-40,2.0126769956321045e-62,1.1287160681037275e-14,2.982495250839099e-65
1.7425957081402296e-20,0.68163166184137,2.1201256616344827e-30,4.0739916543339994e-27,3.0326652772696576e-35,1.0477076118060111e-20,0.0,0.0,7.871843879045102e-20,1.0064763960230898e-35,2.2872713153387317e-50,6.908741088842641e-45,2.8023082337583284e-57,1.5751278534561804e-65,3.8761375039587583e-44,2.950455489862733e-76,7.292310326737837e-78,8.999889276912055e-90,6.119659950136917e-89,1.0456281470482327e-117,4.102436471248105e-132,1.8963525121449887e-139,8.516867465823883e-67,8.197272793446364e-127,5.583919954962881e-95,3.318359453710707e-123,7.724895491489521e-134,9.827224042698448e-154,4.023761995802282e-169,9.656915584311262e-170,6.42438038127337e-124,2.2526015900199017e-145,1.5575480665462878e-147,1.0855866200098488e-147,3.76,0.0,0.742260106430401,0.999999999999977,5.425228107435325e-48,2.9653082428912234e-103,2.779010281508848e-18,2.7790102815089038e-18,7.87184387925157e-20,1.069408633336179e-37,1.2984827946363641e-36,5.537932426810557e-32,2.332747163708754e-37,5.788954192282849e-35,3.0725629517023883e-35,1.0734312024908184e-36,7.204147588080209e-41,2.5848099819988893e-45,1.0477076118060111e-20,2.515465358500972e-41,2.0793313931051996e-41,7.618200601479317e-35,4.6123613972353464e-60,2.393371614073248e-39,4.305562508947767e-38,4.619151100890912e-46,2.905357830525083e-54,7.334809793767145e-54,1.9746157060878868e-45,1.858388001852027e-39,1.6501142018577685e-61,2.2896811666888137e-14,2.445229801421909e-64
3.509735017803561e-20,0.68163166184137,4.382444859481546e-30,8.205363628138293e-27,1.2258517932367995e-34,2.1101716688487266e-20,0.0,0.0,1.5854558798639885e-19,4.068338514455925e-35,1.8522916126747076e-49,5.594877654952663e-44,2.269381862443988e-56,1.275579373675193e-64,1.5667967532062962e-43,4.809911554892845e-75,1.1888306316673211e-76,2.936942183726937e-88,1.9975589326598234e-87,6.884656683284396e-116,5.4436604482504494e-130,2.508107734912917e-137,6.897180088524986e-66,1.0873732213553422e-124,1.8217568355821304e-93,4.364088439370108e-121,1.025018922209986e-131,2.6230596547460373e-151,2.1729441730449122e-166,5.2150048811052326e-167,8.447661193302685e-122,6.0125915697603975e-143,4.135440261471351e-145,2.897622459579793e-145,3.76,0.0,0.742260106430401,0.9999999999999538,4.393490379999826e-47,9.679261021396538e-102,5.59716155289799e-18,5.597161552898215e-18,1.5854558799055715e-19,4.322720679831171e-37,5.248675065411234e-36,2.238520830838001e-31,9.429337290111742e-37,2.3399878419343185e-34,1.2419790711330569e-34,4.338980547350921e-36,2.912031639514686e-40,1.0448215236732247e-44,2.1101716688487263e-20,1.0167913167446579e-40,8.404989947427423e-41,3.079398487665862e-34,3.735209847665874e-59,9.674390735185318e-39,1.7403772060935744e-37,1.8671347341289928e-45,2.3625886750650253e-53,5.964545268948161e-53,7.981713195164083e-45,7.511901434164337e-39,1.3363052627906444e-60,4.611611363749791e-14,1.9802104900727349e-63
7.044013637130223e-20,0.68163166184137,9.246442940178706e-30,1.6468108044986888e-26,4.929096145832182e-34,4.2350997829341575e-20,0.0,0.0,3.1819988637828697e-19,1.6358610234598484e-34,1.490885435608827e-48,4.50324428005987e-43,1.8265959546535698e-55,1.0266972528296519e-63,6.300020834413722e-43,7.767959720247034e-74,1.9199646456692079e-75,9.490439106594214e-87,6.4557652972057e-86,4.468816581834183e-114,7.094619857284268e-128,3.263116925434904e-135,5.5514505763516775e-65,1.416755159791509e-122,5.886099081948391e-92,5.661911174685661e-119,1.3357087368906136e-129,6.855977089053375e-149,1.142396622750972e-163,2.7417197541046454e-164,1.0959057822711431e-119,1.5715307999087908e-140,1.0780466848765376e-142,7.573610961128051e-143,3.76,0.0,0.742260106430401,0.9999999999999074,3.536263282947239e-46,3.1281705757940946e-100,1.1233464095675937e-17,1.1233464095676838e-17,3.1819988638663226e-19,1.7381469734698348e-36,2.1104691592533581e-35,9.000993807073812e-31,3.791495277973364e-36,9.408988196008359e-34,4.993943220801752e-34,1.744684994559952e-35,1.1709151146706224e-39,4.2011814049748355e-44,4.235099782934157e-20,4.088473164585854e-40,3.3796094913796103e-40,1.2382125882037728e-33,3.0064218487833097e-58,3.8900299682408315e-38,6.997980200770793e-37,7.507666688799466e-45,1.905513332526093e-52,4.8106217436766426e-52,3.2094124120746065e-44,3.0205025281354315e-38,1.0755747314669479e-59,9.255471757434968e-14,1.5938456768578474e-62
1.411257087578355e-19,0.68163166184137,2.0331877841584362e-29,3.299359875564413e-26,1.976788013810453e-33,8.48495601110502e-20,0.0,0.0,6.375084831620332e-19,6.56053436079886e-34,1.196341669390806e-47,3.613569930327258e-42,1.465728218612253e-54,8.23859886258742e-63,2.5265901299153027e-42,1.248672020478164e-72,3.0862870931869927e-74,3.0517816748567715e-85,2.0760773709136565e-84,2.8802463936126145e-112,9.165332624573191e-126,4.210879531507592e-133,4.4546894693773986e-64,1.8295619791279453e-120,1.8926390455015428e-90,7.29621582562218e-117,1.725025963416422e-127,1.7734058229375267e-146,5.9267630786210945e-161,1.422406464352114e-161,1.41218428526268e-117,4.0650104955718995e-138,2.784867281490429e-140,1.9590330681623767e-140,3.76,0.0,0.742260106430401,0.9999999999998145,2.837628578641178e-45,1.0059732073629128e-98,2.2506069181230463e-17,2.2506069181234077e-17,6.375084831787508e-19,6.970746769858888e-36,8.463925258712007e-35,3.60980109592177e-30,1.520559365990753e-35,3.773425093877586e-33,2.0027945911109916e-33,6.9969671576204e-35,4.695893314431849e-39,1.6848616548130507e-43,8.484956011105016e-20,1.6396606004805516e-39,1.3553745627784152e-39,4.965786282812059e-33,2.4124642078011726e-57,1.56007600562512e-37,2.8065030525337732e-36,3.0109101648454446e-44,1.5306119251457748e-51,3.864152958983412e-51,1.2871184359779278e-43,1.2113566090603356e-37,8.630809847400664e-59,1.8543192543058197e-13,1.278960778829009e-61
