Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907)
0.0,0.2969415100549426,3.76,0.0,0.5272683725436816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.914320272168683e-23,0.2969415100549426,3.76,0.0,0.5272683725436816,0.9999999999999996,6.611874842423141e-53,0.0,1.8697489140324107e-38,8.614209482847067e-20,8.614209482847064e-20,2.2338775070413918e-21,1.6524811454520108e-40,1.9846197746254155e-39,1.049709008749177e-31,4.001729663284422e-35,3.255081013504451e-22,9.233046615167108e-50,2.233877506936461e-21,1.9841000912481128e-38,5.040562269515837e-28,4.97077907854084e-38,1.897420314363496e-38,1.0535953305785785e-48,8.937808996343029e-44,2.4150901423393706e-48,3.255081013504451e-22,2.253263699203992e-44,5.888817569091259e-39,1.4964081403651448e-64,4.1266052539295555e-38,7.193387146468913e-39,5.225247924733568e-55,2.335872608252718e-44,5.301732907887296e-42,1.3485918546803049e-39,4.183299955163337e-16,9.27550548974674e-41,8.774565093615386e-66,4.2314337169733897e-48,1.3024525982286348e-58,2.9395907040872546e-58,2.169971674195243e-42,2.931072074441385e-75,5.903329191915598e-65,4.792897209719651e-63,7.486362735360723e-65,2.538927519733664e-67,9.94325477457367e-80,9.182694039179596e-43,3.7421463588061876e-62,4.2997712994285355e-58,7.731375043257497e-59,8.341062974575918e-74,8.037732818260102e-61,1.1352226768660345e-60,3.415853846158633e-57,6.080549478469362e-90,3.334680367174052e-63,1.022356783628439e-56,1.9414285531427243e-57,7.06256595537147e-84,7.836795023543204e-70,4.248175501316605e-62,2.1344246966191505e-75,2.8801444326757786e-82,1.9970685544758436e-87,4.87962827515777e-94,1.1365249732044098e-84,1.9680242286823324e-38,7.807099872914744e-103,3.540693773933708e-101
2.7760096762072312e-22,0.2969415100549426,3.76,0.0,0.5272683725436816,0.9999999999999988,7.849617812928479e-52,0.0,1.1293283440761606e-37,2.411978655197179e-19,2.411978655197177e-19,6.254857019715895e-21,9.980986118537911e-40,1.1987103438726798e-38,2.940482151035243e-31,2.4170447166237837e-34,9.114226837812465e-22,1.0961472941525849e-48,6.254857019422087e-21,1.1983964551186567e-37,1.4113574356181522e-27,3.0023505634386424e-37,1.146041869875605e-37,6.363715797254777e-48,5.398436633791313e-43,1.4587144460604058e-47,9.114226837812465e-22,1.3609712743195732e-43,3.5568458117305767e-38,1.77653574433889e-63,2.4924695733734494e-37,4.3448058364672217e-38,6.203414336243687e-54,1.410867055384691e-43,3.202246676389924e-41,8.145494802269037e-39,1.171323987444996e-15,5.602405315804138e-40,1.0417163679145644e-64,2.555785973001423e-47,1.9682626578807888e-57,4.4422985203608225e-57,1.310662891213931e-41,8.266072565601804e-74,7.008432416649562e-64,5.6901275673791685e-62,8.887809839420167e-64,3.01421475143157e-66,2.224288361749309e-78,5.5463471996609955e-42,4.442676157174692e-61,5.104688486681543e-57,1.168350588765362e-57,2.3522845403728365e-72,1.2146178115951631e-59,1.7155372837516288e-59,4.0553016861589034e-56,3.147429902463925e-88,3.95893343544688e-62,1.213741973523082e-55,2.304863978289967e-56,1.9916864211091555e-82,9.304241031355481e-69,5.043433955163097e-61,2.5339889999879432e-74,6.442767890118429e-81,4.467362473620305e-86,2.5258059325923353e-92,2.5561388855325354e-83,1.1886866341236333e-37,3.238657670380798e-101,1.468803427148195e-99
6.345164974187958e-22,0.2969415100549426,3.76,0.0,0.5272683725436816,0.9999999999999972,7.70680131633995e-51,0.0,5.437229842015016e-37,5.513094069022123e-19,5.513094069022113e-19,1.4296816045064885e-20,4.8054151709860934e-39,5.771274304594637e-38,6.727216141757561e-31,1.163702986083099e-33,2.0832518486428493e-21,1.0762039134637105e-47,1.4296816044393328e-20,5.769763065421459e-37,3.2259598535661615e-27,1.4455025560396382e-36,5.517698274169846e-37,3.063855222146744e-47,2.5991148561367333e-42,7.023082135209297e-47,2.0832518486428493e-21,6.55249083729054e-43,1.712468149090922e-37,1.7442133287059499e-62,1.2000168078427108e-36,2.091836982193157e-37,6.090548981069429e-53,6.792717544799618e-43,1.54174392965262e-40,3.9217051134103153e-38,2.677311971299365e-15,2.6973169964140113e-39,1.0227633073134538e-63,1.2305009365929761e-46,2.1173658737298334e-56,4.778818264469496e-56,6.310277628559828e-41,1.7980498333851808e-72,6.880920506118823e-63,5.5866009876492145e-61,8.726104404336192e-63,2.9593739170127985e-65,4.39483846674442e-77,2.6703274265882067e-41,4.361845795824447e-60,5.011813426613856e-56,1.2568531509964507e-56,5.116710730044938e-71,1.3066151407004917e-58,1.845492861077404e-58,3.981519243080539e-55,1.3742849969079115e-86,3.8869047190008844e-61,1.1916590669954455e-54,2.262929121539825e-55,4.33229933275595e-81,9.13575773713467e-68,4.9516733643347046e-60,2.4878854268725767e-73,1.2729823651628743e-79,8.826755432911511e-85,1.1028608438729111e-90,5.0626817490046986e-82,5.723014457000787e-37,1.284356455904477e-99,5.8248427469414803e-98
1.348347557014941e-21,0.2969415100549426,3.76,0.0,0.5272683725436816,0.9999999999999942,6.816578487568784e-50,0.0,2.3745811208302192e-36,1.1715324896672012e-18,1.1715324896671963e-18,3.0380734095762814e-20,2.0986510547360877e-38,2.5204671137576687e-37,1.4321434947802936e-30,5.082196672371102e-33,4.426910178366054e-21,9.518901738369158e-47,3.038073409433576e-20,2.5198071159594482e-36,6.855164691921668e-27,6.312889429746473e-36,2.4097237992424646e-36,1.3380660706790375e-46,1.1351017425357488e-41,3.0671644820886292e-46,4.426910178366054e-21,2.8616448979945323e-42,7.478798312737463e-37,1.5427369370075842e-61,5.2407886724904956e-36,9.13560167601549e-37,5.38702160048328e-52,2.9665582124816776e-42,6.733200793419803e-40,1.7127116554439752e-37,5.689287938996284e-15,1.17798919719335e-38,9.046225628947841e-63,5.373920940366452e-46,1.9462235652369835e-55,4.3925559364363076e-55,2.7558640262280196e-40,3.3332802533542448e-71,6.086096263742838e-62,4.9412853073325426e-60,7.718140525646923e-62,2.617532715767873e-64,7.820396161315991e-76,1.1662021429704151e-40,3.8580032100747326e-59,4.432892218858745e-55,1.155262734850322e-55,9.485503184381986e-70,1.2009988877495796e-57,1.6963244890820155e-57,3.5216086812315556e-54,5.1161094620524356e-85,3.437923363398065e-60,1.054008949645663e-53,2.0015351811410209e-54,8.031313267463156e-80,8.081884214148821e-67,4.379699014837507e-59,2.2005064862544937e-72,2.265204103620553e-78,1.5706739681133048e-83,4.105667173373032e-89,9.018726225992466e-81,2.4993907704188786e-36,4.588986058776372e-98,2.0812074434205053e-96
2.7760096762072314e-21,0.2969415100549426,3.76,0.0,0.5272683725436816,0.9999999999999882,5.729744948490358e-49,0.0,9.913408742281367e-36,2.411978655197179e-18,2.411978655197158e-18,6.254857019715848e-20,8.761455033294872e-38,1.0522454044914466e-36,2.959287585829666e-30,2.1217170674732982e-32,9.114226837812463e-21,8.00121046795158e-46,6.254857019422043e-20,1.0519698684466596e-35,1.411357437847064e-26,2.635507067442e-35,1.0060122506762686e-35,5.586162450293795e-46,4.738826329862722e-41,1.280480794649204e-45,9.114226837812463e-21,1.1946804133228529e-41,3.122251075124594e-36,1.2967633530241858e-60,2.1879261056334137e-35,3.813933865057791e-36,4.528116247607243e-51,1.23847965689624e-41,2.810978788124488e-39,7.1502340135148685e-37,1.1713239874342847e-14,4.917873010623346e-38,7.603897717147168e-62,2.243506264114256e-45,1.665035058561643e-54,3.7579235614634826e-54,1.1505189816583717e-39,5.729056247885005e-70,5.115730624529071e-61,4.153448035587633e-59,6.487562164658797e-61,2.2001939658027922e-63,1.3190254139905073e-74,4.8686643795244815e-40,3.242884160199528e-58,3.7261130117437993e-54,9.883508872021155e-55,1.6303143997577289e-68,1.0274777215217936e-56,1.4512407797872055e-56,2.9601242894119887e-53,1.7625758940169848e-83,2.889781799697923e-59,8.859580309767686e-53,1.6824109212839314e-53,1.380374511870091e-78,6.79567960599487e-66,3.6814009186331995e-58,1.8496582931532448e-71,3.8205978099483114e-77,2.6491712217566376e-82,1.4144634790001753e-87,1.521950155798034e-79,1.0434464460404577e-35,1.5513652960653665e-96,7.035787340156154e-95
5.631333914591813e-21,0.2969415100549426,3.76,0.0,0.5272683725436816,0.9999999999999761,4.6975910854198135e-48,0.0,4.049950937819785e-35,4.892870986257134e-18,4.892870986257048e-18,1.2688424239994895e-19,3.5793402603865764e-37,4.298765816503067e-36,6.046777087289594e-30,8.667906519859721e-32,1.8488860156705285e-20,6.559875754396097e-45,1.2688424239398897e-19,4.297640162213568e-35,2.86303937909204e-26,1.0766906315279603e-34,4.1098882977301957e-35,2.28212963623922e-45,1.9359651798452783e-40,5.231181861890152e-45,1.8488860156705285e-20,4.880659303065189e-41,1.2755414407290155e-35,1.0631649449273456e-59,8.938392044221262e-35,1.5581164294737284e-35,3.7124232770488996e-50,5.059593504385197e-41,1.1483765550870584e-38,2.921103900911635e-36,2.3761143744846863e-14,2.0091115910669184e-37,6.234134756720864e-61,9.165455595543482e-45,1.3766831160137504e-53,3.1071236678966784e-53,4.7002454451743173e-39,9.495489914542361e-69,4.194185045486599e-60,3.405247640335316e-58,5.318895424582825e-60,1.803851943322169e-62,2.1665042514315118e-73,1.9890082596213607e-39,2.6587123613398975e-57,3.0548925692933785e-53,8.171873507594081e-54,2.702125582183637e-67,8.495376237478913e-56,1.1999137320368538e-55,2.426888735629945e-52,5.849344586440863e-82,2.3692177374578556e-58,7.263619211181555e-52,1.3793421202438553e-52,2.287867139288299e-77,5.575392669190217e-65,3.018234893970802e-57,1.5164616220042475e-70,6.275343375377288e-76,4.351271686698712e-81,4.694086831485771e-86,2.5004628959455297e-78,4.262819200236531e-35,5.101928581628169e-95,2.3138383085109466e-93
1.1341982391360975e-20,0.2969415100549426,3.76,0.0,0.5272683725436816,0.999999999999952,3.804231054309156e-47,0.0,1.6370549222400255e-34,9.854655648377045e-18,9.854655648376695e-18,2.555555868055265e-19,1.4468265620136504e-36,1.7376298743296198e-35,1.2354561367654174e-29,3.5037064032286355e-31,3.7238126794490923e-20,5.312357462164984e-44,2.5555558679352286e-19,1.7371748671580991e-34,5.766403277322722e-26,4.352155680655808e-34,1.6612825614055038e-34,9.224732897506255e-45,7.82548079114159e-40,2.1145273521437587e-44,3.7238126794490923e-20,1.9728405253446574e-40,5.155942444929841e-35,8.6097853839597e-59,3.613040976867258e-34,6.298155729316365e-35,3.006416620827365e-49,2.0451685904149516e-40,4.641921646560544e-38,1.1807569011815556e-35,4.785695148509848e-14,8.121150280255584e-37,5.048563956938341e-60,3.7048240735356666e-44,1.119495819264092e-52,2.526661284301681e-52,1.899914359398669e-38,1.5460943252150064e-67,3.396559791541979e-59,2.7576578261505243e-57,4.307379416502032e-59,1.4608060717815519e-61,3.511997596175011e-72,8.039889400277569e-39,2.153094201985713e-56,2.473931206051971e-52,6.645230731132667e-53,4.399710258868676e-66,6.908295601861377e-55,9.757498365834686e-55,1.9653574194418827e-51,1.90592342653496e-80,1.9186539597985923e-57,5.882267159159015e-51,1.1170270108148209e-51,3.725196658243484e-76,4.521388014564671e-64,2.4442448701619425e-56,1.2280699410631593e-69,1.0172602034391005e-74,7.05359891316558e-80,1.5294995748819634e-84,4.0538854270199895e-77,1.723099677326198e-34,1.655020548331876e-93,7.505887008998382e-92
2.27632793448993e-20,0.2969415100549426,3.76,0.0,0.5272683725436816,0.9999999999999039,3.061976113230675e-46,0.0,6.582525842268186e-34,1.9778224972616866e-17,1.9778224972615458e-17,5.128982756166686e-19,5.817625972421468e-36,6.986933300515282e-35,2.550135103816211e-29,1.4088249348773553e-30,7.47366600700622e-20,4.2758474501897526e-43,5.128982755925781e-19,6.985103739022382e-34,1.1573131136747e-25,1.7499826577146158e-33,6.679944113571225e-34,3.7092245477028154e-44,3.146591408407826e-39,8.502421516179045e-44,7.47366600700622e-20,7.932704983871274e-40,2.073181780425968e-34,6.929904336863698e-58,1.452787886066707e-33,2.5324607184628046e-34,2.419825648776491e-48,8.223532952294505e-40,1.8664962792019275e-37,4.747771568075584e-35,9.604856696257601e-14,3.26547880945922e-36,4.063523487822315e-59,1.489693770176717e-43,9.029139238964733e-52,2.0378438283094253e-51,7.639472077874335e-38,2.495402432195584e-66,2.7338468144437986e-58,2.21960292929456e-56,3.466953687938501e-58,1.1757838139214121e-60,5.655964536810493e-71,3.2328041669951387e-38,1.732997528719858e-55,1.9912350617808964e-51,5.359618890994855e-52,7.101149482031817e-65,5.571789373568447e-54,7.869775592942013e-54,1.5818906333806773e-50,6.154110701104812e-79,1.5442996299061025e-56,4.734560355205401e-50,8.990805174282562e-51,6.012480922604725e-75,3.649332613238788e-63,1.9673409160047272e-55,9.884575324945307e-69,1.6382661972541035e-73,1.1359603599317148e-78,4.9386610028661555e-83,6.529080698015371e-76,6.928508017654661e-34,5.332226112956155e-92,2.4182833712836515e-90
4.560587325197595e-20,0.2969415100549426,3.76,0.0,0.5272683725436816,0.9999999999998075,2.4570429945094954e-45,0.0,2.6398872735998332e-33,3.962536362109651e-17,3.962536362109085e-17,1.0275836532388992e-18,2.3331282148696694e-35,2.8020727513947387e-34,5.391981481829208e-29,5.650018101208636e-30,1.4973372662120478e-19,3.431098295287249e-42,1.027583653190638e-18,2.801339017277297e-33,2.318658710744722e-25,7.01821315630122e-33,2.678956357361735e-33,1.487564959968105e-43,1.2619238895157449e-38,3.4098513349549505e-43,1.4973372662120473e-19,3.181369497545907e-39,8.314386192549085e-34,5.560811841051073e-57,5.8263291983899356e-33,1.0156300151775273e-33,1.941757687846599e-47,3.298004520385737e-39,7.485484898750124e-37,1.9040687480714976e-34,1.9243179790542836e-13,1.3096030546103284e-35,3.260721687432617e-58,5.974340743520146e-43,7.252695619068291e-51,1.636906972810645e-50,3.063769986968645e-37,4.01004468405362e-65,2.1937398972331853e-57,1.781091565048806e-55,2.782011993450078e-57,9.43492462547247e-60,9.079076231304065e-70,1.2964990615544767e-37,1.3906213764249016e-54,1.597840733474604e-50,4.3051371888291145e-51,1.1411356092059711e-63,4.475563713372087e-53,6.321431601873887e-53,1.2693676092678683e-49,1.978183806108523e-77,1.2392031979621502e-55,3.799186512594725e-49,7.214554930761821e-50,9.661894233338475e-74,2.944610826219394e-62,1.5786671862915373e-54,7.931749257916655e-68,2.62978006782656e-72,1.8234679549619655e-77,1.5874883787668065e-81,1.0480959598067847e-74,2.77864160001655e-33,1.7121232044340147e-90,7.764860280572677e-89
