Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237),CHFO2(134),CF3O(47),CHO3(229),CH2F(45)
0.0,0.17473430901809137,3.76,0.0,0.6055279017074126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.049778063039214e-23,0.17473430901809137,3.76,0.0,0.6055279017074126,0.9999999999999996,1.5630891715690598e-51,0.0,4.375818346079608e-37,3.0639155064362945e-19,3.063915506436293e-19,5.9253858057027904e-21,5.538061746864073e-40,6.659945228535206e-39,5.662245847562022e-31,1.2741914126130165e-34,1.2475126579919785e-21,4.668231682492943e-36,5.925385805136694e-21,4.150856508594748e-25,4.154222604246914e-27,1.137931996695963e-37,3.9919272286102937e-38,3.0581083930315794e-41,7.503303539085091e-43,1.8325298678809874e-47,1.2475126579919785e-21,1.707128940942035e-43,1.806461482897762e-38,9.824238469973685e-64,5.204108083905847e-38,2.9611981250134397e-38,1.2779651704997738e-52,2.1880308121145926e-43,4.047066104070858e-41,7.43895391340844e-39,4.358896789039265e-16,6.789335676204729e-40,1.3121192575057482e-64,7.494823226139123e-47,1.5007552353427187e-57,2.953615225836709e-57,1.7732816269138687e-41,2.793825543499916e-74,1.1752723372187505e-63,1.1233647237125052e-61,1.8602640882916037e-63,9.284033402102474e-66,1.2618110532605168e-78,7.745666732115006e-42,2.902637812838051e-61,3.9843538860783164e-37,7.643290752271603e-58,5.2072977523155864e-73,1.104083673879723e-59,1.381825123328407e-59,2.587620349263294e-56,3.433621777968237e-89,3.803889637326341e-62,8.50636470955044e-56,1.5923678681478635e-38,1.3476279601414567e-82,9.825273128192107e-61,1.0746763611620099e-60,7.422710341462292e-74,1.9675256702843334e-80,1.4866395237157585e-85,3.1550528770665446e-93,5.770201777383235e-83,2.3658499962704805e-38,5.634992103624308e-101,1.2484234722209953e-99,5.935772995866486e-93,4.3039320540137276e-76,4.2180672244332513e-41,2.368657122671166e-62,1.8144145788158723e-79,4.150856508594394e-25
1.1339378576509798e-22,0.17473430901809137,3.76,0.0,0.6055279017074126,0.9999999999999988,1.8556994644868968e-50,0.0,2.6429942810322525e-36,8.578963418021625e-19,8.578963418021618e-19,1.659108025596781e-20,3.344989295107774e-39,4.0226069180328535e-38,1.5858418405857936e-30,7.696116132182604e-34,3.4930354423775404e-21,2.819611936225831e-35,1.6591080254382736e-20,1.1622398224066446e-24,1.1631823292121307e-26,6.873109260043558e-37,2.4111240460807616e-37,1.8470974693910733e-40,4.531995337607453e-42,1.1068480402730857e-46,3.4930354423775404e-21,1.0311058803292772e-42,1.0911027356701024e-37,1.1663335912256147e-62,3.1432812826791294e-37,1.7885636675081168e-37,1.5172002504173296e-51,1.3215706105172517e-42,2.4444279268717853e-40,4.493128163698695e-38,1.2204911009304956e-15,4.1007587484262595e-39,1.5577479825114833e-63,4.5268732378037525e-46,2.2679321759536084e-56,4.463256114492212e-56,1.0710621026559798e-40,7.878614131770956e-73,1.395283318747107e-62,1.3336585999914848e-60,2.2085055256197694e-62,1.102200445498531e-64,2.8227276160658748e-77,4.678382706195366e-41,3.4460116114013453e-60,2.4065497471913004e-36,1.1550213438021062e-56,1.468501297215619e-71,1.6684439578705385e-58,2.0881808494404557e-58,3.0720228786450047e-55,1.7772940617273132e-87,4.5159795320942013e-61,1.009875618317499e-54,9.617901923612338e-38,3.800422569385995e-81,1.4631350073736272e-59,1.275855775971544e-59,8.815887273192084e-73,4.4012762233992537e-79,3.325553148971306e-84,1.6331026261616523e-91,1.2989562158786264e-81,1.4289733977469507e-37,2.3396833196378355e-99,5.183530908450015e-98,3.611020379107765e-91,9.641311833967635e-75,2.547712604205973e-40,2.8120697360353223e-61,5.704809742131248e-78,1.1622398224064304e-24
2.591857960345097e-22,0.17473430901809137,3.76,0.0,0.6055279017074126,0.9999999999999972,1.8219367383812317e-49,0.0,1.2724879750402022e-35,1.960905924119229e-18,1.9609059241192244e-18,3.7922469156497803e-20,1.6104683559908833e-38,1.9367120724544203e-37,3.6267283653186866e-30,3.7053486278786264e-33,7.984081011148665e-21,1.3575217732690865e-34,3.792246915287478e-20,2.6565481655014434e-24,2.658702466878988e-26,3.309106246391769e-36,1.160852438080089e-36,8.892979206935821e-40,2.181960669166027e-41,5.328996856871595e-46,7.984081011148665e-21,4.964330960263679e-42,5.253189992264501e-37,1.1451132362741578e-61,1.5133546307998168e-36,8.611164147539069e-37,1.4895962027345306e-50,6.362793601629789e-42,1.176886823083286e-39,2.1632477980191687e-37,2.7896939449816383e-15,1.9743388146382382e-38,1.5294062065506905e-62,2.17949460772153e-45,2.439734798303207e-55,4.8012821553334786e-55,5.156702971065569e-40,1.713738473470159e-71,1.3698974362651821e-61,1.3093939219592894e-59,2.1683238213126187e-61,1.0821469333518266e-63,5.577328494981889e-76,2.2524398856958957e-40,3.383314634644066e-59,1.1586501100715695e-35,1.2425079793680124e-55,3.194280461144972e-70,1.7948195950157764e-57,2.2463582132471008e-57,3.016130279100044e-54,7.760284758459398e-86,4.4338162528843836e-60,9.915018705441776e-54,4.630605760572846e-37,8.266669744699096e-80,1.566517421686728e-58,1.2526427665704532e-58,8.663013418491824e-72,8.696180138960283e-78,6.570732618732845e-83,7.130694740792683e-90,2.5737556496850842e-80,6.879891789148262e-37,9.282375295837199e-98,2.0564953746514825e-96,1.6301872095085105e-89,1.906162155368485e-73,1.2266139498376215e-39,2.7609067421858646e-60,1.2727116713562522e-76,2.6565481655004126e-24
5.507698165733331e-22,0.17473430901809137,3.76,0.0,0.6055279017074126,0.9999999999999941,1.611482412321542e-48,0.0,5.557289299523708e-35,4.166925088753361e-18,4.166925088753344e-18,8.058524695755765e-20,7.033338418546419e-38,8.458130440202331e-37,7.71510946707931e-30,1.618223094018504e-32,1.6966172148690912e-20,5.92865423676747e-34,8.058524694985875e-20,5.6451648516928785e-24,5.649742742580621e-26,1.4451736358037782e-35,5.069747580337301e-36,3.8837976591500925e-39,9.529195494638903e-41,2.327312933308596e-45,1.6966172148690912e-20,2.16805375500073e-41,2.2942060832778942e-36,1.012839689745835e-60,6.609217266560384e-36,3.760721618767054e-36,1.3175309721784347e-49,2.7787991313860977e-41,5.139773952371287e-39,9.447471470028657e-37,5.9280996330759425e-15,8.622456308758332e-38,1.3527424697222589e-61,9.518425636090738e-45,2.2425354690222446e-54,4.413174642511048e-54,2.2520676661806518e-39,3.1769585809801585e-70,1.2116587687852652e-60,1.158144095558629e-58,1.9178578644649535e-60,9.571467076288722e-63,9.924635196801779e-75,9.836996749753522e-40,2.9925034795235857e-58,5.060129435319412e-35,1.1420748113363451e-54,5.921635066305441e-69,1.64974252736705e-56,2.064786059272517e-56,2.6677330752737847e-53,2.888948076187668e-84,3.9216605696595013e-59,8.769721760936656e-53,2.0223071925466064e-36,1.532495393346807e-78,1.4371967301051816e-57,1.1079483413036143e-57,7.675633188527791e-71,1.5474387922157846e-76,1.1692267622139728e-81,2.654568420422228e-88,4.585774417054587e-79,3.0046294952570048e-36,3.3172132302615825e-96,7.34923276355375e-95,6.155276722590635e-88,3.3928954376946717e-72,5.356945385078693e-39,2.441990747189809e-59,2.383648106725656e-75,5.645164851688378e-24
1.1339378576509799e-21,0.17473430901809137,3.76,0.0,0.6055279017074126,0.9999999999999878,1.354548066656279e-47,0.0,2.320058887093753e-34,8.578963418021628e-18,8.578963418021555e-18,1.6591080255967677e-19,2.936280338213474e-37,3.531102960135724e-36,1.5918303879779906e-29,6.75576286967397e-32,3.4930354423775405e-20,2.475096438059047e-33,1.6591080254382608e-19,1.1622398224083104e-23,1.1631823295455547e-25,6.033315446481141e-35,2.1165198166111812e-35,1.621409069985332e-38,3.9782515364236615e-40,9.716073369360968e-45,3.4930354423775405e-20,9.051197644913619e-41,9.577858782303562e-36,8.513527878309362e-60,2.7592181060868433e-35,1.5700272458821122e-35,1.1074641693123545e-48,1.1600939365836622e-40,2.1457544485595352e-38,3.9441333648891e-36,1.2204911009232622e-14,3.599705775504238e-37,1.1370615546538194e-60,3.9737553989769935e-44,1.9185358723294015e-53,3.77555205132737e-53,9.401939185897677e-39,5.460361864193198e-69,1.0184722030875906e-59,9.73489895733649e-58,1.6120750946878029e-59,8.04539480183059e-62,1.6739410651785467e-73,4.1067525013380905e-39,2.5153794864005742e-57,2.112504430398679e-34,9.770674866217e-54,1.01777603700371e-67,1.411387213971207e-55,1.7664663607794828e-55,2.2423903927410198e-52,9.952846649898525e-83,3.29639212764035e-58,7.371479555422106e-52,8.442734436909349e-36,2.6339635294172144e-77,1.22852092606044e-56,9.312973397612706e-57,6.474164328020242e-70,2.6099817014807045e-75,1.9720718322506447e-80,9.145374618494333e-87,7.739391769927521e-78,1.254373668016754e-35,1.121529784209968e-94,2.4847312678764504e-93,2.1355514364645446e-86,5.7234130570906866e-71,2.236419251438128e-38,2.052640363994219e-58,4.1171593329652905e-74,1.1622398224064311e-23
2.3002739398062734e-21,0.17473430901809137,3.76,0.0,0.6055279017074126,0.9999999999999752,1.1105403433930784e-46,0.0,9.47819757036212e-34,1.7403040076558163e-17,1.7403040076557867e-17,3.365619137639127e-19,1.1995663266398794e-36,1.4425707762531553e-35,3.2430421541898503e-29,2.7599495673760915e-31,7.085871897394439e-20,1.0111576553557922e-32,3.3656191373175863e-19,2.357686496889296e-23,2.3595984407092053e-25,2.4648062221225994e-34,8.646674054275999e-35,6.623985103642024e-38,1.6252455597806164e-39,3.969333003352419e-44,7.085871897394439e-20,3.697709571270995e-40,3.912867830398619e-35,6.979904527378614e-59,1.127230627406311e-34,6.414073586704e-35,9.079660361690875e-48,4.739362260276956e-40,8.766107065595511e-38,1.611307173459875e-35,2.4758533761418276e-14,1.4705972647921307e-36,9.322317608772745e-60,1.6234087952483706e-43,1.5862823900488775e-52,3.1216948467414266e-52,3.8409989351608075e-38,9.050135058042743e-68,8.350050455997278e-59,7.981258323045864e-57,1.3216765600996236e-58,6.596100740910892e-61,2.7494583030396467e-72,1.6777423968182427e-38,2.062260075778738e-56,8.630269891400695e-34,8.078576829209235e-53,1.6868877828918234e-66,1.1669613618714629e-54,1.4605479278318942e-54,1.8384471234857708e-51,3.3029841786583553e-81,2.702581474035997e-57,6.043584305536575e-51,3.4491324971140026e-35,4.365597857393092e-76,1.015361704573187e-55,7.635338257516401e-56,5.344519690252065e-69,4.2869027819665305e-74,3.239133906234224e-79,3.0350138744550133e-85,1.2715866573019892e-76,5.124525725872138e-35,3.688509130612897e-93,8.171832881993412e-92,7.112277912115398e-85,9.401369292408653e-70,9.136502407380699e-38,1.682878585710888e-57,6.840721809104196e-73,2.3576864968816195e-23
4.632946104116861e-21,0.17473430901809137,3.76,0.0,0.6055279017074126,0.9999999999999502,8.993443627843005e-46,0.0,3.831239001289634e-33,3.505119339363125e-17,3.505119339363005e-17,6.778641361723758e-19,4.848838886525415e-36,5.831101724719234e-35,6.587757221300522e-29,1.1156157429303312e-30,1.4271544807428236e-19,4.0872609131523045e-32,6.778641361076149e-19,4.748579845863031e-23,4.752430665391169e-25,9.963140838425614e-34,3.4951239011692342e-34,2.6775206873019337e-37,6.569502407044042e-39,1.6044678676064853e-43,1.4271544807428236e-19,1.4946733300109617e-39,1.5816437384139803e-34,5.652507663936603e-58,4.55644642464734e-34,2.5926710959591757e-34,7.352944366988751e-47,1.91572600148881e-39,3.5434006345487633e-37,6.513161220976549e-35,4.986577926527876e-14,5.9443892724938166e-36,7.549454497095731e-59,6.562078350253705e-43,1.2899384280163673e-51,2.5385085854915124e-51,1.5525931818814226e-37,1.47357875290742e-66,6.76208734910313e-58,6.463429918097952e-56,1.0703279451471097e-57,5.341693395595968e-60,4.4569944775149505e-71,6.781703015765855e-38,1.6700716770689234e-55,3.488493076247785e-33,6.569362100385809e-52,2.746658381454112e-65,9.489532509034001e-54,1.1876930737504437e-53,1.488822145552097e-50,1.0762288702757403e-79,2.1886205660406724e-56,4.894251261072371e-50,1.3941945022137252e-34,7.108241609379722e-75,8.255158047327974e-55,6.183294880449983e-55,4.387419600142908e-68,6.949254144749659e-73,5.250775645766424e-78,9.88914683417346e-84,2.061610035785373e-75,2.071415232493849e-34,1.1965467930832025e-91,2.65093024917227e-90,2.3215659678259476e-83,1.5240544803877398e-68,3.6931203852025073e-37,1.3628387102843636e-56,1.1152103058060487e-71,4.7485798458320005e-23
9.298290432738035e-21,0.17473430901809137,3.76,0.0,0.6055279017074126,0.9999999999999,7.238705843630042e-45,0.0,1.5405243520239516e-32,7.034750002777749e-17,7.034750002777267e-17,1.3604685809892657e-18,1.9496967903781635e-35,2.3446603572966825e-34,1.3446353494269631e-28,4.485841835759247e-30,2.864289062749583e-19,1.6434696367556489e-31,1.3604685808592922e-18,9.530366543857554e-23,9.538095124173741e-25,4.006135111643172e-33,1.405373948552482e-33,1.0766192922002749e-36,2.641568024153251e-38,6.451494756545999e-43,2.8642890627495824e-19,6.010015721963325e-39,6.35971990888579e-34,4.549629943372109e-57,1.832127067371181e-33,1.042501644703407e-33,5.918289318254608e-46,7.703049995310293e-39,1.4247858112259655e-36,2.618913481030783e-34,1.0008027027095644e-13,2.390212782040363e-35,6.0764577671304375e-58,2.6385831967045496e-42,1.040382046668288e-50,2.0473984139676282e-50,6.242908898817283e-37,2.3783611471269386e-65,5.44271618711785e-57,5.2023307037790354e-55,8.614930466804769e-57,4.299459561833217e-59,7.17785548378101e-70,2.7268929555425683e-37,1.3442189786575618e-54,1.402707723009162e-32,5.298427566152434e-51,4.4331168449039265e-64,7.653650365466402e-53,9.579173936580438e-53,1.1983335873281411e-49,3.4750771121354136e-78,1.7615922448976168e-55,3.939319205058272e-49,5.605994774469252e-34,1.1472728391184813e-73,6.657449659549434e-54,4.9768536542843025e-54,3.6268171202116295e-67,1.1191559566551207e-71,8.456212305128918e-77,3.1931449500200065e-82,3.3204108142377326e-74,8.32906954553932e-34,3.855136354808634e-90,8.540992827853788e-89,7.50290004726328e-82,2.4544844921841658e-67,1.4849874897179888e-36,1.0969311583281314e-55,1.801067622813763e-70,9.530366543732785e-23
1.8628979089980384e-20,0.17473430901809134,3.76,0.0,0.6055279017074124,0.9999999999997995,5.80860556178965e-44,0.0,6.17819166802638e-32,1.4094011329607021e-16,1.4094011329605084e-16,2.725677470622901e-18,7.819156153216474e-35,9.403136706966605e-34,2.784021059519857e-28,1.7990232103187293e-29,5.738558226763102e-19,6.591048303180314e-31,2.7256774703625053e-18,1.9093939940034818e-22,1.9109424079413478e-24,1.606639358539157e-32,5.636178102602636e-33,4.317724891470407e-36,1.0593869247046726e-37,2.5873379699574033e-42,5.738558226763099e-19,2.4102851091189823e-38,2.5505321288417404e-33,3.650791533372953e-56,7.347648979016484e-33,4.180897865517124e-33,4.7490544570562025e-45,3.0892675754625766e-38,5.714028358184659e-36,1.0503014396615385e-33,2.0050925227413858e-13,9.585822304331587e-35,4.875974676452183e-57,1.0581901586427483e-41,8.356914276141965e-50,1.6445814595912894e-49,2.5036856893514842e-36,3.821961795469676e-64,4.367436970280087e-56,4.1745427584378717e-54,6.912939150230327e-56,3.450045528242983e-58,1.1522050334342012e-68,1.0936060383740072e-36,1.0786510744188618e-53,5.625485345628615e-32,4.2559847793193796e-50,7.123899076045129e-63,6.1478276444301e-52,7.694513054934108e-52,9.615872353990783e-49,1.1170323748826321e-76,1.413566838370633e-54,3.161055572257891e-48,2.2482546387824056e-33,1.8436364754619869e-72,5.347372562452905e-53,3.993611626269857e-53,3.063461009308033e-66,1.7964931660884227e-70,1.3574093518312624e-75,1.0264078095952137e-80,5.3301961689199015e-73,3.340329414367883e-33,1.2378517651463496e-88,2.74244075321243e-87,2.4128202137541446e-80,3.940024638659519e-66,5.9554642172887186e-36,8.802181722519516e-55,2.895163601661962e-69,1.9093939939534429e-22
