Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44)
0.0,0.5619812170671217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.535556160008152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1591718840490557e-21,0.5619812170671216,4.120241049821185e-34,4.223596237816042e-31,6.288395374706117e-39,2.9689309428468765e-24,0.0,0.0,1.8092910733274314e-22,3.859157102398792e-40,6.551269448075227e-56,2.864284607250935e-50,3.6124566689600246e-65,1.5069850201198324e-74,3.648873906779201e-51,1.5219792786545718e-56,1.0282494097777253e-61,3.3863381361459565e-71,1.2096182833909894e-99,6.014512430757394e-133,4.581167775117512e-120,6.888166666132319e-126,4.950258470489702e-67,-4.796957546891864e-113,2.4551941800152695e-80,1.6856448623587221e-127,-7.109021109566034e-125,-9.511856908008735e-130,1.3516103771401675e-135,-2.967694849810422e-134,9.940693772568487e-84,-1.6452528951065624e-134,6.3202330033374e-139,-2.5788279953308143e-140,3.76,0.0,0.535556160008152,0.9999999999999996,6.592883608139331e-53,3.472033073972478e-77,2.5366319520446263e-21,2.5366319520446297e-21,1.8092910733315134e-22,9.49894282405412e-42,1.1521132593125606e-40,3.776133764118474e-36,8.135951919404632e-29,3.1811493580210823e-38,6.294327148392116e-39,1.4821628793396116e-41,2.7121961911315524e-46,5.183172025990256e-51,2.9689309428468765e-24,4.29610726026527e-47,2.4955920069892187e-47,1.1590813038422804e-38,2.6192162064686417e-66,1.5958626084648893e-44,3.0019502989976187e-43,5.785111525222864e-44,9.399679355990415e-61,3.068928104770851e-60,5.285706038714971e-52,7.407732780775182e-45,2.5057081917890827e-69,4.387482193534725e-16,6.232794524065012e-73,1.4080569902997206e-68,1.2542709398056485e-68,8.13595191940473e-29,2.2537528046284633e-45,1.0021522007316839e-66,7.83781344659175e-62,6.011409679588928e-64,6.804667213821018e-76,4.389111123516883e-65,3.3229098783841724e-61,2.4184092159903133e-91,6.793773485389073e-61
3.2456812753373564e-21,0.5619812170671216,1.1659028144139129e-33,1.1826069841620705e-30,3.7981908063235275e-38,8.313006639971254e-24,0.0,0.0,5.066015005316806e-22,2.3309308898488696e-39,7.777667088754894e-55,3.40047868572828e-49,4.288708557389217e-64,1.789092615886122e-73,2.203919839694566e-50,9.193371143624727e-56,1.5538905079746702e-60,4.0205075257528315e-70,7.358698311589637e-98,4.649256574987164e-131,2.1889549571973846e-118,3.2919918501408786e-124,5.876946876602682e-66,1.430902322210299e-111,6.924040418361707e-79,1.300984826472493e-125,2.120717680290338e-123,2.8381046898663374e-128,2.2108885659778525e-134,8.876504893091897e-133,3.1255131731958767e-82,6.520060380116983e-133,3.922306203610049e-136,1.0219668411703851e-138,3.76,0.0,0.535556160008152,0.9999999999999988,7.827071419584966e-52,9.791688793399316e-76,7.102569465724942e-21,7.102569465724964e-21,5.066015005328234e-22,5.737361465779584e-41,6.958764086239405e-40,2.2807847935275365e-35,2.278066537433267e-28,1.921414212244717e-37,3.801773597628834e-38,8.952263791211234e-41,1.638166499444531e-45,3.1306359042020515e-50,8.313006639971254e-24,2.594848785203265e-46,1.5073375722226615e-46,7.00085107520736e-38,3.10953348077769e-65,9.639010155723222e-44,1.813177980587919e-42,3.4942073612346084e-43,1.4204795006816533e-59,4.6377610258081926e-59,3.1925670242455395e-51,4.474270599588265e-44,2.9747767653122834e-68,1.2284950141852083e-15,7.399573659032621e-72,1.6716452588922515e-67,1.489070459737275e-67,2.2780665374333257e-28,1.3612666939955967e-44,1.1897550927086644e-65,1.1844495131393046e-60,9.084439699368206e-63,1.9190236944745214e-74,5.2107527259182634e-64,3.9449586076176776e-60,1.2518374066658932e-89,1.0266745120849067e-59
7.418700057913957e-21,0.5619812170671216,2.7226015151334266e-33,2.703101855217318e-30,1.8286653749660889e-37,1.900115803422001e-23,0.0,0.0,1.1579462869295546e-21,1.1222428853775676e-38,7.636159668676437e-54,3.338610138211599e-48,4.210679493339422e-63,1.7565417394512297e-72,1.061092532091284e-49,4.4268225845669835e-55,1.6716045003718293e-59,3.947866983489557e-69,3.322068170977557e-96,5.061962183240033e-129,1.1399251316799293e-116,1.714556918106538e-122,5.7700213353905585e-65,1.845948989558861e-109,1.5061300309283108e-77,1.4180268853801649e-123,2.735912621185239e-121,3.6617606035769893e-126,6.624501106008324e-132,1.146565340164201e-130,6.972847955167683e-81,1.7951212711804971e-130,6.228462303564521e-134,2.813719410990257e-136,3.76,0.0,0.535556160008152,0.9999999999999972,7.684665133653252e-51,2.1299061897638532e-74,1.623444449308552e-20,1.623444449308563e-20,1.157946286932166e-21,2.7622925733112813e-40,3.350345358068234e-39,1.09809969860562e-34,5.207009228418753e-28,9.25078233312506e-37,1.8303903347524213e-37,4.310129653119563e-40,7.887066523826349e-45,1.5072664258994738e-49,1.900115803422001e-23,1.2493079912896162e-45,7.25718155634191e-46,3.37060843157333e-37,3.052958411653825e-64,4.6407684663088345e-43,8.729671469385438e-42,1.682310431534806e-42,1.5280870116388515e-58,4.989090602271488e-58,1.5370841648690962e-50,2.154168692649504e-43,2.92065346841015e-67,2.807988603830622e-15,7.264945297436755e-71,1.64123122791853e-66,1.4619782074374907e-66,5.207009228419037e-28,6.553913155859642e-44,1.1681086051728784e-64,1.2741764424138151e-59,9.77262478394867e-62,4.174294681755949e-73,5.115947925807425e-63,3.8731837542445504e-59,5.466010658580746e-88,1.1044494053942581e-58
1.5764737623067157e-20,0.5619812170671217,6.031764043996147e-33,5.744092198505073e-30,7.986262125892779e-37,4.0377460822717523e-23,0.0,0.0,2.4606358597252978e-21,4.90112952004645e-38,6.754096750187539e-53,2.9529628586912337e-47,3.7242983274302227e-62,1.5536412763418007e-71,4.6340698616084735e-49,1.933842536864762e-54,1.5364925279262349e-58,3.4927426856506444e-68,1.25434973139325e-94,4.1394952537805e-127,4.5502262807437405e-115,6.845608652137653e-121,5.1035186021624705e-64,1.5843322787906948e-107,2.7921112455976766e-76,1.160275513181661e-121,2.3481846265027413e-119,3.143473745108112e-124,1.2586682067682247e-129,9.866705483766389e-129,1.3059372520025378e-79,3.2146560910434225e-128,8.229902926280601e-132,5.038742382997212e-134,3.76,0.0,0.535556160008152,0.9999999999999941,6.796999284660015e-50,3.948487117571768e-73,3.449819454780649e-20,3.449819454780697e-20,2.460635859730845e-21,1.2063657387337612e-39,1.4631838393138375e-38,4.795689880430129e-34,1.1064894610389241e-27,4.0400596846865164e-36,7.99379547845792e-37,1.8823468567612783e-39,3.4444891627532495e-44,6.582628480602675e-49,4.0377460822717523e-23,5.4560562205827373e-45,3.169401848893986e-45,1.4720332558796737e-36,2.7003071431220687e-63,2.0267455136731093e-42,3.8124768796240163e-41,7.347091637033003e-42,1.4045752244651375e-57,4.585833418043717e-57,6.712855363297875e-50,9.407820631585318e-43,2.5832849175328204e-66,5.966975783049218e-15,6.425761842915637e-70,1.4516504347715104e-65,1.2931031681020858e-65,1.1064894610390479e-27,2.8622660618782195e-43,1.033178832866394e-63,1.1711875651764575e-58,8.982725525967009e-61,7.738438083503523e-72,4.52499800438973e-62,3.425787168218859e-58,2.0348585146962762e-86,1.0151792164259653e-57
3.2456812753373564e-20,0.5619812170671217,1.3433149611416305e-32,1.1826075289789618e-29,3.3341072276835926e-36,8.313006639971255e-23,0.0,0.0,5.066015005316768e-21,2.046125095691825e-37,5.6772252833906455e-52,2.482143212089599e-46,3.1304971500125955e-61,1.3059291066738138e-70,1.934632945373332e-48,8.077858595013286e-54,1.3145017063634685e-57,2.9373706249356567e-67,4.351921922331166e-93,2.9787604665757303e-125,1.617991037309296e-113,2.435351767719573e-119,4.289815020172912e-63,1.164531913295343e-105,4.7989258436601e-75,8.354061110481254e-120,1.7259920755895036e-117,2.3115097325149843e-122,1.9376404799142876e-127,7.290409138982443e-127,2.255681839186572e-78,4.8256796847429685e-126,1.0431604630507859e-129,7.563910982335164e-132,3.76,0.0,0.535556160008152,0.9999999999999878,5.7132874486988385e-49,6.786440512266253e-72,7.102569465724764e-20,7.102569465724964e-20,5.066015005328179e-21,5.036339486023489e-39,6.108504500757166e-38,2.0021061217353164e-33,2.2780665374328274e-27,1.686645389622546e-35,3.3372522540774405e-36,7.858427586258363e-39,1.4380064205524475e-43,2.748117814986783e-48,8.313006639971255e-23,2.2777960694337337e-44,1.3231628821215258e-44,6.145449072971567e-36,2.269770862306752e-62,8.46126355838514e-42,1.5916340484358748e-40,3.067266130673132e-41,1.2016436738444236e-56,3.92327688870239e-56,2.802489133480027e-49,3.927579920367751e-42,2.1714066279004743e-65,1.2284950141197482e-14,5.401240010536914e-69,1.2201996589758362e-64,1.0869311281006362e-64,2.2780665374333447e-27,1.1949397370140743e-42,8.684490627189687e-63,1.0019755790458586e-57,7.684910682161965e-60,1.3300397308269871e-70,3.803533474742862e-61,2.87958053404951e-57,7.010395797086488e-85,8.685071672824955e-57
6.584096301398638e-20,0.5619812170671217,3.136816278503509e-32,2.3990051091194863e-29,1.3620915917550438e-35,1.686352775537026e-22,0.0,0.0,1.0276773296499642e-20,8.359088650079757e-37,4.6545322908277367e-51,2.0350109700470735e-45,2.5665707002503676e-60,1.0706795825629856e-69,7.903606837031547e-48,3.303701482754991e-53,1.0868554307904447e-56,2.4107090807153613e-66,1.4493717002053055e-91,2.0189544558865753e-123,5.455020010514086e-112,8.218535265361854e-118,3.5170497381365046e-62,7.972363240755358e-104,7.953867649282684e-74,5.667362975992793e-118,1.1816126683523887e-115,1.5837632787967853e-120,2.7118616235152885e-125,5.043084074088436e-125,3.747849112419358e-77,6.675648329501718e-124,1.3181054884449983e-127,1.0463608938560282e-129,3.76,0.0,0.535556160008152,0.9999999999999751,4.6840982327520667e-48,1.1248027455067023e-70,1.4408069487612678e-19,1.44080694876135e-19,1.0276773296522749e-20,2.057509012062547e-38,2.4955234041014477e-37,8.179256778428648e-33,4.621220690219856e-27,6.890496755446022e-35,1.363376437650275e-35,3.2104240831645555e-38,5.874725437961086e-43,1.1226957992687385e-47,1.6863527755370258e-22,9.305540170372147e-44,5.405552110952774e-44,2.510616467374361e-35,1.860895291291207e-61,3.456702251470259e-41,6.502344424856258e-40,1.2530782968093473e-40,9.935422262332573e-56,3.2438411421310363e-55,1.1449116542027297e-48,1.604544551247661e-41,1.780250344614278e-64,2.4920898856338296e-14,4.428262890421887e-68,1.0003934018688334e-63,8.91131808429728e-64,4.621220690221971e-27,4.88171872493797e-42,7.120070110994438e-62,8.284527691507458e-57,6.354032715065057e-59,2.2044432680393788e-69,3.1183665431785416e-60,2.3608540987415672e-56,2.326494719535926e-83,7.1809851119551695e-56
1.3260926353521198e-19,0.5619812170671217,7.976715728738318e-32,4.8318041169349956e-29,5.505791993633543e-35,3.3964569986168274e-22,0.0,0.0,2.0698289878865126e-20,3.3788772826909574e-36,3.7693609260109735e-50,1.648004644765979e-44,2.0784754958996944e-59,8.670640851998161e-69,3.194764251325746e-47,1.3383456064486124e-52,8.838127862800452e-56,1.956263330663262e-65,4.7309906270598724e-90,1.3293237440714426e-121,1.7937924584454446e-110,2.7076571308884416e-116,2.8481983954435232e-61,5.2747543850517055e-102,1.295081156121703e-72,3.737846134922178e-116,7.817909124985784e-114,1.0495935230740862e-118,3.627115478995401e-123,3.4055564907098026e-123,6.109939961633872e-76,8.878734934499949e-122,1.672472138061696e-125,1.3916794198471272e-127,3.76,0.0,0.535556160008152,0.9999999999999498,3.7933041923631737e-47,1.8314496849747412e-69,2.901906953138725e-19,2.9019069531390567e-19,2.0698289878911495e-20,8.316780396659701e-38,1.0087304598823922e-36,3.306186364904321e-32,9.307528995790806e-27,2.785248958115029e-34,5.510985546120002e-35,1.29770474467986e-37,2.37465795085351e-42,4.538115948271145e-47,3.3964569986168264e-22,3.761448119796015e-43,2.1850105906453814e-43,1.0148313174163596e-34,1.5070012612942195e-60,1.3972543208997565e-40,2.6283515797414162e-39,5.065142825685614e-40,8.079320377199861e-55,2.6378377214166255e-54,4.6279434491219823e-48,6.485825620747354e-41,1.4416928854977114e-63,5.0192796281997074e-14,3.586122100115851e-67,8.101445139169846e-63,7.216616426188835e-63,9.307528995799351e-27,1.97326876058728e-41,5.766017376168397e-61,6.736840269836035e-56,5.1669938595847906e-58,3.5893643614891706e-68,2.5253340770270826e-59,1.91188085843665e-55,7.58054424663302e-82,5.83945779472092e-55
2.6614586457766324e-19,0.5619812170671216,2.266810189124952e-31,9.697417522703861e-29,2.2138547453281857e-34,6.816665444776428e-22,0.0,0.0,4.1541323043595034e-20,1.3586316945278231e-35,3.033909600242475e-49,1.3264575112706546e-43,1.6729379023781717e-58,6.978886086354708e-68,1.2846006543715919e-46,5.4050448078667115e-52,7.128270304517057e-55,1.581023758836543e-64,1.528974420339319e-88,8.628605609685219e-120,5.834928077603966e-109,8.840927871627234e-115,2.2924783904715347e-60,3.43204286792093e-100,2.0902662073504903e-71,2.434316469102371e-114,5.086759846881971e-112,6.85170974340646e-117,4.745019384031212e-121,2.305495928286545e-121,9.867569358889968e-75,1.158328990505996e-119,2.1301011892315034e-123,1.8155995721005042e-125,3.76,0.0,0.535556160008152,0.9999999999998993,3.053181224073055e-46,2.955967175397867e-68,5.824106961893138e-19,5.824106961894472e-19,4.154132304368745e-20,3.3441408209903042e-37,4.056060813273501e-36,1.3294029961912783e-31,1.8680145606920272e-26,1.1199363560874462e-33,2.2159430498997004e-34,5.2180137032288335e-37,9.548395179542334e-42,1.8247564827511146e-46,6.816665444776425e-22,1.5124617456367054e-42,8.785831485177458e-43,4.08059209342776e-34,1.2129657332096276e-59,5.618298194515915e-40,1.0568486100398565e-38,2.0366716529006376e-39,6.516264576412437e-54,2.1275116754036785e-53,1.8608978111888335e-47,2.607921956407247e-40,1.160399859213241e-62,1.007365911148232e-13,2.8864230533283496e-66,6.520747859945243e-62,5.808560731238768e-62,1.868014560695462e-26,7.934426898810237e-41,4.6409924165172583e-60,5.4335057113803204e-55,4.1673677273277905e-57,5.7932485220947126e-67,2.0326085663009756e-58,1.5388480447449916e-54,2.447711788927361e-80,4.7097342446000316e-54
5.332190666625658e-19,0.5619812170671216,7.209722326441712e-31,1.9428705894792968e-28,8.878547699830989e-34,1.3657082337095633e-21,0.0,0.0,8.322738937305061e-20,5.448720757933585e-35,2.434521385241263e-48,1.0643986154172876e-42,1.342427308704121e-57,5.600116569342868e-67,5.151823175692575e-46,2.186606795884872e-51,5.725814360557516e-54,1.2790279405380213e-63,4.9169525976181785e-87,5.561315578802708e-118,1.8931322056924196e-107,2.890025827653581e-113,1.8395703903599385e-59,2.2146559824414295e-98,3.359001680491093e-70,1.5793559261609933e-112,3.282425524705189e-110,4.450337774526422e-115,6.139919400545739e-119,1.6034135468014028e-119,1.586182955217926e-73,1.496801394438887e-117,2.719294474555422e-121,2.346131446015957e-123,3.76,0.0,0.535556160008152,0.9999999999997982,2.4499856497662626e-45,4.7501598957857897e-67,1.1668506979399952e-18,1.1668506979405298e-18,8.322738937323312e-20,1.341150041193218e-36,1.62666179760678e-35,5.331500604742699e-31,3.7425378829129465e-26,4.491445691683283e-33,8.886922734849223e-34,2.09265687636116e-36,3.8293335297386683e-41,7.318089793002039e-46,1.3657082337095618e-21,6.065648065987458e-42,3.523511381834069e-42,1.6364999384061722e-33,9.733286302027727e-59,2.2531888795032362e-39,4.2384356112364847e-38,8.16796425179162e-39,5.23421807692926e-53,1.7089330730845606e-52,7.463209828984168e-47,1.045893346681379e-39,9.311478084199272e-62,2.018241807065098e-13,2.3161727222628167e-65,5.2324894986898e-61,4.661004176445404e-61,3.7425378829267213e-26,3.1820600623409544e-40,3.7241041347656586e-59,4.364487264103614e-54,3.347456386728936e-56,9.309594828239387e-66,1.6310403684664213e-57,1.2348286426425388e-53,7.867950806637529e-79,3.783114665323196e-53
