Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237),CHFO2(134),CF3O(47),CHO3(229),CH2F(45),FO2(124),CH3F(39),CH2CO(28),S(455),S(1290)
0.0,0.4912421181036136,3.76,0.0,0.9745029807366266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1718900009212e-23,0.4912421181036136,3.76,0.0,0.9745029807366266,0.9999999999999996,4.5891597407699926e-51,0.0,1.4636183430906088e-36,1.9883183135751135e-18,1.9883183135751135e-18,2.2273437847354078e-20,7.73346738358575e-40,8.859298886839303e-39,9.600745648433168e-30,4.217159095623578e-34,2.6475479003348466e-20,1.6340058621542687e-35,2.2273437837753757e-20,9.08103716442651e-24,7.177385189781673e-26,4.848232674710316e-38,7.721119159370159e-38,3.75914484624686e-40,1.7195995628674604e-41,9.304669075473552e-46,2.6475479003348466e-20,1.3550478265702843e-41,5.546633779585803e-38,5.826956284254045e-63,1.2389610053199027e-37,1.9242903647350036e-37,5.14755743152523e-52,2.0796275067120318e-41,3.915962429526398e-40,6.478448025195223e-38,4.499912118990576e-16,5.739162111905095e-39,1.9473050949564544e-62,1.526699551998276e-44,5.923530508324694e-57,9.516405495796738e-57,3.4527315917159382e-40,1.158214294812062e-74,5.9401019621302635e-62,9.280003952409436e-60,1.6760118682049424e-61,1.1951257000331444e-63,3.41016957878987e-74,7.081687063554326e-41,1.3334757367119687e-59,1.3954303310031592e-36,5.494731093484465e-56,1.1690640361405337e-71,1.0741984322278427e-57,1.2256256826000104e-57,4.233020520658322e-56,1.4887771002948287e-88,6.144086863319311e-61,7.714239319006206e-55,5.313552058012585e-38,2.24069776311044e-81,3.697358495308295e-59,2.8335772064766582e-58,3.860760465697471e-68,2.592400837104594e-77,1.2767720867556231e-82,1.4885366224285925e-92,2.816197824023349e-80,4.4694486939734017e-38,5.112515353459668e-99,2.2323678550211885e-97,3.376717747546811e-91,2.2040210676670178e-75,6.279435801159144e-41,5.765939893488027e-61,8.427773963239388e-78,9.08758000996533e-24,6.542845538852406e-27,5.57283386694648e-40,2.82272053862251e-107,6.677857741766584e-78,8.568880873980121e-77
1.168129200257936e-22,0.4912421181036136,3.76,0.0,0.9745029807366266,0.9999999999999988,5.448250444242327e-50,0.0,8.840254792267602e-36,5.567291278010318e-18,5.567291278010316e-18,6.236562597259137e-20,4.671014299686158e-39,5.35101652764968e-38,2.688345525605866e-29,2.5471640937566353e-33,7.413134120937572e-20,9.869395407412094e-35,6.236562594571047e-20,2.542690406039434e-23,2.0096678531450106e-25,2.928332535525005e-37,4.663555972259874e-37,2.2705234871331015e-39,1.038638135971947e-40,5.620020121661894e-45,7.413134120937572e-20,8.184488872485186e-41,3.350166802869525e-37,6.917762500751517e-62,7.483324472132209e-37,1.1622713802999414e-36,6.111180182706744e-51,1.2560950140540658e-40,2.365241307437857e-39,3.912982607217912e-37,1.259975393317106e-15,3.466453915590215e-38,2.311840608732614e-61,9.221265294431063e-44,8.949338111693025e-56,1.4358816499944613e-55,2.0854498813964292e-39,3.2614477656857236e-73,7.052089049443807e-61,1.1017220692300377e-58,1.9897612899328437e-60,1.4188532310799769e-62,1.0712544603169422e-72,4.277338986386029e-40,1.5831023946244551e-58,8.42839919925907e-36,8.302242071435654e-55,3.296414266124631e-70,1.623235202359075e-56,1.8519882674209619e-56,5.0254419621257315e-55,7.705116425273507e-87,7.294266206493068e-60,9.158344919522938e-54,3.2093854430394207e-37,6.3187752640875175e-80,5.473962676104582e-58,3.364022859529094e-57,5.8335429390856455e-67,5.799096976569491e-76,2.856088087189209e-81,7.703871840065282e-91,6.314624326470839e-79,2.6995470111595563e-37,2.1145634667463897e-97,9.233191852173152e-96,2.0542221896587965e-89,4.9421169419660344e-74,3.792779226295121e-40,6.845323841549336e-60,2.6498269784259414e-76,2.5445224027902925e-23,1.8319967508786052e-26,3.365991655635685e-39,3.1191847797176618e-105,2.099625319735193e-76,1.919713114536577e-75
2.670009600589568e-22,0.4912421181036136,3.76,0.0,0.9745029807366266,0.9999999999999971,5.3491245938420835e-49,0.0,4.2562021417079764e-35,1.2725237206880726e-17,1.2725237206880713e-17,1.4255000222306587e-19,2.2488923151472838e-38,2.5762841162909824e-37,6.145434423309282e-29,1.2263498650073277e-32,1.6944306562143017e-19,4.751689047145082e-34,1.4255000216162382e-19,5.811863785233045e-23,4.593526521503264e-25,1.4098660618057219e-36,2.2453014515452888e-36,1.093159321288585e-38,5.000595528818588e-40,2.7057977672593415e-44,1.6944306562143017e-19,3.940479079667374e-40,1.6129611031031015e-36,6.791900245185478e-61,3.6028986034702715e-36,5.59583638064938e-36,5.999992942185783e-50,6.047556789518559e-40,1.1387618745121456e-38,1.8839326857267668e-36,2.8799437561521792e-15,1.6689483421413084e-37,2.2697788186821814e-60,4.439642297742874e-43,9.626497383441488e-55,1.543885689727733e-54,1.0040543468709984e-38,7.090612427493918e-72,6.923782847067281e-60,1.081677260692811e-57,1.9535594335794818e-59,1.3930385159605085e-61,2.389307502772441e-71,2.0593545980804227e-39,1.5542993187114885e-57,4.057911402557169e-35,8.93069275306175e-54,7.170012903410819e-69,1.746170182142595e-55,1.9922234446329104e-55,4.9340087188787624e-54,3.3641579849159775e-85,7.161556568835763e-59,8.991717350229814e-53,1.5451809384697896e-36,1.3744447999763136e-78,5.849572374205278e-57,3.302817591869212e-56,6.275170746454925e-66,1.1458038394281762e-74,5.64314876828146e-80,3.3636145821903214e-89,1.2489809833946958e-77,1.2997156802068978e-36,8.374080377387876e-96,3.6565225837809165e-94,9.273740902835264e-88,9.775232266944556e-73,1.8260599345695763e-39,6.720779539850731e-59,5.911618222090276e-75,5.81605120637781e-23,4.187421144865058e-26,1.6205800885080517e-38,2.822003847619572e-103,4.684148588101297e-75,3.7955837466694055e-74
5.673770401252832e-22,0.4912421181036136,3.76,0.0,0.9745029807366266,0.9999999999999939,4.731240126345436e-48,0.0,1.8587952957255761e-34,2.7041129064621544e-17,2.7041129064621485e-17,3.029187547240143e-19,9.821503577159566e-38,1.1251309586266416e-36,1.306180012342939e-28,5.355792051441855e-32,3.6006651444553914e-19,2.0751874449364068e-33,3.0291875459344994e-19,1.2350210543620443e-22,9.76124385831804e-25,6.157255496881705e-36,9.805821332404714e-36,4.774113954733495e-38,2.1838914448416882e-39,1.1816929726994845e-43,3.6006651444553914e-19,1.720910739745274e-39,7.044224900069322e-36,6.007358851353492e-60,1.5734804767562711e-35,2.4438487632134437e-35,5.3069258096052015e-49,2.641126933524251e-39,4.973272285559171e-38,8.227628991997897e-36,6.119880481818236e-15,7.28873588211231e-37,2.007593660698254e-59,1.938908431582608e-42,8.848122462722943e-54,1.4188177460279328e-53,4.384969121479277e-38,1.3142037090165585e-70,6.12400751889488e-59,9.567312874775345e-57,1.7279011956441494e-58,1.2321267917100522e-60,4.474472657605637e-70,8.993742570701852e-39,1.3747601455206087e-56,1.7721965203739945e-34,8.20867113180748e-53,1.329169470148241e-67,1.6050195734636345e-54,1.8311744572981338e-54,4.364074835975668e-53,1.252362407830596e-83,6.334316776380092e-58,7.95307216831462e-52,6.748211113673193e-36,2.547969236905689e-77,5.362604613101784e-56,2.9213047567892163e-55,5.767858489958477e-65,2.0388967121981913e-73,1.004168172088002e-78,1.2521601173468145e-87,2.2235716242638358e-76,5.67619984134036e-36,2.9901388059094344e-94,1.3056371063713355e-92,3.501588110715736e-86,1.7403036202587438e-71,7.974883504594586e-39,5.9444533925926975e-58,1.1071806678512959e-73,1.2359108813552847e-22,8.898269932836865e-26,7.077499011022185e-38,2.1357350575411e-101,8.772891900744527e-74,6.756125585146428e-73
1.168129200257936e-21,0.4912421181036136,3.76,0.0,0.9745029807366266,0.9999999999999875,3.9768924047975997e-47,0.0,7.76010445507094e-34,5.567291278010318e-17,5.567291278010294e-17,6.236562597259093e-19,4.100284406782263e-37,4.6972002697846526e-36,2.690328314252269e-28,2.2359377524995422e-31,7.413134120937571e-19,8.663499081146309e-33,6.236562594571e-19,2.542690406039594e-22,2.009667853234067e-24,2.5705329641310545e-35,4.0937373783022115e-35,1.99309859748007e-37,9.117316882323396e-39,4.933335544840834e-43,7.413134120937571e-19,7.184463576484735e-39,2.9408252299322094e-35,5.049547085607477e-59,6.568971250206079e-35,1.0202587513824892e-34,4.460790909240773e-48,1.102618504058692e-38,2.0762432801894783e-37,3.4348731429584775e-35,1.2599753933133993e-14,3.042903751725638e-36,1.6875034384112596e-58,8.094561029577375e-42,7.569645503825503e-53,1.213721934714839e-52,1.8306382899278222e-37,2.2585682082020995e-69,5.147597318781455e-58,8.041902945093529e-56,1.4524050687957538e-57,1.03567680964452e-59,7.728201759982909e-69,3.7547104810855786e-38,1.1555687378228735e-55,7.398571614978599e-34,7.022624540141934e-52,2.2844796174975978e-66,1.3731235870124812e-53,1.5665998624261673e-53,3.668267854869242e-52,4.314533322113603e-82,5.324375355236662e-57,6.68503636600713e-51,2.817245301155763e-35,4.379292918112236e-76,4.5824186844716425e-55,2.4555326698974426e-54,4.9344845601015705e-64,3.438897316530703e-72,1.6936763945336806e-77,4.313836408002688e-86,3.7512548249254447e-75,2.3697016975394235e-35,1.0105434694458311e-92,4.412514391317354e-91,1.2148635807552947e-84,2.935970860442367e-70,3.3293568951848067e-38,4.996671256662572e-57,1.9123792673270036e-72,2.5445224027902914e-22,1.8319967508776076e-25,2.9547165162551622e-37,1.483747078665625e-99,1.5152989094393108e-72,1.1396891898776644e-71
2.3696335205232418e-21,0.4912421181036136,3.76,0.0,0.9745029807366264,0.9999999999999745,3.2604966671736933e-46,0.0,3.170255875871818e-33,1.1293648021106645e-16,1.1293648021106546e-16,1.2651312697296904e-18,1.6750999691585248e-36,1.918959576070086e-35,5.462125565612165e-28,9.134535287483828e-31,1.5038072073901926e-18,3.5393220576643364e-32,1.2651312691843914e-18,5.158029109394978e-22,4.076754788195821e-24,1.0501465902726523e-34,1.6724252943997294e-34,8.14245810276442e-37,3.724721437153535e-38,2.0154285412897082e-42,1.5038072073901926e-18,2.9350877942719803e-38,1.201423063189861e-34,4.139923782419003e-58,2.6836390959630848e-34,4.168089901630525e-34,3.6572258970304424e-47,4.504556364638294e-38,8.482131261313484e-37,1.4032577560493615e-34,2.555950083570006e-14,1.2431254700816352e-35,1.3835172734760256e-57,3.306892301735668e-41,6.258686453930717e-52,1.0034871200605935e-51,7.47875473692066e-37,3.743244776251224e-68,4.220311286694368e-57,6.593237905697513e-55,1.1907694260162726e-56,8.491104215099528e-59,1.2840256649533974e-67,1.533921744704871e-37,9.474050677897046e-55,3.0225579141659557e-33,5.806415799057828e-51,3.786339319338945e-65,1.1353233956562168e-52,1.2952917619752175e-52,3.00746761482554e-51,1.4318292276130489e-80,4.36524477392388e-56,5.48079670572502e-50,1.1509366299716334e-34,7.258344936964871e-75,3.786720121313913e-54,2.0131940398170738e-53,4.0799118111018484e-63,5.6483991687637846e-71,2.781868563818893e-76,1.4315979483712592e-84,6.162155981412788e-74,9.681004649049498e-35,3.322839989059354e-91,1.4509102987764214e-89,4.046002949919022e-83,4.822902563110262e-69,1.3601509405616026e-37,4.096572982377437e-56,3.177446754716988e-71,5.161745445660302e-22,3.7163362660636897e-25,1.207098106916192e-36,9.889111441625133e-98,2.517691801243721e-71,1.8720802870206105e-70
4.7726421610538525e-21,0.4912421181036137,3.76,0.0,0.9745029807366263,0.9999999999999486,2.6404347351650053e-45,0.0,1.2814681130594516e-32,2.27463615072993e-16,2.2746361507298905e-16,2.548081289737221e-18,6.771021900799252e-36,7.756741421652195e-35,1.1019722658496896e-27,3.6923252118544855e-30,3.0287947979830638e-18,1.4306505646004933e-31,2.548081288638939e-18,1.0388706516106877e-21,8.21092865874825e-24,4.244860421874793e-34,6.760210437777142e-34,3.2913117518416405e-36,1.5055919580695621e-37,8.146684406807627e-42,3.0287947979830638e-18,1.1864094144642726e-37,4.8563441124196524e-34,3.3526176151569636e-57,1.0847698302858003e-33,1.6848085802629354e-33,2.9617163513996825e-46,1.820813704246511e-37,3.4286130736271135e-36,5.6721922115634295e-34,5.147899464057044e-14,5.024911908709405e-35,1.1204081581734872e-56,1.336698742742927e-40,5.089442940491575e-51,8.160025869004365e-51,3.023032239663929e-36,6.094771932083781e-67,3.417717498967842e-56,5.339374997268392e-54,9.64315953969097e-56,6.876316340230007e-58,2.0932647290178265e-66,6.2003569450447705e-37,7.672331870313268e-54,1.2217662354490497e-32,4.721670622684595e-50,6.16505769089653e-64,9.232254422255533e-52,1.0533084440949639e-51,2.4355252483409766e-50,4.6653958578835957e-79,3.5350884633391636e-55,4.4384912715259126e-49,4.652269877271332e-34,1.1818323689710218e-73,3.0784623932182336e-53,1.6303367290242105e-52,3.3177106092489543e-62,9.156298458609769e-70,4.509528820822696e-75,4.6646422699551124e-83,9.98969074745955e-73,3.9132168650742975e-34,1.0778187126406325e-89,4.706270165100416e-88,1.3206827503541293e-81,7.818584886948429e-68,5.497947689519368e-37,3.3175110119621116e-55,5.1800401563481536e-70,1.0396191531400316e-21,7.48501529642881e-25,4.879283546538215e-36,6.45796852451712e-96,4.104473068621919e-70,3.0348333783939234e-69
9.578659442115074e-21,0.4912421181036138,3.76,0.0,0.9745029807366261,0.9999999999998967,2.1252515874960997e-44,0.0,5.152726921609808e-32,4.565178847968463e-16,4.565178847968302e-16,5.113981329752147e-18,2.7225981262897056e-35,3.118951610208221e-34,2.21909272049261e-27,1.48466772825022e-29,6.078769979168807e-18,5.752582997973311e-31,5.113981327547894e-18,2.0850061329535206e-21,1.647927640236878e-23,1.706839706060457e-33,2.718250884556357e-33,1.3234219797005063e-35,6.053919045058081e-37,3.2757459724648123e-41,6.078769979168807e-18,4.770500075404938e-37,1.9527146086146656e-33,2.698478330043112e-56,4.3618117776686895e-33,6.774541200663618e-33,2.3838469831055147e-45,7.321411822478393e-37,1.378630237472818e-35,2.2807635410619196e-33,1.0331798224926415e-13,2.020494978108237e-34,9.018019590128647e-56,5.374806868274204e-40,4.1048133696844723e-50,6.581290949007835e-50,1.2155479677901436e-35,9.836881532509604e-66,2.7508763779419947e-55,4.297593512925219e-53,7.761653733445458e-55,5.53465761677814e-57,3.3806112301984757e-65,2.4931362574108375e-36,6.175360167017082e-53,4.912668297509019e-32,3.808194324259727e-49,9.950416547860243e-63,7.446144915503747e-51,8.495308997247514e-51,1.9603226057594557e-49,1.5064262649747178e-77,2.845346768511906e-54,3.572483915304338e-48,1.8706572562173918e-33,1.9074814569955793e-72,2.4825590775207e-52,1.3122368356087134e-51,2.6758517528179087e-61,1.4745936394636264e-68,7.262457144964682e-74,1.506182936285498e-81,1.6088546712850385e-71,1.573487290478324e-33,3.47243858931077e-88,1.5162321772207274e-86,4.268218438492762e-80,1.2591952670379944e-66,2.2107006802755484e-36,2.6702214793717607e-54,8.365778689112477e-69,2.086508370288031e-21,1.5022373357130876e-24,1.9619384541947527e-35,4.1748675566234336e-94,6.628734969409232e-69,4.887594324844118e-68
1.919069400423752e-20,0.4912421181036137,3.76,0.0,0.9745029807366257,0.999999999999793,1.7053805553037061e-43,0.0,2.066473956920191e-31,9.146264242445534e-16,9.14626424244489e-16,1.024578140978147e-17,1.0918836198312483e-34,1.2508390941736824e-33,4.475737774042338e-27,5.954181624152792e-29,1.2178720341540286e-17,2.307043072760356e-30,1.0245781405365245e-17,4.177277095640998e-21,3.3015971899672543e-23,6.845190624011271e-33,1.0901401814588702e-32,5.307514053546175e-35,2.427892305215732e-36,1.313720648609716e-40,1.2178720341540285e-17,1.9131838960888503e-36,7.831258953404136e-33,2.1653589191999633e-55,1.7492816096449469e-32,2.7168940202267193e-32,1.912887074502816e-44,2.936213598960398e-36,5.528923860957396e-35,9.146881896083713e-33,2.069959574624634e-13,8.103088550532928e-34,7.23639278617098e-55,2.155537959400666e-39,3.2972066394313903e-49,5.286424655481144e-49,4.874891017955641e-35,1.5807520797348502e-64,2.2074050492681369e-54,3.448548141132225e-52,6.228238309183877e-54,4.441214177159018e-56,5.434220315301315e-64,9.998591474412837e-36,4.955337623434899e-52,1.970199711760697e-31,3.058947149340162e-48,1.599004315182747e-61,5.981147442896462e-50,6.823892110389929e-50,1.5730354342952904e-48,4.842269767686808e-76,2.283211599012293e-53,2.866693354799872e-47,7.502172269281485e-33,3.0652708940106553e-71,1.9939938760058866e-51,1.052987418786999e-50,2.1493893250430772e-60,2.367049364568248e-67,1.1657852109493242e-72,4.8414876098047266e-80,2.582604732641266e-70,6.310387794088944e-33,1.1149435652487535e-86,4.868374964641998e-85,1.3725950845993658e-78,2.0213163397097583e-65,8.865899251318611e-36,2.14268457253623e-53,1.3447744910860117e-67,4.180286804584017e-21,3.0097089478422326e-24,7.868250699744787e-35,2.685362637617563e-92,1.0655497863620114e-67,7.84574242720067e-67
