Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237),CHFO2(134),CF3O(47),CHO3(229),CH2F(45),FO2(124),CH3F(39),CH2CO(28),S(455),S(1290),CH2(S)(25),CH2(T)(18),S(1652)
0.0,0.8819256560292236,3.76,0.0,0.9258582570808067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.266022992984106e-23,0.8819256560292236,3.76,0.0,0.9258582570808067,0.9999999999999996,3.6270170888140775e-51,0.0,1.2577783087039603e-36,1.762592849997244e-18,1.7625928499972435e-18,2.0332719905110158e-20,3.664229275624909e-40,4.199100048406423e-39,9.354944731256846e-30,3.6202769158087756e-34,3.2721721905148404e-20,1.4022974467471438e-35,2.0332719895755582e-20,8.308357687583314e-24,6.769430221634123e-26,2.542734616494216e-38,7.210168258299966e-38,3.1343736156098064e-40,1.3319461556033396e-41,1.0541503913289721e-45,3.2721721905148404e-20,1.6628282039969144e-41,4.891803431249777e-38,3.7850785645960817e-63,1.0652440480581972e-37,1.609774267680857e-37,4.150265439286383e-52,2.4449173690025076e-41,2.8557592364574825e-40,5.640966418769181e-38,4.582507867582484e-16,4.138246873203499e-39,2.2986741028579457e-62,1.7152890326159236e-44,2.59133307962802e-57,4.201917853613017e-57,2.803896599177877e-40,2.8964813953725397e-75,4.632761233217525e-62,6.875145165460859e-60,1.2411383340182381e-61,9.275619712245531e-64,2.0091767249087286e-62,4.898281131606997e-41,1.239280044824449e-59,1.1975489172103548e-36,6.168378623811453e-56,1.2745627385767409e-71,9.793315253059609e-58,1.3411632725442226e-57,2.0175081438725162e-56,1.0420228378298645e-88,5.1418130248653496e-61,5.109981010620363e-55,4.561200061942515e-38,1.0937287599307236e-81,1.6348691464538205e-56,2.9436106396687697e-58,2.3090913197477367e-68,2.873351096210018e-77,1.2723801338966901e-82,1.0073252782537363e-92,2.8053749892876567e-80,3.848636908049155e-38,2.733367451266915e-99,2.1642626325617694e-97,2.3196575912340708e-91,9.613228028183876e-76,2.9741960958208167e-41,4.884425015436366e-61,6.320233145708028e-78,8.314269039380991e-24,5.911351797708349e-27,4.675419205602604e-40,1.2914768194723912e-102,3.9058260290876227e-78,3.612657273093514e-77,4.243689469613806e-54,1.9860394036211537e-46,3.695728146512156e-69
2.0344864380355498e-22,0.8819256560292236,3.76,0.0,0.9258582570808067,0.9999999999999988,4.305994687840222e-50,0.0,7.596980984572194e-36,4.935259979992283e-18,4.935259979992281e-18,5.693161573430842e-20,2.2131944824775663e-39,2.536256429236906e-38,2.6195019191203277e-29,2.1866472571484954e-33,9.162082133441554e-20,8.469876578353132e-35,5.693161570811559e-20,2.3263401525233387e-23,1.895440462063009e-25,1.5358117083624933e-37,4.354941628013442e-37,1.8931616638283224e-39,8.044954779844175e-41,6.367068363679324e-45,9.162082133441554e-20,1.004348235214196e-40,2.954649272474602e-37,4.493645271922021e-62,6.43407405027151e-37,9.723036576792371e-37,4.9271951295207885e-51,1.4767300908775065e-40,1.724878578822973e-39,3.4071437169365845e-37,1.2831022029228293e-15,2.499501111414575e-38,2.728985894913265e-61,1.0360345757157595e-43,3.9132202059374254e-56,6.329208997149177e-56,1.69355354590344e-39,8.142820465625074e-74,5.500014136078045e-61,8.162172340435038e-59,1.473479430146394e-60,1.1012015722382879e-62,2.3852946080863773e-61,2.9585618034901087e-40,1.4712732692155905e-58,7.233195459950535e-36,9.319906626550135e-55,3.593821898313834e-70,1.4798371032398474e-56,2.0265565805001086e-56,2.3951856684055204e-55,5.392855312485125e-87,6.104365658906368e-60,6.066569455807648e-54,2.754964837413121e-37,3.084231384968738e-80,2.4705158170409114e-55,3.494654551414772e-57,3.48859472853514e-67,6.427571468177964e-76,2.8462634643218643e-81,5.213282551027982e-91,6.28656731728294e-79,2.324576692461366e-37,1.1298706755043749e-97,8.946242780085493e-96,1.4111609120381292e-89,2.157047833049208e-74,1.7964144437641898e-40,5.798789378327689e-60,1.9871824247409926e-76,2.3279953310266773e-23,1.655178503358277e-26,2.8239532001839812e-39,6.169651418766555e-101,1.2280541967615448e-76,8.094641691034049e-76,2.563239726618781e-53,1.1995677999352473e-45,4.387568456035195e-68
4.650254715509828e-22,0.8819256560292236,3.76,0.0,0.9258582570808067,0.9999999999999971,4.2276511187221376e-49,0.0,3.6576193217115247e-35,1.1280594239982362e-17,1.1280594239982351e-17,1.3012940739270487e-19,1.0655578733519058e-38,1.2210982940757279e-37,5.98798638858325e-29,1.0527765271171835e-32,2.094190201929498e-19,4.077880975141265e-34,1.3012940733283553e-19,5.317348920053396e-23,4.3324353418840185e-25,7.394272264764981e-37,2.0967169295140257e-36,9.11475847419331e-39,3.8732994204945195e-40,3.065469338061652e-44,2.094190201929498e-19,4.835504417223911e-40,1.4225364378070398e-36,4.41188757499527e-61,3.0977296917532344e-36,4.681223570415924e-36,4.8375493960321895e-50,7.109819709059169e-40,8.304547859658162e-39,1.6403930345780756e-36,2.9328050352509273e-15,1.2034021907270707e-37,2.67933453429216e-60,4.988060507078727e-43,4.2086990324147875e-55,6.80153826247461e-55,8.153731310409297e-39,1.7692742557917745e-72,5.399946493444918e-60,8.01366920486088e-58,1.4466708421314774e-59,1.0811662336608278e-61,2.3418963913893173e-60,1.4244201530705376e-39,1.444504820247391e-57,3.4824722512476985e-35,1.0025328808507485e-53,7.816851115772014e-69,1.59189692317982e-55,2.1800050220141736e-55,2.3516074924975074e-54,2.3545775278409024e-85,5.993304696598689e-59,5.956193865976473e-53,1.3263969780126456e-36,6.70867908218511e-79,2.6576342933532995e-54,3.431072561597941e-56,3.7525665537457266e-66,1.2699798082690429e-74,5.6237369690860255e-80,2.2761741655699276e-89,1.243097272702234e-77,1.1191836128602082e-36,4.473270413973231e-96,3.5419065218702265e-94,6.370654905944722e-88,4.2678048814948354e-73,8.648962274973182e-40,5.693285797997622e-59,4.433294674845015e-75,5.321132185203834e-23,3.7832651505329166e-26,1.3596119049892486e-38,3.212600246541043e-99,2.739721357807689e-75,1.6005382493831028e-74,1.2341418282217581e-52,5.775402587909065e-45,4.307740729083718e-67
9.881791270458384e-22,0.8819256560292236,3.76,0.0,0.9258582570808067,0.9999999999999938,3.7393095378846874e-48,0.0,1.5973784520544491e-34,2.3971262759962522e-17,2.397126275996247e-17,2.765249907094972e-19,4.6535711800455154e-38,5.3328570614672675e-37,1.2726833637403653e-28,4.597751683077055e-32,4.450154179100183e-19,1.7809177573694597e-33,2.7652499058227485e-19,1.129936645511368e-22,9.206425101613298e-25,3.229272962947444e-36,9.156913688045031e-36,3.9806544918244413e-38,1.691571617616249e-39,1.3387709970666646e-43,4.450154179100183e-19,2.1117918190769893e-39,6.212590357683127e-36,3.902264597168408e-60,1.352859941033906e-35,2.0444133199546794e-35,4.278757657286652e-49,3.1050450586330555e-39,3.626814230342131e-38,7.164027351836835e-36,6.2322106999028654e-15,5.2555735289632034e-37,2.3698410530843753e-59,2.1784170716594632e-42,3.868169842311796e-54,6.249198963879074e-54,3.5609486809559324e-38,3.278486333971615e-71,4.776191521011537e-59,7.087999659782893e-57,1.2795639768390618e-58,9.562792898567458e-61,2.0713808380510137e-59,6.220817037132857e-39,1.2776481550122404e-56,1.5208871248571365e-34,9.214786385841087e-53,1.4490758606633728e-67,1.4632114737766026e-54,2.003774074432308e-54,2.0799701960057112e-53,8.765273259680416e-84,5.301011043287053e-58,5.268186022703661e-52,5.792724078664533e-36,1.2436614541659617e-77,2.4428115031384574e-53,3.034744825072958e-55,3.449156580353091e-65,2.2598612140539525e-73,1.0007139461379795e-78,8.473404809116145e-88,2.2128239481019154e-76,4.8877688732173976e-36,1.5970713056870338e-94,1.2645507089930984e-92,2.405438076160708e-86,7.59910442418377e-72,3.777229070962893e-39,5.035646813924682e-58,8.30307028375882e-74,1.1307405893558144e-22,8.03943844488122e-26,5.937782391115421e-38,1.2821280927780885e-97,5.131194892335632e-74,2.8490311876337815e-73,5.39028057447619e-52,2.522270044830498e-44,3.810147893069042e-66
2.0344864380355496e-21,0.8819256560292236,3.76,0.0,0.9258582570808067,0.9999999999999872,3.143114976894528e-47,0.0,6.668740592752173e-34,4.935259979992284e-17,4.935259979992263e-17,5.693161573430801e-19,1.942774361938018e-37,2.2263628456570847e-36,2.6212041374622686e-28,1.9194708207617314e-31,9.162082133441554e-19,7.434981062658641e-33,5.693161570811516e-19,2.3263401525234916e-22,1.8954404621420916e-24,1.348157893665044e-35,3.822831210554308e-35,1.6618448909963075e-37,7.061978517008974e-39,5.589105375533048e-43,9.162082133441554e-19,8.816315137599786e-39,2.5936341792449504e-35,3.280088523205629e-59,5.647923942804523e-35,8.535023167243824e-35,3.596553625438484e-48,1.2962951890450117e-38,1.514123547206772e-37,2.9908403952313953e-35,1.2831022029189713e-14,2.1940984921677786e-36,1.991994198754565e-58,9.094462453055782e-42,3.3091673337803313e-53,5.345334467482996e-53,1.4866259768841358e-37,5.633766986160151e-70,4.014676760551085e-58,5.957890798064584e-56,1.0755506220461698e-57,8.03810363277211e-60,1.74112040611954e-58,2.597068655970804e-38,1.0739402583641976e-55,6.349404359049176e-34,7.883360584799973e-52,2.490563065068955e-66,1.2518020950658669e-53,1.7142609409544268e-53,1.7483402773472245e-52,3.019734348199504e-82,4.455819553019164e-57,4.428227784097443e-51,2.4183482728397054e-35,2.1375250838240096e-76,2.0898719848679722e-52,2.5508858825667996e-54,2.9508079231426746e-64,3.811586245760999e-72,1.6878503375885533e-77,2.919182413397533e-86,3.732901105289148e-75,2.040547288643134e-35,5.397111115158948e-93,4.273397601530411e-91,8.345582124713127e-85,1.2820885396731817e-70,1.5769187963476072e-38,4.2327645675957183e-57,1.4341489087444887e-72,2.3279953310266767e-22,1.6551785033573927e-25,2.4789072628106026e-37,4.557341076486687e-96,8.862863138454964e-73,4.806087919013603e-72,2.2507196100492307e-51,1.0529980937999443e-43,3.2026588857904247e-65
4.127101060014973e-21,0.8819256560292236,3.76,0.0,0.9258582570808067,0.999999999999974,2.576915557067911e-46,0.0,2.724398127788324e-33,1.0011527387984349e-16,1.0011527387984265e-16,1.1548984906102382e-18,7.936867180188897e-37,9.095418668782507e-36,5.321250980737369e-28,7.841664610717746e-31,1.8585938042124295e-18,3.037432361556656e-32,1.1548984900788967e-18,4.719147166548011e-22,3.845036366243237e-24,5.507664888709521e-35,1.5617512854239084e-34,6.789178626355355e-37,2.885048650883114e-38,2.2833319142314254e-42,1.8585938042124295e-18,3.6017524029923634e-38,1.0595841904193095e-34,2.6892147462616563e-58,2.3073612178559447e-34,3.486835454767375e-34,2.948671956751963e-47,5.29578881795319e-38,6.185688736849754e-37,1.2218558901710586e-34,2.6028644687695283e-14,8.963608257193771e-36,1.6331571953623373e-57,3.715384658003817e-41,2.736031385624201e-52,4.4192400804272766e-52,6.0733521896834655e-37,9.3366825378786e-69,3.2914745648745656e-57,4.884638836852732e-55,8.818013819843683e-57,6.590122999961321e-59,1.4274757057539128e-57,1.0609872862244829e-37,8.804811085444615e-55,2.5939388566342116e-33,6.518082461722109e-51,4.127903597794683e-65,1.0350117842760433e-52,1.417380199855779e-52,1.4333949896372003e-51,1.0021342054569022e-80,3.653150222599515e-56,3.6305286796480646e-50,9.879741782151196e-35,3.5427822856957513e-75,1.7279447390783582e-51,2.0913703645618707e-53,2.4398095902652483e-63,6.260541854139318e-71,2.7722992477915254e-76,9.687648683988374e-85,6.131827013862891e-74,8.336301488272456e-35,1.7746089919490504e-91,1.4051238983324336e-89,2.7794272896375683e-83,2.1061484723355394e-69,6.442227934432594e-38,3.470276125395116e-56,2.3828598613916464e-71,4.722504814368399e-22,3.357647821094373e-25,1.0127145016104322e-36,1.535346471990703e-94,1.4725779659859235e-71,7.894644966406182e-71,9.198058643030215e-51,4.301840806717997e-43,2.6257332560429923e-64
8.312330303973819e-21,0.8819256560292236,3.76,0.0,0.9258582570808066,0.9999999999999476,2.0868530291635098e-45,0.0,1.1012452826317644e-32,2.016406220396848e-16,2.0164062203968137e-16,2.3260631571445226e-18,3.2082086138266156e-36,3.6765136491264196e-35,1.0733365850612732e-27,3.169726213081969e-30,3.7433649859489765e-18,1.2277787249082468e-31,2.3260631560743542e-18,9.504761194598132e-22,7.744228175004014e-24,2.226286208000949e-34,6.312848398243534e-34,2.7442945503998423e-36,1.1661827926462382e-37,9.229592673180563e-42,3.7433649859489765e-18,1.4558859083587504e-37,4.2830087105982334e-34,2.1777958246679314e-57,9.326722957892308e-34,1.4094346405193821e-33,2.3879110000607376e-46,2.140642512594581e-37,2.5003542882196617e-36,4.938936866020344e-34,5.242389000443392e-14,3.6232337733067265e-35,1.3225730392690691e-56,1.5018178834049948e-40,2.2248746520603246e-51,3.5935000241931606e-51,2.454946059617169e-36,1.5201675500264435e-67,2.665521439911057e-56,3.9557071728957066e-54,7.1410562137466595e-56,5.3368524659243174e-58,1.1560068407849765e-56,4.288680248165904e-37,7.130364297136807e-54,1.0485115593656042e-32,5.300383545149559e-50,6.721203466158953e-64,8.416534464128335e-52,1.1525884979069592e-51,1.160800425878973e-50,3.2652996444960656e-79,2.9584158219170543e-55,2.9400962525772047e-49,3.9935495918182046e-34,5.768495588891726e-74,1.4051352401090832e-50,1.693645943660643e-52,1.9840733334748634e-62,1.0148608130622497e-69,4.494016547171073e-75,3.1565708097336965e-83,9.940378958309943e-73,3.3696663475370838e-34,5.756154670695565e-90,4.5576859618204276e-88,9.07251359606977e-82,3.4144103079775377e-68,2.604051626772828e-37,2.810319579356085e-55,3.884662976849254e-70,9.51152378105184e-22,6.7625864565620885e-25,4.093553934627653e-36,5.041186702210393e-93,2.4006737440407903e-70,1.279806764398461e-69,3.7205366135102185e-50,1.7388728416478038e-42,2.126386875528168e-63
1.668278879189151e-20,0.8819256560292236,3.76,0.0,0.9258582570808064,0.9999999999998948,1.6796808699849646e-44,0.0,4.4280588469459664e-32,4.046913183593675e-16,4.0469131835935375e-16,4.66839249021297e-18,1.290006573410404e-35,1.4783099683964738e-34,2.1605680323664115e-27,1.2745329693176775e-29,7.512907349422071e-18,4.936844253201023e-31,4.6683924880651396e-18,1.9075989250702693e-21,1.5542611794759514e-23,8.951798926741766e-34,2.5383685760282313e-33,1.1034687688698195e-35,4.68916971864815e-37,3.71117862266786e-41,7.512907349422071e-18,5.854053205345192e-37,1.7221789651644057e-33,1.7528795445241715e-56,3.75023428095058e-33,5.667274700340702e-33,1.921998516410621e-45,8.607429394261377e-37,1.0053814624408948e-35,1.985924791593222e-33,1.0521438063682124e-13,1.4568863646721384e-34,1.064521843265741e-55,6.03874366285309e-40,1.7944338012168645e-50,2.8982272427272933e-50,9.871230133271113e-36,2.45350149259692e-66,2.1454435500206573e-55,3.1838972714901515e-53,5.747743298657293e-55,4.2955631603737854e-57,9.304548829630329e-56,1.7244594654659378e-36,5.739137514010897e-53,4.216018864995032e-32,4.274946231825303e-49,1.0848035597400585e-62,6.788236186018093e-51,9.296037658002053e-51,9.343131700956952e-50,1.0543440730228405e-77,2.3811904527331554e-54,2.366445246644354e-48,1.6057887265945853e-33,9.310369598645741e-73,1.1332921873728057e-49,1.3631935993253146e-51,1.600333044615024e-61,1.634402053020978e-68,7.23747510646086e-74,1.0192362376068834e-81,1.600901344329327e-71,1.354928018000755e-33,1.8544625292104227e-88,1.4683514116125518e-86,2.9320796235006465e-80,5.4990054800862167e-67,1.0470777811319297e-36,2.2619896897865364e-54,6.273741084088489e-69,1.9089561714418688e-21,1.3572463727472534e-24,1.6460000330097885e-35,1.6349396440405439e-91,3.8770945091362265e-69,2.0611301044077816e-68,1.4980494454367855e-49,6.991931274598883e-42,1.7115011618650867e-62
3.3423705767726894e-20,0.8819256560292237,3.76,0.0,0.9258582570808059,0.9999999999997892,1.3478381155627846e-43,0.0,1.7758496474064465e-31,8.107927109987334e-16,8.107927109986782e-16,9.35305115634937e-18,5.173503328956099e-35,5.928684163380635e-34,4.354264820296937e-27,5.111447255765167e-29,1.505199207636826e-17,1.9798953513016417e-30,9.353051152046195e-18,3.821844536292912e-21,3.113937904320631e-23,3.5900717486117956e-33,1.0179993303050861e-32,4.425403301637181e-35,1.8805667854197168e-36,1.4883486158189907e-40,1.5051992076368254e-17,2.347737164290979e-36,6.906707913593391e-33,1.4065754433898051e-55,1.5040116799888983e-32,2.2728306298926225e-32,1.5422827661806923e-44,3.4519641637850176e-36,4.0320293330831634e-35,7.964446640860537e-33,2.10795361897236e-13,5.842765930580139e-34,8.542117379896582e-55,2.4218063030536806e-39,1.4413835407225369e-49,2.3279895162271275e-49,3.958804785000802e-35,3.942667089670842e-65,1.7215833336660467e-54,2.5548770455203317e-52,4.612202016917858e-54,3.4469189112847415e-56,7.466314570943524e-55,6.915853739700219e-36,4.60529641673969e-52,1.6908121309152239e-31,3.433867253796923e-48,1.7432490892814493e-61,5.452678961185217e-50,7.467080541270566e-50,7.497274780033766e-49,3.389092582597717e-76,1.9107553853175683e-53,1.8989232768793177e-47,6.439931000155375e-33,1.496150958091315e-71,9.103218009690333e-49,1.0938770125246958e-50,1.2856480678947156e-60,2.6235772605525992e-67,1.1617750404992772e-72,3.2762416569343156e-80,2.5698284139152903e-70,5.433867358447083e-33,5.954355396646692e-87,4.714620012182079e-85,9.42912865605856e-79,8.827284255823152e-66,4.1992508212257954e-36,1.8151042709879377e-53,1.0084855561073268e-67,3.824563758115229e-21,2.7192218269193507e-24,6.601196323879665e-35,5.273223248418526e-90,6.232316188493253e-68,3.3086029534735864e-67,6.0241952081851715e-49,2.8040772083933323e-41,1.3733719166219667e-61
