Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57)
0.0,0.7268748535242696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.738957064624846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2566033910886093e-22,0.7268748535242696,1.9795086271022777e-31,5.893218385087729e-28,2.2902983746450183e-37,8.927223577218356e-22,0.0,0.0,3.193944865410968e-21,1.4098252479928314e-38,5.523627882484269e-53,2.3893516486894255e-36,7.747984191228413e-61,1.4004845373593603e-68,4.979828063499626e-46,1.9992546632711815e-50,9.880224398212775e-58,7.236311555806562e-66,5.601294949682824e-94,9.7660227109107e-88,1.2363479402989043e-109,4.528481997011151e-114,5.5735156617950236e-62,-1.0019702110536208e-108,3.203126637420858e-76,5.6287157794752036e-108,-1.403147019665166e-116,-1.807340935080091e-120,7.226117983307992e-129,-4.625010234909934e-125,2.0986597942629737e-79,-4.705243888936124e-121,1.1512202807440554e-128,-2.5070143943650726e-133,3.76,0.0,0.738957064624846,0.9999999999999996,1.0743004043343819e-51,3.8043030976176904e-73,1.456499212392925e-19,1.4564992123929257e-19,3.1939448656088518e-21,6.881683573427408e-41,8.393501775269978e-40,6.737869049771166e-35,9.39186121943509e-26,3.1909832425109846e-38,2.5949985499286486e-38,2.2679473682570206e-39,2.1835855181601636e-43,9.95147192494248e-48,8.927223577218356e-22,1.0713290760769341e-43,1.0304626278239252e-43,3.360260412204721e-38,2.7571383880112645e-64,6.75980700146907e-42,1.166403395408635e-40,9.923724945144037e-42,1.2687720133505116e-58,2.8519680088206465e-58,1.7353014716606706e-47,5.240872151015696e-42,4.204749629186448e-65,4.690415307304303e-16,1.2083936263439032e-67,1.46104327964003e-64,2.612649788905585e-64,9.39186121943389e-26,3.668112159567081e-42,1.6650523007802966e-62,3.876670256108453e-58,5.629698030226502e-60,3.865193165359615e-73,4.2504506553789985e-62,2.0387031858086717e-37,1.5165546432874884e-89,3.431329725423603e-58,1.4800680103331537e-74,7.949322838405541e-78,1.3047873541556421e-67,1.629988655531536e-79,3.802330314309511e-59,5.0666194389220323e-42,5.711228974568927e-73,3.5472529457567577e-60,4.0301007845168426e-63,1.3132729026549499e-38,1.8700473178844914e-61
6.318489495048107e-22,0.7268748535242696,5.544807800324016e-31,1.6501011479360593e-27,1.383340218285678e-36,2.4996226016211395e-21,0.0,0.0,8.943045623150705e-21,8.515344497876695e-38,6.55765102208532e-52,1.443168395808548e-35,9.198406831826294e-60,1.662655242753004e-67,3.0078161503537524e-45,1.2075498476952124e-49,1.4930995047216942e-56,8.590949285311848e-65,3.4075410585330065e-92,2.184620216339886e-86,5.906182965783535e-108,2.163310553067669e-112,6.616877793714543e-61,2.988507018875125e-107,9.033329580813377e-75,2.688906561691751e-106,4.185778486708728e-115,5.391544364459711e-119,1.1820079668334022e-127,1.3797736299523476e-123,6.598522175942081e-78,1.4036383775511634e-119,8.921995052156696e-127,9.935077669405351e-132,3.76,0.0,0.738957064624846,0.9999999999999987,1.2754094400258516e-50,1.0728743379862682e-71,4.078197794700189e-19,4.0781977947001927e-19,8.94304562370478e-21,4.1565368783524835e-40,5.0696750722588614e-39,4.069672906061766e-34,2.6297211414422154e-25,1.927353878476616e-37,1.5673791241569022e-37,1.3698402104272394e-38,1.3188856529687525e-42,6.010689042839371e-47,2.4996226016211395e-21,6.470827619505787e-43,6.223994272056583e-43,2.02959728897165e-37,3.2732746943335586e-63,4.082923428917587e-41,7.045076508264654e-40,5.993929866866995e-41,1.9173448996421293e-57,4.3094449845409775e-57,1.0481220896544466e-46,3.16548677921349e-41,4.991878759772045e-64,1.3133162860443095e-15,1.4346049131958037e-66,1.7345505815906203e-63,3.101737829388647e-63,2.6297211414414895e-25,2.215539744378526e-41,1.9767500914863597e-61,5.858335726100397e-57,8.507536912425594e-59,1.0900304795848086e-71,5.0461350180857806e-61,1.231376724228436e-36,7.850011758440909e-88,5.185399836562435e-57,2.466338539173994e-73,2.4993942698357398e-76,1.5490435501351023e-66,5.124945131176004e-78,5.7459083933742255e-58,3.0602381450501127e-41,6.788256235437566e-72,5.36027098266223e-59,4.784535651381294e-62,7.932168332035062e-38,2.220120175792479e-60
1.44422617029671e-21,0.7268748535242696,1.2684140724518042e-30,3.7716597672366115e-27,6.660187673469014e-36,5.713423089419748e-21,0.0,0.0,2.0441247138630162e-20,4.099771821163147e-37,6.438340659823639e-51,6.948234594390876e-35,9.03105037329559e-59,1.6324047767459794e-66,1.448134000865657e-44,5.8138330181040486e-49,1.6062083109712195e-55,8.43464537703469e-64,1.5383269183327906e-90,4.316441407495522e-85,3.0753373713696993e-106,1.1264314268355213e-110,6.496489855484091e-60,3.855219142043433e-105,1.964946493599097e-73,1.4001085124587966e-104,5.400022958144994e-113,6.955567411406808e-117,3.541658853384695e-125,1.78007190622616e-121,1.4720939988579637e-76,1.8108172576284186e-117,9.74413445172807e-125,2.735364757152496e-129,3.76,0.0,0.738957064624846,0.999999999999997,1.2522045512923828e-49,2.3337360268314604e-70,9.321594959314704e-19,9.321594959314727e-19,2.044124713989662e-20,2.0011935831561825e-39,2.4408303162422026e-38,1.959372319673427e-33,6.010791180441189e-25,9.27937926922166e-37,7.546255783192493e-37,6.595190946891394e-38,6.349866686809964e-42,2.893888036029472e-46,5.713423089419748e-21,3.115424953233354e-42,2.9965853217120825e-42,9.771637278691301e-37,3.213720505329387e-62,1.9657518760726095e-40,3.3919010738430564e-39,2.885819214047882e-40,2.0625841056185757e-56,4.635749672627835e-56,5.046256690939851e-46,1.5240456215153775e-40,4.901056167785428e-63,3.0018657966684873e-15,1.4085036108674128e-65,1.7029920467543256e-62,3.0453045939481474e-62,6.010791180437691e-25,1.06668701600212e-40,1.9407849617894883e-60,6.30209982374878e-56,9.151998387568095e-58,2.371042269320393e-70,4.9543252839690264e-60,5.9285488643315906e-36,3.42760429760339e-86,5.578207692839882e-56,3.8831676284529535e-72,5.576011112109968e-75,1.5208601500146982e-65,1.1433470664815774e-76,6.181126433160044e-57,1.4733729387503325e-40,6.681002060972482e-71,5.7662186789270564e-58,4.6974854744416515e-61,3.818997600919339e-37,2.1797271537261944e-59
3.0689806118805088e-21,0.7268748535242696,2.6997744883908287e-30,8.014777007621633e-27,2.908678935800517e-35,1.2141024065016965e-20,0.0,0.0,4.3437650169589e-20,1.790478064950889e-36,5.69463940172593e-50,3.0344765938376655e-34,7.987861781788325e-58,1.4438435386358153e-65,6.324381640644172e-44,2.5390538907656453e-48,1.4763821623153378e-54,7.460349067702959e-63,5.8084297426834246e-89,7.680876858058832e-84,1.2272865267127399e-104,4.495292948387634e-109,5.746071706883593e-59,3.308798555881677e-103,3.6426796398805847e-72,5.587468923001946e-103,4.634742639962199e-111,5.969838957854384e-115,6.729221294106613e-123,1.5278812584192858e-119,2.7570691399366865e-75,1.5541921167690845e-115,8.004954416149819e-123,4.8984267122545166e-127,3.76,0.0,0.738957064624846,0.9999999999999937,1.107560744853051e-48,4.326353281113729e-69,1.9808389288543703e-18,1.98083892885438e-18,4.343765017228021e-20,8.739738138288897e-39,1.0659747254527702e-37,8.557093693209091e-33,1.2772931258445376e-24,4.0525487179886584e-36,3.295648158409364e-36,2.8802931576863944e-37,2.773153608063622e-41,1.2638369347301124e-45,1.2141024065016965e-20,1.3605879266193768e-41,1.308687537336495e-41,4.267530723499966e-36,2.8424993930523925e-61,8.584954892334891e-40,1.4813323121635372e-38,1.260313068033288e-39,1.8958672293950038e-55,4.260996585565643e-55,2.203832880635172e-45,6.655907631790068e-40,4.33492867771789e-62,6.378964817902518e-15,1.2458054930174917e-64,1.5062771795899123e-61,2.6935374263696756e-61,1.2772931258430093e-24,4.658502442650324e-40,1.716602320012401e-59,5.792704468446779e-55,8.412255438888429e-57,4.395503839066033e-69,4.382044607792191e-59,2.5891530459769864e-35,1.2760084634548788e-84,5.127330710474224e-55,6.0171664466696e-71,1.0443251694900618e-73,1.3451835915321381e-64,2.141362518848659e-75,5.681498498083662e-56,6.434606748519637e-40,5.937984574916932e-70,5.300106265165072e-57,4.154872704823835e-60,1.6678565863704893e-36,1.9279439828462616e-58
6.318489495048107e-21,0.7268748535242696,5.5764706446697575e-30,1.650101149552735e-26,1.2143161982379983e-34,2.4996226016211398e-20,0.0,0.0,8.943045623150632e-20,7.474893464857928e-36,4.786687544914649e-49,1.2668342441370196e-33,6.714279132370541e-57,1.2136374923226775e-64,2.640304839267184e-43,1.0600052422605344e-47,1.2630760227448955e-53,6.270874172517775e-62,2.01521410663425e-87,1.2954921481679375e-82,4.361969335165411e-103,1.5976981046525197e-107,4.82991949662114e-58,2.4320541401758446e-101,6.260835590683179e-71,1.9858763746705023e-101,3.406686585212625e-109,4.3880264989196055e-113,1.035921261757539e-120,1.123156178981029e-117,4.762151304476189e-74,1.1423820745793193e-113,5.809914931937467e-121,7.353276031249097e-125,3.76,0.0,0.738957064624846,0.9999999999999869,9.309715415905708e-48,7.435895900293207e-68,4.0781977947001564e-18,4.078197794700194e-18,8.943045623704707e-20,3.648668630663692e-38,4.450234641189486e-37,3.572418170188413e-32,2.6297211414478705e-24,1.691859315179061e-35,1.3758682311721515e-35,1.2024656946498532e-36,1.157737041728711e-40,5.2762704169563094e-45,2.4996226016211398e-20,5.680186761374879e-41,5.46351285272343e-41,1.7816100705509156e-35,2.389292013826731e-60,3.584049672601156e-39,6.18427080240772e-38,5.261558965915328e-39,1.6219532172311374e-54,3.645350910398324e-54,9.200568506939155e-45,2.7787104144686428e-39,3.643768752680251e-61,1.3133162860313284e-14,1.047174582295172e-63,1.2661167294656188e-60,2.264080504668183e-60,2.6297211414414912e-24,1.9448330670025844e-39,1.4429076830192956e-58,4.955776423538926e-54,7.19685864913334e-56,7.554741186297119e-68,3.6833725309620675e-58,1.0809204291157334e-34,4.3960385057441394e-83,4.386538150868172e-54,9.395166528222585e-70,1.8038120242728098e-72,1.1307078823136645e-63,3.698671232061269e-74,4.860633337106773e-55,2.6863216814962522e-39,5.039458681315438e-69,4.53433642156542e-56,3.4924208582828854e-59,6.96297292986487e-36,1.6205530849217343e-57
1.2817507261383302e-20,0.7268748535242696,1.1385764254831134e-29,3.347348049988148e-26,4.960877891426335e-34,5.0706629918600263e-20,0.0,0.0,1.8141606835533977e-19,3.0537378801623387e-35,3.924415648801257e-48,5.1754312451432134e-33,5.504771692375242e-56,9.950133410946514e-64,1.0786506778660038e-42,4.330469117748417e-47,1.044335680982926e-52,5.141243584574528e-61,6.711504361179733e-86,2.1278497434852743e-81,1.4692319414118232e-101,5.381491168569505e-106,3.9598598150904827e-57,1.664975726163755e-99,1.0376875842342441e-69,6.688994762533254e-100,2.3322146622784176e-107,3.00404006296983e-111,1.4498433238762146e-118,7.690673949210487e-116,7.912385616328354e-73,7.820742085368917e-112,4.00424068912066e-119,1.0172225053436828e-122,3.76,0.0,0.738957064624846,0.9999999999999734,7.632667167281204e-47,1.2324452130442783e-66,8.272915526391668e-18,8.272915526391826e-18,1.8141606836657952e-19,1.49060018876617e-37,1.8180660584809165e-36,1.459449387656414e-31,5.3345771726645194e-24,6.911797342606265e-35,5.6208706590873e-35,4.912464717539274e-36,4.729733575757265e-40,2.1555286268173245e-44,5.0706629918600263e-20,2.320541631958336e-40,2.2320232703725595e-40,7.278458463251677e-35,1.9588859487463453e-59,1.4642012361037157e-38,2.526476410549548e-37,2.1495185180179455e-38,1.3410618505867564e-53,3.014038268517217e-53,3.7587324877114996e-44,1.1351938713987056e-38,2.98738177070134e-60,2.6641558944905624e-14,8.585369901921148e-63,1.038038990385988e-59,1.8562299877087616e-59,5.3345771726384595e-24,7.945277662109678e-39,1.1829828953494348e-57,4.0975301375983718e-53,5.95050073674795e-55,1.252142410102497e-66,3.0198513410710736e-57,4.415912648588807e-34,1.4588842550913223e-81,3.6268740931570455e-53,1.4812762442348069e-68,2.9970606560758878e-71,9.270226696007067e-63,6.1453975703769e-73,4.0188624152631855e-54,1.0974500834978233e-38,4.2107052330298715e-68,3.749070753914998e-55,2.86329762283011e-58,2.8446016380568425e-35,1.3286273287123557e-56
2.5815542794053692e-20,0.7268748535242694,2.3227956665567912e-29,6.741841862276055e-26,2.00526616133212e-33,1.02127437723378e-19,0.0,0.0,3.653872926030015e-19,1.2343696762295837e-34,3.178093539745784e-47,2.0919920573198666e-32,4.4579068373281536e-55,8.057876010809187e-63,4.3600785013387535e-42,1.7504463365590004e-46,8.492364318405749e-52,4.163515699205515e-60,2.1907468058277914e-84,3.449336129460016e-80,4.822169867239193e-100,1.7662618663038486e-104,3.2067971450702095e-56,1.1015965895186093e-97,1.6896052278750422e-68,2.1954056929239592e-98,1.5430642186609924e-105,1.9875656158288143e-109,1.9391657434780067e-116,5.0904433725048595e-114,1.2899185537640767e-71,5.174446838925484e-110,2.723632470256657e-117,1.3529248219242999e-120,3.76,0.0,0.738957064624846,0.9999999999999464,6.18113176233644e-46,2.006717538754207e-65,1.666235098977446e-17,1.66623509897751e-17,3.6538729262563935e-19,6.025244289573427e-37,7.348913691925575e-36,5.899327770787239e-31,1.0744289235137753e-23,2.7938589960121775e-34,2.2720457903928067e-34,1.9856967823825638e-35,1.9118339332554298e-39,8.712991357268195e-44,1.0212743772337798e-19,9.38000029911406e-40,9.022194928666586e-40,2.9420692833848255e-34,1.5863566302483994e-58,5.918535503463047e-38,1.0212421600092078e-36,8.688697528270694e-38,1.0905290530698342e-52,2.450962557862306e-52,1.5193398052518995e-43,4.5886351300783254e-38,2.419259211047002e-59,5.365835111317357e-14,6.9526551373724325e-62,8.406308874240663e-59,1.5032231700578185e-58,1.0744289235032408e-23,3.211608265085458e-38,9.580102195565947e-57,3.332042807261799e-52,4.8388479137166665e-54,2.0387888921974733e-65,2.44555391124598e-56,1.7849824969282406e-33,4.753560917477699e-80,2.949313590150512e-52,2.3510668576810484e-67,4.885965288033668e-70,7.507270462801501e-62,1.001854905797492e-71,3.268070897517819e-53,4.436068899416941e-38,3.5379661181651936e-67,3.0486795880517085e-54,2.3187726510188715e-57,1.149833463365604e-34,1.075956857781129e-55
5.181161385939447e-20,0.7268748535242696,4.780676224869732e-29,1.353082953252018e-25,8.063087039941094e-33,2.0496905333293342e-19,0.0,0.0,7.333297410983046e-19,4.963346178568327e-34,2.5580061686763626e-46,8.411808053383624e-32,3.58811125180924e-54,6.4856796328608165e-62,1.7531683890654992e-41,7.038479641182491e-46,6.849399479633634e-51,3.351165042906668e-59,7.080115120973291e-83,5.555049499387823e-79,1.562655105057118e-98,5.723693337523266e-103,2.5811093282218196e-55,7.167584238392479e-96,2.7270296496834975e-67,7.11441163310341e-97,1.0040020909589669e-103,1.2932206840797873e-107,2.536831014692463e-114,3.314801004018862e-112,2.0832219098940845e-70,3.3667860468738886e-108,1.8809648183394006e-115,1.7650399169901746e-118,3.76,0.0,0.738957064624846,0.9999999999998923,4.9751125886581824e-45,3.2388501979312244e-64,3.344122191653911e-17,3.3441221916541664e-17,7.333297411437385e-19,2.4227242289428908e-36,2.9549658736595537e-35,2.3720937504466716e-30,2.1563713360243954e-23,1.1233984144574774e-33,9.135796194964813e-34,7.984399427842482e-35,7.687400160114405e-39,3.5034555103013132e-43,2.0496905333293342e-19,3.771656865576192e-39,3.627784899764723e-39,1.1829931191581625e-33,1.2768378281944885e-57,2.3798170964805105e-37,4.1063698093958795e-36,3.493687061837514e-37,8.795511199937172e-52,1.9767887799351808e-51,6.109198829518465e-43,1.8450700042543555e-37,1.947230283893952e-58,1.0769193544604251e-13,5.596101721965222e-61,6.766128714835353e-58,1.2099247847209084e-57,2.156371335982037e-23,1.2913735582248932e-37,7.710899697043851e-56,2.6874129768002364e-51,3.9027059579415987e-53,3.2906131527115784e-64,1.9683945466570405e-55,7.17733611376548e-33,1.5348958516662928e-78,2.378728181572872e-51,3.7459473325309795e-66,7.890846990946224e-69,6.0425052515139175e-61,1.617998348953018e-70,2.635817065657519e-52,1.7837239505308914e-37,3.0537548301899083e-66,2.458869544828386e-53,1.8663499582771703e-56,4.623429784646895e-34,8.660236852736055e-55
1.0380375599007603e-19,0.7268748535242696,1.0054205646157751e-28,2.7108805055681695e-25,3.2336585334260856e-32,4.1065228455204435e-19,0.0,0.0,1.4692146380888302e-18,1.9905238086893045e-33,2.052638852760964e-45,3.37351125676054e-31,2.879233308219867e-53,5.2043494515218454e-61,7.03098936387226e-41,2.822754692112091e-45,5.501810148289947e-50,2.6891075489717447e-58,2.2768589174930093e-81,8.91708470440566e-78,5.032013128780272e-97,1.8431312240846412e-101,2.0711776846310437e-54,4.6251546388727674e-94,4.3822634378826867e-66,2.2909982958523615e-95,6.4787058744291454e-102,8.345020159709034e-106,3.2825867929794146e-112,2.1424599819737004e-110,3.348718377390081e-69,2.1725566550984674e-106,1.3580376386374208e-113,2.2807978787236659e-116,3.76,0.0,0.738957064624846,0.9999999999997843,3.9922145307833646e-44,5.204745318721424e-63,6.699896377006472e-17,6.699896377007495e-17,1.469214638179855e-18,9.716207748698653e-36,1.1850734792824024e-34,9.513156884145798e-30,4.32025616110953e-23,4.505330094189845e-33,3.66386288265216e-33,3.2021012815569996e-34,3.082991291585942e-38,1.4050423608598219e-42,4.106522845520442e-19,1.5126030946064565e-38,1.4549040014532456e-38,4.7443315144281e-33,1.0245819483199797e-56,9.544130965746195e-37,1.646837955334728e-35,1.4011247707697385e-36,7.065032643219628e-51,1.5878637258004258e-50,2.4500622083240943e-42,7.399555944791597e-37,1.5625296706232795e-57,2.1575910409711248e-13,4.490519201831249e-60,5.429392178560016e-57,9.708884413343018e-57,4.320256160939655e-23,5.178985549425151e-37,6.1875113913735026e-55,2.158676147517913e-50,3.134865590370911e-52,5.287926726914607e-63,1.579512659343341e-54,2.878432795823036e-32,4.933785301373431e-77,1.9107238062670668e-50,5.9806734894023734e-65,1.2684306076768843e-67,4.848731309319845e-60,2.6008850904838057e-69,2.117231406697817e-51,7.1535320878610745e-37,2.7811958559028267e-65,1.975097342979012e-52,1.4976283030241359e-55,1.8542021315679745e-33,6.949294671658726e-54
