Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536),S(1231),S(268)
0.0,0.5102211619068246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5069145605190463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.938230197690508e-21,0.5102211619068246,2.4284360390327634e-35,1.4131828150372455e-32,8.220707896098306e-39,2.1941391582070593e-25,0.0,0.0,5.534819534679004e-23,1.1020178809429306e-40,5.125901566098205e-55,4.291285230187515e-38,3.1726716471999704e-67,2.3759122133244344e-75,1.5013359828937545e-53,2.002889770182009e-59,1.8787670205907636e-63,1.1982017437201676e-73,5.991790664214693e-100,3.0231779457467577e-100,6.848703853929893e-125,2.07751315179746e-131,2.6293399377580776e-69,-4.396537479724811e-114,4.3162256196868345e-82,7.076361529914563e-116,-1.4921229602216617e-128,-6.314704234709287e-134,1.7163339638733004e-138,-2.1667173904140227e-138,7.653756678961462e-85,-4.305985822430529e-133,-3.904138346225844e-139,-1.7802180985105105e-143,3.76,0.0,0.5069145605190463,0.9999999999999994,1.6478662009011769e-52,7.966907440171523e-79,4.260324077110585e-22,4.260324077110601e-22,5.534819534681287e-23,1.7395366963513716e-42,1.9659838831758244e-41,1.4075033814810624e-36,3.0536451667225327e-30,4.060066181038854e-38,4.556888764072694e-39,1.813664270977911e-42,1.457604932044446e-47,1.8363591775982938e-52,2.1941391582070593e-25,1.4775777188986558e-48,7.023540552839533e-49,2.3180298621306224e-39,3.922982615457011e-67,1.1068989869704581e-45,2.0564512121700928e-44,7.746558415861447e-45,1.4641434610952609e-61,5.4658773508688945e-61,5.575353444453409e-54,4.311745637200559e-46,3.92963597206532e-71,4.795831523269978e-16,2.9364106482941563e-75,2.5632936574611408e-70,1.737790379124609e-70,3.0536451664492224e-30,9.650715956641465e-47,1.5561912483988616e-68,1.8977605557462096e-63,1.069058774294282e-65,5.060965171939882e-77,2.848089529336663e-66,3.664461852622609e-39,5.559244418136345e-92,5.633792841534576e-62,5.322572177474787e-77,1.7703968475330923e-82,4.831521270540788e-73,2.988458596459821e-83,5.321690053724756e-63,1.1381356739044956e-43,8.495160993460932e-78,4.0099073412337826e-66,1.7065665439913644e-67,2.7330705810007693e-40,9.144548826599313e-69,3.2120798105025164e-91,2.2826963536663526e-96,1.3144983263081267e-92,1.2439168551070568e-88
8.227044553533423e-21,0.5102211619068246,7.255661958487801e-35,3.9569126333550657e-32,4.965307569243894e-38,6.143589642979766e-25,0.0,0.0,1.5497494697101203e-22,6.6561880008952985e-40,6.08547033927177e-54,2.5919362790342447e-37,3.76659577955555e-66,2.8206829796578575e-74,9.068069336677603e-53,1.214856226651215e-58,2.839192721498124e-62,1.428008870416231e-72,3.645098660426123e-98,6.7627281375189385e-99,3.3170654933139906e-123,1.0201581086364619e-129,3.1215527097857055e-68,1.3115327759245048e-112,1.2172446843538474e-80,7.81926730271922e-114,4.451205719227155e-127,1.9086538288819846e-132,2.807482983598777e-137,6.684198372225653e-137,2.4064635599726192e-83,1.29094137723074e-131,1.5851984381596218e-137,7.054847665470797e-142,3.76,0.0,0.5069145605190463,0.9999999999999987,1.956346753710065e-51,2.2467953686331846e-77,1.1928907415909594e-21,1.1928907415909685e-21,1.549749469710758e-22,1.0506801646299181e-41,1.1874542654218275e-40,8.501320424145488e-36,8.550206467708636e-30,2.452279973347446e-37,2.7523608134999027e-38,1.0954532196706542e-41,8.803933789592823e-47,1.1091609437063673e-51,6.143589642979766e-25,8.92456942220716e-48,4.242218493941803e-48,1.4000900367268906e-38,4.6573649627505344e-66,6.685669882511294e-45,1.2420965321375732e-43,4.678921283180309e-44,2.212613594439917e-60,8.260033309794234e-60,3.3675225424638983e-53,2.604294364869215e-45,4.665263826374885e-70,1.342832826502992e-15,3.486106722737083e-74,3.0431422301737065e-69,2.06310473809679e-69,8.55020646605784e-30,5.829032437811467e-46,1.8475102500991627e-67,2.867895154921882e-62,1.615561503343857e-64,1.4272728676513002e-75,3.381251889811157e-65,2.2133349589840481e-38,2.877624451031095e-90,8.513786014899119e-61,1.5010480301238255e-75,5.566410951973369e-81,5.735982145277906e-72,9.396191980645044e-82,8.04213632376299e-62,6.874339488388129e-43,1.9348684079818025e-76,6.058553205314472e-65,2.0260358010318997e-66,1.650774630923671e-39,1.0856408366939064e-67,7.185294052901926e-90,5.106300435297643e-95,2.97813394354706e-91,3.507364022495758e-87
1.8804673265219252e-20,0.5102211619068245,1.873427799418207e-34,9.044375274993819e-32,2.390581856186165e-37,1.404249061252518e-24,0.0,0.0,3.542284502194558e-22,3.2046679977820397e-39,5.974750865444007e-53,1.2479057449400076e-36,3.6980660719754936e-65,2.7693632758481367e-73,4.365885038254023e-52,5.8996053034766955e-58,3.0542739700076485e-61,1.4133710999776857e-71,1.6455717746714637e-96,1.3362011182584208e-97,1.7406041826715676e-121,5.394636968231537e-128,3.064759652874959e-67,1.691986673322616e-110,2.6477730679618012e-79,7.074193374515426e-112,5.742447483818698e-125,2.4773722559989648e-130,8.412081195166845e-135,8.756492643047889e-135,5.36868782292491e-82,1.7031816494317083e-129,4.334076601259479e-135,1.942368481920608e-139,3.76,0.0,0.5069145605190463,0.9999999999999969,1.9207528437709928e-50,4.887270688264795e-76,2.7266074093507428e-21,2.726607409350786e-21,3.542284502196008e-22,5.058572713495132e-41,5.717081132029735e-40,4.093019833346734e-35,1.954332907322302e-29,1.180667245446066e-36,1.3251432525923327e-37,5.274135700003703e-41,4.238715142450535e-46,5.34013249488595e-51,1.404249061252518e-24,4.296796006644517e-47,2.042445592805057e-47,6.740830839075773e-38,4.572628541688577e-65,3.218862255924682e-44,5.9801601247931864e-43,2.252699187332501e-43,2.3802287361997972e-59,8.885766720929575e-59,1.6213261157534216e-52,1.2538556312980358e-44,4.580383690053863e-69,3.0693321748045756e-15,3.422680254885652e-73,2.987775087243824e-68,2.0255684659078065e-68,1.9543329065275146e-29,2.8064282001913736e-45,1.8138965191338142e-66,3.085150532636402e-61,1.7379473029498564e-63,3.1046300235348867e-74,3.319733157136236e-64,1.0656255067426423e-37,1.2564833626676803e-88,9.158741893962202e-60,3.26510520948369e-74,1.2418356625950467e-79,5.6316214721027826e-71,2.096238742502018e-80,8.651362693234511e-61,3.309698566721734e-42,3.8088642358093915e-75,6.517095514863161e-64,1.9891739636926114e-65,7.947769249538334e-39,1.0658886112285245e-66,1.4196930222929736e-88,1.0089189174931317e-93,5.917583179527015e-90,7.628762391866121e-86
3.995993068859091e-20,0.5102211619068245,4.898816685270695e-34,1.9219312578283772e-31,1.0440299028052881e-36,2.984029255161601e-24,0.0,0.0,7.527354567163418e-22,1.399562708797518e-38,5.284599478584466e-52,5.449932242353414e-36,3.270897561395613e-64,2.4494704554430254e-72,1.906696698274017e-51,2.62069714758329e-57,2.8074039835020796e-60,1.2701525735354386e-70,6.213365913379246e-95,2.3776984969908867e-96,7.049588339454374e-120,2.2171731364796925e-126,2.710746428040031e-66,1.4521998721599339e-108,4.908525032421109e-78,5.353811632868416e-110,4.9286394586160165e-123,2.1537995815549544e-128,1.5983119307959223e-132,7.759377866625746e-133,1.0054958128151597e-80,1.528063313352404e-127,7.74505748558349e-133,3.478347682825071e-137,3.76,0.0,0.5069145605190463,0.9999999999999934,1.6988841384822955e-49,9.060176192529863e-75,5.794040744870232e-21,5.794040744870423e-21,7.527354567166472e-22,2.2092116048884277e-40,2.4967995313795472e-39,1.7875292944807441e-34,4.152957429842049e-29,5.156284049919004e-36,5.78724873037225e-37,2.3033536241418804e-40,1.8511582637633166e-45,2.3321761621360143e-50,2.984029255161601e-24,1.876523703090637e-46,8.919896502508945e-47,2.9438979249058067e-37,4.044438167870491e-64,1.4057617153275574e-43,2.6116930392519924e-42,9.838129188143954e-43,2.1878402853720766e-58,8.16755043159737e-58,7.08083545195311e-52,5.475916959245865e-44,4.051297503861367e-68,6.522330871206119e-15,3.027321928658504e-72,2.6426532293178572e-67,1.79159236926264e-67,4.152957426371003e-29,1.2256409264935026e-44,1.6043709294494982e-65,2.8357847896418135e-60,1.597472978843985e-62,5.755460671429433e-73,2.9362663847694044e-63,4.65386655283058e-37,4.677572385846856e-87,8.418461497312135e-59,6.052953100524677e-73,2.325820759433816e-78,4.981105748186287e-70,3.926023169470026e-79,7.952092603320752e-60,1.4454323337664184e-41,6.7420877820560396e-74,5.990181502542749e-63,1.7594018442272045e-64,3.470999637858673e-38,9.427664058273068e-66,2.526267879263521e-87,1.7953173073483244e-92,1.0557228192663618e-88,1.4142056138277393e-84
8.227044553533422e-20,0.5102211619068246,1.3868257171829845e-33,3.956923526491347e-31,4.3586193265185475e-36,6.143589642979767e-24,0.0,0.0,1.5497494697101082e-21,5.842898804759375e-38,4.442024282755389e-51,2.2752394290591613e-35,2.749386486714111e-63,2.0589275094607753e-71,7.96008338129322e-51,1.1309645356310428e-56,2.401793213896052e-59,1.1012999272467609e-69,2.155705275263577e-93,4.010336046899745e-95,2.578823444509132e-118,8.345296472801246e-125,2.2785477604574395e-65,1.0674135648156408e-106,8.436500397161957e-77,3.719406253447699e-108,3.6227103069415743e-121,1.6234820916903813e-126,2.460500614864814e-130,6.061141261272501e-131,1.7367439674910175e-79,1.220653358170878e-125,1.16164936401519e-130,5.22152359433459e-135,3.76,0.0,0.5069145605190463,0.9999999999999866,1.4280144838439534e-48,1.557212798993437e-73,1.192890741590891e-20,1.1928907415909706e-20,1.5497494697107249e-21,9.223023568754632e-40,1.0423646546314462e-38,7.462582928610741e-34,8.550206480549023e-29,2.1526470891864914e-35,2.4160624227112755e-36,9.61604796472428e-40,7.728221350298945e-45,9.73637641865206e-50,6.143589642979767e-24,7.834117066401388e-46,3.72388120147645e-46,1.2290194329015799e-36,3.3995939860502045e-63,5.868778445793047e-43,1.0903304325089596e-41,4.107225272089659e-42,1.8717434258998764e-57,6.987511324875521e-57,2.956174798167376e-51,2.2860875368447695e-43,3.405359663004312e-67,1.3428328263202714e-14,2.5446464973067984e-71,2.2213092712570114e-66,1.505941337903918e-66,8.550206466058092e-29,5.116809600211631e-44,1.348570436802851e-64,2.4260735626507077e-59,1.3666717604469713e-61,9.892166243683926e-72,2.4681088231886706e-62,1.9428976742603857e-36,1.6114945881742325e-85,7.202170967796556e-58,1.0403478501488562e-71,4.017276971198259e-77,4.1869200737385125e-69,6.781228692249757e-78,6.803182562224607e-59,6.034395594211015e-41,1.1332384869997744e-72,5.124668371070113e-62,1.478883262019378e-63,1.4490740220355326e-37,7.924519700353777e-65,4.2609200254547886e-86,3.0280650479379024e-91,1.7828450419204706e-87,2.430628660525689e-83
1.6689147522882085e-19,0.5102211619068246,4.348178900436198e-33,8.026927295837203e-31,1.7806382131325945e-35,1.2462710418616099e-23,0.0,0.0,3.1437774956976186e-21,2.3870148108375884e-37,3.6418398828057503e-50,9.295095460111704e-35,2.254113152740459e-62,1.688033167407037e-70,3.2519537923791713e-50,4.921606380497627e-56,1.985849075376422e-58,9.580895864425019e-69,7.179398609882038e-92,6.586988999338521e-94,9.179697576244876e-117,3.1359401580421595e-123,1.868094483400075e-64,7.307502143078345e-105,1.3982880704626005e-75,2.4789626877406582e-106,2.480104313917534e-119,1.1666710196178822e-124,3.4436404798938686e-128,4.638949166344414e-129,2.885626077195997e-78,9.691211801118553e-124,1.606350210484047e-128,7.223244837526087e-133,3.76,0.0,0.5069145605190463,0.9999999999999728,1.1707725508583225e-47,2.580966013748998e-72,2.4198640757985058e-20,2.4198640757988308e-20,3.1437774956988204e-21,3.767906069743969e-39,4.258399728380578e-38,3.048708624421669e-33,1.7344704604632898e-28,8.794265750774781e-35,9.870403338531449e-36,3.928469357508482e-39,3.157230587511904e-44,3.97762748291706e-49,1.2462710418616096e-23,3.200492442919783e-45,1.5213269782122074e-45,5.0209454025687655e-36,2.787192561423526e-62,2.3975874960255643e-42,4.454355582054227e-41,1.6779355391091843e-41,1.5475936604286668e-56,5.777409478524669e-56,1.207747277070302e-50,9.339413520010621e-43,2.7919195982110906e-66,2.7240323043969937e-14,2.0862549501154143e-70,1.8211635467796586e-65,1.2346616939574754e-65,1.7344704545432709e-28,2.090383679072643e-43,1.105639521285256e-63,2.0059245261510473e-58,1.1299906382124309e-60,1.6395539994561223e-70,2.023504735790533e-61,7.937370951253637e-36,5.347962961170264e-84,5.954894200356168e-57,1.7243001587478853e-70,6.6747657712893e-76,3.4326909548065492e-68,1.1267112894026246e-76,5.625002871728306e-58,2.465247607760834e-40,1.857773377770034e-71,4.237152226104994e-61,1.2124778486203202e-62,5.919940201177133e-37,6.497000029667561e-64,6.998573936554731e-85,4.973605933950568e-90,2.9301193271430123e-86,4.028565649670489e-82
3.361335346157941e-19,0.5102211619068246,1.4940745610705858e-32,1.6167011762608587e-30,7.197624357063393e-35,2.5100951969888763e-23,0.0,0.0,6.331833547672551e-21,9.648695516237904e-37,2.949256358170916e-49,3.7572262008159153e-34,1.8254392729149524e-61,1.3670130241661894e-69,1.3144917171440659e-49,2.232919659006191e-55,1.614859487950349e-57,8.652471192880926e-68,2.3434752814933114e-90,1.0677793020619414e-92,3.3367831664003554e-115,1.2580802125146657e-121,1.5128367965096207e-63,4.834865302884039e-103,2.276749640221837e-74,1.6188556449786183e-104,1.640912514396359e-117,8.44984718348679e-123,4.605869849863872e-126,3.7168892336740246e-127,4.704298800267863e-77,8.178024279777117e-122,2.1360767223124415e-126,9.607049770236999e-131,3.76,0.0,0.5069145605190463,0.9999999999999452,9.481219660164168e-47,4.202434081620085e-71,4.873810744213253e-20,4.873810744214565e-20,6.3318335476747744e-21,1.523047878690135e-38,1.7213132553562966e-37,1.2323367706476879e-32,3.493370094348034e-28,3.554782824674052e-34,3.9897748436058505e-35,1.5879501251257457e-38,1.2762030834577398e-43,1.6078206462096633e-48,2.510095196988875e-23,1.2936902171822186e-44,6.149446886463454e-45,2.0295464097282083e-35,2.2571408263642537e-61,9.691432059971023e-42,1.8005217446342496e-40,6.782483727890092e-41,1.2584774628456504e-55,4.6980934351529626e-55,4.882339397144445e-50,3.775140269166841e-42,2.260968881404501e-65,5.486431259260053e-14,1.6895033655147688e-69,1.4748254576021542e-64,9.998610505337033e-65,3.4933700704183705e-28,8.449665054407782e-43,8.953755499776989e-63,1.6311845067182425e-57,9.188896197284562e-60,2.6695886537771534e-69,1.6386866071556714e-60,3.2084122461391654e-35,1.7425558637251342e-82,4.842421054632312e-56,2.8075757269480545e-69,1.0881552831710326e-74,2.779883616164367e-67,1.8368237689725083e-75,4.57415890519681e-57,9.964925879430521e-40,3.008490485162455e-70,3.4455728484347087e-60,9.818959975106071e-62,2.392934480976924e-36,5.261439070131402e-63,1.1344989940190669e-83,8.062429546171236e-89,4.75129215114137e-85,6.55945652131851e-81
6.746176533897406e-19,0.5102211619068246,5.48053204062797e-32,3.244748840847005e-30,2.894133097693802e-34,5.037743507243409e-23,0.0,0.0,1.270794565162206e-20,3.8796980305745756e-36,2.3738180965596817e-48,1.5107641305060558e-33,1.4692723364625643e-60,1.1002910092695215e-68,5.285513381163283e-49,1.0936878474722487e-54,1.3024426793363432e-56,8.402749110812195e-67,7.573707163156758e-89,1.719625648190294e-91,1.2912314244791713e-113,5.760972158470341e-120,1.2176714411291154e-62,3.145827978675047e-101,3.674683098477998e-73,1.0465371293815562e-102,1.067667551134313e-115,6.448883757395968e-121,6.0254331147038746e-124,3.2611274684857467e-125,7.597455128321552e-76,7.619196672646312e-120,2.7864938591817933e-124,1.2533457923732148e-128,3.76,0.0,0.5069145605190463,0.9999999999998899,7.63131043001922e-46,6.782745550683095e-70,9.781704081040813e-20,9.781704081046092e-20,1.2707945651625733e-20,6.124108547521203e-38,6.921324887174846e-37,4.955171954628845e-32,7.011169398389401e-28,1.4293625392977045e-33,1.604270916946468e-34,6.385077612545147e-38,5.131556470832982e-43,6.464976271340958e-48,5.037743507243406e-23,5.201871466998457e-44,2.4726655478208994e-44,8.160716850821002e-35,1.8167433477798978e-60,3.896882254919609e-41,7.2398187401203964e-40,2.727206876537226e-40,1.0150076652493603e-54,3.7891825539867567e-54,1.9635144451004047e-49,1.5179672985648142e-41,1.819824464244976e-64,1.1011229163824624e-13,1.3598593195626106e-68,1.187067836105143e-63,8.047751594163533e-64,7.011169302169277e-28,3.3975731554012865e-42,7.206761385352581e-62,1.3156093966344418e-56,7.41117767033483e-59,4.308726844029817e-68,1.3189575587767067e-59,1.2900884530625065e-34,5.626607282005805e-81,3.9055880042512205e-55,4.531438473823016e-68,1.757373689130182e-73,2.2374945650791596e-66,2.9664752932954433e-74,3.6892248623907584e-56,4.006853584262653e-39,4.842576012140537e-69,2.778975757316773e-59,7.903153219574525e-61,9.621884302610775e-36,4.234863898505015e-62,1.827075655215962e-82,1.2984294233280106e-87,7.6529704032011325e-84,1.0586974696606794e-79
1.3515858909376338e-18,0.5102211619068246,2.0925223549741835e-31,6.500967254946789e-30,1.1606768154582544e-33,1.0093040127752475e-22,0.0,0.0,2.5460169859519668e-20,1.555932433995838e-35,1.9048395246463396e-47,6.05883986941561e-33,1.1789985184603792e-59,8.829142409917746e-68,2.119727266188702e-48,5.956990452823757e-54,1.0461927899174303e-55,9.051256985332434e-66,2.4355907210785003e-87,2.7603800050474216e-90,5.5099582067878705e-112,3.198663230492419e-118,9.771187254848986e-62,2.029965256422534e-99,5.905117089714579e-72,6.731544937870415e-101,6.889531503788039e-114,5.388648111165068e-119,7.796738155030805e-122,3.1919434753506995e-123,1.221268722679611e-74,7.882477595079836e-118,3.600565969218739e-122,1.619582875760791e-126,3.76,0.0,0.5069145605190463,0.9999999999997794,6.123646017028044e-45,1.0899690012263736e-68,1.9597490754688199e-19,1.9597490754709367e-19,2.546016985952385e-20,2.456041445743327e-37,2.7757608383607623e-36,1.9872455792843686e-31,1.404676815155965e-27,5.732383080597592e-33,6.433843904658587e-34,2.560701702205325e-37,2.0579836606404458e-42,2.592744772250531e-47,1.009304012775246e-22,2.0861831194762073e-43,9.916494781670875e-44,3.2728124541595565e-34,1.4578221925603002e-59,1.562824115099618e-40,2.903491119400187e-39,1.0937319348000574e-39,8.153093552067229e-54,3.0436774913196034e-53,7.877356350511453e-49,6.087727794736421e-41,1.46029453788671e-63,2.2060824952307583e-13,1.0912015071752183e-67,9.525471810168665e-63,6.457813824645967e-63,1.4046767765673915e-27,1.36257879549011e-41,5.782972145780279e-61,1.056769012583549e-55,5.953060940596797e-58,6.924008362545302e-67,1.0583803996648752e-58,5.173831702941158e-34,1.8086226320836677e-79,3.1371806779819037e-54,7.28189992265814e-67,2.8249268798455165e-72,1.7954523058276785e-65,4.768522394730996e-73,2.963386036156982e-55,1.6069280720761104e-38,7.771373504016038e-68,2.2322230316703203e-58,6.341782737746595e-60,3.8588059543875107e-35,3.398211576152502e-61,2.932861062853502e-81,2.0842667831903172e-86,1.2285653009167498e-82,1.7012972477151133e-78
