Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536),S(1231),S(268),S(3108),S(711),CHO3(226)
0.0,0.5145280088940318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5547100191153145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0039736266606828e-21,0.5145280088940318,2.6510003820417177e-35,1.400362394130034e-32,9.219357633721593e-39,2.3936054463468504e-25,0.0,0.0,6.045639244818645e-23,1.325633347803913e-40,6.091371033047706e-55,4.894366467219992e-38,3.585752108438026e-67,2.6570635534150214e-75,1.6735623689790407e-53,2.155838105910624e-59,2.3321494711471678e-63,1.3071666466604304e-73,8.023189838480619e-100,3.736990258980035e-100,8.316137970864904e-125,2.4236793571445486e-131,3.1636416402978115e-69,-6.217677718364321e-114,5.390299230865362e-82,1.0466049936370088e-115,-2.0932052678272903e-128,-8.538582107661919e-134,2.6863693428367422e-138,-2.926118282519788e-138,9.407328372170936e-85,-5.995074935871107e-133,-5.7931689252067414e-139,-2.5392695638808507e-143,3.76,0.0,0.5547100191153145,0.9999999999999994,2.0456518345774086e-52,1.0914489837801022e-78,4.803837104865314e-22,4.803837104865332e-22,6.045639244821132e-23,1.985751403178134e-42,2.2433416367627657e-41,1.605796478837259e-36,3.314783589993009e-30,4.508391324703654e-38,5.0405782981268875e-39,2.053505741277001e-42,1.7475828576390116e-47,2.1950894545227092e-52,2.3936054463468504e-25,1.7661990719888205e-48,8.38407468421976e-49,2.6519549338916274e-39,4.768163514779439e-67,1.2146398177871485e-45,2.256194430292426e-44,9.267555971113422e-45,1.8293660033196207e-61,6.835258480177286e-61,6.608750760129711e-54,5.314911281919368e-46,4.7006287318058116e-71,4.873397172359262e-16,3.482095674292298e-75,3.1533751295971705e-70,2.3355615879725103e-70,3.314783589681217e-30,1.1553971215445985e-46,2.0932319536949105e-68,2.3603507066848576e-63,1.3266931353042512e-65,6.3855100000884285e-77,3.4110208816383405e-66,4.1794866676797226e-39,7.115606739880058e-92,7.007462928428853e-62,6.7303571451395425e-77,2.186259459221376e-82,5.957689610571642e-73,3.7420364757029876e-83,6.432188892163381e-63,1.2990244898978184e-43,1.0362175089498566e-77,4.896446978152428e-66,2.041351960361439e-67,3.1182674269486133e-40,1.1444713410256806e-68,4.0300024737270854e-91,2.8396696393334042e-96,1.6444984380401774e-92,1.5364811546535778e-88,3.548705927238612e-110,5.966469374125718e-108,4.3240194353005185e-86
8.411126154649911e-21,0.5145280088940318,7.943090114538274e-35,3.9210155630276153e-32,5.568492010768432e-38,6.702095249771182e-25,0.0,0.0,1.6927789885492199e-22,8.006825420735632e-40,7.231675690434209e-54,2.9561973462020198e-37,4.2570049031373344e-66,3.154465850613283e-74,1.0108316708632643e-52,1.3084831806407257e-58,3.524344280775425e-62,1.558806677958822e-72,4.880897910411757e-98,8.359497729729654e-99,4.0364766688793674e-123,1.1952770514780927e-129,3.755875777612817e-68,1.8547982576511774e-112,1.5201506278824407e-80,1.1564898370975175e-113,6.2443159900649686e-127,2.5861386510352725e-132,4.394212534624537e-137,9.073363644407488e-137,2.957814557464846e-83,1.7979977493245677e-131,2.356469515224776e-137,1.006290182630244e-141,3.76,0.0,0.5547100191153145,0.9999999999999987,2.428597858010535e-51,3.0780607660786095e-77,1.3450743893622826e-21,1.345074389362293e-21,1.6927789885499143e-22,1.1993938475590026e-41,1.3549783485856042e-40,9.699010732176892e-36,9.281394052990651e-30,2.723068360120982e-37,3.044509292068635e-38,1.2403174677313038e-41,1.055540046019346e-46,1.3258340310607032e-51,6.702095249771182e-25,1.0667842394884426e-47,5.063981109301039e-48,1.6017807800705366e-38,5.660763726813942e-66,7.336424500792741e-45,1.3627414358818472e-43,5.597603806552498e-44,2.764537899351952e-60,1.0329441886060746e-59,3.991696782367826e-53,3.2102064142793944e-45,5.5805864308260396e-70,1.3645512082475012e-15,4.133943985881405e-74,3.743686953902809e-69,2.7727787172410373e-69,9.281394051107429e-30,6.978598614129405e-46,2.4850849754266435e-67,3.566961270287344e-62,2.0048985268650027e-64,1.8008156390409387e-75,4.049563991402574e-65,2.5244099472785425e-38,3.6832422777209633e-90,1.0589675919008848e-60,1.898065451425482e-75,6.873949541106696e-81,7.07296922067739e-72,1.176556140544622e-81,9.720321746790374e-62,7.846107941689225e-43,2.3689876241487418e-76,7.398036791997831e-65,2.4234930473478097e-66,1.88343352587604e-39,1.3587163760657332e-67,9.014954333628815e-90,6.352227396403448e-95,3.7251789495325475e-91,4.3322901988646225e-87,1.4824459472937932e-108,2.492448944712764e-106,1.3595408973819683e-84
1.922543121062837e-20,0.5145280088940318,2.0608425758817166e-34,8.962325338676856e-32,2.6809891998871223e-37,1.5319074856619841e-24,0.0,0.0,3.869209116683927e-22,3.8549417754137744e-39,7.100102076120323e-53,1.4232817686692913e-36,4.179552657594464e-65,3.097073277857352e-73,4.8667193689899074e-52,6.3627154064285064e-58,3.7913287522232076e-61,1.5447460991652972e-71,2.203470628552904e-96,1.6516958818104668e-97,2.120642212275397e-121,6.335742505041423e-128,3.687541980781298e-67,2.3928446503204375e-110,3.3066596580697633e-79,1.0462937998227838e-111,8.055717688004184e-125,3.359890183114014e-130,1.3166410213715676e-134,1.1913513248083115e-134,6.598721568554458e-82,2.3760359046514163e-129,6.439642334159446e-135,2.7705578165408503e-139,3.76,0.0,0.5547100191153145,0.9999999999999969,2.384411778384156e-50,6.69545449878098e-76,3.074455747113764e-21,3.0744557471138135e-21,3.8692091166855066e-22,5.77456508103316e-41,6.523637479419526e-40,4.6696561604585186e-35,2.1214614983026843e-29,1.3110401972237852e-36,1.4658001690952908e-37,5.971594695633445e-41,5.081970950093451e-46,6.383320141535696e-51,1.5319074856619841e-24,5.136106901449362e-47,2.438088918218637e-47,7.711884947756758e-38,5.557771399118874e-65,3.532172592162571e-44,6.561013403068709e-43,2.6950052763997724e-43,2.973963717368745e-59,1.1111941970614732e-58,1.921841382398527e-52,1.5455762007822935e-44,5.479052851068453e-69,3.118974190218283e-15,4.058730722023779e-73,3.6755740511931043e-68,2.7223305869409785e-68,2.1214614973959938e-29,3.3598948294517377e-45,2.4398711652269244e-66,3.8371739177734044e-61,2.1567782985278429e-63,3.917167095162151e-74,3.9758859417940904e-64,1.2153947229612481e-37,1.6082476127850058e-88,1.1391889410513503e-59,4.128704423953687e-74,1.5335403290701005e-79,6.944283355893139e-71,2.624832027292158e-80,1.0456677846205476e-60,3.777563250682459e-42,4.672991057475692e-75,7.957963011877749e-64,2.379399845017699e-65,9.067921677552728e-39,1.3339957950996705e-66,1.7812030613519176e-88,1.2550930893426787e-93,7.401441345916954e-90,9.423040796688576e-86,5.898079158124557e-107,9.916490514113037e-105,3.0330609765634215e-83
4.085404132258529e-20,0.5145280088940317,5.426372176451754e-34,1.9044958641391646e-31,1.1708584194835542e-36,3.2553034070317164e-24,0.0,0.0,8.222069372953326e-22,1.6835543517109638e-38,6.2799598802306914e-52,6.215845413387138e-36,3.6967669937133775e-64,2.739326241022034e-72,2.125424208602199e-51,2.833722933472136e-57,3.484884311714589e-60,1.3915766146767162e-70,8.319885832580194e-95,2.9391045719118103e-96,8.608123892259337e-120,2.615638468553453e-126,3.2615906595380693e-66,2.0537329577018067e-108,6.129989726735656e-78,7.918454572242425e-110,6.914077695346659e-123,2.926803970727461e-128,2.501643771868078e-132,1.0605807520495134e-132,1.2358675203245308e-80,2.138391283301206e-127,1.1506100742220833e-132,4.961449617309146e-137,3.76,0.0,0.5547100191153145,0.9999999999999933,2.1089852153774558e-49,1.2412244239650058e-74,6.53321846261664e-21,6.533218462616858e-21,8.222069372956652e-22,2.5219042826470803e-40,2.8490438783925633e-39,2.03936152812308e-34,4.508105685926285e-29,5.7256569823732536e-36,6.401534438621064e-37,2.6079522914217148e-40,2.2194302292826724e-45,2.7877636152164214e-50,3.2553034070317164e-24,2.2430728215342444e-46,1.0647774849445925e-46,3.367982766042269e-37,4.9157858702919344e-64,1.5425925706951397e-43,2.8653669262423267e-42,1.1769796083313938e-42,2.733585024483733e-58,1.021378899902806e-57,8.393284122910481e-52,6.74993732803904e-44,4.846160199984023e-68,6.62782015395037e-15,3.589901364789084e-72,3.2510036238881916e-67,2.407870574736592e-67,4.5081056819665294e-29,1.467354344361687e-44,2.158038414981587e-65,3.5270238277380666e-60,1.982450819156916e-62,7.261767427946294e-73,3.5166260925973723e-63,5.3079480679530915e-37,5.987102459093083e-87,1.047110876113344e-58,7.653920186516327e-73,2.8721513161639073e-78,6.142140398447654e-70,4.916019891329755e-79,9.611488204704655e-60,1.6497611373651542e-41,8.280094570735338e-74,7.314555140141135e-63,2.1045522170966892e-64,3.9601996322104366e-38,1.17990417374412e-65,3.1695556783617227e-87,2.2333710931191178e-92,1.3204067294293367e-88,1.746826024215496e-84,2.1105055947852336e-105,3.548410957378403e-103,5.680587618020924e-82
8.411126154649912e-20,0.5145280088940318,1.548728126444844e-33,3.921028025248647e-31,4.8881034174073954e-36,6.70209524977118e-24,0.0,0.0,1.692778988549206e-21,7.028508010056292e-38,5.2786846753022973e-51,2.5949931009360117e-35,3.107355405135227e-63,2.3025687623604148e-71,8.873227680316225e-51,1.228889793698821e-56,2.981391898093757e-59,1.2121384025186957e-69,2.886554892938764e-93,4.9572294490928585e-95,3.162482870032759e-118,9.928898489217067e-125,2.741566057347444e-65,1.5095597278057445e-106,1.0535886121109852e-76,5.501122248446581e-108,5.08207198766402e-121,2.214487133120597e-126,3.851123125752711e-130,8.354088544920522e-131,2.1346538028163414e-79,1.7175655622830764e-125,1.7256543465241658e-130,7.447882903368152e-135,3.76,0.0,0.5547100191153145,0.9999999999999863,1.7727291494182047e-48,2.1333476505846312e-73,1.3450743893622049e-20,1.3450743893622955e-20,1.6927789885498771e-21,1.052845394514812e-39,1.189419735545084e-38,8.51393293079299e-34,9.281394067638935e-29,2.390349080357528e-35,2.6725146136668002e-36,1.0887687440249968e-39,9.265684311929112e-45,1.1638364359330349e-49,6.70209524977118e-24,9.364387480656606e-46,4.445236398009615e-46,1.4060665059492524e-36,4.132014234944875e-63,6.440020332856611e-43,1.1962342867348958e-41,4.9136581758842376e-42,2.3386395400682637e-57,8.738111491166465e-57,3.5041125977691183e-51,2.8179659616749388e-43,4.073489653685975e-67,1.3645512080576647e-14,3.0175284129905464e-71,2.7326644338092496e-66,2.0239603031523836e-66,9.281394051107736e-29,6.125915538429881e-44,1.8139613193612562e-64,3.0174431070769306e-59,1.696028406923879e-61,1.2481122667877926e-71,2.9559361277402888e-62,2.2159638312036472e-36,2.0626475487657016e-85,8.958253901879604e-58,1.3155131623667978e-71,4.960927145150395e-77,5.162839788433789e-69,8.491201834464972e-78,8.222830415418044e-59,6.887428162192554e-41,1.3924590858551145e-72,6.25768575628463e-62,1.7690029472945423e-63,1.6533053897552812e-37,9.917805525919111e-65,5.345918923555569e-86,3.7669067849279e-91,2.2297934642679725e-87,3.002311583214497e-83,7.139940719820588e-104,1.200444289344187e-101,9.81180273788989e-81
1.7062570199432678e-19,0.5145280088940318,4.892849898786485e-33,7.954114349733707e-31,1.99694974090158e-35,1.359567893525011e-23,0.0,0.0,3.433923091056929e-21,2.871374856677142e-37,4.327784621507448e-50,1.0601393542792414e-34,2.5475976996328286e-62,1.8877849867173918e-70,3.625003033694342e-50,5.395115623281203e-56,2.465072475810898e-58,1.0633448468298225e-68,9.613432978763215e-92,8.142264255790176e-94,1.1345826775055974e-116,3.7887178741240794e-123,2.2477057254961393e-64,1.0334430224713452e-104,1.746245858040487e-75,3.666467533636772e-106,3.479182046683233e-119,1.602499009645023e-124,5.389912690441382e-128,6.483352360336445e-129,3.546759219835742e-78,1.37543966918424e-123,2.386205432351016e-128,1.0303100380629608e-132,3.76,0.0,0.5547100191153145,0.9999999999999724,1.453390460479459e-47,3.5358672785309524e-72,2.7285794755631486e-20,2.728579475563518e-20,3.433923091058236e-21,4.301216973994644e-39,4.859167716636965e-38,3.47821940501883e-33,1.8827970856926032e-28,9.765355944958148e-35,1.0918094216874123e-35,4.447975575835048e-39,3.7853343735747204e-44,4.754651622444557e-49,1.3595678935250107e-23,3.825657838711823e-45,1.8160241132693706e-45,5.7442404650058685e-36,3.3876749363229743e-62,2.6309584469632877e-42,4.887007382045216e-41,2.0073896935669677e-41,1.9336323964918564e-56,7.224839545833898e-56,1.4316110754230333e-50,1.1512310433099519e-42,3.3396929321387364e-66,2.7680895930477605e-14,2.4739521176399027e-70,2.240403403907489e-65,1.6593649390559835e-65,1.882797078939069e-28,2.502636381150817e-43,1.4871950845395528e-63,2.4948802992009467e-58,1.4023090822276123e-60,2.06865453812371e-70,2.4234550347014234e-61,9.052935301659785e-36,6.845175141109486e-84,7.406857523405606e-57,2.180366464102374e-70,8.242654648846296e-76,4.23280911849438e-68,1.4108258844628256e-76,6.798795162198843e-58,2.813739274283596e-40,2.283305112611402e-71,5.173948162297166e-61,1.4503354949155892e-62,6.754291977358777e-37,8.131216178724047e-64,8.780687884733917e-85,6.1871557055601245e-90,3.6646543827935454e-86,4.9760830104165204e-82,2.348918657009255e-102,3.949256862770191e-100,1.6302457960284438e-79
3.436545828899821e-19,0.5145280088940318,1.6908853262436254e-32,1.602037500776822e-30,8.071990137546825e-35,2.738284630620797e-23,0.0,0.0,6.916211296072275e-21,1.1606556264029828e-36,3.504752191889795e-49,4.285252771752761e-34,2.0631106680885367e-61,1.5287772263573316e-69,1.4652841850274416e-49,2.4836986131847054e-55,2.004555998443288e-57,9.737795338713489e-68,3.137984639133198e-90,1.3198961232709463e-92,4.179131719068306e-115,1.559420060861449e-121,1.820257228063907e-63,6.837572849331239e-103,2.8433086951228298e-74,2.394341352966821e-104,2.30193275671058e-117,1.1746553095544627e-122,7.209009331622105e-126,5.300577240261032e-127,5.782112684165822e-77,1.174144145865357e-121,3.1730662872889015e-126,1.3703314835769083e-130,3.76,0.0,0.5547100191153145,0.9999999999999443,1.1769932765925448e-46,5.7572432493216774e-71,5.495589647964485e-20,5.495589647965982e-20,6.916211296074687e-21,1.738620673378657e-38,1.964153281528083e-37,1.405951895451501e-32,3.7921124538947404e-28,3.947313007559204e-34,4.4132682477678724e-35,1.7979428447631114e-38,1.5300926763449294e-43,1.9219062313370145e-48,2.738284630620797e-23,1.5463920657564467e-44,7.340659824648447e-45,2.321913838458327e-35,2.7434270284114986e-61,1.063475476381068e-41,1.97540651961795e-40,8.114190095395723e-41,1.5723977518363702e-55,5.875119526207133e-55,5.787340409719186e-50,4.653459943070885e-42,2.704569930583427e-65,5.575166361687314e-14,2.0034705879173765e-69,1.814336763577151e-64,1.3437967495899907e-64,3.7921124265958764e-28,1.0116056389744216e-42,1.2043691375972326e-62,2.028795220101151e-57,1.1403344556833215e-59,3.3682676422509915e-69,1.962576730820273e-60,3.659341192912657e-35,2.2304006531380355e-82,6.023133512900844e-56,3.550161461758449e-69,1.3437607417024943e-74,3.427840404273457e-67,2.300002265741868e-75,5.528667298854213e-57,1.1373585146851137e-39,3.698068110447954e-70,4.2073578676073785e-60,1.1745192863784699e-61,2.7301928090403447e-36,6.584869677553784e-63,1.423387344669554e-83,1.0029646021362164e-88,5.942344336809372e-85,8.102238828745523e-81,7.621020104824596e-101,1.2813285755044464e-98,2.6577124143658653e-78
6.897123446812927e-19,0.5145280088940318,6.225189926557992e-32,3.215324836009481e-30,3.245711732428577e-34,5.495718104812369e-23,0.0,0.0,1.388078770610257e-20,4.666945226277282e-36,2.820929470581829e-48,1.723081292340888e-33,1.6605709522414106e-60,1.2304929123572164e-68,5.891843262425289e-49,1.2422764681758024e-54,1.6167470327752563e-56,9.651285486549496e-67,1.0141424117831705e-88,2.1256520164257258e-91,1.64936112641496e-113,7.415182475991834e-120,1.465112412101758e-62,4.4488991224940007e-101,4.589111697282091e-73,1.5478633884724691e-102,1.497763523448675e-115,9.131494207526887e-121,9.430879500918147e-124,4.764403643549285e-125,9.338127429822245e-76,1.1076506061700222e-119,4.139213286215963e-124,1.787748830466957e-128,3.76,0.0,0.5547100191153145,0.9999999999998881,9.473465851089065e-46,9.292213815877321e-70,1.1029609992764951e-19,1.1029609992770972e-19,1.3880787706106537e-20,6.990917276000958e-38,7.897773950832266e-37,5.653270735593529e-32,7.610743231677888e-28,1.5871971994252483e-33,1.7745557521683353e-34,7.229449102391405e-38,6.152435357724915e-43,7.727900630401217e-48,5.495718104812365e-23,6.217974486369949e-44,2.951647031334071e-44,9.336313422957803e-35,2.208148799267126e-60,4.2761881711560434e-41,7.943022727976386e-40,3.2626801498538046e-40,1.2681957508609241e-54,4.738496736575376e-54,2.3274980200742205e-49,1.8711357764520925e-41,2.1768731832672622e-64,1.1189319893603867e-13,1.6125674617878167e-68,1.4603360722042227e-63,1.0816045317469158e-63,7.610743121910357e-28,4.0676217822849865e-42,9.69381059686343e-62,1.636296841060794e-56,9.19721049554501e-59,5.436397546939859e-68,1.579652511639044e-59,1.471404999302515e-34,7.201828543117406e-81,4.857875375120732e-55,5.729974830895491e-68,2.1701771874724872e-73,2.759027130085364e-66,3.714509802790393e-74,4.459070460081762e-56,4.573269467008897e-39,5.952922626266637e-69,3.393382225692223e-59,9.453553027211603e-61,1.0977985206542424e-35,5.300075987221752e-62,2.2923214380079058e-82,1.6152435720676898e-87,9.571396839389229e-84,1.3077028306208343e-79,2.4555931660977383e-99,4.1286096268993553e-97,4.2922136626350185e-77
1.381827868263914e-18,0.5145280088940317,2.3818214837506934e-31,6.442040320977845e-30,1.301675572727912e-33,1.101058505319551e-22,0.0,0.0,2.7809940526161597e-20,1.8716537699640127e-35,2.263618244208127e-47,6.910326649595842e-33,1.3325036100554126e-59,9.873930683849677e-68,2.3628926673388147e-48,6.93590601030176e-54,1.2986591392047713e-55,1.065491041370933e-65,3.2613300128726963e-87,3.412142247363796e-90,7.211657201786887e-112,4.31369237537639e-118,1.1756781527084864e-61,2.8708215182065967e-99,7.374579299494151e-72,9.956180438027648e-101,9.664889570787718e-114,7.813501700025741e-119,1.2203288401113326e-121,4.772221530857181e-123,1.5010767113229959e-74,1.1583085209874844e-117,5.348465670033216e-122,2.310142507842152e-126,3.76,0.0,0.5547100191153145,0.9999999999997758,7.60185972756144e-45,1.4932338145955195e-68,2.209765068235706e-19,2.209765068238121e-19,2.7809940526166026e-20,2.8036705166549333e-37,3.1673605847673216e-36,2.2672144136816294e-31,1.5248004952759678e-27,6.365370660985265e-33,7.1167622556521195e-34,2.899332435071385e-37,2.4674017544990698e-42,3.0992339541790535e-47,1.1010585053195493e-22,2.4936858769519592e-43,1.183742476197824e-43,3.744279259427937e-34,1.771900433791661e-59,1.7149427571197125e-40,3.185507369582861e-39,1.3084806670274705e-39,1.0186837945271878e-53,3.806218268478205e-53,9.337788275583157e-49,7.504091349532657e-41,1.7468036523284596e-63,2.2417626935986764e-13,1.2939838877099579e-67,1.1718277310300687e-62,8.679195196557558e-63,1.5248004512542784e-27,1.6312982635279947e-41,7.778672509134258e-61,1.3143626075360424e-55,7.387699634173652e-58,8.736144907903394e-67,1.2675716870124808e-58,5.900992149170533e-34,2.314963430527769e-79,3.902109681485698e-54,9.207915662660192e-67,3.4884964472252755e-72,2.2139502606047804e-65,5.970966021556432e-73,3.581767885729209e-55,1.834086324477542e-38,9.553562272734098e-68,2.7257474218996833e-58,7.585880943175045e-60,4.4026630699183783e-35,4.2529771926375616e-61,3.679683580636109e-81,2.5928236556697882e-86,1.5365375991631154e-82,2.1014419179448725e-78,7.885011415821901e-98,1.325713663158293e-95,6.899611364725808e-76
