Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271)
0.0,0.510837295567036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5375777335641758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2031663496492247e-21,0.510837295567036,1.0949070860674735e-28,1.2250298518209733e-32,2.9759294711983265e-37,5.2471276313498816e-30,0.0,0.0,2.8730313463708294e-23,7.636214218336816e-42,1.261521580881666e-54,2.501464439590826e-56,3.993839520885863e-61,1.547765704018188e-73,9.85583744916211e-52,1.672971685115768e-42,4.853809808804346e-40,1.3422033945922332e-56,6.969608267709833e-72,7.984879693812123e-71,3.2049486538734017e-42,1.2295609247723092e-63,3.918912544277803e-30,1.640436969973014e-74,1.147681737279301e-58,2.760735804370311e-65,1.8073183777993138e-47,2.355822660616126e-46,1.7835177794210612e-87,7.763477358606227e-70,3.4274586714280724e-74,5.086753508289992e-69,1.2796621191890237e-61,6.066094874297971e-76,3.76,0.0,0.5375777335641758,0.9999999999999994,1.9176335772956983e-51,5.58240563978026e-56,6.08054974079954e-20,6.08054974079954e-20,6.467333386907555e-42,8.095263638168005e-47,4.999999926007062e-16,3.074508134855042e-45,2.8463624368960106e-47,2.8730422954416693e-23,1.3511939908326203e-37,1.111625748131372e-44,1.9513061587423197e-38,5.035434232201789e-22,3.1373953153620867e-44,2.9757112056275435e-37,1.1186976464383264e-27,9.297177185388623e-46,2.880697633385836e-42,2.7911021267730308e-39,5.912416704170652e-51,3.7453385464463405e-52,3.9189125442795545e-30,1.7245589283580965e-64,4.85380980880464e-40,2.730524928440067e-38,1.2340302029654417e-59,1.4285486707318705e-57,8.970600488076759e-74,1.014480651068115e-57,8.064422732624195e-73,2.1603933602006024e-79,8.8307737003347e-84,1.9209776975801777e-82,7.23338038527686e-70,6.412245389577941e-69,8.978035847939033e-84,6.0054103738792525e-55,1.0201100067559268e-61,1.3055416317125367e-53,4.123569765759829e-60,4.0908272274410105e-82,5.247127631345724e-30,2.17376096440295e-41,6.602111261687904e-62,7.63167107632588e-55,1.9894794287132994e-47,5.664569077058898e-51,3.6492551551686205e-70,2.5075588206187068e-39,2.863071150681194e-64,3.1639972591268426e-58,3.079529439507185e-73,1.541477407911707e-72,1.1186976464380208e-27,2.9013377483325847e-87,2.7767764207978655e-67,1.7928062486576108e-64,1.3546674676983595e-68,1.9325347725910726e-104,5.059229545129624e-80,1.915976407296825e-60,2.4019955806835355e-60,4.44813230331248e-59
8.96886577901783e-21,0.510837295567036,3.065739841312072e-28,3.4300835851276974e-32,1.7974614006037753e-36,1.4691957367781718e-29,0.0,0.0,8.04448776983832e-23,4.612273387875436e-41,1.4976784208227467e-53,2.9697385830767432e-55,4.7414862791966406e-60,1.8375074438090507e-72,5.952925819290984e-51,1.0104748978091187e-41,2.9317011245178062e-39,1.5934638700589646e-55,8.274318940158673e-71,9.479649172513976e-70,1.9357889869395346e-41,1.4597347298895828e-62,1.0972955123972425e-29,3.669591884350686e-73,1.362527758497927e-57,4.171523930873708e-64,1.0916203001907807e-46,1.422916887012134e-45,3.989693339015112e-86,9.216800320137254e-69,8.044413075196664e-73,7.687101901789238e-68,1.5192148685447611e-60,1.8902801235103463e-74,3.76,0.0,0.5375777335641758,0.9999999999999986,2.276614582965447e-50,6.627431975547086e-55,1.702553927423871e-19,1.702553927423871e-19,3.906269365688693e-41,4.889539237452763e-46,1.3999999792676514e-15,1.857002913452343e-44,1.7192029119093622e-46,8.044518427236608e-23,8.16121170462885e-37,6.714220697289434e-44,1.178588919880353e-37,1.4099215850164999e-21,1.894986770478641e-43,1.797329568199034e-36,3.1323534100272904e-27,5.615495020013133e-45,1.739941370565008e-41,1.685825684570874e-38,3.5710996893166557e-50,2.2621844822576814e-51,1.0972955123983004e-29,2.0473963597465332e-63,2.9317011245179847e-39,1.6492370567775367e-37,1.4650406569605579e-58,1.6959729818929139e-56,2.820499496538999e-72,1.2052475860907605e-56,1.8052041623686715e-71,4.8327135310338335e-78,1.9754087536671802e-82,4.297150934836261e-81,8.587469193370498e-69,7.612618950322773e-68,2.008350707017902e-82,7.129623195824573e-54,1.211074600112827e-60,1.5499390251690247e-52,4.895502025896116e-59,9.151016874696343e-81,1.46919573677566e-29,1.3129516224993743e-40,7.838026489823278e-61,9.060319901813897e-54,1.2016455749428242e-46,3.4213997225528816e-50,5.514750469080452e-69,1.5145655276536978e-38,3.3990380261614146e-63,3.7562975460353533e-57,6.888784174998936e-72,2.2079441644855705e-71,3.1323534100254436e-27,6.490176489510832e-86,3.296590177259441e-66,2.128419922937067e-63,1.6082612635218856e-67,9.231951545981176e-103,1.1317295873326e-78,2.274647190742785e-59,2.8516491539049298e-59,5.280822670436379e-58
2.0500264637755037e-20,0.510837295567036,7.007405353093856e-28,7.84019105185704e-32,8.65400290224453e-36,3.358161684065356e-29,0.0,0.0,1.8387400616773296e-22,2.220611094692345e-40,1.4704295546756823e-52,2.915706952010066e-54,4.655219345547493e-59,1.8040757045994414e-71,2.866077530211947e-50,4.86500166030458e-41,1.4114878924002775e-38,1.5644722767338104e-54,8.12377541125366e-70,9.307175771167771e-69,9.31999068546385e-41,1.4331762139142861e-61,2.5081040283339994e-29,7.250495184356128e-72,1.3377378329725717e-56,4.4873629588259185e-63,5.255681842640333e-46,6.850732297071603e-45,7.883176872841386e-85,9.049109209191242e-68,1.6228023632758723e-71,8.269433443561306e-67,1.4915741670463518e-59,4.2064188211719676e-73,3.76,0.0,0.5375777335641758,0.9999999999999968,2.235193697695832e-49,6.506852013727757e-54,3.8915518341117055e-19,3.8915518341117055e-19,1.8807005489075117e-40,2.354102665978187e-45,3.199999952544239e-15,8.940669656156933e-44,8.277221966852606e-46,1.8387470690826239e-22,3.929272125340995e-36,3.232609443429949e-43,5.674398309622547e-37,3.222677908609138e-21,9.123545577072058e-43,8.65336818596486e-36,7.159664937205124e-27,2.703619125567523e-44,8.37706871788546e-41,8.116524984655436e-38,1.7193307775691976e-49,1.0891444496127337e-50,2.508104028339092e-29,2.0101458868935807e-62,1.411487892400364e-38,7.940366491899766e-37,1.4383856045764758e-57,1.6651163306051866e-55,6.29237859533403e-71,1.1836943900274882e-55,3.5679603811602253e-70,9.548627555439612e-77,3.9030748123884376e-81,8.490448987637916e-80,8.431228176985118e-68,7.474117019910355e-67,3.968162560930037e-81,6.9999063316545455e-53,1.1890402241605e-59,1.5217393259238277e-51,4.806432918926406e-58,1.8080867266167903e-79,3.358161684053265e-29,6.321296884483673e-40,7.695420886460362e-60,8.895475806564866e-53,5.785406178698149e-46,1.6472566876226892e-49,5.932515552285416e-68,7.291981050359184e-38,3.337195597059269e-62,3.6879552052381447e-56,1.3611076670375835e-70,2.968242842681509e-70,7.159664937196234e-27,1.2823495054998869e-84,3.236614247794262e-65,2.089696031231998e-62,1.5790005374439646e-66,4.8070595738429006e-101,2.236107708322532e-77,2.233262100345161e-58,2.799766050448785e-58,5.184743012566822e-57
4.356306235522945e-20,0.510837295567036,1.4890736381827769e-27,1.6660405985779304e-31,3.779430428421666e-35,7.136093578642999e-29,0.0,0.0,3.9073226310643226e-22,9.697992057287745e-40,1.300578289025706e-51,2.578909781208858e-53,4.117488792458642e-58,1.59568453020586e-70,1.2516913560390482e-49,2.1246740400845496e-40,6.164338457181248e-38,1.383758011682726e-53,7.185387369727798e-69,8.23209156925742e-68,4.07028479041922e-40,1.2676281310025942e-60,5.329721060198841e-29,1.2901868788088158e-70,1.1832139638650875e-55,4.1245972741230955e-62,2.2952943398050535e-45,2.991894778982385e-44,1.4028458753033283e-83,8.003834617628306e-67,2.914951730156419e-70,7.601034032810837e-66,1.3192804593369249e-58,7.870418946710376e-72,3.76,0.0,0.5375777335641758,0.9999999999999932,1.977003512848686e-48,5.755236918387621e-53,8.269547647487374e-19,8.269547647487374e-19,8.213513401318804e-40,1.0280984820462322e-44,6.799999898868203e-15,3.904625331264322e-43,3.6148802952272404e-45,3.907337521800448e-22,1.7160163683571538e-35,1.4117665269195595e-42,2.4781588216026233e-36,6.848190555794399e-21,3.9844920505089296e-42,3.779153231146944e-35,1.5214287991560416e-26,1.1807415026022382e-43,3.658485994399444e-40,3.544699701001194e-37,7.508769214259241e-49,4.756579957150279e-50,5.329721060221081e-29,1.7779512727787693e-61,6.164338457181627e-38,3.467766659114805e-36,1.2722357780491618e-56,1.4727765375779775e-54,1.1784928231307046e-69,1.0471132767388351e-54,6.34995337891185e-69,1.699127255368419e-75,6.945313088113445e-80,1.5108310598534695e-78,7.4573258418085e-67,6.61077647384898e-66,7.061133258712429e-80,6.191337878762421e-52,1.0516926131652531e-58,1.3459612006297168e-50,4.2512354856169254e-57,3.2173937243112864e-78,7.136093578590197e-29,2.7606764247916382e-39,6.806512626007338e-59,7.867947612847714e-52,2.5266388744657607e-45,7.194002728009071e-49,5.453003385751805e-67,3.184599702185743e-37,2.951711547539275e-61,3.261954614269195e-55,2.4220183697881363e-69,4.0493447781017637e-69,1.5214287991521598e-26,2.281872429366944e-83,2.8627529943096666e-64,1.848313772259698e-61,1.3966082562659161e-65,1.9183725245486688e-99,3.979036896572561e-76,1.975295036866694e-57,2.4763613672300157e-57,4.585846479057209e-56
8.968865779017828e-20,0.510837295567036,3.0657398459976984e-27,3.4300835855478116e-31,1.5778378056291647e-34,1.469195736781138e-28,0.0,0.0,8.044487769838298e-22,4.04872077856217e-39,1.0932144176465845e-50,2.1677290645780087e-52,3.460997427378519e-57,1.341268994835057e-69,5.225565015504893e-49,8.870095874371525e-40,2.57348996062782e-37,1.1631319864882797e-52,6.039751065414302e-68,6.919568984807545e-67,1.6992637762836774e-39,1.0655178244316796e-59,1.097295512389383e-28,2.1760887487889267e-69,9.945626306177552e-55,3.528656002754328e-61,9.582402039091286e-45,1.2490571746585843e-43,2.3663630163730576e-82,6.727705263329746e-66,4.938679196289442e-69,6.502844644772347e-65,1.1089347187496733e-57,1.3588208101169557e-70,3.76,0.0,0.5375777335641758,0.999999999999986,1.661790575947044e-47,4.837623408942907e-52,1.702553927423871e-18,1.702553927423871e-18,3.4289801616899755e-39,4.292108780946735e-44,1.3999999790599285e-14,1.630104213098719e-42,1.5091413643739265e-44,8.044518427235687e-22,7.164030539392086e-35,5.893856157726988e-42,1.0345825253650676e-35,1.4099215850164857e-20,1.6634469962041486e-41,1.5777220812236907e-34,3.1323534100269504e-26,4.929363344211801e-43,1.5273458852206602e-39,1.4798423476145613e-36,3.134763336517543e-48,1.9857785001729326e-49,1.0972955123986689e-28,1.4944751743699258e-60,2.5734899606279807e-37,1.447724317055252e-35,1.0693908294064402e-55,1.2379574212779577e-53,2.0355532427011574e-68,8.802208762527404e-54,1.0710891276222933e-67,2.8658264658368257e-74,1.1714285671254583e-78,2.5482408752991802e-77,6.268331707438201e-66,5.556763713106984e-65,1.1909633316570028e-78,5.204192542907767e-51,8.84011011183445e-58,1.1313614893748152e-49,3.5734195817264287e-56,5.426604780203435e-77,1.4691957367590932e-28,1.1525280633263465e-38,5.721283984977294e-58,6.613484048004579e-51,1.054821993103675e-44,3.003354524786469e-48,4.6651590154090354e-66,1.3295076866920258e-36,2.4810911312160354e-60,2.7418694008027854e-54,4.0850879902893666e-68,5.7992223746920025e-68,3.132353410010743e-26,3.8487113776169e-82,2.406323682662135e-63,1.5536212778804186e-60,1.1739336643930637e-64,6.8182052241071e-98,6.711236440858036e-75,1.660354498940836e-56,2.081530944402515e-56,3.854680283270029e-55
1.8193984866007594e-19,0.510837295567036,6.219072269900094e-27,6.95816956022929e-31,6.4459822717928305e-34,2.980368494620052e-28,0.0,0.0,1.6318818047386213e-21,1.6540345445486193e-38,8.962832288195651e-50,1.7772352599158313e-51,2.8375347956317637e-56,1.0996533580112497e-68,2.1348138148037173e-48,3.623723588733099e-39,1.0513546198260494e-36,9.536058759880673e-52,4.9517528775165705e-67,5.673080716691294e-66,6.942046982235941e-39,8.735758883434547e-59,2.225942325114505e-28,3.5742323042687185e-68,8.154025335230104e-54,2.91755171445237e-60,3.9147238990478544e-44,5.102806115800225e-43,3.887607062243879e-81,5.515779245708503e-65,8.129738637732343e-68,5.3766777057066086e-64,9.091716814982123e-57,2.2572285821731395e-69,3.76,0.0,0.5375777335641758,0.9999999999999716,1.3624363153189039e-46,3.966175947546619e-51,3.4537522527741383e-18,3.4537522527741383e-18,1.4008502808967367e-38,1.7534664850733255e-43,2.839999957039405e-14,6.659507600409351e-42,6.165334895619349e-44,1.6318880238104536e-21,2.926740231900999e-34,2.40783975564298e-41,4.226607192081278e-35,2.8601266438905524e-20,6.795723748879868e-41,6.4455094998372055e-34,6.354202631768167e-26,2.0138057675022207e-42,6.23970630181474e-39,6.045638850671224e-36,1.2806531077616153e-47,8.112553129249939e-49,2.225942325152439e-28,1.2252610403332996e-59,1.051354619826117e-36,5.914426215967237e-35,8.767512118197863e-55,1.0149522882011096e-52,3.3821021255111894e-67,7.216817629137243e-53,1.7593283817344325e-66,4.707128575666415e-73,1.9240749390337613e-77,4.185504673313252e-76,5.139157050094146e-65,4.5557833394338965e-64,1.9561608480970894e-77,4.2667114702791337e-50,7.247656376222107e-57,9.27558502970554e-49,2.9297052698717923e-55,8.913214646556385e-76,2.9803684945299924e-28,4.708453199334539e-38,4.69065427575646e-57,5.422133792428419e-50,4.309292021769169e-44,1.2269683204771967e-47,3.857243616494694e-65,5.43147270781284e-36,2.0341479539441256e-59,2.2479501915494774e-53,6.709769290783472e-67,8.68297028077717e-67,6.354202631701957e-26,6.321519994704507e-81,1.972861500538233e-62,1.2737561694274507e-59,9.624621918111633e-64,2.2965652338620207e-96,1.1023255989289714e-73,1.36125893262519e-55,1.7065648344027006e-55,3.160299785613947e-54
3.6644223039987125e-19,0.510837295567036,1.2525737150795101e-26,1.4014341512559114e-30,2.6055690966474436e-33,6.002714010318831e-28,0.0,0.0,3.2867478602481875e-21,6.685872086436289e-38,7.258333964096852e-49,1.4392511980581437e-50,2.297909245576127e-55,8.905277997335386e-68,8.629258766654438e-48,1.464767012881546e-38,4.249743470477322e-36,7.722547622613371e-51,4.010057940333998e-66,4.594207849245677e-65,2.806086384001549e-38,7.074444033631952e-58,4.483235950509246e-28,5.79398458933737e-67,6.6033411238426e-53,2.372500920197652e-59,1.5823939910449637e-43,2.0626358188565275e-42,6.3047300406706666e-80,4.466821039407907e-64,1.319309790395081e-66,4.3722250178534105e-63,7.362707996101587e-56,3.679476340203197e-68,3.76,0.0,0.5375777335641758,0.9999999999999428,1.1033362516918505e-45,3.2119121123781675e-50,6.956148903474673e-18,6.956148903474673e-18,5.662460811902986e-38,7.087791887801485e-43,5.719999911531404e-14,2.6918794484461387e-41,2.4921269412056606e-43,3.2867603859835698e-21,1.1830351962837984e-33,9.732931509795338e-41,1.7084622046737506e-34,5.760536761638586e-20,2.7469401935688636e-40,2.6053779946645567e-33,1.2797901075248199e-25,8.140124893914351e-42,2.522189051512153e-38,2.4437438848883946e-35,5.176604620268238e-47,3.279223693492559e-48,4.483235950662581e-28,9.922481574962511e-59,4.249743470477612e-36,2.3907056400202734e-34,7.100158626416356e-54,8.219346774009778e-52,5.513680036082908e-66,5.844459801053203e-52,2.851996101825389e-65,7.63045826506748e-72,3.119008390030762e-76,6.784920348622155e-75,4.1618226203022396e-64,3.6894120704872675e-63,3.171021030199153e-76,3.455293569841624e-49,5.8693400571679945e-56,7.511609242820827e-48,2.3725512850457925e-54,1.444870503855579e-74,6.002714009954794e-28,1.903232064860393e-37,3.798613445046567e-56,4.390984523417169e-49,1.7418847348502603e-43,4.959602127185033e-47,3.1366464209277436e-64,2.1954881102749822e-35,1.6473050123375002e-58,1.8204483471606983e-52,1.0876825163888677e-65,1.339451600196423e-65,1.279790107498057e-25,1.02474563242443e-79,1.597693765012646e-61,1.0315265688122717e-58,7.794275614754258e-63,7.537596007863336e-95,1.7869270190354874e-72,1.1023827766609254e-54,1.3820204572927448e-54,2.5592927017490956e-53
7.35446993879462e-19,0.510837295567036,2.513906704494597e-26,2.8126685429086235e-30,1.047687874052194e-32,1.2047405041800197e-27,0.0,0.0,6.596479971267256e-21,2.6883597604222883e-37,5.842138635083155e-48,1.1584345869146445e-49,1.8495572744515017e-54,7.167742473568225e-67,3.469786997096517e-47,5.889763735683226e-38,1.7088031584274216e-35,6.215778172885057e-50,3.227643621905003e-65,3.6978181646360294e-64,1.1283149933907463e-37,5.694128020960451e-57,8.997823201076708e-28,9.331033562508631e-66,5.3149434141469594e-52,1.9135064787380985e-58,6.362736641773787e-43,8.293767909600628e-42,1.0162435592956899e-78,3.5952861771617056e-63,2.1258667001513195e-65,3.5263578735251923e-62,5.9261479373473865e-55,5.942064115416403e-67,3.76,0.0,0.5375777335641758,0.9999999999998852,8.880610034456947e-45,2.585226298079477e-49,1.3960942204875743e-17,1.3960942204875743e-17,2.276850587920886e-37,2.8499699448154417e-42,1.1479999814647576e-13,1.0823928869002067e-40,1.0020732832291146e-42,6.5965051103271914e-21,4.7569324924719165e-33,3.913615787236011e-40,6.869651384092437e-34,1.156135699713426e-19,1.104532570349795e-39,1.0476110327858142e-32,2.5685297962198664e-25,3.27310841974471e-41,1.014161124621139e-37,9.826186681361308e-35,2.0814899501795097e-46,1.3185614327137848e-47,8.997823201693263e-28,7.986476407863401e-58,1.7088031584275512e-35,9.612922231362987e-34,5.7148253623762805e-53,6.615645350741853e-51,8.904607958611716e-65,4.7041671629624254e-51,4.593090966902759e-64,1.2288617801878443e-70,5.02306685795555e-75,1.0927023931253605e-73,3.3497969143859803e-63,2.9695929763903888e-62,5.106831607946732e-75,2.7811208675390294e-48,4.724155524041146e-55,6.045996613830335e-47,1.9096356811235818e-53,2.3269194035817142e-73,1.2047405040336418e-27,7.652812425613634e-37,3.0574545710486757e-55,3.534246351461047e-48,7.004041907955738e-43,1.9942342025883546e-46,2.5298189603718976e-63,8.827961130340293e-35,1.3258931956106822e-57,1.465255205220871e-51,1.751679161241656e-64,2.1023832283024252e-64,2.568529796112254e-25,1.6503212498843812e-78,1.2859941221981033e-60,8.302716576081558e-58,6.273522772668819e-62,2.44262805977146e-93,2.877822186245471e-71,8.872935637905974e-54,1.1123703111164145e-53,2.05994141827753e-52
1.4734565208386432e-18,0.510837295567036,5.0365727362691117e-26,5.6351373309610334e-30,4.2016969647995383e-32,2.4136787105098143e-27,0.0,0.0,1.3215944193305138e-20,1.0781525037583948e-36,4.687948329605558e-47,9.295708174980841e-49,1.4841532317399271e-53,5.751661925801616e-66,1.3915397757588162e-46,2.362058683873952e-37,6.853064946180858e-35,4.98777052729781e-49,2.589980936278481e-64,2.9672661974906765e-63,4.525047774711932e-37,4.569179133119403e-56,1.8026997701323555e-27,1.4978375379953586e-64,4.264907366383004e-51,1.537031882536882e-57,2.5517419737015166e-42,3.326171879584021e-41,1.634141138642004e-77,2.8849907339552046e-62,3.413415526608489e-64,2.8325624186318644e-61,4.755360505476554e-54,9.551454805355632e-66,3.76,0.0,0.5375777335641758,0.99999999999977,7.126130271360342e-44,2.074481292341882e-48,2.797052880767788e-17,2.797052880767788e-17,9.131189202771653e-37,1.1429654158695222e-41,2.2999999597408634e-13,4.3408795884881764e-40,4.0187620615410054e-42,1.3215994559003992e-20,1.907742688481389e-32,1.5695725366743303e-39,2.755037457686295e-33,2.3162997468124003e-19,4.429669621350066e-39,4.2013887969568057e-32,5.146009173606117e-25,1.3126628708501285e-40,4.067239704368479e-37,3.9407403461553495e-34,8.347705668583135e-46,5.288021151248104e-47,1.8026997703796225e-27,6.408644346508293e-57,6.853064946181483e-35,3.8552117631478925e-33,4.58578744617098e-52,5.30863875519571e-50,1.4313897183646005e-63,3.7748128631013922e-50,7.37295954435495e-63,1.9725953090039854e-69,8.06313474685985e-74,1.7540675029256638e-72,2.688001059640717e-62,2.3829645796096052e-61,8.197595710325617e-74,2.2316743453737033e-47,3.790837331222344e-54,4.851531518989195e-46,1.5323623688403603e-52,3.735220977655127e-72,2.4136787099227746e-27,3.0691200630702864e-36,2.453414739215367e-54,2.8360101179787114e-47,2.808934068518434e-42,7.99777109839311e-46,2.032088162743245e-62,3.540407253478074e-34,1.0639438768550929e-56,1.1757750236387295e-50,2.811832992147991e-63,3.330866319081504e-63,5.146009173174545e-25,2.6491310971291543e-77,1.0319793399638887e-59,6.662556968537446e-57,5.034125663279348e-61,7.865814160884586e-92,4.61964246936571e-70,7.119972051448725e-53,8.926071425437027e-53,1.6529732551442135e-51
